api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/432653,5 Seconds of Summer,18,https://genius.com/5-seconds-of-summer-18-lyrics,http://api.genius.com/songs/432653,5 Seconds of Summer,2014-06-27,"[Verse 1: Luke & Calum] And I wish that I was eighteen to do all the things you read in a magazine I’m, I’m not saying I wanna be Charlie Sheen She’s just a little bit older but I want to get to know her She said it’s already over   So tell me what else can I do? I bought my fake ID for you   She told me to meet her there I can’t afford a bus fare I’m not old enough for her I’m just waiting ‘til I’m eighteen  [Verse 2: Calum & Michael] I think she wants to get with me, but she’s got a job in the city Says that she’s always too busy She’s got a naughty tattoo in a place that I want to get to But my mom still drives me to school   So tell me what else can I do? I bought my fake ID for you   She told me to meet her there I can’t afford a bus fare I’m not old enough for her I’m just waiting ‘til I’m eighteen You got me waiting in a queue For a bar I can’t get into I’m not old enough for you I’m just waiting ‘til I’m eighteen   In my bedroom thinking of you Your pictures in my private folder I know one day that I will hold her I’ll make my move when I get older, make my move when I get older   She told me to meet her there I can’t afford a bus fare I’m not old enough for her I’m just waiting ‘til I’m eighteen You got me waiting in a queue For a bar I can’t get into I’m not old enough for you I’m just waiting ‘til I’m eighteen   I’m so sick of waiting ‘til I’m eighteen"
/songs/500701,5 Seconds of Summer,500 Years of Winter - Pizza Song,https://genius.com/5-seconds-of-summer-500-years-of-winter-pizza-song-lyrics,http://api.genius.com/songs/500701,None,2018-06-21,1 2! 1 2 3 4!  Michael wants another slice Michael wants another slice Michael wants another slice  Pizza! Pizza!  Michael wants another slice Michael wants another slice Michael wants another slice  Pizza! Pizza!  Now (ooh) Now! Pizza!  (ooh) Now! (ooh) Pizza!
/songs/2281274,5 Seconds of Summer,Airplanes,https://genius.com/5-seconds-of-summer-airplanes-lyrics,http://api.genius.com/songs/2281274,Sounds Good Feels Good,2015-10-23," Most of my life I sat on my hands I don't make a sound Getting it right I made all my plans Lost, never found   Your eyes, your smile can light up the night, night Embers and neon signs paint up our sky, sky   Airplanes cut through the clouds Like angels can fly, we'll never die Sirens cut through the night Like screams set on fire, rising up higher I've got something to prove, nothing to lose In this city, in this city, woah   All of this time I questioned myself I never could wait Looking for signs Not asking for help I know it's too late   A love lost and buried here, it comes to life, life Make believe worlds make us all feel alive, live   Airplanes cut through the clouds Like angels can fly, we'll never die Sirens cut through the night Like screams set on fire, rising up higher I've got something to prove, nothing to lose In this city, in this city, oh   I don't ever wanna wait for this I know that I was made for this I won't fade into dark I'm not gonna say that I'm sorry Gonna see the end of this story I won't fade into darkness   Airplanes cut through the clouds Like angels can fly, we'll never die Sirens cut through the night Like screams set on fire, rising up higher I've got something to prove, nothing to lose In this city, in this city, oh"
/songs/2479709,5 Seconds of Summer,All I Need,https://genius.com/5-seconds-of-summer-all-i-need-lyrics,http://api.genius.com/songs/2479709,Unreleased,2018-06-15, When I saw your face I knew I'd do anything to try to get to you I don't even know your name You got me frozen in place and I can't move   Your lips are like dynamite (Your lips are like dynamite) Your eyes had me alive (Shining light) I refused to hold you close I've been wrong   You're all I need so shout it out I fall to my knees when you're around Time stands still And you don't even try I've got to have you in my life   (Oh-oh) Tell me that you need me (Oh-oh) I've got you on my mind (Oh-oh) Tell me that you need me (Oh-oh) Run away with me tonight (Tonight)   You've got the keys to make me start Don't have my license Let's make out in your dad's car I tried to make him laugh You looked my way but you just smiled Then walked right by   Your lips are like dynamite (Your lips are like dynamite) Your eyes had me alive (Shining light) I refused to hold you close I've been wrong   You're all I need so shout it out I fall to my knees when you're around Time stands still And you don't even try I've got to have you in my life   (Oh-oh) Tell me that you need me (Oh-oh) I've got you on my mind (Oh-oh) Tell me that you need me (Oh-oh) Run away with me tonight (Tonight)   There she goes again Telling me to run away It's time to take a chance So I'll scream my lungs out She said soon we'll run away Heart starts beating She says we'll find a plan She says   You're all I need so shout it out I fall to my knees when you're around Time stands still And you don't even try I've got to have you in my life   (Oh-oh) Tell me that you need me (Oh-oh) I've got you on my mind (Oh-oh) Tell me that you need me (Oh-oh) Run away with me tonight (Tonight)
/songs/509664,5 Seconds of Summer,American Idiot,https://genius.com/5-seconds-of-summer-american-idiot-lyrics,http://api.genius.com/songs/509664,Amnesia EP,2014-09-05," I wanna listen to Green Day   Don't wanna be an American idiot Don't want a nation under the new mania And can you hear the sound of hysteria? The subliminal mind fuck America   Welcome to a new kind of tension All across the alien nation Where everything isn't meant to be okay Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue   Well maybe I'm the FFFFF America I'm not a part of a redneck agenda Now everybody do the propaganda And sing along to the age of paranoia (You looking at me?)   Welcome to a new kind of tension All across the alien nation Where everything isn't meant to be okay Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue   Don't wanna be an American idiot One controlled by the media Information age of hysteria It's calling out to idiot America   Welcome to a new kind of tension All across the alien nation Where everything isn't meant to be okay (Oh God, f*** it okay!) Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue"
/songs/3616656,5 Seconds of Summer,Astonishment,https://genius.com/5-seconds-of-summer-astonishment-lyrics,http://api.genius.com/songs/3616656,Unreleased,2018-03-30,I am left at the end of every single day in astonishment That I get to live and breathe music I will not waste the gift of your ears and attention I love this wild world and I hope any music I am even apart of carves itself into your life story I know I am lucky beyond belief And I am thankful for every day I am alive
/songs/3645999,5 Seconds of Summer,Babylon,https://genius.com/5-seconds-of-summer-babylon-lyrics,http://api.genius.com/songs/3645999,Youngblood,2018-06-15," I thought we had a place, just our place, our home base, my headspace Was you and I always, but that phase has been phased in our place I see it on your face, a small trace, a blank slate, we've been erased But if we're way too faded to drive, you can stay one more night   We said we'd both love harder than we knew we could go But still the hardest part is knowing when to let go You wanted to go higher, higher, higher Burn too bright, now the fire's gone Watch it all fall down: Babylon   Babylon Burn too bright, now the fire's gone, watch it all fall down   I'm tired of the feud, your short fuse, my half-truths are not amused I wish we had a clue to start new, a white moon, no residue The color of our mood is so rude, a cold June, we're not immune But if we're way too faded to fight, you can stay one more night   We said we'd both love harder than we knew we could go But still the hardest part is knowing when to let go You wanted to go higher, higher, higher Burn too bright, now the fire's gone Watch it all fall down: Babylon   Babylon Burn too bright, now the fire's gone, watch it all fall down   We said we'd both love harder than we knew we could go But still the hardest part is knowing when to let go You wanted to go higher, higher, higher Burn too bright, now the fire's gone, watch it all fall down We said we'd both love harder than we knew we could go But still the hardest part is knowing when to let go You wanted to go higher, higher, higher Burn too bright, now the fire's gone Watch it all fall down: Babylon   Babylon Burn too bright, now the fire's gone, watch it all fall down"
/songs/395350,5 Seconds of Summer,Bad Dreams,https://genius.com/5-seconds-of-summer-bad-dreams-lyrics,http://api.genius.com/songs/395350,Unreleased,2013-08-27, You look so beautiful No one but me knows you're insane I feel so damn pathetic My friends just don't get it 'Cause you've got me under oath Before you I was in a fucking rut One day you are in the past That night I ask you back   It started out just harmless fun Now you've got me thinking you're the one   'Cause if you wanna take me home You know I'm ready to leave You've got me under your spell Please don't set me free 'Cause I've been having all these nightmares Seeing you is my only way of Feeling so defenseless But I'm telling you I wouldn't change a thing   You've got me feeling strange Cause I love to hate you so damn much But I can't think of leaving Cause you're what keeps me breathing   It started out just harmless fun Now you've got me thinking you're the one   'Cause if you wanna take me home You know I'm ready to leave You've got me under your spell Please don't set me free 'Cause I've been having all these nightmares Seeing you is my only way of Feeling so defenseless But I'm telling you I wouldn't change a thing  Cause if you wanna take me home You know I'm ready to leave You've got me under your spell Please don't set me free   'Cause if you wanna take me home You know I'm ready to leave You've got me under your spell Please don't set me free 'Cause I've been having all these nightmares Seeing you is my only way of Feeling so defenseless But I'm telling you I wouldn't change a thing
/songs/397096,5 Seconds of Summer,Beside You,https://genius.com/5-seconds-of-summer-beside-you-lyrics,http://api.genius.com/songs/397096,5 Seconds of Summer,2012-12-07," Within a minute I was all packed up I've got a ticket to another world I don't want to go I don’t want to go Silent words are hard to speak When your thoughts are all I see “Don’t ever leave,” she said to me   When we both fall asleep underneath the same sky To the beat of our hearts at the same time So close but so far away Can you hear me?   She sleeps alone My heart wants to come home I wish I was, I wish I was beside you She lies awake I'm trying to find the words to say I wish I was, I wish I was beside you   Another day, and I’m somewhere new I made a promise that I’ll come home soon Bring me back, bring me back to you   When we both wake up underneath the same sun Time stops, I wish that I could rewind So close but so far away   She sleeps alone My heart wants to come home I wish I was, I wish I was beside you She lies awake I'm trying to find the words to say I wish I was, I wish I was beside you   The pieces of us both Under every city light And they're shining as we fade into the night   She sleeps alone My heart wants to come home I wish I was, I wish I was...   She sleeps alone My heart wants to come home I wish I was, I wish I was beside you She lies awake I'm trying to find the words to say I wish I was, I wish I was beside you   She lies awake Beside you I wish I was, I wish I was...  She sleeps alone My heart wants to come home I wish I was, I wish I was..."
/songs/3636936,5 Seconds of Summer,Best Friend,https://genius.com/5-seconds-of-summer-best-friend-lyrics,http://api.genius.com/songs/3636936,Youngblood,2018-06-15," Even every time that I'm mad at you I would, still bury that body for you I would, take a shovel dig it six feet under Swear to God I wouldn't tell another Even every time that you got the flu I'm not scared at all to get close to you I don't run away when your face says, ""Achoo"" But I run to get you a tissue  [Pre-Chorus: Ashton/All] I don't count the days Most people I hate   You're my best friend No, I didn't stutter 'til the day end Through heaven and high water Ooh, it kills me not to tell you You're my best friend My, my best friend   Remember when your parents went out of town? They were, dumb enough to leave us with the house We had 100 people naked on the sofa Dancing 'til the cops said, ""Game over"" Turns out that it was Jerry’s dad So we did shots while we rode in the back He even let us all use the siren It was the best night, I'm not lying  [Pre-Chorus: Ashton/All] I don't count the days Most people I hate   You're my best friend No, I didn't stutter 'til the day end Through heaven and high water Ooh, it kills me not to tell you You're my best friend My, my best friend    [Pre-Chorus: Ashton/All] Most people I hate...   You're my best friend No, I didn't stutter 'til the day end Through heaven and high water Ooh, it kills me not to tell you You're my best friend My, my best friend Ooh, ooh, you're my best friend Ooh, ooh, you're my best friend"
