api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/159003,Alicia Keys,101,https://genius.com/Alicia-keys-101-lyrics,http://api.genius.com/songs/159003,Girl on Fire,2012-11-22," You used to the sound of a heart that's breaking I know it don't faze you anymore You're the king of the game that you're playing I know you've played it a hundred times before You fill your bedroom up with trophies Then you get a kick out of closing the door Got all the words to keep on hoping I know you've said them a hundred times before   Then there's me, all fox for your gun Then there's me, just love me for fun Then there's me, no use in pretending Oh there's me, 101   I might as well stand in front of a bullet Close my eyes and kick the chair to the floor It's like a speeding train is coming I know you've crashed it 100 times before   Then there's me, all fox for your gun Then there's me, just love me for fun Then there's me, no use in pretending Oh there's me, 101   Everybody says I gotta be crazy That I deserve everything that I get But I got a feeling That makes me wanna ignore all that you've done a 100 times before   'Cause then there's me, could I be the one? And baby, there's me, to make you undone Uh darling there's me, no use, no use in pretending Oh there's me, 101 Me, 101   So I gotta be, I gotta be, I gotta be a 101 Maybe it's time, maybe it's me Maybe I could be, maybe pretend I gotta be, I wanna be 101 Yeah, baby"
/songs/2268431,Alicia Keys,28 Thousand Days,https://genius.com/Alicia-keys-28-thousand-days-lyrics,http://api.genius.com/songs/2268431,None,2015-07-31," Uh, yeah, uh   Blood in my eye, hand on my heart Feet on the ground, head to the sky Cause trouble ain't no friend of mine Ain't no giving it up, no more wasting time   If you had 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life, so have the time of your life Hey, ey, ey Hey, ey, ey Hey, ey, ey   Back from hell with my angel wings Ain't no fear in my voice Cause I'm making a choice The devil ain't no friend of me And that clock on the wall is telling me (That there's just...)   There's only 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life, so have the time of your life Hey, ey, ey Hey, ey, ey Hey, ey, ey Hey, ey, ey Hey, ey, ey   There's only 28 thousand days Who would you love? Where would you go? What would you celebrate? I'm telling you that life's too short to just throw it away So have the time of your life, so have the time of your life Hey, ey, ey Hey, ey, ey Hey, ey, ey Hey, ey, ey Hey, ey, ey Hey, ey, ey"
/songs/601412,Alicia Keys,A Woman's Worth,https://genius.com/Alicia-keys-a-womans-worth-lyrics,http://api.genius.com/songs/601412,Songs in A Minor,2002-02-12," You could buy me diamonds, you could buy me pearls Take me on a cruise around the world (Baby, you know I'm worth it) Dinner lit by candles, run my bubble bath Make love tenderly to last and last (Baby, you know I'm worth it)   Wanna please, wanna keep, wanna treat your woman right Not just dough, but to show that you know she is worth your time You will lose if you chose to refuse to put her first She will and she can find a man who knows her worth   'Cause a real man knows a real woman when he sees her (When he sees her) And a real woman knows a real man ain't afraid to please her (Please her) And a real woman knows a real man always comes first And a real man just can't deny a woman's worth (A woman's worth)   Mmm hmm, mmm, hmm Mmm hmm, mmm, hmm Mmm, mm (Hold up)   If you treat me fairly, I'll give you all my goods Treat you like a real woman should (Baby, I know you're worth it) If you never play me, promise not to bluff I'll hold you down when shit gets rough ('Cause baby, I know you're worth it)   She walks the mile, makes you smile all the while being true Don't take for granted the passions that she has for you You will lose if you chose to refuse to put her first She will and she can find a man who knows her worth   Ohh, 'cause a real man knows a real woman when he sees her (When he sees her) And a real woman knows a real man ain't afraid to please her (Please me) And a real woman knows a real man always comes first (First, baby) And a real man just can't deny a woman's worth   No need to read between the lines, spelled out for you (Spelled out for you) Just hear this song cause you can't go wrong when you value (Better value) A woman's (Woman's) (Sing it) woman's (Woman's) worth   'Cause a real man knows a real woman when he sees her (When he sees her) And a real woman knows a real man ain't afraid to please her (Please me) And a real woman knows a real man always comes first (First, baby) And a real man just can't deny a woman's worth (A woman's worth) 'Cause a real man knows a real woman when he sees her (Nothing like a woman's worth) And a real woman knows a real man ain't afraid to please her (Oh-ooh) And a real woman knows a real man always comes first (Comes first) And a real man just can't deny a woman's worth (Woman's worth)  "
/songs/785841,Alicia Keys,A Woman's Worth (Unplugged),https://genius.com/Alicia-keys-a-womans-worth-unplugged-lyrics,http://api.genius.com/songs/785841,Unplugged,2005-10-07,"You could buy me diamonds You could buy me pearls Take me on a cruise around the world Baby, you know I'm worth it Dinner lit by candles Run my bubble bath Make love tenderly to last, and last Baby, you know I'm worth it  Wanna please, wanna keep, wanna treat your woman right Not just dough but to show that you know she is worth your time (That’s right, that’s right) You will lose if you choose to refuse to put her first (‘Cause why?) She will if she can find a man who knows her worth (‘Cause a…’cause a…’cause a…)  ‘Cause a real man, knows a real woman when he sees her And a real woman knows a real man ain't afraid to please her And a real woman knows a real man always comes first And a real man just can't deny a woman’s worth Break it down  Mm Hmm Mm Hmmm Mm Hmm Mm Hmmm Mm Hmm Mm Hmmm Mm Let’s do it like this, come on  ‘Cause if you treat me fairly I'll give you all my goods Treat you like a real woman should Baby, I know you're worth it And if you never play me Now, don’t you bluff I'll hold you down when ish gets rough Baby, I know you're worth it  She walks the mile make you smile all the while being true (Yeah, yeah, come on) Don't take for granted the passion she has for you (What’s that? What’s that?) You will lose if you choose to refuse to put her first (You better recognize it) She will if she can find a man who knows her worth  Ooh ‘Cause a real man knows a real woman when he sees her And a real woman knows a real man ain't afraid to please her And a real woman knows a real man always comes first And a real man just can't deny a woman's worth Yeah  So I wanna know, do I have some, uh Do I have some real men out in that audience tonight? Yeah, don’t be shamed now, you know what I mean? Gotta give it up—if you real, then you real So I wanna know, do I have some real women in this audience tonight? Yeah, yeah Now I have another question for you I wanna know, uh, y’all think that, uh, you wanna hear something new? Let’s flip it around on ‘em, come on…"
/songs/2849429,Alicia Keys,Back to Life,https://genius.com/Alicia-keys-back-to-life-lyrics,http://api.genius.com/songs/2849429,Queen of Katwe (Original Motion Picture Soundtrack),2016-09-01," I'm just tryna hold onto to a dream Out here lost and nothing's what it seems I'm just tryna find where I belong This must be the dark before the dawn When the place that you were born is not where you belong Tell me baby, what stops you from wearing a crown? I wanna be somebody, be somebody And I wanna go somewhere, go somewhere   Back to life, life, life, life, life, life, life, baby Back to life, life, life, life, life, life, life, oh, oh, oh, oh yeah Back to life, life, life, life, life, life, life, baby Back to life, life, I been waiting for all of my life Back to life, mmm, mmm, mmm, mmhmmhmm   Climb out from the bottom baby No more looking back only straight up Foot on the pedal baby, it's time to find what you're made of Everybody wants to be adored You don't have to settle for being ignored   Back to life, back to life Nothing can break you I will survive, oh, oh, oh, oh, yeah Back to life   I'm not made to be locked up If a bird don't fly, then what were wings made for? Oh, I'm not meant to be locked up And if I don't try, then what was I made for?   Back to life, back to life Nothing can break you I will survive, oh, oh, oh, oh, yeah Back to life   Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey Hey, hey, hey"
/songs/2875524,Alicia Keys,Blended Family (What You Do For Love),https://genius.com/Alicia-keys-blended-family-what-you-do-for-love-lyrics,http://api.genius.com/songs/2875524,HERE,2016-10-06," Hey I might not  really be your mother That don't mean that I don't really love ya And even though I married your father That's not the only reason I'm here for ya   I think you're beautiful I think you're perfect I know how hard it gets But I swear it's worth it, worth it   That's what you do, what you do, what you do What you do for love 'cause there ain't nothing, there ain't nothing, there ain't nothing There ain't nothing I won't do for us It may not be easy This blended family, but baby That's what you do, what you do, what you do What you do for love, love   I know it started with a little drama I hate you had to read it in the paper But everything's alright with me and ya Mama Baby everybody here you know adores ya   I think it's beautiful I think its perfect I know how hard it gets But I swear it's worth it, worth it   That's what you do, what you do, what you do What you do for love 'cause there ain't nothing, there ain't nothing, there ain't nothing There ain't nothing I won't do for us It may not be easy This blended family, but baby That's what you do, what you do, what you do What you do for love, love  [Bridge: A$AP Rocky & Alicia Keys] For love, for love Are you this real my true love Cause you're my baby, rejoice daily I believe love could bring us closer than blood  [Verse 3: A$AP Rocky & Both] I remember having four step-moms at nine Loved Christmas time and birthday was fly Hit my sister's just for dinner cause the cookin' was bomb Her mother's supper made me love her like she took me to prom (uh) And shoutout to my sisters on welfare Flacko care, nobody else care And shoutout to the step-sisters and step-brothers And god-sisters, who eventually slept with us Real love, but you do it right, alright I'm here for you That is alright, alright   That's what you do, what you do, what you do What you do for love There ain't nothing, there ain't nothing, there ain't nothing There ain't nothing I won't do for us It may not be easy This blended family but baby That's what you do, what you do, what you do What you do for love   That's just what you do (for love) For love of the babies (for love) We're a blended family (for love) And it's alright (for love) Said it's alright! I'll be here forever"
/songs/90270,Alicia Keys,Brand New Me,https://genius.com/Alicia-keys-brand-new-me-lyrics,http://api.genius.com/songs/90270,Girl on Fire,2012-11-18," It’s been awhile, I’m not who I was before You look surprised, your words don’t burn me anymore Been meaning to tell you, but I guess it’s clear to see Don’t be mad, it’s just a brand new kind of me Can't be bad, I found a brand new kind of free   Careful with your ego, he’s the one that we should blame Had to grab my heart back, God knew something had to change I thought that you’d be happy I found the one thing I need Why you mad? It’s just the brand new kind of me   It took a long, long time to get here It took a brave, brave girl to try It took one too many excuses, one too many lies Don't be surprised, don't be surprised   If I talk a little louder, if I speak up when you're wrong If I walk a little taller, I been under you too long If you notice that I'm different, don't take it personally Don't be mad, it's just a brand new kind of me And it ain't bad, I found a brand new kind of free   It took a long, long road to get here It took a brave, brave girl to try I've taken one too many excuses, one too many lies Don't be surprised, see you look surprised   If you were a friend, you wanna get to know me again If your were worth a while, you'd be happy to see me smile I'm not expecting sorry, I'm too busy finding myself I've got this, I've found me, I've found me   I don’t need your opinion, I’m not waiting for your okay I’ll never be perfect, but at least now I’m brave Now my heart is open, and I can finally breathe Don’t be mad, it’s just a brand new kind of free That ain't bad, I found a brand new kind of me Don't be mad, it's just a brand new time for me"
/songs/3393232,Alicia Keys,Brand New Me Part 2,https://genius.com/Alicia-keys-brand-new-me-part-2-lyrics,http://api.genius.com/songs/3393232,None,2019-02-11," She wakes up early in the morning just to do her hair y'all Cause it's a new her She just wanna live her life tryin' to find her freedom Been looking for freedom She may not see the light but she wants it, she wants it As she stares herself in the mirror   (She's a brand new me, she's a brand new you She's a brand new me, she's a brand new you Do what she's supposed to do - she's rollin') Brand new me, brand new you Something new overdue La da dee, la dee da La da dee, la dee da La da dee, la dee da La da dee, la dee da   She from the block and she's rollin' She got her own and she's rollin' She's all alone and she's rollin' She's a brand new girl and she's rollin' They try hard not to care about her new life They got their own mess But none of this is for you cause this is her life Don't need you to apologize She found a brand new me as she stares herself in the mirror   (She's a brand new me, she's a brand new you She's a brand new me, she's a brand new you She's a brand new me, she's a brand new you Do what she's supposed to do - she's rollin') Brand new me, brand new you Something new overdue La da dee, la dee da La da dee, la dee da Brand new me, brand new you Something new overdue La da dee, la dee da La da dee, la dee da   She from the block and she's rollin' She got her own and she's rollin' She's all alone and she's rollin' She's a brand new girl and she's rollin' In my sleep I see her beggin', reaching from me It took a long road to get here It took a brave girl, brave girl for trying She's just like you and me 'cause she wants it, she wants it As she stares herself in the mirror   (She's a brand new me, she's a brand new you She's a brand new me, she's a brand new you Do what she's supposed to do She do what she's supposed to do She's a brand new me, she's a brand new you She's a brand new me - she's rollin') La da dee, la dee da La da dee, la dee da La da dee, la dee da La da dee, la dee da Brand new me, brand new you Something new overdue La da dee, la dee da La da dee, la dee da La da dee, la dee da La da dee, la dee da   She from the block and she's rollin' She got her own and she's rollin' She's all alone and she's rollin' She's a brand new girl and she's rollin' She's rollin' She's rollin' She's brand new and she's rollin' She's rollin' She's brand new and she's rollin' She's brand new and she's rollin' She from the block and she's rollin She got her own and she's rollin' She's all alone and she's rollin' She's a brand new girl and she's rollin' She's rollin'"
/songs/696539,Alicia Keys,Butterflyz,https://genius.com/Alicia-keys-butterflyz-lyrics,http://api.genius.com/songs/696539,Songs in A Minor,2001-06-05," Lately when I look into your eyes Baby, I fly, you're the only one I need in my life Baby, I just don't know how to describe How lovely you make me feel inside   You give me butterflyz Have me flying so high in the sky I can't control the butterflyz You give me butterflyz Got me flying so high in the sky I can't control the butterflyz   It seemed like the likely thing From the start you told me, yeah, I would be your queen But never had I imagined such a feeling Joy is what you bring, I wanna give you everything   You give me butterflyz Have me flying so high in the sky I can't control the butterflyz You give me butterflyz Have me flying so high in the sky I can't control these butterflyz   You and I are destiny I know now You were made for me I can't control it It's driving me Taking over me and I... Ohh   You give me butterflyz Got me flying so high in the sky I can't control the butterflyz You give me butterflyz Got me flying so high in the sky I can't control the butterflyz You give me butterflyz Got me flying so high in the sky I can't control, I can't control it You give me butterflyz Got me flying so high in the sky I can't control the butterflyz, oh no, oh no   You give me something I just can't deny Something that's so real I just can't control the way I feel Inside of me... You give me something I just can't deny Something that's so real I just can't control the way I feel Oh, I never felt like this"
/songs/697054,Alicia Keys,Caged Bird,https://genius.com/Alicia-keys-caged-bird-lyrics,http://api.genius.com/songs/697054,Songs in A Minor,2001-06-05," Right now, I feel like a bird Caged without a key Everyone comes to stare at me With so much joy and reverie They don't know how I feel inside Through my smile, I cry They don't know what they're doing to me Keeping me from flying That's why I say that...   I know why the caged bird sings Only joy comes from song She's so rare and beautiful to others Why not just set her free?   So she can fly, fly, fly Spreading her wings and her song Let her Fly, fly fly For the whole world to see   She's like caged bird Fly, fly Ooh, just let her fly Just let her fly Just let her fly Spread the wings Spread the beauty"
/songs/2895381,Alicia Keys,Cocoa Butter (Cross & Pic Interlude),https://genius.com/Alicia-keys-cocoa-butter-cross-and-pic-interlude-lyrics,http://api.genius.com/songs/2895381,HERE,2016-11-04,"Man 1: Cocoa butter. You're supposed to put cocoa butter on your whole body -  Man 2: Listen, I'm talking to remove something that you're insecure about! But listen man, are you insecure about anything on you? No! But there's women that's insecure about stretch marks!  Alicia: You insecure about something, what you insecure about? Now you gon' have to share  Man 2: My chipped tooth. I'm insecure about this bunion I got on my foot. Women are insecure about stretch marks, that's why they hide 'em. That's why they say stretch marks are your beauty scars. You just say, you wanna hit someone. Is you gonna hit, the joint you put me on one time was beautiful. Which joint I put you on? listen but her stomach was a prune but I still kissed her!  Man 1: Hold up, listen, listen. This is the thing. If you kissed her stomach and you cut your lip"
/songs/777167,Alicia Keys,Dah Dee Dah (Sexy Thing),https://genius.com/Alicia-keys-dah-dee-dah-sexy-thing-lyrics,http://api.genius.com/songs/777167,Men in Black - The Album ,1997-07-01," Yeah, yeah yeah Say yeah yeah, yeah yeah yeah Dah dee dah, dah dah dah dee dah Dah dee dah, dah dah dah dee dah Dah dee dah, dah dah dah dee dah Dah dee dah, dah dah dah dee dah   Sexy thing, I can do anything 'Cause constantly (constantly) I'm thinking of how to get you next to me (next to me) Maybe it's there, playing your mentality (ohh) ooh   Dah dee dah, dah dah dah dee dah Dah dee dah, dah dah dah dee dah (I can't explain...) Dah dee dah, dah dah dah dee dah (...why I feel this way) Dah dee dah, dah dah dah dee dah (I don't know, loving you)   Sexy thing (yeah yeah) You can't hide the feelings that are deep inside (deep inside) I can see it pouring through them pretty eyes (pretty eyes) How much longer can you hide it, this disguise? (not much)   Oh, you're givin' this feelin' (this feelin') That got me yearnin' (that got me yearnin') I hope you know I'm what you need (I'm what you need, I'm what you need) Just le tme tell ya (let me tell ya) There's no one for ya There's no one for ya but me No, no   Dah dee dah, dah dah dah dee dah (Make me sing) Dah dee dah, dah dah dah dee dah (Mmm, I can't explain...) Dah dee dah, dah dah dah dee dah (Oh, why I feel this way) Dah dee dah, dah dah dah dee dah (When I'm loving you)   If you want to go, we can run We can run away from here I got this feelin', baby If you want to go, we can run We can run away from here  Dah dee ya dah dah, dah dee ya dah dah Dah dee ya dah dah, dah dee ya dah dah Too high, too high, yes, I am Too high, too high, hey hey Too high, too high, yes, I am Too high, too high  'Cause you make me wanna sing, baby Hey, bah-di-yah-dah-dah Make me wanna sing, yeah Somethin' like, somethin' like Ba-ba-di-ya-ba-ba, ba-di-ya-dah-dah Somethin' like, somethin' like Ba-di-ya-dah-dah, ba-di-ya-dah-dah  Let it ride, let it ride Let it ride, let it ride Hit, hit me off again Dah dee dah, dah dah dah dee dah"
/songs/82632,Alicia Keys,Diary,https://genius.com/Alicia-keys-diary-lyrics,http://api.genius.com/songs/82632,The Diary of Alicia Keys,2004-06-29," Lay your head on my pillow Here you can be yourself No one has to know what you are feeling No one but me and you, ooh   I won't tell your secrets Your secrets are safe with me I will keep your secrets Just think of me as the pages in your diary   I feel such a connection Even when you're far away Ooh baby, if there's anything that you fear Call 489-4608 and I'll be here  [Chorus: Alicia Keys & (Tony! Toni! Toné!)] I won't tell your secrets Your secrets are safe with me (Safe with me) I will keep your secrets Just think of me as the pages in your diary Yeah, mmm, yeah   And only we know what is talked about, baby boy I don't know how you can be driving me so crazy, boy Baby, when you're in town, why don't you come around, boy? I'll be the loyalty you need, you can trust me, boy  [Chorus: Alicia Keys & (Tony! Toni! Toné!)] Oh, I won't tell (No, no, no) your secrets (I will never, never, never) Your secrets are safe with me (Safe with me) I will keep (I will keep) your secrets (Your) Just think of me as the pages in your diary  [Outro: Alicia Keys & Tony! Toni! Toné!] Everybody say whoa, whoa Lemme hear you say whoa, whoa Lemme hear you say whoa, whoa I'm saying whoa, whoa Lemme hear you say I won't tell, I won't tell I won't tell, I won't tell I won't tell, I won't tell Your secrets, your secrets Break it down, oh Secrets, secrets"
/songs/1950487,Alicia Keys,Diary (Unplugged),https://genius.com/Alicia-keys-diary-unplugged-lyrics,http://api.genius.com/songs/1950487,Unplugged,2005-10-07,"Lay your head on my pillow Here you can be yourself No one has to know what you are feeling No one but me and you  I won't tell your secrets Your secrets are safe with me I will keep your secrets Just think of me as the pages in your diary  I feel such a connection Even when you're far away Oooo baby if there's anything that you fear Call 4894608 and I'll be here  I won't tell your secrets Your secrets are safe with me I will keep your secrets Just think of me as the pages in your diary  And only we know what we talked about baby boy Don't know how you can be drivin' me so crazy, boy Baby, when you're in town why don't you come around, boy? I'll be the loyalty you need you can trust me boy (ohh)  I won't tell your secrets Your secrets are safe with me I will keep your secrets Just think of me as the pages in your diary"
/songs/286470,Alicia Keys,Die Without You,https://genius.com/Alicia-keys-die-without-you-lyrics,http://api.genius.com/songs/286470,None,2019-02-11," Is it my turn to wish you were lying here? I tend to dream you when I'm not sleeping Is it my turn to fictionalize my world? Or even imagine your emotions, tell myself anything Is it my turn to take you by your hands? Tell you, I love you and you not hear me Is it my turn to totally understand? To watch you walk out of my life and not do a damn thing   If I have to give away, every feeling that I feel, yeah If I have to sacrifice, oh, whatever babe, whatever, baby If I have to take apart, all that I am Is there anything that I would not do, inside I'd die without you   Oh, I apologize for all the things I've done But now, I'm underwater and I'm drowning Is it my turn to be the one to cry? Isn't it amazing how some things completely turn around? Take every little piece of my heart Take every little piece of my soul Take every little piece of my mind Cause if you're gone, inside, I'd die without you   Cause inside I'd die without you Yeah baby I'd die without you Can't you see that I'd die without you?  "
/songs/792621,Alicia Keys,Distance and Time,https://genius.com/Alicia-keys-distance-and-time-lyrics,http://api.genius.com/songs/792621,The Element of Freedom (Empire Edition),2009-12-11," This song is dedicated for all the lovers who can't be together Separated by distance and time   You are always on my mind All I do is count the days Where are you now? I know I never let you down I will never go away   I really wish that you would stay, but what would we do? All the days that you've been gone, I dream about you And I anticipate the day that you will come home, home, home   No matter how far you are No matter how long it takes him Through distance and time I'll be waiting And if you have to walk a million miles I'll wait a million days to see you smile Distance and time, I'll be waiting Distance and time, I'll be waiting   Will you take a train, to meet me where I am? Are you on your way? And I will never do anything to hurt you I'll never live without you   I really wish that you would stay, but what would we do? All the days that you've been gone, I dream about you And I anticipate the day that you will come home, home, home   No matter how far you are No matter how long it takes him Distance and time, I'll be waiting And if you have to walk a million miles I'll wait a million days to see you smile Distance and time, I'll be waiting No matter how far you are No matter how long it takes him Distance and time, I'll be waiting And you can walk a million miles I'll wait a million days to see your smile Through distance and time, I'll be waiting   Oh, whoa, whoa Oh, whoa, whoa Oh, whoa, whoa I'll be waiting I'll be waiting (Oh, whoa, whoa) Oh, whoa, whoa Through distance and time, I'll be waiting You are always on my mind All I do is count the days Where are you now?"
/songs/245980,Alicia Keys,Doesn't Mean Anything,https://genius.com/Alicia-keys-doesnt-mean-anything-lyrics,http://api.genius.com/songs/245980,The Element of Freedom (Empire Edition),2009-09-22," Used to dream of being a millionaire without a care But if I'm seeing my dreams and you aren't there 'Cause it's over, that just won't be fair, darlin' Rather be a poor woman livin' on the street, no food to eat 'Cause I don't want no pie if I have to cry 'Cause it's over when you said goodbye   All at once, I had it all But it doesn't mean anything now that you're gone From afar, seems I had it all But it doesn't mean anything since you're gone   Now I see myself through different eyes, it's no surprise What being alone would make you realize When it's over, all in love is fair I shoulda been there, I shoulda been there, I shoulda, shoulda   All at once, I had it all But it doesn't mean anything now that you're gone From afar, seems I had it all But it doesn't mean anything since you're gone   I know I pushed you away What can I do that will save our love? Take these material things They don't mean nothing, it's you that I want   All at once, I had it all But it doesn't mean anything now that you're gone From afar, seems I had it all But it doesn't mean anything since you're gone (I shoulda been there, I shoulda been there, I shoulda, shoulda) All at once, I had it all But it doesn't mean anything now that you're gone From afar, seems I had it all But it doesn't mean anything since you're gone"
/songs/776540,Alicia Keys,Doncha Know (Sky Is Blue),https://genius.com/Alicia-keys-doncha-know-sky-is-blue-lyrics,http://api.genius.com/songs/776540,As I Am,2007-11-21," If you think the sky is fallin' You're comin' undone All the pieces crumble You're on the run All the wrong you've taken All the rules you're breakin' Doncha know the silent truth is It comes back to you   Doncha know the sky is blue Can't you see the sun is breaking through Have a little faith in you Doncha know the sky is blue   Every time you walk out that door Cursing the sky Feelin' like you've been cheated Ripped from inside   Doncha know the sky is blue Can't you see the sun is breaking through Have a little faith in you Doncha know the sky is blue Come on, mmm Mmm, yeah Hey now Na na na na na na na na...   Doncha know the sky is blue Doncha know the sky is blue Have a, have a little faith in you Doncha know the sky is blue Doncha know the sky is blue Hey! Doncha know the sky is blue Come on The sky is blue Said: sky, sky I'm telling you the sky is blue Believe it, woo hoo Doncha know the sky, sky, sky, sky Hey hey... Na-nananana..."
