api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4066976,Aloe Blacc,All I Have Is Love,https://genius.com/Aloe-blacc-all-i-have-is-love-lyrics,http://api.genius.com/songs/4066976,Christmas Funk,2018-11-09," I'm sorry, baby, but daddy ain’t got no Christmas money I've been on my feet trying to get ends meet in this land of milk and honey Now every paycheck that I get, whatever I make, they take it from me So I'm sorry, baby, but daddy ain’t got no Christmas money   All I have is love, yeah Love, yeah, love, yeah Love, yeah   I'm sorry, baby, but daddy ain't got no Christmas spending cash It's hard enough trying to find a way to make the little but that I have in my pocket last Soon as I earn it, I got to turn around and spend on some gas So I'm sorry, baby, but daddy ain't got no Christmas spending cash   But what I have for you is endless It's a gift that is so tremendous It can wrap around from your head to the ground And lift you up when you're down All I have is love, yeah All I have is love, yeah All I have is love, yeah All I have is love, yeah   I really wish it was different, wish I had some better news You know I’d do anything if there was something I could do I’d love to get you some clothes that fit you and a brand new pair of shoes But the work is slow and every cent goes to paying rent and buying food   But what I have for you is endless It's a gift that is so tremendous It can wrap around from your head to the ground And lift you up when you’re down All I have is love, yeah All I have is love, yeah All I have is love, yeah All I have is love, yeah   All I have is L-O-V-E, love All I have is L-O-V-E, love"
/songs/4066972,Aloe Blacc,All I Want for Christmas Is You,https://genius.com/Aloe-blacc-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/4066972,Christmas Funk,2018-11-09," All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   I don't want a lot for Christmas There's just one thing I need I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true 'Cause all I want for Christmas is you   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   I won't ask for much this Christmas I won't even wish for snow And I'm just going to keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click   I just want you here tonight Holding on to me so tight What more can I do? 'Cause all I want for Christmas is you You, baby   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now)   All the lights are shining So brightly everywhere And the sound of children The laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?   I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door   I just want you for my own More than you could ever know Make my wish come true 'Cause all I want for Christmas Is you   All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you (I said it now) All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you All I want for Christmas, yeah, is you (I said it now)"
/songs/4043243,Aloe Blacc,A Million Dollars A Day,https://genius.com/Aloe-blacc-a-million-dollars-a-day-lyrics,http://api.genius.com/songs/4043243,None,2018-10-26," I got dreams, y'all (talk about it) Big old pie in the sky, hopes are high Crazy dreams, y'all (talk about it) Bucket list full of ignorance is bliss And fancy little things, y'all, twinkling in my eye Hoping that I live to see it all before I die   I heard about the power of intention Did I forget to mention, I just wanna get paid   A million dollars a day, hey A million dollars a day, hey Said I just wanna get paid, 'cause I'm worth it A million dollars a day, I deserve it A million dollars a day Hey   I got needs, y'all (talk about it) I'm in debt to my knees from tuition and fees From my degrees, y'all (talk about it) And my skills should pay the bills But I still got a couple mouths to feed, y'all And they ask me all the time: (""Daddy, why do we always gotta stand in this line?"")   I heard about the power of intention Did I forget to mention that I hope it works out for me?   Give me please a million dollars a day, hey A million dollars a day, hey Said I just wanna get paid, 'cause I'm worth it A million dollars a day, watch me work it A million dollars a day Hey, hey Hey, hey   In my wildest imagination (imagination) My whole life is just a vacation (just a vacation) If I believe in it (If I believe in it), I can achieve it (I can achieve it) Put it in the air, and wait to receive it A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah) A million dollars a day (Show me that money, show me that money, show me that money, yeah) Said I just wanna get paid (Gimmie that money, gimmie that money, gimmie that money, yeah) 'Cause I'm worth it A million dollars a day (Show me that money, show me that money, show me that money, yeah) I deserve it That's one, zero, zero, zero, zero, zero And an extra zero for me   A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah) A million dollars a day (Show me that money, show me that money, show me that money, yeah) Hey Said I just wanna get paid (Gimmie that money, gimmie that money, gimmie that money, yeah) 'Cause I'm worth it A million dollars a day (Show me that money, show me that money, show me that money, yeah) Watch me work it A million dollars a day (Gimmie that money, gimmie that money, gimmie that money, yeah)   Hey (Show me that money, show me that money, show me that money, yeah) Hey (Show me that money, show me that money, show me that money, yeah)"
/songs/797162,Aloe Blacc,Are You Ready,https://genius.com/Aloe-blacc-are-you-ready-lyrics,http://api.genius.com/songs/797162,Shine Through,None,Are ya ready Are ya ready Are ya ready for me Are ya ready lets go  Keep ya body movin Keep ya hot body grooving Coz you've nuthin to be Loosin keep your hands on me  Keep ya body movin Keep ya hot body grooving Coz you've nuthin to be Loosin keep your hands on me  Pull up to the club We don't walk just stride We know how to sell it All the fellas say hi Here with all the people That we're meeting inside It's gonna be our night It's gonna be our night  When I hear the dance floor Kickin that groove D.J's got the beat to make Your body go ew Everybody's checkin As I start to move It's gonna be our night It's gonna be our night  If ya came to party And ya feelin naughty When ya shake your body Go oh oh oh If ya hands are dirty And ya feelin flirty Then take off your shirt And go oh oh oh As the club is shakin And the floors vibrating Everbody sayin oh oh oh So if you're ready for me Come and sing it with me If ya feel me go oh oh oh  Sexy gummaretta shakin on by Comin on to you As I slither and I slide My whole body's movin And my hips on fire I've got what you want What you've always desired Feelin' Sensations outta control Can you feel the beat As it rips your soul Everybody's freakin It's the weekend oh oh It's gonna be our night It's gonna be our night
/songs/797527,Aloe Blacc,Arrive,https://genius.com/Aloe-blacc-arrive-lyrics,http://api.genius.com/songs/797527,Shine Through,None," You know I got you I got you where I want you You can't run from me And you can'd hide from me now   Lay down Don't say a word Please don't move Calm your nerves Just relax I got your back Hold you down Get comfortable I'm in control Love your body now Open up Let me in This is [?]   I can see the look in your eyes When I'm inside You can even scream if you like When you arrive   So beautiful Your face my dear The way you look When you're almost there And when you walk The way you sound It makes me Wanna be down town   Scream if you want like its your party Dance with my hands all over your body Taking of your g-string oh my lordy How you did with your pants still on? You naughty Find some paper and a pencil or a pen quick Write down everything you ain't did yet Write down all the things that you wanna do That's probably all the things I'm gon' do to you If not now then the next time we get up When you think about get your 'uh' all wet up Meet me at your place we can go head up And let me see that look, I wanna see that look now      "
/songs/4066977,Aloe Blacc,At Christmas,https://genius.com/Aloe-blacc-at-christmas-lyrics,http://api.genius.com/songs/4066977,Christmas Funk,2018-11-09," At Christmas At Christmas   Outside the snow is white We're sitting together by the firelight That's how we do it at Christmas, yeah, yeah The table is filled with food Record player spinning a groove That's how we do it at Christmas, yeah, yeah When the sun goes down, the lights go up I pour some eggnog in my cup A slice of fruitcake on my plate Let's trim the tree and decorate, yeah   At Christmas, at Christmas, yeah, yeah At Christmas, that's how we do it at Christmas   Playing games and singing songs Telling stories all night long That's how we do it at Christmas, yeah, yeah Sharing gifts and giving hugs We gon' fill this house with love That's how we do it at Christmas, yeah, yeah When the day is done, it's time to sleep We pray the Lord our souls to keep Give us blessings throughout the year And bring us back together right here   At Christmas, at Christmas, yeah, yeah At Christmas, that's how we do it at Christmas   Waking up at the creak of dawn Wearing 'jamas all day long That's how we do it at Christmas, yeah, yeah Roasting ham hock baking pies Make the chicken country-fried That's how we do it at Christmas, yeah, yeah Outside the snow is white And inside the mood just is right That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas, yeah At Christmas Build a snowman in the snow Standing under the mistletoe That's how we do it at Christmas, yeah, yeah Hanging stockings over the chimney Sneak a peak, what did Santa bring me? That's how we do it at Christmas, yeah, yeah Watching movies snuggled up Apple cider in my cup   That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas, woah-woah That's how we do it at Christmas, yeah, yeah That's how we do it at Christmas"
/songs/3182908,Aloe Blacc,Back In The Saddle,https://genius.com/Aloe-blacc-back-in-the-saddle-lyrics,http://api.genius.com/songs/3182908,Need For Speed (Original Motion Picture Soundtrack),None," I'm back I'm back in the saddle again I'm back I'm back in the saddle again   Riding into town alone By the light of the moon I'm looking for all Sukie Jones She crazy horse saloon Barkeep give me a drink That's when she caught my eye She turned and gave me a wink That made a grown man cry   I'm back I'm back in the saddle again I'm back I'm back in the saddle again   Um, come easy, go easy Alright until the rising sun I'm calling all the shots tonight I'm like a loaded gun Peeling off my boots and chaps I'm saddle sore Four bits gets you time in the racks I scream for more Fool's gold out of their mines The girls are soaking wet Ain't no tongue's drier than mine I'll come when I get back   I'm back I'm back in the saddle again I'm back I'm back in the saddle again   Riding I'm loading up my pistol You know I'm riding I really got a fistful You know I'm riding I'm shining up my saddle Can you see me, I know, I'm riding This snake is going to rattle   I'm back I'm back in the saddle again I'm back I know you see me I'm back in the saddle again   I'm riding high I'm riding high Riding high I'm riding high I'm riding high I'm riding high Back, back, b-back, back, back in the saddle in the again Back, back, back, b-back, back, back in the saddle in the again Back, back, back, b-back, back, back in the saddle in the again Back, back, back, b-back, back, back in the saddle in the again Come on with me man I'm riding high I'm back in the saddle again"
/songs/2122873,Aloe Blacc,Bailar - Scene 1,https://genius.com/Aloe-blacc-bailar-scene-1-lyrics,http://api.genius.com/songs/2122873,Shine Through,None," Mmm, She look good, yeah over there And I don't wanna stare But the way she fixed up her hair, and I care It looks just right and I think I just might... But what if up close She don't look right? And what if I'm not her type? Not the kinda guy she like? Whateva How will I ever meet my wife If I never meet my wife? That's clever Gotta do somethin' about this No matter how much I may doubt this Could be the one Mami you could be some fun Or maybe she could be a ton Of trouble But I could use some trouble in my life I wanna get into some trouble tonight. (Yeah) (x4)   But first I'm gonna dance cause I came here to dance Move cause I came here to move Groove, you know I'm up in a groove That's what I came here to do Find me a girl who can dance Look for a girl who can move Dance with a lady who's shakin' it, like she got somethin' to prove   Brother you know you got game Go ahead and get the dame Ask her name, say somethin' Don't just stand there frontin' What you want is probably what she wantin'  Right, then I'ma say peace to my man And make my way across the floor I'ma cross the flow, yeah I'm in front of her face We make eye contact If she smile back, I'm grabbin' her waist Cumbia step, we shake to the bass Salsa step she follow my pace Yeah she got frace I tell her that my name is Nathaniel She told me that she only speak in Espanol"
/songs/2877538,Aloe Blacc,Billie Jean,https://genius.com/Aloe-blacc-billie-jean-lyrics,http://api.genius.com/songs/2877538,The Time Is Now!,2016-10-07," She was more like a beauty queen from a movie scene I said don't mind, what do you mean I am the one Who will dance on the floor in the round, yeah She told me her name was Billie Jean as she caused a scene Then every head turned with eyes that dreamed of being the one Who will dance on the floor in the round, yeah   But people always told me be careful of what you do Don't go around breaking young girls' hearts And mother always told me got be careful who you love Be careful what you do cause the lie becomes the truth, hey   Billie Jean is not my lover She's just a girl who claims that I am the one But the kid is not my son She says I am the one, but the kid is not my son Oh no, no   People always told me be careful of what you do, what you do, what you do Don't go around breaking young girls' hearts And mother always told me be careful who you love Be careful what you do cause the lie becomes the truth, hey yeah"
/songs/51832,Aloe Blacc,Blind World,https://genius.com/Aloe-blacc-blind-world-lyrics,http://api.genius.com/songs/51832,Now-Again Re:Sounds (Vol. 1),2007-01-01," Yo It's a blind world Yo   What is the world coming to? The way I feel about my life right now is as if I don’t Do something quick that I might end up sick or homicidal Appreciate the blessings lingering in my vibrato Administrate the lessons I’m singing in my recital Give it another title, call it the daily bread A special formula you fix to get the baby fed It's brain food, that kind they ooze into a baby’s head So he won’t be misled and when the baby’s dead Bury him where they buried Terry just to grow a tree up They cutting down the rainforest looking for space to free up And paving paradise with parking lots where buildings be up What is the world coming to? It’s really messing me up I got a brand new nephew in about a year His lungs will be older than he is from the cloudy air Not saying cloudy like the molecules of H20 I’m talking about the factories and fumes, whatever you know And every time I’m driving, I’m thinking ""I’m such a culo!"" My contribution of pollution isn’t very cool though But what am I to do though? I got to work to live And if I happen to be living where my working is Then will I ever learn to celebrate it through my kids One day I’ll have 'em maybe but first I need a lady And will I give her all my time and will she really love me And will she give me shelter when the storms are up above me I know sometimes it be my personality is ugly And no amount of make up can make up for that But know I recognize a game and when I’m up to bat I’m gonna put a little change into the thinking cap Because to change the world you gotta change your mind We can’t go on living wrong inside of the same design It gotta be that you and me agree to make a difference Put up a canvas and manipulate the color pigments To paint a portrait of tomorrow full of broader figments In your imagination could you imagine nations? At peace and harmony instead of genocidal warring Where borders don’t exist and nobody’s considered foreign Mother Earth is respected, animals are protected Society perfected, Capitalism's rejected What is the world coming to? Almost the end of us And it’s the evils in the world today we tend to trust How could we let the ashes crumble till they come to dust I guess that’s what is meant to happen if you blind enough If you ready for what is coming, then come on with me Follow my voice, if you can hear it let the song lift me Into the graces of Heaven’s hugs, to learn love’s embrace And share with every beautiful face I place my right hand on my heart And say, let me be the start I pound my fist on my chest and request Allow me to be the test, and when I’m at my best I can make a Catholic priest confess Cause guilt is worse than the parasite in his flesh And the flesh is weak but the pride is strong And it can make a little lie last a little bit longer Than it was ever intended by whom ever intended to send it Watch the evil manifest that it rendered And I hope you remembered your place in this Look up at a shooting star, go 'head and make a wish Hopefully it will be granted by the gods Against all odds you’ll be wise enough to see through the facades What is the world coming to? I wish I had a answer Better than seeing human beings as a living cancer Better than being what I’m seeing hope I have a chance to Raise the consciousness Peace ya’ll and god bless   Blind World"
