api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3302295,Andy Grammer,85,https://genius.com/Andy-grammer-85-lyrics,http://api.genius.com/songs/3302295,The Good Parts,2017-12-01," There is a lie that I believed The more that I got, the more I'd be free, free, free, free So I've been away, making the green See, the more that I get, the more that I need, need, need, need   Pray for my, pray for my, pray for my soul I got a, got a disease, and it's gold Caught it so easy like the common cold, ooh, ooh Tossing and tossing and turning around Trying and trying to sweat it all out Kicking the habit that's pulling me down, ooh, oh   I don't wanna be 85, singing ""Oh, no, I think I missed it, I was chasing money"" I don't wanna be 85, singing ""Oh, no, I got a big house, but my heart is ugly"" You can't take it with ya, and your whip ain't gon' miss ya So wipe off that window, see the bigger picture now I don't wanna be 85, singing ""Whoa, no, I think I missed it, I was chasing money""   Now there is a dream that I was sold Just get all you can before you get old, old, old, old So I bought it all and took out a loan But now that I'm here, I got nothing to show, show, show, show   Pray for my, pray for my, pray for my soul I got a, got a disease, and it's gold Caught it so easy like the common cold, ooh, ooh Tossing and tossing and turning around Trying and trying to sweat it all out Kicking the habit that's pulling me down, ooh, oh   I don't wanna be 85, singing ""Oh, no, I think I missed it, I was chasing money"" I don't wanna be 85, singing ""Oh, no, I got a big house, but my heart is ugly"" You can't take it with ya, and your whip ain't gon' miss ya So wipe off that window, see the bigger picture now I don't wanna be 85, singing ""Whoa, no, I think I missed it, I was chasing money""   I want a life I cannot pay for I want a life I can't afford to live without I want a life I cannot pay for I want a life I can't afford to be missing out   I don't wanna be 85, singing ""Oh, no, I think I missed it, I was chasing money"" I don't wanna be 85, singing ""Oh, no, I got a big house, but my heart is ugly"" I don't wanna be 85, singing ""Oh, no, I think I missed it, I was chasing money"" I don't wanna be 85, singing ""Whoa, no, I got a big house, but my heart is hurting me""   ""I think I missed it, I was chasing money"""
/songs/3092563,Andy Grammer,A Friend Like You,https://genius.com/Andy-grammer-a-friend-like-you-lyrics,http://api.genius.com/songs/3092563,Captain Underpants: The First Epic Movie (Original Motion Picture Soundtrack),None," Right from the start, couldn't pull us apart, it just works Nobody else ever gets me as well on this earth Like rock and roll, Marshall's and telly's Mac and cheese, PB's and jellies Some things are better together, and that you and me-e   Dude, I love you, bro, I love you Man, I love you You're my brother from another, 'nother mother You are my favorite, I'm not ashamed to admit Cause I do, dude, I do Dude, I love you, bro, I love you Man, I love you You're my homie, no one knows me like you know me Like the sun and the moon, all the best things comes in two What would I do without a friend like you?   W-w-w-w-what would I do? Without a friend like you W-w-w-w-what would I do? Without a friend like you?   Laughed and we cried when we're passing the time away Even our fights always end with a smile on our face Like black and white, keys on a whirley Sounds just right when we're in harmony Some things are better together and that's you and me-e   Dude, I love you, bro, I love you Man, I love you You're my brother from another, 'nother mother You are my favorite, I'm not ashamed to admit Cause I do, dude, I do Dude, I love you, bro, I love you Man, I love you You're my homie, no one knows me like you know me Like the sun and the moon, all the best things comes in two's What would I do without a friend like you?   W-w-w-w-what would I do? Without a friend like you W-w-w-w-what would I do? Without a friend like you   Without a friend like you Without a friend like you W-w-w-w-what would I do? (I wouldn't be the same, man) Without a friend like you? (I wouldn't be the same, man) Without a friend like you   Dude, I love you, bro, I love you Man, I love you (bro, love you) You're my homie, no one knows me like you know me You are my favorite, I'm not ashamed to admit Cause I do, dude, I do Dude, I love you, bro, I love you Man, I love you Got my back, I got your back, like chiropractors Like the sun and the moon, all the best things come in two's What would I do without a friend like you?   W-w-w-w-what would I do? Without a friend like you W-w-w-w-what would I do? Without a friend like you"
/songs/3010270,Andy Grammer,All Time Low,https://genius.com/Andy-grammer-all-time-low-lyrics,http://api.genius.com/songs/3010270,Spotify Singles,2017-03-01," Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low   I was the knight in shining armor in your movie Would put your lips on mine and love the aftertaste Now I'm a ghost, I call your name, you look right through me You're the reason I'm alone and masturbate   I, I've been trying to fix my pride But that shit's broken, that shit's broken Lie, lie, l-lie I tried to hide But now you know it   That I'm at an all time Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low   I was the prototype like 3 Stacks on that CD An example of the perfect candidate Now all your girlfriends say that you don't want to see me You're the reason that I just can't concentrate   I, I've been trying to fix my pride But that shit's broken, that shit's broken, yeah Lie, lie, l-lie I tried to hide But now you know it   That I'm at an all time Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low   See, I've been trying to fix my pride But that shit's broken, that shit's broken Lie, lie, l-lie I tried to hide But now you know it   That I'm at an all time Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low"
/songs/3302296,Andy Grammer,Always,https://genius.com/Andy-grammer-always-lyrics,http://api.genius.com/songs/3302296,The Good Parts,2017-12-01," You and me will be always   I'll be honest, there's a lot that I don't know So much of this is out of our control And the hardest thing can be learning to let go 'Cause there's a short, short list of people in it for the long haul   Now, see, your clothes your shoes and your best friends They ain't gonna stay the same Your reckless years and your mistakes I promise you, they fade away But trust me, the one thing that nothing in this world can change Hey, you and me will be always Always, you and me will be always   Gonna love all the versions of yourself that you'll try Let you go through your phases, cheer you on from the side And the sweetest thing is just knowing that you've got love From the short, short list of the people in it for the long haul   Now, see, your clothes your shoes and your best friends They ain't gonna stay the same Your reckless years and your mistakes I promise you, they fade away But trust me, the one thing that nothing in this world can change Hey, you and me will be always Always, you and me will be always   I'm gonna be, I'm gonna be your always always I'm gonna be, I'm gonna be your always always I'm gonna be, I'm gonna be your always always I'm gonna be, I'm gonna be your always always Hey, you and me will be always   Now, see, your clothes your shoes and your best friends They ain't gonna stay the same Your reckless years and your mistakes I promise you, they fade away But trust me, the one thing that nothing in this world can change Hey, you and me will be always Always, yeah, you and me will be always"
/songs/2386045,Andy Grammer,Amazing,https://genius.com/Andy-grammer-amazing-lyrics,http://api.genius.com/songs/2386045,Magazines or Novels (Deluxe Edition),2015-05-18," Dust off your heart and take it for a spin I know it's been a while since love has been Why don't you come outside? My arms are open wide And I'll be here until you realize, realize   Cause I'll be standing on your doorstep Light hotter than the sunset Just take your sweet time, babe I'll let you sleep Cause the love that I'm holding Will still be here in the morning I'm just sitting here hoping You'll come down to me And we could be amazing And we could be amazing   You know you're gonna have to trust again So throw on your shades and stop your worrying I got your heart, your back So don't stress out on that Us being here is not an accident, accident   Cause I'll be standing on your doorstep Light hotter than the sunset Just take your sweet time, babe I'll let you sleep Cause the love that I'm holding Will still be here in the morning I'm just sitting here hoping You'll come down to me And we could be amazing And we could be amazing   You've done something right to keep me up all night I could wait forever in your smile I will not give in, you will love again Open up your heart and say you'll try Say you'll try   Cause I'll be standing on your doorstep Light hotter than the sunset Just take your sweet time, babe Cause I'll be standing on your doorstep Light hotter than the sunset Just take your sweet time, babe I'll let you sleep Cause the love that I'm holding Will still be here in the morning I'm just sitting here hoping You'll come down to me And we could be amazing We could be amazing And we could be amazing And we could be amazing And we could be amazing"
/songs/402751,Andy Grammer,Back Home,https://genius.com/Andy-grammer-back-home-lyrics,http://api.genius.com/songs/402751,Magazines or Novels,2014-04-10," I'm gon' need you to raise your glass I don't care what you put in it Here's to nights that you can't take back We live hard, but we love to laugh We all thought that we'd get rich fast Hop the plane out for greener grass Found out the greenest cash Don't compare to the friends that last   See, we won't forget where we came from The city won't change us We beat to the same drum No, we won't forget where we came from The city won't change us We beat to the same drum, the same drum   La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home   So here's to the cheap sunglasses Redbull and minivans and People who had your back when The world didn't understand   See, we won't forget where we came from The city won't change us We beat to the same drum No, we won't forget where we came from The city won't change us We beat to the same drum, the same drum   La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home   When ties loosen, we're losin' touch and fading away We'll still be raisin' our cups to the same damn things Oh no, the city won't change us Oh no, the city won't change us Oh no, the city won't change us Oh no, the city won't change us, won't change us   La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home La-dah-dah-dah-dah-dah-dah-dah La-dah-dah-dah-dah-dah-dah-doe It don't matter where we go We always find our way back home We always find our way back home Yeah, we always find our way back home"
/songs/152427,Andy Grammer,Biggest Man in Los Angeles,https://genius.com/Andy-grammer-biggest-man-in-los-angeles-lyrics,http://api.genius.com/songs/152427,Andy Grammer,2011-06-14," I got my start on the street With a monkey next to me Shake you hand for a dollar If you're nice, kiss your cheek To my left I can see Chinese Flipping bowls to their head from there feet (yo) Strolling on the scene Are my arch enemies Break dancers take your crowd, your girl, your money Balloon man's telling to turn down please And the psychic agrees I begin to see that   Oh oh I'm home I'm right where I belong And there's nowhere else I'd rather be   Because those moments on the street When the crowd will rock with me I felt like the biggest man The biggest man in Los Angeles All I really need Are some ears to hear me dream I'll feel like the biggest man The biggest man in Los Angeles Standing on the street  Just standing in the street   A trombone cuts deep through the crowd Doing motown moves with his hat tucked down A belly dancer passes the tip jar around And the men are confused, slightly aroused Muslims, Christians preaching Wishing I would shut up so the people could listen I'm s'posed to cut through all this noise With my little voice I begin to see that   Oh oh I'm home I'm right where I belong And there's nowhere else I'd rather be   Because those moments on the street When the crowd will rock with me I felt like the biggest man The biggest man in Los Angeles All I really need Are some ears to hear me dream I'll feel like the biggest man The biggest man in Los Angeles Standing on the street  Just standing in the street   And the day goes dark I pack my car And stare out at the ocean Take some time A quiet smile Let it all just soak in  Because those moments on the street When the crown will rock with me I felt like the biggest man The biggest man in Los Angeles You see, all I really need For my life to feel complete Are some e-ears to hear me dream Some ears to hear me dream   Yes, those moments on the street When the crowd will rock with me I felt like the biggest man The biggest man in Los Angeles All I really need Are some ears to hear me dream I'll feel like the biggest man The biggest man in Los Angeles Standing on the street  Yeah  Just standing on the street, oh Just standing on the street Just standing on the street"
/songs/607640,Andy Grammer,Blame It On the Stars,https://genius.com/Andy-grammer-blame-it-on-the-stars-lyrics,http://api.genius.com/songs/607640,Magazines or Novels,2014-08-05," Sometimes you need a reason A bit of love you can believe in A little hug, a little daydreaming Apparently there's some correlation Between hearts and outer space and All I'm really trying to say is   That I'm just a Sagittarius And we're kind of spontaneous So let's head out to Vegas And find an Elvis to marry us Don't try to argue with the moon   We can blame it on the stars Oh, come on, let your heart just breathe Stars, oh, come on, let your guard down and We can blame it on the stars   We like to think that we're waiting On a previous reservation It's all written in the constellations Now I don't know, but neither do you Truth is, it's a good excuse For both our hearts to let loose   And I know that you're a Cancer Which means you like holding hands So show me how to do this dance and Spin me like a ceiling fan, oh Don't try to argue with the moon   We can blame it on the stars Oh, come on, let your heart just breathe Stars, oh, come on, let your guard down and We can blame it on the stars   I read your horoscope, and baby, you should know Just what your future holds Let your hips move, let my fingers find you Wrap my arms around you, here we go Stars, oh, come on let your heart just breathe The stars, the stars, stars   We can blame it on the stars Oh, come on, let your heart just breathe Stars, oh, come on, let your guard down and We can blame it on the stars"
/songs/152439,Andy Grammer,Build Me a Girl,https://genius.com/Andy-grammer-build-me-a-girl-lyrics,http://api.genius.com/songs/152439,Andy Grammer,2011-06-14," I was nearly a soul Getting ready to go Having one last talk with my maker He said, ""You're going to Earth For better or worse We'll see you back here sooner or later""  So I said to Him As I spread my wings ""Would You do one thing for me?""  Would you...   Build me a girl From all over the world I promise to always adore You Made in Japan With a style of Milan And a smile from California Brazilian walk A head from New York And pretty Parisian curls Build me a girl  Build me a girl   Well, the days went by Wondering why Why it was I hadn't found her I was staring at eyes Smiling at smiles Still, I was none the wiser  And You know I don't Don't mean to impose But I thought we had a deal  That you would...    Build me a girl Build me a girl   So, calling all women Who fit this description If I'm what you're missing Then, please just listen To the wind, the clouds They're all screaming out They're tryna bring you to me so do not shut them out Cuz there's a lady who's made for me Yes, there's a lady who's been made for me  I said  (2x)  Build me a girl  (I said build me a girl)"
/songs/3302300,Andy Grammer,Civil War,https://genius.com/Andy-grammer-civil-war-lyrics,http://api.genius.com/songs/3302300,The Good Parts,2017-12-01," If I ever get to Heaven, gonna walk up to his desk and say ""Got a couple questions Wonder whether you can answer me You put everything together Yeah, you made me just the way I am If you're a lover that can tell me, then please help me understand""   Why you put good into my heart Then tease me with evil since the day I was born? Guilty and confused, I ripped myself apart When you always knew I'd be a civil war That I'd be a civil war, that I'd be a civil war What'd you make me that way for? That I'd be a civil war   Now I've been living with my demons They've been eating at me every day I like change 'round my neck Most nights get the best of me And I'm ashamed, I'm amazed, I'm afraid of the wicked I need And I'm sure there's silver lining, and I'm trying, but I cannot see   Why you put good into my heart Then tease me with evil since the day I was born? Guilty and confused, I ripped myself apart When you always knew I'd be a civil war That I'd be a civil war, that I'd be a civil war Now, what'd you make me that way for? I'd be a civil war   'Cause damn it, I'm tired and I wanna change But you put it right into my DNA So just for one evening, I curse your name And ask why the hell do You do this to me?   Why would you put, why would you put Why you put good into my heart Then tease me with evil since the day I was born? Guilty and confused, I ripped myself apart When you always knew I'd be a civil war That I'd be a civil war, that I'd be a civil war Now, what'd you make me that way for? I'd be a civil war"
