api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/50396,Beyoncé,1+1,https://genius.com/Beyonce-1-1-lyrics,http://api.genius.com/songs/50396,4,2011-05-25," If I ain't got nothing, I got you If I ain't got something, I don't give a damn 'Cause I got it with you I don't know much about algebra, but I know 1+1 equals 2 And it's me and you That's all we'll have when the world is through   'Cause baby, we ain't got nothing without love Darling, you got enough for the both of us So come on, baby, make love to me   When my days look low Pull me in close and don't let me go, make love to me So when the world's at war, let our love heal us all Right now, baby, make love to me We, me, me, me Oh, make love to me   Hey, I don't know much about guns, but I I've been shot by you, hey And I don't know when I'm gon' die, but I hope That I'm gon' die by you, hey I don't know much about fighting, but I I know I will fight for you, hey Just when I ball up my fist, I realize I'm laying right next to you   Baby, we ain't got nothing but love And darling, you got enough for the both of us Ooh, make love to me   When my days look low Pull me in close and don't let me go, make love to me So when the world's at war, let our love heal us all Help me let down my guard Make love to me, me, me, me, me Oh, oh, make love to me, me, me, me, me  "
/songs/2461229,Beyoncé,6 INCH,https://genius.com/Beyonce-6-inch-lyrics,http://api.genius.com/songs/2461229,Lemonade,2016-04-23," Six inch heels, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness   She's stacking money, money everywhere she goes You know, pesos out of Mexico De uno, commas and them decimals She don't gotta give it up, she professional She mixing up that Ace with that Hennessy She love the way it tastes, that's her recipe Rushing through her veins like it's ecstasy (Oh no) She already made enough, but she'll never leave   Six inch heels, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness She works for the money, she work for the money From the start to the finish And she worth every dollar, she worth every dollar And she worth every minute   She work for the money She work for the money She work for the money She work for the money   She stack her money, money everywhere she goes She got that Sake, her Yamazaki straight from Tokyo Oh baby, you know, she got them commas and them decimals She don't gotta give it up 'cause she professional   Six inch heels, she walked in the club like nobody's business Goddamn (Goddamn, babe) She murdered everybody and I was her witness (Oh) She works for the money (Work for the) She work for the money (Work for the) From the start to the finish (Oh baby) And she worth every dollar (Worth every) She worth every dollar (Work for the) And she worth every minute   Stars in her eyes She fights for the power, keeping time She grinds day and night She grinds from Monday to Friday Work from Friday to Sunday, oh She gon' slang She too smart to crave material things She pushing herself day and night She grinds from Monday to Friday Work from Friday to Sunday, oh Stars in her eyes She fights and she sweats those sleepless nights But she don't mind, she loves the grind She grinds from Monday to Friday Works from Friday to Sunday, yeah, yeah She gon' slang Too smart to crave material things Stacking her paper, stacking her cake up She grinds from Monday to Friday Works from Friday to Sunday   Six inch heels, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness She works for the money, she work for the money (Know just what to do to make you love me) From the start to the finish And she worth every dollar, she worth every dollar (Love me) And she worth every minute   Ooh, boy, I'll make you feel You'll always come back to me Come back, come back Come back, come back Come back, come back  [Produced By ​boots, Beyoncé, Ben Billions & Danny Boy Styles]"
/songs/587286,Beyoncé,7/11,https://genius.com/Beyonce-7-11-lyrics,http://api.genius.com/songs/587286,BEYONCÉ (Platinum Edition),2014-11-25," Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack you  in the air Shoulders sideways, smack it, smack it in the air Smack it, smack it in the air, legs movin' side to side Smack it, smack it in the air; smack it, smack it in the air   Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap, like you don't care (I know you care)   Clap, clap, clap, clap, clap it Foot up, my foot up, hold up now my foot up I'm spinnin' my foot up, foot up yeah my foot up I'm spinnin' my foot up, put my foot down yeah my hands up My hands up, my hands up (flexin') flexin' while my hands up My hands up, my hands up, I stand up with my hands up Then I put up, my hands up, I put up, my hands up I put up, my hands up then I'm spinnin' all my hands up (spinnin') Spinnin' while my hands up (spinnin') spinnin' while my hands up (spinnin') Spinnin' while my hands up then I'm tippin' all my hands up Spinnin', I'm spinnin', I'm spinnin' while my hands up I'm spinnin', I'm spinnin', I'm spinnin' while my hands up (Drank)   Hold that cup like alcohol, oh let go like alcohol Hold that cup like alcohol, don't you drop that alcohol Never drop that alcohol, never drop that alcohol I know you thinkin' about alcohol, I know I'm thinkin' bout that alcohol   Man this here like rollin' dice, man this here like rollin' dice Seven eleven, seven eleven, seven twice, man seven twice Man it feel like rollin' dice, man this feel like rollin' dice Man it feel like rollin' dice, seven twice, seven twice Girl I'm tryna kick it with ya, girl I'm tryna kick it with ya Man I'm tryna kick it with ya, my feet up, I kick it with ya Man I swear I kick it with ya, girl I wanna kick it with ya Man I know I kick it with ya, yeah I spin around and I kick it with ya   Shoulders sideways, smack it, smack it in the air Legs movin' side to side, smack it in the air Legs movin' side to side, smack you  in the air Shoulders sideways, smack it, smack it in the air Smack it, smack it in the air, legs movin' side to side Smack it, smack it in the air; smack it, smack it in the air   Wave your hands side to side, put it in the air Wave your hands side to side, put it in the air Clap, clap, clap like you don't care Smack that, clap, clap, clap, like you don't care (I know you care)   Wave ya hands side to side Wave ya hands side to side Wave ya hands from side to side Wave ya hands side to side Ooh wee BB freaky deaky, think me see she pink bikini Rock that kufi, dye dashiki, Nefertiti, edges kinky Sweatin' out my blow out, sweatin' out my presses This trick about to go off, mad cause I'm so fresh Fresher than you, I'm fresher than you Fresher than you, oh"
/songs/1852095,Beyoncé,After All Is Said And Done,https://genius.com/Beyonce-after-all-is-said-and-done-lyrics,http://api.genius.com/songs/1852095,The Best Man (Soundtrack),1999-09-09," Here I am Looking in the mirror An open face, the pain erased Now the sky is clearer I can see the sun Now that all is, all is said and done, oh   There you are Always strong when I need you You let me give And now I live, fearless and protected With the one I will love After all is, all is said and done   I once believed that hearts were made to bleed (Inside I once believed that hearts were made to bleed, oh baby) But now I'm not afraid to say   I need you, I need you so stay with me   These precious (precious) hours (yeah) Greet each dawn in open arms And dream, into tomorrow   Where there's only love After all is, all is said and done   (Yeah baby) Oh baby (Inside I once believed, that hearts were meant to bleed)  [Beyonce & Marc (Marc)] (I'll never) I'll never be afraid to say I need you, I need you, so here   So here we are in the still of this moment Fear is gone, hope lives on  [Beyonce & Marc (Beyonce)] We found our happy ending For there's only love (only love) And this sweet, sweet love After all is, all is said and done   Yeah baby after all is (all is)   All is said and done"
/songs/919776,Beyoncé,All I Could Do Was Cry,https://genius.com/Beyonce-all-i-could-do-was-cry-lyrics,http://api.genius.com/songs/919776,Cadillac Records: Music From the Motion Picture,2008-12-02,"I heard Church bells ringing I heard A choir singing I saw my love Walk down The aisle On her finger He placed a ring  Oooh, oh  I saw them Holding hands She was Standing there Wwith my man I heard Them promise Til death do Us part Each word Was a pain In my heart  All I could do All I could do Was cry All I could do Was cry I was Losing the man That I love And all I could do Was cry  And now The wedding Is over The rice, rice Has been Thrown over Their heads For them life Has just begun But mine Is ending  Ooh  All I could do All I could do Was cry All I could do Was cry I was losing The man That I love And all I could do Was cry"
/songs/2461241,Beyoncé,ALL NIGHT,https://genius.com/Beyonce-all-night-lyrics,http://api.genius.com/songs/2461241,Lemonade,2016-04-23," I found the truth beneath your lies And true love never has to hide True love never has to hide I'll trade your broken wings for mine Trade your broken wings for mine I've seen your scars and kissed your crime, oh Seen your scars and kissed your crime   So many people that I know, they're just tryna touch ya Kiss up and rub up and feel up Kiss up and rub up and feel up on you Give you some time to prove that I can trust you again I'm gonna kiss up and rub up and feel up Kiss up and rub up and feel up on you   All night long Love all night long Sweet love all night long Sweet love all night long All I wanna, ain't no other We together, I remember Sweet love all night long   Our love was stronger than your pride Beyond your darkness, I'm your light, oh If you get deep, you touch my mind If you get deep, you touch my mind Baptize your tears and dry your eyes, oh Baptize your tears and dry your eyes   So many people, I know that they're just tryna touch ya Kiss up and rub up and feel up Kiss up and rub up and feel up on you Give you some time to prove that I can trust you again I'm gonna kiss up and rub up and feel up Kiss up and rub up and feel up on you   All night long Love all night long Sweet love all night long Sweet love all night long All I wanna, ain't no other We together, I remember Sweet love all night long   They say true love's the greatest weapon To win the war caused by pain, pain But every diamond has imperfections But my love's too pure to watch it chip away Boy, nothing real can be threatened True love breathes salvation back into me With every tear came redemption And my torturer became my remedy   So many people, I know that they're just tryna touch ya Kiss up and rub up and feel up Kiss up and rub up and feel up on you Give you some time to prove that I can trust you again I'm gonna kiss up and rub up and feel up Kiss up and rub up and feel up on you   All night long Love all night long Sweet love all night long Sweet love all night long All I wanna, ain't no other We together, I remember Sweet love all night long   How I missed you, my love"
/songs/1793879,Beyoncé,Amor Gitano,https://genius.com/Beyonce-amor-gitano-lyrics,http://api.genius.com/songs/1793879,B'Day (Deluxe Edition),2006-09-04,"[Letra de ""Amor Gitano"" ft. Alejandro Fernández]  [Verso 1: Beyoncé & Alejandro Fernández] Ven y quédate conmigo Dame el corazón vida mía estoy muriendo lento en mi prisión Anda dime lo que sientes quitate el pudor Y deja de sufrir, escapa con mi amor Y después te llevare hasta donde quieras sin temor y sin fronteras hasta donde sale el sol Contigo soy capaz de lo que sea No me importa lo que venga Porque ya se a donde voy   Soy tu gitano, tu peregrino La única llave de tu destino El que te cuida más que a su vida Soy tu ladrón Soy tu gitana, tu compañera La que te sigue, la que te espera Voy a quererte aunque me saquen el corazón Y aunque nos cueste la vida Y aunque duela lo que duela Esta guerra la ha ganado nuestro amor Esta guerra la ha ganado nuestro amor  [Verso 2: Beyoncé & Alejandro Fernández] Yo nací para tus ojos, para nadie más Siempre voy a estar en tu camino Alma de mi alma, corazón de tempestad Dime por donde ir Y después te llevare hasta donde quiera Sin temor y sin fronteras hasta donde sale el sol Contigo soy capaz de lo que sea No me importa lo que venga porque ya se a donde voy   Soy tu gitano, tu peregrino La única llave de tu destino El que te cuida más que a su vida Soy tu ladrón Soy tu gitana, tu compañera La que te sigue, la que te espera Voy a quererte aunque me saquen el corazón Y aunque nos cueste la vida Y aunque duela lo que duela Esta guerra la ha ganado nuestro amor Y aunque nos cueste la vida Y aunque duela lo que duela Esta guerra la ha ganado   Nuestro amor"
/songs/152220,Beyoncé,Apology to Fans,https://genius.com/Beyonce-apology-to-fans-lyrics,http://api.genius.com/songs/152220,None,2019-08-19,TO MY DEAREST FANS in ANTWERP  I’ve never postponed a show in my life It was very hard for me I promise I will make it up very soon I’m sorry if I disappointed you  Thank you for your concern I'm feeling much better now And I'm ready to give you a great show  See you tonight  All my love Beyonce
/songs/1788395,Beyoncé,At Last,https://genius.com/Beyonce-at-last-lyrics,http://api.genius.com/songs/1788395,Cadillac Records: Music From the Motion Picture,2008-11-03,"At last My love has come along My lonely days are over And life is like a song Oh yeah yeah  At last The skies above are blue My heart was wrapped up in clover The night I looked at you  I found a dream That I could speak to A dream that I can call my own I found a thrill to press my cheek to A thrill that I have never known  Oh yeah, when you smile You smile, Ooh and then the spell was cast And here we are in heaven For you are mine At last"
/songs/55885,Beyoncé,Ave Maria,https://genius.com/Beyonce-ave-maria-lyrics,http://api.genius.com/songs/55885,I Am... Sasha Fierce,2008-01-01," She was lost in so many different ways Out in the darkness with no guide I know the cost of a losing hand There for the grace of God go, I   I found Heaven on earth You are my last, my first And then I hear this voice inside Ave Maria   I've been alone when I'm surrounded by friends How could the silence be so loud? But I still go home knowing that I've got you There's only us when the lights go down   You are my Heaven on earth You are my hunger, my thirst I always hear this voice inside Singing Ave Maria   Sometimes love can come and pass you by While you're busy making plans Suddenly hit you and then you realize It's out of your hands, baby, you got to understand   You are my Heaven on earth You are my last, my first And then I hear this voice inside Ave Maria Ave Maria Ave Maria"
