api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/51372,Big Sean,100 Keys,https://genius.com/Big-sean-100-keys-lyrics,http://api.genius.com/songs/51372,Finally Famous (Super Deluxe Edition),2011-06-28," I'm from a big city, trying to make a living Come to my hood, everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money, young niggas getting money Just a bittersweet symphony   I play the keys, handle dope, Barry Manilow The game a bitch, but at times she sweet like cantaloupe Hit the road, key of coke in the manifold Triple beam dreams with a trunk full of scattered clothes Japanese denim, down south numbers Hit it once, trust it'll make a fat fiend stumble Do the speed limit, Argo shoes Call 'em penny loafers, they a pretty penny too I'm tippin' strippers but I call it penny pinchin' She talkin' shit but I can get her titties lifted My new crib got its own city limit Motherfucker got his own city in it Blue marble on the floor, wet as salt water Underboss I'll just play the holes like a golf course   I'm from a big city, trying to make a living Come to my hood, everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money, young niggas getting money Just a bittersweet symphony   One hundred keys, one hundred please My gesundheit could make a whole city sneeze Walked the mud jungle where they grinded out the leaves So they swarm to my honey comb, hideout for the bees You know what this sound like, money counters' sound bites Machine gun fire, name ringin' through the town like Church bells ringin', know what he was found like? Colombian necktie over hospital gown white She live on her knees, I live in a condo in the trees The air's a little thinner that I breathe The Iron Man Audi, let the top striptease My life's in slow motion, but the watch screamin' freeze Ugh, young nigga gettin' money The feds' dragnet couldn't take nothin' from me The decoy car is a crash test dummy What follows is a hundred of 'em, wrapped like a mummy   I'm from a big city, trying to make a living Come to my hood, everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money, young niggas getting money Just a bittersweet symphony   B.I., boi And they gon' risk a hundred lives So they could rock a hundred whites Baguettes lookin' like a hundred lights Man when Blade died my city cried a hundred nights Yeah I got a main girl, but I done hit a hundred tight Every wrong I do I'm steady tryna do a hundred rights Got her for cheap, compare the price My nigga keep that low key, Barry White And don't worry 'bout the info From where they rob Pintos and could afford Enzos Cause everybody knows keys open doors, but bricks open windows Counting a hundred hundreds, more by more Built this from the tile up, floor by floor Talk shit, I'll send 'em door by door Made for the Snow White like 4 by 4s   I'm from a big city, trying to make a living Come to my hood, everybody get it And for that paper all the wrong things sound right Where I'm from they push 100 keys and it sound like Where I'm from they push 100 keys and it sound like Young niggas getting money, young niggas getting money Just a bittersweet symphony"
/songs/149974,Big Sean,10 2 10,https://genius.com/Big-sean-10-2-10-lyrics,http://api.genius.com/songs/149974,Hall of Fame (Deluxe),2013-08-27," I'ma be paid forever I look up, Finally Famous, nigga   I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10, then 10 again Nightmares of losing everything boost my adrenaline   All this bread can’t be too good for my cholesterol Don’t come round talking loudly, fucking up my repertoire, dawg I can’t lie bruh, lately I’ve been stressing heavily I'm sipping, popping, smoking on whatever take the pressure off You bitch you, FF Imperial 'Til my burial, dodging every bullet and venereal Anti-fuckboy material, 'til I’m dead, I’m living proof If you focus on what’s in front of ya and not what’s in the peripheral It’s gone, word? Boy I seen drama on drama Drama on drama, over comma on comma I’m bringing home dead prez, my house done feel like it's haunted I put the city on my back, right along with my garments Went to sleep, snoring   I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10, then 10 again Nightmares of losing everything boost my adrenaline   I got three jobs like I'm Jamaican though I need three wives like I was Haitian though One cook, one clean, the other PMS’ing No hablo ingles if police ask questions, we don’t know what that mean nigga They say Detroit going through the Great Depression Still it’s been depressed so long, I can’t even tell depression here My homeboy still gon’ pull up on them rims big as a Ferris wheel So many rides up on the curb, my lil cuz thought the fair was here Like oh, I'm primo, top spot redeemed ho For who? My team, and we might take a trip to Jamaica, Montego Pussy and flamingos Got me thinking fuck I need to sleep for? Huh   I woke up working like I'm Mexican That mean I work from 10 to 10 Then 10 to 10, then 10 again Nightmares of losing everything boost my adrenaline   Nightmares of losing everything boost my adrenaline Ay lemme get the, uh, lil bitch"
/songs/350656,Big Sean,1st Quarter Freestyle,https://genius.com/Big-sean-1st-quarter-freestyle-lyrics,http://api.genius.com/songs/350656,None,2014-01-01," You gon' have to kill me for me to stop gettin' it, feel me? Straight up God! Finally famous, nigga Paper chasers, G.O.O.D My girl the baddest, too, G.O.O.D I'ma just keep countin' I look up Okay   I always got a grip, I never slip, I never panic Got my Rolex set Pacific, while I fly through the Atlantic And just like a know-it-all, I always got the upper hand And if I listen to you bitches I would still be on the campus But instead I'm in The Standard, with a girl who got some standards Gettin' head in the Jacuzzi and she claim she from Los Angeles But she ain't come up for air one time, I swear she from Atlantis   It's so fuckin' hard to have manners since I bought a manor I never take off, I just take off her panties To partially nominated, yeah, yeah nigga you know me Hop on a song and kill with niggas, who just won all the trophies Bitch I ain't playin' no more like D. Rose or Kobe, it's Kobe the beef and it's shrimp ravioli Sean Don, you know me, my cash homophobic, I swear it's so straight Then I double it up like I cloned it! My homie called me like ""Sean Don, look You know I got a girl, like you, so my nigga this one's off the books But could you hook me up with Ariana Grande?"" Seems like niggas just call me for the hook-up or to get up off the hook I'm back in this bitch like I'm parallel parkin' (swerve swerve) Get hit with that 18, what's that? Bitch it's two 9's, that's parallel sparkin' I look up to the stars and God damnit I swear I can hear them shits talkin' To you they the stars but to me they a target She said that I'm fine and I say that I'm gorgeous I'm livin' so lawless, I promise We just landed, Bora Bora Champagne, I pour, I pour Model girls, old Kimora Fuck more or less, it's more or more I'm stackin' paper, safe to safe, drawer to drawer, bank to bank, floor to floor Touch a dollar and them killas be door to door to door to door to door to door Face to face, Hennessy, case to case Day to day, I paper chase, amazin' grace I've been plottin' since '86, and I was born in '88 So what the fuck that make me? A young visionary My secretary finna be a millionare Imma call her military Finally Famous militarian, I rep that, that 'Til I hit the cemetery And I'm way too skinny for jail, ho So I gotta stay rich enough just for the bail, ho I'm collectin' this change like I live in a well Heaven on Earth, I could get it through Hell Bitch, we did it and did it ourselves So now I'm presidential, my life, presidential, my wife Residential, the lake, presidential estates Like my homie Tone said, I could talk about my watch all day But that's a fuckin' presidential debate Man shout out to SAYITAINTTONE and Jay John Adubb Da Gawd, Earlly Mac, Danny Brown Oba and Boldy, Doughboyz and Vezzo Trick, Eminem, Royce Team East Side, K-Dizzle Dusty, Ro' Spit and the rest of them niggas 'Til we come together, we all ain't gon' get it We run the city!   Man, free my dog Juan, man, straight up Lot of shit been on my mind lately, feel me?   My homie talked to me like ""Man why the hell you look the way you lookin'? How you feel the way you feel When you got every architect in town Man, tryna sit and build You got every girl that's in Detroit that's hot tryna come chill Cause I just lost my nigga Doe B and a fuckin' Uncle Phil Nigga, Ye layed the Blueprint So I need hundred dollar bills, new print Hangin' from my family tree, I'm a nuisance, millionaire Fuck your two cents, you ain't do shit I'm a player, baby, I be wearin' zoo print Lightin' struck like Zeus sent Sometimes, to see the bigger picture, man you gotta zoom in Sean cold, bitch where you been? Motherfucka, I've been great This for the fans that say they love the album but they fuckin' love the mixtapes For y'all, man I do whatever it takes Don't worry   I always got a grip, I never slip, I never panic Got my Rolex set Pacific, while I fly through the Atlantic And just like a know-it-all, I always got the upper hand And if I listen to you bitches I would still be on the campus But instead I'm in The Standard, with a girl who got some standards Gettin' head in the Jacuzzi and she claim she from Los Angeles But she ain't come up for air one time, I swear she from Atlantis   Finally famous You little fuckin' bitch And all that I just did, all my old shit, that's practice So from here on out it's murder, nigga Oh that's who you excited, oh that's the new nigga? He's alright You ain't fuckin' with me! Waddup doe Key Wane! As the dynasty grows, sunshine's all we know Detroit, G.O.O.D Waddup La Flame, the homie Travi$ Scott Killin' y'all My girl the baddest, my drinks the coldest My team the realest, the trillest Finally Famous over everything"
/songs/4036539,Big Sean,23,https://genius.com/Big-sean-23-lyrics,http://api.genius.com/songs/4036539,Finally Famous: The Mixtape,2007-09-30," Uh   Man, verse by verse I'ma make these weak niggas disperse (Weak nigga) Man, I swear, verse by verse I’ma make these weak rappers disperse (Weak nigga) Man, I'ma get 'em, I’ma get 'em (Ayy) Watch me get 'em, I'ma get 'em (Ayy) I'ma get 'em, I'ma get ’em (Ayy) Watch me get ’em, I'ma get ’em   I'm very instrumental, to any instrumental (Yeah) You ain't on my level, my nigga, not even a little (Uh, uh) You at the bottom, not even at Malcolm in the Middle (Yeah) You homo ass nigga, go and eat some Skittles (Haha) Now hop up on the rainbow, try to reach where I am though I'm a little further up, damn I’m near the angels So at your highest point, you still wouldn't reach my ankles You are what you eat, well that ain't true, 'cause I'm anal (Ooh) And the people show love like a bear hug I'm here to last, they temporary, call them handcuffs Fair enough, I stand behind my bars like a felon does (Ayy) If you a boss, meet the executive (Yeah) And when it come to paper, meet the editor (Uh) A little better, bruh, you need to step, step it up I'm on my business, that's my forte (Word) You, you beat around the bush like foreplay (Huh) And they anticipated me like the court date (Huh) So for the bars, I'm in charge like the courts say And if the courts say they know, I did it like OJ (What) And I'm in the next city like a tour day Ain't no ""I"" in team, but there's an ""I"" in win Ain't no ""I"" in lose, but there's an ""I"" in him Meaning me (Me), meaning moi (Moi) Peep the repertoire, up the upper echelon That's high, high in the sky High to the point that I almost saw God (Wow) Wow, I stand out from the rest of the crowd like yeah But ain't got to play ball to hear your cheer in the crowd Perform so well, I might as well take a bow Shitting on these niggas, like a movement from my bowels People want to know how it feels in the clouds But I guess they'll never know, 'cause I'm never coming down I started with a dream, added a little faith And mixed it with adversity and let it marinate I put it in the oven for a while, let it bake (Yeah) Call it food for thought, put it on your plate (Eat) I'm from the mighty Motown, home sweet home Where I roam like a phone, in an unknown zone My niggas roam like a phone in an unknown zone And we could not atone, the money, clothes, and hoes And my rep is sell like a boatload Fam', you couldn't fill my shoes like bozos And I'm so low Because I heard what hoes really want, a ring like Frodo (No) Coastal, made my nickname postal Why they local like they old schools Man, I should beat 'em like ProTools Will Ferrell, nigga started out old school   Man, verse by verse I'ma make these weak niggas disperse (Weak nigga) Man, I swear, verse by verse I'ma make these weak rappers disperse (Weak nigga) Man, I'ma get 'em, I'ma get 'em (Ayy) Watch me get 'em, I'ma get 'em (Ayy) I'ma get 'em, I'ma get 'em (Ayy) Watch me get 'em, I'ma get 'em   Note to world, I made it I promise I'ma change it Thank god to my mama that I'm Finally Famous Famous, famous, famous"
/songs/1936826,Big Sean,24 Karats of Gold,https://genius.com/Big-sean-24-karats-of-gold-lyrics,http://api.genius.com/songs/1936826,None,2019-04-07,"Wishing I could wrap my whole life up in 24 karats of gold Lately I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls, and enough money I could rule the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world, I would buy it all I'm addicted to champagne and buying the mall I'm addicted to living life above the law How much do it take to live above the law? I call my homie Ralph up, cause his car stop Told him bump a new car, come grab the car lot That way you can have convertibles, and a hard top Open up a few doors, since we had a hard knock, life Like, open up, Where restaurants and legs stay opened up Start a franchise So my dog can quit wearing a 44 up on his waist like it's his pants size And to my OG locked up bumping Ready or Not Who was just trying to do it big, but wasn't ready to die Cop a first class whatever he like, with hoes already inside Now he can rest in piece while he alive Wishing I could wrap my whole life up in 24 karats of gold Lately I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls, and enough money I could rule the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world Seems life's never at a stand still, even in a photo Thinking about the ex girl, I hoed though Like would we have won it all, or would I have lost it all like Ocho The things I think about the most are things I never know though Like, why don't school teach more mathematics Less trigonometry and more about taxes They at the chalkboard, teaching us ass backwards How about preparing us for life, instead of lab rat us With a mansion that's about 5 floors No more sleeping on the couches, cause we got 5 more With the fam that reminded me what I'm alive for And at the same time remind me what I'd die for A world where you wouldn't need sleep That way we'd catch up instead of chase dreams And finally get the speed boat my dad always wanted I swear I feel it coming Wishing I could wrap my whole life up in 24 karats of gold Lately I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls, and enough money I could rule the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world Is this a dream, well that's how it feels Sometimes I got to pinch a fat ass to see if it's real I specifically remember, no heat in the winter Now I supply heat for the winter Then I skate to the beach for the winter When it comes to chips boy, nigga get a grip No cleats I'm a winner Show love to the hoes and the freaks I remember Hit the club and raise Hell all week for the sinners Meet a young Dennis, the menace of society Check my sobriety, fuck hoes in varities Shame that these things is the reasons you admire me But, I'm getting dough, man, these flows gon' retire me Splurging all crazy, switching lanes in the range swerving all crazy Style on the dial, I've been serving ya'll lately Cheddar on Federer Ball 'till I fall, et cetera, et cetera Wishing I could wrap my whole life up in 24 karats of gold Lately I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls, and enough money I could rule the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world If I ruled the world"
/songs/87297,Big Sean,24k of Gold,https://genius.com/Big-sean-24k-of-gold-lyrics,http://api.genius.com/songs/87297,Detroit,2012-09-05," Yeah, G.O.O.D   Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world   If I ruled the world, I would buy it all I'm addicted to champagne and buying the mall I'm addicted to living life above the law How much do it take to live above the law? I call my homie Ralph up, cause his car stop Told him bump a new car, come grab the car lot That way you can have convertibles, and a hardtop Open up a few doors, since we had a hard knock, life Like, open up Where restaurants and legs stay opened up Start a franchise so my dawg can quit wearing A .44 up on his waist like it's his pants size And to my OG locked up bumping ""Ready or Not"" Who was just trying to do it big, but wasn't ready to die Cop a first class whatever he like, with hoes already inside Now he can rest in peace while he alive Fuckin' right   Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world   Seems life's never at a standstill, even in a photo Thinking about the ex-girl, I hoed though Like would we have won it all, or would I have lost it all like Ocho The things I think about the most are things I never know though Like, why don't schools teach more mathematics? Less trigonometry and more about taxes? They at the chalkboard, teaching us ass backwards How about preparing us for life instead of lab rat us? With a mansion that's about five floors No more sleeping on the couches, cause we got five more With the fam that reminded me what I'm alive for And at the same time remind me what I'd die for A world where you wouldn't need sleep That way we could catch up instead of chase dreams And finally get the speedboat my dad always wanted Mm, I swear I feel it coming  [Chorus: Big Sean & Jhené Aiko, J. Cole] Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world (Cole World) If I ruled the world, yeah, if I ruled the world (Cole) If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world (Cole World)  [Verse 3: J. Cole] Is this a dream? Well that's how it feel Sometimes I got to pinch a fat ass to see if it's real I specifically remember, no heat in the winter Now I supply heat for the winter Then I skate to the beach for the winter When it comes to chips boy, nigga get a grip No cleats I'm a winner Show love to the hoes and the freaks I remember Hit the club and raise hell all week for the sinners Meet a young Dennis, the menace to society Check my sobriety, fuck hoes in varieties Shame that these things is the reasons you admire me But, I'm getting dough man, these flows gon' retire me Splurging all crazy Switching lanes in the Range swerving all crazy (Swerve) Style on Nadal, I've been serving y'all lately, cheddar on Federer Ball till I fall, et cetera, et cetera   Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world"
/songs/232835,Big Sean,4 My People,https://genius.com/Big-sean-4-my-people-lyrics,http://api.genius.com/songs/232835,10 Freshman for ’10 Mixtape,2011-03-31," B.I.G Finally Famous in this, gettin' money ee ee Good music yup! B.I.G Finally Famous in this, gettin' money ee ee Good music yup! B.I.G Finally Famous in this, gettin' money ee ee Good music yup! aayyee See I need more bottles, and more models 30 more bottles, 100 more models For my partner them, cuzzo And my people, what up though   I roll with all my people Blow with all my people I'm recognized everywhere I go with all my people Champagne sippin' V.I.P chillin' 100 pretty girlies That's gon' bust it for Me and my people I be with my people I be, I be, I be I be, I be, with my people   Rollin' rollin' rollin' Rollin' with my crew And them Cruisin' in Oh is that your man? SIKE! Choose again Hold up, hold up Stop Damn (damn) look At my outfit Everybody waving at me And who all I'm out with Damn he bon voyagin' Ladies show me love La-ladies show me love And all my niggas Give me pounds and D.J. play my song when I start standing on The couches And I bet, I bet, I bet My shit is the loudest Sippin' like a like that bitch Come straight up out a fountain I'm crazier than a motherfucker I might need some counselin' So pour it up, till we throw it up Roll it up, blow it up Girl you fine as hell (hell) I just hope you legal You should come to my Apartment (?) as cathedrals We could make a movie And your girls could make the sequel But before we do.. Could you do it for.. Me and my people!   Everywhere I go I go with all my people And I'mma get this money Just to blow with all my people You know me ah Gone like that tree high And I'm up in the crowd Like motherfuck The V.I.....P! Call me B.I Told ol' girl in knee highs To go put down that glass And grab a bottle that is knee high And I'm just so important shit That they might be important shit How it feel to waste liquor That niggas cannot afford to sip She be on that X times 3 Like it's a porno flick My chain look like a ornament Touch it And you'll get that red dye Like we recordin' shit Terminator 4 and shit Drinks pourin' Now that all the cash pourin' in Boi! And I don't live off in no forest But it's girls off in my bed Like they aid Upon my foraging(?) Hold, stop, drop,EGO Before you do Could you do it fo' Me and my people!  "
/songs/517625,Big Sean,4th Quarter,https://genius.com/Big-sean-4th-quarter-lyrics,http://api.genius.com/songs/517625,None,2014-09-12," I look up Straight up I gave 'em time, time Time   Now it's back to me nigga I took my clique turned it to faculty nigga Took my operation to factory nigga When I'm in the zone they won't tackle me nigga I touched down in the city, a fuckin' walkin' target Still man all my bitches miss me, yeah they miss me but not misses If you ask me what my interest, all my interest involve interest It ain't nothing to cut that bitch off but you can't cut my percentage (No no) With the bases loaded all we need's a hit, boy I'ma still swing for the fences (Gone) I guess you tend to over do it when you come up underprivileged, look I came to my senses, I can never count on people I can't even trust the senses in this world full of venom All I need's my spider senses, my short temper to cool out Yeah sometimes I need woosah, time to get paid by the goo-ghaas My office on top of that rooftop, for my mama Myra Anderson Tell me who gon' be set for life, Myra and her son, fo' sure One time for the fam, they don't eat, I don't eat I can't rest on my feet till they all on they feet They say rest your eyes, I'm just like why? Bitch I ain't never seen Ben Frank asleep But I do need that paper like sheet after sheet I got so much drive ho, look both ways in the streets When I heard 'bout all these singers and all they naked pictures I'm like ""Did my email just leak?""   Hol' up Lemme check, oh nah nah nah They fake, we good, we good   The stock goin' up, makin' all the right moves Boy you would have thought I got tipped off (Tipped off) You would have thought these niggas fell off a skateboard The way they take these hoes and trick off (Trick off) I got a rich girl, I swear to god dawg, man she's like a walkin' ATM Except she ain't come in with drawls I know you've been having G.O.O.D. Music withdrawls I can not deal with the fuckery that fake shit you be in All that bullshit that you rappin' honestly just makes me cringe Money doesn't grow on trees, okay someone explain to me Then how the hell does my whole team just keep on rakin' it all in, hah? We stressed on, we pressed on Met with Hov and Bey they told us we next on We dream that, been slept on, we kept on, we left home Mama earlobes is VS stone Her earrings so big she can't even fuckin' hear nothing nigga Don't give a fuck, no I can't spare one nigga No I do not have five wheels, I can't spare one nigga Talkin' like I'm on the last cigarette because I had to take it back to square one nigga Sometimes to win the war man you got to lose a battle But if I lose a girl just know my next one gonna be badder When I pulled up to the church, ooo, they thought it was the pastor Heaven sent, raisin' hell, same time, what that's the rapture? Didn't go to class for a second I swear I woulda failed everything My passport was the only thing I'm passin', flyin' overseas turnin' dreams into habits Turnin' coach to first classes, mom I'm never movin' back And I put six years in the flow, okay, no wonder it got mastered The flow need a dam, why it's doin' too much damage God damn it's good to get it, even better with ya niggas Call up my dog who been in and out depression Said boy how you living, don't lie to me 'bout your feelings On the outside you look fine but on the inside could be killin' You act like a comedian but now you're Robin Williams And now we cryin' rivers that nobody wants to swim in When one phone call coulda been the one to prevent it So I'm there for my dogs till we forever on Till we hit the dealership and cop the Megazord Nigga that's the red range, white range, black range, green range, pink range Yellow range, blue range, every neck comes with a few chains (Ohh shit) I learned that every bad bitch comes with mood swings Just like Mortal Kombat, Liu Kang, so true man G-5 down to Mexico, G.O.O.D. Music familiar man We back at it to let you know, I figure it's best you know In the middle of recordin' we got caught up in the news About what happened in St. Louis We midwest kids that shit coulda happened to us I looked up the flight tonight Then I realized man I got a grandma now that's half alive And honestly what happened in St. Louis probably happened in Detroit like twenty times I hope we finally see the signs Puttin' gas off in my Benzo, I ran into a youngin' The same age as me except he in the trash huntin' Asked me for some change I gave him like one somethin' Man to keep that shit a hunnid I wish I woulda gave a hunnid Cause if you ask me how I'm doin', shit you could do the math I just bought a five bedroom, four bath Three story, two car garage, I'm one man I just did it for my mom, finna do it for my dad And I ain't even sell my soul, imagine what I coulda got for that I made something out of nothing, it's like I pulled it out a hat Man when I'm done they gonna statue me, I turned my clique faculty Operations to factory, in my zone they won't tackle me Touched down in the city, the fuckin' walkin' target Still all my bitches miss me,  yeah they miss me but not misses If you ask me what's my interest, all my interest involve interest Nigga Straight up"
/songs/70881,Big Sean,5 Bucks (5 On It),https://genius.com/Big-sean-5-bucks-5-on-it-lyrics,http://api.genius.com/songs/70881,Finally Famous Vol. 3: BIG,2010-08-31," OK, I'm smoking loudly, I woke them all I pick up that tree, when it's not fall I'm gone off that tree, when it's not tall I'm in love with tree, I'm an avatar I pick up a O from, my nigga Ralphy My bro and me, but he is not alphy Gone off that goo punch, it makes me drowsy Roll up the windows, it makes it cloudy, Damn, if you ain't know I made these girl night, smoke a paper and bowls My ladies like blunts, hit 'em twice if not once Then I blow 'em off and just pass 'em to my bro Now catch you getting brain if a nigga not learning I be spending money if a nigga not earning Catch me in the backseat if I'm not stirring And I be rolling up if a nigga not burning, boy   I got five on it Have your bowl and get beat I got five on it Nothing with that endo weed I got five on it If you got me stuck and not go back I got five on it Now let's go hop outside  [Verse 2: Chip Tha Ripper:] You know a nigga like to stay at that cruising altitude up in the sky Try to fuck with paper planes but it's not the same high Cleveland niggas ain't no bitches we prefer the cigarillo smoke If you say it take away from taste then get some better smoke Cause this shit I blow can get smelt on the next block Ain't no middle mans every thing you need is in stock This Glock is all the security I need I be solo dolo, when you see me blowing on some weed Why speed, no need, I be just taking it slow I be so clean, diesel over powers my cologne Now all the bad bitches who blazed on shifting this way Y'all just some white belts, with leaves I am the sensai Now bow to the bag never, save the best for last When I come around niggas know to hurry up and pass Fuck a dime sack, let's cop a quarter pound now What the fuck is you gon' put down? Nigga I got five    [Verse 3: Curren$y] Hot wired, 6-4 hydraulics Not stolen, lost my keys, I was high partna' Fuck you want? This the raw paper not a blunt You must, got me mixed up with Chip cause, This Spitta Zig zag a whole zip up, shit strong shoulda' came with a bed pick up Bitches calling me, wanna smoke beggin' for me to pick up She blow me while I'm blowin' rings of that killa' That weed you smoking brown, fake weed too much make up, clown Get real smoking green, strawberry fields High standing up feelin' like I'm layin' down, couple boujee Judy's came round Actin' all stuck up, now they just stuck from smokin' with us Had the hallway smellin', Is my windows opening enough? I hear walkie talkies, Is security coming up? Fuck  "
/songs/86114,Big Sean,Abstain,https://genius.com/Big-sean-abstain-lyrics,http://api.genius.com/songs/86114,None,2019-04-07," Abstain You got to abstain Yungboyz  ""Civility is not a sign of weakness.""   I'm just trying to let y'all see the way Abstain and y'all will see some better days Don't mess with drugs or try to creep Unless y'all want to end up six feet deep   Big Sean 'bout to claim the game When it comes to sex and drugs I stay abstain I saw all my momma did for an easier world I'mma mess it all up for a sleazier girl Don't listen to these fast girls bringing drama Cause they don't even want to be a baby momma Listen, let me tell y'all 'bout Percy Hustling on the corner selling coke and Hershey Geared up too, straight down to his shoes He had an E-class Benz on top of 22's In his own head he thought he was lethal Until he bumped heads with the wrong people Now Percy was pissed, a push and a shuffle A couple cats try to knock P for his hustle To make a long story short, the gang got to his head He heard a boom, he was dead Shot, found under a bridge Worst thing is he had a baby girl and a kid Man, now how that sound to you? Had a wife and a kid then his life was through Caught up trying to make some money For real, sex and drugs ain't even funny   x 2  [Verse 2 - Part 1: Yungboyz (?)] I'm a dozen years old, keep my ... froze Abstain the game, I fall to thugs ... Avoid the drugs, stop girls from pregnancy, stop boys from sex All I know's the whole world's correct All the pollution, stop the confusion People killing each other for no reason, everyday of the season Who's looking at the face of the Earth? - Uh Who's looking at you smoking a blunt? - Uh Who's looking at you doing bad things? - Uh Who's looking at you flashing a ...  [Verse 2 - Part 2: Yungboyz (?)] I run this beat like my name was J Hova Don't do drugs it will blow your mind over Don't follow people when the streets dealing weed, it rude Because your peeps looking straight at you   x 3   R-J-98, it's great ""Civility is not a sign of weakness."" ""Whatever hater."""
