api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/185466,Blake Shelton,100 Miles,https://genius.com/Blake-shelton-100-miles-lyrics,http://api.genius.com/songs/185466,Startin' Fires,2016-05-20," Wheels turn like my memories And the head-lights shine like my used-to-bes And time, time's taking way too long And forgiveness, well I hope it’s not too far gone   A hundred miles from her is where I need to be And a hundred miles from now I’m going to hit my knees Say I miss you ooh I love you and I’m sorry And if she can find the way to take me back I'll spend the rest of my life making up for the past All my answers, all my hopes, all my fears Are a hundred miles from here   I, I told her I had to go And now I know what I didn’t know And this road could lead me back to your door But can it take me to a girl who can love me more   A hundred miles from her is where I need to be And a hundred miles from now I’m going to hit my knees Say I miss you ooh I love you and I’m sorry And if she can find the way to take me back I'll spend the rest of my life making up for the past All my answers, all my hopes, all my fears Are a hundred miles from here"
/songs/185881,Blake Shelton,Addicted,https://genius.com/Blake-shelton-addicted-lyrics,http://api.genius.com/songs/185881,All About Tonight EP,None," She says she hates to sleep alone but she'll do it tonight She wants to grab her telephone but she knows it aren’t right So if he won't call, she'll survive And if he don't care, she'll get by Climb into bed, bury her head and cry  From the beginning he was all anyone could have been They were delirious with love, they were certain to win Now he's breaking plans more and more And he's leaving notes on her door Took a trip out of town, couldn't turn this one down He said I guess I should've told you before   She says she feel like she's addicted to a real bad thing Always sitting, waiting, wondering if the phone will ring She knows she bounces like a yoyo when he pulls her strings It hurts to feel like such a fool She wants to tell him not to call or come around again He doesn't need her now in all the ways that she needs him She's on the edge about to fall from leaning out again She doesn't know which way to move Oh no   She wants to be fair, she couldn't say he was ever unkind If she could bear to walk away, she thinks he wouldn't mind Cause he just keeps himself so apart And there's no one else in her heart So she's taking a dive from an emotional high and coming down hard   She says she feel like she's addicted to a real bad thing Always sitting, waiting, wondering if the phone will ring She knows she bounces like a yoyo when he pulls her strings It hurts to feel like such a fool She wants to tell him not to call or come around again He doesn't need her now in all the ways that she needs him She's on the edge, about to fall from leaning out again She doesn't know which way to move It hurts to feel like such a fool because she don't know which way to move It hurts to feel like such a fool"
/songs/566175,Blake Shelton,A Girl,https://genius.com/Blake-shelton-a-girl-lyrics,http://api.genius.com/songs/566175,Bringing Back the Sunshine,2015-08-03," Had to steal, daddy's car, park it far from her house And throwing rocks at her window til she's sneaking out How to get a college kid to get you good stuff Mix a perfect drink in a Sonic cup How to lean back, fake a yawn Stretch your arm round her shoulder Pull her closer til she let you lean in for a kiss How to turn a twenty into Saturday night How to make her momma let you have her til midnight How not to let her know she's got you caught   These are the things that you learn When your heart just wants to burn, burn These are the steps that you take When you're only thinking one thing And you don't know nothing bout a promise and forever All you know is nothing's better than being together And the only thing you want in the world, is a girl   How to act like you're listening to her about her day When she's talking and she's blocking the game How to shut your mouth when it's that time of the month Knowing when she's mad and when she's really just drunk And you swear that you'll change all our ways Just to get her to believe you and move into your man cave How to hide a ring in your pocket for weeks How to say them four words and make 'em sound so sweet That she'd never ever say no, no no no   These are the things that you learn When your heart just wants to burn, burn These are the steps that you take When you're only thinking one thing And you don't know nothing bout living ever after But you know you're nothing unless you get to have her And the only thing you want in the world, is a girl Oh, you won't believe the way she's got you acting She'll talk you into things you never thought would happen When the only thing you want in the world, is a girl Mm, yeah, just a girl Mmhmm, just a girl, just a girl"
/songs/2470271,Blake Shelton,A Guy With a Girl,https://genius.com/Blake-shelton-a-guy-with-a-girl-lyrics,http://api.genius.com/songs/2470271,If I'm Honest,2016-05-20," Sometimes I'm the guy with the boys kicking it back Or the guy with a guitar singing on a country track I might be the guy with an ice cold can Stirring up dust on some old farmland When I walk into the party with you girl, you change all that   And I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like ""ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But I don’t mind being the guy with the girl, no   It's funny watchin' 'em do the way they do They come walkin' up to me but they only wanna talk to you And I don't blame 'em that they're hypnotized They keep staring at your heartbreak eyes It's like their heart starts stoppin' when you come walkin' into the room   And I turn into the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like ""ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But I don’t mind being the guy with the girl   The guy that don't know how he got her But he ain't never gon' let her, never gon' let her go Woah-oh, yeah   I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like ""ain’t she beautiful?"" I’m invisible but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But I don’t mind being the guy with the girl   (Guy with the girl) No, I don't mind being the guy with the girl (Guy with the girl) Yeah, I'm just the guy with the girl I'm always the guy with the girl I don't mind it baby I don't mind it baby I'm always the guy with the girl"
/songs/185496,Blake Shelton,Ain't That Good,https://genius.com/Blake-shelton-aint-that-good-lyrics,http://api.genius.com/songs/185496,Startin' Fires,2016-05-20,"You make the coffee I try and doctor it up A little cream and some sugar And I think about us Aren’t it just like me Not to say what I should It aren’t that bad It just aren’t that good  There's no way you don't notice The silence we share Afraid what's come between us Has always been there Just somewhere the truth Got misunderstood No, it aren’t that bad It just aren’t that good  So we go on Going through the motions Holding on To some crazy notion That we're not afraid of being alone  Yeah, we go on Going through the motions Holding on To some crazy notion That we're not afraid of being alone  I've packed up and left you In the back of my mind I'm sure you've done the same A couple of times The truth is by now I thought one of us would Guess it aren’t that bad It just aren’t that good  No, we don't say goodbye Though we probably should Guess it aren’t that bad It just aren’t that good"
/songs/185584,Blake Shelton,All About Tonight,https://genius.com/Blake-shelton-all-about-tonight-lyrics,http://api.genius.com/songs/185584,All About Tonight EP,None,[Click here to read Blake’s story about working with Thomas Rhett on “All About Tonight”]   Don't bother telling me what I got coming in the morning I already know I got some feel-good pills and a red gatorade by my bed Ready to go  I'm going to do my best to dance with every girl in this bar Before they shut it down Then I'll pay my tab climb in a cab Heading to a spot downtown   It's all about tonight Good times and the music and laughing and grooving to the band Everybody's getting right No worries we're rocking all kinds of concoctions in our hands Yeah tomorrow can wait 'til tomorrow It's all about tonight   Hey pretty thing I've been looking at you since the moment that you walked in I got some wildest buddies that love spending money And I see you brought a couple of friends  Just tell me your name I don't need your number or a date next Saturday Baby let's act like fools break a few rules Party the night away    Ha-ha slide   It's all about tonight Good times and the music and laughing and grooving to the band Everybody's getting right No worries we're rocking all kinds of concoctions in our hands Yeah tomorrow can wait 'til tomorrow I said tomorrow can wait 'til tomorrow It's all about tonight   Yeah it's all about tonight Come on it's all about tonight We're going to get our swerve on a buzz on It's all about tonight Come on baby I wouldn't worry about that It's all about tonight
/songs/185345,Blake Shelton,All Over Me,https://genius.com/Blake-shelton-all-over-me-lyrics,http://api.genius.com/songs/185345,Blake Shelton,2001-10-15, There was a time I really used to care about what others thought And the way they talk In a crowd I used to pull away when she would kiss my face And touch my hair She didn't care who saw   She was all over me And I used to let it get all over me And now to prove that I love her I'd crawl on my knees for the whole world to see Now that she's all over me   The sky is blue But from where I stand in the middle of this heartache It sure looks gray All alone What I wouldn't give if I could feel The familiar touch of her love holding me again   She was all over me And I used to let it get all over me And now to prove that I love her I'd crawl on my knees for the whole world to see Now that she's all over me She was all over me And I used to let it get all over me And now to prove that I love her I'd crawl on my knees for the whole world to see Now that she's all over me
/songs/185541,Blake Shelton,Almost Alright,https://genius.com/Blake-shelton-almost-alright-lyrics,http://api.genius.com/songs/185541,Hillbilly Bone EP,None," I played some Stones and Skynyrd songs Last night on the jukebox And I'm gettin' back to hatin' me some soft rock I don't almost reck' seein' if its you Every time a midnight blue Pontiac Pulls into the parkin' lot Believe it or not   I'm almost alright I'm just about fine I barely wanna break his nose when I see you with another guy I'm kind of okay With you out of my life I'm absotively, posolutely, almost alright  Alright   I took down most the magnets And pictures of us in Cabo I forgot my 'fridgerator Was avocado (What?) And I still might call every now and then Way too late, just checkin' in Tellin' you how good its been to let go Aww, and baby to let you know   I might get a little sideways Yeah, but what do you expect? I might have a few bad days I'm figuring out its for the best   I'm almost alright I'm just about fine I barely wanna break his nose when I see you with another guy Would it be kind of okay If I came by tonight? Oh, I'm absotively, posolutely, almost alright Yeah, I'm posolutely, absotutely almost alright   Alright Almost alright Hey, can I come over tonight, baby? Ha-ha!"
/songs/566181,Blake Shelton,Anyone Else,https://genius.com/Blake-shelton-anyone-else-lyrics,http://api.genius.com/songs/566181,Bringing Back the Sunshine,2015-08-03,"Anyone else would shake my hand Wish me luck, be proud for a friend But a jealous guy won't share the sun When it feels threatened by anyone Yeah, anyone else would open the door Helping me find what I was looking for When you smile there's always a catch Like I didn't earn everything I have  (Hey, hey, hey) why do you always wanna put me down (Hey, hey, hey) when I was cheering for you from the crowd Whatever it is, whatever I've got You want it all for yourself Why can't you be happy for anyone else?  Cause nobody else would make me feel dumb For being myself or needing someone And I can't tell, are you ever sincere? Did they treat you like this when you showed up here?  (Hey, hey, hey) why do you always wanna put me down (Hey, hey, hey) when I was cheering for you from the crowd Whatever it is, whatever I've got You want it all for yourself Why can't you be happy for anyone else?  (Hey, hey, hey) why do you always wanna put me down (Hey, hey, hey) when I was cheering for you from the crowd Whatever it is, you want it all And you want everyone to see Why can't you be happy for me? Why can't you be happy for me? Why can't you be happy for me? Why can't you be happy for me?"
/songs/185367,Blake Shelton,Asphalt Cowboy,https://genius.com/Blake-shelton-asphalt-cowboy-lyrics,http://api.genius.com/songs/185367,The Dreamer,2003-02-04," The sun has opened up my eyes And I don't want to leave your side For that lonesome road but here I go Climbing back behind the wheel Of fifty feet of chrome and steel And a load they need in Chicago Through the middle of the night unknown I'm on a ride that won't let me go   I'm an asphalt cowboy Born to run underneath the stars Pay no mind to my lonely heart Just ride, ride Still I'm back in your arms again I'll be out here on the wind   Sometimes late at night I see your picture by the dashboard light And it takes me where I'd like to be Wrapped up in a blanket there Pulling ribbons from your hair And your kiss, Girl, that's what I miss Still I drive these horses through the rain and snow This high-speed rodeo is all I know   And I'll ride Until I'm back in your arms again I'll be out here on the wind   And I'll ride Through the middle of the night unknown On a ride that won't let me go"
