api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/446290,Brantley Gilbert,17 Again,https://genius.com/Brantley-gilbert-17-again-lyrics,http://api.genius.com/songs/446290,Just As I Am,2014-05-19," There ain't nothing like them first loves baby Remember them high school days Friday nights, homecomin' dances Giving my old letterman's jacket away To old what's her name But now it's you and me talking on the phone till 4 AM About anything and everything Making me feel young again like ain't a damn thing changed Ain't a damn thing changed   Makes me want to sneak down your driveway To climb out your window Get in girl, we'll roll until the dirt road ends You can climb up in that backseat With your pretty little bare feet Get the butterflies like we used to Got our innocence Just like we're 17 again   I thought them feelings was long gone baby But you take me back in time Just like spring break in Panama City The girl from Indiana sure was pretty But she sure ain't got nothing on you tonight Because you're like the summer loving don't come or go Never had to say goodbye I wake up in the morning feeling like the first kiss Every time your lips touch mine   Makes me want to sneak down your driveway To climb out your window Get in girl, we'll roll until the dirt road ends You can climb up in that backseat With your pretty little bare feet Get the butterflies like we used to Got our innocence Just like we're 17 again   Looking back I wish I could put you inside every memory (Every memory) You can be my first love My first kiss My first and last everything   Makes me want to sneak down your driveway To climb out your window Get in girl, we'll roll until the dirt road ends You can climb up in that backseat With your pretty little bare feet Get the butterflies like we used to Got our innocence Just like we're 17 again   Yeah just like we're 17 again 17 Again Oh"
/songs/3003559,Brantley Gilbert,Against The World,https://genius.com/Brantley-gilbert-against-the-world-lyrics,http://api.genius.com/songs/3003559,The Devil Don't Sleep Deluxe Version,2017-01-27," Those tears in your eyes Got me seein' red I hate the way they get to you With all the lies they spread Ain't that small town talk Like the devil on your shoulder It gets old girl It gets so old girl   Just let 'em talk, let 'em talk baby 'Cause girl I don't give a damn what they say You're the one, the reason God made me I'm gonna love you anyway And when it hurts Just know we're gonna make it work I got your back You got my heart, girl No matter what, you've gotta remember It's you and me against the world   They're gonna throw sticks and stones Try to tear us right in two 'Cause baby, we got what they want And what we got's the truth So let 'em do what they're gonna do Yeah baby, we can take it We're gonna make it Yeah we're gonna make it Girl   Just let 'em talk, let 'em talk baby 'Cause girl I don't give a damn what they say You're the one, the reason God made me I'm gonna love you anyway 'Cause when it hurts Just know we're gonna make it work I got your back You got my heart, girl No matter what, you've gotta remember It's you and me against the world  Let 'em talk, let 'em talk baby 'Cause girl I don't give a damn what they say You're the one, the reason God made me I'm gonna love you anyway 'Cause when it hurts Just know we're gonna make it work I got your back You got my heart, girl No matter what, you've got to remember It's you and me against the world  And I don't give a damn what they say"
/songs/446253,Brantley Gilbert,A Modern Day Prodigal Son,https://genius.com/Brantley-gilbert-a-modern-day-prodigal-son-lyrics,http://api.genius.com/songs/446253,Modern Day Prodigal Son,2009-10-27," I set out one night in the fast lane bound for freedom In a truck that daddy bought me And money mom had saved for school Laid down all my books And picked up the drinking Hell I let 'em down When I gave up like a fool And one reckless night just looking for my whiskey I found a bible mama gave me and read a while I read a story about a man who lived just like me Then finally ate his pride and came running home   Lord I'm a renegade, a rambler I've squandered all I've owned A bonified runaway, I'm a gambler Can't count the lies I've told And I need redemption, how 'bout forgiveness And I pray for open arms, and I'm coming home Yeah I'm coming home Like a modern day prodigal son   I had all of my things packed by early morning Left that bottle I'd lost right there on the bathroom floor Stopped at a payphone and called back home to mama Yeh she might not even talk after all I've done The phone rang twice before I got an answer And mama nearly dropped the phone when she heard me say I said mama it's your son and will yall have me She said son you know I've longed for this day   Lord I'm a renegade, a rambler I've squandered all I've owned A bonified runaway, I'm a gambler Can't count the lies I've told And I need redemption, how 'bout forgiveness And I pray for open arms, can you be with me lord Cause I'm coming home But like a modern day prodigal son  Lord I'm a renegade, a rambler I've squandered all I've owned A bonified runaway, I'm a gambler Can't count the lies I've told And I need redemption, how 'bout forgiveness And I pray for open arms, be with me lord Cause I'm going home But like a modern day prodigal son"
/songs/3003547,Brantley Gilbert,At Least We Thought It Was,https://genius.com/Brantley-gilbert-at-least-we-thought-it-was-lyrics,http://api.genius.com/songs/3003547,The Devil Don't Sleep Deluxe Version,2017-01-27," Junior year you were A's and B's Right on track, homecomin' queen But the day we met You had your heart set on that badboy thing And your daddy swore I was trouble So, I snuck you out to cuddle up Next to me in that middle seat We'd roll backroads, hold hands, and sing   We were Romeo and Juliet Breakin' out in a sweat Makin' out in the bed Of a beat up truck Slap covered in mud You swore I was lyin' I swore I was stuck By the bare footprint on a fogged up window A big ol' heart around our initials We told all our friends That it was love And it was love At least we thought it was   You had to wait 'til you turned 18 Earned that ring Hit one knee Just like we planned Tried our hand at that old runaway thing And I didn't know where I was goin' But I remember your hair was blowin in the wind I just knew it then That what we had would never end   We were Bonnie and Clyde Rollin' 95 Burnin treads on the tires Barely a dime Both our names musta gone insane Thinkin' we'd get somewhere on half a tank On the side and at the end of our road With just enough cash to get you home We believed all we'd ever need was love And we had love At least we thought it was   Love at first sight I remember that first night What a beautiful girl But I grew up and now I see It just wasn't meant to be I think it was us against the world   We were Romeo and Juliet Breakin' out in a sweat Makin' out in the bed Of a beat up truck Slap covered in mud You swore I was lyin' I swore I was stuck By the bare footprint on a fogged up window A big ol' heart around our initials We told all our friends That it was love It was love At least we thought it was Least we thought it was"
/songs/2966816,Brantley Gilbert,Baby Be Crazy,https://genius.com/Brantley-gilbert-baby-be-crazy-lyrics,http://api.genius.com/songs/2966816,The Devil Don't Sleep,2017-01-27," Well, you know they say They say that I'm a rollin' stone Girl, that boy's a dead end road Yeah, you're better off alone And I know I can't say Girl, I can't say they're wrong I'm pretty set in my ways But maybe it's time that changed And all you wanna know is What's it gonna take   You'd have to be crazy to love me Oh, but I wish you would You'd have to be outta your mind But deep inside, I think you could Be the only chance in hell to save me from myself So come on save me, oh yeah Baby, be crazy   I know you say You say you're gonna hang on To this train wreck, baby So you think you're that strong Deep down, what I want I want you to tie me down I want so bad to trust you Baby, don't burn me now All we can do is try I ain't tryin' to say goodbye   You'd have to be crazy to love me Oh, but I wish you would You'd have to be outta your mind But deep inside, I think you could Be the only chance in hell to save me from myself So come on save me, oh yeah Baby, be crazy  Yeah, oh  You'd have to be crazy to love me Oh, but I wish you would You'd have to be outta your damn mind But deep inside, I think you could Be the only chance in hell to save me from myself So come on save me Yeah baby, c'mon save me, yeah Baby, be crazy Baby, be crazy Oh baby, be crazy Yeah, oh"
/songs/446235,Brantley Gilbert,Back In The Day,https://genius.com/Brantley-gilbert-back-in-the-day-lyrics,http://api.genius.com/songs/446235,Halfway To Heaven,2010-03-16," Mamma, she's still got that picture Of me and Katie on homecoming night She looked pretty in that fancy dress But that girl was a barefoot blue jean princess A hand full of rocks and daddy's pine ladder Sure did come in handy For a teenage boy thinking all that mattered Was a kiss that taste like candy   Back in the day we were wild and free She was my dashboard drummer Butterflies in the backseat Little footprints on my window Parking my Chevy by the riverside And four letters in a heart carved in a pine A little sun dress laying up there on the bank While the water washed our innocence away Back in the day   Friday nights I'd look up there in the bleachers And I can see her With my letter man's jacket on And I still got this scar here on my right hand From when Bobby told her she deserved a better man Aw.. She hung right with me down in panama city Raising hell on our senior trip And man ain't it funny It gets the best of me And I just can't forget I just can't forget   Back in the day we were wild and free She was my dashboard drummer Butterflies in the backseat Little footprints on my window Parking my Chevy by the riverside And four letters in a heart carved in a pine A little sun dress laying up there on the bank While the water washed our innocence away Back in the day   Summer was over College was calling man I had to watch her leave But I still wonder if she ever thinks of me   Back in the day we were wild and free She was my dashboard drummer Butterflies in the backseat Little footprints on my window Parking my Chevy by the riverside And four letters in a heart carved in a pine A little sun dress laying up there on the bank While the water washed our innocence away Back in the day"
/songs/446233,Brantley Gilbert,Bending The Rules And Breaking The Law,https://genius.com/Brantley-gilbert-bending-the-rules-and-breaking-the-law-lyrics,http://api.genius.com/songs/446233,Halfway To Heaven,2010-03-16," Growing up I was always mama's angel Never thought I'd ever fall from grace I was taught to walk with God and run from trouble But I ran with a crowd that was bound to change my ways   Yeah I was proud to be in the bad news crowd The one my mama warned me about The closest thing to hell she's ever raised But when I look back on those days I know I'd never change a thing I made mistakes that paved the way for the man I am today I'm proud of 'em all And I had a ball Bending the rules and breaking the law   We were bad about sneaking out and shooting road signs Throwing eggs and rolling every yard in town Yeah, my claim to fame was a Babe Ruth swing on a mailbox Yeah,the police just loved driving me around   Yeah I was proud to be in the bad news crowd The one my mama warned me about The closest thing to hell she's ever raised But when I look back on those days I know I'd never change a thing I made mistakes that paved the way for the man I am today I'm proud of 'em all And I had a ball Bending the rules and breaking the law   You learn to walk the way you talk And DUI means SOL Respect is earned You live and learn to pray You learn to pray   Yeah I was proud to be in the bad news crowd The one my mama warned me about The closest thing to hell she's ever raised But when I look back on those days I know I'd never change a thing I made mistakes that paved the way for the man I am today I'm proud of 'em all And I had a ball Bending the rules and breaking the law"
/songs/389675,Brantley Gilbert,Bottoms Up,https://genius.com/Brantley-gilbert-bottoms-up-lyrics,http://api.genius.com/songs/389675,Just As I Am,2013-12-16," I see you and me riding like Bonnie and Clyde Going 95, burning down 129, yeah Looking for the law, while I push my luck She's riding shotgun like it ain't no thing Turn the radio up so the girl can sing, right Pull into the party like ""y'all wassup?""   Tonight is bottoms up, up Throw it on down Rock this quiet, little country town, get up Drop a tailgate on ya truck Find a keg and fill ya cup up Kick it on back Pretty little mama looking at ya like that Make ya wanna slide on in like ""girl, what's up?""   Yeah, tonight is bottoms up up up Get 'em up Tonight is bottoms up up up Get 'em up   Damn girl, I gotta tip my hat Never thought a country song would make you move like that, yeah And she's doing it in Daisy Dukes, girl She's got ya tapping on a boy's shoulder ""Hey dog, check this out"" And that's how girl do it in the Dirty South, yeah She'll have you on your knee ""can I marry you?"" Yeah   Tonight is bottoms up, up Throw it on down Rock this quiet, little country town, get up Drop a tailgate on ya truck Find a keg and fill ya cup up Kick it on back Pretty little mama looking at ya like that Make ya wanna slide on in like ""girl, what's up?""   Yeah, tonight is bottoms up up up Get 'em up Tonight is bottoms up up up Get 'em up   Get 'em up Get 'em up (Hey y'all whatever ya sippin get it up in the air this time Bottoms up) Let's give a toast to the good times All y’all get your drinks up high Everybody feeling alright Damn right Cause   Tonight is bottoms up, up Throw it on down Rock this quiet, little country town, get up Drop a tailgate on ya truck Find a keg and fill ya cup up Kick it on back Pretty little mama looking at ya like that Make ya wanna slide on in like ""girl, what's up?""   Tonight is bottoms up, up Throw it on down Rock this quiet, little country town, get up Drop a tailgate on ya truck Find a keg and fill ya cup up Kick it on back Pretty little mama looking at ya like that Make ya wanna slide on in like ""girl, what's up?""   Yeah, tonight is bottoms up up up Get 'em up Tonight is bottoms up up up Get 'em up"
/songs/2966753,Brantley Gilbert,Bro Code,https://genius.com/Brantley-gilbert-bro-code-lyrics,http://api.genius.com/songs/2966753,The Devil Don't Sleep,2017-01-27," Look atcha, girl Standin' in my doorway Rockin' them curls And them cut-off daisies, man She called me up Can I come over, boy I'm bored to death And I'm all alone And   She only drinks when she's lonely She only gets stoned when you ain't home And I know bro code and I ain't breakin' it But bro, you got yourself a situation, bro You better get your girl home, boy You better take yourself home, boy You better tell her you love her, you need her 'Cause if you don't, she's 'bout to be long gone, bro   I opened the door And she gets to talkin' Talkin' 'bout he's controllin' me And tryin to hold me down It's gettin old, man She's ready to roll, man And I don't want to say I told you so, man 'Cause   She only drinks when she's lonely She only gets stoned when you ain't home And I know bro code and I ain't breakin' it But bro, you got yourself a situation, bro You better get your girl home, boy You better take yourself home, boy You better tell her you love her, you need her 'Cause if you don't, she's 'bout to be long gone, bro   Better show that girl a good time If you don't it's gon' be goodbye And if you take it for granted You hand her to another man It's a matter of time, bro It's a matter of time   Now, I know it ain't my business But I gotta insist that If this was somebody else Your deal is already finished because Bro code goes out the window Just be glad it's me lettin' you know, bro 'Cause   She only drinks when she's  lonely She only gets stoned when you ain't home And I know bro code and I ain't breakin' it But bro, you got yourself a situation, bro You better get your girl home, boy You better take yourself home, boy You better tell her you love her, you need her 'Cause if you don't, she's 'bout to be long gone, bro   Better show that girl a good time If you don't it's gon' be goodbye And if you take it for granted You hand her to another man It's a matter of time, bro It's a matter of time, bro"
/songs/2966830,Brantley Gilbert,Bullet In A Bonfire,https://genius.com/Brantley-gilbert-bullet-in-a-bonfire-lyrics,http://api.genius.com/songs/2966830,The Devil Don't Sleep,2017-01-27," I know the stories behind the bruises When I've been the shoulder You've been the reason for her tears And her tellin' you it's over's useless You keep callin' her phone, drivin' by when I'm not here She's beggin' me not to lose my temper Lord, I've tried, but my patience is runnin' thin The best thing you can do is forget her 'Cause so help me God, if you ever touch that girl again   You cross that line, boy and there ain't no comin' back I'm a crazy train, son, and you caught up in the tracks You've got me growlin' like a pit bull, brother I'm about to lock my jaws I'm a time bomb tickin' a real live wire Boy a shot in the dark, I'm a bullet in a  bonfire I'm a bullet in a bonfire   I know you don't know my story But I know your's And you probably should've read a page or two 'Cause if you think you're a badass on a lady Boy, you oughta see a grown ass man on a punk ass joke like you   You cross that line, boy and there ain't no comin' back I'm a crazy train, son, and you caught up in the tracks You've got me growlin' like a pit bull, brother I'm about to lock my jaws I'm a time bomb tickin' a real live wire Boy a shot in the dark, I'm a bullet in a  bonfire Yeah, I'm a bullet in a bonfire   Now, I'm gonna let you think it's over But little do you know, the fun is just about to start 'Cause I see you lookin' over your shoulder And I see you tryin' to act like you don't hear my footsteps in the dark   You cross that line, boy and there ain't no comin' back I'm a crazy train, son, and you caught up in the tracks You've got me growlin' like a pit bull, brother I'm about to lock my jaws I'm a time bomb tickin' a real live wire Boy a shot in the dark, I'm a bullet in a  bonfire Yeah, I'm a bullet in a bonfire Yeah, I'm a bullet in a bonfire And you think it's over"
