api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/397812,Casting Crowns,All Because Of Jesus,https://genius.com/Casting-crowns-all-because-of-jesus-lyrics,http://api.genius.com/songs/397812,The Altar and The Door,None," Giver of every breath i breathe Author of all eternity Giver of every perfect thing To you be the glory Maker of heaven and of earth No one can comprehend your worth King over all the universe To you be the glory And i am alive because i'm alive in you   It's all because of jesus i'm alive It's all because the blood of jesus christ That covers me and raised this dead man's life It's all because of jesus i'm alive I'm alive, i'm alive   Giver of every breath i breathe Author of all eternity Giver of every perfect thing To you be the glory Maker of heaven and of earth No one can comprehend your worth King over all the universe To you be the glory And i am alive because i'm alive in you   It's all because of jesus i'm alive It's all because the blood of jesus christ That covers me and raised this dead man's life It's all because of jesus Every sunrise sings your praise The universe cries out your praise I'm singing freedom all my days Now that i'm alive     I'm alive, i'm alive, i'm alive"
/songs/397916,Casting Crowns,All You've Ever Wanted,https://genius.com/Casting-crowns-all-youve-ever-wanted-lyrics,http://api.genius.com/songs/397916,Thrive,2014-01-28," I just looked up today And realized how far away I am from where You are You gave me life worth dying for But between the altar and the door I bought the lies that promised more And here I go again  Lord, I know I let You down But somehow, I will make You proud I'll turn this sinking ship around And make it back to You  But all my deeds and my good name Are just dirty rags that tear and strain To cover all my guilty stains That You already washed away  (Cause) all You've ever wanted, all You've ever wanted All You've ever wanted was my heart Freedom's arms are open, my chains have all been broken Relentless love has called me from the start And all You wanted was my heart  I was chasing healing when I'd been made well I was fighting battles when You conquered hell Living free but from a prison cell Lord, I lay it down today  So I'll stop living off of how I feel And start standing on Your truth revealed Jesus is my strength, my shield And He will never fail me  No more chains, I've been set free No more fighting battles You've won for me Now in Christ, I stand complete"
/songs/397882,Casting Crowns,Already There,https://genius.com/Casting-crowns-already-there-lyrics,http://api.genius.com/songs/397882,Come to the Well,None," From where I'm standing Lord it's so hard for me to see Where this is going And where You're leading me I wish I knew how All my fears and all my questions Are going to play out In a world I can't control Oh, woah   When I'm lost in the mystery To You my future is a memory Because You're already there You're already there Standing at the end of my life Waiting on the other side And You're already there You're already there Woah, woah, woah, woah   From where You're standing Lord, You see a grand design That You imagined When You breathed me into life And all the chaos Comes together in Your hands Like a masterpiece Of Your picture perfect plan   When I'm lost in the mystery To You my future is a memory Because You're already there You're already there Standing at the end of my life Waiting on the other side And You're already there You're already there   One day I'll stand before you And look back on the life I've lived I can't wait to enjoy the view And see how all the pieces fit One day I'll stand before you and Look back on the life I've lived I can't wait to enjoy the view And see how all the pieces fit One day I'll stand before you Look back on the life I've lived Because You're already there You're already there   When I'm lost in the mystery To You my future is a memory Because You're already there You're already there Standing at the end of my life Waiting on the other side And You're already there You're already there   You're already there"
/songs/397833,Casting Crowns,Always Enough,https://genius.com/Casting-crowns-always-enough-lyrics,http://api.genius.com/songs/397833,Until The Whole World Hears,2009-11-27," In the dry and weary land Lord, You are the rain In a sea of shattered ones Your love comes rushing in You hold the world within Your hands And see each tear that falls Through every fire and every storm You're always enough, always enough   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   In the watches of the night Lord, You are my song Hope is in the morning light Your love shines like the dawn You keep my heart in perfect peace My life is in Your hands When confusion hides my way You're always enough, always enough   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord   Your love is peace to the broken Faith for the widow Hope for the orphan Strength for the weak Your love is the anthem of nations Rings out through the ages And You're always enough for me   I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord I'll rejoice for my saviour reigns I'll rejoice for He lives in me God on high, He has set me free And worthy is the Lord   In the dry and weary land Lord, You are the rain"
/songs/397758,Casting Crowns,American Dream,https://genius.com/Casting-crowns-american-dream-lyrics,http://api.genius.com/songs/397758,Casting Crowns,2003-10-07,"All work no play may have made Jack a dull boy But all work no God has left Jack with a lost soul But he's moving on full steam He's chasing the American dream And he's gonna give his family the finer things Not this time son I've no time to waste Maybe tomorrow we'll have time to play And then he slips into his new BMW And drives farther and farther and farther away So he works all day and tries to sleep at night He says things will get better Better in time   And he works and he builds with his own two hands And he pours all he has in a castle made with sand But the wind and the rain are coming crashing in Time will tell just how long his kingdom stands His kingdom stands  His American Dream is beginning to seem More and more like a nightmare With every passing day ""Daddy, can you come to my game?"" ""Oh Baby, please don't work late"" Another wasted weekend And they are slipping away Cause he works all day and lies awake at night He tells them things will get better It'll just take a little more time He used to say, ""Whoever dies with the most toys wins But if he loses his soul, what has he gained in the end I'll take a shack on the rock Over a castle in the sand  Now he works all day and cries alone at night It's not getting any better Looks like he's running out of time Cause he worked and he built with his own two hands And he poured all he had in a castle made with sand But the wind and the rain are coming crashing in Time will tell just how long his kingdom stands His kingdom stands   All they really wanted was you"
/songs/397864,Casting Crowns,And Now My Lifesong Sings,https://genius.com/Casting-crowns-and-now-my-lifesong-sings-lyrics,http://api.genius.com/songs/397864,Lifesong,None," I once was lost, but now I'm found So far away, but I'm home now I once was lost, but now I'm found   And now my lifesong sings   I once was blind, but now I see I don't know how, but when He touched me I once was blind, but now I see   And now my lifesong sings I once was dead, but now I live Now my life to You I give Hallelujah! Hallelujah Let my lifesong sing to You"
/songs/397903,Casting Crowns,Angel,https://genius.com/Casting-crowns-angel-lyrics,http://api.genius.com/songs/397903,Come to the Well,None, It was a day Just like any other day I was a boy Just like every other boy But when the girl Unlike any I had seen It's like she stepped out of a dream And into my world Could have been the summer wind Playing with her hair As the sun danced in her eyes We were standing there  She smiled I forgot my name Because all I was thinking   Maybe I'm crazy but I'm praying That an angel will love me An angel will love me   Maybe I'm a fool but I'm still falling Asking heaven above me For an angel to love me The rest of my life   You're the proof that the Father answers prayers Because somehow someway You and I are standing here With the sacred promise And a ring that says it all I've just begun to fall From the deepest part of me I say I do     After all the changing seasons Have turned to years The crowns are gone And the suns have faded I'd still be here Holding you When thanking heaven For my angel  
/songs/2859539,Casting Crowns,At Calvary,https://genius.com/Casting-crowns-at-calvary-lyrics,http://api.genius.com/songs/2859539,Glorious Day: Hymns of Faith,2015-02-25,"Years I spent in vanity and pride Caring not my Lord was crucified Knowing not it was for me He died At Calvary  By God's word at last my sin I learned Then I trembled at the law I'd spurned Until my guilty soul imploring turned To Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary  Now I've given Jesus everything Now I gladly know Him as my king Now my raptured soul can only sing Of Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Calvary  Oh the love that drew salvation's plan Oh the grace that brought it down to man Oh the mighty gulf that God did span At Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Oh, at Calvary   There Your mercy and Your grace was free There Your pardon multiplied to me There my burdened soul found liberty At Calvary Calvary  There my burdened soul found liberty At Calvary"
/songs/397867,Casting Crowns,At Your Feet,https://genius.com/Casting-crowns-at-your-feet-lyrics,http://api.genius.com/songs/397867,Until The Whole World Hears,2009-11-27," Here at Your feet, I lay my past down My wanderings, all my mistakes down And I am free Here at Your feet, I lay this day down Not in my strength, but in Yours I’ve found All I need, You’re all I need   Jesus, Jesus, at Your feet Oh, to dwell and never leave Jesus, Jesus, at Your feet There is nowhere else for me There is nowhere else for me   Here at Your feet, I lay my future down All of my dreams, I give to You now And I find peace, I find peace Here at Your feet, I lay my life down For You my King, You’re all I want now And my soul sings   Jesus, Jesus, at Your feet Oh, to dwell and never leave Jesus, Jesus, at Your feet There is nowhere else for me There is nowhere else for me   'Cause I am free (here at Your feet) All I need (is at Your feet) I find peace We're at Your feet We're at Your feet And I am free (here at Your feet) All I need (is at Your feet) I find peace We're at Your feet We're at Your feet We're at Your feet We're at Your feet   Here at Your feet I lay my life down"
/songs/4029237,Casting Crowns,Awaken Me,https://genius.com/Casting-crowns-awaken-me-lyrics,http://api.genius.com/songs/4029237,Only Jesus,2018-11-16," Lord, what were You saying? I must've fallen asleep Could've sworn I heard You talking Or maybe it was just a dream It sounded something like redemption An echo from a younger day Lord, how long have I been drifting? My tears are falling as I pray   Lord, wake up this sleeper I lift my head, I lift my head Your searchlights found me Here at my end, I'm at my end   Is it the fear of falling down again? Oh, that keeps me sitting here I'd rather wander in the shadows Than have to look into the mirror There's so much madness all around me They wear their darkness on their sleeves But now my blinded eyes are open And I see the darkest part of me   Lord, wake up this sleeper I lift my head, I lift my head Your searchlights found me Here at my end, I'm at my end   Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me   Lord, wake up this sleeper Lord, let Your fire make holy these lips unclean Your searchlights found me Shine down in all Your glory, awaken me, oh-ohhh-ohh Lord, let Your fire make holy these lips unclean Shine down in all Your glory, awaken me"
