api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/13439,Chamillionaire,100 Million,https://genius.com/Chamillionaire-100-million-lyrics,http://api.genius.com/songs/13439,Mixtape Messiah 7 (Disc 1),2009-01-01," Haha, a wise man once told me keep me your friends close and keep your enemies closer And he only got close enough to tell me that because, well he was a enemy Shout out to all my frenemies, haha, Major Pain boy Yeah, yeah!   I'm in first place, in this wonderful World chase I'm a current case of a rapper that won't break Playin dirty (yeah), I'm too sick with the word play I make words that don't rhyme start rhymin like ""you're gay"" Be on your way, I'm a mercy mercy You be workin hard, she givin me your pay Women walk up to me, ""it's nothin"" that girl say (yeah) Stick money on my shirt like it was my birthday (hey!) Let's go, rest mo', get slowed I'm like ""f hoes"", they metroed, I'm petroed Get blowed by your girl like red nose And every single day I'm catchin a head cold (hachoo) ""Pimp Mode"", Katt Williams, yeah them know Put it on a tape and call it the ""Best Show"" Koop' versus Chamillionaire, which is the best flow? You'll probably see a tie like NBA dress code Be the best to, jump up and get squashed Just thoughts, just talk your lip gloss Cause you spit soft, dick bosses get off And I know what you're thinkin, I hit ya with this pause (haha) They say you shouldn't throw stones at a glass house Got my money up and I throw out of my stash house What your cash 'bout? I ain't takin the tag out Ask me why I bought it, my wallet just passed out Rapper ran mouth and I bet he get ran out I bet another sucker gonna follow that man route I'm a bad cough, that sick, big, bad boss See me and they bow like ""Wow!""...Shad Moss (haha) Tryin to say that you ain't real if you got it Yeah I'm on the internet because it fill up my wallet Uh, street money helped me get into college I bust you in your face, log on and Twitter about it (woo!) Uh, the auducity, run 'em over like athletes Self serve means I'm the only person that's gassin me You should ask of me, money lookin like math to me One plus one equals equity, what it has to be Uh, better come at your boy carefully Or get shown the definition of real reality Who's as bad as me? Any other name is calamity Cause I be flippin the G's daily like Vanna be Wanna challenge me? What a beautiful day that that'll be You could battle me any Sunday through Saturday You a cavity, too sweet to even handle me I'm insanity, not sane, my brain out of me (woo) Take a budget, turn it into confetti If I start another label I'm a call it ""Machete"" Nah, won't drop an album 'til I'm motherf'in ready Was gonna call it ""Venom"", when I'm strikin I am deadly Don't know me Mister, don't ask me about my sister They don't really know me but label me like a risk a You can have all the swagger, you can have the charisma If I want your opinion, I'll log on the 'net and Twit ya (Tweet) It's the Mister ""Sicker Than Every Pic Ya Makin"" But it's no hate and they waitin to get ya issue And it's official, I'm so official Turn my iPhone towards me and I take a picture (cheese!) Women say you real and say that they wanna kiss ya Haters see it happen, that day they gonna wanna diss ya Promise it's a myth, you need to know I will get ya Richer, so I call up my lawyer before I hit ya (uh) You mess with me, impossible gonna be possible What you think we even look at the Oscars for? Hang with me to hear product cause he a gossiper Thought that we was fly but ain't like a ostrich bro (woo) That's why I say no way, Larry King of this thing, my pay stay okay Mixtapes in the street and pass A plus K Aunt Jemima plus vagina, you a sweet pussy Every verse is a better verse, you know what it's worth Since my birth been blessed with a curse, realest on the Earth It's a curse, get another nurse, in a mini skirt Make her work 'til her feet is hurt, open up your purse, Captain Kirk I can't ever be, she'll be payin me (me) Walkin through the mall like we on a shopping spree (spree) Open up the garage, yeah everything you see, black on black like the NAACP Gettin money, yeah I let the cat out I get any sicker then I'm probably gonna pass out In the studio cause they sleep on me like the black couch Still got mad clout, that's what haters is mad 'bout Here we go, here we go, I'm in the studio My whip got me feelin like my name was Domino Cause it's a big six with me everywhere I go Your chick is still tryin to get me in a figure four Lookin for some hotness, let a heat seeker know George Bush, one push, let a heat seeker go Hit the studio, there goes another heat seeker ""whoa!"" (whoa) But I don't know why they doubt cause I've done this before (whoa)   I want a hundred million dollars, hundred million dollars Hundred million dollars, hundred million dollars Try to get on my level, try to get on my level, let's go, um"
/songs/13382,Chamillionaire,2 MPH,https://genius.com/Chamillionaire-2-mph-lyrics,http://api.genius.com/songs/13382,Mixtape Messiah 4,2008-08-16,"""Sippin, sippin on lean, sippin, sippin on bo'""   Comin down grippin grain, diamonds up against the wood Tops drop, blades chop, trunk is popped, I'm lookin good Swangin down the boulevard, chunky deuce, the fifth is shinin The queen is ridin shotgun and Finger's behind me So never you mind me, I'm just hustling, grindin My pockets are heavy and my diamonds are blindin My pistols are loaded and cocked so know that I'm ready I'll die for my family dog but I'll kill for my fair day R.I.P. to my baby bro, UGK until It ain't no stopping this movement, you lose on the real Cause we keeping it trill, that's from ashes to dust We got paper to make and fake nigga's asses to bust If you down for your hood, and you bangin that Screw Put your sets in the sky, cause this one is for you Keep on keepin it true, fuck haters and again Cause we don't play the game to say we play, we play to win  [Hook: Mistah F.A.B.] {X2} Leanin to the side, you cain't speed through Two miles per hour, so everybody sees you Ridin by myself, with the pistol in the do' ""Sippin, sippin on lean, sippin, sippin on bo'""  [Mistah F.A.B.] Candy on my big wheel, yeah man I'm still a kid Twenty-six, rims same age as me, can you dig? Ridin down the block, knockin pictures off your wall Just showin off my grill made by Paul Wall Alpine speakers in my grill on blast Like my boys in Texas, hittin corner on them slabs Seat laid back, you know how us pimps be Keep your head up Bun B, rest in peace Pimp C A mill' on mine rolled back to back and young millionaires we haven't scratched Rhyme through the hood and habitat, candy paint look like some cabbage patch Haters hot, they mad at that, Chamillionaire, how F.A.B. get that? Two dimes in a car, how bad is that? King of the jungle, you an alley cat Prince of the coast brought Cali back, just threw some D's on a Cadillac Smoke so much, got cataracts, been rollin up for a matter of fact F.A.B. get love where F.A.B. is at, from the Bay to the South where them slabs is at Oakland down to Houston, only rollin with them savage cats   {X2}   {*Over Hook: Chamillitary mayne, yeah*} It's gon' be, F-A-C, T to the Feds gon' mess with me And F-A-B, when they see, mixtape money yes they pay me Mugabe, Inspector G, bring 'em all cause they cain't get me Ten vehicles parked in the yard, pick your choice, I'll get that key Take that jet out to West, let's swang and get our swerve on Hit that strip in my whip, gon' strip and let them sexy curves show Vehicle sittin very low, pimp that caddy very slow They like ""Yeah, Chamillionaire, the realest I done heard holmes""   I'm leanin to the side sideways, sittin crooked My Jolly Rancher paint got all of the people lookin I'm beatin down the block, givin the streets an ass whoopin Peep the way a player move, take notes lil young-un I'm movin slow mo', leanin off a potent fo' Pistol in my lap, plus another one in the side do' You know I'm just a young hustler all about my doe Gettin cake and stackin up that paper, I need mo'   {X2}  ""Sippin, sippin on lean, sippin, sippin on bo'"""
/songs/1829344,Chamillionaire,2 MPH FAKE,https://genius.com/Chamillionaire-2-mph-fake-lyrics,http://api.genius.com/songs/1829344,None,2009-07-21,"""Sippin, sippin on lean, sippin, sippin on bo'""   Comin down grippin grain, diamonds up against the wood Tops drop, blades chop, trunk is popped, I'm lookin good Swangin down the boulevard, chunky deuce, the fifth is shinin The queen is ridin shotgun and Finger's behind me So never you mind me, I'm just hustling, grindin My pockets are heavy and my diamonds are blindin My pistols are loaded and cocked so know that I'm ready I'll die for my family dog but I'll kill for my fair day R.I.P. to my baby bro, UGK until It ain't no stopping this movement, you lose on the real Cause we keeping it trill, that's from ashes to dust We got paper to make and fake nigga's asses to bust If you down for your hood, and you bangin that Screw Put your sets in the sky, cause this one is for you Keep on keepin it true, fuck haters and again Cause we don't play the game to say we play, we play to win  [Hook: Mistah F.A.B. X2] Leanin to the side, you cain't speed through Two miles per hour, so everybody sees you Ridin by myself, with the pistol in the do' ""Sippin, sippin on lean, sippin, sippin on bo'""  [Mistah F.A.B.] Candy on my big wheel, yeah man I'm still a kid Twenty-six, rims same age as me, can you dig? Ridin down the block, knockin pictures off your wall Just showin off my grill made by Paul Wall Alpine speakers in my grill on blast Like my boys in Texas, hittin corner on them slabs Seat laid back, you know how us pimps be Keep your head up Bun B, rest in peace Pimp C A mill' on mine rolled back to back and young millionaires we haven't scratched  Rhyme through the hood and habitat, candy paint look like some cabbage patch Haters hot, they mad at that, Chamillionaire, how F.A.B. get that? Two dimes in a car, how bad is that? King of the jungle, you an alley cat Prince of the coast brought Cali back, just threw some D's on a Cadillac Smoke so much, got cataracts, been rollin up for a matter of fact F.A.B. get love where F.A.B. is at, from the Bay to the South where them slabs is at Oakland down to Houston, only rollin with them savage cats    [Chamillionaire (Over Hook: Chamillitary mayne, yeah)] It's gon' be, F-A-C, T to the Feds gon' mess with me And F-A-B, when they see, mixtape money yes they pay me Mugabe, Inspector G, bring 'em all cause they cain't get me Ten vehicles parked in the yard, pick your choice, I'll get that key Take that jet out to West, let's swang and get our swerve on Hit that strip in my whip, gon' strip and let them sexy curves show Vehicle sittin very low, pimp that caddy very slow They like ""Yeah, Chamillionaire, the realest I done heard holmes""   I'm leanin to the side sideways, sittin crooked My Jolly Ratchet paint got all of the people lookin I'm beatin down the block, givin the streets an ass whoopin Peep the way a player move, take notes lil young-un I'm movin slow mo', leanin off a potent fo' Pistol in my lap, plus another one in the side do' You know I'm just a young hustler all about my doe Gettin cake and stackin up that paper, I need mo'   ""Sippin, sippin on lean, sippin, sippin on bo'"""
/songs/13388,Chamillionaire,2 Real,https://genius.com/Chamillionaire-2-real-lyrics,http://api.genius.com/songs/13388,Mixtape Messiah 4,2008-08-27,"(187, 187, 187) (Who's next?)  [Intro - Chopped and Screwed Voice - talking behind Hook] - w/ ad libs Screwed Up Click You know what this means, right? Clover G! Let's go Yeah, I'm too real to be an actor Ya dig? You know who you are You be home, you behind the mic Not me though   ""Nigga's a threat, too real to be an actor"" - 8X  [Verse 1 - Lil' Flip] This ain't a movie, this more like a screenplay Cause on the real I went to the block each day (for real) The G way, so hit me on my three way Look if you want to live, you better take it easy You jump, fly with me, I clip your wings off You violate me again, I infa beam y'all This H-Town, the home of the trunk poppers Oh and I'm on that kush nigga, I'm a funk doctor I make hits in the streets and in the booth So keep playin I'll put one on you (YOU) I'm tatted up, cause I love takin pain I give my artist's a cheat and tell 'em ""keep the change"" I ain't petty player, I buy the whole thang My work pure since you want to talk blow man I got that shit that made Len Bias overdose Yours truly, the King of the Third Coast     Yo, it's Koopa baby, uh Jackers pay attention and don't get the script confused Cause I promise Black & Decker ain't gon' miss you with the tools Better duck before you lose, like McDuck or Mr. Scrooge I ain't givin away a golden cent or nothin to you fools Clownin on the camera, tryin to get you on the news Sometimes the cloest ones, the ones who tryin to see you lose They say that family matters, tell Urkel that I'm the truth Because I'm a be a Family Guy until Stewie gets it misconstrued Scratchin off the serial, materials get thrown away For jackers, I got that serial, I'm pouring out the Special K Don't get blown away, plot and you will bowl away From no one just with a Cheerio size hole to stay Homie it ain't no debate, some Pirelli's known to hate So I had to motivate a set of O's to hold my swangs Tippin on my rollerblades, head to toe way on them thangs Tickets just get thrown away like I was supposed to pay    [Verse 3 - Lil' Flip] Look, aye it's way too late to try to make peace Just be glad they didn't find your ass on the streets First they said H-Town wasn't gonna blow But we proved 'em wrong, even Bun B went gold I'm Michael Phelps, the way I swim up in your wife Look I'm the reason her juice box ain't tight (Who the King of Houston?), y'all better say me Cause Def Jam Vendetta is the only way you'll play me   NBA Live 2006, only way that they'll play me I was born to be a boss and you just a trainee In money that we trust, so you can trust in me Cause I am money, you should see how much I clutched this week They say that money talks, so you can trust this speech It's Barack O'Balla baby, let's do lunch, let's feast Landlord of the H, let's discuss this lease If you in Texas and you leanin, then adjust your seat, for Pimp C   - w/ ad libs  [Outro - Lil' Flip - talking] Hey, we too real man For real, yeah Too real to be an actor, man (187, 187, who's next?) 187, who's next? Hahaha Hey Cham man It feel good to be amongst the platinum elite club baby Hey let 'em know The grind don't stop, Flipgates, Chamillionaire It's Volume 4, right? Hey Cham man, let these niggas know man I'm fuckin with these beats now 682-561-8900"
/songs/13259,Chamillionaire,5 Deuce 4 Tre Freestyle,https://genius.com/Chamillionaire-5-deuce-4-tre-freestyle-lyrics,http://api.genius.com/songs/13259,Greatest Hits,None," Paul Willigan, you already know  Look.. You might think you got her, on lock like a locker I already got her, comin' out of her boxers If she's hot and got curves Don't let me spot her, cuz you will spot her hoppin' into my dropper Whenever the phone rings ya girl never be home *BEEP* nigga leave a message after the tone ""Baby, I know ya home, you were right I was wrong Let it be known, Chamillion is incredibly thrown You know when he show and open up his trunk when he glowin' Never go over a penny of gasoline when he po' it I'ma fan, Koopa's insane he's almost perfect Never polite grab a wood-wheel, he always hurt it"" Sue me, for all my bills or my 20 inch wheels If you feel that you can still say the lizard ain't real After I steal you in ya grill and force you to deal With the pain all you can say is that nigga to real Koopa..my accountant calls me Mr. Discount Cuz I throw him his money back and say take dis count Me and my nigga Tigga is some thuggin' guerillas Dub-Wheelers, footlocker never nothin' in Dillards"
/songs/102456,Chamillionaire,After The Superbowl,https://genius.com/Chamillionaire-after-the-superbowl-lyrics,http://api.genius.com/songs/102456,None,2014-03-20," Say that she a model and she know how to dance (dance) She do what she want she ain't got no man at allll Say she not a groupie and she a steelers fan I said girl if that's true then I'm a let you know the plan And you should go and bring some partners thorugh Let's chill after the superbowl (superbooowl) Maybe me and you can kick it for a few After the packers loooose Here lizard, lizard, lizard   I took my Black Card out and slid it Told my crew that it's time to get it Black & yellow crime scene tape just so you know who did it Got a clip and you can fit it Ever on no band wagons So if you bet me bring my change And a couple rubber band wagons, pants sagging Chick you having she nicknamed me the dragon Cause she know that I spit that fire And my dick so big that it be draggin Yea your misses prolly having carpet burns while she grabbin Knees red look like she bein giving head to aladdin Why they rapping cause it's a rap You can not like koopa but don't get slapped Never seen losers in yellow and black And they call them the Packers cause they's gon' pack Know what I mean told the green Bay gon' be the losing team Only thing me and Green Bay got in common is the green   Ey I spit his just to be like I told ya Steelers win stole that game over Then I wroom start in a range rover Packers just got signed like solar Front page steelers stealinyour exposure Murderer fam never get closure Why my money stay HIGH as a toker Cause I got as much drive as a chauffer, ha Chicks straight up out of Playboy Kinda mirror I'm a whip it like a play toy Ally year with the internet cake boy Matter fact you ain't on my rap radar I'm too dope boy, get cash You can back and just let me get that My whip fast, when I whip fast Got em breaking they neck you can call it whiplash Pull her jeans low frappuchino Cause she be creamin when I touch Never bein ready my hustle game heavy I bet your dreams I'l get to crushed Can't rock with chamillionaire He be singing way too much Well I'm a keep singing so you keep comin and just swinging on my nuts Hold up  "
/songs/13434,Chamillionaire,Ain't Nobody,https://genius.com/Chamillionaire-aint-nobody-lyrics,http://api.genius.com/songs/13434,Mixtape Messiah 7 (Disc 2),None," - 2X Ain't nobody cool as me Ain't nobody cool as me Ain't nobody, ain't nobody, ain't nobody cool as me  Hold up   First of all let's talk about these leeches that be on my sack Thinkin that I'm gon' get sacked, I Reggie Bush your cornerback The realest that's on a plaque, the realest to get on a track Just point me to where you at and I'll visit it on a map No I'm not gonna say your name, you too lame to be announced Keep my name up out your mouth and my success gonna take it out To me it's raining in a drought, you fakers that's fadin out You mad cause I'm what it is and just what it ain't about And I came with a gang of clout, showed up with a Rapid Ric He came with a stack of chips you can't explain with a adjective (huh, huh) Catch me chillin with Victoria models I be on twenty hour flights, layin horizontal And you will want to but you can't even fathom You ain't headed to the Opera, you can't even Phantom See I hear 'em talkin but I can't understand 'em These rappers hate the King but can't say that he isn't jammin You say you hate me and think you rap so greatly You should step up to the plate, do your best to replace me That's what I thought, you can't do it, cause you ain't me You flowin in a analog and I'm flowin in HD Don't get a fan and a male groupie to confuse faker Confuse it with a male groupie, it's probably you hater Forget a newspaper, I'm tryin to do new data So stuck to the viral money, it's feelin like glue paper F it, I'm 'bout to get rid of my whole fleet Just gon' keep any car that came before '03 Whole league, guacamole, I am on key They said you have to be the best, so I'll just own me, yeah  "
/songs/13256,Chamillionaire,Air Force Ones Freestyle,https://genius.com/Chamillionaire-air-force-ones-freestyle-lyrics,http://api.genius.com/songs/13256,Greatest Hits,None," I know they gon' get pissed over This flow that I did for ya Forget what them tricks told ya I'm slick with the pistol-a No purple in his soda..but I'll sell ya the bar 16 bars cost 35 throw a dollar at ya boy The next nigga that talk down, and say that ballin' rap ain't real I'ma slap that broke nigga with 10 hundred dollar bills Then I'ma ask how real is that? and I'ma let you keep the change Waitress shinin' at IHOP, no tip Owl left you piece and change Fedarelli think I'm sellin' syrup, swisher sweet and 'caine But I'm really pimpin' hoes, want head? I'll let you lease her brain Even hoes try to make me buy them 20 inch tires Yeah I give them hoes the Visa, but you know that hoes expired So the card get's rejected And the braud get's rejected When she try to get back on my sack, she'll get slapped Money ain't sex it's males and Females can get it, gettin' money is tough Cuz I got most of it already, the U.S. didn't print enough Chamillionaire is no bluff, I ain't have no trouble to sell Plus I go fed ex like overnight government mail Thuggin' as well with Thugga-Man I'm ready to cut a man Put on my rubber and Get off in your mother then.. Burn her off my rubber-bands Trunk is cracked To hell with throwbacks A nigga throwin' throwbacks back I'm wearin' throw-ahead jerseys ""Koopa what the hell is that?"" A NBA jersey with a College niggas name on the back He ain't even hit the league, I got em'..in home and away colors I'm ashamed of this rap game, like the mother's of gay brothers Yall niggas rappin' gay..and the underground is mine It's the Mixtape Messiah and I've come to get my crown Spent yo money on platinum..I put my dough in my mouth While yall niggas is eatin' cookies stuffin' dough in ya mouth Even if Rayface recorded all my vocals low You've got to hear it, I'm the best and you supposed to know King"
/songs/13385,Chamillionaire,All Around the World,https://genius.com/Chamillionaire-all-around-the-world-lyrics,http://api.genius.com/songs/13385,Mixtape Messiah 4,2008-08-27," (All around the world), yeah (All around the world), yeah (All around the world), uh (This goes out to girls all around the world), let's go (All around the world), woo! (All around the world), I like that (All around the world), let me set the scenery real quick, cheah (This goes out to girls all around the world)  [Verse 1 - Chamillionaire - rapping] Black watch, black shirt, starin through my locs (locs) Lookin at you lookin like you know I'm goin to approach (approach) We could do a uh, well we could do a toast While you sit across the table tryin to figure out my gross (gross) You out your mind, if you ain't mind makin (mind makin) Cause I ain't got the time for time takin (time takin) Money doesn't grow on trees but I'm thinkin (but I'm thinkin) You ain't never seen the millions I'm rakin (millions I'm rakin) In, get a garbage bag I be talkin trash, let me throw away my swag (let me throw away my swag) I be talkin math baby, they be talkin half (half) I be talkin yacht language, they be talkin raft (raft) Where you want to fly?? Give you wings like Red Bull (Red Bull) We'll be flyin on the jet skies like Jet Blue You freaky I could probably give your knees a schedule You freaky I could probably give your weave it's next pull (woo!) And I got plenty of sky miles (sky miles) The four is goin to come after the G, when I'm out (when I'm out) And she already knowin what I'm 'bout (I'm 'bout) The paper boy, it's only G's on my route If you want to (want to), then we can do whatever ('ever) Whatever is clever or whatever is never (never) Whatever is green, baby whatever is yellow That's whatever is G's (cheese), whatever is chedder I promise the card ain't got a maximum (maximum) Stacks with 'em, so he goin to have the straps with 'em (straps with 'em) They be like you look exactly like it's him (it's him) Car dashin/Kardashian, it looks exactly like a Kim (like a Kim) I'm in a zone, she ask ""can she hold me?"" (hold me) I won't let her, I'm just tryin to score like Kobe (score like Kobe) And you just tryin to block like goalie (block like goalie) But I'm a give her D like my first name Moby (first name Moby)   (All around the world, girls all around the world), haha, get 'em (This goes out to girls all around the world), yeah (All around the world, girls all around the world), get 'em (This goes out to girls all around the world), all around the world (All around the world, all, all around the world), get her (This goes out to girls all around the world), know what I'm talkin 'bout?? Yeah (All around the world, all, all around the world) I know they be tryin to talk about my singing, but (get her) (This goes out to girls all around the world), let me do it, let's go  [Verse 2 - Chamillionaire - singing] I used to not know why haters would try so hard to hate (why they hatin baby?) Until I moved up from Ramen Noodles to shrimp and steak Ewww (I know you like that steak) Girl (filet mignon) You can order what you like (haha, it's on me) You can order what you like (haha, it's on me baby) Cause we'll be on a yacht, starin at white beaches and waves (that's what I'm talkin about) And you'll be tannin topless tellin me you're feelin great Ewww (you're feelin great baby) Girl, I'm a help you clear your mind I'm a help you clear your mind (Chamillitary mayne)  [Verse 3 - Chamillionaire - rapping] Uh, yeah She said ""Hakeem, we should pause for a quick flick"" Seen my jewels, I remind her of Slick Rick Dough that'll grow like we heatin up biscuits Chamill got a mil that's as cheesy as it gets (I don't get it) Cheddar, Velveeta with the money I don't break a sweat baby, even if it's sunny Ladies they love me, I'm Fresh like Doug E I hated being broke so I made money my buddy (haha) I promise I don't say it just to spit it (spit it) Go to Saint Martin and tell 'em I already did it (did it) French or the Dutch side, tell me if you with it (with it) Cook like the Curry goin be finished in a minute Steak's so large, she goin to say she want to split it (split it) Passport fool, you would think I run the city (city) Put me on the stand, I'm like ""ah, damn (ah, damn) I promise there's a witness that saw me gettin in that - pool Yeah, the Thrilla in Manila (woo) Thrilla in Manila, naw I'm trilla than Manila We could catch a flight, maybe we can get a dinner While I'm bumpin that ""Trilla"", while I feel ya in the villa (villa) Business man, do whatever stop no ma'am BlackBerry's near, always lookin for mo' grands Ronald Isley is the sound of the slow jam If sex is a weapon, then I'm ready to go BLAM! (hah) Get a two day tan Cause the other two days, me and you stay in Turn backwards like Kriss and them used to do they pants Your homegirl just mad, cause her dude ain't Cham The kid goin to prevail when it come to the skills Like LL ""I be doin it and doin it well"" But right now when I do it, I don't do it for sales (oh yeah?) When I do what I be doin, I just do it for self (haha)   - w/ ad libs All around the world, girls all around the world This goes out to girls all around the world All around the world, girls all around the world This goes out to girls all around the world All around the world, all, all around the world This goes out to girls all around the world All around the world, all, all around the world This goes out to girls all around the world  [Outro - Chamillionaire - talking over the Hook] Yeah, we in Dubai on a peninsula baby Not an island, a peninsula An island is completely surrounded by water And a peninsula is almost all the way surrounded by water Haha, we do it big like that Hugh Hefner's next door too What up Hef?"
/songs/1313979,Chamillionaire,All Black,https://genius.com/Chamillionaire-all-black-lyrics,http://api.genius.com/songs/1313979,None,2014-03-20,"I bring that Major Pain  (All black everything)  The game won't be the same  I bring that major pain  (All black everything)  The game won't be the same  Pockets fulla stacks Yup Walk around with heavy jeans Money on the line I'm a pick up when my celly rings Child, I'm ya destiny like Beyonce and Kelly Team? Get her wetter than the weather that the broken levy bring She noticed my earring was way larger than a belly ring Betta take off that wedding ring Cause I don't want that head to sting Think you got the best head that the Dirty South has ever seen Than go down down Like that old-school song that Nelly sing All the plates on them say Kupa Foriegn cars Introduce ya That's Barack That's Michelle And that there is my Martin Luther All black hoopy train Wait for me to enter lobby All black Mazariti Hard body No Keyoti I ain't never met a Robert But I'm friends with a Deniro Also international I can get it in the Euro Girl I gotta real big ego Plus I'm colder than sub-zero Boy don't try to be a hero Shoot a bullet through a needle I bring that Major Pain  (All black everything)  The game won't be the same  I bring that major pain  (All black everything)  The game won't be the same  Pockets fulla stacks Yup Walk around with heavy jeans Money on the line I'm a pick up when my celly rings Child, I'm ya destiny like Beyonce and Kelly Team? Get her wetter than the weather that the broken levy bring She noticed my earring was way larger than a belly ring Betta take off that wedding ring Cause I don't want that head to sting Think you got the best head that the Dirty South has ever seen Than go down down Like that old-school song that Nelly sing All the plates on them say Kupa Foriegn cars Introduce ya That's Barack That's Michelle And that there is my Martin Luther All black hoopy train Wait for me to enter lobby All black Mazariti Hard body No Keyoti I ain't never met a Robert But I'm friends with a Deniro Also international I can get it in the Euro Girl I gotta real big ego Plus I'm colder than sub-zero Boy don't try to be a hero Shoot a bullet through a needle"
