api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3978934,Cher,88 Degrees,https://genius.com/Cher-88-degrees-lyrics,http://api.genius.com/songs/3978934,Black Rose,1980-08-21," Stuck in L.A., ain't got no friends And so Hollywood nuts Too many dead ends Life on the streets is no where to live Do I pack my bags or dare switch Just sold my car, I sold it for junk I can’t pay my rent so I take the bus It's the first time I been in such a cold place Where the temperature is 88   88 degrees Lord it's so hot, so damn hot Trying to make a deal But somehow I’m stopped Cause the pace is so heavy Maybe it cause the weather Yeah, yeah   I'm set in the mood for you You remember the time You remember the time  Yes, I'm the deal for a whole lot of dough I'm hoping success turns ten years to gold Finally I'm happening and I set in the press You ask me what it's like to be famous   88 degrees Lord it's so hot, so damn hot Trying to make a deal But somehow I'm stopped Cause the pace is so heavy Maybe it cause the weather Yeah, yeah   Remember the time Cause when in your face You could start to get angry Is it me or just this place One thing is for sure You got to work so hard Sure feels this ain’t no place For broken hearts Just ask me tomorrow if you love you   88 degrees Lord it’s so hot, so damn hot Trying to make a deal But somehow I'm stopped Cause the pace is so heavy Maybe it cause the weather Yeah, yeah   Stuck in L.A., ain’t go no friends And so Hollywood nuts Too many dead ends Life on the streets is no where to live You ask me what it's like to be famous   88 degrees Lord it's so hot, so damn hot Trying to make a deal But somehow I'm stopped Cause the pace is so heavy Maybe it cause the weather Yeah, yeah"
/songs/1557023,Cher,A Different Kind of Love Song,https://genius.com/Cher-a-different-kind-of-love-song-lyrics,http://api.genius.com/songs/1557023,Living Proof,2002-08-13," This a different kind of love song This a different kind of love song This a different kind of love song This a different kind   What if the world was crazy and I was sane? Would it be so strange? I can't believe that I am alone in saying The thing's I'm saying I am part of you These are universal truths We're all part of the light that flows through everything   This is a different kind of love song Dedicated to everyone Different kind of love song - whoa, whoa This is a different kind of love song A higher plane we can go on Different kind of love song - whoa, whoa Love song   What if the world calmed down and we all could breathe Together easily? Connecting the sky and the ground with you and me And everything in between I am part of you We have living proof There is some kind of light that flows through everything   This is a different kind of love song Dedicated to everyone Different kind of love song - whoa, whoa This is a different kind of love song A higher plane we can go on Different kind of love song - whoa   This is a different kind of love song Whoa, oh This is a different kind of love song Ooh   This is a different kind of love song (This is a different kind of love song) (Different kind of love song) Whoa, whoa This is a different kind of love song Dedicated to everyone This is a different kind of love song Whoa, whoa This is a different kind of love song A higher plane we can go on Different kind of love song - whoa, whoa This is a different kind of love song This is a different kind, a different kind or love song Whoa, whoa"
/songs/885263,Cher,A Dream Is a Wish Your Heart Makes,https://genius.com/Cher-a-dream-is-a-wish-your-heart-makes-lyrics,http://api.genius.com/songs/885263,None,2017-09-15,"A dream is a wish your heart makes When you're fast asleep In dreams you lose your heartaches Whatever you wish for, you keep  Have faith in your dreams and someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish will come true  Have faith in your dreams and someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish will come true  No matter how your heart is grieving If you keep on believing The dream that you wish will come true"
/songs/1288143,Cher,After All,https://genius.com/Cher-after-all-lyrics,http://api.genius.com/songs/1288143,Heart of Stone,1989-02-21," Well, here we are again I guess it must be fate We've tried it on our own But deep inside we've known We'd be back to set things straight I still remember when Your kiss was so brand new Every memory repeats Every step I take retreats Every journey always brings me back to you   After all the stops and starts We keep coming back to these two hearts Two angels who've been rescued from the fall And after all that we've been through It all comes down to me and you I guess it's meant to be Forever you and me, after all   When love is truly right (This time it's truly right) It lives from year to year It changes as it goes Oh, and on the way it grows But it never disappears   After all the stops and starts We keep comin' back to these two hearts Two angels who've been rescued from the fall After all that we've been through It all comes down to me and you I guess it's meant to be, forever you and me, after all   Always just beyond my touch Though I needed you so much After all what else is living for   After all the stops and starts We keep coming back to these two hearts Two angels who've been rescued from the fall And after all that we've been through It all comes down to me and you I guess it's meant to be Forever you and me After all the stops and starts We keep coming back to these two hearts Two angels who've been rescued from the fall And after all that we've been through It all comes down to me and you I guess it's meant to be Forever you and me, after all"
/songs/953860,Cher,Again,https://genius.com/Cher-again-lyrics,http://api.genius.com/songs/953860,Cherished ,None,Again evening finds me at your door Here to ask you just once more If we could try again I don't know quite what to say Never was too good that way So won't you help me again  I don't know what made me leave If you just take me back you see How much I love you  Again don't stand crying in the door If you believe your eyes once more You see I'll never lie again
/songs/4290565,Cher,Ain't Nobody's Business If I Do,https://genius.com/Cher-aint-nobodys-business-if-i-do-lyrics,http://api.genius.com/songs/4290565,Unreleased Songs,1992-05-10,"There ain't nothing I can do Or nothing I can say That folks don't criticize me But I'm going to do Just as I want to anyway  And don't care just what people say If I should take a notion To jump into the ocean Ain't nobody's business if I do If I go to church on Sunday Then cabaret all day Monday Ain't nobody's business if I do  If my man ain't got no money And I say ""take all mine, honey"" Ain't nobody's business if I do  If I give him my last nickel And it leaves me in a pickle Ain't nobody's business if I do  But I'd rather my man would hit me Than follow him to jump up and quit me Ain't nobody's business if I do  I swear I won't call no copper If I'm beat up by my papa Ain't nobody's business if I do Nobody's business Ain't nobody's business Nobody's business if I do"
/songs/1746769,Cher,Alfie,https://genius.com/Cher-alfie-lyrics,http://api.genius.com/songs/1746769,Chér,None,"What's it all about, Alfie? Is it just for the moment we live? What's it all about when you sort it out, Alfie? Are we meant to take more than we give Or are we meant to be kind? And if only fools are kind, Alfie Then I guess it is wise to be cruel And if life belongs only to the strong, Alfie Will you lend on an old golden rule? As sure as I believe, there's a heaven above, Alfie I know there's something much more Something even non-believers can believe in I believe in love, Alfie Without true love we just exist, Alfie Until you've found the love you've missed You're nothing, Alfie When you walk, let your heart lead the way And you'll find love any day, Alfie Alfie"
/songs/1321658,Cher,All Because of You,https://genius.com/Cher-all-because-of-you-lyrics,http://api.genius.com/songs/1321658,Heart of Stone,1989-06-19,"Sometimes a heart has a mind of its own Sometimes I can tell myself That I'm better of beeing alone, sometimes But this time I can't hide from the thought of it It's around every corner I turn Right there in lights In black and white, staring at me  It's all because of you That I feel this way All because of you That my heart wants to break If every other love can be forgotten It's all because All because of you  Tonight I can't feel any magic inside, tonight 'Cause I can't reach out for the stars Looking up at the moon on my own No signs of life No nothin's right Since you've been gone  It's all because of you That I feel this way All because of you That my heart wants to break If every other love can be forgotten It's all because All because of you  All because of you I can't sleep at night Oh no! I can't sleep at night And there ain't no rest Living second best Without your love You don't know what it's like To feel this way All because of you That my heart wants to break If every other love can be forgotten It's all because of you"
/songs/1058209,Cher,All I Really Want to Do,https://genius.com/Cher-all-i-really-want-to-do-lyrics,http://api.genius.com/songs/1058209,All I Really Want to Do ,1965-10-16,"Now I ain't lookin' to compete with you Beat on, cheat on, mistreat you Simplify you, classify you Deny, defy, mystify you  All I really want to do Is, baby, be friends with you Baby, be friends with you  Now I ain't lookin' to fight with you Frighten you or uptighten you Drag you down or drain you down Chain you down or bring you down  All I really want to do Is, baby, be friends with you Baby, be friends with you  I ain't lookin' to block you up Dock or rock or lock you up Analyze you, categorize you Finalize or advertise you  All I really want to do Is, baby, be friends with you Baby, be friends with you  I don't want to straight-face you up Race or chase or track or trace you Or disgrace you or displace you Or define you or confine you  All I really want to do Is, baby, be friends with you Baby, be friends with you  Now I don't want to meet your kin Make you spin or do you in Or select you or dissect you Or inspect you or reject you  All I really want to do Is, baby, be friends with you Baby, be friends with you"
/songs/1196568,Cher,All or Nothing,https://genius.com/Cher-all-or-nothing-lyrics,http://api.genius.com/songs/1196568,Believe ,1999-07-06," I've been standing out in the rain I've been calling your name I've got that lonely feeling again Calling out your name Do you hear me? Do you want me?   Baby, it's all or nothing now Don't wanna run and I can't walk out You're breaking my heart if you leave me now Don't wanna wait forever Who do you think you're fooling? Who do you think you're fooling? Baby, it's all or nothing Baby, it's all or nothing now   And I've been trying to get to your heart But I'm chasing shadows We keep falling further apart So near and you're so far Do you care now? Do you know how?   Baby, it's all or nothing now Don't wanna run and I can't walk out You're breaking my heart if you leave me now Don't wanna wait forever Who do you think you're fooling? Who do you think you're fooling? Baby, it's all or nothing Baby, it's all or nothing now   Sometimes When you touch me I just can't help myself (Can't help myself) Desire makes me weak Desire makes me weak Do you care now? Do you know how?   Baby, it's all or nothing Don't wanna run and I can't walk out You're breaking my heart if you leave me Don't wanna wait forever Baby, it's all or nothing now Don't wanna run and I can't walk out You're breaking my heart if you leave me now Don't wanna wait forever Who do you think you're fooling? Who do you think you're fooling? Baby, it's all or nothing Baby, it's all or nothing, now Now"
