api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3591041,Christina Aguilera,Accelerate,https://genius.com/Christina-aguilera-accelerate-lyrics,http://api.genius.com/songs/3591041,Liberation,2018-05-03," Hide it 'til we feel it, then we feel it, 'til we fight it, yeah Hold it 'til we need it, never leave it, didn't want it, yeah  [Verse 1: Christina Aguilera & Ty Dolla $ign] New York, worldwide (L.A., worldwide) Boy, this my city (Girl, that's my hood) Just pulled up to the hotel (Hotel, hotel) All my day ones here with me (Ah, yeah) We got moola, power, we on fire tonight Gonna get it how we want it, 'cause we 'bout it 'Bout that life  [Pre-Chorus: Christina Aguilera & Ty Dolla $ign] Baby, it's alright (Baby, it's alright) Baby, it's OK (Baby, it's OK) Smile, cry later (Ya Ya Ya Ya) Don't worry 'bout tomorrow I'll be with my ladies you can find me there Try to play us, we gon' start a riot up in here  [Chorus: Christina Aguilera & Ty Dolla $ign] Accelerate, c'mon babe, pick up your speed Stamina, fill me up, that's what I need Another shot, you comin' home with me Fuck all these drugs, fuck all these clubs What's wrong with me? (Oh, ya ya)  [Verse 2: Christina Aguilera & Ty Dolla $ign] All my boss ladies (Independent, yeah) Go get your Mercedes (skrrt, skrrt, skrrt, skrrt) No matter, long as you get there (Get there) Just don't let it drive you crazy (ah-ha-ah) Get that moola, power, you on fire tonight You can get it how you want it, that's it, go tonight  [Pre-Chorus: Christina Aguilera & Ty Dolla $ign] Baby, it's alright, (Baby, it's alright) Baby, it's OK, (Baby, it's OK) Smile, cry later Don't worry 'bout tomorrow (Nah, nah, nah, nah) I'll be with my ladies, you can find me there (Find me) Try to play us, we gon' start a riot up in here  [Chorus: Christina Aguilera, Ty Dolla $ign & 2 Chainz] Accelerate, c'mon babe, pick up your speed Stamina, fill me up, that's what I need Another shot, you comin' home with me (Yeah) Fuck all these drugs, fuck all these clubs (2 Chainz) What's wrong with me?  [Verse 3: 2 Chainz, with Christina Aguilera] Right, left, mic left, mic check, trap check Sex drive, NASCAR, crash it like the Nasdaq More than you can expect, everything except Jealousy and envy, we gon' move on past that Joint strong, pass that, ooh, girl, bad, bad Where the, where the cash at? Don't forget the hashtag Pretty, pretty, so saditty, work it out, muscle memory Get the money, my ability, until the end, 2000, infinity I put it in, now that you're feelin' me (feelin' me) Look how I'm killin' it (killin' it), leavin' the dealership (yeah) You ain't got internet? (you ain't heard?) Just left the Benedict (uh), I got them benefits (uh) Did it deliberate, guilty till proven innocent  [Bridge: Christina Aguilera & Ty Dolla $ign] Hide it 'til we feel it, then we feel it, 'til we fight it, yeah Hold it 'til we need it, never leave it, didn't want it, yeah Fuck all these drugs, fuck all these clubs What's wrong with me?  [Chorus: Christina Aguilera, Ty Dolla $ign & Both] Accelerate, c'mon babe, pick up your speed (Pick up your speed, babe) Stamina, fill me up, that's what I need (Oh, yeah) Another shot, you comin' home with me Fuck all these drugs, fuck all these clubs What's wrong with me?  [Outro: Christina Aguilera & Ty Dolla $ign] Ooh-ooh, ooh-ooh, woo Ooh-ooh, yeah, ah, yeah Ooh-ooh, ooh-ooh, ah, yeah Ooh-ooh, oh yeah Ooh-ooh, ooh-ooh Ooh-ooh Ooh-ooh, ooh-ooh Ooh-ooh Yeah, yeah Ooh"
/songs/204744,Christina Aguilera,Ain't No Other Man,https://genius.com/Christina-aguilera-aint-no-other-man-lyrics,http://api.genius.com/songs/204744,Back to Basics,2006-06-06," Heeeeey! Yeah (Do your thang, honey!)   I could feel it from the start Couldn't stand to be apart Somethin' 'bout you caught my eye Somethin' moved me deep inside I don't know what you did boy, but you had it And I've been hooked ever since   Told my mother, my brother, my sister and my friends Told the others, my lovers, both past and present tense That every time I see you, everything starts making sense (Do your thang, honey!)   Ain't no other man can stand up next to you Ain't no other man on the planet does what you do (what you do) You're the kind of guy, a girl finds in a blue moon You got soul, you got class, you got style, you're badass Ain't no other man it's true (alright) Ain't no other man but you   Never thought I'd be alright (no, no, no) 'Till you came and changed my life (yeah, yeah, yeah) What was cloudy now is clear (yeah, yeah) You're the light that I need here You got what I want boy, and I want it So keep on giving it up   So tell your mother, your brother, your sister and your friends Tell the others, your lovers, better not be present tense 'Cause I want everyone to know that you are mine And no one else's, woah, oh   Ain't no other man can stand up next to you (to you) Ain't no other man on the planet does what you do (what you do) You're the kind of guy a girl finds in a blue moon You got soul, you got class You got style, you're badass (yeah, yeah, yeah) Ain't no other man it's true Ain't no other man but you   Break it down now! Ain't no other, ain't, ain't no other (other) Ain't no other, ain't, ain't no other lover Ain't no other, I, I, I need no other Ain't no other man but you You are there when I'm a mess You talked me down from every ledge Give me strength, boy, you're the best You're the only one who's ever passed every test   Ain't no other man can stand up next to you (next to you) Ain't no other man on the planet does what you do You're the kind of guy a girl finds in a blue moon You got soul, you got class You got style, you're badass (oh yeah) Ain't no other man it's true Ain't no other man but you And now I'm telling you, so ain't no other man but you Ain't no other man can stand up next to you Ain't no other man on the planet does what you do (what you do) You're the kind of guy a girl finds in a blue moon (baby, baby, no) You got soul, you got class You got style, you're badass (don't you know?) Ain't no other man it's true Ain't no other man but you"
/songs/3934719,Christina Aguilera,Ain't No Other Man (Shape: UK Nocturnal Groove),https://genius.com/Christina-aguilera-aint-no-other-man-shape-uk-nocturnal-groove-lyrics,http://api.genius.com/songs/3934719,Dance Vault Mixes: Ain't No Other Man,None," Ain't no other man can stand up next to you Ain't no other man on the planet does what you do You're the kind of guy, a girl finds in a blue moon You got soul, you got class, you got style, you're badass Ain't no other man can stand up next to you Ain't no other man on the planet does what you do You're the kind of guy, a girl finds in a blue moon Ain't no other man it's true Ain't no other man but you   Ain't no other, ain't, ain't no other (other) Ain't no other, ain't, ain't no other lover Ain't no other, I, I, I need no other Ain't no other man but you   Ain't no other man can stand up next to you Ain't no other man on the planet does what you do You're the kind of guy, a girl finds in a blue moon You got soul, you got class, you got style, you're badass Ain't no other man can stand up next to you Ain't no other man on the planet does what you do You're the kind of guy, a girl finds in a blue moon Ain't no other man it's true Ain't no other man but you"
/songs/204971,Christina Aguilera,All I Need,https://genius.com/Christina-aguilera-all-i-need-lyrics,http://api.genius.com/songs/204971,Bionic,2010-06-04," Kissing your lips, kissing you top to toe Wishing for this, hoping for all we know Hearing you breathe, you leave and return Oh, how we take, how we give, we learn Taking my time, seeing the signs Letting you guide me home Watching you grow, letting you know You are my only   You bring me hope when I can't breathe You give me love, you're all I need Slowly I'm holding you Closely you're wrapped in my arms And you're inside me   Tell you my fears, telling you everything Telling the truth to you gives me wings Free with my words, free as a bird I am flying high looking at you Everything new, you are my life   You bring me hope when I can't breathe You give me love, you're all I need Slowly I'm holding you Closely, so happy to carry you inside me   I'll feed you, love, and I hope it's enough To inspire you through suffering, holding you up   You bring me hope when I can't breathe You give me love, you're all I need Slowly I'm holding you closely You're wrapped in my arms and you're inside me"
/songs/783764,Christina Aguilera,Alright Now,https://genius.com/Christina-aguilera-alright-now-lyrics,http://api.genius.com/songs/783764,None,2018-01-01,"There she stood in the street, smiling from her head to her feet I said, ""A-hey, what is this?"" Now baby maybe, maybe she's in need of a kiss I said, ""A-hey, what's your name, baby? Maybe we can see things the same Now don't you wait or hesitate Let's move before they raise the parking rate"" All right now baby, it's all right now All right now baby, it's all right now Let me tell you now I took her home to my place, watching every move on her face She said, ""Look, what's your game, baby? Are you tryin' to put me in shame?"" I said, ""Slow, don't go so fast Don't you think that love can last?"" She said, ""Love, lord above, now you're gonna trick me in love"" All right now baby, it's all right now All right now baby, it's all right now Yeah, it's alright now Let me tell you all about it now Took her home to my place, watching every move on her face She said, ""Look, what's your game? Are you tryin' to put me in shame?"" ""Baby"", I said, ""Slow, slow, don't go so fast Don't you think that love can last?"" She said, ""Love, lord above, now you're gonna trick me in love"" All right now baby, it's all right now All right now baby, it's all right now All right now baby, it's all right now (Baby) All right now baby, it's all right now (Baby, baby, baby, it's all right) All right now baby (All right now), it's all right now (It's all right, it's all right, it's all right) All right now baby, it's all right now All right now baby (We're so happy together), it's all right now (It's all right, it's all right, it's all right, everything is all right) All right now baby, it's all right now"
/songs/3233187,Christina Aguilera,America,https://genius.com/Christina-aguilera-america-lyrics,http://api.genius.com/songs/3233187,Served Like a Girl (Music from and Inspired by the Documentary Film),2017-11-03," People come and go through these hotel rooms Looking for a chance to make dreams come true In America There's a great big future in this promise land Everyone deserves to hold it in their hand In America, hmm   You can hear the bell ringing in the school yard The kids are playing in the summer sun Racing through the fields while they're still young   In America There's a seed of hope where freedom grows In America Where I believe in coming home America, where we live out In America   There's no rain coming down on this open road There's an old man living with a heart of gold In America, ooh Mothers losing sleep tonight Working hard just to provide In America Oh, oh   There's a warm wind blowing right down the freeway There's a song that's playing that I never heard But somehow I know every single word   In America There's a seed of hope where freedom grows In America Where I believe in coming home America, where we live out In America I wanna be right next to you America, I will be strong   America, hmmm America, hmmm America, hmmm Footprints chasing us in the sand Young love's giving another chance   In America There's a seed of hope where freedom grows America Where I believe in coming home America, where we live out America, I wanna be right next to you America, I will be strong   Hmmm, in America"
/songs/204662,Christina Aguilera,Angels We Have Heard on High,https://genius.com/Christina-aguilera-angels-we-have-heard-on-high-lyrics,http://api.genius.com/songs/204662,My Kind of Christmas,2000-10-24," Glo-glo-glo-glo-ria Yeah, ooh, oh, ooh oh, yeah   Angels we have heard on high Sweetly singing over the plain And the mountains in reply Echoing their joyous strains   Glo-glo-glo-glo-ria In excelsis Deo   Ooh, no, yeah, yeah Shepards, why this jubilee Why your joyous song prolong What the gladsome tidings be, ohh That inspire your heavenly, heavenly song, oh   Glo-glo-glo-glo-ria In excelsis Deo   Oh oh oh, oh yeah Oh, come to Bethlehem and see Him whose birth the angels sing, oh Come on adore on bended knee Christ, the Lord, our newborn King   Glo-glo-glo-glo-ria In excelsis Deo  [Verse 4: Eric Dawkins & Christina Aguilera] On the day, that Christ was born The angels sang such a heavenly song In excelsis Deo, ohh   Angels we have heard on high Angels we have heard on high Angels we have heard on high Angels we have heard on high In excelsis Deo In excelsis Deo In excelsis Deo"
/songs/1872506,Christina Aguilera,Anywhere But Here,https://genius.com/Christina-aguilera-anywhere-but-here-lyrics,http://api.genius.com/songs/1872506,Finding Neverland: The Album (Songs from the Broadway Musical),2015-05-04," There's no need for distance No need for touch No need for answers cause I've heard enough I've just found a chair some place out of reach I enter the darkness and claim my release And open my, open my heart Sing like a nightingale opened my, opened my hands When no one else understands   I just close my eyes And count to ten Breathe in twice And open them Nowhere to go cause I’ve been there before In my mind it is near I escape all I fear So by closing my eyes I am anywhere but here   There's no need for anger Religion or faith One blade of grief Will always remain It's not on the paper Or a story book It's a place to reunite with all that was took And open my, open my heart Sing like a nightingale opened my, opened my hands When no one else understands   I just close my eyes And count to ten Breathe in twice And open them Nowhere to go cause I’ve been there before In my mind it is near I escape all I fear So by closing my eyes I am anywhere but here   Picture a land where you never have been Where life is eternal and evergreen The future of happiness and certainty You’re loved and you’re lost there for now and eternity   I just close my eyes And count to ten Breathe in twice And open them Nowhere to go cause I’ve been there before In my mind it is near I escape all I fear So by closing my eyes I am anywhere but here"
/songs/205025,Christina Aguilera,Army of Me,https://genius.com/Christina-aguilera-army-of-me-lyrics,http://api.genius.com/songs/205025,Lotus,2012-11-09," I've been standing where you left me, left me Praying that you'd come and get me, get me But now I've found my second wind (wind) Now I've found my second skin (skin) Well, I know what you were thinking You thought you'd watch me fade away (away) When you broke me into pieces But I gave each piece a name (a name)   One of me is wiser One of me is stronger One of me's a fighter And there's a thousand faces of me And we're gonna rise up Yeah, we're gonna rise up For every time you wronged me Well, you're gonna face an army, army of me   Welcome to my revolution (revolution) All your walls are breaking down (down) It's time you had a taste of losing, losing Time the tables turned around ('round) I see a glimpse of recognition But it's too little, it's too late (it's too late) And what you thought was your best decision Just became your worst mistake   One of me is wiser One of me is stronger One of me's a fighter And there's a thousand faces of me And we're gonna rise up Yeah, we're gonna rise up For every time you wronged me Well, you're gonna face an army, army of me   So how does it feel To know that I beat you? That I can defeat you Oh, how does it feel? 'Cause it sure feels sweeter It sure feels sweeter to me   Now that I'm wiser Now that I'm stronger Now that I'm a fighter There's a thousand faces of me And I'm gonna rise up Yeah, I'm gonna rise up For every time you wronged me There's a thousand faces of me Yeah, I'm gonna rise up Yeah, I'm gonna rise up For every time you wronged me (For every time you wronged me) Now you're gonna face an army Army of me (army of me)"
/songs/205065,Christina Aguilera,Around the World,https://genius.com/Christina-aguilera-around-the-world-lyrics,http://api.genius.com/songs/205065,Lotus,2012-11-09," Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh   Tonight I wanna get so wild, exotic, yeah Baby, let's explore Imagine all the things we could do in one night, yeah Everything and more So tell me, tell me where you really wanna go And give me, give me what I'm asking for From city, city, international love Take me all around your globe   Hollywood to Japan, Tokyo to Milan Baby, just for tonight We're making love worldwide Right down to Ibiza, baby, just wanna please ya Baby, just for tonight, we're making love   All around, around, around it All around, around, around it All around, around the world, we're making love All around, around, around it All around, around, around it All around, around the world, we're making love   We can talk dirty in a different language ""Voulez-vous coucher avec moi ce soir?"" Or we can get erotic on a distant voyage Rendez-vous with me in my boudoir Baby, sit back and enjoy the ride I'mma take you places you ain't been tonight From city, city, international love Take me all around your globe   Hollywood to Japan, Tokyo to Milan Baby, just for tonight We're making love worldwide Right down to Ibiza, baby, just wanna please ya Baby, just for tonight, we're making love   All around, around, around it All around, around, around it All around, around the world, we're making love All around, around, around it All around, around, around it All around, around the world, we're making love   Let me show you love, baby, let's go Puerto Rico, over to Congo Or we can take it down to the islands Or the highlands, you already know It's whatever, baby, when it's me and you It's whenever, baby, just a ticket for two Freak around the globe from day 'til night You know how we do making love worldwide   Hollywood to Japan, Tokyo to Milan Baby, just for tonight We're making love worldwide Right down to Ibiza, baby, just wanna please ya Baby, just for tonight, we're making love   All around, around, around it All around, around, around it All around, around the world, we're making love All around, around, around it All around, around, around it All around, around the world, we're making love We're making, we're making, we're making love We're, we're, we're making, we're making love"
