api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3835192,Cole Swindell,20 In a Chevy,https://genius.com/Cole-swindell-20-in-a-chevy-lyrics,http://api.genius.com/songs/3835192,All of It,2018-08-17," Twenty in a Chevy on a two lane   World keeps turning I keep burning through the night like cigarettes Country station, blacktop ocean I ain't shook that summer yet I'm doing fine like I don't care Then that song comes on out of nowhere And I got right back there Yeah, you're always gonna be   Twenty in a Chevy on a two lane Hand out the window singing Night Train July still tastes like your name Rolling off my lips Sweat slip, time slips It's my hands on your hips It's your lips on my lips I wonder if you ever miss Twenty in a Chevy on a two lane   Old school feeling, hay field dreaming Yeah, we had it all planned out Hands in your hair, middle of nowhere Midnight moon beating down On the hood of my truck, where you used to be Nothing falling but your hair, the stars and me Now we're just small town history Girl, I swear all I see is   Twenty in a Chevy on a two lane Hand out the window singing Night Train July still tastes like your name Rolling off my lips Sweat slip, time slips It's my hands on your hips It's your lips on my lips I wonder if you ever miss Twenty in a Chevy on a two lane, woah   Yeah, we were twenty in a Chevy on a two lane The windows fogged up in the hard rain How the hell did we have such a good thing? And let it slip away We let it slip away like   Twenty in a Chevy on a two lane Hand out the window singing Night Train July still tastes like your name Rolling off my lips Sweat slip, time slips It's my hands on your hips It's your lips on my lips I wonder if you ever miss Twenty in a Chevy on a two lane Twenty in a Chevy on a two lane Girl, we were twenty in a Chevy on a two lane"
/songs/590391,Cole Swindell,A Dozen Roses and a Six-Pack,https://genius.com/Cole-swindell-a-dozen-roses-and-a-six-pack-lyrics,http://api.genius.com/songs/590391,Cole Swindell,2014-02-18," There's that flower shop on Main Lord, it's been too long since it's seen my face I probably should've stopped by yesterday Just a few miles from our house There's a neon sign flashing ""coldest beer in town"" Is she gone for good? Well, it's hard to say But I'm going to be ready either way   I got a dozen roses if she comes back home One for every time I left her lonely waiting on me Why did it take so long to see? And this six pack might not be enough But it's a damn good start if we're ending us We'll either work it out or we won't But I got a dozen roses if she comes back home And a six pack if she don't   I'm praying love will bring her back Oh, just one more chance that's all I'll ever ask I sure hope she ain't a memory yet But she left her book there on the bed Would a woman leave a man like that?   I got a dozen roses if she comes back home One for every time I left her lonely waiting on me Why did it take so long to see? And this six pack might not be enough But it's a damn good start if we're ending us We'll either work it out or we won't But I got a dozen roses if she comes back home And a six pack if she don't   Is she gone for good? Well it's hard to say But I'm going to be ready either way   I got a dozen roses if she comes back home One for every time I left her lonely waiting on me, baby Why'd it take so long to see? And this six pack might not be enough But it's a damn good start if we're ending us We'll either work it out or we won't But I got a dozen roses if she comes back home Yeah, I got these dozen roses in case she comes back home And a six pack if she don't And a six pack if she don't (And a six pack if she don't)"
/songs/569065,Cole Swindell,Ain't Worth the Whiskey,https://genius.com/Cole-swindell-aint-worth-the-whiskey-lyrics,http://api.genius.com/songs/569065,Cole Swindell,2014-11-03," I don't care that you done me wrong 'Cause I've already moved on I don't care what his name is Girl, it is what it is I won't waste a dime Or the bartender's time Trying to catch a buzz Over the thought of us   But I'll drink to a country song To another long work week gone And I'll raise my glass to a long lost buddy I ain't seen I might stay for one more round Or I might close this place down But don't think for a second I'm out to drown your memory Baby, you ain't worth the whiskey   It don't matter what your friends say They never liked me anyway So if they see me drunk in this bar It ain't over a broken heart   Cause I'm drinking to a country song To another long work week gone And I'm raising my glass to a long lost buddy I ain't seen I might stay for one more round Or I might close this place down But don't think for a second I'm out to drown your memory Baby, you ain't worth the whiskey  Cheers to a good country song To another long work week gone And, yeah, I'm raising my glass to those savin' our ass overseas I might stay for one more round Hell, I might close this place down But don't think for a second I'm out to drown your memory No, don't think for one second I'm out to drown your memory Girl, you ain't worth the whiskey, no Baby, you ain't worth the whiskey"
/songs/3835189,Cole Swindell,All of It,https://genius.com/Cole-swindell-all-of-it-lyrics,http://api.genius.com/songs/3835189,All of It,2018-08-10," Little footprints in the dust on the dashboard Radio still stuck on your station Still taste your kiss from this mornin' Girl you say there's another one waiting Hope it's a long one, break of the dawn one I want everyone you got   Give me that ""Let's get out of here go jump in the river"" Girl, show me what that rockin' body looks like in the firelight Wrap me up with all that love that you been holding back your whole life Girl I wish you would just hit me with that Pretty little get me through tomorrow smile Bring on all the good with all the bad I'm all about it Anything and everything, baby you could never bring enough of it I want all of it   I wanna see you all city light lit up I wanna see you in a pair of cut-up jeans I wanna fall for all your magic Feel all your teardrops drippin' on me The sad ones, the happy ones I want everyone you got   Give me that ""Let's get out of here go jump in the river"" Girl, show me what that rockin' body looks like in the firelight Wrap me up with all that love that you been holding back your whole life Girl I wish you would just hit me with that Pretty little get me through tomorrow smile Bring on all the good with all the bad I'm all about it Anything and everything baby you could never bring enough of it Yeah, I want all of it   Baby, I want all of it All the time Everything you got I wanna make all mine   Give me that ""Let's get out of here go jump in the river"" Girl, show me what that rockin' body looks like in the firelight Wrap me up with all that love that you been holding back your whole life Girl I wish you would just hit me with that Pretty little get me through tomorrow smile Bring on all the good with all the bad I'm all about it Anything and everything baby you could never bring enough of it I want all of it  (I want all of it)"
/songs/3322323,Cole Swindell,Beer in the Headlights,https://genius.com/Cole-swindell-beer-in-the-headlights-lyrics,http://api.genius.com/songs/3322323, Down Home Sessions IV - EP,None," Come on Woah   Honey suckle in the air, breeze blowing through your hair Hundred stars hanging high, up in your still tide Up in every move you make, baby I'm your DJ You're my favorite song, won't you let me sing along   Sittin' right here, out here in the middle of nowhere I swear I've never seen, ever seen nothing like you anywhere I got the key turned back, windows down I'm turning it up and your spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights   Heart beating like a drum, call me the lucky one Shining these Hi-Beams on you baby Boots stiring up the dirt Cottonfield concert You got the beautiful, I got the cooler full   Sittin' right here, out here in the middle of nowhere I swear I've never seen, ever seen nothing like you anywhere I got the key turned back, windows down I'm turning it up and your spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights With your beer in the headlights   Sittin' right here, out here in the middle of nowhere I swear I've never seen, ever seen nothing like you anywhere Woah   I got the key turned back, windows down I'm turning it up and your spinnin' around Takin' a sip, swingin' your hips Girl, you're looking so fine, with your beer in the headlights Yeah, with your beer in the headlights Yeah girl, you're looking so fine, with your beer in the headlights Woah"
/songs/3185687,Cole Swindell,Blue Lights,https://genius.com/Cole-swindell-blue-lights-lyrics,http://api.genius.com/songs/3185687,Down Home Sessions II - EP,None," I was sipping, and smiling, and kicking, and minding my own I was out with the boys Going strong the third night in a row Saw a girl way across the bar Had that one little braid in her hair I knew it was you Didn’t know what to do so, I got the hell out of there   Like I saw blue lights Saw a flash of those blue eyes And I was long gone before the next one played Before you even looked my way Baby, I was feeling alright thought I was staying out all night Now I got my hat down cutting through the crowd You got me, you got me running from the party Like blue lights, blue lights   Left my card at the bar they can keep it, I don’t even care Yeah, my drink was one sip form the top but I left it right there So much for pretending like I don’t love you I guess tonight I’m busted just like blue lights   Saw a flash of those blue eyes And I was long gone before the next one played Before you even looked my way Baby, I was feeling alright thought I was staying out all night Now I got my hat down cutting through the crowd You got me, you got me running from the party Like blue lights, blue lights   Girl your good bye… Got my heart on lock down Guess I can't even go out now Yeah, you’re spinning my head around like blue lights   Saw a flash of those blue eyes And I was long gone before the next one played Before you even looked my way Baby, I was feeling alright thought I was staying out all night Now I got my hat down cutting through the crowd You got me, you got me running from the party Like blue lights, blue lights  (blue lights, blue lights) (blue lights, blue lights)   Yeah, you got me running You got me running from the party"
/songs/2475769,Cole Swindell,Boomerang,https://genius.com/Cole-swindell-boomerang-lyrics,http://api.genius.com/songs/2475769,Down Home Sessions - EP,2014-11-17," Girl you got my days and my mind mixed up Last night we were on fire Now I'm laying here wishing it is what it was And thinking love is a liar The way you dance in and out of my hands Ain't nothing I can do but hold you when I can   You're like a boomerang You like leading me on then you leave me alone Aw, baby why, why you like a boomerang Flying out of my arms off into the dark Then you back again, like a damn boomerang   Every time I wonder where you are now I get to looking out the window Knowing you know right where I can be found And how to keep me from letting go It's hard to get you out of my head With your every now and then, crashing in my bed   Like a boomerang You like leading me on then you leave me alone Aw, baby why, why you like a boomerang Flying out of my arms off into the dark Then you back again, like a damn boomerang  You're like a boomerang You're cold, you're hot, you here then you not Here you come now Like a boomerang I can't lock the door cause I can't wait for more Give me some more Boomerang You like leading me on then you leave me alone Aw, baby why, why you like a boomerang Flying out of my arms off into the dark Then you're back again, like a damn boomerang   Yeah you're way to good at this game Aw, there you go, but I know you'll be back, you little boomerang Here you come again"
/songs/3835194,Cole Swindell,Both Sides of Mississippi,https://genius.com/Cole-swindell-both-sides-of-mississippi-lyrics,http://api.genius.com/songs/3835194,All of It,2018-08-17," Might be more trucks in Texas Than there are in Maine And when we open our mouths We don't sound the same, naw Might live a little different But when the weekend comes We feel like cups at the end of the day With the same old feel good buzz 'cause   Both sides of the Mississippi Throw down on Friday night Ain't gotta be down in Dixie To rock Dixieland Delight It don't matter where you're at Any old dot on any old map Beer is beer, whiskey's whiskey Out in the country, up in the city Strait is the king and the girls are pretty Both sides of the Mississippi That's right   Some call everybody Say 'meet me at the club', come on Some circle them headlights And kick up a little dust Gonna get a little sideways Might fall in love With a pretty little thing And some torn up jeans That's what an old boy does Don't matter where you come from 'cause   Both sides of the Mississippi Throw down on Friday night Ain't gotta be down in Dixie To rock Dixieland Delight It don't matter where you're at Any old dot on any old map Beer is beer, whiskey's whiskey Out in the country, up in the city Strait is the king and the girls are pretty Both sides of the Mississippi, yeah Both sides of it   Aw, yeah, we might live a little different But when the weekend comes We feel like cups at the end of the day With the same old feel good buzz 'cause   Both sides of the Mississippi Throw down on Friday night Ain't gotta be down in Dixie To rock Dixieland Delight It don't matter where you're at Any old dot on any old map Beer is beer, whiskey's whiskey Out in the country, up in the city George Strait is the king and the girls are pretty Both sides of the Mississippi   That's right It don't matter where you come from Beer is beer, whiskey's whiskey We know George Strait, he's the king Anywhere you go Woo"
/songs/3543175,Cole Swindell,Break Up in the End,https://genius.com/Cole-swindell-break-up-in-the-end-lyrics,http://api.genius.com/songs/3543175,All of It,2018-02-23," I still walk in that bar a little drunk I still ask you what you're drinking, what's your name I still kiss you by the shuffleboard, last call at 2am Even though we break up in the end   I'll introduce you to my mom and dad Say ""I think I love her"" when you leave that room I'd still not take their advice when I say you're moving in Even though we break up in the end   Even if I knew you'd be the one that got away I'd still go back and get you Even if I knew you'd be my best and worst mistake Oh, I'd still make it with you Over and over, again and again Even though we break up in the end   I'd still play my favorite song in your car Let you love me to it, 'til it felt like ours Now all I hear is you in it, but I'd still let you ruin it Even though we break up in the end   Even if I knew you'd be the one that got away I'd still go back and get you Even if I knew you'd be my best and worst mistake Girl, I'd still make it with you Over and over, again and again Even though we break up in the end   You've just had one too many tonight You're just calling 'cause you're lonely, that's okay But you know if you come over, I can't not let you in Even though we'll break up in the end I'd do it over and over, again and again Even though we break up in the end"
/songs/2467025,Cole Swindell,Broke Down,https://genius.com/Cole-swindell-broke-down-lyrics,http://api.genius.com/songs/2467025,You Should Be Here,2016-04-29," Old school McGraw coming out of my doors Had to pull over, couldn't take it no more Got this thing running in park, hazards lighting up the dark I was just out driving around Wasn't scanning for a memory to slow me down But damn, if yours didn't baby I'd'a paid that DJ not to play it   Cause I'm sitting here knowing what its gonna take to fix me It ain't a bar, it ain't the beer, it ain't the whiskey I'd give anything to hear you say you miss me tonight Yeah, anybody else with any kind of sense Woulda done moved on, said it is what it is But I'm off on the shoulder in a mess, all wrecked inside Baby, I'm broke down and it ain't the truck this time   People slowing down, wanna see what's wrong I got my hand out the window just waving 'em on Cause I don't wanna have to explain Don't want no one to see me this way Don't need no gas, don't need no ride Everything on this Chevy is running just right I just need another minute or two 'Til this song's over like me and you   I'm sitting here knowing what its gonna take to fix me It ain't a bar, it ain't the beer, it ain't the whiskey I'd give anything to hear you say you miss me tonight Yeah, anybody else with any kind of sense Woulda done moved on, said it is what it is But I'm off on the shoulder in a mess, all wrecked inside Yeah, baby, I'm broke down and it ain't the truck this time   Yeah anybody else with any kind of sense Woulda done moved on, but I'm here like this Off on the shoulder in a mess, all wrecked inside Yeah, baby, I'm broke down, but it ain't the truck this time No, it ain't the truck this time   I got nowhere go, nowhere to be I'm nobody, baby, if you don't love me"
