api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/193849,Darius Rucker,All I Want,https://genius.com/Darius-rucker-all-i-want-lyrics,http://api.genius.com/songs/193849,Learn To Live,2008-09-16,Don't act surprised it ain't like you didn't know It's been a long long time comin' and it's time for me to go Time to split things up that drive us crazy So I'm gunna make this easy baby  You can have the money You can have the house Take the Cadillac and that boat out back And your mother's pink and yellow couch You can have every penny that I'll make from this here song Girl all I want you to leave me is alone  Don't get me wrong I will always love you girl You were my life you were my heart you were my world But we both know it's over there's no need to fight it Girl I just need some peace and quiet  So you can have the money You can have the house Take the Cadillac and that boat out back And that ugly pink and yellow couch You can have every penny that I will make from this here song Girl all I want you to leave me is alone  You can have the money You can have the house Take the big screen and your diamond ring And those shoes that you swore you couldn't live without You can have every penny that I will make from this here song Girl all I want you to leave me is alone Girl all I need you to leave me is alone
/songs/193886,Darius Rucker,Alright,https://genius.com/Darius-rucker-alright-lyrics,http://api.genius.com/songs/193886,Learn To Live,2008-09-16," Alright, alright Yeah, it is alright, alright   And I don't need no five star reservations I got spaghetti and a cheap bottle of wine I don't need no concert in the city I got a stereo and the 'Best Of Patsy Cline'   Ain't got no caviar, no Dom Perignon But as far as I can see I got everything I want   Because I got a roof over my head The woman I love laying in my bed And it's alright, alright I got shoes under my feet Forever in the eyes staring back at me And it's alright, alright Yeah, I got all I need And it is alright by me   Maybe later on we will walk down to the river Lay on a blanket and stare up at the moon It may not be no French Riviera But it's all the same to me as long as I'm with you   May be a simple life but that's okay, yeah If you ask me baby, I think I've got it made   Because I got a roof over my head The woman I love laying in my bed And it's alright, alright I got shoes under my feet Forever in the eyes staring back at me And it's alright, alright Yeah, I got all I need And it is alright by me   When I lay down at night I thank the lord above For giving me everything I ever could dream of   Because I got a roof over my head The woman I love laying in my bed And it's alright, alright I got shoes under my feet Forever in the eyes staring back at me And it's alright, alright Yeah, I got all I need And it is alright by me"
/songs/3246433,Darius Rucker,Another Night With You,https://genius.com/Darius-rucker-another-night-with-you-lyrics,http://api.genius.com/songs/3246433,When Was The Last Time,2017-10-20,"Here comes the sunrise Like it always does Always puts a damper on our kind of love Just like last night It always ends too soon I know it's only daylight But I wanna spend another night with you  Can't seem to make time stand still It always does just what it will So baby until I can have a talk with that old moon Oh and talk about a daylight So I can spend another night with you  If I found a four leaf clover, I'd tuck it away You know that I'd save it for a rainy day If I had a genie in a bottle to make a wish come true I'm telling you girl right now just what I'd do Oh I wouldn't waste a minute I'd only wish for one more night with you  But I can't seem to make time stand still It always does just what it will So baby until I can have a talk with that old moon Oh and talk about a daylight So I can spend another night with you Oh I'd talk about a daylight So I can spend another night with you  Here comes the sunrise (Here comes the sunrise)"
/songs/736480,Darius Rucker,Baby I'm Right,https://genius.com/Darius-rucker-baby-im-right-lyrics,http://api.genius.com/songs/736480,Southern Style,2014-08-25," Heaven knows that I'm usually wrong And you're the first one to point it out Don't even try to act like you don't know What it is I'm talking 'bout You know that I'm no know-it-all But when I first saw you I thought   This could be The start of something beautiful This could be The start of something magical The kind of thing you look for all of your life This could be The start of something so unreal This could be Finally the real deal I guess now and then Baby, I'm right  [Verse 2: Darius Rucker &Mallary Hope] Don't wanna really put you right on the spot But I love the look you're giving me I'm no genius but I know what we've got That special kind of chemistry Go on and roll those hazel brown eyes Let's see where we're going tonight   This could be The start of something beautiful This could be The start of something magical The kind of thing you look for all of your life This could be The start of something so unreal This could be Finally the real deal I guess now and then Baby, I'm right   Just admit it I ain't always wrong Me being right kinda turns you on   This could be The start of something beautiful This could be The start of something magical The kind of thing you look for all of your life This could be The start of something so unreal This could be Finally the real deal I guess now and then Baby, I'm right   Yeah, I guess now and then You let me be right"
/songs/551198,Darius Rucker,"Baby, It's Cold Outside",https://genius.com/Darius-rucker-baby-its-cold-outside-lyrics,http://api.genius.com/songs/551198,Home For The Holidays,2014-12-25,"(I really can't stay) But baby it's cold outside (I've got to go away) But baby it's cold outside (This evening has been) Been hoping you'd drop in (So very nice) I'll hold your hands they're just like ice (My mother will start to worry) Beautiful what's your hurry (My father will be pacing the floor) Listen to the fireplace roar (So really I'd better scurry) Beautiful please don't hurry (Well maybe just half a drink more) Put some records on while I pour (The neighbors might think) Baby it's bad out there (Say what's in this drink) No cabs to be had out there (I wish I knew how) Your eyes are like starlight now (To break this spell) I'll take your hat, your hair looks swell (I ought to say no no no sir) Mind if I move in closer (At least I'm gonna say I tried) What's the sense of hurting my pride (I really can't stay) Baby don't hold doubt (Both) Baby it's cold outside  (I simply must go) Baby it's cold outside (The answer is no) Baby it's cold outside (The welcome has been) How lucky that you dropped in (So nice and warm) Look out the window at the storm (My sister will be suspicious) Gosh your lips look delicious (My brother will be there at the door) Waves upon a tropical shore (My maiden aunt's mind is vicious) Gosh your lips are delicious (But maybe just a cigarette more) Never such a blizzard before (I got to get home) But baby you'd freeze out there (Say lend me your comb) It's up to your knees out there (You've really been grand) I thrill when you touch my hand (But don't you see) How can you do this to me (There's bound to be talk tomorrow) Think of my life long sorrow (At least they'll be plenty implied) If you caught pneumonia and died (I really can't stay) Get over that old doubt (Both) Baby it's cold (Both) Baby it's cold outside"
/songs/1155751,Darius Rucker,Back to Then,https://genius.com/Darius-rucker-back-to-then-lyrics,http://api.genius.com/songs/1155751,Back To Then,None,"I'd like to ask you from the start If you could pull me out of the dark Or if our love could fall apart like cookies crumble See, I'm a demon on the loose I'm like an engine with no caboose And I need somebody who can really handle me Yeah, baby, I'm a wild one Don't let me run Don't let me get away Yeah, baby, I'm a wild, wild one Yeah, baby, I'm a wild one"
/songs/2124917,Darius Rucker,Beautiful baby,https://genius.com/Darius-rucker-beautiful-baby-lyrics,http://api.genius.com/songs/2124917,None,None,"Have you ever seen A prairie wind make a wave On a wheat field Bringing needed rain Have you ever seen A mama stop a baby's cry With just the touch And a whisper of his name When she looks at me That's what I see She's beautiful like that Like a winter rose, snow on the ground I was blessed the day I found her I'm one lucky man 'Cause the more I know, the more I need her The more I love, the more I see Her heart is a shining star She's beautiful like that Have you ever seen A purple sky, sun coming up Bringing new life To everything it shines on Have you ever seen A couple after fifty years Laughing and holding hands Still going strong Well, the reason why I'll love her 'til the day I die She's beautiful like that Like a winter rose, snow on the ground I was blessed the day I found her I'm one lucky man 'Cause the more I know, the more I need her The more I love, the more I see Her heart is a shining star She's beautiful like that The sound of a church bell The road that leads back home An unspoken promise You'll never be alone She's beautiful like that Just like a winter rose, snow on the ground I was blessed the day I found her I'm one lucky man 'Cause the more I know, the more I need her The more I love, the more I see Her heart is a shining star She's beautiful like that She's beautiful like that She's beautiful like that"
/songs/193898,Darius Rucker,Be Wary Of A Woman,https://genius.com/Darius-rucker-be-wary-of-a-woman-lyrics,http://api.genius.com/songs/193898,Learn To Live,2008-09-16," If you are a man like me who is good at leaving If you like your space and you love your freedom Do not see yourself as ever settling down Or your whole world being tossed around   Be wary of a woman, a woman so fine Do not want to change you, loves you just right Makes you feel like a man inside Sometimes she will make you cry   Till you do not know what you are doing You are out of control, forget about leaving, your heart would not go If you do not like that you better run and hide And be wary of a woman like mine   She will make you laugh when you feel like crying Make you want to live when you feel like dying So if you like living in the dark Just walk away, you are going to lose your heart    Man, you do not stand a chance, do not even try Be wary of a woman like mine  "
/songs/3246428,Darius Rucker,Bring It On,https://genius.com/Darius-rucker-bring-it-on-lyrics,http://api.genius.com/songs/3246428,When Was The Last Time,2017-10-20,"Bring your wild, bring your innocence Bring that smile when you bite your lip Bring that two-glass tipsy kiss That stayed just a little too long Baby, bring on your little short fuse Your ""can you carry my high heel shoes?"" Your little small town attitude Makes me feel right at home  Bring it on, bring it on Bring the fire, bring the storm All your love like a flood Raining down on me Bring that laugh, bring those stars Bring your jagged little heart All those pieces of you I ain't scared to love you Baby bring it on Baby bring it on  Come on with your heart on your sleeve That makeup that you don't need That angel that you don't see When you look in the mirror Bring your future, bring your past Bring your ""scared to fall too fast"" All those perfect imperfections Bring that girl I gotta have  Bring it on, bring it on Bring the fire, bring the storm All your love like a flood Raining down on me Bring that laugh, bring those stars Bring your jagged little heart All those pieces of you I ain't scared to love you Baby bring it on  Gotta love them back, go ahead just fall Everything you have, girl, I want it all Put your hand in mine, let me hold your heart Baby let me see everything you are  Baby bring it on, bring it on Bring the fire, bring the storm All your love like a flood Raining down on me Bring that laugh, bring those stars Bring your jagged little heart All those pieces of you I ain't scared to love you Baby bring it on Oh (baby bring it on)  Bring that smile when you bite your lip Bring that two-glass tipsy kiss Bring it on, bring it on, bring it on Baby bring on your little short fuse Your small town attitude Bring it on, bring it on, bring it on Bring it on, bring it on"
/songs/193868,Darius Rucker,Butterfly,https://genius.com/Darius-rucker-butterfly-lyrics,http://api.genius.com/songs/193868,Back To Then,None," We met on the shore of a lemonade lake Weeping willows looked down where we lay Orange blossoms I smell in your hair Butterfly, flutter by, butterfly by   Waterfalls send your ripples to us Here on the shore of the lemonade lake Pond lilies play hide and seek with the fish Rabbit run, run rabbit, rabbit run by   Roaring mountain is standing close by Covered with snowdrops and glistening with dew I hear the sound of a small hummingbird I took your hand and I waltzed off with you   Come to the top of the mountain with me Jump on a cloud and we'll float to and fro Seeing the countryside covered with grass And the top of the mountain with candy-floss and snow   Butterfly lazily drinking the sun Lavishly sprinkled and painted with gold Here in the land of the mist and the lake Me and my true love will never grow old"
