api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/392280,Daughtry,18 Years,https://genius.com/Daughtry-18-years-lyrics,http://api.genius.com/songs/392280,Baptized,2013-09-17," Sat down with an old friend Like time had never stopped From the cradle to the coffin We'd drink until we drop Yeah, we grew up on the same street Small town under the hill, yeah Where dreams get lost and buried down Deep inside the saw mill, yeah   And all day, all night Keep pressin' rewind All day, all night I remember All day, all night Keep pressing rewind All day, all night I remember   We were young, we were wild We were halfway free We were kids on the run On a dead-end street Looking back in the rear-view mirror You know the view used to be much clearer But we'll laugh and we'll cry Till there's no more tears Yeah, tonight can we just hold on to those 18 years 18 years   Some ran down the highway To chase away their ghosts Some are frozen in the same place This town inside their bones Remember throwin' TV's off the overpass onto the tracks, yeah But the trains roll on through them small town and never look back, yeah   And all day, all night Keep pressin' rewind All day, all night I remember And all day, all night Keep pressin' rewind All day Tell me, do you remember?   We were young, we were wild We were halfway free We were kids on the run On a dead-end street Looking back in the rear-view mirror You know the view used to be much clearer But we'll laugh and we'll cry Till there's no more tears Yeah, tonight can we just hold on to those 18 years 18 years   Yeah, we just hold on Yeah, we just hold on Yeah, we just hold on On those 18 years Yeah, we just hold on Yeah, we just hold on Yeah, we just hold on 18 years 18 years, yeah   We were young, we were wild We were halfway free We were kids on the run On a dead-end street We were building a bridge Out of broken dreams We were crashing like cars When we were 18 We were young, we were wild We were halfway free We were kids on the run On a dead-end street Looking back in the rear-view mirror You know the view used to be much clearer But we'll laugh and we'll cry Till there's no more tears Yeah, tonight can we just hold on to those 18 years? 18 years   Can we just hold on Can we just hold on Can we just hold on To those 18 years Can we just hold on Can we just hold on Can we just hold on To those 18 years"
/songs/392248,Daughtry,4 A.M.,https://genius.com/Daughtry-4-am-lyrics,http://api.genius.com/songs/392248,None,2012-06-13," Yesterday's gone and Tomorrow's come way too fast You were my first love California, my last   Now I'm wide awake Thinking of you with every breath I take And I'm up before you in Pacific Standard time Trying to find the words to write a perfect rhyme And it's such a crazy hour But I just can't get you off my mind Just can't get you off my mind   Maybe one more dream can end Another trip down memory lane It's too late to call But is it too late to change my ways   Now I'm wide awake Thinking of you with every breath I take And I'm up before you in Pacific Standard time Trying to find the words to write a perfect rhyme And it's such a crazy hour But I just can't get you off my mind   And I'm up before you in Pacific Standard time Don't know why it took so long to see that I was out of line And it's such a crazy hour But I just can't get you off my mind I just can't get you off my mind  Now I'm wide awake Thinking of you with every breath I take And I'm up before you in Pacific Standard time Trying to find the words to write a perfect rhyme And it's such a crazy hour But I just can't get you off my mind   And I'm up before you in Pacific Standard time Don't know why it took so long to see that I was out of line And it's such a crazy hour But I just can't get you off my mind Just can't get you off my mind Yesterday's gone and Tomorrow's come way too fast"
/songs/3768435,Daughtry,As You Are,https://genius.com/Daughtry-as-you-are-lyrics,http://api.genius.com/songs/3768435,Cage to Rattle,2018-07-27," You're feeling isolate, and all kinds frustrate But I love you as you are, love you as you are, yeah And don't worry about the hate It don't fit in those boxes they create And it's tearing you apart, it's tearing you apart, yeah   And when you build those walls to keep you safe It's like a prison you can't escape You tear them down, you just might hear me say   I love you as you are I love you as you are And when the whole damn world don't know, what they got 'til it's gone, I love you I love you as you are I love you as you are And when the whole damn world don't know What they got 'til it's gone, I love you I love you as you are   You can come out of the shadows They're only scared of what they don't know But I love you as you are, love you as you are, yeah Yeah, you waged this war within yourself Wasting time dying in a shell They don't define you, just know they never will   I love you as you are I love you as you are And when the whole damn world don't know, what they got 'til it's gone, I love you I love you as you are I love you as you are And when the whole damn world don't know What they got 'til it's gone, I love you I love you as you are, yeah I love you as you are   You're feeling isolate, and all kinds frustrate But I love you as you are, love you as you are, yeah   I love you as you are I love you as you are And when the whole damn world don't know, what they got 'til it's gone, I love you I love you as you are When the whole damn world don't know What they got 'til it's gone, 'til it's gone, 'til it's gone I love you as you are, yeah I love you as you are, yeah When the whole damn world don't know, what they got 'til it's gone I love you as you are"
/songs/392251,Daughtry,Back Again,https://genius.com/Daughtry-back-again-lyrics,http://api.genius.com/songs/392251,None,2012-06-13," The truth behind every thing Behind every one lies somewhere I'm taking it slowly and seems like you don't care About little things that mean so much You leave me alone while you're losing touch And everywhere I go it isn't clear I can't breathe   Because I hate it when The fear sets in And I wonder when, you'll be back again   It's like we said a while ago, yeah You switch the shoes you still won't change you Pretend that you know me But you're so unaware   And I hate it when The fear sets in And I wonder when, you'll be back again I remember when the fall began And I wonder if you'll be the same again   We've all been down this road before I give it all, you wanted more I've only got myself to blame   And I hate it when, the fear sets in And I wonder when you'll be back again And I hate it when, the fear sets in And I wonder when you'll be back again I remember when the fall began And I wonder if you'll feel the same again   We've all been down this road before I give it all, you wanted more I've only got myself to blame   And I hate it when, the fear sets in (We've all been down this road before And I wonder when you'll be back again (I give it all, you wanted more (I've only got myself to blame"
/songs/3615092,Daughtry,Backbone,https://genius.com/Daughtry-backbone-lyrics,http://api.genius.com/songs/3615092,Cage to Rattle,2018-03-30," When you're hurting deep down When you're feelin' like you're never gonna dig your way out Never gonna dig your way out Keep pushing up the river Keep mining for the silver Til you've struck gold Gotta weather the storm   Cause it can't rain forever, no I'm telling you   We all fall on hard times, you know Each day is a hard climb, you know Some days your body has to carry on So you gotta show a little backbone You know, you know, you know You gotta show a little backbone   These troubles, so real We're all facing temptations And our own fears Year after year   But it can't rain forever, no I'm telling you   We all fall on hard times, you know Each day is a hard climb, you know Some days your body has to carry on So you gotta show a little backbone You know, you know, you know You gotta show a little backbone (You gotta show a little backbone) You know (you gotta show a little backbone) You gotta show a little backbone   Are you strong enough, to get back up? When the chains hold you to the ground So let's break 'em down, yeah, uh Let's break 'em down Let's break 'em down Woah, I'm telling you...   We all fall on hard times, you know Each day is a hard climb, you know Some days your body has to carry on So you gotta show a little We all fall on hard times, yeah Each day is a high climb, you know We all fall on hard times, you know (So you gotta show a little backbone)   We all fall on hard times, yeah You know each day is a high climb, you know We all fall on hard times Each day is a high climb, you know So you gotta show a little backbone"
/songs/3768438,Daughtry,Back in Time,https://genius.com/Daughtry-back-in-time-lyrics,http://api.genius.com/songs/3768438,Cage to Rattle,2018-07-27," Whoa, whoa, going back in time (x2)   You knew how to start a fire, didn't need gasoline Never took no time at all to get me on my knees The fruit just seemed to fall, never had to shake no tree The door was always open and we didn't need a key   Whoa, whoa   Take me back to those days of gold We were young and said we'd never get old No oh, no oh Take me back to just me and you Doing things that Momma said don't do No oh, no oh Take me back in time, take me back in time   Didn't I wear a wig, everything's anything goes And time and time we'll cross the line And watch that bomb explode   Whoa, whoa There it goes There it goes   Take me back to those days of gold We were young and said we'd never get old No oh, no oh Take me back to just me and you Doing things that Momma said don't do No oh, no oh Take me back in time (x4)   Whoa, whoa, going back in time (x2)   Take me back to those days of gold We were young and said we'd never get old No oh, no oh Take me back to just me and you Doing things that Momma said don't do No oh, no oh   Take me back in time (x3) Take me back to those days of gold We were young and said we'd never get old Take me back in time (x2) Take me back to just me and you Doing things that Momma said don't do Take me back in time (x1) Whoa, whoa, going back in time"
/songs/3768437,Daughtry,Bad Habits,https://genius.com/Daughtry-bad-habits-lyrics,http://api.genius.com/songs/3768437,Cage to Rattle,2018-07-27," Let's smoke Smoke a cigarette in bed together, in bed together Just a metaphor For all the ways that we see each other, we see each other I keep on pulling you in, holding my breath Long as I can, 'til I need to exhale And it can't be good for you No, it can't be good   We ain't gotta go home, we could just stay here and kick it Got a lot to learn, but I don't want to admit it Sorry to put you down, I'm up on us right now, let's hit it Just trying to kick it like, let's kick it like My bad, my bad, bad habits, yeah My bad, my bad, bad habits   Let's call So let's call it what it is and have another, have another Against the wall And now you got my mind in the gutter, in the gutter I keep on drinking you down, cooling my thirst Causing a scene and I'm slurring my words And it can't be good for you No, it can't be good   We ain't gotta go home, we could just stay here and kick it Got a lot to learn, but I don't want to admit it Sorry to put you down, I'm up on us right now, let's hit it Just trying to kick it like, let's kick it like My bad, my bad, bad habits, yeah My bad, my bad, bad habits My bad, bad habits, yeah   I don't wanna go home, no I just wanna stay here I just wanna stay here and kick it   We ain't gotta go home, we could just stay here and kick it Got a lot to learn, but I don't want to admit it Sorry to put you down, I'm up on us right now, let's hit it Just trying to kick it like, let's kick it like My bad, my bad, bad habits, yeah My bad, my bad, bad habits   Let's smoke Let's call it what it is and have another (My bad, my bad, bad habits, yeah) And have another (my bad, my bad, bad habits)"
/songs/392235,Daughtry,Baptized,https://genius.com/Daughtry-baptized-lyrics,http://api.genius.com/songs/392235,Baptized,2013-09-17," It's safe to say I'm lost Without you in my arms So I call your name and I pray you might Come and wash over me like the pale moonlight Until the sun comes back around   Take me down, take me down by the water, water Pull me in until I see the light Let me drown, let me drown, in your honey, hunny In your love, I wanna be baptized Take me down, take me down by the water, water I wanna be baptized   And the days and nights are cold Without your body to hold So I close my eyes hoping you'll appear 'Cause it feels like grace every time you're near, yeah Don't leave, when the sun comes back around   Take me down, take me down by the water, water Pull me in until I see the light Let me drown, let me drown, in your honey, hunny In your love, I wanna be baptized Baptized Take me down, take me down by the water, water I wanna be baptized Take me down, take me down by the water Pull me in until I see the light Let me drown, let me drown, in your honey, hunny In your love, I wanna be baptized Take me down, take me down by the water, water Pull me in until I see the light Let me drown, let me drown, in your honey In your lovem I wanna be baptized Take me down, take me down by the water, water In your love, I wanna be baptized Let me drown, let me drown, in your honey, hunny I wanna be baptized"
/songs/392244,Daughtry,Battleships,https://genius.com/Daughtry-battleships-lyrics,http://api.genius.com/songs/392244,Baptized,2013-09-17," Yeah   I’m sinking inside And the masts and lines are broken down tonight I swallow my pride But we’re drowning in the ocean and it’s tearing my heart open, baby   We’re high then we’re low, first it’s yes then it’s no And we’re changing like the tides Yeah, but I want you, I need you, and I guarantee you, we’ll make it out alive   'Cause I don’t wanna fight no more Even when the waves get rough I don’t wanna see the day we say we've had enough And I don’t wanna fight this war Bullets coming off our lips But we stick to our guns and we love like battleships Like battleships   Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom And the cannon goes Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom And the cannon goes   Bombs fly through the air And I know that we’re both playing not so fair Ohh, show me, show me you care Got my white flag up and it’s waving 'Cause you know this love’s worth savin', baby   We’re high then we’re low, first it’s yes then it’s no And we’re changing like the tides Yeah, but I want you, I need you, and I guarantee you, we’ll make it out alive   'Cause I don’t wanna fight no more Even when the waves get rough I don’t wanna see the day we say we've had enough And I don’t wanna fight this war Bullets coming off our lips But we stick to our guns and we love like battleships Like battleships   Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom And the cannon goes Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom And the cannon goes   And we love, yeah, we love And we love, yeah, we love I’m sinking inside Can we finally put our weapons down tonight?   'Cause I don’t wanna fight no more Even when the waves get rough I don’t wanna see the day we say we've had enough And I don’t wanna fight this war Bullets coming off our lips But we stick to our guns and we love like battleships Like battleships   Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom And the cannon goes (And we love, yeah, we love) Boom, ba-boom, boom, ba-boom, boom, boom Boom, ba-boom, boom, ba-boom (And we love, yeah, we love) (And we love, yeah, we love like battleships)"
/songs/392181,Daughtry,Breakdown,https://genius.com/Daughtry-breakdown-lyrics,http://api.genius.com/songs/392181,Daughtry (Deluxe Edition),2006-11-21," Open up the book you beat me with again Read it off one sentence at a time I'm tired of all the lines Convictions and your lies What right do you have to point at me?   Well, I'm sitting alone thinking about it all over coffee And still crowding my space are the things you still hold against me You cannot save me   Well, it's not the time to breakdown It's not the time to breakdown It's not the time to break up this love Keep it together now It's not the time to break   Read it all, no need for separating it You see what you want and try to justify All your little lines Convictions and your lies What right do you have to point at me?   Well, I'm sitting alone thinking about it all over coffee And still crowding my space are the things you still hold against me You cannot save me   Well, it's not the time to breakdown It's not the time to breakdown It's not the time to break up this love Keep it together now It's not the time to break   Open up the book you beat me with again Read it off one sentence at a time   Well, it's not the time to breakdown Well, it's not the time to breakdown Well, it's not the time to breakdown Well, it's not the time to breakdown Well, it's not the time to breakdown Well, it's not the time to break up this love Keep it together now Well, it's not the time to break Breakdown"
