api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1799458,Dem Franchize Boyz,1 Girl,https://genius.com/Dem-franchize-boyz-1-girl-lyrics,http://api.genius.com/songs/1799458,None,None,Number 1 number 1 Girl! number 1! your my number 1 girl number 1 You're my angel girl you were sent to me And everythin' happen for a reason it was meat to be (it's destiny) You're my only love my number 1 lady You're not just any girl I'd love you to have my son baby! Sometimes I make you mad sometimes I make you cry Sometimes its hard to show my felling's but they're still inside You're my number one and I ain't tryna play witchya I got feelings for ya but this is all I'm tryna say to ya  It ain't hard to see you're more than a girl to me You're the world to me! You're my number one the life of my love Its true I just wanna be with you You are my number 1 my number 1 my number 1 girl! girl! Ya ya number 1 ya number 1 ya number 1 girl! girl!  You can keep Tia and Tamara matter fact Kim sherry too You know tequila nor Mary ain't got nothin' on you But you was more in the picture long lastin' romances I might slut a few bitches but I share with my friends And I ain't cuffin' no hands we ain't seen in public I let my boys hit but that's a whole 'nother subject Alright I think nothin' of it the bad misconceptions There was only bad times so baby just be receptive  It ain't hard to see you're more than a girl to me You're the world to me! You're my number one the life of my love its true I just wanna be with you You are my number 1 my number 1 my number 1 girl! girl! Ya ya number 1 ya number 1 ya number 1 girl! girl!  You're more than just a fuck to me That's why I treat you differently Boo your spirit real good you changed me Like a different dude how you do what you do hoe No you do it well love your mind body and soul Plus the way you smell you get what you wanna them other hoes Get a cum jaw that's as far as its goin' with them Me n you goin' far you're everything I asked for Everything about you up to speed no cigarettes or liquor She smoke a lil' weed  It ain't hard to see you're more than a girl to me You're the world to me! You're my number one the life of my love its true I just wanna be with you You are my number 1 my number 1 my number 1 girl! girl! Ya ya number 1 ya number 1 ya number 1 girl! girl!  Then my day started to an my girl struck an argument She seen me in the club with some hoes I'm tryna apologize But it ain't no compiment 'cause she knows shes my queen Ive traveled the whole world And she the best that I've ever seen Her pretty face slim waist a Nd the way you drop for me shawty Might just be down for me shawty Might be my bride to be now It ain't hard to see good niggas ? We got some differences but pimp gon' put it ?  It ain't hard to see you're more than a girl to me You're the world to me! You're my number one the life of my love its true I just wanna be with you You are my number 1 my number 1 my number 1 girl! girl! Ya ya number 1 ya number 1 ya number 1 girl! girl!
/songs/854412,Dem Franchize Boyz,"45's, Choppaz & 9's",https://genius.com/Dem-franchize-boyz-45s-choppaz-and-9s-lyrics,http://api.genius.com/songs/854412,None,None,"45, n choppas n nines  Aye yea nigga mutha f**kin franchise in this bitch, franchize records, nigga popin they  Mutha f**kin gun like we ain gon do shit. We don do no mutha f**kin fightin jees a man  Trigga man, load dat choppa up mutha f**ker,yea,(reload) buddy dat 45 ready niga? (reload)  Aye pimpin ur 9 cop dem train (reload) niga, yeah you kno I keep mine 1 in da  Chamber,(reload) aye wat the fuuck,(reload) hard nine,(reload) nuts,(reload) me?(reload)  Work?(reload) , all dese mutha f**kin guns,(reload) we ain gat no more mutha f**kin  Words.(reload)  All you hear is the (reload) wen I lay you down on the ground its the (reload) sound they  Popin like they hard but they feel (reload) they hoes I kno that they get scared wen they  Hear (reload) (Oh no), first I get the k and den I (reload) its danger, den I load a huned  Rounds,(reload) (one in da chamber), you gotta aim at the chest up,(reload)(thro dem 45's)  Then shoot at they head if they vest up,(reload)(load dem Glock 9's) my ak 45 and nine milli  Cock bak you like a runt, one squeeze a button will make ur head drop bak, wen I hear my  Bitch say,(reload) im redy to go, but wen you hear my bitch say (reload) ,im lettin her go  So wat mutha f**ker wat,(reload) now here they come, you betta duk mutha f**ker duk (reload)  'cause you cnt run. Man f**k dem bitch ass nigas talkin dat f**k shit niga, load dem mutha  F**kin guns up ride out  45 and choppas and nines (reload) (whoo my)(x4)  Step on the scene wit the green and a (reload) wen shit get ugly I put the beam on the  (reload) the block den became a murder scene cuase the (reload) first it was shots now  Sirens from the (reload) franchize the team an we da king from wit the (reload) I dont gotta  Say a thing you gimmie cream wen you hear (reload) im makin shit spark like new years eve  With the (reload) my tool like a broom I sweep dem clean wit the (reload)  Dese niggas b runin dey mouth but they dont wan drama I finna kidnap they daughta n send a  Note to her mama I can wear tims and sweater n still b cool in the summa ride on you nigas  Like paper but my tool in my lama im movin work in da hood and yall ain seein my numba im  Paranoid alredi I keep dat tool tuked unda wen I pull up in da club its 26 on da humma  (reload) armed wit rokets armed wit choppas thicked out like necks on a lama  45 and choppas and nines (reload) (whoo my)(x4)  Wen it comes to war you know im able son,(reload) my tool makes a sound like a staple gun  (reload) betta run. You scared you wanna live...(reload) give it up, kno you familiar wat a  Robber is dont get bust, (reload) touch niggas for cashflow, lock n load, pitch star down a  Dusty road,(reload) nigga froze he didn't like my sound chek (reload) clock tec, hoe I want  Ur whole chek  Every nigga gat the heart to make it (reload) but wen its time to pull the trigger they gon  (reload) choke but if I reach the part to where I (reload) im lettin it flow and if it jam  Up im gon (reload) release sum moe, empty out the clip (reload) I dont need no word my team  Trained to go where anytime (reload) da sun ya betta know military mind on the grind like  Commando flashlight 4.5 wit a pistol grip handle  And they talk about my mutha f**kin boys ain ready, I gotta mutha f**kin squad on my mutha  F**kin hands, FRANCHIIIIIZZEEE! dem franchize boys, franchize records, tell dem niggas you  Alredi mutha f**kin know we takin ova da mutha-f**kin street nigga  45 and choppas and nines (reload) (whoo my) (x4)  Fades  (whoo my) x4"
/songs/853655,Dem Franchize Boyz,Bitch Nigga,https://genius.com/Dem-franchize-boyz-bitch-nigga-lyrics,http://api.genius.com/songs/853655,None,None,  What what what what what what what (where tha fuck u come from plaa...) Hey...hey....hey...hey...hey   I can see it in your eye that you a bitch nigga When you got beef you run and hide cuz you'z a bitch nigga (FRANCHIZE!!) You gonna ride on a bitch nigga And you gon' die if you try me like a bitch nigga   He's a bitch nigga (yeah) and my cliq yeah we peeped it Imma tell Victoria that we found out her secret Nigga try to stand up so the money he tried to keep it So we had to make examples leave a niggas leakin' Can't worry bout' a bitch cuz im tryin to get a mil You already got tha' look all you need is some high hills And when we raise our voice these niggas droppin' tils I ain't brand nigga i been doin this shit for years (You'z a bitch nigga) So we have to bust them niggas head Hol' up lil shawty man i think that nigga scared We cashin' big 10's I ain't gon' think about akky?? bread You tried me once before den next time imma put you on them dreads So if act like a bitch why you smack like a bitch Yeah i came up rich and yo ass ain't gettin shit So if you wanna pull onto im gonna build your coffen Cuz im sendin' niggas to the unda parkin office   I can see it in your eye that you a bitch nigga When you got beef you run and hide cuz you'z a bitch nigga (FRANCHIZE!!) You gonna ride on a bitch nigga And you gon' die if you try me like a bitch nigga   I make the whole side come to the scene draw and talkin tha streets I ain't no spatula (bowww dowww) so i dont squash beef Oh yeah you pussy whipped (yeah) and you sprung on that bitch nigga Awwww they ain't no hoes...Thats why i swung on that bitch nigga He hatin tellin people he the reason for this franchize He mad cuz we blew up like we stumpin on a land mine We like straight jack we get ready fast nigga We caught you stealin' (man..) You'z a pat ass nigga Can we talk like men...?? What tha fuck was you sayin thurr The reason i grabbed yo' hair cuz you was holdin' ya head down (You'z a bitch nigga)(yeah) It ain't not lie cuz you shit nigga We FRANCHIZE!!! and we'll ride on a bitch nigga Now ride out... (hey) Ride out...(hey)(x3) Now ride out(hey) Ride out(hey)(x3)   I can see it in your eye that you a bitch nigga When you got beef you run and hide cuz you'z a bitch nigga (FRANCHIZE!!) You gonna ride on a bitch nigga And you gon' die if you try me like a bitch nigga   You a bitch on Bankhead You and yo sidekick Mane we Franchize like the fuckin Houston Rockets So some straight dropped and got robbed for your profit Ah ah ah ah.... we ain't gon' deal wit slime shit Fuckin wit my team You playin games wit tha wrong cliq If we had a draft for sum haterz you'd b tha 1st pick Far from the next so the best nine's worthless My hands never dirty but my match is still workin' Red eyes all blink in vision blury off that purk bitch You wouldn't run up cuz you knew you would hurt bitch Hold up westside (yeah) where my team work bitch Hollywood Bankhead M.L Kime where we learn bitch   Now we at the henderson truck steady stearin man Prayin while he drive supposed to be a Gods fearin man Yo once i hate to hear it my _________ be some killas man Its bout to be sum gun play poppin at these niggas ass You already kno' bitch ass niggaaaaa The choppa wit tha drum get yah killed fast niggaaaaa Dont come bows pack a blunt they call me kit-kats niggaaaaaaa You can tell a bitch cuz they switch fast niggaaaaa Ohhhhh im bout to shoot and make a blast face niggaaaa Kno who im talkin bout and ill face dat nigga Stomp that hoe Straight wreak that niggaaaaa And when you see us commin' you besta' make way niggaaaa   I can see it in your eye that you a bitch nigga When you got beef you run and hide cuz you'z a bitch nigga (FRANCHIZE!!) You gonna ride on a bitch nigga And you gon' die if you try me like a bitch nigga Now ride out... (hey) Ride out...(hey)(x3) Now ride out(hey) Ride out(hey)(x3)  
/songs/15298,Dem Franchize Boyz,Bricks 4 the High,https://genius.com/Dem-franchize-boyz-bricks-4-the-high-lyrics,http://api.genius.com/songs/15298,On Top of Our Game,2006-02-07," How rich y'all niggas wanna be? (Franchize!) You wanna be a millionaire? (D-F-B...Bitch!) You wanna be a billionaire? (10 Ho!) Nigga you wanna be what I wanna be...(10 Ho!) I wanna be a fuckin trillionaire! (10 Ho)   I got them bricks for the high, and the purp by the pound I'm posted on the block til the sun go down....   Nigga I fuckin hustle, nigga I get money! I can get money doin anything!  I got them bricks for the high, and the purp by the pound I'm posted on the block til the sun go down....   Nigga I really do my thing Kind of fuckin hustlers are y'all?   Yeah... I'm posted in that tip (Tip) And my homeboy home Blew an ounce of that kush (Kush) In my sean john jones I got the mild for the low (Low) From smokin plenty optimos Tryna make a quick flip, like my patna Maceo I'm shinin on my haters, signin deals so I'm a paaaa... Twenty G's on the chain, and I'm still worth a couple blocks.... (all that man, I need a fo, a duece) It started in that temp, flippin mid's by them O-Z's   On the hill wit that shit from a custom border Two gram, fifties, do the math for a quarter (For a Quarter??) That's one, I fulfill nigga's order What you nigga's wanna order? 06' Nino Brown, flip the temp into the carter Rebirth! don't cut out my four-ways I stash purp pounds, that's down for the drop days And for my pay, I hit the trap when the sunrise I break one down, and the rest goin for the high   I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down....   Now see I like the shit these niggas is talkin Real hustla's recognize other real hustla's That's why I'm fuckin wit em, Hey!  I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down   I got houses in different continents nigga! Nigga I did my trips in London, remember that? Fuck is wrong wit ya'll?!?   I'm the boss of my own shit, I'm the ruling general Bricks lined up like, cars at a funeral I'm working hard white, So I never twurk, touch and bust My workers on the block, So the work ain't even gotta touch My money come in stacks (Stacks) And I know just how to get it man A low profile, might be ridin a Honda Civic man You'll never know it's me, but a nigga got the work holmes I move it all day, think he clirpin on my chirp phone Connects so sweet (Sweet) And I'm dealin wit tha curribeans' They come from cross the water, masked-taped to my europeans' Supplyin', whole towns, little counters, in the projects Tryna double my money up, leave the block, wit a profit For you nigga's that like to pop (Pop) You know I got them pills too Getcha you a couple of splitters, have you spinnin like some wheels fool This shit don't stop, I move this work clockwise I got my own bizness, I call this shit tha Franchize!   I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down....   Nigga's get a million dollars and think they gettin it? (Harlem!) Nigga I made my first million when I was a teenager (Dipset! Byrdgang..)  I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down....   Ugh....Jones, Capo! Dipset! Them nigga's know I'm bout this (ByrdGang!) Spillin champagne, all over Vision's Couches (Ballin!) Like fuck it, tell alex keep the cris' rollin (Keep it Rollin!) I'm gettin drunk blowin weed wit the pistols showin' (Watch Em!) Spendin a couple K's up in Stroker's (Right...) Flyin up Peachtree, racin in the roster's (The Fast Life!) I'm so icy, and I think they like me (Like Me) Seven Jeans saggin, fitted cap and my white tee (I'm Fresh to death!) The foreign cars got they eyes poppin' (Daammnn....) And you can see the stars when the ride droppin   Aye Jim Jones, (What's Hattninnin!) Let ya boy Parlae get some of that Harlem clientele (What's Hattninnin!) I got more crack than a curb, Fuck wit me! (Westside! Aye fuck wit me) I'm iced out, and keep snow, like an eskimo And when the show's slow (Show's slow) I cook extra blow (Extra blow) Put the whip game on it, get some extra dough (Extra Dough) Keep the cars pullin up, like it's Texaco (Texaco) I can make it get stiff, like dead people Keep my hand workin, wit the mic, or a egg beater (Egg Beater) And ya bank account? shit, that's my pocket fare (Pocket Fare) Residue on my clothes, call it Roc-A-Wear (Roc-A-Wear) I can beat it like my.... I treat the dope like Tina, And I beat it like Ike And I keep tha grass, so you can call me the lawn-man I ride around wit chickens like I came from a farm man   I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down....   You see how I get down wit the get down Nigga I got a car for everyday of the week And two other cars for the weekends, nigga fuck is wrong wit you?!?  I got them bricks for the high and the purp by the pound I'm posted on the block til the sun go down....   Fuck is wrong wit y'all, nigga I can sell whatever I wanna sell!! I done sold muthafuckin music, that shit was easy!! Started Roc-A-Fella and sold it!! I can get money in fashion, that shit was nuthin!! In five years I started that shit, sold my part for Thirty Million!!! And let's watch what the fuck is gonna be now!!!"
/songs/1799680,Dem Franchize Boyz,Come Come,https://genius.com/Dem-franchize-boyz-come-come-lyrics,http://api.genius.com/songs/1799680,None,None,"Shawty, give it all to me Shawty, give it all to me  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you come, come  When I'm alone in my room sometimes I stare at the wall Then I spoke through my phone to see what bitch I'mma call I can do the hypnotist, two of my pink toed bras I can settle for a bank teller at Green Gramma's  But I'd rather be on put a bitch into action Can't be a bitch man, but I stroke with that passion I'm 'bout satisfaction, hope on my flight reader Hope her cat leave her surface wet just like Katrina  Promise baby, I'll please ya, bet ya I can make your heart jump Treat your body like the block R. Kelly when I 'Grind 'n' Bump' Shit that's only if you come come Like the hyphy movement, I have you goin' dumb dumb  Me and my boo man, our love it's like chemistry A bad bitch don't give a fuck I'm in the industry We watch the moon shine, we talkin' diamond colors Kiss her neck, now she wet, we makin' love puddles  On the spread, on her bed at her momma's house In the shower for 3 hours, ended on the couch My backs shots got her shakin' like she been to Harlem She wanna bring a friend, okay  My love is genuine, I hope yours is the same And like genuine girl your whole life gon' change I know Victoria got a secret hidden on the sheets So come, come we can do it till we fall asleep  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you come, come  Look girl, let me whisper somethin' to you Somethin' like shit, I wanna do somethin' to you Yeah, I like your smile, I really like your shape So all I wanna know is when can we go?  So come, come girl, you know I gotta get you Run run, and you can bring your friend with you But trix is what I wanna see, do it how you want Just be freaky as you wanna be  It's a go, bet you already know Just one thang though, you already blow Put you in positions you ain't neva been Fold you up and put you legs where they ain't neva been  Shawty what's happenin'? What you thin' do? Come ride with me cause I'm feelin' you Big how I like 'em, I 'm feelin' you tryna' touch somethin' I'm just crazy, just, just wanna fuck somethin'  You know what it is with me or where you might be As somebody sorts the sweep with strong pipe, besh Give it to you right, we gon' make the bed thump Smash it to the head board, makin' your head pop  Do you how I wanna and how you like, girl I know it sound good because it's right, girl So come, come, never run, run You want me like I want you so baby, come and get some  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you  Come, come over here so I can break you off a lil' some Put you in positions you ain't neva thought of In between the sheets we can grind and bump Make the bed thump until you come, come"
/songs/853856,Dem Franchize Boyz,Dat's Da Way Dey Roll,https://genius.com/Dem-franchize-boyz-dats-da-way-dey-roll-lyrics,http://api.genius.com/songs/853856,None,None, I heard dem boyz got plenty dough I heard dem boyz smoke nothin but drough I heard dem boyz takin ova ya know And that's the way dem boyz roll (oh oh oh oh)   I know ya heard a lot but did ya hear the right thang It's more than sellin weed and whippin up some cocaine Gotta know the streets the tricks and trays to make the right play But stay focused like ya mind in a chess game Get to the money that's the only thing that matter mane Believe in ya dough choose zeroes over hoes mane Even when ya hurt be a starter not a second string Produce like troops throw it up like ya serve game Get ya weight up nigga cuz I'm seein six figures The girls like me now but the hoes used ta dig us Plus they tryina eat tryina get a lil bigga Tryina see mo money than a fuckin bank tilla Now I get money straight flowin like a riva Cuz every otha week my bank account get bigga All on BET hangin out wit Tigga Chromed out engine paint flipped like some Skittles   See people where I'm from thought I was lyin fo real When I said I hit a lick cuz I done signed a deal Naw I ain't tryina prop I'm just tryina live If success is at the top I'm finna climb the hill And we can't be stopped we headin to the last level If ya in the way we steppin on ya like a gas pedal It's Franchize and you know we don't play We takin over so niggas get out the way I'm kicked back burnin placks with this stick black motta Pussy and dollas homie ya know I get a lot of Tinted glass mash the gas in a black Monte Carlo My bitch clean rims spin when I stop her I'm young fresh hot and I'm blerssed ya feel me My bristles wanna fuck but htey niggas won't kill me A rich fly wise guy them jokas hate when I ride by A MC six screen scatin on 25s   Now evryody wanna make it But when the chance comesand there's a risk ya gotta take it A lotta niggas hate it but face it we done made it Franchize gone rise bitch we da butt naked I don't do this shit for free I was paid to be here This ain't no mistake I was made to be here And my chains been diamond since birth We all get money and we all smoke purk I'm doin good now you can say htat I'm blessed Cuz livin in these streets you need a gun or a vest That's why niggas study cuz it's nothin but a test Ya heard one thang but ya didn't hear the rest Ya knew I'd make it one day was just a matter of time People sayin quit playin boy ya wastin ya time Look at em now switcharoo I bet they wish they could trade And now my mama gettin calls oh I ain't know that was P.J  
/songs/15303,Dem Franchize Boyz,Don't Play With Me,https://genius.com/Dem-franchize-boyz-dont-play-with-me-lyrics,http://api.genius.com/songs/15303,On Top of Our Game,2006-02-07," Bitch don't play with me (repeat 4X) I ain't noone to fuck wit (repeat 4X)   Bitch don't play with me don't even wave to me It's a wrap ye ain't got nuttin' else to say to me Make a nigga snap or see me straight flip bitch Fuckin' with some G gon' get that ass killed bitch And if the cops come? Fuck if the cops come Cause I'mma do the sweep, hell yeah with my shotgun Blow a fuckin' fuse and be wonderin' why he did that Tried to keep it cool yeah I'm comin' to push your wigs back   I squeeze big triggers, that'll rip when I blast techs And I tote handguns with clips the size of giraffe necks With the red beem on it (beem on it) so I can't miss And I shoot k's (shoot k's) with ben frank clips What's that? That's 100 rounds...Empty? That's 100 down Fuck with DFB and you gon hear how 100 sound I pump and break it down, when I cock it and spit slug Put your knees on your ankles, and your chest where your hip was   Gimme that gun, gimme that man, gimme that keys, I'm at his ass Talk that shit, now see is he bad, I'mma make him do the mothafuckin' dance Catch up with him, just like chad, put one in his mothafuckin' ass Leave 'em all bloody, like a big pad. Crunchy Blac - I don't ass crash   I'm bout to walk up to your house knock on the door and blow your brains out Then buck you in your chest so fuckin hard it knock the stains out I'm one of them crazy cats that kick your ass and knock them thangs out I got a 12 inch dick in your girl mouth I'mma let it hang out   Yeah, bounce bounce star, bounce bounce star Three 6 mafia and the franchise huuhh? We put a bitch on blast Dirty south we'll blast your ass   Every nigga that fuck with me (test me), that's the nigga I'mma check Turn his whole chest into a muh fuckin' fish net I ain't noone to fuck with, stuff you in the truck nigga Have you tracked out, trapped up, bent up nigga I got transporters that's workin' for a couple figures And a couple slick colors, on a nigga play the trigger Shoot a nigga down yup, that's courtesy the young dealer Niggas with attitude natural born young killers   Now bitch don't play wit me cause I got the K with me Load it up, cock it back, get all in they face with it I ain't noone to fuck wit, better get your issue right Nut in them bitches and he ready to light that dynamite ZMP niggas hate it so I stay strapped Run up on a nigga and put a whole in his wavecap It's Pimpin nigga, steady trippin' on my off day Blowin' purp all day run more blocks than in your ice tray  "
/songs/853698,Dem Franchize Boyz,Do Ya Dance Girl,https://genius.com/Dem-franchize-boyz-do-ya-dance-girl-lyrics,http://api.genius.com/songs/853698,None,None,Do ya on that hoe First u lean and then u roll Bind ya knees at touch ya toe Beat none of ya know how to get low Doit like some Fa-bo Bet u can't doit like me  Bind ya knees and rock ya hips beat u can't g it like me Try to doit like me and watch ya legs get sore. (aaa!!!) Bind ya knees and rock it 2 da floor Ride and go a head and do ur dance See this ur song girl so go head and do ya dance
/songs/15299,Dem Franchize Boyz,Freaky as She Wanna Be,https://genius.com/Dem-franchize-boyz-freaky-as-she-wanna-be-lyrics,http://api.genius.com/songs/15299,On Top of Our Game,2006-02-07," Songz, Dem Franchize Boyz They from down, A-Town, VA, round the world baby Huh, they be as freaky as they wanna be Hey, hey she freaky as she wanna be Hey, she freaky as she wanna be Hey, hey she freaky as she wanna be   She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be   She be herself around me, freaky as she wanna be Give me Georgia Dome like I'm sittin' off at The Omni And I enjoy it, makin' lil noise Stayin' ready for it, y'all already know it She swallow it, gobble dick, lil bitch from Memphis In love with my cock, she give the jimmy a French kiss Her favorite position is doggy stylin' in the bunk And the places she likes it is on the couch or in the trunk And I bang on the pussy like a motherfuckin' door knock Like the Flintstones, yeah, makin' the bed rock It's group fun, believe she do what she do, son Give you some, and you some, and you some, and you some It ain't no fun if my homies can't have none She winked her eye, blew a kiss, stuck out her damn tongue You know that she ready, yeah remove the bed spread then Give a lil head then, get on in the bed then   She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be If you a lady in the streets, straight freak in the sheets Freaky as she wanna be   What's in the club, posted like King Tut Rollin' like a fool lookin' for me some cut Who the type booze, King cover type butt Nice head on her shoulders and the bitch'll give it up Body shaped like Budweisers Classy hoe that liked to be pile driver D.D.T. the bitch, I can go for some hours Let Parlae hit, together we like twin towers What you thought, that I wine, dine, show you thangs? I'm the type of nigga let ya suck where my chain hang If you don't suck then you can lick where my chain swang Be freaky as you wanna be, promise I can maintain Gotta know ways and tricks to make this dick spit Flip jack, suck on the dick like a sip stick I got a lot to offer But for you it's good wood and makin' chicken and waffles, bitch   She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be If you a lady in the streets, straight freak in the sheets Freaky as she wanna be   She freaky as she wanna be and she know she thick with it Hangin' off the celiing fan, she like to do some tricks with it DFB bitch, so ya gotta let the click hit it If Buddie hit from the back, ya gotta suck a dick with it How ya meet a groupie hoe? Who know what the deal is? Askin' where the purp, where the Goose, and where the pills is Call me Dave Hollister, caught is what I wanna be She suckin' and she fuckin' 'cause she freaky as she wanna be Ten next up, so ya know we ain't finished yet I don't wanna fuck though, I want me some pigeon lip Suck a nigga dick or somethin' Do it with no hands I say do it with no, do it with no, do it for my man   She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be If you a lady in the streets, straight freak in the sheets Freaky as she wanna be   Now she freaky as she wanna be, grabbin' on the wood 'Cause it's good and she wanna see bein' all up on it G Had to write this rhyme 'cause I think this hoe is punkin' me She's punkin' me, 'cause she a freak and she do everything That pussy ain't shit, but that mouth like a hurricane She keep her hair fixed and I fucks it up When I bust a nut, she grab the dick and she sucks it up Bring to the ten and she do the team She a ghetto bitch, all she want is hot wings Naw nigga, she like the way a nigga ice bling She's a good girl, nope she's a actor In a room alone, she'll suck a dick backwards Pop my balls in her mouth like she popped some capsules I like 'em easy, not them kind that like to wrestle They choose us 'cause a nigga is a rapper Fuck 'em good and straight get ghost just like Casper   She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be We in the bed no sheets, head to the feet Freaky as she wanna be She freaky as she wanna be, believe it, I'm freaky as I wanna be Poppin' what's in them Vicky's, no secret, I'm freaky as I wanna be If you a lady in the streets, straight freak in the sheets Freaky as she wanna be   She do it how I want her to do it, I'm freaky as I wanna be She move it how I want her to move it, I'm freaky as I wanna be She calls, say she ready to see me, I'm freaky as I wanna be She get down, ready to freak me, I'm freaky as I wanna be Do that there, yeah Said she do that there, I say she doin' that there there Baby, ya doin' that there You be as freaky as ya wanna be"
/songs/854500,Dem Franchize Boyz,Give Props,https://genius.com/Dem-franchize-boyz-give-props-lyrics,http://api.genius.com/songs/854500,On Top of Our Game,2006-02-07,"(Chorus x2) Haters hate hard but it motivates Motivates us to get right Climbin to the top of the mountain Sleepin on the chrissy every night Gotta keep this thing goin Necklace glowin, already knowin Give props you know who the best is Franchize! You know what so so def is  Im draked up laced up Ridin through the city Top let down We ain't blowin on the 50 Its trigger man and jeezy man and DFB, boy and i gotta hold it down for the DFB boy They hate us bad, hate to see us niggas comin ? just lookin like money They can't stop us. we on top of our game They some imposters and they tryin to call us some lames We blow past em like in gone in 60 seconds Sign with ya main man its time to move records No time for them ? They dont scare us at all We on a whole nother level They can't blast at all You see us workin. puttin it down thats for certain You can see me wit a microscope Zoomin through your curtains Im sharp as a razor, purple hay blazer We smile at you niggas, theres so many imitators  (Chorus) Haters hate hard but it motivates Motivates us to get right Climbin to the top of the mountain Sleepin on the chrissy every night Gotta keep this thing goin Necklace glowin, already knowin Give props you know who the best is Franchize! You know what so so def is  One of the best there ever is and the best there ever was Im the motherfuckin truth and in everything i does Niggas hatin every day ?? Ill eradicate yo ass If push comes to shove Pop says stay focused Dont get stunned by the buzz One shot to take your life so a nigga stay in blood Its when a niggas character is not made up ?? ?? I done been had cash Its just more for me to pop wit Niggas ain't gonna like it when i pop to a drop sick"
