api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3871461,Desiigner,2 On*,https://genius.com/Desiigner-2-on-lyrics,http://api.genius.com/songs/3871461,New English 2,2018-07-31," Aye Act like I still don't get these broads in Atlanta, you know what I'm saying Yeah, hey, hmm   I still get broads in Atlanta I still get broads in Atlanta I still get broads in Atlanta I still get broads in Atlanta I know trappers and the scammers, huh I know killers with the hammers, huh See these stars in the phantom, yeah yeah I fuck her in the back of the limo She be hittin', and suckin' , and flex like limbo, huh Chain all ice on two tone All these rappers, these niggas they flex they [?] Niggas too [?] like a newborn Nigga pullin' off in a rari and the roof gone, huh Fuck a bad bitch she too gone Rollie AP got two on"
/songs/2880335,Desiigner,88 Rising Freestyle (Zombie Walk),https://genius.com/Desiigner-88-rising-freestyle-zombie-walk-lyrics,http://api.genius.com/songs/2880335,None,2016-10-05,"Get in my way That nigga get in my way Fuck nigga talking Get the fuck out my way Fuck nigga talk Get the fuck out my face   I'm gonna letting no nigga get in my way Fuck nigga talking Get lit with the K The drop we reloading The [?] Thought I went crazy But back in my way You can get hit up Just rob it you say Don't fuck with  Niggas get hit up Bodies get zip up Niggas not feeling it Damn it [?] Blazing, huh Smoking or dope Hazing, huh [?] Can infa-  The coke on the grand of cocaine Feeling like [?] Wayne  Hit it front of renegade Hit it Hit it Huh  Filling the track with a winner [?] nigga Nigga be talking that [?] Huh Lot of killings in the way Drank nigga trying to get up Pick up, flow Get up, huh Pussy flow, get up (Drrrrrrr)  And [?] baby, she with me Twisting with me she rolling I got a mum in the kitchen In the backroom with a sister [?] and a nigga Nigga lower than that nigga Oh Gotta watch out for them niggas Zombie walk, hey No control Lotta chopper Let it blow Zombie walk No control Let it blow Lotta chopper No control Zombie walk Zombie walk No control Lotta chopper Let it blow Zombie walk No control Let it blow Lotta chopper No control Zo-  I'm gonna smoke that dope Fucking my brain brain brain brain I'm sipping no Henny It got me awake I'm riding that train My b- She giving me [?] [?] nigga like to play with them things He got a big missu- And the niggas [?] I'm [?] [?] [???] Bulletproof on the bed Bulletproof on the bed [?]  I did that thing with me No you can't handle me  Zombie walk, hey! No control, kih! Lotta chopper, hey! Let it blow  Zombie walk No control Let it blow Lotta chopper No control Zombie walk  Zombie walk, hey No control Lotta chopper Let it blow  Zombie walk No control Let it blow Lotta chopper Zombie walk  Kih kih! Gigigit yeah! Airgh! Drrrrrrrrrrrttt yeahh!"
/songs/2897087,Desiigner,Addams Family Freestyle,https://genius.com/Desiigner-addams-family-freestyle-lyrics,http://api.genius.com/songs/2897087,None,2016-10-31," I got to work that again It was too fire This song about to be a track Git Git Grrrrraaaah Grrrrraaaah   My niggas, they tear you up Hear woowoo and fire truck My boys they come, better duck This what happen you fuck with me When Rob the God with the crew Got Zana Ray in this too Got Genius in with the room   Grrrrraaaahaha That beat crazy"
/songs/3693657,Desiigner,After Party,https://genius.com/Desiigner-after-party-lyrics,http://api.genius.com/songs/3693657,L.O.D.,2018-05-04," Kill, kill, kill, kill Wait, aaah, aah-ah What a surprise, first part there Ayy, word, aaah (It's JSDG with another banger) Desiigner! (git, git, grrra)   She in the afterparty We in the afterparty She in the afterparty We in the afterparty Had a party in Cali She in the afterparty Had a party in Atlanta She in the afterparty Had a party in New York Afterparty (afterparty) Afterparty (a-afterparty) She at the afterparty (a-a-afterparty) Had a party in Cali At the afterparty (afterparty) Had a party in Atlanta At the afterparty   She at the afterparty She don't know how to party She did this act to party We in the back to party We tryna get back to party At the afterparty We can shoot up with MACs and .40s Heard you talkin' shit, beg your pardon Heard you talkin' shit, beg your pardon With this .45 I bet it bang your noggin (woo, woo) Had to made some party With the masses like Jason parties In the back from the face of shawty We in the afterparty And she don't know how to party She gon' just act to party   She in the afterparty We in the afterparty She in the afterparty We in the afterparty Had a party in Cali She in the afterparty Had a party in Atlanta She in the afterparty Had a party in New York Afterparty (afterparty) Afterparty (a-afterparty) She at the afterparty (a-a-afterparty) Had a party in Cali At the afterparty (afterparty) Had a party in Atlanta At the afterparty   We in the party intoxicated She bent over, all kinda wasted Big diamonds, all kind of faces Shinin' bright around the places Let this lean put me in the Matrix She like how she feelin', she like how it taste She make it feel good when I'm wasted I don't know nothin' but automatics Niggas run up on you, let you have it Chopper hit 'em, trrr, static My young boys, yeah, they a savage How you say you the big homie? And you made me cop weed from him Five dollars what you need from me Gave it to you 'cause you need it, homie Now I'm chillin' at the afterparty And I'm here and I ain't have to party Now you dead, nigga, now you sorry You can stay here but just keep it quiet 'Cause my niggas they come alive I invest into the Shake Shack But I spin your block with like five guys Don't believe me? Nigga, let you try Don't believe me? Nigga, let you ride See my posts up on Instagram See a kid, you a family man Sixteen shots like a family jam I hope y'all niggas really get it, man Damn, they ain't even understand Yeah, nigga, at the afterparty And I'm here and I ain't have to party   She in the afterparty We in the afterparty She in the afterparty We in the afterparty Had a party in Cali She in the afterparty Had a party in Atlanta She in the afterparty Had a party in New York Afterparty (afterparty) Afterparty (a-afterparty) She at the afterparty (a-a-afterparty) Had a party in Cali At the afterparty (afterparty) Had a party in Atlanta At the afterparty   Damn, son, where did you get that from?"
/songs/3195988,Desiigner,Arms,https://genius.com/Desiigner-arms-lyrics,http://api.genius.com/songs/3195988,None,2017-08-13," Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they sound like bombs, yeah And they going dumb, yeah Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they going dumb, yeah And they sound like bombs, yeah Bombs, bombs Bombs, bombs Bombs, bombs Bombs, bombs I got what you want, yeah 40 in my arm, yeah And I'm going dumb, yeah With this firearm, yeah   I like Mario Kart , yeah She like Mario Kart, yeah Poppin' xannies, fuck, yeah I got xannies right here I got xannies right here Keep them panties right here   Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they sound like bombs, yeah And they going dumb, yeah Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they going dumb, yeah And they sound like bombs, yeah Bombs, bombs Bombs, bombs Bombs, bombs Bombs, bombs I got what you want, yeah 40 in my arm, yeah And I'm going dumb, yeah With this firearm, yeah   Left turn, yeah Now I'm smoking strong, yeah And it's too strong, yeah I got more dawgs, yeah I got more drums, yeah Niggas better run, yeah Aye, aye, 40 at the car yeah I was trappin' all day I was trappin' all year Shoutout to Kanye Shoutout to JAY-Z Shoutout Beyonce We gon' do this all day We be trappin' all day Member them hallways, aye 40 not that four ways 40 knock that far way Bark, bark, bark that dog away   Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they sound like bombs, yeah And they going dumb, yeah Arms, arms Arms, arms Arms, arms Arms, arms I got what you want, yeah 40 in my arm, yeah And they going dumb, yeah And they sound like bombs, yeah Bombs, bombs Bombs, bombs Bombs, bombs Bombs, bombs I got what you want, yeah 40 in my arm, yeah"
/songs/4338753,Desiigner,Bag A Lot,https://genius.com/Desiigner-bag-a-lot-lyrics,http://api.genius.com/songs/4338753,New English 2,2019-02-25,"From Previews   I like to bag a lot I'm playin' tag a lot I'm in my parking lot I'm in my bag a lot I make her gag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot I like to bag a lot I like to trap a lot I'm in my parking lot I make her gag a lot I like to bag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot   I like to trap a lot I do not make it hot I'm 'bout to take your slot How much you niggas got? I'm 'bout to throw some shots Come back and whip the pot Come [?] to the blow I fell in love with clocks [?] she love the watch She like to dance, dance, dance, dance She in her bag a lot I got me, I got you, I got you, baby, aye We can get it right now We can eat together, aye We are forever, aye I got me, I got, I got you, baby, aye We can get it right now We can eat together, aye And we on, forever   I like to bag a lot I'm playin' tag a lot I'm in my parking lot I'm in my bag a lot I make her gag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot I like to bag a lot I'm playin' tag a lot I'm in my parking lot I'm in my bag a lot I make her gag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot   I got to go get it, uh, uh I got some hoes with it, uh, uh [?], uh, uh I put some O's in it, uh, uh I put my show in it, uh, uh I pull up and throw in it, uh, uh I get some mo' in it, uh, uh I'm stackin' my dough in it, uh, uh I got the mac out, uh, uh I'ma go black out, uh, uh [?] spazz out, uh, uh Back in my trap house, uh, uh Act out, huh, huh, got niggas that pack out, huh, huh, huh -   I like to bag a lot I'm playin' tag a lot I'm in my parking lot I'm in my bag a lot I make her gag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot I like to bag a lot I'm playin' tag a lot I'm in my parking lot I'm in my bag a lot I make her gag a lot I got the bands, bands, bands, bands It makin' me sag a lot I like to bag a lot"
/songs/2713617,Desiigner,Caliber,https://genius.com/Desiigner-caliber-lyrics,http://api.genius.com/songs/2713617,New English,2016-06-26," I make a lot of new different money Trap overnight like it's fifty summie Finesse up the plug while gettin', I'm gettin' blunted Caliber, caliber, caliber Caliber, caliber, get somebody Caliber, caliber, sick somebody Caliber, caliber, rip somebody Caliber, caliber, caliber   I make a lot of new different money All my killas pull up and they gettin' blunted Finna drink up the mud, now I'm gettin' mudded Caliber, caliber, caliber Caliber, caliber, hit somebody Silencer, silencer, ring somebody Outy boy, outy boy in an Audi Free my boy, white boy gon get 'em Free my boy white, go get him Follie All this lean I poured, I should get a Molly Sniff the coco right up cause your bitch got problems Wildin' boy, wildin' boy, wildin' boy Life of Desiigner be stylin' boy You gettin' hit up, I get annoyed Mike on the wheel and I drive the toy You get robbed or get jigg or you got extort   Tell 'em talk shit, tell 'em talk shit, I'ma keep throwin' That's your bitch, that's your bitch, that be deep throatin' We be swipin' cards, we be gettin' money, there's weed blowin' That's lean drippin', we lean drippin', that's cee-lo in We be rollin' 6s, tell 'em roll with me You gon' go get it? We gon' go get 'em All my niggas got it, all my niggas with it We got bad strippers, we got niggas with it Gheea, gheea!   I make a lot of new different money Trap overnight like it's fifty summie Finesse out the plug while gettin', I'm gettin' cuddie Caliber, caliber, caliber Caliber, caliber, get somebody Caliber, caliber, hit somebody Caliber, caliber, rip somebody Caliber, caliber, caliber I make a lot of new different money Chopper bananas like 50 something Finesse out the plug while gettin', I'm gettin' blunted Caliber, caliber, caliber Caliber, caliber, get somebody Caliber, caliber, hit somebody Caliber, caliber, rip somebody Caliber, caliber, caliber I make a...  "
/songs/4144526,Desiigner,Cokeman,https://genius.com/Desiigner-cokeman-lyrics,http://api.genius.com/songs/4144526,None,2019-02-02,"FROM SNIPPET/UNRELEASED   Cokeman, cokeman, cokeman, cokeman, cokeman, cokeman Run it, I need it, whip it like [?] just to come and throw again Go again, go again, go again, go again, go again, go again Niggas is robbin', niggas is stealin', we should go again   Pull up, my job -"
/songs/2713461,Desiigner,Da Day,https://genius.com/Desiigner-da-day-lyrics,http://api.genius.com/songs/2713461,New English,2016-06-26,"Part 1   Ayy, Mekado what it is? Ayy, ayy I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day I've been countin', man that's day to day Fuckin' bitches, man that's... day to day Uh, uh   I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day Countin' money, man that's day to day I've been trappin', man that's day to day I've been grindin' man that's day to day I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day Countin' money, man that's day to day I've been trappin', man that's day to day I've been grindin' man that's day to day   Break in the spot with my dog when I get the check gotta cut it I been wildin' in the mall when I get some bread I say, ""Fuck it"" You see the field under destruction Just for some money she fuckin', her friend interruptin' Done fucked up her weave, now she leavin' lookin' rugged Fuck with my niggas, them niggas, they don't want for nothin' No key for the V, I get in and push a button Got liquor in my system, I been drivin' like a dummy Drinkin', I'm drivin', but I'm still trappin' for the money Thuggin', I'm buggin' but I'm still trappin' for them hundreds (hundos) Bust a couple licks and then I bounce back like a bungee Pray to the Lord I end up on the side where it's sunny, uh My only option is to make it, I come from the dungeon Fuck the police, man they crooked Fuck around and catch a bullet Tired of sleepin' in the bookings Niggas talkin' like they 'bout it 'bout it if he got it we pull up and book 'em Me and my niggas so rowdy rowdy that I'ma pop out and throw on my hoody I come from my goons   I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day Countin' money, man that's day to day I've been trappin', man that's day to day I've been grindin' man that's day to day I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day Countin' money, man that's day to day I've been trappin', man that's day to day I've been grindin' man that's day to day   I've been grindin' man, that's day to day 4:05 pass, crash the Wraith You be talkin' shit, pass the bank I be laughin' while I'm rollin' 6s Dead man, come roll and get me Dead man, come roll and get me Zombie Walkin' 'til I get it on me Moon walkin', seein' moon people I be chillin' with them Druze people Smokin' Jew kids, Jewish people You be talkin' 'bout the news people You be snitchin' on me, tellin' on me I got niggas puttin' weapons on me Tell the preacher come and preach with me 4-5 tell 'em squeeze with me You be talkin' cold lean with me Codeine, got lean with me Codeine, got beams with me Whole team got beams with me Smokin' an eighth, put an eighth on it Fuck yo bitch put her face on it She be suckin' 'til she taste on it I be like all make on it Bank on it Yeah, yeah!   I don't know what I'ma do today I don't know who I'ma shoot today I don't know who I'ma poof today I don't know who I'ma send away Fuckin' bitches, man that's day to day Countin' money, man that's day to day I've been trappin', man that's day to day I've been grindin' man that's day to day  Part 2   You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes Try to run, nigga, hit the gate, aye Try to run, nigga, hit the snake, aye 4-5 pass shoot the wraith, aye   Break in the spot with my dough when I get the check gotta cut it I been wildin' in the mall when I get some bread I say, ""Fuck it"" You see the fear, want the destruction Just for some money she fuckin', her friend interruptin' Done fucked up her weave, now she leavin' lookin' rugged Fuck with my niggas, them niggas, they don't want for nothin' No key for the V, I get in and push a button Got liquor in my system, I been drivin' like a dummy   You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye   I be wildin', I go Jungle Men Niggas'll kill for a couple bands Just grindin' hard I made a hundred bands Like I went viral, got a hundred friends Bossin' on 'em, couple Gs got me flossin' on 'em Really come from the mud on 'em They be flexin', put the slug on 'em Couple of hitters'll kill for whatever Just for the paper she's doin' whatever Now I’m feelin' better But if I was locked she probably wouldn't send a letter Got it on me movin' militant No time for the middle men Clip a nigga got 'em moon walkin Got real shooters, and they ain't talkin' Just do it, nigga, shit, I'm tired of talkin' Got the Ghost I was tired of walkin' Dope got a nigga Zombie Walkin' Ain't tryna have my mommy walkin' I'm a smooth nigga Ridin' 'round with my tool nigga Bicken' back bein' bool, nigga Couple fool niggas ain't cool nigga   You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the Wraith, aye Try to run, nigga, hit the gate Try to run, nigga, hit the snake You be talkin' shit like you the jakes 4-5 pass shoot the Wraith, aye 4-5 pass shoot the Wraith, aye Do a drive by hit the snake   I'm just tryna get paid Stackin' my money with chickens, ayy Chopper in the rearview Nigga just bought the beamer Chill with the coke dealers Chill if you want, nigga All of my niggas be dope dealers All of my niggas be dope dealers   You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye You be talkin' shit like you the jakes 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye 4-5 pass shoot the wraith, aye"
/songs/3378717,Desiigner,Desiigner Freestyle (Before Fame),https://genius.com/Desiigner-desiigner-freestyle-before-fame-lyrics,http://api.genius.com/songs/3378717,None,2019-02-02,"Car crash, call it racin' out The bullet kiss 'em, call it makin' out They never said I'd appose to nothin' Choppa known for thumpin' Make a nigga start Forrest Gumpin' When I catch that boy forest frontin' Choppa blow his stomach Hit his body and his soul be jumpin' Cause my nigga don't blow for nothin' We gon' run up on you, we gon' get you hit Talk a lot like you servin' brick Tryna get me rich and I fuck your bitch She be suckin' dick on some other shit These niggas, they just tryna hate on me Take me out try to put date on me Gotta ride 'round with that thang on me Catch a nine slippin' by 43, word to me I'ma just keep goin' hard 'til it's dirt on me L Block 390, you heard of me? Chopper rips open like surgery I'm back from the dead, close the curtain, B All my niggas they get away Everybody gon' get away Shot em dead, Yesterday Everybody gonna pick away (?) Zombie walk, Everybody getting Zombie chalked I be coming through you, Zombie night Swept niggas in the Zombie park I be killing with them couple killers With them killer talking then we gotta talk We be coming with a couple choppers and them Killers talking then we gotta talk Chopper, Chopper, Chopper gotta talk Everybody gon get away Drive round' then get away Cops come we get away Pull up (inaudible) Then I sit away, Sit back and I read on it"
