api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/38115,Diddy - Dirty Money,Angels,https://genius.com/Diddy-dirty-money-angels-lyrics,http://api.genius.com/songs/38115,20th Anniversary Box Set,2009-11-03," (B.I.G.) Uh-huh... This that Dirty Money.. Uh-huh... (Uh..Uh..) It's that Dirty Money  [The Notorious B.I.G. - verse taken from ""My Downfall""] Uh, ain't no shook hands in Brook-land Army fatigue -my fatigue, the enemies Look man, you wanna see me locked up, shot up Moms crotched up over the casket, screamin BASTARD Cryin, know my friends is lyin Y'all know who killed 'em filled 'em with the lugars from they Rugers Or they Desert, dyin ain't the shit but it's pleasant Kinda quiet, watch my niggas bring the riot.. Uh, uh, uh... (It's that Dirty Money...)   I'm a photographer's dream Countin cream as my chain swing Mack 11 for the things that the days bring I'm after cheddar, dirty money, yeah I chase cream Patent leather like I'm Puffy in my Saleen I rock jewels like my niggas in the A-Team I'm outta space, can't you seem I am an al-ien? My wrist A-list, Audemar is ageless Bezel lit up like a billboard out in Vegas You can't be serious baby you know I'm on fiyah... Top 5, but can send you to the Most High Dope boy and that's even in the bowtie Oh boy, cause you know I got them close ties (All aboard!) The last train to Paris Wheels look like a Ferris, your jeweler should be embarrassed (hahaha!) Rick the Ruler my mula produce the carats (whaaaa?) Let's bow our heads, I gave you somethin to cherish (This That Dirty Money)   Came from heaven just to sing a song for you... To the rhythm of my love for you, and now it's beatin slow And you know, this the ennnnd of the road When I sing that slow song for you... And love was nothin but another gun for you ('nother gun for you..) And I would hide it in my helpless soul I'm not afraid to go down the road where we go I don't know, you can hear 'em callin, don't you? When the angels call like..   (Dawn) YOOOOOOOO-HOOO~! If you don't wanna stay you can GOOOOO-OHH... It seems love don't live here no more... The angels are flyin so loud, singin' to you... (Don't you hear them callin you?) He's the one you love... (cause I hear 'em callin me...) And he's the one you trust... (...like our time is almost through) Time is runnin out (There's nothin left to do) When they're callin you... When the angels call like.. (I answer)   Falling....for yooooou... I will tell the angels, ""No"" Let 'em turn back into stone I doooo... (I doo...) love yoooou... (love yoooou...) It's true.... (It's true...) Fire...climbing... We ignore the angels' call! They were warnings after all It's cool... if I'm.... With you.... When the angels call like...    [The Notorious B.I.G. - verse taken from ""My Downfall""] Uh, uh, uh Ain't no shook hands in Brook-land Army fatigue -my fatigue, the enemies Look man, you wanna see me locked up, shot up Moms crotched up over the casket, screamin BASTARD Cryin, know my friends is lyin Y'all know who killed 'em filled 'em with the lugars from they Rugers Or they Desert, dyin ain't the shit but it's pleasant Kinda quiet, watch my niggas bring the riot.. Uh, uh, uh... (It's that Dirty Money...)   When the angels call like..."
/songs/4069,Diddy - Dirty Money,Ass On The Floor,https://genius.com/Diddy-dirty-money-ass-on-the-floor-lyrics,http://api.genius.com/songs/4069,Love Love vs. Hate Love,2010-12-14," When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When-When you’re in the club, get your ass on the floor Them haters can’t tell you nothing Them haters can’t tell me nothing Them haters can’t tell you nothing When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When-When you’re in the club, get your ass on the floor Them haters can’t tell you nothing Them haters can’t tell me nothing Them haters can’t tell you nothing   You’re the love of my life But you hurt my heart twice Now I’m drunker than a muthafucker Trying to find my way back to your heart you muthafucker So I know, there’s a price, when your wrong When your drunker than a motherfucker Trying to find your way back to love you You motherfucker   Baby you know, just what to do I know you know the truth And we will never lose Theres no me without no you I give my soul to you   When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When-When you’re in the club, get your ass on the floor (I gave my soul to you) Them haters can’t tell you nothing Them haters can’t tell me nothing Them haters can’t tell you nothing (So give your soul to me)   So, you made, made me cry Don’t you hurt, hurt my pride Got me madder than a motherfucker Trying to fight my way back to your heart you motherfucker See, you're aching my brain, in your arms I feel sane Shit you know deep down, I will always love ya Trying to find your way back to my heart you motherfucker   Baby you know, you know just what to do I know you know the truth And we were never meant to lose Theres no me without no you I give my soul to you   When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When-When you’re in the club, get your ass on the floor (I gave my soul to you) Them haters can’t tell you nothing Them haters can’t tell me nothing Them haters can’t tell you nothing (So give your soul to me)   (Yo turn me up, I’mma make sure she can hear me) Yo, that love's gon get ya, muthafucker Smoke weed, listening to Sade I left my pain in Paris Why can’t you see shit my way You on that lonely highway My car’s still on that driveway Feels like I’m dying slowly Feels like what more can I say I made you face your fears I think we could have made it Thought I told you I love you Maybe we should have waited How could you ever doubt me When I stood by you proudly I would've gave my last breath Now you can’t breathe without me   Oh when you're in the club baby All you think about is your baby Oh when you're in the club baby All you think about is your baby Baby I want you, I need you to need me, I need you You want me, I want you to love me forever Baby I want you, I need you to need me, I need you You want me, I want you to love me forever   When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When you’re in the club, get your ass on the floor When-When you’re in the club, get your ass on the floor Them haters can’t tell you nothing Them haters can’t tell me nothing Them haters can’t tell you nothing No, no"
/songs/4294950,Diddy - Dirty Money,Can You Hear Me Now?,https://genius.com/Diddy-dirty-money-can-you-hear-me-now-lyrics,http://api.genius.com/songs/4294950,Last Train To Paris [Sessions],2011-02-14," Some things are best left unspoken Don't waste time with that talk Just keep that back in motion It ain’t that easy for me to get off But I can be your guilty pleasure Just make sure to put it down, down, down Yeah, I'm ready for whatever But you gotta make mama proud And every night you love for my affection And close the leap I guarantee to turn you out But you just point that thing in my direction And when I'm almost there I start making that sound   Can you hear me now? Am I getting closer? Can you hear me now? Well, if not then you’re supposed to Can you hear me now? Ah, I can hear you, baby I can see you, baby, ah, I can hear you, baby I can see you, baby, ah, I can hear you, baby I can see you, baby, can you hear me now?   I'm pretty sure that you noticed The swagger in my walk Just pay attention and focus Baby, you just gotta play your part I'm thinking you can get this treasure But you gotta dig deeper down, down, down When nobody love you better But you gonna make mama proud   Can you hear me now? 'Cause I can hear you Am I getting close? Getting closer Can you hear me now? Well, if not then you're supposed to Can you hear me now? Yeah, I can hear you, baby I can see you, baby Yeah, I can hear you, baby I can see you, baby, yeah, I can hear you, baby I can see you, baby, yeah, I can hear you, baby I can see you, baby Can you hear me now?   Can you hear me now? Am I getting close? Can you hear me now? Well, if not, then you're supposed to Can you hear me now? Yeah, I can hear you, baby I can see you, baby, yeah, I can hear you, baby I can see you, baby, yeah, I can hear you, baby I can see you, baby, yeah, I can hear you, baby I can see you, baby, can you hear me now?"
/songs/1255606,Diddy - Dirty Money,Change,https://genius.com/Diddy-dirty-money-change-lyrics,http://api.genius.com/songs/1255606,Last Train to Paris,2010-12-14,"You told me That you?d always be my love You showed me My love just wasn?t enough Now I?m on this train The tracks falling off of my brain It won?t be long Say that you love me again You know I?m always your friend So what you want babe I promise I?ll change I promise I?ll change Girl I promise I?ll change You said You would always be in my arms Girl that?s what you said You said that you would always be mine Now I?m on this train That?s falling off the edge And I?m afraid A toll is at the end And I promise I?ll change Said that I?ll change I know I told that I, I?ll change That fact that you don?t love me, love me Because I?m still the same The same The same The same I?m still the same The same When you left me on that train The fact is girl I was way over my head You gave me so much more I gave you so much less  Now I?m wishing you the best Cause I swore I would change, change I swore that I would change When you left me on that train You told me That you would always be my love You showed me My love just wasn?t enough Say that you love me again You know I?m always your friend So what you want babe I promise I?ll change I promise I?ll change Even though I promised you everything I am changed You would always be in my arms I promised you the same That you?ll always be mine But now I?m on that train That?s falling off the edge And I?m afraid But this time is still the end And I promised I?ll change I swear that I will change I promise I?ll change The fact is that you don?t love me, love me Because I?m still the same The same The same The same I?m still the same The same When you left me on that train"
/songs/2338,Diddy - Dirty Money,Coming Home,https://genius.com/Diddy-dirty-money-coming-home-lyrics,http://api.genius.com/songs/2338,Last Train to Paris,2010-11-21," I'm coming home, I'm coming home Tell the world I'm coming home Let the rain wash away All the pain of yesterday I know my kingdom awaits And they've forgiven my mistakes I'm coming home, I'm coming home Tell the world I'm coming   I'm back where I belong (yeah) I never felt so strong, man (I'm back, baby) I feel like there's nothing I can't try And if you feel me put your hands high (put your hands high) If you ever lost a light before, this one's for you (Baby, put your hands high) And you, the dreams are for you   I hear the ""Tears of a Clown,"" uh, I hate that song I always feel like they're talking to me, when it comes on (come on) Another day, another dawn Another Keisha, nice to meet ya, get the math, I'm gone What am I supposed to do when the club lights come on? It's easy to be Puff but it's harder to be Sean What if my twins ask why I ain't marry their mom? Damn, how do I respond? What if my son stares with a face like my own And says he wants to be like me when he's grown? Shit! But I ain't finished growing Another night, the inevitable prolongs Another day, another dawn Just tell Keisha and Teresa I'll be better in the morn' (I'll be better in the morn') Another lie that I carry on I need to get back to the place where I belong   I'm coming home, I'm coming home Tell the world that I'm coming home Let the rain wash away All the pain of yesterday I know my kingdom awaits And they've forgiven my mistakes I'm coming home, I'm coming home Tell the world I'm coming home   “A House Is Not a Home,” I hate this song Is a house really a home when your loved ones is gone? And niggas got the nerve to blame you for it And you know you woulda took the bullet if you saw it But you felt it, and still feel it And money can't make up for it or conceal it But you deal with it (deal with it), and you keep ballin' Pour out some liquor, playboy, and we keep ballin' (ballin') Baby, we been living in sin Cause we been really in love, but we been living as friends So you've been a guest in your own home It's time to make your house your home Pick up your phone, come on   I'm coming home, I'm coming home Tell the world that I'm coming home Let the rain wash away All the pain of yesterday I know my kingdom awaits And they've forgiven my mistakes I'm coming home, I'm coming home Tell the world I'm coming   “Ain’t No Stopping Us Now,” I love that song Whenever it comes on, it makes me feel strong I thought I told y'all that we won't stop Til we back cruisin through Harlem, these old blocks It's what made me, saved me, drove me crazy Drove me away, then embraced me Forgave me for all of my shortcomings Welcome to my homecoming Yeah, it's been a long time coming Lot of fights, lot of scars, lot of bottles Lot of cars, lot of ups, lot of downs Made it back, lost my dog (I miss you Big!) But here I stand (here I stand), a better man Thank you, Lord! Thank you all!   I'm coming home, I'm coming home Tell the world that I'm coming home Let the rain wash away All the pain of yesterday I know my kingdom awaits And they've forgiven my mistakes I'm coming home, I'm coming home Tell the world I'm coming"
/songs/722642,Diddy - Dirty Money,First Place Loser,https://genius.com/Diddy-dirty-money-first-place-loser-lyrics,http://api.genius.com/songs/722642,Last Train to Paris,2010-12-14,Save me This is too amazing Heart is beating lazy If I run babe will you chase me And make me stay in love Cause I run  Road run Slow up Love shot the gun I took off toward sun If you catch me I'm done You're chasing fire Hell of a race First place loser I can't believe your love got me  Take me Before my cool escapes me Love is not so easy Obstacles keep changing And I won't go slow If you don't win babe Bye bye I'm gone  Road run Slow up Love shot the gun I took off toward sun If you catch me I'm done You're chasing fire Hell of a race First place loser I can't believe your love got me  She came over She walked up to me And told me She was always on my time She was always on my mind Baby you'll get over The fear that's holding you now Can you hold me Oh please stay Girl don't go away  Boy I swear You're the only one The one that I need You're the only one That I'm breathing for The only one That got me running I won't stay  Road run Slow up Love shot the gun I took off toward sun If you catch me I'm done You're chasing fire Hell of a race First place loser I can't believe your love got me  Catch me if you can I'm running But I'm going miles away You got the chance But you're chasing fire Hell of a race First place loser I can't believe your love got me
/songs/4294943,Diddy - Dirty Money,First Time In Paris,https://genius.com/Diddy-dirty-money-first-time-in-paris-lyrics,http://api.genius.com/songs/4294943,Last Train To Paris [Sessions],2011-02-14," It's sad but true I know your loving's mine to lose And I'm afraid to make you choose I inherited a heart that was black and blue It's me and you   It's our first time in Paris And I know you been here a million times, why you wanna make me jealous Even though you're telling me, baby This ain't the same I can't tell From the arguing and the fighting every day It feels like you're missing someone I know I said the past didn't matter But when you bring up the past, babe I just get madder You try to refrain But in the end, you just compare us I try to brush it off, but underneath it all, I'm embarrassed Embarrassed   Cause I'll never have your love And we'll never have that love I'm just here 'til you make up I'm just here 'til we break up   It's sad but true I know your loving's mine to lose And I'm afraid to make you choose I inherited a heart that was black and blue That's me and you   It's our first time in Paris And I know you been here a million times, why you wanna make me jealous Even though you're telling me, baby This ain't the same I can't tell From the arguing and the fighting every day It feels like you're missing someone I know I said the past didn't matter But when you bring up the past, babe I just get madder You try to refrain But in the end, you just compare us I try to brush it off, but underneath it all, I'm embarrassed It's our first time in Paris   Cause I'll never have your love And we'll never have that love I'm just here 'til you make up I'm just here 'til we break up, 'til we break up"
/songs/4294795,Diddy - Dirty Money,Hair Down,https://genius.com/Diddy-dirty-money-hair-down-lyrics,http://api.genius.com/songs/4294795,None,None,"Dawn: I like how your body moves to the tempo Keep it consistent, come on baby let's go You turning Me on Hook Diddy: I’ve been sitting here eyeing you I've got something to propose What you think about a rendezvous, We can do whatever You want You turning me on  Chorus: I want to see you hair down, hair down (Repeat 2x's) And when you pop up in that jet black Nobody’s business you should let that go And that ponytail, Don't forget that Just loosen up and let it down, down  Verse 2 Diddy: You look so exotic, Tell me what your Next wish is Judging from your skin complextion I guess that your Nameless Your turning me on  Hook Diddy: I've been sitting here eyeing you I've got something to propose What you think about A rendezvous, You can do whatever you want You turning Me on  Chorus: I want to see you hair down Hair down (Repeat 2x's) And when you pop up in that Jet black Nobody's business you should let that go And that ponytail, Don't forget that Just loosen up and Let it down, down  Verse 3 Diddy: Backwards and forth we goin Circles we dizzy from flowin Me, you, and my dream come true Your flower I am watering by the hour Two types of candy one sweet one sour Come feel this power File in my unforgivable sense of entry While you live a few hours In my playground sliding up and down my tower Our bond,its three of a kind And one that could last forever So it betta be right cuz it can't be wrong when you Explode from my pleasure forever ever, forever ever  Chorus: I want to see you hair down Hair down (Repeat 2x’s) And when you pop up in that Jet black Nobody’s business you should let that go And that ponytail, Don't forget that Just loosen up and Let it down, down  Dawn: Hair Down(Repeat 3 x’s)"
/songs/1259998,Diddy - Dirty Money,Hate You Now,https://genius.com/Diddy-dirty-money-hate-you-now-lyrics,http://api.genius.com/songs/1259998,Last Train to Paris,2011-03-15,"Verse 1  I don't even know about damn redemption Cause I still hear somethin', whisperin Tryna tell me somethin' bout you Don't know how to tell him I'm through I gave you my sanity You gave me a chance to live You tellin' me I don't need ya I don't believe ya Cause I don't need nobody like you  Chorus Don't go, don't go Don't want you, I hate you Don't go, don't go Don't want you, I hate you Don't go, don't go Don't want you, I hate you Don't go, don't go Don't go, I hate you   Turn my wings and leap to the sky I smoke my reefa gettin' high You know without you I would die You clip my wings, now I can't fly My momma told me never cry She never told me to say bye I cannot let you go, I tried I hate you, girl you know i lied I hate you, girl you know i lied  Verse 2  Boy, you're gonna have to use your senses Just to figure out the distance, difference How you wanna love me, you choose It's simple, why ya lookin confused? I gave you my sanity I gave you a chance to live Tellin' me I don't need ya I don't believe ya Cause I don't need nobody like you  Chorus  Don't go, don't go Don't want you, I hate you Don't go, don't go Don't want you, I hate you Don't go, don't go Don't want you, I hate you Don't go, don't go Don't go, I hate you  Bridge  Leave the mothaf*ckin' bridge for me You just let me bleed You just let me leave Now I cannot see Cause when I cry, I cry tears of blood You the one I love You the one I love You the one I trust And you said you can't f*ck with me I can't f*ck with you We can't f*ck with we And we cannot see I hate you, girl you know I lied I hate you, girl you know I lied  Outro I can't stand you, baby please don't go I'd rather hate you than see you out the door Baby, ain't no love left here for you  If that's what I'm tellin' you I hate lovin' you I don't wanna, don't wanna Be without you  Why not tell the truth I hate lovin' you I don't wanna, don't wanna Be without you I let you control my heart Baby, but you go to far [Don't want you, I hate you] Don't go, don't go Don't want you, I hate you"
/songs/2179459,Diddy - Dirty Money,"Hello, Good Morning",https://genius.com/Diddy-dirty-money-hello-good-morning-lyrics,http://api.genius.com/songs/2179459,Last Train to Paris,2011-03-15," Yeah, yeah Yeah, yeah  [Pre-Chorus 1: Diddy & Dirty Money] Hello, good morning (Let's go, let's ride) Hello (Yeah, come on), good morning Hello, good morning Know you been wai- -tin for it 'Cause I seen you watching So let's go, let's get it poppin'   'Cause I been leaning on the bar, looking cleaner than the Tsar And these broads won't give me my props Twenty-five on the bag, I be stunting on they ass And ya mad cause the bitch won't stop Got your boyfriend feeling like a groupie (You know, you know, you know, we on that) Still life but it's looking like a movie... (You know, you know, you know, we on that) And everybody know who the truth be (You know, you know, you know, we on that) I blow cause I'm blowing on that oo-wee!! (You know, you know, you know, we on that) Hello  [Verse 1: T.I.] Hello, good morning, how you doing? What the move is? Of ""Welcome to the Future,"" I'm the Cap'n of the Cool Kids The revolution's never been televised Great booty, better thighs, I ain't wanna tell her bye First I tell her hi, then I give her one and let her fly Never tell a lie, tonight you couldn't find a better guy King shit, flyer than anyone you get seen with Gangsta distinguished, cool as a penguin Got a team of 'em on the field, finna bring wit' G5 waiting, fly away at my convenience You seen Tip, checking in a 5-star suite With some 5-star freaks, getting high all week (Let's go) Catch me in the week, I was up all night when y'all sleep In a fast car, superbad broads, back seat That's me, see I'm nothing nice, fuck a couple nights With the moon say goodbye and the sun greeting us like    Hello, good morning (Let's go, let's ride) Hello (Yeah, come on), good morning Hello, good evenin' You blow, you fiendin' 'Cause you know that you really need it And I'm the one that you wanna be with But right now, baby you're dreaming (Wake up and turn the lights on)   'Cause I been leaning on the bar, looking cleaner than the Tsar And these broads won't give me my props Twenty-five on the bag, I be stunting on they ass And ya mad cause the bitch won't stop Got your boyfriend feeling like a groupie (You know, you know, you know, we on that) Still life but it's looking like a movie... (You know, you know, you know, we on that) And everybody know who the truth be (You know, you know, you know, we on that) I blow cause I'm blowing on that oo-wee!! (You know, you know, you know, we on that) Hello   Hello (Let's go), good morning (Let's work) Hello (Let's go), good morning (Let's work) Hello   Ayo, Ayo, turn me up a lil' bit more I don't think they can hear me Check this out, Bad Boy, bitch! Let's work, c'mon Let's work, non-stop, let's rock Make you feel good too, let's work Don't stop I see you, let's work It's that Dirty Money   Uh, how fly is he? Yo' baby momma Cry for Me like Jodeci (let's go) So how you not notice me? Pull up to the club in the coldest V Uh, literally cold Little did he know how that nigga Diddy flow How that nigga Diddy go So hard like a crowbar, still getting dough   Whoa whoa, whoa... Hahaha (Turn the bass up!) Hey, I like this (Come on, can you feel it?) Can you feel it? Nothing can save ya Uh, it's that Dirty Money (Turn the lights on!)   Got your boyfriend feeling like a groupie (You know, you know, you know, we on that) Still life but it's looking like a movie... (You know, you know, you know, we on that) And everybody know who the truth be (You know, you know, you know, we on that) I blow cause I'm blowing on that oo-wee!! (You know, you know, you know, we on that) Hello   Hello, good morning (Let's go, let's ride) Hello (Yeah, c'mon), good morning Hello Hello Hello Hello"
