api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/423913,Disturbed,3,https://genius.com/Disturbed-3-lyrics,http://api.genius.com/songs/423913,The Lost Children,2005-09-20," I often wonder why I sit and wait to die What have I done to justify the sentence they gave? Too many hours spent in darkness questioning... ""How and why""?   I can't remember many moments in the light This retribution has defiled me to no end An execution without merit looms ahead Tell me why! I was a boy who had to live his own way I never fit into the model they had designed I chose a path less taken I stood with others who had often felt the same We got stares from passersby Our dark attire seemed to frighten people away And when the three young boys died They pointed fingers and entangled us in a lie! No hope in sight   I sit here terrified! Can't someone try to bring the truth to light? Won't anybody open up their eyes? Before the three of us have lost our lives!   Why was everybody so damn afraid? They blamed the devil for the heinousness of the crime And to justify their own faith We were labeled pawns of Satan for a time The three of us were attacked and disgraced For many hours we were questioned and someone lied One of us couldn't take it His simple manner was manipulated in kind Fear made him lie   Now I am terrified! Can't someone try to bring the truth to light? Won't anybody open up their eyes? Before the three of us have lost our lives! And why? Can't anybody see through their disguise?! Only believe we didn't take their lives! And now the three of us have lost our lives  "
/songs/3903976,Disturbed,Already Gone,https://genius.com/Disturbed-already-gone-lyrics,http://api.genius.com/songs/3903976,Evolution,2018-10-18," Now, we have come Far too many times To celebrate this death That soon some will forget And we mourned Far too many times To celebrate this death I'm not ready for this yet   Is she already gone? Can we call her back again? Is she already gone? Will she find me in the end?   Pain left me numb Far too many times To celebrate this death I never will forget And we spoke Oh so many times And words we never said Are the ones I most regret   Is he already gone? Can we call him back again? Is he already gone? Will I find him in the end?   Are they already gone? Can we call them back again? Are they already gone? Will I find them in the end?   Are they already gone? Are they already gone? Are they already gone? Will they find me in the end? Will they find me in the end?"
/songs/422963,Disturbed,Another Way to Die,https://genius.com/Disturbed-another-way-to-die-lyrics,http://api.genius.com/songs/422963,Asylum ,2010-06-14," The indulgence of our lives has cast a shadow on our world Our devotion to our appetites betrayed us all An apocalyptic plight More destruction will unfold Mother Earth will show her darker side and take her toll It's just another way to die There can be no other reason why You know we should have seen it coming Consequences we cannot deny will be revealed in time Glaciers melt as we pollute the sky A sign of devastation coming We don’t need another way to die Can we repent in time?   The Time bomb is ticking and no one is listening Our future is fading Is there any hope we’ll survive?   Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?   Greed and hunger led to our demise A path I can’t believe we followed Black agenda’s rooted in a lie Will we repent in time? Species fall before our very eyes A world that they cannot survive in left them with another way to die Are we dead inside?   The Time bomb is ticking and no one is listening Our future is fading Is there any hope we’ll survive?   x2 Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?  Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?   Can we repent in time? It's just another way to die Can we repent in time?"
/songs/3903969,Disturbed,A Reason to Fight,https://genius.com/Disturbed-a-reason-to-fight-lyrics,http://api.genius.com/songs/3903969,Evolution,2018-09-21," The image in your eyes Reflecting the pain that has taken you I hear it in your voice, so ridden with shame From what's ailing you   I won't give up, so don't give in You've fallen down, but you can rise again So don't give up   When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight   Lost in your world of lies I find it so hard to believe in you Can it be real this time Or just a part of this game that we're playing through?   I won't give up, so don't give in You've fallen down, but you will rise again I won't give up   When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight   Don't let it take your soul Look at me, take control We're going to fight this war This is nothing worth dying for   Are you ready to begin? This is a battle that we are gonna win   When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight   I'll be your reason to fight Give you a reason to fight"
/songs/3903534,Disturbed,Are You Ready,https://genius.com/Disturbed-are-you-ready-lyrics,http://api.genius.com/songs/3903534,Evolution,2018-08-16," Are you ready? Get up, get up Get up, get up Get up, get up Get up, get up Get up, get up Get up, get up   Well, are you ready now for the revolution? For too long your power has been taken away, it's been taken away Does your heart feel heavy now? Savor the solution Take those mental shackles off and throw them away You've got to get them out of your mind Don't you let their vision leave you blind   Moving steady now, it's a revelation For so long your focus has been taken away, now you're breaking away They may think they know you, but here's an education No, they can't control you once you've broken away They're done patrolling your mind When they're searching for you, they will find A force they aren't ready for   Are you ready? They aren't ready for you to be strong Are you ready? They aren't ready for you to prove them wrong Are you ready? They aren't ready for you to be turned into someone who cannot be preyed upon   That's enough already now, you don't wanna take it All your reservations have been taken away, they've been taken away So you think you're ready now for the revolution? Yeah, they can't control you once you've broken away You've got to get them out of your mind When they stand before you they will find A force they aren't ready for   Are you ready? They aren't ready for you to be strong Are you ready? They aren't ready for you to prove them wrong Are you ready? They aren't ready for you to be turned into someone who cannot be preyed upon Are you ready?   You've got to get them out of your mind When they stand before you, they will find A force they aren't ready for   Are you ready? They aren't ready for you to be strong Are you ready? They aren't ready for you to prove them wrong Are you ready? They aren't ready for you to be turned into someone who cannot be preyed upon Are you ready? They aren't ready for us to be strong Are you ready? They aren't ready for us to prove them wrong Are you ready? Let me know you're ready to be turned into people who cannot be preyed upon   Are you ready? Are you ready? Are you ready? We cannot be preyed upon Are you ready? Are you ready? Are you ready?"
/songs/422959,Disturbed,Asylum,https://genius.com/Disturbed-asylum-lyrics,http://api.genius.com/songs/422959,Asylum ,2010-08-31," Release me! Rah!   No remnants were ever found of it Feeling the hot bile with every fake smile Though no evidence was ever found It never went away, completely  I try to hide from the unholy sound of it Another day gone, another night's dawn Dark forces pull me underground They never went away, completely   How can I feel this empty? I will not recover, this time This loneliness is killing me, ah!   Will I never know peace of mind, again? I don't believe it, I can't achieve it I think it all is just another sign That never went away, completely   Terror is coursing in me Dreading the final moments When I have to dream And feel you die   In asylum (I live a lie) Don't you know I'm in love with you and I wasn't ready For asylum (Relive a lie) To let go, now it's dragging me into your grave  Your asylum (Forgive the lie) Overcome by the feeling That I won't get to join you, in time For the loneliness is killing me, ah!   Death's images are all around, again They're right behind me, they're going to find me Judgment for the immortal sin That had enveloped me, completely, ah!  I know I'll never know a peaceful night, again Afraid they'll hear me, they don't fear me Punishment for the immoral crime The debt was never paid, completely   Terror is coursing in me (Death inside of me, keeps a diligent watch on everything) Dreading the final moments (Keeps a terrible hold on my belief) When I have to dream (Just waiting for the moment when I) And feel you die   In asylum (I live a lie) Don't you know I'm in love with you and I wasn't ready For asylum (Relive a lie) To let go, now it's dragging me into your grave  Your asylum (Forgive the lie) Overcome by the feeling That I won't get to join you, in time For the loneliness is killing me, ah!   In the end, there will be no suffering (More suffering) In the end, you will find out everything (Not anything) In the end, you may question your belief (What belief) In the end, you will realize someday, how you were deceived  This has gone on too long (Too long) No more demonic dreams Destroyer, come tonight Because her memory is killing me   In asylum (I live a lie) I let go, now it's dragging me into your grave For asylum (Relive the lie) Overcome by the feeling That I won't get to join you, in time (Without you) This world is not fulfilling me, ah!   Don't think I live in asylum (I live a lie) Don't want to live in asylum (I'll live a lie) Don't think I live in asylum (I live a lie)"
/songs/422849,Disturbed,Avarice,https://genius.com/Disturbed-avarice-lyrics,http://api.genius.com/songs/422849,Ten Thousand Fists,2005-09-20, Politics and evil All one in the same Satan hides behind a different name   Take these chains away Free my hands from bondage Can't explain away Avarice will kill you in time   Violent upheaval Cities drenched in flame Wickedness we know we can contain   Who will we murder now See what we are becoming An onyx veil that filters out the light I'll savor this anger My hate makes me stronger Free my hands from bondage   Take these chains away Running from destruction Avarice will kill you in time
/songs/422602,Disturbed,Awaken,https://genius.com/Disturbed-awaken-lyrics,http://api.genius.com/songs/422602,Believe,2002-01-01," Stripped of life, alone In the midst of something that I Want to play with your evil inside Wanting, letting go, of what never could be again Lost and alone Imprisoned now inside of your mind With the way you tried To destroy me again You were waiting and living for no one With the way you tried To completely refuse all your life   Feed on your nothing You'll never live up to me   Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I wanna live with the lie Feed on your nothing And you'll never live up to me   Awaken you, oh no Can't live up to me I've striken you Feed on your nothing and you'll never live up to me  Stripped of life, alone In the midst of something that I Want to play with your evil inside Wanting, letting go, of what never could be again Lost and alone Imprisoned now inside your mind With the way you tried To destroy me again You were waiting and living for no one With the way you tried To completely refuse all your life   Feed on your nothing You'll never live up to me   Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I wanna live with the lie Feed on your nothing And you'll never live up to me Awaken you, oh no Can't live up to me I've stricken you Can't live up to me   There isn't a thing that I can do Watching the whole thing just wash away Making me wrong There isn't a thing that I can do Watching the whole thing just wash away Making me wrong Making you strong   Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I wanna live with the lie Feed on your nothing And you'll never live up to me Ooh can't live up to me, yeah Feed on your nothing and you'll never live up to me"
/songs/423058,Disturbed,A Welcome Burden,https://genius.com/Disturbed-a-welcome-burden-lyrics,http://api.genius.com/songs/423058,The Sickness,2010-08-31," Shout!   Heavy! You want it heavy! Welcome to my world, feel the weight of it grinding down and Heavy! I want it heavy! Welcome to my world, feel the weight of it grinding down again   Gather your pathetic masses and bring them to me To a world devoid of light To another time, to another place And let the broken ones taste my misery Rip away the disguise and you will realize that you find The truth is sickening! We don't need to change that, really I kind of like it ugly! Leave it! Make it! Binding! Seething! Blinding! Screaming!     The race of the Mother Culture is thickening! The rape of the Mother Culture is nearing! The race of the Mother Culture is sickening! The rape of the Mother is the loving I need Bleeding now - 1! 2! 3! 4!   Heavy! You want it heavy! Welcome to my world, grinding down and Heavy! I want it heavy! Feel the weight of the grind and Heavy! You want it heavy!"
/songs/1988105,Disturbed,Baba O'Riley,https://genius.com/Disturbed-baba-oriley-lyrics,http://api.genius.com/songs/1988105,None,2018-10-12,"Out here in the fields I fight for my meals I get my back into my living  I don't need to fight To prove I'm right I don't need to be forgiven Yeah,yeah,yeah,yeah,yeah  Don't cry Don't raise your eye It's only teenage wasteland  Sally, take my hand We'll travel south cross land Put out the fire And don't look past my shoulder  The exodus is here The happy ones are near Let's get together Before we get much older  Teenage wasteland It's only teenage wasteland Teenage wasteland Oh, yeah Its only teenage wasteland They're all wasted!"
/songs/260602,Disturbed,Believe,https://genius.com/Disturbed-believe-lyrics,http://api.genius.com/songs/260602,Believe,2002-09-17," Believe, when you lie You will never need to Recognize yourself to deceive To remove all chance of doubt And be received with your lie The deception is complete When you concede and decide To reject your lives sacrificed to me   Penance can’t absolve your sin Into me, penance can’t absolve your sin   All your belief cannot absolve your sin All your belief cannot absolve your sin   Believe, when you lie You will never need to recognize The source of deceit To renew your faith in God You must believe in your lie The redemption is complete When you conceive and decline To release your lives sacrificed to me   Penance can’t absolve your sin Into me, penance can’t absolve your sin   All your belief cannot absolve your sin All your belief cannot absolve your sin   Reap your life like you want to recognize All you’ve come to Reap your life like you want to recognize All you’ve come to  Reap your life veiled in shadow Recognize faces of the crucified I can hear their screams, tonight Ever haunting me  Burn your lie   Into me, penance can’t absolve your sin Into me, penance can’t absolve your sin   All your belief cannot absolve your sin All your belief cannot absolve your sin All your belief cannot absolve your sin All your belief cannot absolve your sin"
/songs/422655,Disturbed,Bound,https://genius.com/Disturbed-bound-lyrics,http://api.genius.com/songs/422655,Believe,2002-09-17," Ready Darkness cover me   Oh, I'm not ready to die, girl Because of what you don't tell me I'm not ready to walk inside of where you're taking me Oh, I'm not ready to die, girl Because of what you don't tell me I'm not willing to compromise the man I want to be   Think you're a little bit closer to changing me You're never winning me over you're wasting time Think you're a little bit closer to changing me You're never winning me over you're wasting time, yeah   Leave me be   Oh, I'm not ready to die, girl Because of what you don't tell me I'm never going to tow the line of your conformity Oh, I'm not ready to die, girl Because of what you don't tell me I'm not ready to leave the realm of anonymity   Think you're a little bit closer to changing me You're never winning me over you're wasting time Think you're a little bit closer to changing me You're never winning me over you're wasting time, yeah   Wasting time, yeah Get away from me   Ch, ha Ch, ha Ch, ha Ch, ready   Think you're a little bit closer to changing me You're never winning me over you're wasting time Think you're a little bit closer to changing me You're never winning me over you're wasting time, yeah   You're wasting time, yeah You're wasting time, yeah You're wasting time, yeah You're wasting time, yeah"
/songs/422648,Disturbed,Breathe,https://genius.com/Disturbed-breathe-lyrics,http://api.genius.com/songs/422648,Believe,2002-09-17,"You will release your life Forgetting what's forsaken The reason why You are alone again You will believe the lie Judging from what you've taken You breathe, alive You are alone again  From the heart of darkness You call to me Spirit raging on There is nothing I can do For you are next to no one  You will release your life Joining with the god-damned world Of the dead and the lonely You'll never leave alive Now do you think you're too damn good For the killing kind  You will release your life Forgetting what's forsaken The reason why You are alone again You will begin to cry Hearing the silence breaking You breathe, alive But you are alone again  From the heart of darkness You call to me Spirit raging on There is nothing I can do For you are next to no one  You will release your life Joining with the god damned world of the dead and the lonely You'll never leave alive Now do you think you're too damn good for the killing kind  You will release your life Joining with the god damned world of the dead and the lonely You'll never leave alive Now do you think you're too damn good for the killing kind  You will release your life Forgetting what's forsaken You breathe, alive You're alone again  You will release your life Joining with the god damned world of the dead and the lonely You'll never leave alive Now do you think you're too damn good for the killing kind  You will release your life Joining with the god damned world of the dead and the lonely You'll never leave alive Now do you think you're too damn good for the killing kind  Nothing I can do Nothing I can do"
/songs/422580,Disturbed,Conflict,https://genius.com/Disturbed-conflict-lyrics,http://api.genius.com/songs/422580,The Sickness,2000-03-07," Here you are, enemy You are my hated enemy Here I am, enemy Number one rated enemy I'm a labelled, enemy I am your mortal enemy My actions, enemy Make me your bitter enemy   All the world around, enemy (aaoo, aaoo) They're tearing up the ground, enemy (aaoo, aaoo) They're drawn in by the sound Enemy, enemy I must eliminate my enemy (aaoo, aaoo) Enemy (aaoo, aaoo) Enemy (aaoo, aaoo) Enemy, enemy I must eliminate my enemy   Your people, enemy My people's hated enemy What are you, enemy Though a created enemy Terminate the, enemy Eradicate the hated enemy I am an, enemy My very greatest enemy   All the world around enemy (aaoo, aaoo) They're tearing up the ground enemy (aaoo, aaoo) They're drawn in by the sound Enemy, enemy I must eliminate my enemy (aaoo, aaoo) Enemy (aaoo, aaoo) Enemy (aaoo, aaoo) Enemy, enemy I must eliminate my enemy   You try to tell me that you love life Then find another way to kill life  You try to tell me that you love life Then find another way to kill life  You try to tell me you love life Then find another way to kill life  You try to tell me that you love life Then find another way to kill   Wanting, love life Needing, kill life Wanting, love life Needing, kill life Enemy Enemy Enemy Enemy Enemy Enemy Enemy Enemy Enemy  You try to tell me that you love life (enemy) Then find another way to kill life (enemy)  You try to tell me that you love life (enemy) Then find another way to kill (enemy)  Enemy Enemy Enemy Enemy"
/songs/422918,Disturbed,Criminal,https://genius.com/Disturbed-criminal-lyrics,http://api.genius.com/songs/422918,Indestructible,2008-09-29," Malevolent criminal, I When the vision paints my mind Cross the invisible line And you'll be paid in kind   Criminal The suffering It makes me think like a Criminal The suffering When we're alone Criminal The suffering It makes me feel like a Criminal The suffering When we're alone   Typical enough for me That I burn inside in agony What power will enable me To bury my vision   The hunger coming over me As I learn to hide the agony To make a final remedy To close the door once and for all   In a world that I don't want to know With a message that I never want to send To be free from all of this I want you to quicken my end Don't tell me I can not go With a wound that refuses to mend Deliver me from all of this I want you to quicken my end   (it seems the whole experience is) Terrible and crippling The pain is much more than Physical beyond belief When we're alone   Despair has fallen over me No way to hide the agony Embracing my calamity To save myself once and for all   Now you want to know You want a name You want to call me motherfucker Now you want to know You want a name You want to say it doesn't matter   Now you want it know Now you want a name Now you want a place Now you want a time Now you want it all   Now, now you want to know, now you want a name Now you want a place, now you want a time Now you want to know   Don't say that it isn't so I'm on a path that you'll never comprehend Set me free from all of this I need you to quicken my end"
/songs/425837,Disturbed,Crucified,https://genius.com/Disturbed-crucified-lyrics,http://api.genius.com/songs/425837,Asylum ,2010-08-31, When others left before I could bear to turn away Now that it’s come to this Is there nothing left to say? I’ve never known before Such exquisite suffering As I watched you walk away I gave into panicking I can’t believe that This is really happening Am I really lost again? Desperation drives me insane   I will focus all the pain Right into your heart Till it makes you blind Till the faces of your former world Have fallen from your sight Till you’re mine Until the voice of doubt no longer Dominates your mind I’m crucified   Cold and unwhole again Crying out and questioning Will I ever love again? What’s the point of anything? It takes a toll again This is where the fun begins Visions haunt me through the night Now I’m dying for your sins I can’t believe that If you look me in the face You can say there’s nothing left How the silence drives me insane   I will focus all the pain Right into your heart Till it makes you blind Till the faces of your former world Have fallen from your sight Till you’re mine Until the voice of doubt no longer Dominates your mind I’m crucified   I cannot feel anything Anger I've been harboring You've nailed me to the cross Upon it I will remain I can’t feel anything Rage inside is festering You've nailed me to the cross Upon it I will remain   I will focus all the pain Right into your heart Till it makes you blind Till the faces of your former world Have fallen from your sight Till you’re mine Until the voice of doubt no longer Dominates your mind I’m crucified   Till it makes you blind Till the faces of your former world Have fallen from your sight Till you’re mine Until the voice of doubt no longer Dominates your mind I’m crucified
/songs/422860,Disturbed,Darkness,https://genius.com/Disturbed-darkness-lyrics,http://api.genius.com/songs/422860,Believe,2002-09-17," Don't turn away I pray you've heard the words I've spoken Dare to believe over one last time   Then I'll let the darkness cover me Deny everything Slowly walk away To breathe again, on my own   Carry me away I need your strength to get me through this Dare to believe over one last time   Then I'll let the darkness cover me Deny everything Slowly walk away To breathe again, on my own On my own, on my own On my own, on my own   Dare to believe Over one last time   Then I'll let the darkness cover me Deny everything Slowly walk away To breathe again, on my own On my own, on my own"
