api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2819410,DJ Snake,4 Life,https://genius.com/Dj-snake-4-life-lyrics,http://api.genius.com/songs/2819410,Encore,2016-08-05," I came from nothing, ain't that something? Look what I've been through And now I'm out here, feel like my year Got all my friends through 'Cause I want this life for life, for life This life for life, for life 'Cause I want this life for life, for life This life for life, for life 'Cause I want it for life   It's feeding all night Look at my ride, look at my life Waking the night Dreamed of this life, I'll be so patient Waited all night You know now I'm flexing, I'm fucking these hoes Rollie is finally Rolls Touring the club and I'm killing these shows And I'm stacking, I'm stacking these hoes Bad bitch into my arm and she ain't never tell me no I just hit the crib with a brand new bitch They both gon' find that pole 'Cause they all down to go, they been kissin' on the low They been sniffin' on that blow when I never trust a hoe 'Cause everybody wanna get paid, I ain't no free ride If I come inside, it's the best day of her life and   I came from nothing, ain't that something? Look what I've been through And now I'm out here, feel like my year Got all my friends through 'Cause I want this life for life, for life This life for life, for life 'Cause I want this life for life, for life This life for life, for life 'Cause I want it for life   My whole squad real G's (get it, get it), pour it up Bring all my weed (get it, get it), roll it up The whole world mine (get it, get it) Yeah, I know the whole world mine (get it, yeah, I know) Feel mad rich, never sold my soul When I told my pops that I copped that Rove And I told my mom to forget that stove And to fuck that job cause I got that, that dough Yeah, you know I got that money to blow Yeah, you know that's how it goes I puts it down (yeah), I puts it down (whoo!) I don't fuck around, I don't fuck around Had no time for chillin' or sippin', was rappin' and singin' I came up on my own, now I got all that money callin' 'cause   I came from nothing, ain't that something? Look what I've been through And now I'm out here, feel like my year Got all my friends through 'Cause I want this life for life, for life This life for life, for life 'Cause I want this life for life, for life This life for life, for life 'Cause I want it for life"
/songs/3225691,DJ Snake,A Different Way,https://genius.com/Dj-snake-a-different-way-lyrics,http://api.genius.com/songs/3225691,DJS2*,2017-09-21," Could you believe? I could be different I'll be the difference, I'll lift you high And I understand your hesitation My reputation, it's no surprise   So let me redefine you And you can see the tide move Just like tears in the eyes do And when you're feeling alone Oh, baby, I'll be right here Between the sea and silence So breathe easy my dear You can find sunshine in the rain   I will come running when you call my name Even a broken heart can beat again Forget about the one who caused you pain I swear I'll love you in a different way     I know that love is so unforgiving You've been a victim too many times And I'll be the thread, hold you together I'll be forever, will you be mine?   So let me redefine you And you can see the tide move Just like tears in the eyes do And when you're feeling alone Oh, baby, I'll be right here Between the sea and silence So breathe easy my dear You can find sunshine in the rain   I will come running when you call my name Even a broken heart can beat again Forget about the one who caused you pain I swear I'll love you in a different way   Hey, hey, hey I swear I'll love you in a different way Hey, hey, hey I swear I'll love you in a different way  "
/songs/3280505,DJ Snake,Broken Summer,https://genius.com/Dj-snake-broken-summer-lyrics,http://api.genius.com/songs/3280505,DJS2*,2017-10-23," Lover of mine, how have you been? 'Cause it's been a while since the summer began Where did it go? Done in a flash Something on my mind keeps on bringing me back To us, back to us 'Cause I feel like someone else all by myself, all by myself   Pulling on my sweatshirt, looking at your picture 'Cause that broken summer's hanging over me Drowning in the sunshine, and I spend a long time Thinking girl, you got the best of me Hopping on a flight, then make it back to Austin Finding I get lost in all them Autumn leaves I just walk around now, stranger in my hometown Broken summer's hanging over me   Broken summer, broken summer Broken summer, broken summer   Lover of mine, what would it take? Could I walk the miles off of all our mistakes? I'm getting tired, too far away Though I keep on trying, it keeps taking me back To us, back to us 'Cause I feel like someone else, all by myself, all by myself   Pulling on my sweatshirt, looking at your picture 'Cause that broken summer's hanging over me Drowning in the sunshine, and I spend a long time Thinking girl, you got the best of me Hopping on a flight, then make it back to Austin Finding I get lost in all them Autumn leaves I just walk around now, stranger in my hometown Broken summer's hanging over me   Broken summer, broken summer Broken summer, broken summer Broken summer, broken summer Broken summer, broken summer   Back to us 'Cause I'm bringing me back to us Bringing me back to us Keeps on bringing me back to us Back to us 'Cause I'm bringing me back to us Bringing me back to us Keeps on bringing me back, back   Broken summer, broken summer Broken summer, broken summer"
/songs/2819411,DJ Snake,"Future, Pt. 2",https://genius.com/Dj-snake-future-pt-2-lyrics,http://api.genius.com/songs/2819411,Encore,2016-08-04," All night long, all night long   My future looks brighter in your eyes So if I ever realize, I don't blame the fire, you're mine And we go all night long, all night long And sometimes through the day My future looks brighter in your eyes     I'm lookin' forward, you're lookin' back Help me pick out our next adventure on the map Let's take it all in, let's catch a vibe You give me feelings that I only reach when high So bae, I'll make it easy, I'll make you mine A little trouble in my heart, it makes you glad You got me always, champagne and wine But even when I sleep, somehow you rule my mind Oh lately   My future looks brighter in your eyes So if I ever realize, I don't blame the fire, you're mine And we go all night long, all night long And sometimes through the day My future looks brighter in your eyes     Oh, the start, you'll be there in the end And take me back again You're the perfect end All night... All night..."
/songs/2819211,DJ Snake,Here Comes the Night,https://genius.com/Dj-snake-here-comes-the-night-lyrics,http://api.genius.com/songs/2819211,Encore,2016-08-05,"[Verse 1: Mr. Hudson] There's no light, no light in the sky And it gets so cold when she leaves my side Maybe she's the light, the light in my eyes Cause everything looks old and tired when she leaves my side  [Pre-Chorus: Mr. Hudson] I know, I know, I know, I know you got to leave So I'll bite my tongue until that fucker bleeds Yeah, I know, I know, I know, I can be alright   But see, you set my sun, so here comes the night Here comes the night, here comes the night Yeah, I know, I know, I know, I can be alright Here comes the night, here comes the Here comes the night Here comes the night Here comes the night  [Verse 2: Mr. Hudson] There's no light, no light in the sky And it gets so cold when she leaves my side Maybe she's the light, the light in my eyes Cause everything looks old and tired when she leaves my side  [Pre-Chorus: Mr. Hudson] I know, I know, I know, I know you got to leave So I'll bite my tongue until that fucker bleeds Yeah, I know, I know, I know, I can be alright   But see, you set my sun, so here comes the night Here comes the night, here comes the night Yeah, I know, I know, I know, I can be alright Here comes the night, here comes the Here comes the night Here comes the night Here comes the night   I know, I know, I know, I know you got to leave"
/songs/3532628,DJ Snake,Magenta Riddim,https://genius.com/Dj-snake-magenta-riddim-lyrics,http://api.genius.com/songs/3532628,DJS2*,2018-02-23," Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Bamb bamb bamb di gi di da dam (Whoo)   Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Bamb bamb bamb di gi di da dam (Whoo)   Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Bamb bamb bamb di gi di da dam (Whoo)   Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Pig gam ba li, de la pig gam ba li ba Bamb bamb bamb di gi di da dam (Whoo)  "
/songs/2331497,DJ Snake,Middle,https://genius.com/Dj-snake-middle-lyrics,http://api.genius.com/songs/2331497,Encore,2015-10-16," Starin' at two different views on your window ledge Coffee has gone cold, it's like time froze   There you go wishin', floatin' down our wishin' well It's like I'm always causin' problems, causin' hell I didn't mean to put you through this, I can tell Are we gonna sweep this under the carpet?   I hope that I can turn back the time To make it all alright, all alright for us I'll promise to build a new world For us two with you in the middle   (You in the middle) (You in the middle)   (Ly-, ly-, ly-, ly-) Lyin' down beside you, what's goin' through your head? The silence in the air felt like my soul froze   Am I just overthinkin' feelings I can sell? This gut feelin' I'm tryna get off me as well I hope we find our missin' pieces and just chill Are we gonna sweep it under the carpet?   I hope that I can turn back the time To make it all alright, all alright for us I'll promise to build a new world For us two with you in the middle   (You in the middle) (You in the middle)   (You) Thank the children, just thank the children (You) Thank the children, just thank the children"
/songs/2070339,DJ Snake,Moments in bass,https://genius.com/Dj-snake-moments-in-bass-lyrics,http://api.genius.com/songs/2070339,None,None,"We do try our best to have all the lyrics you want, but sometimes the lyrics are just not submited to us yet  Do you have the lyrics? Why not submit them!"
/songs/2819201,DJ Snake,Oh Me Oh My,https://genius.com/Dj-snake-oh-me-oh-my-lyrics,http://api.genius.com/songs/2819201,Encore,2016-08-04," Yeah, shutdown Whoo, shutdown Ayy   Oh me, oh me, oh my I just shut the club down, I ain't even try See them rollin' with me, yeah, they ride or die Test us and I guarantee we let it fly Oh me, oh me, oh my I just shut the club down, I ain't even try I always tell the truth, boy, I ain't gotta lie If you ain't fuckin' with us, don't come to our side   Oh my, oh me, oh my, I know these niggas some small fries (oh my!) Oh me, oh my, I serve a nigga like it's Five Guys (serve 'em!) Lil' bitty bitch with the brown eyes (bitch!) She cook up the dope a million times (whip!) And it come back to me a trillion times (come on back) Birds singin' just like Ginuwine Independent, never signin' (independent!) Bitch I bought my own diamonds (bitch I did) Case a nigga, move in silence (case a nigga!) I met my plug on the island (plug) Young nigga hot in designer (hot!) Feds watchin', they can't find me (12) We make the birds take a shower (shower!) Free my niggas in confinement (free my niggas!) These niggas lookin' like cowards Mama said don't fuck with you, boy, you sour (mama!) The way that I play with the white You'd think that a nigga be cookin' with flour (white!) Got a sniper in the tower (rrow) Money bring more power (ayy) I got a sniper in the tower (rrow) He been up for 24 hours   Oh me, oh me, oh my I just shut the club down, I ain't even try See them rollin' with me, yeah, they ride or die Test us and I guarantee we let it fly Oh me, oh me, oh my I just shut the club down, I ain't even try I always tell the truth, boy, I ain't gotta lie If you ain't fuckin' with us, don't come to our side (straight up)   Come from the club around 3:30 I've been up in it, go James Worthy I've been up, goin' up, way up Thinkin' about it all day, fuck How many more could fit in the ride? Hit me, I'll pull up on any side All of my niggas on M All of my bitches off M Open, open up, baby You know that I'm goin', goin', goin', goin' right now Hundred bottles, we get poppin' right now Smokin', don't you choke on dopest right now Yeah, yeah, yeah, yeah, yeah, yeah Oh me, oh my, homie, don't try Won't you come home for a ride? We can do this for the night   Oh me, oh me oh my I just shut the club down, I ain't even try See them rollin' with me, yeah they ride or die Test us and I guarantee we let it fly Oh me, oh me oh my I just shut the club down, I ain't even try I always tell the truth, boy, I ain't gotta lie If you ain't fuckin' with us, don't come to our side   If you not fuckin' with us If you not fuckin' with us Then say you not fuckin' with us We don't wanna fuck with that fake shit We don't wanna fuck with that fake shit We don't wanna fuck with that fake shit If you not fuckin' with us Then young nigga don't even say that shit If you not fuckin' with us You know that we don't even play that shit Then you the one we can't trust You'll be the one we can't trust You'll be the one we can't trust If you not fuckin' with us   Test us and I guarantee we let it fly Oh me, oh me, oh my I just shut the club down, I ain't even try I always tell the truth, boy, I ain't gotta lie If you ain't fuckin' with us, don't come to our side"
/songs/1854911,DJ Snake,Party All Day,https://genius.com/Dj-snake-party-all-day-lyrics,http://api.genius.com/songs/1854911,None,None,"Party all day, dance all day Party all night and dance all day Party all day, dance all day Party all night and dance all... day (Yeah!)  Dance all... day! Dance all... day!  What the fuck you coming For the dance floor, for? If you wasn't try to dance If you wasn't try to dance And What the fuck you coming For the dance floor, for? If you wasn't try to sweat If you wasn't try to sweat  Party all day, dance all day Party all night and dance all day Party all day, dance all day Party all night and dance all... day  Dance all... day! Dance all... day!  What the fuck you coming For the dance floor, for? If you wasn't try to dance If you wasn't try to dance And What the fuck you coming For the dance floor, for? If you wasn't try to sweat If you wasn't try to sweat  Party all night (Party all night!) And dance all day (And dance all day!) P P P Party all night (Party all night!) And dance all day (And dance all day!) Party all night (Party all night!) And dance all day (And dance all day!) P P P Party all night (Party all night!) And dance all day (And dance all day!) Party all night (Party all night!)  Love me, love me Love me, love me All damn day"
