api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/394004,Eagles,After The Thrill Is Gone,https://genius.com/Eagles-after-the-thrill-is-gone-lyrics,http://api.genius.com/songs/394004,One of These Nights,1975-06-10," Same dances in the same old shoes Some habits that you just can't lose There's no telling what a man might use After the thrill is gone The flame rises but it soon descends Empty pages and a frozen pen You're not quite lovers and you're not quite friends After the thrill is gone, oh After the thrill is gone What can you do when your dreams come true And it's not quite like you planned? What have you done to be losing the one You held it so tight in your hand well Time passes and you must move on Half the distance takes you twice as long So you keep on singing for the sake of the song After the thrill is gone After the thrill is gone   You're afraid you might fall out of fashion And you're feeling cold and small Any kind of love without passion That ain't no kind of loving at all, well   Same dances in the same old shoes You get too careful with the steps you choose You don't care about winning but you don't want to lose After the thrill is gone After the thrill is gone After the thrill is gone, oh After the thrill is gone"
/songs/1224151,Eagles,All She Wants To Do Is Dance,https://genius.com/Eagles-all-she-wants-to-do-is-dance-lyrics,http://api.genius.com/songs/1224151,None,None,"They're pickin' up the prisoners And putting 'em in a pen And all she wants to do is dance, dance  Rebels been rebels Since I don't know when And all she wants to do is dance  Molotov cocktail, the local drink And all she wants to do is dance, dance  They mix 'em up right In the kitchen sink And all she wants to do is dance  Crazy people walkin' round With blood in their eyes And all she wants to do is dance, dance, dance  Wild-eyed pistol-wavers Who ain't afraid to die And all she wants to do is  All she wants to do is dance And make romance She can't feel the heat Comin off the street She wants to party She wants to get down All she wants to do is All she wants to do is dance  Well the government bugged the men's room In the local disco lounge And all she wants to do is dance, dance  To keep the boys from sellin' All the weapons they could scrounge And all she wants to do is dance  But that don't keep the boys From makin' a buck or two And all she wants to do is dance, dance  They still can sell the army All the drugs that they can do And all she wants to do is  All she wants to do is dance And make romance  Well, we barely made the airport For the last plane out As we taxied down the runway I could hear the people shout They said, ""Don't come back here, Yankee"" But if I ever do I'll bring more money  'Cause all she wants to do is dance And make romance Never mind the heat Comin' off the street She wants to party She wants to get down All she wants to do is All she wants to do is dance And make romance All she wants to do is dance"
/songs/269758,Eagles,Already Gone,https://genius.com/Eagles-already-gone-lyrics,http://api.genius.com/songs/269758,On the Border,1974-04-19," Well, I heard some people talkin' just the other day And they said you were gonna put me on a shelf But let me tell you I got some news for you And you'll soon find out it's true And then you'll have to eat your lunch all by yourself   Cause I'm already gone And I'm feelin' strong I will sing this vict'ry song Woo hoo hoo, my my, woo hoo hoo   The letter that you wrote me made me stop and wonder why But I guess you felt like you had to set things right Just remember this, my girl, when you look up in the sky You can see the stars and still not see the light (that's right)   Well I know it wasn't you who held me down Heaven knows it wasn't you who set me free So often times it happens that we live our lives in chains And we never even know we have the key   Cause I'm already gone Yes, I'm already gone And I'm feelin' strong I will sing this vict'ry song Cause I'm already gone Yes, I'm already gone Already gone All right, nighty-night Already gone..."
/songs/393550,Eagles,Best of My Love,https://genius.com/Eagles-best-of-my-love-lyrics,http://api.genius.com/songs/393550,On the Border,1974-11-05," Every night I'm lying in bed Holding you close in my dreams Thinking about all the things that we said And coming apart at the seams   We try to talk it over But the words come out too rough   I know you were trying To give me the best of your love   Beautiful faces and loud, empty places Look at the way that we live Wasting our time on cheap talk and wine Left us so little to give   That same old crowd Was like a cold dark cloud That we could never rise above   But here in my heart I give you the best of my love   Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love   I'm going back in time and it's a sweet dream It was a quiet night and I would be all right If I could go on sleeping   But every morning I wake up and worry What's gonna happen today You see it your way And I see it mine But we both see it slipping away   You know we always had each other baby I guess that wasn't enough   Oh, but here in my heart I give you the best of my love   Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love Oh sweet darling you get the best of my love, oh Sweet darling, you get the best of my love"
/songs/395971,Eagles,Bitter Creek,https://genius.com/Eagles-bitter-creek-lyrics,http://api.genius.com/songs/395971,Desperado,1973-04-17,"Once I was young and so unsure I'd try any ill to find the cure An old man told me Tried to scold me ""Whoa, son, don't wade too deep In Bitter Creek"" (Bitter Creek)  Out where the desert meets the sky Is where I go when I wanna hide Oh, peyote (oh, peyote, oooh...) She tried to show me (tried to show me) You know there ain't no cause to weep At Bitter Creek (Bitter Creek)  We're gonna hit the road for one last time We can walk right in and steal 'em blind All that money (all that money, oooh...) No more runnin' (no more runnin') I can't wait to see the old man's face When I win the race (Bitter Creek)"
/songs/393811,Eagles,Business As Usual,https://genius.com/Eagles-business-as-usual-lyrics,http://api.genius.com/songs/393811,Long Road Out Of Eden ,2007-10-30," Look at the weather, look at the news Look at all the people in denial We're running time, leaving grace Still we worship at the marketplace While common sense is going out of style I thought that I would be above it all by now In some country garden in the shade   But it's business as usual Day after day Business as usual Just grinding away You try to be righteous You try to do good But business as usual Turns your heart into wood   Monuments to arrogance reach for the sky Our better nature's buried in the rubble We got the prettiest White House that money can buy Sitting up there in that beltway bubble The main jefe talks about our freedom But this is what he really means   Business as usual How dirty we play Business as usual Don't you get in the way Yeah, make you feel helpless Make you feel like a clown Business as usual Is breaking me down   Boy, you can't go surfing in Century City Yeah, them sharks out there are lurking beneath the curb Yeah, they rob you blind, chew you up, and it ain't pretty And it's a soul sucking, soul sucking, soul sucking, soul sucking Soul sucking, soul sucking world   Business as usual Day after day Business as usual Feel like walking away A barrel of monkeys Or band of renown Business as usual Is breaking me down"
/songs/393741,Eagles,Busy Being Fabulous,https://genius.com/Eagles-busy-being-fabulous-lyrics,http://api.genius.com/songs/393741,Long Road Out Of Eden ,2007-10-30," I came home to an empty house And I found your little note ""Don't wait up for me tonight"" And that was all she wrote Do you think I don't know that you're out on the town With all of your high-rolling friends? What do you do when you come up empty? Where do you go when the party ends?   And you were just too busy being fabulous Too busy to think about us I don't know what you were dreaming of Somehow you forgot about love And you were just too busy being fabulous, uh-huh   A little time in the country A day or two to slow down A bottle of wine and a walk in the moonlight Maybe some fooling around But you think time is just a magazine And money's just a thrill I've waited so long for you to change your way of living Now I realize that you never will   You tell a joke and everybody's laughing That's something you know how to do You've always been the life of the party But now my baby, the joke is on you Because you were just too busy being fabulous Too busy to think about us Running after something that never comes What in the world are you running from? And you were just too busy being fabulous Too busy to think about us To drink the wine from your winner's cup To notice the children were growing up   And you were just too busy being fabulous Too busy, too busy Too busy Aw, baby"
/songs/393814,Eagles,Center Of The Universe,https://genius.com/Eagles-center-of-the-universe-lyrics,http://api.genius.com/songs/393814,Long Road Out Of Eden ,2007-10-30," I come before you with my heart in my hand Hoping you can see me through this veil of tears Somehow I've got to make you understand Ah, don't you know me after all these years? Oh, love, I hate to disappoint you But there's something you should know   This is not the center of the universe That's alright with me This is not the center of the universe But it's where I want to be   I will be with you everywhere you go In gentle breezes that caress your skin And you will see me in the silent snow In everything that comes around again Oh, love, I'll always be beside you Wherever you may roam Someday, with all the stars to guide you You will find your way back home  "
/songs/395951,Eagles,Certain Kind of Fool,https://genius.com/Eagles-certain-kind-of-fool-lyrics,http://api.genius.com/songs/395951,Desperado,1973-04-17," He was a poor boy, raised in a small family He kinda had a craving for something no one else could see They say that he was crazy, the kind that no lady should meet He ran out to the city and wandered around in the street He wants to dance, oh yeah He wants to sing, oh yeah He wants to see the lights a flashing And listen to the thunder ring He saw it in a window, the mark of a new kind of man He kind of liked the feeling, so shiny and smooth in his hand He took it to the country and practiced for days without rest And then one day he felt it, he knew he could stand with the best They got respect, oh yeah He wants the same, oh yeah And it's a certain kind of fool Who likes to hear the sound of his own name A poster on a storefront, the picture of a wanted man He had a reputation spreading like fire through the land It wasn't for the money, at least it didn't start that way It wasn't for the running, but now he's running everyday"
/songs/393391,Eagles,Chug All Night,https://genius.com/Eagles-chug-all-night-lyrics,http://api.genius.com/songs/393391,Eagles,1972-06-01," You scare me a bit But that's all right You know when I want you Most every night And I've been meaning to tell You baby that it makes no sense Still I'm finally convinced Yeah yeah   I believe we could chug all night I believe we could hug all night The band is loose and the groove Is right you're so much woman I Believe we could chug all night   On the day that I die, well I just might scream If I'm alive in the morning I'll be alive in a dream You better listen to me baby Cause you know that I'm hung on you Till I'm blind and black and blue No one else will do   No woman ever do what you do High on a pleasure wheel No devil ever cast a voodoo So long and dark and real   We're going to do a little chugging We're going to do a little hugging The band is loose and the groove is right I'm wired for sound Are you wired for light? And you're so much woman I believe we could chug all night   I said a yeah yeah yeah Yeah yeah Woo! It's only midnight baby Come on and do it to me"
/songs/146906,Eagles,Desperado,https://genius.com/Eagles-desperado-lyrics,http://api.genius.com/songs/146906,Desperado,1973-04-17,"Desperado, why don't you come to your senses You've been out ridin' fences for so long now Oh, you're a hard one I know that you've got your reasons These things that are pleasin' you Can hurt you somehow  Don't you draw the queen of diamonds, boy She'll beat you if she's able You know the queen of hearts is always your best bet Now it seems to me, some fine things Have been laid upon your table But you only want the ones That you can't get  Desperado Oh, you ain't getting no younger Your pain and your hunger They're driving you home And freedom, oh, freedom Well that's just some people talking Your prison is walking through this world all alone  Don't your feet get cold in the winter time? The sky won't snow and the sun won't shine It's hard to tell the night time from the day And you're losing all your highs and lows Ain't it funny how the feeling goes Away...  Desperado Why don't you come to your senses? Come down from your fences, open the gate It may be rainin', but there's a rainbow above you You better let somebody love you (let somebody love you) You better let somebody love you Before it's too late"
/songs/971603,Eagles,Dirty Laundry,https://genius.com/Eagles-dirty-laundry-lyrics,http://api.genius.com/songs/971603,None,None,"I make my living off the evening news Just give me something, something I can use People love it when you lose, they love dirty laundry  Well, I could've been an actor, but I wound up here I just have to look good, I don't have to be clear Come and whisper in my ear, give us dirty laundry  Kick 'em when they're up, kick 'em when they're down Kick 'em when they're up, kick 'em when they're down Kick 'em when they're up, kick 'em when they're down Kick 'em when they're up, kick 'em all around  We got the bubble-headed bleach-blonde who comes on at five She can tell you about the plane crash with a gleam in her eye It's interesting when people die, give us dirty laundry  Can we film the operation? Is the head dead yet? You know the boys in the newsroom got a running bet Get the widow on the set, we need dirty laundry  You don't really need to find out what's going on You don't really want to know just how far it's gone Just leave well enough alone, keep your dirty laundry  Kick 'em when they're up, kick 'em when they're down Kick 'em when they're up, kick 'em when they're down Kick 'em when they're up, kick 'em when they're down Kick 'em when they're stiff, kick 'em all around  (Kick 'em when they're up, kick 'em when they're down) (Kick 'em when they're up, kick 'em when they're down) (Kick 'em when they're up, kick 'em when they're down) (Kick 'em when they're stiff, kick 'em all around)  Dirty little secrets, dirty little lies We got our dirty little fingers in everybody's pie Love to cut you down to size, we love dirty laundry  We can do the innuendo, we can dance and sing When it's said and done, we haven't told you a thing We all know that crap is king, give us dirty laundry  (Kick 'em when they're up, kick 'em when they're down)..."
