api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2160368,Easton Corbin,About To Get Real,https://genius.com/Easton-corbin-about-to-get-real-lyrics,http://api.genius.com/songs/2160368,About to Get Real,2015-06-30," Moonlight's kinda like a spotlight shining down on you tonight Ready or down low playing one good 'n slow Setting it up just right I can hear loud and clear what your eyes are saying to mine   It's about to get real good Come on baby get real close Girl you know I want you real bad Got me falling fast Let's take it where it wants to go It's about to get real hot It's a real deal Yeah you're kissing me, sliding up next to me The way your heartbeat feels It's about to get real   Where this is going is where I'd been hoping We'd end up at And if you keep on touching me and telling me you love me There's no turning back It feels like it should, I knew it would We can't miss, are you ready for this?   It's about to get real good Come on baby get real close Girl you know I want you real bad Got me falling fast Let's take it where it wants to go It's about to get real hot It's a real deal Yeah you're kissing me, sliding up next to me The way your heartbeat feels It's about to get real It's about to get real good Come on baby get real close Girl you know I want you real bad Got me falling fast Let's take it where it wants to go It's about to get real hot It's a real deal Yeah you're kissing me, sliding up next to me The way your heartbeat feels Girl the way your heartbeat feels It's about to get real   Yeah baby it's about to get real"
/songs/4547339,Easton Corbin,A Girl Like You,https://genius.com/Easton-corbin-a-girl-like-you-lyrics,http://api.genius.com/songs/4547339,None,2017-01-30," Got lots of bars around this town They got cold beer, yeah, and they got Crown Got neon light in the windowpane Got lots of guys thinkin' they got game Got loud guitars a little out of tune But they ain’t got a girl like you Naw, they don't   They play lots of songs on the radio ‘Bout them good ole' country girls that we all know Long tan legs and cutoff jeans Yeah, just shakin’ that sugar every country boy's dream I've heard them all at least a time or two Ain't none ‘bout a girl like you, that's true   You've got that beautiful born with it kind of thing It comes so natural, no baby don't ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you   You can dress it on up or you can just hang out Kick it on Broadway or kick back on the couch You can dance on a bar, you can dance in the rain Shotgun a beer, just sip champagne Yeah, there's only one, ain’t room for two There ain’t another girl like you, another girl like you   You've got that beautiful born with it kind of thing It comes so natural, no baby don’t ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you   Baby, what did I do to get a girl like you  A girl like you don't come along but once in a lifetime, better hang on I can't find one thing wrong, I could just go on and on and on   You've got that beautiful born with it kind of thing It comes so natural, no baby don’t ever change And I wonder when I see the smile on your face Baby, what did I do to ever get a girl like you A girl like you Baby, what did I do to ever get a girl like you A girl like you   I could sail the ocean blue, and never find, never find a girl like you"
/songs/683956,Easton Corbin,A Little More Country Than That,https://genius.com/Easton-corbin-a-little-more-country-than-that-lyrics,http://api.genius.com/songs/683956,Easton Corbin,2010-03-02," Imagine a dirt road full of potholes With a creek bank and some cane poles catching channel cat I'm a little more country than that Picture a small town with an old hound Laying out front of the courthouse While the old men chew the fat I'm a little more country than that   I just want to make sure you know just who your getting under this old hat 'Cause girl I'm I'm not the kind to two time or play games behind your back I'm a little more country than that   Think of a Hank song from days gone With a steel rod that's so strong,  sends chills up your back I'm a little more country than that If you want a brick home in a school zone With the doors locked and alarms on Girl, you're way off track I'm a little more country than that   I just want to make sure you know just who your getting under this old hat 'Cause girl I'm  not the kind to two time or play games behind your back I'm a little more country than that   Yeah, I'm sure that you've heard those three words from lovers but they fell flat But this ring ain't something that I mean to give you and then take back I'm a little more country than that   I'm a little more country than that I'm a little more country than that"
/songs/124737,Easton Corbin,All Over The Road,https://genius.com/Easton-corbin-all-over-the-road-lyrics,http://api.genius.com/songs/124737,All Over The Road,2012-09-18," No sir I ain't been drinking I ain't even had one beer This sweet thing's got me buzzin' From whispering in my ear Just take a peek up in here At this little hot mess Mister, you'll understand I'm doing my best   And I know I'm all over the road I can't help but go A little bit of left, a little bit of right It's hard to drive with her hand over here on my knee When she's all over me, I'm all outta control All over the road   Don't wanna get no ticket Don't wanna cause no wreck It's hard to concentrate with her pretty little lips on my neck I say ""Girl take it easy"" She laughs, says ""It'll be fine"" How am I supposed to keep it between the lines?   Yeah, I know I'm all over the road I can't help but go A little bit of left, a little bit of right It's hard to drive with her hand over here on my knee When she's all over me, I'm all outta control And all over the road   Something 'bout these wheels rolling Radio playing gets her going I'm trying to get her home as fast as I can go   And I know I'm all over the road I can't help but go A little bit of left, a little bit of right It's hard to drive with her hand over here on my knee Have a little mercy on me Sir I'm sorry I know I'm all over the road All over the road All over the road"
/songs/683968,Easton Corbin,A Lot To Learn About Livin,https://genius.com/Easton-corbin-a-lot-to-learn-about-livin-lyrics,http://api.genius.com/songs/683968,Easton Corbin,2010-03-02," Stepped off the plane down in Cabo Just meaning to stay for a week I got a funny sensation about this vacation The second the sand hit my feet Taxi driver took my two bags He saw me looking at my watch He said, you won't need that here 'cause time disappears In paradise there ain't no clocks   You got a lot to learn about living It's a different world down here Our biggest problem's deciding what fish we're frying Does it go with tequila or beer   He dropped me off at the hotel I took a u-turn into the bar I sat down on a stool out by the pool Next to a lady smoking a Cuban cigar I ordered a drink and took out my cell phone I tried to make a call to L.A Dang thing wouldn't work, I started to curse Bartender said, I bet it can wait   You got a lot to learn about living It's a different world down here Our biggest problem's deciding what fish we're frying Does it go with tequila or beer   I, yi, yi...change is in the air Now, I, yi, yi...ain't got a care   Six months later I'm driving a taxi I got a Hawaiian shirt and a tan Pick up some guy in a Brooks Brothers tie I say, it's time to loosen up man   You got a lot to learn about living It's a different world down here Our biggest problem's deciding what fish we're frying Does it go with tequila or beer You got a lot to learn about living It's a different world down here Our biggest problem's deciding what fish we're frying Does it go with tequila or beer"
/songs/684013,Easton Corbin,Are You with Me,https://genius.com/Easton-corbin-are-you-with-me-lyrics,http://api.genius.com/songs/684013,All Over The Road,2012-09-18," I want to dance by the water 'neath the Mexican sky Drink some Margaritas by a string of blue lights Listen to the Mariachi play at midnight Are you with me, are you with me? I want to fall like the Carolina rain on your skin I want to walk a little too far out on that limb Take you every place I've been and never been Are you with me, are you with me?   We can chase the wild dreams, live like crazy Love me baby, come on, come on, come on Just throw your arms around me We can run like we won't run out of time   I want to fly so high that I'll never come down I want to love so hard, it could rip my heart out I want to get so lost that I'll never be found Are you with me, are you with me?   We can chase the wild dreams, live like crazy Love me baby, come on, come on, come on Just throw your arms around me We can run like we won't run out of time   Are you with me?   We can chase the wild dreams, live like crazy Love me baby, come on, come on, come on Just throw your arms around me We can run like we won't run out of time   Are you with me? Are you with me? Are you with me?   Come on, come on, come on Just come with me"
/songs/683992,Easton Corbin,A Thing for You,https://genius.com/Easton-corbin-a-thing-for-you-lyrics,http://api.genius.com/songs/683992,All Over The Road,2012-09-18, Old stars fall to the ground Floors are flat and the moon is round Grass is green and skies are blue And girl I got a thing for you Old trucks rattle down gravel roads Rivers wind and the north wind blows Raindrops fall on old tin roofs Girl I got a thing for you Dreamers dream and wishers wish Talkers talk and fishers fish Sun sets in the west each day Don't ask me why it goes that way Old cowboys ain't got much to say Christmas comes on Christmas day And I guess what I'm gettin' into Is girl I got a thing for you Farmers farm and painters paint God is good and the devil ain't Summer's hot and sidewalks crack Don't ask me why it goes like that Now slide on over next to me Let me kiss those pretty red lips so sweet And get lost in your eyes of blue Cause girl I got a thing for you   When it comes to you girl I'm a fool Cause I got a thing for you
/songs/2102305,Easton Corbin,Babe Be My Love Song,https://genius.com/Easton-corbin-babe-be-my-love-song-lyrics,http://api.genius.com/songs/2102305,None,2019-01-25,"So here we are, here all alone The band quit playin', everyone went home But the stars are still out and you're so damn hot And I ain't ready for the music to stop Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin' 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along comin' on Baby be my love song Girl, fast or slow, three-quarter time It don't have to make sense And it don't have to rhyme As long as it's you Babe, I'm all in And when it's over Just play it again Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin' 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along comin' on Baby be my love song Baby be my melody My little feel good that gets to me Don't be shy baby, set it free Crank it up, hit me way down deep Baby be my love song Baby be my all night long Be the buzz in my Dixie cup My steady rockin' 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along comin' on Baby be my love song"
/songs/1930690,Easton Corbin,Baby Be My Love Song,https://genius.com/Easton-corbin-baby-be-my-love-song-lyrics,http://api.genius.com/songs/1930690,About to Get Real,2014-09-08," So here we are, here all alone The band quit playing, everyone went home But the stars are still out and you're so damn hot And I ain't ready for the music to stop   Baby, be my love song Baby, be my all night long Be the buzz in my Dixie cup My steady rocking 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along coming on Baby be my love song   Girl, fast or slow, three-quarter time It don't have to make sense and it don't have to rhyme As long as it's you babe, I'm all in And when it's over, just play it again   Baby, be my love song Baby, be my all night long Be the buzz in my Dixie cup My steady rocking 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along coming on Baby be my love song   Baby, be my melody My little feel good that gets to me Don't be shy baby, set it free Crank it up, hit me way down deep   Baby, be my love song Baby, be my all night long Be the buzz in my Dixie cup My steady rocking 'til the sun comes up You know I really love to watch you dance Baby be my, ""Oh hell yeah!"" I feel a little sing-along, sing-along coming on I feel a little sing-along, sing-along coming on Baby be my love song Baby be my love song Oh yeah Be my love song (Be my love song)"
/songs/2160402,Easton Corbin,Clockwork,https://genius.com/Easton-corbin-clockwork-lyrics,http://api.genius.com/songs/2160402,About to Get Real,2015-01-28," Might as well have my alarm Set on my phone girl It's like you got a camera Don't know how you know I'm home alone girl Come around 10:47 every Friday night Might as well leave the light on 'Cause you're always right on time   You call, I say hello You knock, I'm letting you in You say you've missed my lips We kiss, here we go again Your dress, my shirt We love, I live and never learn I crash, I burn, you leave, I hurt Like clockwork   It's like I'm walking down the street And fall in that same trap girl I see a freight train coming And I just stand there on the tracks girl Somebody'd be getting rich if they were placing bets On me thinking no, no, no, always saying yes   You call, I say hello You knock, I'm letting you in You say you've missed my lips We kiss, here we go again Your dress, my shirt We love, I live and never learn I crash, I burn, you leave, I hurt Like clockwork   It's too easy, you know my street And you know where I leave my key Baby you know me, I can count on you to count on me It's like a movie I've seen a thousand times I hate the end but I still hit rewind   You call, I say hello You knock, I'm letting you in You say you've missed my lips We kiss, here we go again Your dress, my shirt We love, I live and never learn I crash, I burn, you leave, I hurt Like clockwork   Like clockwork, clockwork Clockwork Like clockwork, clockwork"
