api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4223875,Fetty Wap,100k,https://genius.com/Fetty-wap-100k-lyrics,http://api.genius.com/songs/4223875,None,2019-01-11," Ay, 100k on me that's fine (yeah) Ay, bad bitches callin my line (yeah) Ay, I'mma turn it up every time (yeah) Ay, if you see your woman, that's mine (yeah) Ay, pull up, nigga [?] on gang (yeah) Ay, I just put a bag in the [?] (yeah) Ay, fast car, I'mma do the dab (yeah) Ay, swimming in the pussy, I'mma splash (splash)  Ay, all I know is [?] to the cash, baby Ay, running with the money, move it fast, baby Ay, wake up [?] Ay, [?]   Ay, pull on a scene with the [?] Cause [?] got a foreign bitch [?] sorry, yeah All I know, some dick [?] [?] gang we feel the [?] [?] we feeling great  And I feel alive, no one [?] and I feel alive Feel alive, thought you want my [?] and I feel alive Don't you [?], don't you play her mind, no [?] picking sides No more games (no more games) [?]   Are you in love with my kitchen Wanna whip it with your [?] Are you [?] block They gon' tell you I'm the man Fell in love with the Guap, [?] [?] Gang gang niggas, I don't think they understand Up with the [?] I'm like what they do [?] [?] on my chain, then it's me and you, baby, yeah Know my name, I'm [?] [?] Money makin niggas, oh, I'm gon' get it quicker, oh Ay, [?] with my niggas, oh Yeah, ay"
/songs/2243336,Fetty Wap,1738,https://genius.com/Fetty-wap-1738-lyrics,http://api.genius.com/songs/2243336,None,2019-01-11," Ayy, yeah baby, yeah baby, ayy ayy   If you think I'm a problem you ain't meet the Zoo yet I already made it easy, we all buy a coupe stretch Zoovie baby I'm the leader, hits be coming right, left Tryna see the Zoo vision, it'll leave you eyeless If you think that I'm a problem you ain't meet the Zoo yet I already made it easy, we all buy a coupe stretch Zoovie baby I'm the leader, hits be coming right, left Tryna see the Zoo vision, it'll leave you eyeless   They know the ZooGang is on baby I rep my gang every song baby And for the Zoo I put on baby 17 we is strong baby We might be living it wrong baby, ayy But it feels so good baby To make it out the hood baby, yeah And they said that you couldn't, wow Just look at me now baby, ayy I pick my head up and smile baby, ayy My pockets put on some pounds baby, ayy And I could go round for round baby, ayy And they be loving my style baby Oh they just love the Zoo sound, ayy They love it when the Zoo growl, ayy When I go up they cannot turn the Zoo down   Think I'm a problem you ain't meet the Zoo yet I already made it easy, we all buy a coupe stretch Zoovie baby I'm the leader, hits be coming right, left Tryna see the Zoo vision, it'll leave you eyeless If you think that I'm a problem you ain't meet the Zoo yet I already made it easy, we all buy a coupe stretch Zoovie baby I'm the leader, hits be coming right, left Tryna see the Zoo vision, it'll leave you eyeless   If you think that I'm a problem you ain't meet the Zoo yet Yeah baby, Zoovie's over here baby Squad of the year baby The ZooGang is here baby, yeah"
/songs/695382,Fetty Wap,3rd Quarter (Freestyle),https://genius.com/Fetty-wap-3rd-quarter-freestyle-lyrics,http://api.genius.com/songs/695382,Zoo Style,2015-01-06," Ay, 1738 Ayo, man they call me big ZooWap nigga Fuck these fuck boys man Squad shit, ZooGang   Black 650 on the road, start to gunning Niggas make a diss song but want no problems Black four fifth with the grip, who shot him? Big ZooWap from the trap, what’s mobbing? Gold chains on me, couple bands is the rocking Make me feel fly so all I buy is Rob- Got ten thousand dollars worth of J’s in my closet For my girl, drop nine hundred dollars on the wallet though P’s got six thousand dollars worth of Robins Seventeen for my beamer, drop thirty on the jeep Five bands for a Louis eye patch, omg Not the Gucci one ‘cause you know a nigga stay flee Fetty Wap from the bando, understand though How the fuck you the man though? Go where you can’t go What the fuck is your plan though? Ain’t got no bands though And the niggas that I rock with keep hella ammo Niggas tryna diss Fetty Wap, how you do that? Like I ain’t helping niggas pop, nigga you mad Put my city on the whole map, you ain’t do that Talking ‘bout me, niggas get shot, why you do that? Cause that boy running out the mouth, take a cool bath Do his ass like the old school in a new class Just bought a G37 and it’s too fast Riding through this fuck boy’s hood, let the tool blast Hop in my whip with his bitch on my cool ass Just like his bitch, he a bitch, get his crew dragged Bitch, we the squad of the year screaming ZooGang Dice pull up on him, then, he kick just like Liu Kang Montana hit him with the three, call him Lu Deng Bitch, we the squad of the year screaming ZooGang Dice pull up on him, then, he kick just like Liu Kang Montana hit him with the three, call him Lu Deng Squad!"
/songs/3061082,Fetty Wap,420,https://genius.com/Fetty-wap-420-lyrics,http://api.genius.com/songs/3061082,None,2017-04-20," I be high as a kite, yeah Are you ridin' tonight, yeah? I'll put you right on a flight (This is rap)   She know I'mma smoke a motherfucker, I be high as a kite I got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride ay She know I'mma smoke a motherfucker, I be high as a kite Got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride me right   Do this on my chainsmoker, roll it up Do your thing, think I got a hangover I just took me to her lease, broke, my shawty stayed over I woke up, they were asleep Can I do this day over? This some shit you won't believe And I keep a big check on me, I got money, what you mean? Get your bitch stacked, homie, I might get that bitch a weed Keep the six pack, homie, act savvy bitch that know me Keep a big gat on me act savvy nigga know me   She know I'mma smoke a motherfucker, I be high as a kite I got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride ay She know I'mma smoke a motherfucker, I be high as a kite Got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride me right   I can make her feel like she is flyin', flyin' I keep shawty laughin', she be dyin', dyin' Baby I'm that nigga from the island, island Dick her down, no wonder why she wilin', wilin' Yeah, and, shawty said that I be acting childish Yeah, and, I just call her sexy and she stylish Yeah, I fuck with lil shawty, she the wildest Yeah, better go girl, yeah, let her know girl   She know I'mma smoke a motherfucker, I be high as a kite I got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride ay She know I'mma smoke a motherfucker, I be high as a kite Got a question lil mama, is you ridin' tonight? Ay, rollin' up the juana' put you right on a flight Yeah, yeah, I like when you ride me right"
/songs/3076747,Fetty Wap,420 wshh by Fetty Wap,https://genius.com/Fetty-wap-420-wshh-by-fetty-wap-lyrics,http://api.genius.com/songs/3076747,None,2019-01-11,"Beat:~  Hmm... Mmhmm Huh mmhmm... Hmmm, mhmm...  I be high as a kite...  Ohoohoohoh yeah...  Ah, and we're riding tonight...Ohoohoohoh yeah...  I put you 'round the front... Le-la-di-da-di-da   x2 Eh, Yeah, she know I'ma smoke a motherfuker I be high as a kite,  I got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ride...  Eh, she know I'ma smoke a motherfuker I be high as a kite,  I got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ridin' the right  Do this on my tank, smokers roll it up, do your thing; then I got to hang over I just took me to a lease, brought my shorty-stayed over, I woke up-it was sleep; can I do this day over? This some shit you won't believe  And I keep a bit check coming I got money, what you mean? Witcha' bitch-snatch homie, I might get that bitch on weed; get the six pack, homie Ex, every bitch that know me, keep up big cat, home Ex, every nigga, (she know... Continues to hook) Yeahhh..   x2 She know I'ma smoke a motherfuker I be high as a kite,  I got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ride...  Eh, she know I'ma smoke a motherfuker I be high as a kite,  I got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ridin' the right   x2 I can make her feel like, ""she is flyin' flyin'!"", I keep shorty laughin', ""she be dyin', dyin'!"", Baby, I'm that nigga from the island, island!, take her down to wonder why she wildn', wildn'!, yeah and, shorty said that "" I be actin' childish"", yeah and, I just called her sexy, and she stylish; yeah and I fuck with lil' shory, she the wil'est, yeah better go girl! Yeah let 'em know girl!  I can make her feel like, ""she is flyin' flyin'!"", I keep shorty laughin', ""she be dyin', dyin'!"", Baby, I'm that nigga from the island, island!, take her down to wonder why she wildn', wildn'!, Eh and, shorty said that "" I be actin' childish"", yeah and, I just called her sexy, and she stylish; yeah and I fuck with lil' shory, she the wil'est, yeah better go girl! Yeah let 'em know girl!   x2 She know I'ma smoke a motherfuker I be high as a kite,  I got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ride...  Eh, she know I'ma smoke a motherfuker I be high as a kite, got a question lil' mama, is you ridin' tonight?  Ey, rollin' up, they wanna' put you right on the flight, yeah, yeah, I like when you ridin' the right  X6   Yeah L     Yeah (b) R         Yeah (f) L              Yeah (b) R                  Yeah (f) L                      Yeah... (B) (fade, end)"
/songs/696428,Fetty Wap,679,https://genius.com/Fetty-wap-679-lyrics,http://api.genius.com/songs/696428,Fetty Wap ,2015-06-29,"   Yeaaah baby, 17 (RemyBoy Lifestyle) Ay, ay, look   Baby girl, you're so damn fine, though I'm tryna know if I could hit it from behind, though I'm sipping on you like some fine wine, though And when it's over, I press rewind though, ayy You talking bands, girl, I got it Benjamins all in my pocket I traded in my Trues for some Robins He playing Batman, Fetty's gon' rob him, ayy I got a Glock in my 'Rari, ayy 17 shots, no .38 I got a Glock in my 'Rari 17 shots, no .38   I'm like, yeah, she's fine Wonder when she'll be mine She walk past, I press rewind To see that ass one more time And I got this sewed up Remy Boyz, they know us All fast money, no slow bucks No one can control us Ayy, yeaaah baby   Uh, yeah, Monty Tell me what you see Is it money or it’s me? I smoke twenty, smell the weed I got hunnies in my V They like, ""Monty, can you be my baby daddy?"" I’m like, ""Yeah"" I got Robins on my jeans You see the wings on every pair All you see is Remy Boyz You know my niggas everywhere And if somebody got a problem We could meet up anywhere Now go say something Don’t you niggas play dumb You know where we came from You don’t want sauce, no A1   I'm like, yeah, she's fine Wonder when she'll be mine She walk past, I press rewind To see that ass one more time And I got this sewed up Remy Boyz, they know us All fast money, no slow bucks No one can control us Ayy, yeaaah baby   Ayy, they think they know us They can't control us Man, I got this sewed up Remy Boyz, they know us 679, this is Zoo year, baby Monty and the Zoovier, baby ZooGang, all my zoo near, baby, yeah, baby A thousand on my shoes when I walk through, baby 10.5 for a walkthrough, baby ZooGang, you know my whole zoo near And baby, I'm Zoovier  [Removed for album: P-Dice] Ayy, she a cutie and she fine, make me wanna make her mine She ain't nothing like them bimbos If you like it, we can swerve, we can light and stain up here Blowing, pluck it out the window We get playing, press rewind, got her singing every time Take a high note for me, girlfriend Got my city looking rude I ain't Diddy, I ain't Loon, but I think I need a girlfriend She feeling great as I'm talking to her She a RemyGirl, so I'm gon' pursue her I brought a lot of loud, lot of Remy to sip on Thousand dollars when I get my tip on I'm off her, asked her if her fatty real She said that's all her, got her with the happy feel I'm 'bout to spoil her, got her with the happy feel I'm 'bout to spoil her, oh my   I'm like, yeah, she's fine Wonder when she'll be mine She walk past, I press rewind Just to see that ass one more time And I got this sewed up Remy Boyz, they know us All fast money, no slow bucks No one can control us Ayy, yeaaah baby   ZooWap, Monty ZooWap, Dicey Yeaah baby, Remy Boyz Yeaah, yeaaah"
/songs/3448541,Fetty Wap,About You,https://genius.com/Fetty-wap-about-you-lyrics,http://api.genius.com/songs/3448541,For My Fans III: The Final Chapter,2018-01-19," Yeah, aye, yeah Aye, yeah, aye   I've been really thinkin' 'bout you, baby The way you do your thing I got a feelin' I won't doubt you, babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams See me in between I've been really thinkin' 'bout you, baby The way you do your thing I got a feelin' I won't doubt you babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams I swear I see me in between   I break it down let's make it ring now, I make her scream Off a perc, I'ma machine now, go straight to sleep And I'll always stay around you, hope you stay around too I'm the one that you call babe, to get whatever you need And I love how we vibe so I spend whatever on trees Said you love havin' sex when you be smoking on weed And I love how you flex when you high now, baby Make it feel like a jet when you glide down, baby I'ma always protect ya, you mine now, baby Baby, you get whatever, you mine now, baby Rockin' with you forever, you mine now, baby I'll be the one that you wake up to And the one that you love, yeah   I've been really thinkin' 'bout you, baby The way do your thing I got a feelin' I won't doubt you, babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams See me in between I've been really thinkin' 'bout you, baby The way you do your thing I got a feelin' I won't doubt you babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams I swear I see me in between   Thinkin' 'bout, thinkin' 'bout you babe Every lil' thing that you say Every lil' thing that you do, girl I just wanna spend time with you Don't want no war, that's not on my mind I'm telling you I just wanna provide, get high, and hit from the side Don't wanna play anymore girl I just wanna be yours The only one I adore, I'll buy you, Louis galore So every time you think about me baby Just know I'm thinking about you too, you know you drive me crazy   I've been really thinkin 'bout you, baby The way you do your thing I got a feelin' I won't doubt you, babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams See me in between I've been really thinkin 'bout you, baby The way you do your thing I got a feelin' I won't doubt you babe Get a wedding ring, I keep you close stay around you, babe For you I'ma fiend, I swear I see you in the dreams I swear I see me in between"
/songs/695476,Fetty Wap,Addicted,https://genius.com/Fetty-wap-addicted-lyrics,http://api.genius.com/songs/695476,Zoo Style,2015-09-25," Squad! 7, 7, 1738 17 baby 1738 yeaaaaaah yeaaaaah   Tryna chill with you, tryna roll my dope I love the way you smile, I love the way you are I love the way your pretty eyes so sexy And anything you wanna know, just ask me H-Here’s everything you need, girl I got it But, you ain’t tripping, see them hundreds in your pocket baby Your pretty brown skin sweeter than a swisher I’ma lay you down, slow and treat it I’m rapping for your treasure, ain’t worried ‘bout your exes I can do it better, your pussy, yeah it’s set Wet, wet and wetter, wrap your legs around my neck Til I stop breathing, put that pussy in my face Remind me why I need it I’ma have you shaking like you having many seizures We gon do some crazy things, tell me could you see it? Tryna have my daughter with you, baby is you with it? Tr-Tryna have my daughter with you, baby is you with it? Tr-Tryna have my daughter with you, baby is you with it? Tr-Tryna have my daughter with you, baby is you with it? I said it three times so you can know it’s real And I ain’t ever lacking, I’m always in the field Of course, I have some hoes Name a nigga who don’t, a nigga had to wife it Name a nigga who won’t, you ever have a problem The chopper on pump And every time I see you, see you for the first time And every time we sexing, we always showing off Say girl you something special, no rationale about you The only girl I ever love should come from you And I ain’t rushing girl, we are comfortable Both of our hair is turning gray, I’m growing old with you Said I’ll be Cliff and you be Claire Huxtable Have all these bitches mad they can’t fuck with you, squad   Tryna chill with you, tryna chill with you Said I’m addicted, yeah I’m addicted I love the way you are Said I’m addicted, yeah I’m addicted Said I’m addicted, I’m addicted Said I’m addicted to you, ay Said I’m addicted, yeah I’m addicted Squad, yeaaaah   Won’t you be my lady? Baby, you’re my baby Bae, I’m addicted, girl, I’m addicted to youuuuu baby Ay, squad Bang, bang, baaaang bang Bang, bang, baaaang bang Bang, bang, said I’m addicted to youuuu"
/songs/707870,Fetty Wap,Again,https://genius.com/Fetty-wap-again-lyrics,http://api.genius.com/songs/707870,Fetty Wap ,2015-08-13," Yeah, baby Ayy   I want you to be mine again, baby, ayy I know my lifestyle is driving you crazy, ayy I cannot see myself without you We call them fans, though, girl, you know how we do I go out of my way to please you I go out of my way to see you And I want you to be mine again, baby, ayy I know my lifestyle is driving you crazy, ayy But I cannot see myself without you We call them fans, though, girl, you know how we do I go out of my way to please you I go out of the way to see you I ain't playing no games, I need you   Baby, can you understand I'm a young nigga living? Coming from the trap, all a nigga know is get it I ain't chasing no pussy, girl, I'm talkin' 'bout the digits Big bank rolls in my pockets, all fifties Turned a little check, then I showed you I could triple it Baby, it's Zoovier, I only want you I don't give a fuck who cares, tats on my face She don’t give a fuck who stares, looking too good Get you fucked on sight I'm tryna finish this who I started with I'm tryna spend it all who I got it with, ayy She my trap queen, let her hit the bando, ayy We be counting up, watch how far them bands go, ayy Hop out my Beamer, she jump out the Lambo, ayy Roll them bands up, smooth how the wind go, ayy Dumping wood guts all out the window, ayy Married to the money, I ain't never lettin' go, ayy Baby, it's ZooWap from the bando, ayy Dumping wood guts all out the window, ayy Married to the money, I ain't never let go, ayy Baby, it's ZooWap from the fucking bando   I want you to be mine again, baby (ayy, yeah, baby) I know (ayy) my lifestyle is (ayy) driving you crazy (yeah, baby) I cannot see myself without you (ayy) We call them fans, though, girl, you know (baby) how we do I go out of my way to please you (baby) I go out of my way to see you (baby) And I want you to be mine again, baby (yeah, baby) I know my lifestyle is driving you crazy (yeah, baby) But I cannot see myself without you We call them fans, though, girl, you know how we do I go out of my way to please you I go out of the way to see you (yeah) I ain't playing no games, I need you   I hope you know I need you, ayy, yeah, baby I get up on my knees too, ayy, yeah, baby Do anything to please you, ayy, yeah, baby Top down when we breeze through, ayy, yeah baby Know they call me Zoovier (Zoovier) We living like a movie (Zoovier) And all the bands down to going up, girl, you know we ran through it I need you, baby, (baby), I ain’t afraid admit it Girl, I need you, baby, ayy, (I need you baby) girl, tell me if you with it Yeah, baby, all the bands, I'ma spend it Big ZooWap to the finish (baby) When I come through, they (baby) screaming out Zoovier, baby, scream it loud   I want you to be mine again, baby (I want you to be mine) I know my lifestyle is driving you crazy (baby) I cannot see myself without you (ay) We call them fans, though, girl, you know how we do (we do) I go out of my way to please you I go out of my way to see you (yeah, baby) And I want you to be mine again baby (I want you to be mine) I know my lifestyle is driving you crazy But I cannot see myself without you We call them fans, though, girl, you know how we do I go out of my way to please you (ayy) I go out of the way to see you I ain't playing no games, I need you   (Ooooo, oooo, yeah baby, baby, baby, baby, baby, baby, baby, baby, whoooo, ahhhh, oooooooo, ah) And I want you to be mine again baby I know my lifestyle is driving you crazy But I cannot see myself without you We call them fans, though, girl, you know how we do I go out of my way to please you I go out of the way to see you I ain't playing no games, I need you"
/songs/3551243,Fetty Wap,Air It Out,https://genius.com/Fetty-wap-air-it-out-lyrics,http://api.genius.com/songs/3551243,None,2018-02-26," Frenzy on the beat Yeah, he made that Zoo gang in this motherfucker (gang) Zoo god (ayy, wow)   Walk up in this block, shoot it up (blaow) I'ma break the dash in my truck (skrr) And you know I had it on me, it was tucked (yeah) Blowin' all this weed got me stuck (yeah) She let me fuck for free, but I pay The way she suck on me, made her stay She wanna fuck on me like every day She want me in every way But I gotta go and slide with my dogs (with my dogs) Boutta go and slide to the mall (slide to the mall) Boutta go inside, blow it all (cash) Later I get fly, then I'm gone (shoo)   Pull up where he at, then air it out (grra) Nigga, you a rat, I can't hear you out (nah) Gettin' smoky in this bitch, gotta clear it out (yeah) Money gettin' nigga, do you hear it now? Pull up where he at, then air it out (grra) Nigga, you a rat, I can't hear it out (nah) Gettin' smoky in this bitch, gotta clear it out (yeah) Money gettin' nigga, do you hear it now? (yeah)   Ayy, niggas work the trap like a slave (skrr, skrr) Screamin' Pérignon 'til the grave (Pérignon) Free my brother Ricky out the cage (swish) Niggas only hate you when you paid (skrr, skrr) Bitches tryna see how much you make (skrr, skrr) Told 'em ""bitch, just chill, give me some space"" (skrr, skrr) I don't take no pictures every day (skrr, skrr) She say I'm different, baby, I can't stay the same (yeah) Do Michael Jordan still play on that team? (skrr, skrr) See he [?] (skrr, skrr) I say less for you and more for me (and more for me, bitch) I can't let the opposition eat (gang)   Pull up where he at, then air it out (grra, skrr, skrr) Nigga, you a rat, I can't hear you out (nah, skrr, skrr) Gettin' smoky in this bitch, gotta clear it out (yeah, skrr, skrr) Money gettin' nigga, do you hear it now? Pull up where he at, then air it out (grra, skrr, skrr) Nigga, you a rat, I can't hear it out (nah, skrr, skrr) Gettin' smoky in this bitch, gotta clear it out (yeah, skrr, skrr) Money gettin' nigga, do you hear it now? (yeah, skrr, skrr)"
