api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2478235,Fifth Harmony,1000 Hands,https://genius.com/Fifth-harmony-1000-hands-lyrics,http://api.genius.com/songs/2478235,7/27,2016-05-27," Tired, tired, you're all I want, yeah  [Verse 1: Camila & Normani] It'll be 'til the end, give me nothing I've ever tried It'll be the perfect sin, something like the truest lie Everywhere somehow, the only place I'll ever be As long as you hold me down, oh such a liberty   Warm me with your touch, pressure from your fingertips Never be enough, I'll do nothing but submit   I just wanna feel a thousand hands from you, only you Can you make me feel a thousand hands from you, only you?  [Verse 2: Normani & Ally] Grab a hold of my soul and make me feel complete within You'll be the one to show these goosebumps on my skin I'll wear my heart on my sleeve, I need you to feel the pain Would you take a bullet for me? Cause you know I'll do the same   Warm me with your touch, pressure from your fingertips Never be enough, I'll do nothing but submit   I just wanna feel a thousand hands from you and only you Can you make me feel a thousand hands from you and only you?   I just want to feel a thousand, from you A thousand hands from you Just wanna feel a thousand A thousand hands from you Feel a thousand hands from you"
/songs/3632880,Fifth Harmony,All Again,https://genius.com/Fifth-harmony-all-again-lyrics,http://api.genius.com/songs/3632880,Unreleased,2018-09-06," Ooh Oh, oh   Frozen in time But in my mind there's no erasing you I toss and I turn It's gonna hurt no matter what I do  [Pre-Chorus: Dinah, Normani] I'm trembling inside, no, I can't stop myself from shaking Even though I, I know you'd take my heart and break it You'd break it  [Chorus: Lauren, Dinah, (Normani), All] But every kiss and every breathless moment (I'd do it all again) Trying to make it right, but I know it'll all go wrong (I'd do it all again) 'Cause I can't lie I love you still, for all my life, I always will Even though I know how this story ends I'd do it all again  [Verse 2: Camila, Normani] Oh, babe Remembering when You made me dance around the living room It still makes me smile I don't know how to let go of you   But now that you're gone, I can't stop myself from crying I gotta move on, but I'm not strong I'll keep on tryin', I'm tryin'  [Chorus: Lauren and Ally, Dinah and Ally, (Normani), All] But every kiss (Every kiss) and every breathless moment (Every breathless moment) I'd do it all again Trying to make it right, but I know it'll all go wrong I'd do it all again 'Cause I can't lie I love you still, for all my life, I always will Even though I know how this story ends I'd do it all again  [Bridge: Normani + Camila, Camila] And I hate how much (How much) I still love you, you're such a tragedy It's impossible to comprehend this hold you got on me  [Break: Lauren, Dinah, Ally] But every kiss and every breathless moment Trying to make it right but I know it'll all go wrong (Oh) 'Cause I can't lie I love you still, for all my life yeah and I always will Even though I know how the story ends  [Chorus: (Camila), Lauren and Ally, All, Dinah and Ally, Dinah] (Baby, but) But every kiss and every breathless moment I'd do it all again Trying to make it right, but I know it'all go wrong (it'll all go wrong, woah oh) I'd do it all again 'Cause I can't lie I love you still, for all my life, and I always will Even though I know how this story ends I'd do it all again I'd do it all again"
/songs/2458387,Fifth Harmony,All In My Head (Flex),https://genius.com/Fifth-harmony-all-in-my-head-flex-lyrics,http://api.genius.com/songs/2458387,7/27,2016-05-27," Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head   I wanna flex with you, baby I'm tryna chill with you Throwin' bands at you While we flexing boo, baby Show me some different moves And I love your groove 'Cause it's meant to be, baby Ay, make history, baby And you the one for me And I'm the one for you So come flex with me, baby   Curtains like waves closing in all around us Dimming the lights just so that they don't blind us So tongue in cheek when we're laying on roses But you're touching my skin and you're leaving me hopeless   I wanna feel you un—, feel you under my body I wanna feel you un—, feel you un—   Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah   Curtains like waves closing in all around us, yeah, yeah, yeah Dimming the lights just so that they don't blind us, nah, nah So tongue in cheek when we're laying on roses But you're touching my skin and you're leaving me hopeless   I wanna feel you un—, feel you under my body I wanna feel you un—, feel you un—   Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah   I want you to come flex with me, baby You got what I want and I need it Say you're a bad motherfucker and I'm sayin' They can't play with us and you know it I take a hundred thousand and blow it Ay, another hundred thou and I love her Ay, come flex with Zoo 'til it's over Ay, come flex with Zoo 'til it's over, yeah babe   I wanna feel you un—, feel you under my body I wanna feel you un—, feel you un—   Oh, flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah  [Outro: Fetty Wap & Normani & Dinah] (I wanna flex with you, baby) Hey, it's all in my head (Zoovier, baby) It's all in my head (I wanna flex with you, baby) It's all in my head (Baby) It's all in my head"
/songs/2848552,Fifth Harmony,All In My Head (Flex) [no rap],https://genius.com/Fifth-harmony-all-in-my-head-flex-no-rap-lyrics,http://api.genius.com/songs/2848552,None,2016-05-27," Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head   Curtains like waves closing in all around us Dimming the lights just so that they don't blind us So tongue in cheek when we're laying on roses But you're touching my skin and you're leaving me hopeless   I wanna feel you un-, feel you under my body I wanna feel you un-, feel you un-   Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah   Curtains like waves closing in all around us, yeah, yeah, yeah Dimming the lights just so that they don't blind us, no, no So tongue in cheek when we're laying on roses But you're touching my skin and you're leaving me hopeless   I wanna feel you un-, feel you under my body I wanna feel you un-, feel you un-   Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah   I wanna feel you un-, feel you under my body I wanna feel you un-, feel you un-   Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head Flex, time to impress Come and climb in my bed Don't be shy, do your thing It's all in my head, yeah   Hey, it's all in my head It's all in my head yeah It's all in my head yeah It's all in my head"
/songs/2274544,Fifth Harmony,All I Want for Christmas is You,https://genius.com/Fifth-harmony-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/2274544,I'll Be Home For Christmas,2014-11-16," I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree  [Ally & Camila & Dinah] I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you  [Verse 1: Ally & Camila] I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you You baby  [Verse 2: Normani & Ally & Lauren & Camila] Oh, I won't ask for much this Christmas I won't even wish for snow And I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click   'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby, all I want for Christmas is you You baby   Oh, all the lights are shining So brightly everywhere And the sound of children's Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one that I Really need? Won't you please bring my baby to me?  [Verse 3: Lauren & Ally & Camila & Dinah] Oh, I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door Oh, I just want you for my own More than you could ever know Make my wish come true, baby All I want for Christmas is you, you   You, baby All I want for Christmas is you, baby All I want for Christmas is you, baby All I want for Christmas is you, baby All I want for Christmas is you, baby"
/songs/3110852,Fifth Harmony,American (Cover),https://genius.com/Fifth-harmony-american-cover-lyrics,http://api.genius.com/songs/3110852,Live,2013-03-08," Oooooh... Oooooh...   Play house, put my favorite record on Get down, get your crystal method on You were like tall, tan, (Oooooh...) driving ‘round the city Flirtin’ with the girls like you’re so pretty Springsteen is the King, (Oooooh...) don’t ya think? I was like, ""hell yeah, that guy can sing"" Like ooh-ooh-ooh-ooh-ooh (Oooooh...) Ooh-ooh-ooh-ooh-oh  [Chorus: Camila & Ally & (Normani) & Dinah & {Lauren}] You make me crazy, you make me wild Just like a baby, spin me 'round like a child Your skin so gold and brown (your skin, your skin, your skin) Be young, be dope, be proud (be proud) Like an American {Oooh-ooh-oooh-ooh} Like an American {Oooh-ooh-oooh-ooh} Like an American {Oooh-ooh-oooh-ooh} Like an American {Oooh-ooh-oooh-ooh}"
/songs/3189578,Fifth Harmony,Angel,https://genius.com/Fifth-harmony-angel-lyrics,http://api.genius.com/songs/3189578,Fifth Harmony,2017-08-10," Who said I was an angel? Who said I was an angel? Oh yeah   We was just a moment, nothing serious Never really paid you no mind Dropped the bag, started paying attention Should've never lied Should’ve never not kept your word Woulda had a reason to keep mine You was too way inconsistent Should've never lied   Should've never crossed that line with ya Everything was cool, just drinkin’ with ya Way too young to be up in handcuffs Wasn't tryna spend my life on the phone with ya Gotta keep it on one hundred with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya  [Chorus: Dinah, with Ally & (Lauren)] Who said I was an angel? Who said I was an angel? (Oh yeah) When you look at me, what do you see? Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel?   Yeah, won't lie and say I don't lie Yeah, I might've told a few lies, yeah Won’t lie and say I didn’t try But you're only worth a few tries, yeah Track star, think you’re running these streets You ain't the only one running the streets Stay making ground like I only wear cleats, yeah   Should've never crossed that line with ya Everything was cool, just drinkin' with ya Way too young to be up in handcuffs Wasn’t tryna spend my life on the phone with ya Gotta keep it on one hundred with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya  [Chorus: Dinah + (Normani) & (Ally) & All] Who said I was an angel? (But you was wrong, oh yeah) Who said I was an angel? (Oh, I'm no angel, when you look at me) When you look at me, what do you see? (Oh, what do you see?) Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Who said I was an angel? Oh   Oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh, oh I want it, I want it, oh, oh, I want it Ah, ah, ah, ah, ah, ah, ah, ah I want it, I want it, ah, ah  [Chorus: Normani, Dinah, Both & (Lauren)] Who said I was an angel? (Who said I was an angel? Didn't know the real me, I'm far from an angel) Who said I was an angel? (Never took the time out Never had time to figure me out, when you look at me) When you look at me, what do you see? (Oh, what do you see?) Open your eyes, I'm more brilliant than you'll ever be, yeah Who said I was an angel? (Who said I was a, an angel? Oh)"
/songs/2396059,Fifth Harmony,Anything Could Happen (Cover),https://genius.com/Fifth-harmony-anything-could-happen-cover-lyrics,http://api.genius.com/songs/2396059,Live,2016-12-12,"[Chorus: Ally & Lauren & All] Stripped to the waist we fall into the river Cover your eyes so you don't know the secret I've been trying to hide We held our breath to see our names are written On the wreck of '86 That was the year I knew The panic was over   Yes since we found out Since we found out   That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could   After the war we said we'd fight together I guess we thought that's just what humans do But now I've seen it through And now I know the truth   That anything could happen Anything could happen Anything could happen Anything could happen Anything could happen Anything could   Baby, I'll give you everything you need I'll give you anything you need, oh yeah I'll give you anything you need I know it's going to be I know it's going to be I know it's going to be I know it's going to be I know it's going to be I know it's going to be alright   Since we found out Since we found out   Anything could happen Anything could happen Anything could happen Anything could happen Anything could"
/songs/550727,Fifth Harmony,Anything Is Possible,https://genius.com/Fifth-harmony-anything-is-possible-lyrics,http://api.genius.com/songs/550727,None,2014-01-01," B-A-R-B-I-E Together, forever You and me  [Verse 1: Lauren & Camilla] I can be anything I wanna be If I can dream it I can do it, no one's stopping me And I will, yea I will And I know I can do it 'cus I got my friends We'll go on a journey that'll never end Yea, we will We will   We can be anything we want   Me and my girls! Yeah It's our world, yeah Anything is possible, we're unstoppable Me and my girls! B-A-R-B-I-E  [Verse 2: Ally & NormaniWe're dreaming big, I know we are We've got it all, we'll be superstars Yea we will, we will  We're looking good, we're feeling proud Gonna stand up, gonna shout it out Yea, we will Yea, we will   We can be anything we want   Me and my girls! Yeah It's our world, yeah Anything is possible, we're unstoppable Me and my girls! Let's go   B-A-R-B-I-E I've got all my girls with me Barbie! B-A-R-B-I-E Together, forever You and me  [Pre-Chorus: Normani & Ally] If I can dream it, then I can do it I've got my girls with me There's nothing to it   Me and my girls! Yeah It's our world, yeah Anything is possible, we're unstoppable Me and my girls!   (B-A-R-B-I-E Together, forever You and me)"
/songs/4472855,Fifth Harmony,Anytime You Need a Friend,https://genius.com/Fifth-harmony-anytime-you-need-a-friend-lyrics,http://api.genius.com/songs/4472855,None,2017-11-28,"[Verse 1: Ally & Normani &(All)] Oh, oh If you're lonely and need a friend Troubles seem like they never end Just remember to keep the faith (Ah, ah) And love will be there to guide the way   Anytime you need a friend I'll be here You'll never be alone again So don't you fear Even if I'm miles away I'm by your side (Oh, oh) Don't you ever be lonely Love will make it alright  [Verse 2: Lauren & Dinah & (All)] When the shadows are closing in And your spirit diminishing Just remember you're not alone (Ah, ah) And love will be there to guide you home   Anytime you need a friend I'll be here (I will be here) You'll never be alone again (You'll never be alone again) So don't you fear Even if I'm miles away (Even if I'm miles) I'm by your side (Don't you ever be lonely Love will make it alright)"
