api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1240774,Flo Rida,21,https://genius.com/Flo-rida-21-lyrics,http://api.genius.com/songs/1240774,Only One Flo (Part 1),2010-11-30,"She just turned 21 Now she's all up in the club having hell of fun She says she wanna rock all night Go ready and give her some Go ready and get a chunk  Shawty about to shut it down Down, down, down! Comes in the air, we can't put them down, down, down We've got the pricks It's going down, down, down! Oh man, she looks like she's ready now Yes man, let's shut it down!  Yeah, shut it down, 21 like gambling Black Jack, show the bet, show her all the scheme Go in there, she... ... what's happening? In the morning, I'm... Half the bottle cause she's probably a woman Drunk up, feel better in the morning Drank up, ran out like oh, oh, oh Don't want the club to get closed Around like mile 24 When she came to the door ... what happens in the spot tonight they won't know The birthday girl is out of control Like her smile I'm sure for sure Cause she's 21 years old   She just turned 21 Now she's all up in the club having hell of fun She says she wanna rock all night Go ready and give her some Go ready and get a chunk  Shawty about to shut it down Down, down, down! Comes in the air, we can't put them down, down, down We've got the pricks It's going down, down, down! Oh man, she looks like she's ready now Yes man, let's shut it down!  O.K., you know that what happens at the 21st B-Day Stays at the 21st B-Day Gotta go hard, you don't wanna take it easy Shut it down, get a... from the D.J One drop on the birthday girl  The beat 21 is over! Do you...  Real talk in the... The momma don't... like it's all about her She don't see nobody like... In the club telephone don't stop Show her love, how to stay in the spot Show...   She just turned 21 Now she's all up in the club having hell of fun She says she wanna rock all night Go ready and give her some Go ready and get a chunk  Shawty about to shut it down Down, down, down! Comes in the air, we can't put them down, down, down We've got the pricks It's going down, down, down! Oh man, she looks like she's ready now Yes man, let's shut it down!  I'm spending money tonight Give you the time of your life The after party is back at my house, my house! I've got a present for you It's waiting up in my room But I wanna give it to you right now, right now! Who wants another round? We're about to take them down I'm staying back... How you're shaking that...? She's turning 21, the night has just begun We gonna be living in a...   She just turned 21 Now she's all up in the club having hell of fun She says she wanna rock all night Go ready and give her some Go ready and get a chunk  Shawty about to shut it down Down, down, down! Comes in the air, we can't put them down, down, down We've got the pricks It's going down, down, down! Oh man, she looks like she's ready now Yes man, let's shut it down!"
/songs/795214,Flo Rida,Ack Like You Know,https://genius.com/Flo-rida-ack-like-you-know-lyrics,http://api.genius.com/songs/795214,Mail On Sunday,2008-03-18," Ain't no need to ask why I let them rubber bands fly I let them rubber bands fly Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey... My whole squad iced out My niggas so trill, my niggas so trill Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey...   Why ask a question that already got an answer? End of discussion, meet the polar bears you pandas Rubberband bananza When I'm in the land of 20 grand a  Make you understand us I'm sorry if you ain't got ya stacks up Tell yo click to patch up That envy get you patched up Dog, y'ain't ready for this Machine thang ready to spit I ain't just tellin' you shit Peat game look at my wrist Flo Rida franchise, I'm like the pizza man All about cheese, full of dough Let me  ya hands  I ain't local Ghetto nigga, done wit postal Stuntin' hard, that's my focal Now my cash goin' coastal   Ain't no need to ask why I let them rubber bands fly I let them rubber bands fly Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey... My whole squad iced out My niggas so trill, my niggas so trill Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey...   The world don't revolve around me That's what the haters say 'til that revolve around me Fort Knox, I'm in the spot Big knocks, right off the block Closed shop, come in that drop Hoes flock, givin' me props I used to be gross, 'til that income grossed Me enough to toast, like I'm on the sitcoms Champagne overdose East Coast, West Coast Came in the game, wit a remote Turn on my fame, I got to glow A project dude? The new dollar signs All this from on the grind All this from writing rhymes Silver shoe boxes, big faces on my watches Seven figures that's the object No more  sausage   Ain't no need to ask why I let them rubber bands fly I let them rubber bands fly Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey... My whole squad iced out My niggas so trill, my niggas so trill Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey...   Flo Rida so abusive to them Ben Franks Rubber bands flyin' like the pilot had too many dranks Turbulence, she makin' it bounce I got the best seat in the house Twerking it, I'm losing count She workin' for that dollar 'mount A privilege just to be a prospector, ballin Mo' issues a pistol fallin' Official, the shot callin' Holdin' it down, settin' it off Money to floss, bitch I'm a boss Takin a loss, no matter the cost Women to toss, I live in a  Carol City, doing big thangs, baby Them Dade County streets raised me Ever since the early 80's APT's, live in the hood Triple beams, slangin' that good Krispy Kreme, where I stood Livin' the dream, just like I should   Ain't no need to ask why I let them rubber bands fly I let them rubber bands fly Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey... My whole squad iced out My niggas so trill, my niggas so trill Ack like you know, ack, ack like you know Ack like you know, ack, ack like you know Hey..."
/songs/785737,Flo Rida,All My Life,https://genius.com/Flo-rida-all-my-life-lyrics,http://api.genius.com/songs/785737,Mail On Sunday,2008-03-18," All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on   The hood never caused but they all was hard His kind never represented love at all Purple hearts in the hood, them ghetto scars Where every time I see my daddy it was just a mirage Now my mammy need a mechanic when the car wouldn't start I couldn't understand it, even told it to god Now my family in jeans, headed straight to the top Access granted with this empty can of starch No not the Yellow tape was the moon every night on the block Surrounded by the stars them dirty cars Dreadlocks in the grill try to camouflage Gotta make it out for real for I be at large I wrote XXL in the view of my squad Got a record on the shelf they say I'm good at the mall Gotta learn to help myself no sugar to borrow Cause...   All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on   A four course meal every first of the month Everybody in the projects family home Don't know you till the DJ like I want some But before thanksgiving, was a catholic nun Crabs in the bucket dirty 11 to 1 Without the struggle probably never woulda heard of lebron Try and juggle in the casket with ya sister lavonne Suicide, live lavish at the tip of my tongue Only thing come to ratchet was the 23rd song Yeah it coulda been tragic for the boy from the scums Yeah he got the craftmatic no rest till I won Life took a stab at him couldn't punch him alone Born near the savages kinda made me numb Two doors from where the dope boi magic was slung It was real not a fancy, they'd kill ya for crumbs Only reason why I rap, keep from being a bum Cause...   All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on   Sitting here, reminiscing Of all the nights I had to grind Taking chances with the system I put my whole life on the line   All my life know it ain't been sweet All my life I been in the streets All my life up against concrete All my life mama gave me the speech All my life somebody died every week All my life ducking the police All my life without soda I weeped All my life no first class seats All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on All my life, had to hustle just to make a way All my life, riding dirty on the highway All my life and it all changed in one day All my life it's the moment I been waiting on"
/songs/20054,Flo Rida,American Superstar,https://genius.com/Flo-rida-american-superstar-lyrics,http://api.genius.com/songs/20054,Mail On Sunday,2008-03-18," Look at me bitch, look at me bitch Look at me bitch, I'm an American superstar  [Hook 1: Flo Rida & Lil Wayne] I got guns for the snitches, roses for the bitches Hop up out the whip, paparazzi taking pictures I got guns for the snitches and roses for the bitches Hopping out the whip, paparazzi taking pictures Got guns for the snitches, roses for the bitches Hop up out the whip, paparazzi taking pictures I got guns for the snitches, roses for the bitches Hopping out the whip, paparazzi taking pictures   Heavy metal for them boys, plenty petals for them gals Got an appetite for destruction, you can call me Axl Ask me bout what a nigga done done Ask me bout what a nigga do well Ask me bout where them bricks come from That's what a snitch nigga do, they tell I don't want nothing to do wit that there If its a lick then I'm bringing them shells Only position for me is a player That's rite player, better get it right player Might have to be an emergency Lucky for you I'm up blowing my trees Calming my nerves, no regular weed Or somebody's shorty wit me, on her knees I'm ready if its a problem, she sexy, Flo Rida hotter Come test me get that revolver, ya messy just like a mobster My broads deserve lobster, you're flawed, deserve choppers Get served like Jimmy Hoffa, American show stopper  [Hook 2: Lil Wayne & Flo Rida] I got guns for the snitches, and roses for the bitches Hopping out the whip, paparazzi taking pictures Got guns for the snitches, roses for the bitches Hop up out the whip, paparazzi taking pictures I got guns for the snitches, roses for the bitches Hopping out the whip, paparazzi taking pictures, like Look at me bitch, look at me bitch   (Young Mula Baby!) I got money on money on money on money On top of more money, on top of my shit like flies Open that Ferrari F-5 like eyes Bumpin down Ocean Drive Jumpin out that maybach with a bitch Went back to tease them thighs She gotta tattoo on her booty and it said 305 DJ Khaled say its a movie now don't forget your lines Cause you don't want me to edit, before we roll them credits Bitch give me my credit, I'm so energetic I'm fucking like a rabbit, smoking on lettuce Whatever I want I get it, I meant it if I said And I say I keep a pump, and I ain't talking unleaded If you want it come get it, cause boy I'm ready I get that fast 'fetti, they should call me Tom Petty Got two bitches, one peanut butter one jelly I'm an american gangsta, already and I'm an American superstar  [Hook 1: Flo Rida & Lil Wayne] I got guns for the snitches, roses for the bitches Hop up out the whip, paparazzi taking pictures I got guns for the snitches and roses for the bitches Hopping out the whip, paparazzi taking pictures Got guns for the snitches, roses for the bitches Hop up out the whip, paparazzi taking pictures I got guns for the snitches, roses for the bitches Hopping out the whip, paparazzi taking pictures   I'm an American superstar, yeah I'm an American superstar, yeah I'm an American superstar, yeah Baby I'm an American superstar, hahahaheh"
/songs/2469339,Flo Rida,At Night,https://genius.com/Flo-rida-at-night-lyrics,http://api.genius.com/songs/2469339,None,2016-05-08," At night, I think of you All night, you're rocking my body Rocking my body, oh At night, I dream of you So don't stop rocking my body Rocking my body, babe Flo Rida Ayo, Liz, you know I'm the life of the party   Girl, I'm loving your body I wanna see you make it wiggle Start with the top and then I'mma meet you in the middle I'm certified, I'm certified, I'm the one If you ready to party, we party all night long Give me a minute, I'll touch your nose wide open Give me another, I'll give you everything you hoping Give me a call, I'm on the way on the 10 I'mma dive in and we can do it again   If you down tonight You know I got it, you know I got it, yeah I'll be rocking your body, rocking your body, yeah   At night, I think of you All night, you're rocking my body Rocking my body, oh At night, I dream of you So don't stop rocking my body I wonder if you know, boy, do you know That I got you on my mind Secret admirer So don't stop rocking my body Rocking my body, oh   Come with me, now roll with a rider, no doubt Go with the flow, don't you know I put it down Mr. Internationally known You're number one, but I got two phones Both of my numbers They work in and out the country Love when you work it I'll bring you back in that 'Mazaki Give me a call, I'm on the way on the 10 I'mma dive in and we can do it again   If you down tonight You know I got it, you know I got it, yeah I'll be rocking your body, rocking your body, yeah   At night, I think of you All night, you're rocking my body, rocking my body, oh At night, I dream of you So don't stop rocking my body I wonder if you know Boy, do you know that (Uh huh) I got you on my mind (Yeah-yeah-yeah) Secret admirer (Akon) So don't stop (Oh-oh-oh) Rocking my body (Yeah) Rocking my body, oh   Been around the globe I couldn't find no one quite like you You're the one I wanna hold And won't let go, don't ask me too All the things in your bed, I'm 'bout to do All that's ran through my head is thoughts of you Ooh, move that ass on, girl We ain't got much time Cause we got a lot to do So if you with it Let me hear you say it, hell yeah Baby girl, if you with it Let me hear you say it, hell yeah   Baby, at night, I think of you All night, you're rocking my body Rocking my body, oh At night, I dream of you So don't stop rocking my body I wonder if you know, boy, do you know That I got you on my mind Secret admirer So don't stop rocking my body Rocking my body, oh"
/songs/62824,Flo Rida,Available,https://genius.com/Flo-rida-available-lyrics,http://api.genius.com/songs/62824,R.O.O.T.S.,2009-03-31," Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh   It's the time It's the right time It's the time (It's the time) Yo, it's the perfect time (It's the perfect time)  Yo It's the time (It's the time) It's the right time (This is my time) It's the time (It's the time) Baby, baby, baby  I'm a single man Now let's go out and hit the town and start the mingling I'll bag the baddest girl around and get her giggling I'll take her out onto the floor and get her wiggling (And got me wiggling)  Cause I ain't got no girlfriend, got no obligation Baby, I'm a single man, that's my situation Let me put your number in my iPhone, baby And when I call you later maybe I can see ya lady   I'm finally free and I'mma get right tonight I'm finally free and I'mma get right tonight I'm so available, I'm so available So come and get me  Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh   If you a single girl Up in the club looking for love, come on and bring it girl This is a song, I'll turn it up, come on and sing it girl And if you man blow up your phone, turn off your ringer girl Turn off your ringer  Cause I ain't got no girlfriend, you ain't got one either If you got a girlfriend, baby won't you bring her? If you got a ex, leave your at ex at home And if he hits the message throw away your cell-a-phone   I'm finally free and I'mma get right tonight I'm finally free and I'mma get right tonight I'm so available, I'm so available So come and get me  Ooh ooh ooh, ooh ooh ooh, ooh ooh ooh  I'm finally free, I'm finally free I'm finally free, I'm finally free It's the time, it's the right time The perfect time, hey  Cause I ain't got no boyfriend, you ain't go no girlfriend I ain't got no boyfriend, baby we can be friends And we can do it, yeah we can do it baby We can do it, do it, do it  I'm finally free and I'mma get right tonight I'm finally free and I'mma get right tonight I'm finally free, I'm finally free I'm finally free, I'm finally free I'm finally free  [Will.I.Am] All my ladies, single ladies, make some noise All my ladies, single ladies, single ladies, make some noise All my ladies, single ladies, come and holla at ya, at ya boy It's Will.I.Am, ya'll know me, I be, I be rocking them beats   I'm, I'm, I'm, I'm so available, ain't got a girlfriend Single man, we can do whatever tonight Let's throw a party, I'm a bachelor, get loose it you like So, so free I want to paint it on my Maybach light  Women that like, women excite, women my type Women tell I want 'em in the mix, Patron and sliced lemons Sure they get me right, tryna jam like Russ Simmons Visit my website, turn on your skype wit' me  Celebrate I'm feeling my best Surprise quickly get rid of my stress Then I'm gon' move onto my next mission Shawty hit me up, we can do it it's all love I'm balling, it's all cause I'm finally free"
/songs/3409680,Flo Rida,Balla,https://genius.com/Flo-rida-balla-lyrics,http://api.genius.com/songs/3409680,R.O.O.T.S.,2009-10-06," This for my ballas ayyyy I guess I'm gettin what I had comin Wish they told me I'll be stuntin All my life I'm tryin get money All my life I'm tryin get money This for my ballas, I'm a balla   Flo Rida be the landlord I need that rent money I'm a poor boy eryday I get cake honey Birthday man my piñata my state honey Take one glance and the Prada got 'em hatin' on me Gun shinin' on the waist yeah the waist sunny Like biggie rappin' I'll ain't the way dummy Jack boys souvenirs to the big tummy New year chopper wet like the nose runny Shot clothes takin over what [?] Sorrowed light bulbs where the sound light blows The south got soul grand mama got gold Real granddaddy like formin' no smoke This be the truth loose slips next told Got to get fat carrots see these xxx like kimor Thick hips holla back like I'm in a lambo Playin' xxxxxxx my career peep the rap game cold   This for my ballas ayyyy I guess I'm gettin' what I had comin' Wish they told me I'll be stuntin' All my life I'm tryin' get money All my life I'm tryin' get money This for my ballas I'm a balla   That mg get it 305 fitly keep that 22 got to get it Hustle all day be broke the next I'll sleep when I day I need that check Never thought still pop off like this Yeah your dam right fool I never had shit Stuntin' reel hard like I wanna blow it all I ain't tryin' do xxxx but ball It's my time the roly don't lie For niggas out there I'm a up my fire Shit don't change till a niggaa more tired If niggaas feel different, you a god dam lie I'm so high but I'm like xxxx it That home boy b like a motherfucking bucket I'm straight thuggin' the hoes just love it Your boy xxxx and yes I does it   This for my ballas ayyyy I guess I'm gettin' what I had comin' Wish they told me I'll be stuntin' All my life I'm tryin' get money All my life I'm tryin' get money This for my ballas I'm a balla   Boy I'm rich and yeah I'm gettin' money If it's close enough then I see it comin' Call me a balla call me what you want Call me a real goon riding in a donk Call me broke cause that I ain't I mite be a po boy trying get bank All my life I've ben trying get mo When it goes down I could tell you how it go Whoa Straight from the hood to the good with the bad Lot these growin' up I wish I had But everything in life ain't promised Them the last words I herd from momma Stay reel watching for the haters Here they come but with money you for lay them I feel like spendin' and I want it No matter how I get it   This for my ballas ayyyy I guess I'm gettin' what I had comin' Wish they told me I'll be stuntin' All my life I'm tryin' get money All my life I'm tryin' get money This for my ballas I'm a balla"
/songs/102486,Flo Rida,Be on You,https://genius.com/Flo-rida-be-on-you-lyrics,http://api.genius.com/songs/102486,R.O.O.T.S.,2009-10-06," I said excuse me little mama if I may Take this thought and send it your way And if you don't like that then send it right back But I just gotta say I wanna be on you, on you I wanna be on you, on you And if you don't like that, then send it right back But I just gotta say, I just gotta say   Sh-sh-shawty with no limits, that's what I need all the time I'm w-w-with it, she with it, she not sure she put it down Come g-g-get it, the business, I h-h-hit it, whose is it? The Benz with the windows tinted, go on, lock it, dirty south Shown in like them grown men, Goose, Patron, gin L-let me go on in, sexy moanin', c-catch me jonesin' N-no not never ever witnessed little mama off schedule Got me achy, call me papi, hot as saki, fly as feathers B-but robbed that, sh-shawty house staked, g-got that prowl cat I wanna pop it like ecstasy, pretty face and all that But what I look for, this gal is hood core, b-baddest outdoors Deserve a encore, the definition of a show   I said excuse me little mama if I may Take this thought and send it your way And if you don't like that then send it right back But I just gotta say I wanna be on you, on you I wanna be on you, on you And if you don't like that, then send it right back But I just gotta say, I just gotta say   Hey, I'm feeling you girl, wanna get close to you, no doubt My s-s-swagger should tell it more than anything can vouch Little mama you are what's happening, ghetto fine, I'll make you proud So stunt-alicious, I love it, let's at least work something out Miss Thang, million dollar game, Coke bottle frame Make my wall of fame, let me know your name, I control the rain I can make it better, matter of fact I'll make it wetter Stormy weather with this cheddar all because you hot as ever If you may lady, let me play baby, make my way baby You won't like it, send it back, i-it's okay baby You's a keeper, such a diva, give me your fever If I could freak ya, give me the word, I mean no harm   I said excuse me little mama if I may Take this thought and send it your way And if you don't like that then send it right back But I just gotta say I wanna be on you, on you I wanna be on you, on you And if you don't like that, then send it right back But I just gotta say, I just gotta say   Girl, let me touch you like nobody can Girl, let me show you I'm a gentleman I wanna be the one to hold your hand I just wanna be, I just wanna be Girl, let me touch you like nobody can I wanna show you I'm a gentleman Girl, let me be the one to hold your hand I just wanna be, I just wanna be   I said excuse me little mama if I may Take this thought and send it your way And if you don't like that then send it right back But I just gotta say I wanna be on you, on you I wanna be on you, on you And if you don't like that, then send it right back But I just gotta say, I just gotta say  I said excuse me little mama if I may Take this thought and send it your way And if you don't like that then send it right back But I just gotta say I wanna be on you, I wanna be on you And if you don't like that then send it right back But I just gotta say, I just gotta say Be on you, y-y-you"
/songs/774861,Flo Rida,Birthday,https://genius.com/Flo-rida-birthday-lyrics,http://api.genius.com/songs/774861,Mail On Sunday,2008-03-18,"Ross, Flo Rida? Poe Boy Entertainment, Like I Said We The Best, Flo Rida, Apt, Millions  I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday)  I'm a Be Honest, Tomorrows Not Promised That's Y I Say This Here Today Then Your Gone Like Renting A Car From Avis Hurts But It's The Truth, Your Diving Out That Mercedes That's Y I Be One Point, I'm Never Procrastinatin U Better Be Dodging Satin The Pussy Nigga Be Hatin Want His Cake And Eat It To, Then U Do Greasy Like Bacon Everyday Money Chasin, I'm So In Love With The Fragrence So What I'm A Little Impatient, U Dope Man Ain't Got No Patience Boy I Feel Like I'm Racin, Before I Become A Raisin Those Strippers Hotter Then Cajen, My Daily Be In Rotation The Daily Birthday Occasion, I'm Rarely Off Of Vacation I'm Barely Owing The Nation The Nelly Dollars Are Rakin  I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday)  I Ain't Talkin Next Year I Ain't Talkin In A Month I Ain't Talkin In A Week Err Day I Wanna Stunt Err Day I Want Sum Candles Err Day A Hundred Bucks Err Day I Pull Up In Lambo, Filet Minon For Lunch Where My Birthday U Got My Birthday When My Birthday U Better Day My Birthday I Get Emotional That's Wat C Notes Will Do Them Penny Loafer Shoes, Help Me Cop A Bently Coupe Now My String Of Woman Hotter Then Cambells Soup Boy That Cake Will Make Them Priests Turn Into Animals I'm King Kong, And It's Your Trainin Day Denzel With The Ice And I'm Pushin Weight I Ain't Tryina Make Em All I Ain't Tryina Down Pay If Biggie Got A Wife She Ain't With Him Not Day Ain't Nobody Here To Stay U Can Try To Get Away I'll Bounce A Nigga Prey My Advice Still The Same Ayy  I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday) I Don't Want No Cake On My Birthday, I Want My Cake Err Day (Errday)"
/songs/775700,Flo Rida,Broke It Down,https://genius.com/Flo-rida-broke-it-down-lyrics,http://api.genius.com/songs/775700,Wild Ones,2013-03-13," This time we going in Gonna get get what, get wild So grab somebody 'cause nobody going home tonight Say round one's on me, everybody cheer it up Say 5, 4, 2, 3, we're about to tear it up  Go back and forth, break it to the floor Now ladies show your talent Let me shake it lleft, where the fellas at? Point her out if she the baddest If you know like I know, something's goin' down tonight And no, oh, oh, oh Don't make me have to say it twice   Oh you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down Oh, you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down  This night's so interesting Everybody falling out If you looking good and you're feeling great Then you should shout this out Say ay ay ayo, everybody say it now Say ay ay ayo, everybody say it loud  Go back and forth, break it to the floor Now ladies show your talent Let me shake it lleft, where the fellas at? Point her out if she the baddest If you know like I know, something's goin' down tonight And no, oh, oh, oh Don't make me have to say it twice   Oh you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down Oh, you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down   Up in the spot just floatin' around I see lil mama them broking it down, all over the ground Said the beat got them doing the bounce Repeat, shorty ready to clown Let loose, DJ killin 'em up in that booth Love when a woman is shaking that goose Must get enough to have an excuse to tear off the roof and not get the boot, oh no What you mean to do right there? Shorty got her hands in the air She ain't seen none of them girls (Shorty) bring that ass over here   Oh you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down Oh, you in trouble, you about to get it Head to my corner, come and let me fix it You broke broke broke it down, you broke broke it down You broke broke broke it down, you broke broke it down   To the right, to the left, put some boogie in your step You ain't with it then you might as well go home Now all my dogs up in here, sexy ladies everywhere You the truth, let 'em know who won the show"
