api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/71569,Fun.,All Alone,https://genius.com/Fun-all-alone-lyrics,http://api.genius.com/songs/71569,Some Nights,2012-02-14," I fell in love with a wind-up souvenir I bought it downtown as I was on my way to meet you She sounds the like the songs you used to sing to put me to sleep but Now that you're gone, she's all that I've left to hold   And I feel so all alone No one's gonna fix me when I'm broke How do you cry with inanimate eyes? You're never gonna smile with the way that you're wired And I feel so all alone   I gave her to you (I don't need a toy) I thought you might appreciate (I don't like the way that it moves) The way that she dances The painted look upon her face (Someone must've thrown this away) She must have come from the sun (I got too much stuff) I want to take her through the park Where she'd tell me I'm all that she wants (Speaking of which) If she could even talk (I think we need to talk)   I feel so all alone No one's gonna fix me when I'm broke How do you cry with inanimate eyes? You're never gonna smile with the way that you're wired And I feel so all alone I feel so all alone   As she sits on my shelf It makes me think of you The way she carries the things that remind me of who We used to be before we became antiques She's a lot like you But when I hold her too tight, I know she'll break She just takes some glue to stay   And I feel so all alone No one's gonna fix me when I'm broke How do you cry with inanimate eyes? You're never gonna smile with the way that you're wired And I feel so all alone I feel so all alone I feel so all alone"
/songs/71570,Fun.,All Alright,https://genius.com/Fun-all-alright-lyrics,http://api.genius.com/songs/71570,Some Nights,2012-02-14," And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright   And I got the call soon as the day hit night As soon as the headlights lit up the Westside I stopped the car and came outside Cause I know that tone I remember the first time We wished upon parallel lines Waiting for a friend to call And say they're still alive   I've given everyone I know A good reason to go I was surprised you stuck around Long enough to figure out   And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright   And now all my loves that come back to haunt me My regrets and texts sent to taunt me I never claimed to be more than a one-night stand   I've given everyone I know A good reason to go But I came back with the belief That everyone I love is gonna leave me   And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright   And I know, ohh no You've fallen from the sun Crashing through the clouds I see you burning out And I know, ohh no That I put up a front But maybe, just this once Let me keep this one   And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright  And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright"
/songs/2115586,Fun.,All alright - bonus commentary,https://genius.com/Fun-all-alright-bonus-commentary-lyrics,http://api.genius.com/songs/2115586,None,2010-05-26,"Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Well I got the call soon as the day hit night As soon as the headlights lit up the Westside I stopped the car and came outside Cause I know that tone I remember the first time We wished upon parallel lines Waiting for a friend to call And say they're still alive I've given everyone I know A good reason to go I was surprised you stuck around Long enough to figure out That it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright And now all my loves that come back to haunt me My regrets and texts sent to taunt me I never claimed to be more than a one-night stand at all I've given everyone I know A good reason to go But I came back with the belief That everyone I love is gonna leave me And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all all And I know, ohh nooo You've fallen from the sun Crashing through the clouds I see you burning out And I know, ohh nooo That I put up a front Believe me just this once Let me keep this one Yeah it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright Yeah, it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright And it's all alright I guess it's all alright I got nothing left inside of my chest But it's all alright"
/songs/98428,Fun.,All the Pretty Girls,https://genius.com/Fun-all-the-pretty-girls-lyrics,http://api.genius.com/songs/98428,Aim and Ignite,2009-08-25,"(Yeah, that's cool. So it's gonna have to be two passes... The pretty-)  All the pretty girls on a Saturday night   So I call, your name Cross my fingers, uncross the others Hesitate, oh I don't think straight With nothing to prove  I don't wanna say I'm leaving I'll stay until the weekend You can take all the things, the boxes and rings And get going Cause I've been waiting for   All the pretty girls on a Saturday night Let it be, and come to me with the look in your eyes Well you break and take all the words from my mouth I wish all the pretty girls were shaking me down   So I call (I call) you out (out baby) Just to feel a little bit better about myself (he does) I do (you do), baby I do, I do, I do (Yeah we really get it, yeah we know you do)  Until their lips start to move And their friends talk music I'll say ""I've never heard the tune."" But I have, I just hate the band Cause they remind me of you  Every single night ends up the same I don't say much at all, but I bring up your name (Over and over and over) I think it's striking me out   All the pretty girls on a Saturday night Let it be, and come to me with the look in your eyes Well you break and take all the words from my mouth I wish all the pretty girls were shaking me down  But not you - You still wear boots and your hair is too long And then this one, doesn't wanna admit she's falling in love Oh c'mon, oh c'mon, what's a boy to do When all the pretty girls can't measure to you?   I don't understand your reasons Please just stay over the weekend You can't take all those things They define you and me Everything we've become You're all that I need Please don't make me face my generation alone   All the pretty girls on a Saturday night Let it be, and come to me with the look in your eyes And you break and take all the words from my mouth I wish all the pretty girls were shaking me down  But not you I feel your faith is destroying the world And then this one, never really understood the eighties is over And done, oh c'mon,  what's a boy to do When all the pretty girls can't measure to you?   Say All the pretty girls on a Saturday night All the pretty girls on a Saturday night All the pretty girls on a Saturday night All the pretty girls on a Saturday night"
/songs/79235,Fun.,At Least I'm Not as Sad (As I Used to Be),https://genius.com/Fun-at-least-im-not-as-sad-as-i-used-to-be-lyrics,http://api.genius.com/songs/79235,Aim and Ignite,2009-05-05," Have you ever wondered About our old nu-metal friends and What became of them   Turns out I saw them, a couple of days ago They were laughing, and drinking And smoking and singing on  (Come on, can you count all the notches in your belt) I rather not; Let's just say I'm starving myself (Baby put your name down on a piece of paper) I don't want no savior baby, I just want to have a good time   (Oh-oh-ooh-whoa, oh-oh-ooh-whoa) At least I'm not as sad as I used to be   And they said, ""Hey Nate!"" (Yeah it's been a while, are you gonna stay) And I began to smile and said ""You should've seen me a couple of years ago I was laughing, and drinking And smoking and singing on""  (Come on, can you count all the loves that didn't last) It's such a gas when you bring up the past (Baby put your name down on a piece of paper) I don't want no savior baby, I just want to get it out   (Oh-oh-ooh-whoa, oh-oh-ooh-whoa) At least I'm not as sad as I used to be (Oh-oh-ooh-whoa, oh-oh-ooh-whoa) At least I'm not as sad as I used to be   Just get it out At least I'm not as sad as I used to be   And they said, ""We would've seen you too, years ago Had you stuck around or come out to a show"" But you was taken over by rock and roll While we were laughing, and drinking And smoking, and singing  So I left, that is it That's my life, nothing is sacred I don't keep friends, I keep acquainted I'm not a prophet, but I'm here to profit  That's all, I'm gone That's my life, nothing is sacred I don't fall in love, I just fake it I don't fall in love, I don't fall in love"
/songs/195977,Fun.,Barlights,https://genius.com/Fun-barlights-lyrics,http://api.genius.com/songs/195977,Aim and Ignite,2009-08-25," Never in all my life Have I seen eyes as empty as These streets of my city on a Saturday night But the green of your eyes say go Leave it all behind But I don't need to be reminded a change is gonna come I can feel it on the tip of your tongue And I feel alive, feel alive  We met up once we settled the sun Between the heat and the work week The fear is we could use some sleep But sleep to the superfluous man means better use for beds And I'll bet I'm coming home alone tonight I don't need to be reminded that this is how it was I moved on, I passed a billboard down my block It asked if I had enough, and aloud I'll say ""I had too much"" When the truth is, I'm just getting started   Now all the barlights are blinking in time To Mexican music it's taunting the pavement And I feel alive, I feel alive I feel alive   One of us sings and one of us drinks And one of us does nothing at all So they call us all sheep Well I'm the Little Bo Peep of the bunch And he swears he's gotta take this call I'm scared he's gonna leave us too soon We were the get-rich-quick kids, we never got it right So we settled for the center of town Where all the rich white kids is out looking for a fight Got the blonde one staring me down And I really wanna take a swing I can't help but remember James Dean See we are part of the few who agree That hey, he lived life fast, but he died He died, he died Me, I'm gonna live forever   (I feel alive) I think I'm gonna live forever (I feel alive) I know I'm gonna live forever   Now all the barlights are blinking in time To Mexican music, it's taunting the pavement And for the first time, in a long time I feel alive Now all the barlights are blinking in time To Mexican music, it's taunting the pavement And for the first time, in a long time I feel alive Now all the barlights To Mexican music Oh, I feel alive, I feel alive And for the first time, in a long time I feel alive, I feel alive"
/songs/190256,Fun.,Be Calm,https://genius.com/Fun-be-calm-lyrics,http://api.genius.com/songs/190256,Aim and Ignite,2009-08-25," As I walk through the streets of my new city; My back feeling much better, I suppose, I Reclaim the use of my imagination For better or for worse I've yet to know But I always knew you'd be the one to understand me I guess that's why it took so long To get things right Suddenly I'm lost on my street; on my block  Oh, why; oh, why? Oh, why haven't you been there for me? Can't you see? I'm losing my mind this time This time, I think it's for real, I can see  All the treetops turning red The beggars near bodegas grin And me, I think they want something I close my eyes, I tell myself to breathe and...   Be calm, be calm I know you feel like you are breaking down Well, I know that it gets so hard sometimes Be calm   I'm scared that everyone is out to get me ""These days before you speak to me you pause."" ""I always see you looking out your window."" ""After all, you lost your band, you left your mom."" Now every single crack, every penny that I pass Says I should either leave or pick it up Oh, with every single buck I've made I'm saddled with bad luck that came  The moment I was baptized or When I found out what day I'm gonna die If only I could find my people or my place in life And when they come a'caroling So loud so bright, the theremin Will lead us to a chorus where We'll all rejoice and sing a song that goes...   Oh, be calm, be calm I know you feel like you are breaking down Oh, I know that it gets so hard sometimes Be calm Take it from me, I've been there a thousand times You hate your pulse because it thinks you're still alive And everything's wrong It just gets so hard sometimes Be calm   I don't remember much that night Just walking, thinking fondly of you Thinking how the worst is yet to come And from that street corner came a song And I can't remember the man The panhandler or his melody The words exchanged had far exceeded Any change I'd given thee   Oh, be calm, be calm I know you feel like you are breaking down I know that it gets so hard sometimes Be calm Take it from me, I've been there a thousand times You hate your pulse because it still thinks you're alive And everything's wrong It just gets so hard sometimes Be calm"
/songs/1515761,Fun.,Believe in Me,https://genius.com/Fun-believe-in-me-lyrics,http://api.genius.com/songs/1515761,None,2010-05-26,"My Christmas list is filling up with stuff I don't need I was hoping for new shoes, the kind with the lights I was naughty in high school, but now i'm trying to be nice  Even Santa he is thankful for the little things (Like what kind of stuff Santa?) Thanks to the reindeer that pull me on my sleigh Thanks for the moonlight that guides me on my way And I won't be greedy, I don't ask for much these days I just need one thing, please believe in me  Well, Christmas comes just once a year I was hoping for snow shoes, or maybe a bike But when I asked them for fun, they bought me ""Aim and Ignite""  Even Santa he is thankful for the little things (Sweet Santa) Thanks to the reindeer that pull me on my sleigh Thanks for the moonlight that guides me on my way Thanks for the memories 'cause they keep us safe and remind me that it's okay to be lonely Please believe in me  (Hey, Mary-Kate, what are you getting Ashley for christmas? Um, I actually just got her a Bowflex Shut Up! I was gonna get her a Bowflex Well, do you want to go shopping for something else? No, I'm going home.)"
/songs/310468,Fun.,Benson Hedges,https://genius.com/Fun-benson-hedges-lyrics,http://api.genius.com/songs/310468,Aim and Ignite,2009-08-25," Holy ghosts When do you come out to play? Cause if the Lord is gonna find me He'd better start looking today   Last week my baby hit the slopes I spent the weekend setting traps in the road I should have been cutting out my eyelids You'll never guess what baby did when she got home Na na na na Now at least the birds are singing to me But what they're trying to say I don't know   (you're beautiful) I think they come from the cold (for all your big mistakes) I think they come from the cold (you stayed the same) To the city that doesn't snow   So I drove until we both broke down I was stranded in a border town Believing the motel TV would bring me to safety But between MTV and Mr. O'Reilly I've come to find, that I can't be defined So I turned it off, now convinced I would cross Took one last look at the gold As it shattered on a mountaintop  Now I believe the sun, it's like a symphony But what it's trying to play I don't know   (you're beautiful) I think it's come from the cold (for all your big mistakes) I think it's come from the cold (you stayed the same) To the city that doesn't snow  Oh, come on Holy ghosts When do you come out to play? Cause if the Lord is gonna find me He'd better start looking today   So I can rise with the river We all float before we sink We pray for satellites Pray for courtesy And pray that it can climb mountains to me! I say goodbye to the canyon I will set sail to the streets Where I don't care to be forgiven I want to be forgotten I don't care to be forgiven When Lord I only want to be forgotten!  Now I receive a call, it's from my family And what they started to say Brought me home   (you're beautiful) They think I'm beautiful (for all your big mistakes) They think I'm beautiful (You're beautiful) For all my big mistakes  For all my big mistakes For all my big mistakes"
/songs/71564,Fun.,Carry On,https://genius.com/Fun-carry-on-lyrics,http://api.genius.com/songs/71564,Some Nights,2012-10-23," Well I woke up to the sound of silence The cars were cutting like knives in a fist fight And I found you with a bottle of wine Your head in the curtains And heart like the fourth of July You swore and said We are not We are not shining stars This I know I never said we are Though I've never been through hell like that I've closed enough windows To know you can never look back   If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground Carry on Carry on, carry on   So I met up with some friends At the edge of the night At a bar off 75 And we talked and talked About how our parents will die All our neighbors and wives But I'd like to think I can cheat it all To make up for the times I've been cheated on And it's nice to know When I was left for dead I was found and now I don't roam these streets I am not the ghost you want of me   If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground Carry on Carry on, carry on   Woah My head is on fire But my legs are fine After all they are mine Lay your clothes down on the floor Close the door Hold the phone Show me how No one's ever gonna stop us now   Cause we are We are shining stars We are invincible We are who we are On our darkest day When we're miles away So we'll come We will find our way home   If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground Carry on Carry on, carry on   No one's ever gonna stop us now"
