api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1418155,Glee Cast,3,https://genius.com/Glee-cast-3-lyrics,http://api.genius.com/songs/1418155,Britney 2.0,2012-09-18,"Tina with Sam and Joe: One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin' Everybody loves countin' Everybody loves countin'  Tina: Babe, pick a night To come out and play If it's alright What do you say? Merrier the more Triple fun that way Twister on the floor What do you say?  Joe: Are you in? Living in sin is the new thing Are you in? Joe and Tina: I am counting  Tina with Sam and Joe: One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  Tina: Three is a charm Two is not the same I don't see the harm So, are you game? Let's make a team Make 'em say my name Loving the extreme Now, are you game?  Joe: Are you in? Joe and Tina: Living in sin is the new thing Joe: Are you in? Joe and Tina: I am counting  Tina with Sam and Joe: One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  Sam: What we do is innocent Just for fun and nothing meant Tina: If you don't like the company Let's just do it, you and me Sam: You and me Tina and Joe: Or three Or four  Sam: On the floor Joe: On the floor Tina: On the floor Sam: On the floor!  Tina with Sam and Joe: One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'  One, two, three Not only you and me Got 180 degrees And I'm caught in between Countin' one, two, three Peter, Paul and Mary Getting down with 3P Everybody loves countin'"
/songs/1511097,Glee Cast,4 Minutes,https://genius.com/Glee-cast-4-minutes-lyrics,http://api.genius.com/songs/1511097,"Glee: The Music, The Complete Season One",2010-04-20,"(Kurt) Come on girl I've been waiting for somebody To pick up my stroll  Well don't waste time Give me the sign Tell me how you wanna roll  I want somebody to speed it up for me Then take it down slow There's enough room for both  Well, I can handle that You just gotta show me where it's at Are you ready to go Are you ready to go  If you want it You already got it If you thought it It better be what you want If you feel it It must be real just Say the word and I'ma give you what you want  Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get 'em all, hot Tick tock tick tock tick tock That's right, keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get 'em all hot Tick tock tick tock tick tock  Sometimes I think what I need is a you intervention, yeah  And you know I can tell that you like it And that it's good, by the way that you move, ooh, hey  The road to hell is paved with good intentions, yeah  But if I die tonight At least I can say I did what I wanted to do Tell me, how bout you?  If you want it You come and you get it If you thought it It better be what you want If you feel it It must be real just Say the word and I'ma give you what you want  Time is waiting We only got 4 minutes to save the world No hesitating Grab a boy Grab a girl Time is waiting We only got 4 minutes to save the world No hesitating We only got 4 minutes, 4 minutes  Keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get 'em all hot Tick tock tick tock tick tock That's right, keep it up, keep it up, don't be a pri, hey Madonna, uh You gotta get 'em all hot Tick tock tick tock tick tock"
/songs/1328736,Glee Cast,ABC,https://genius.com/Glee-cast-abc-lyrics,http://api.genius.com/songs/1328736,Glee: The Music - The Complete Season Three,2011-12-06," A buh-buh buh buh-buh (A buh-buh buh buh-buh) You went to school to learn, girl Things you never, never knew before   Like I before E except after C   And why 2 plus 2 makes 4 Now now now, I'm gonna teach you (Teach you, teach you) All about love, dear (All about love)   Sit yourself down and take a seat All you gotta do is repeat after me  Tina with New Directions ABC, easy as 123 Oh, simple as do re mi ABC, 123, baby, you and me, girl ABC, easy as 123 (Quinn: Oooh...) Oh, simple as do re mi ABC, 123, baby, you and me, girl (Come on, let me love you just a little bit) Come on, let me love you just a little bit (Teach, teach, sing it out) Come on, come on, come on, let me show you what it's all about   Reading, writing, arithmetic Are the branches on the learning tree   But listen, without the roots of love, let me tell you, girl   Your education ain't complete   T-t-t-teacher's gonna show you (Show you, show you) How to get an A (Nah nah nah nah naah)   Spell ""me"", ""you"", add the two Listen to me, baby, that's all you gotta do   Oh, ABC, it's easy as 123 Oh, simple as do re mi ABC, 123, baby, you and me, girl ABC, it's easy, it's like counting up to 3 (Quinn: Oooh...) Sing a simple melody (Do re mi, ABC) That's how easy love can be That's how easy love can be Sing a simple melody (That's how easy love can be) 123, you and me!   Sit down girl, I think I love you!   No, get up girl, show me what you can do!   Shake it, shake it, baby (Mike: Come on now!) Shake it, shake it, baby (Kurt: Ooh, ooh) Shake it shake it, baby (Mike: Oh!) 123, baby (Kurt: Ooh, ooh) ABC, baby (Mike: Nah, nah) Do re mi, baby That's how easy love can be ABC, it's easy, it's like counting up to 3 (Quinn: Oooh...) Sing a simple melody (Do re mi, ABC) That's how easy love can be   I'ma gonna teach you how to sing it out   Come on, come on, come on, let me show you what it's all about   ABC, it's easy, it's like counting up to 3 (Quinn: Oooh...) Sing a simple melody (Do re mi, ABC) That's how easy love can be   I'ma gonna teach you how to sing it out, sing it out   Oh, oh, oh baby   Sing it out, sing it out, sing it!   ABC, it's easy, it's like counting up to 3 (Quinn: Oooh...) Sing a simple melody (Do re mi, ABC) That's how easy love can be   I'ma gonna teach you how to sing it out, sing it out   Easy as 123!"
/songs/1402059,Glee Cast,A Boy Like That / I Have A Love,https://genius.com/Glee-cast-a-boy-like-that-i-have-a-love-lyrics,http://api.genius.com/songs/1402059,Glee: The Music - The Complete Season Three,2012-08-28,"Santana: A boy like that who'd kill your brother Forget that boy and find another One of your own kind Stick to your own kind  A boy like that will give you sorrow You'll meet another boy tomorrow One of your own kind Stick to your own kind  A boy who kills cannot love A boy who kills has no heart But he's the boy who gets your love and gets your heart Very smart, Maria, very smart  A boy like that wants one thing only And when he's done, he'll leave you lonely He'll murder your love He murdered mine  Just wait and see Just wait, Maria Just wait and see  Rachel: Oh no, Anita, no, Anita, no  It isn't true, not for me It's true for you, not for me  I hear your words And in my head I know they're smart But my heart, Anita, but my heart Knows they're wrong  You should know better You were in love, or so you said You should know better  I have a love and it's all that I have Right or wrong, what else can I do?  I love him, I'm his And everything he is I am, too  I have a love and it's all that I need Right or wrong, and he needs me, too  I love him, we're one There's nothing to be done Not a thing I can do  But hold him, hold him forever Be with him now, tomorrow and all of my life  Rachel with Santana: When love comes so strong There is no right or wrong Your love is your life"
/songs/1406684,Glee Cast,A Change Would Do You Good,https://genius.com/Glee-cast-a-change-would-do-you-good-lyrics,http://api.genius.com/songs/1406684,"Glee: The Music, The Complete Season Four",2014-01-14,": Ten years living in a paperbag Feedback baby He's a flipped out cat He's a platinum canary Drinking falstaff beer Mercedes rule and a rented lear  : Bottom feeder Insincere High fed low fat pioneer  : Sell the house and go to school Pretty young girlfriend Daddy's jewel  : A change  : A change would do you good  : Would do you good  : A change would do you good  : I think a change  : A change would do you good  : Would do you good  : A change would do you good  : God's little gift is on the rag Poster girl posing in a fashion mag Canine, feline Jekyll and Hyde Wear your fake fur on the inside  : Queen of South Beach Aging blues Dinner's at six Wear your cement shoes  Brody and Rachel: I thought you were singing your heart out to me Your lips were syncing And now I see  Rachel: A change  Brody: A change would do you good  Rachel: Would do you good  Brody: A change would do you good  Rachel: I think a change  Brody: A change would do you good  Rachel: Would do you good  Brody: A change would do you good  : I think a (change)  Brody: A change would do you good  Rachel: Would do you good  Brody: A change would do you good  Rachel: I think a change  Brody: A change would do you good  Rachel: Would do you good  Brody: A change would do you good  : Chasing dragons with plastic swords Jack off Jimmy, everybody wants more Scully and angel on the kitchen floor And I'm calling Buddy on the ouija board  : I've been thinking 'bout catching a train Leave my phone machine by the radar range  Brody and Rachel: Hello it's me, I'm not at home If you'd like to reach me Leave me  : Alone  : I think a change  : A change would do you good  : Would do you good  : A change would do you good Hello, it's me I'm not at home  : If you'd like to reach me, leave  Brody: Me alone  Rachel: I think a change  : A change would do you good (Would do you good)  Brody: A change would do you good  Rachel: I-I think a change  Brody: A change would do you good  Rachel: Would do you good  Brody: A change would do you good  : Oooh, I think a change  : A change would do you good  : Would do you good now, now  : A change would do you good  : I think a change  : A change would do you good  : Would do you good  : A change would do you good  : Would do you good!"
/songs/996604,Glee Cast,Addicted to Love,https://genius.com/Glee-cast-addicted-to-love-lyrics,http://api.genius.com/songs/996604,Tested,2014-04-15,"Artie: Your lights are on but you're not home Your mind is not your own Your heart sweats, your body shakes Another kiss is what it takes You can't sleep, you can't eat There's no doubt, you're in deep Your throat is tight, you can't breathe Another kiss is all you need  Whoa, you like to think that you're immune to the stuff, oh yeah It's closer to the truth to say ""can't get enough"" You know you're gonna have to face it You're addicted to love  You see the signs but you can't read You're runnin' at a different speed You heart beats in double time Another kiss and you'll be mine A one track mind, you can't be saved Oblivion is all you crave If there's some left for you You don't mind if you do  Whoa, you like to think that you're immune to the stuff, oh yeah It's closer to the truth to say ""can't get enough"" You know you're gonna have to face it You're addicted to love  Might as well face it, you're addicted to love Might as well face it, you're addicted to love Might as well face it, you're addicted to love Might as well face it, you're addicted to love Might as well face it, you're addicted to love  Might as well, wo-oh, yeah  Your lights are on but you're not home Your will is not your own Your heart sweats, your teeth grind Another kiss and you'll be mine, oh no  You like to think that you're immune to the stuff, oh yeah It's closer to the truth to say ""I can't get enough"" You know you're gonna have to face it You're addicted to love  Yeah (Might as well face it, you're addicted to love) Ooh, oh (Might as well face it, you're addicted to love) Might as well face it, you're addicted to love Might as well face it, you're addicted to love  (Might as well face it, you're addicted to love) You might as well (Might as well face it, you're addicted to love) Oh yeah (Might as well face it, you're addicted to love) Whoo  You might as well face it, you're (addicted to love) You're addicted to love"
/songs/762847,Glee Cast,Afternoon Delight,https://genius.com/Glee-cast-afternoon-delight-lyrics,http://api.genius.com/songs/762847,"Glee: The Music, Volume 5",2011-03-08,"Carl Gonna find my baby, gonna hold her tight Gonna grab some afternoon delight Puck My motto's always been, ""When it's right, it's right"" Why wait until the middle of a cold, dark night?  Rachel When everything's a little clearer in the light of day And we know the night is always gonna be here anyway  Quinn & Emma Thinkin' of you's workin' up my appetite Lookin' forward to a little afternoon delight Rubbin' sticks and stones together makes the sparks ignite And the thought of lovin' you is gettin' so excitin'  Sky rockets in flight Afternoon delight Afternoon delight  Emma Started out this mornin' feelin' so polite I always though a fish could not be caught who didn't bite Carl But you've got some bait a-waitin' and I think I might Try nibblin' a little afternoon delight  Sky rockets in flight Afternoon delight Afternoon delight Afternoon delight  Puck Be waitin' for me, baby, when I come around We could make a lot of lovin' 'fore the sun goes down  Rachel Thinkin' of you's workin' up my appetite Lookin' forward to a little afternoon delight Quinn Rubbin' sticks and stones together makes the sparks ignite And the thought of lovin' you is gettin' so excitin'  Sky rockets in flight Afternoon delight Afternoon delight Afternoon delight Afternoon delight Afternoon delight"
/songs/1472301,Glee Cast,Against All Odds (Take A Look At Me Now),https://genius.com/Glee-cast-against-all-odds-take-a-look-at-me-now-lyrics,http://api.genius.com/songs/1472301,"Glee: The Music, The Complete Season Four",2014-01-14,"Blaine: How can I just let you walk away Just let you leave without a trace When I stand here taking every breath with you, ooh You're the only one who really knew me at all  How can you just walk away from me When all I can do is watch you leave 'cause we've shared the laughter and the pain And even shared the tears You're the only one who really knew me at all  So take a look at me now Well, there's just an empty space And there's nothing left here to remind me Just the memory of your face Oh, take a look at me now Well, there's just an empty space And you coming back to me Is against the odds and that's what I've got to face  I wish I could just make you turn around Turn around and see me cry There's so much I need to say to you So many reasons why You're the only one who really knew me at all  Oh, so take a look at me now Well, there's just an empty space And there's nothing left here to remind me Just the memory of your face Now take a look at me now 'cos there's just an empty space, oh But to wait for you Is all I can do and that's what I've got to face  Take a good look at me now 'cause I'll still be standing here And you coming back to me is against all odds It's the chance I've got to take Take a look at me now (Oh, woah) Take a look at me now Oh, hmm"
/songs/1558492,Glee Cast,A Hard Day's Night,https://genius.com/Glee-cast-a-hard-days-night-lyrics,http://api.genius.com/songs/1558492,Glee Sings The Beatles,2013-09-24," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel all right  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan? 'Cause when I get you alone  You know I feel okay When I'm home Everything seems to be right When I'm home Feeling you holding me tight, tight, yeah  It's been a hard day's night  And I've been working like a dog  It's been a hard day's night  I should be sleeping like a log  But when I get home to you I find the things that you do  Will make me feel all right, ooww!  So why on earth should I moan? 'Cause when I get you alone  You know I feel okay  When I'm home Everything seems to be right When I'm home Feeling you holding me tight, tight, yeah  It's been a hard day's night  And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do  Will make me feel all right You know I feel all right You know I feel all right"
/songs/1351626,Glee Cast,A House is Not a Home,https://genius.com/Glee-cast-a-house-is-not-a-home-lyrics,http://api.genius.com/songs/1351626,"Glee: The Music, The Complete Season One",2010-05-18," A chair is still a chair, even when there's no one sitting there But a chair is not a house, and a house is not a home When there's no one there to hold you tight And no one there you can kiss goodnight  A room is a still a room, even when there's nothing there but gloom But a room is not a house, and a house is not a home When the two of us are far apart And one of us has a broken heart   Now and then I call your name And suddenly your face appears   But it's just a crazy game And when it ends, it ends in tears  So darling, have a heart, don't let one mistake keep us apart Well I'm not meant to live alone, turn this house into a home When I climb the stair and turn the key Oh, please be there Still in love with me"
