api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4234640,Hozier,Almost (Sweet Music),https://genius.com/Hozier-almost-sweet-music-lyrics,http://api.genius.com/songs/4234640,"Wasteland, Baby!",2019-01-16," I came in from the outside, burned out from a joy ride She likes to roll here in my ashes anyway Played from the bedside is ""Stella by Starlight"" That was my heart, the drums that start off ""Night and Day""   The same kind of music haunts her bedroom I'm almost me again, she's almost you   I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me   Tell me who, and I'll be thanking them The numbered lovers of Duke Ellington Do I owe each kiss to lip and cheek as soft as Chet can sing Let's get lost and let the good times roll Let smoke rings from this paper doll Blow sweet and thick 'til every thought of it don't mean a thing   I got some colour back, she thinks so, too I laugh like me again, she laughs like you   I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me   I wouldn't know where I wouldn't know where I wouldn't know where, I wouldn't know where I wouldn't, mmm I wouldn't know where I wouldn't know where I wouldn't know where, I wouldn't know where I wouldn't know   The very thought of you and am I blue? A love supreme seems far removed I get along without you very well some other nights Oh, the radio news reader chimes Reporting Russian lullabies She'll turn to me awake and ask, ""Is everything alright?"" And, Lord   I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark (I wouldn't know where) Be still, my foolish heart Don't ruin this on me I wouldn't know where to start Sweet music playing in the dark (I wouldn't know where) Be still, my foolish heart Don't ruin this on me"
/songs/338674,Hozier,Angel Of Small Death & The Codeine Scene,https://genius.com/Hozier-angel-of-small-death-and-the-codeine-scene-lyrics,http://api.genius.com/songs/338674,Hozier,2014-09-19," I watch the work of my kin, bold and boyful Toying somewhere between love and abuse Calling to join them the wretched and joyful Shaking the wings of their terrible youths  Freshly disowned in some frozen devotion No more alone or myself could I be Lurched like a stray to the arms that were open No shortage of sordid, no protest from me   With her sweetened breath, and her tongue so mean She's the angel of small death and the codeine scene With her straw-blonde hair, her arms hard and lean She's the angel of small death and the codeine scene   Feeling more human and hooked on her flesh, I Lay my heart down with the rest at her feet Fresh from the fields, all fetor and fertile It's bloody and raw, but I swear it is sweet   With her sweetened breath, and her tongue so mean She's the angel of small death and the codeine scene With her straw-blonde hair, her arms hard and lean She's the angel of small death and the codeine scene   Oh, oh, oh, oh Oh, oh, oh-oh Oh, oh, oh, oh-oh Oh, oh, oh   In leash-less confusion, I'll wander the concrete Wonder if better now having survived The jarring of judgement and reason's defeat the sweet Heat of her breath in my mouth; I'm alive   With her sweetened breath, and her tongue so mean She's the angel of small death and the codeine scene With her straw-blonde hair, her arms hard and lean She's the angel of small death and the codeine scene  With her sweetened breath, and her tongue so mean She's the angel of small death and the codeine scene With her straw-blonde hair, her arms hard and lean She's the angel of small death and the codeine scene"
/songs/436363,Hozier,Arsonist's Lullabye,https://genius.com/Hozier-arsonists-lullabye-lyrics,http://api.genius.com/songs/436363,Hozier,2014-03-09," When I was a child, I heard voices Some would sing and some would scream You soon find you have few choices I learned the voices died with me When I was a child, I'd sit for hours Staring into open flame Something in it had a power Could barely tear my eyes away   All you have is your fire And the place you need to reach Don't you ever tame your demons But always keep them on a leash   When I was sixteen, my senses fooled me Thought gasoline was on my clothes I knew that something would always rule me I knew this scent was mine alone   All you have is your fire And the place you need to reach Don't you ever tame your demons Always keep them on a leash   When I was a man, I thought it ended When I knew love's perfect ache But my peace has always depended On all the ashes in my wake   All you have is your fire And the place you need to reach Don't you ever tame your demons But always keep them on a leash"
/songs/4235129,Hozier,As It Was,https://genius.com/Hozier-as-it-was-lyrics,http://api.genius.com/songs/4235129,"Wasteland, Baby!",2019-03-01," There is a roadway, muddy and foxgloved Whenever I'd have life enough, my heart is screamin' of And in a few days I would be there, love Whatever here that's left of me is yours just as it was   Just as it was, baby Before the otherness came And I knew its name The drug, the dark, the light, the flame   The highs hit the heights of my baby And its hold had the fight of my baby And the lights were as bright as my baby But your love was unmoved   Tell me if somehow, some of it remains How long you would wait for me? And how long I've been away The shape that I'm in now, your shape in the doorway Make your good love known to me Or just tell me 'bout your day   Just as it was, baby Before the otherness came And I knew its name The drug, the dark, the light, the shame   The highs hit the heights of my baby And its hold had the fight of my baby And the lights were as bright as my baby But your love was unmoved And the sights were as stark as my baby And the cold cut as sharp as my baby And the nights were as dark as my baby And half as beautiful too"
/songs/4235134,Hozier,Be,https://genius.com/Hozier-be-lyrics,http://api.genius.com/songs/4235134,"Wasteland, Baby!",2019-03-01," When all the worst we fear lets fall its weight When the gyre widens on and when the wave breaks When St. Peter loses cool and bars the gates When Atlas acts the maggot, makes his arms shake When the birds are heard again in their singin' Once atrocity is hoarse from voicin’ shame And when the earth is trembling on some new beginnin' With the same sweet shock of when Adam first came   Be, be, be, be, be Be as you've always been Be, be, be, be, be Be as you’ve always been (Lover, be good to me)   Be as you've always been (Lover, be good to me) Be like the love that discovered the sin (Lover, be good to me) That freed the first man and will do so again And, lover, be good to me (Lover, be good to me) Be that hopeful feeling when Eden was lost (Lover, be good to me) It's been deaf to our laughter since the master was crossed (Lover, be good to me) Which side of the wall really suffers that cost? Oh, lover, be good to me   When the man who gives the order Is born next time 'round on the boat sent back When the bodies starvin' at the border Are on TV givin' people the sack Oh, when the sea rises to meet us Oh, when there's nothin' left for you and I to do Oh, when there’s nobody upstairs to receive us When I have no kind words left, love for you   Be, be, be, be, be Be as you’ve always been Be, be, be, be, be Be as you've always been (Lover, be good to me)   Ah, be love in its disrepute (Lover, be good to me) Scorches the hillside and salts every root (Lover, be good to me) And watches the slowin’ and starvin' of troops And, lover, be good to me (Lover, be good to me) Be there and just as you stand (Lover, be good to me) Or be like the rose that you hold in your hand (Lover, be good to me) That will grow bold in a barren and desolate land Oh, lover, be good to me   Love, won't you be Love, won't you be Be as you’ve always been? Love, won't you be Love, won't you be Be as you've always been? Love, won't you be Love, won't you be Be as you've always been? Love, won't you be Love, won't you be Be as you've always been?"
/songs/2531828,Hozier,Better Love,https://genius.com/Hozier-better-love-lyrics,http://api.genius.com/songs/2531828,None,2016-06-16," I once kneeled in shaking thrill I chase the memory of it still Of every chill  Chided by the silence of the hushed sublime Blind to the purpose of the brute divine But you were mine  Staring into blackness at some distant star The thrill of knowing how alone we are Unknown we are  To the world and to the both of us I confessed a longing I was dreaming of Some better love   But there's no better you love That beckons above me There's no better love That ever has loved me There's no better love Darling, feel better love Feel better love   I have never loved a darker blue Then the darkness I have known in you Honed from you  You whose heart would sing in anarchy You who'd laugh at meanings guarantees So beautifully  When our truth is burned from history By those who figure justice in fond memory Witness me  Like fire weeping from a cedar tree Know that my love would burn with me Or live eternally   'Cause there's no better love That beckons above me There's no better love That ever has loved me There's no better love So darling, feel better love 'Cause there's no better love That's laid beside me There's no better love That justifies me There's no better love So darling, darling, feel better love Feel better love   Feel better love Feel better love Feel better love   'Cause there's no better love That beckons above me There's no better love That ever has loved me There's no better love So darling, feel better love 'Cause there's no better love That's laid beside me There's no better love That justifies me There's no better love So darling, feel better love Feel better love"
/songs/3123985,Hozier,Blood,https://genius.com/Hozier-blood-lyrics,http://api.genius.com/songs/3123985,None,2016-06-16," Tryin' hard to recognise Some pure motive inside of me A creature that would horrify Any child that I used to be Oh, give no faith to show Started to smile so I showed my teeth No more than flesh and bone Doin' so much just to watch someone bleed   But I love the very blood of you It keeps its heat in spite of you Oh, the heart that beats To keep you here with me always   Tryin' hard, I nearly find Innocence in spite of me Oh, creature that would terrify Any child left inside of me Oh, that's a cold insight Nothin' above us and nothin' below Ahh, but you might be right If there is no heaven and there is no soul   I just love the very blood of you It keeps its heat in spite of you Oh, the heart that beats To keep you here with me always Always, always, always Oh, I love the very blood of you It keeps its heat in spite of you Oh, the heart that beats To keep you here with me always Oh, I love the very blood of you Leaks and squeeks you black and blue Oh, the heart that beats To keep you here with me always"
/songs/4201062,Hozier,Devil,https://genius.com/Hozier-devil-lyrics,http://api.genius.com/songs/4201062,None,2016-06-16,I’d walk on cloven hoof if you were the home I was walking to I’d burn every soul I knew if I thought the fire was warming you I’d be what men fear in the woods I’d piss on heaven’s gate if I could I’m straight on the level But I’d be the devil As long as your lovin’ was good
/songs/4235135,Hozier,Dinner & Diatribes,https://genius.com/Hozier-dinner-and-diatribes-lyrics,http://api.genius.com/songs/4235135,"Wasteland, Baby!",2019-02-14," Honey, this club here is stuck up Dinner and diatribes I knew well from our first hookup The look of mischief in your eyes Your friends are a fate that befell me Hell is the talking type I'd suffer Hell if you’d tell me What you'd do to me tonight   Tell me Tell me Tell me, ah   That's the kind of love I’ve been dreaming of That's the kind of love I've been dreaming of   Honey, I laugh when it sinks in A pillar I am, upright Scarcely can speak for my thinking What you'd do to me tonight Now that the evening is slowing Now that the end's in sight Honey, it's easier knowing what you'd do to me tonight   Tell me Tell me Tell your man   That's the kind of love I’ve been dreaming of That’s the kind of love I've been dreaming of   (That’s the kind of love That's the kind of love That's the kind of love That's the kind of love) Oh, let there be hotel complaints and grievances raised And that kind of love (That’s the kind of love That's the kind of love That's the kind of love That's the kind of love) Oh, let there be damage ensued and tabloid news And that kind of love (That's the kind of love That's the kind of love That's the kind of love That's the kind of love) That's the kind of love I've been dreaming of Ah, oh-oh-oh, ah   That's the kind of love I've been dreaming of And that's the kind of love I've been dreaming of"
/songs/561281,Hozier,Foreigner's God,https://genius.com/Hozier-foreigners-god-lyrics,http://api.genius.com/songs/561281,Hozier,2014-09-19, She moved with shameless wonder The perfect creature rarely seen Since some liar brought the thunder When the land was godless and free  Her eyes look sharp and steady Into the empty parts of me But still my heart is heavy With the hate of some other man's beliefs   Always a well dressed fraud Who wouldn't spare the rod Never for me   Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God The purest expression of grief   Wondering who I copy Mustering some tender charm She feels no control of her body She feels no safety in my arms  I've no language left to say it But all I do is quake to her Breaking if I try convey it The broken love I make to her   All that I've been taught And every word I've got Is foreign to me   Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God The purest expression of grief   Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God The purest expression of grief  Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God Screaming the name Of a foreigner's God The purest expression of grief
/songs/387652,Hozier,From Eden,https://genius.com/Hozier-from-eden-lyrics,http://api.genius.com/songs/387652,Hozier,2014-03-09," Babe There's something tragic about you Something so magic about you Don't you agree?  Babe There's something lonesome about you Something so wholesome about you Get closer to me   No tired sigh, no rolling eyes No irony No ""Who cares?"", no vacant stare No time for me   Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to sit outside your door   Babe There's something wretched about this Something so precious about this Where to begin?  Babe There's something broken about this But I might be hoping about this Oh, what a sin   To the strand, a picnic planned For you and me A rope in hand for your other man To hang from a tree   Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to sit outside your door   Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to hide outside your door"
/songs/536049,Hozier,In a Week,https://genius.com/Hozier-in-a-week-lyrics,http://api.genius.com/songs/536049,Hozier,2014-09-19," I have never known peace Like the damp grass that yields to me I have never known hunger Like these insects that feast on me  A thousand teeth And yours among them, I know Our hungers appeased Our heartbeats becoming slow  [Pre-Chorus 1: Karen Cowley and Hozier] We'll lay here for years or for hours Thrown here or found, to freeze or to thaw So long, we'd become the flowers Two corpses we were, two corpses I saw   And they'd find us in a week When the weather gets hot After the insects have made their claim I'd be home with you, I'd be home with you   I have never known sleep Like this slumber that creeps to me I have never known colours Like this morning reveals to me  And you haven't moved an inch Such that I would not know If you sleep always like this The flesh calmly going cold  [Pre-Chorus 2: Karen Cowley and Hozier] We'll lay here for years or for hours Your hand in my hand, so still and discreet So long, we'd become the flowers We'd feed well the land and worry the sheep   And they'd find us in a week When the cattle show fear After the insects have made their claim After the foxes have known our taste  I'd be home with you, I'd be home with you...   They'd find us in a week (We lay here for years or for hours) When the weather gets hot (So long we become the flowers) And they'd find us in a week (We lay here for years or for hours) When the cattle show fear (So long we become the flowers)   And they'd find us in a week When the buzzards get loud After the insects have made their claim After the foxes have known our taste  After the raven has had his say I'd be home with you, I'd be home with you I'd be home with you, I'd be home with you I'd be home with you, I'd be home with you"
/songs/563443,Hozier,In the Woods Somewhere,https://genius.com/Hozier-in-the-woods-somewhere-lyrics,http://api.genius.com/songs/563443,Hozier,2014-09-19,"My head was war My skin was soaked I called your name 'til the fever broke When I awoke The moon still hung The night so black That the darkness hums  I raised myself My legs were weak I prayed my mind be good to me An awful noise filled the air I heard a scream In the woods somewhere  A woman's voice I quickly ran Into the trees With empty hands  A fox it was He shook afraid I spoke no words, no sound he made  His bone exposed His hind was lame I raised a stone to end his pain What caused the wound How large the teeth? I saw new eyes were watching me  The creature lunged I turned and ran To save a life I didn't have Dear, in the chase There as I flew Forgot all prayers Of joining you  I clutched my life and wished it kept My dearest love I'm not done yet How many years I know I'll bear I found something In the woods somewhere"
/songs/563457,Hozier,It Will Come Back,https://genius.com/Hozier-it-will-come-back-lyrics,http://api.genius.com/songs/563457,Hozier,2014-09-19," You know better, babe, you know better, babe Than to look at it, look at it like that You know better, babe, you know better, babe Than to talk to it, talk to it like that   Don't give it a hand, offer it a soul Honey, make this easy Leave it to the land, this is what it knows Honey, that's how it sleeps   Don't let it in with with no intention to keep it Jesus Christ, don't be kind to it Honey, don't feed it, it will come back   You know better, babe, you know better, babe Than to smile at me, smile at me like that You know better babe, you know better babe Than to hold me just, hold me just like that   I know who I am when I'm alone I'm something else when I see you You don't understand, you should never know How easy you are to need   Don't let me in with with no intention to keep me Jesus Christ, don't be kind to me Honey, don't feed me, I will come back   It can't be unlearned I've known the warmth of your doorways Through the cold, I'll find my way back to you   Oh, please, give me mercy no more That's a kindness you can't afford I warn you, baby, each night, as sure as you're born You'll hear me howling outside your door   Don't you hear me howling, babe? Don't you hear me howling, babe? Don't you hear me howling, babe? Don't you hear me howling? Don't you hear me howling? Don't you hear me howling, babe?"
/songs/528138,Hozier,Jackie and Wilson,https://genius.com/Hozier-jackie-and-wilson-lyrics,http://api.genius.com/songs/528138,Hozier,2014-09-13," So tired trying to see from behind the red in my eyes No better version of me I could pretend to be tonight Soul deep in this swill with the most familiar of swine For reasons wretched and divine   She blows out of nowhere, a roman candle of the wild Laughing her way through my feeble disguise No other version of me I would rather be tonight And lord, she found me just in time   'Cause with my mid-youth crisis all said and done I need to be youthfully felt 'cause, God, I never felt young   She's gonna save me, call me baby Run her hands through my hair She'll know me crazy, soothe me daily Better yet, she wouldn't care  We'll steal a Lexus, be detectives Ride 'round picking up clues We'll name our children Jackie and Wilson Raise 'em on rhythm and blues   Lord, it'd be great to find a place we could escape sometime Me and my Isis growing black irises in the sunshine Every version of me dead and buried in the yard outside We'd sit back and watch the world go by   Happy to lie back, watch it burn and rust We tried the world; good God, it wasn't for us   She's gonna save me, call me baby Run her hands through my hair She'll know me crazy, soothe me daily Better yet, she wouldn't care  We'll steal a Lexus, be detectives Ride 'round picking up clues We'll name our children Jackie and Wilson Raise 'em on rhythm and blues   Cut clean from the dream that night, let my mind reset Looking up from a cigarette, she's already left I start digging up the yard for what's left of me in our little vignette For whatever poor soul is coming next   She's gonna save me, call me baby Run her hands through my hair She'll know me crazy, soothe me daily Better yet, she wouldn't care  We'll steal a Lexus, be detectives Ride 'round picking up clues We'll name our children Jackie and Wilson Raise 'em on rhythm and blues"
/songs/338673,Hozier,Like Real People Do,https://genius.com/Hozier-like-real-people-do-lyrics,http://api.genius.com/songs/338673,Hozier,2014-09-19," I had a thought, dear, however scary About that night, the bugs and the dirt Why were you digging?; what did you bury? Before those hands pulled me from the earth?   I will not ask you where you came from I will not ask and neither should you Honey, just put your sweet lips on my lips We should just kiss like real people do   I knew that look, dear: eyes always seeking Was there in someone that dug long ago So I will not ask you why you were creeping In some sad way, I already know   So I will not ask you where you came from I would not ask and neither would you Honey, just put your sweet lips on my lips We should just kiss like real people do   I could not ask you where you came from I could not ask and neither could you Honey, just put your sweet lips on my lips We could just kiss like real people do"
