api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3560464,Icona Pop,All My Girls,https://genius.com/Icona-pop-all-my-girls-lyrics,http://api.genius.com/songs/3560464,Unreleased,2018-03-06," There's nobody like you You're not just a girl Keep walking on tall Yeah, show the world Don't cover your flaws The part of who we are You got nothing to hide Just wear it with pride, wear it with pride   All my girls feelin' so good, feelin' so good, feelin' so good All my girls lookin' so good, lookin' so good tonight   Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh   All together as one I'm on your side Guess who light up the night When you flash that smile Sing it up to the rafters To the back of the crowd All my girls, yeah we got this Sing it out loud   All my girls feelin' so good, feelin' so good, feelin' so good All my girls lookin' so good, lookin' so good tonight   Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh   Not just a girl Not just a girl   Sisters of the world There's no such thing as just a girl You are beautiful, you know it, you know it Sisters of the world There's no such thing as just a girl You are beautiful, so let's show it, yeah show it   When all  of my girls are here with me There's no other place I'd rather be We can take it higher Yeah we're gonna take it higher See all the lights turn in our way All of my girls are here to stay We can take it higher Yeah we're gonna take it higher   Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh Oh oh oh, oh oh oh oh"
/songs/194135,Icona Pop,All Night,https://genius.com/Icona-pop-all-night-lyrics,http://api.genius.com/songs/194135,THIS IS… ICONA POP,2013-07-23," We always dreamed about this better life, this better life We always felt it coming all along, yeah all along We got the keys to open paradise, yeah paradise Now let’s go walking hand in hand   Come on, baby, we can hit the lights Make the wrongs turn right We can smash the club Make the pop go rock With a love this deep We don't need no sleep And it feels like We could do this all night We could do this all night Yeah, everything is alright We got the keys to open paradise, yeah, paradise It feels like   We could do this all night We could do this all night   Our winter melts the summer skies, the summer skies The seasons change, our hearts will stay the same Yeah, stay the same We got the burning feeling, start a fire, start a fire Give it a shot, let’s make it hot   Come on, baby, we can hit the lights Make the wrongs turn right We can smash the club Make the pop go rough With a love this deep We don't need no sleep And it feels like We could do this all night We could do this all night Yeah, everything is alright We got the keys to open paradise, yeah, paradise It feels like   We could do this all night Feels like we could do this all night   Come on, baby, we can hit the lights Make the wrongs turn right We can smash the club Make the pop go rough With a love this deep We don't need no sleep And it feels like   We could do this all night We could do this all night We could do this all night We could do this all night   Yeah, everything is alright We got the keys to open paradise, yeah, paradise It feels like We could do this all night"
/songs/3525632,Icona Pop,Better Than This,https://genius.com/Icona-pop-better-than-this-lyrics,http://api.genius.com/songs/3525632,Unreleased,2019-01-01," Hey hey Hey hey hey Hey hey Hey hey hey   I’m getting down in the dim light (dim light) A bad world but I feel fine (feel fine) And I was celebrating (celebrating) The sweet sensation (sweet sensation)   I do it right in my own mind (own mind) Gonna have me a good time (good time) ‘Cause my vibrations (vibrations) Got my heart racin’ (my heart racin’)   Anytime I wanna (a-a-anytime, anytime) Anytime I wanna (a-a-anytime, whoa!)   Dancing here with myself I don’t need no one else Hey, it doesn’t get much better than this (It doesn’t get much better than this) Just like in my bedroom Taking off without you Hey, it doesn’t get much better than this (It doesn’t get much better than this)   Oh oh oh oh, here I go Turn it up up up till the neighbors know So out out out out of control But I’m gonna go till I explode   Anytime I wanna (a-a-anytime, anytime) Anytime I wanna (a-a-anytime, whoa!)   Dancing here with myself I don’t need no one else Hey, it doesn’t get much better than this (It doesn’t get much better than this) Just like in my bedroom Taking off without you Hey, it doesn’t get much better than this (It doesn’t get much better than this)   Na na na na na na Na na na na na na Hey! It doesn’t get much better than this"
/songs/2882216,Icona Pop,Brightside,https://genius.com/Icona-pop-brightside-lyrics,http://api.genius.com/songs/2882216,None,2016-10-21," I wear a smile, you rock the frown Always do my best to get you upside down When you throw in shade, I rearrange the clouds Got my head up but we're going south   Let me be the rose to tint your glass Spray paint the lawn to get a greener grass I'll be your brightsider 'cause all I wanna do is make you feel a little better I'll be your cheerleader, win or lose, baby I'll be on the bleachers   Get up, get up tonight I will be the one to show you your brightside Get up, get up tonight I will be the one to show you your brightside   To show you your brightside   If your nightmares come, I'll wake you up I'll give you Lucky Charms and a sunny-side-up When your streak runs out, I'll win you more I'll be your four-leaf clover and a unicorn   Let me be the rose to tint your glass Spray paint the lawn to get a greener grass I'll be your brightsider 'cause all I wanna do is make you feel a little better I'll be your cheerleader, win or lose, baby I'll be on the bleachers   Get up, get up tonight I will be the one to show you your brightside Get up, get up tonight I will be the one to show you your brightside To show you your brightside   Now we're down here It can only get better See it all clear Well at least we're together Laying under the stars Thinking 'bout who we are Dreamin 'bout all that we are gonna be Laying under the stars I know that it's dark But let me show you the brightside   Get up, get up tonight I will be the one to show you your brightside Get up, get up tonight I will be the one to show you your brightside   To show you your brightside"
/songs/2243597,Icona Pop,Clap Snap,https://genius.com/Icona-pop-clap-snap-lyrics,http://api.genius.com/songs/2243597,Emergency EP,2015-07-17," Aha ah 3, 6, 9, the goose drank wine The monkey chewed tobacco on the streetcar line The line broke, the monkey got choked And they all went to heaven in a little rowboat   Clap, clap Clap, snap Clap, pat Clap, snap Clap, clap Everybody dance to the music Right hang (C'mon) (C'mon) (Du, du, du, du, du, du)   3, 6, 9, the goose drank wine The monkey chewed tobacco on the streetcar line The line broke, the monkey got choked And they all went to heaven in a little rowboat   Clap, clap Clap, snap Clap, pat Clap, snap Clap, clap Everybody dance to the music Ok, haha (C'mon) (C'mon)   Mama told me (my mama told me) (Nothin on me, nothin on me) She can't control me (she can't control me, oh, oh) (Nothin on me, nothin on me, hey) Hey, hey, hey (hey)   3, 6, 9, the goose drank wine The monkey chewed tobacco on the streetcar line The line broke, the monkey got choked And they all went to heaven in a little rowboat   Clap, clap Clap, snap (clap) Clap, clap (clap) Clap, snap (clap) Clap, clap Clap your hands and dance to the music Yeah (C'mon) Hey (c'mon, du, du, du, du, du, du), yeah"
/songs/3283315,Icona Pop,Det Måste Gå,https://genius.com/Icona-pop-det-maste-ga-lyrics,http://api.genius.com/songs/3283315,Så Mycket Bättre 2017 – Tolkningarna,2017-10-21,"Vägen slutar på bergets topp Denna tidiga morgon innan solen gått upp Dagen väntar, känns som tiden står still Kom ge mig styrka, kom ge mig mod  Det måste gå Det måste gå Viljan finns där att försöka ändå  Solen stiger sakta och värmer jord Som behöver all värme och en framtidstro Inom mig finns många frågor kvar Som brinner av längtan efter svar  Det måste gå Det måste gå Viljan finns där att försöka ändå  La la la la  Viljan finns där att försöka, försöka ändå Bara måste gå Det bara måste gå Viljan finns där att försöka, försöka ändå Bara måste gå  La la la la la  Det måste gå Det måste gå"
/songs/3326678,Icona Pop,Don't Slam the Door,https://genius.com/Icona-pop-dont-slam-the-door-lyrics,http://api.genius.com/songs/3326678,Så Mycket Bättre 2017 – Tolkningarna,2017-11-18, I was a fool to trust you And a bigger fool to believe That the very first time I would be the last I was easy to deceive   The temper flared and I've prouded up before But this time I’ve said goodbye and nothing more   And don’t slam the door when you get out of my life I’ve been your fool and I’m glad I’m not your wife You can save the tears ‘cause I know how fast they dry And don't slam the door when you get out of my life   I sat at home just waiting Staring at your empty chair While you were out with what’s her name Or getting drunk somewhere   They say a cat has got nine lives my friend But you’re really out of luck with number ten   And don’t slam the door when you get out of my life I’ve been your fool and I’m glad I’m not your wife You can save the tears ‘cause I know how fast they dry And don't slam the door when you get out of my life   The temper flared and I've prouded up before They say a cat has got nine lives my friend   And don’t slam the door when you get out of my life I’ve been your fool and I’m glad I’m not your wife You can save the tears ‘cause I know how fast they dry And don't slam the door when you get out of my life
/songs/1358636,Icona Pop,Downtown,https://genius.com/Icona-pop-downtown-lyrics,http://api.genius.com/songs/1358636,Icona Pop,2012-11-14," We walk the streets of the suburbs You hold my hand like it's all I need We kiss in the woods behind your parents' place I whisper ""I'll tell you 'bout my dreams""   Can we keep it simple? Just give me what I need I like you better when we go   Downtown, downtown I like you when you kiss me downtown (town, town, downtown) Like you better when we go Downtown, downtown I like you when you kiss me downtown (town, town, downtown, downtown, downtown)   I need to feel you love me my way Get me going baby You should know by now I like you I like you when you kiss me downtown   We walk the streets in a circle We know every corner by heart Subway south, and I'm outta here Are you in? Are you out?   Loving me is simple Just give me what I need I like you better when we go   Downtown, downtown I like you when you kiss me downtown (town, town, downtown) Like you better when we go Downtown, downtown I like you when you kiss me downtown (town, town, downtown, downtown, downtown)   I need to feel you love me my way Get me going baby You should know by now I like you I like you when you kiss me downtown   Can't we keep it simple? Just give me what I need I like you better when we go   Downtown, downtown I like you when you kiss me downtown (town, town, downtown) Like you better when we go Downtown, downtown I like you when you kiss me downtown (town, town, downtown, downtown, downtown)   Downtown, downtown I like you when you kiss me downtown (town, town, downtown) Like you better when we go Downtown, downtown I like you when you kiss me downtown (town, town, downtown, downtown, downtown)   Downtown"
/songs/1912355,Icona Pop,Emergency,https://genius.com/Icona-pop-emergency-lyrics,http://api.genius.com/songs/1912355,Emergency EP,2015-05-26," So you wanna party? So you wanna dance? You better know someone That fucked someone of our friends You wanna get higher? Shake that ass Spinning round and round And round and round like that  [Pre-Chorus: Icona Pop (Erik Hassle)] I put a little twist in my hips (here we go) Kiss on my lips (here we go) Ice on my wrist ‘cause I'm hot and I'm dancing (here we go) Caught that romancin' (here we go) Cancel your plans and (here we go) Girls hide your mans, ‘cause I'm hot and I'm dancing (here we go)   This is emergency (wooh ooh ooh) Call an ambulance, come rescue me (wooh ooh ooh) Everybody in this bitch (wooh ooh ooh) If you wanna get up, get down like this (Ah, ha, ha)    [Post-Chorus: Erik Hassle (Icona Pop)] Wooh ooh ooh, here we go Wooh ooh ooh, here we go (Party) Wooh ooh ooh, here we go (Party) (Ahhhhhh) Wooh ooh ooh   Hallelujah, oh mercy me Confess your sins and get down on your knees And I'll be good to you if you're good to me And we can go on and on and on and on On and on and on and on  [Pre-Chorus: Icona Pop (Erik Hassle)] I put a little twist in my hips (here we go) Kiss on my lips (here we go) Ice on my wrist ‘cause I'm hot and I'm dancing (here we go) Caught that romancin' (here we go) Cancel your plans and (here we go) Girls hide your mans, ‘cause I'm hot and I'm dancing (here we go)   This is emergency (wooh ooh ooh) Call an ambulance, come rescue me (wooh ooh ooh) Everybody in this bitch (wooh ooh ooh)(Ha, ha, ha) If you wanna get up, get down like this (Ah, ha, ha)    [Post-Chorus: Erik Hassle (Icona Pop)] Here we go, here we go (Party) Wooh ooh ooh, here we go (Party) (Ahhhhh) Wooh ooh ooh (la, la, la, la, la...)   This is emergency Call an ambulance, come rescue me Everybody in this bitch (Ha, ha, ha) If you wanna get up, get down like this (Ahhhhh woo)    [Post-Chorus: Erik Hassle (Icona Pop)] Here we go, here we go (Party) Wooh ooh ooh, here we go (Party) Wooh ooh ooh, here we go     Here we go"
/songs/2243600,Icona Pop,First Time,https://genius.com/Icona-pop-first-time-lyrics,http://api.genius.com/songs/2243600,Emergency EP,2015-07-16," I just can't stop thinking 'bout you Rewind the time before I lost my mind There was something special 'bout us Remember when we thought it'd never end   Come on and run, run, run with me through the LA Before we get old and all our friends start to panic   The first time we got high The first time we got drunk The first time we fell in love And things will never be the same And that's okay   I never forgot about you Rewind the time before I lost my mind There was something special 'bout us Remember when we thought we'd never end   Come on and run, run, run with me through the LA Before we get old and all our friends start to panic   The first time we got high The first time we got drunk The first time we fell in love And things will never be the same And that's okay That's okay   Let's go to Paris, let's run away Do all the things that we used to say Let's go to Paris (let's go to Paris) Let's run away (let's run away) Do all the things (do all the things) That we used to say (we used to say)   The first time we got high The first time we got drunk The first time we fell in love And things will never be the same The first time we got high The first time we got drunk The first time we fell in love And things will never be the same And that's okay"
