api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1849457,Idina Menzel,All I Want for Christmas Is You,https://genius.com/Idina-menzel-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/1849457,Holiday Wishes,2014-10-14,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas Baby is you, oh come on   I don't want a lot for Christmas There is just one thing I need And I don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you Yeah, you baby (Come on, hey)   Oh, I won't ask for much this Christmas I won't even wish for snow And I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick I won't even stay awake to Hear those magic reindeer click   'Cause I just want you here tonight Holding on to me so tight What more can I do? Baby all I want for Christmas is you Yeah, you baby (Oh)   Oh, all the lights are shining (Lights are shining) So brightly everywhere And the sound of children's (Sound of children) Laughter fills the air And everyone is singing I hear those sleigh bells ringing Santa, won't you bring me the one I really need? Won't you please bring my baby to me?   I don't want a lot for Christmas This is all I'm asking for I just want to see my baby Standing right outside my door   Oh, I just want you for my own More than you could ever know Make my wish come true Baby, all I want for Christmas is   You, yeah, you Is you, wooh! All I want for Christmas is you (All I want for Christmas is you), eh, come on baby All I want for Christmas is you (All I want for Christmas is you), wooh Gimme one (All I want for Christmas is you), yeah alright Gimme two now (All I want for Christmas is you) I said all I want for Christmas is you, yeah (All I want for Christmas is you) Oh yeah I don't need nobody more than you No, I don't need nobody else but you I don't need nobody (I don't need nobody) I don't need nobody but you (I don't need nobody) All I want for Christmas is you, yeah Say it, (All I want for Christmas is you) (All I want for Christmas is you) (All I want for Christmas is you) I don't need no stocking (All I want for Christmas is you) I just want a little sweet loving (All I want for Christmas is you)"
/songs/1647678,Idina Menzel,All of the Above,https://genius.com/Idina-menzel-all-of-the-above-lyrics,http://api.genius.com/songs/1647678,Still I Can't Be Still,None,"""I am your sexy girl I am your baby girl I am your innocence I am your mother I'm lady chatterly Or lady chastity Or some anonymous lover  I can be your little virgin (I can call my mommy) Or your dominatrix (In your parent's bed) We'll play some spin the bottle We'll play some Marvin Gaye Or we can dress you up in women's clothing  Let's go shopping at the Pink Pussycat You talk to the salesmen I'll hide in the back I may be bashful, but... I got the cash 'cause... I ain't afraid to try new things like that  Whatever you're thinking Whatever your feeling I'll be either one or All of the above  Whatever you're thinking Whatever your feeling I'll be either one or All of the above  I'm a widow in mourning (Longing for your love) I'm the bride on her wedding say (And you are not the groom) I'm a singing telegram at 2 AM Or the French maid who comes to clean your room  Let's go shopping at the Pink Pussycat You talk to the salesmen I'll hide in the back I may be bashful, but... I got the cash 'cause... I ain't afraid to try new things like that  Whatever you're thinking Whatever your feeling I'll be either one or All of the above  Watever you're thinking Watever your feeling I'll be either one or All of the above  I'll keep you guessing, babe You won't need confession, no I'll be either one or All of the above  Well I couldn't imagine If I couldn't be myself 'Cause if you're afraid to Ask for what you want Then you might rebel But if you've got that combination Where you can play some 'show and tell' Well don't be shameful I am your rainbow Liberate your body and Soothe your soul  I can be your babysitter (Who let you stay up late) Or your best friend's mother (Really hot date) Or you favorite cousin (She taught you how to french kiss) Or Miss Finigan from health class I'm a school girl in knee socks (With pig-tails in her hair) I'm Aphrodite for dinner (Or Linda Carter) I'm rose petals I'm ruby wine And if you want I'l be the president's wife  Baby, won't you tell me... Whatever you're thinking Whatever you're feeling I'll be either one or All of the above..."""
/songs/1853531,Idina Menzel,Asleep on the Wind,https://genius.com/Idina-menzel-asleep-on-the-wind-lyrics,http://api.genius.com/songs/1853531,Live: Barefoot at the Symphony,2012-03-06,"Love is a glass of wine Its balanced on a side rail of a ship Across the sea at midnight, it may not last til' daylight comes And the trip is long And the waves are strong But then again, it might be up there forever I've heard of birds that never touch the land But sleep on the wind And if untouched by someone's careless hand Asleep on the wind Our lives might last until the journey's end Alive Alive Our lives they're just bubbles of time They are rainbow-colored and They're shining in the sun They drift above the treetops now In danger that the breeze drops somehow And darling, that's all it would take Yet we threaten not to break And then again, we might be up there forever I've heard of birds that never touch the land But sleep on the wind And if untouched by someone's careless hand Asleep on the wind Our lives might last until the love begins So stay alive, please let me try as hard as you do To stay alive, please let me be as much alive as you Alive Alive Alive"
/songs/599247,Idina Menzel,Baby It's Cold Outside,https://genius.com/Idina-menzel-baby-its-cold-outside-lyrics,http://api.genius.com/songs/599247,Holiday Wishes,2014-10-14,"[Verse 1: Idina Menzel and Michael Bublé] I really can't stay Baby, it's cold outside I've got to go away Baby, it's cold outside This evening has been Been hoping that you'd drop in So very nice I'll hold your hands, they're just like ice My mother will start to worry Beautiful, what's your hurry? My father will be pacing the floor Listen to that fireplace roar So really I'd better scurry Beautiful, please don't hurry But maybe just half a soda pop more Put some records on while I pour  [Verse 2: Idina Menzel and Michael Bublé] The neighbors might think Baby, it's bad out there Say, was that a wink? No cabs to be had out there I wish I knew how Your eyes are like starlight now To break this spell I'll take your hat, your hair looks swell I ought to get home for dinner Mind if I move in closer? So it's time for me to cast you aside What's the sense in hurting my pride? I really can't stay Baby, don't hold out Baby it's cold outside  [Interlude: Idina Menzel and Michael Bublé] You're very pushy, you know I'd like to think of it as opportunistic  [Verse 3: Idina Menzel and Michael Bublé] I simply must go Baby, it's cold outside So thanks for the show But, baby, it's cold outside The welcome has been How lucky that you dropped in So nice and warm Look out the window at that storm My sister will be suspicious Gosh, your lips look delicious My brother will be there at the door Waves upon a tropical shore My maiden aunt's mind is vicious Gosh, your lips are delicious But maybe just another dance more Never such a blizzard before  [Verse 4: Idina Menzel and Michael Bublé] I've got to get home Baby, you'll freeze out there Say, lend me your comb? It's up to your knees out there You've really been grand I thrill when I touch your hand But don't you see? How can you do this thing to me? There's bound to be talk tomorrow Think of my life-long sorrow At least there will be plenty implied If you got pneumonia and died I really can't stay Get over that hold out Baby it's cold Baby it's cold outside  [Spoken Outro: Idina Menzel and Michael Bublé] Okay, fine, just another drink That took a lot of convincing"
/songs/1645019,Idina Menzel,Better to Have Loved,https://genius.com/Idina-menzel-better-to-have-loved-lyrics,http://api.genius.com/songs/1645019,I Stand,2008-01-29,Better to have loved. ohhhhh. Better to have loved  Oooooooooh If the sun went down tomorrow and Never came back and the city went quiet And we fade to black Well i won't have a single regret And i wouldn't trade a thing 'Cause I never knew I could feel what I feel inside of me  Better to have loved than never loved at all Better to have dreamed than never taken the fall Better to have held you and let you in Than never to have touched your skin Better to have hurt and screamed and cried Fallen to the Earth for a trip to the sky Better to have loved...you  I knew all the time I was taking a chance When I stand there at the edge of a cliff and No one was holding my hand Well the wind blew strong and The clouds rolled in and I felt us lift off the ground Yes I beared my soul and  I dared to go knowing one day you might let me down oh  Better to have loved than never loved at all Better to have dreamed than never taken the fall Better to have held you and let you in Than never to have touched your skin Better to have hurt and screamed and cried Fallen to the Earth for a trip to the sky Better to have loved...you  I gave you everything But you have said goodbye Ohhh said goodbye  Better to have loved than never loved at all Better to have dreamed than never taken the fall Better to have held you and let you in Than never to have touched your skin Better to have hurt and screamed and cried Fallen to the Earth for a trip to the sky Better to have loved(better to have loved) Better to have loved(better to have loved) YOU  Ooohhhhhh
/songs/4213054,Idina Menzel,Bitter Core,https://genius.com/Idina-menzel-bitter-core-lyrics,http://api.genius.com/songs/4213054,idina.,2016-09-23," Fair warning, I’m no walk in the park I’m just sayin’, I’m all broken apart And I know you think you love me But I’ve shown you only little bits and pieces My story breaks your heart in a way And I worry when you tell me you’ll stay ‘Cause you’re in way over your head And I never wanna regret this feeling Just so revealing   Love me with my crown on the floor My wings broken off, one eye on the door I got this crooked halo and walls made of thorns Surroundin’ my heart, but cryin’ for more If you’re gonna love me, won’t you love me to the bitter core?   Believe me, I don’t want you to go I’m not leaving, I just need you to know Sometimes I just lose it, and it’s not that you deserve it Trust me, it’s all or nothin’, baby   Won’t you love me with my crown on the floor? My wings broken off, one eye on the door? I got this crooked halo and walls made of thorns Surroundin’ my heart, but cryin’ for more If you’re gonna love me, won’t you love me to the bitter core?   And I’m no queen, I don’t pretend to be I messed up royally, so if it’s meant to be   Love me with my crown on the floor My wings broken off, one eye on the door I got this crooked halo and walls made of thorns Surroundin’ my heart, but cryin’ for more If you’re gonna love me, won’t you love me to the bitter core? Please love me to the bitter core Please love me to the bitter core"
/songs/4213016,Idina Menzel,Blind,https://genius.com/Idina-menzel-blind-lyrics,http://api.genius.com/songs/4213016,idina.,2016-09-23," Mmm   You say I’m a mess I call it the truth You say I’m a wreck And I don’t know what to do about you Don’t need to read your mind ‘Cause I know what you think about me We wasted too much time I guess I unravel slowly   And I was never kind Or good enough for you But you were blind, whoa See what you wanna see You never found the heart of me So you just said goodbye   Saw a little boy Takin’ on the world Blockin’ out the noise Runnin’ from what hurt the most But I believed in you Kept you close, you never notice No matter what I do You can’t forgive, you can’t forget   Said I was never kind Or good enough for you But you were blind, whoa See what you wanna see You never found the heart of me So you just said goodbye   I’m never, ever, ever gonna let you back inside my head, oh ‘Cause now I’m not afraid to say the words I always wish I said, no, no, no, no, no I’m never, ever, ever gonna let you have this piece of me that’s left, oh I’m never, ever, ever gonna let you back inside my head   ‘Cause I was always kind And good enough for you But you were blind, whoa See what you wanna see You never found the heart of me And now I say goodbye"
/songs/1311558,Idina Menzel,Brave,https://genius.com/Idina-menzel-brave-lyrics,http://api.genius.com/songs/1311558,I Stand,2008-01-29,"I don't know just where I'm going And tomorrow it's a little overwhelming And the air is cold and I'm not the same anymore I've been running in your direction for too long now I've lost my own reflection And I can't look down if you're not there to catch me when I fall  If this is the moment I stand here on my own If this is my rite of passage that somehow leads me home I might be afraid but it's my turn to be brave If this is the last chance before we say goodbye At least it's the first day of the rest of my life I can't be afraid 'cause it's my turn to be brave  All along all I ever wanted Was to be the light when your life was daunting But I can't see mine when I feel as though you're pushing me away Well, who's to blame? Are we making the right choices? 'Cause we can't be sure if we're hearing our own voices As we close the door even though we are so desperate to stay  If this is the moment I stand here on my own If this is my rite of passage that somehow leads me home I might be afraid but it's my turn to be brave If this is the last chance before we say goodbye At least it's the first day of the rest of my life I can't be afraid 'cause it's my turn to be brave  And I might still cry And I might still bleed These thorns in my side This heart on my sleeve And lightning may strike this ground at my feet And I might still crash But I still believe  This is the moment I stand here all alone With everything I have inside everything I own I might be afraid but it's my turn to be brave  If this is the last time before we say goodbye At least it's the first day of the rest of my life I can't be afraid it's my turn to be brave"
/songs/3948203,Idina Menzel,Bridge Over Troubled Water,https://genius.com/Idina-menzel-bridge-over-troubled-water-lyrics,http://api.genius.com/songs/3948203,idina: live,2018-08-27," When you're weary, feeling small When tears are in your eyes I will dry them all I'm on your side When times get rough And friends, they just can't be found   Like a bridge over troubled water I will lay me down   When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around   Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down   Sail on, silver girl Sail on by Your time has come to shine All your dreams are on their way See how they shine Oh if you need a friend I'm sailing right behind   Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind   I will ease I will ease your mind Silver girl yeah I will ease your Your mind"
/songs/2835304,Idina Menzel,Cake,https://genius.com/Idina-menzel-cake-lyrics,http://api.genius.com/songs/2835304,idina.,2016-09-23," One man's drama is another man's dream One man's toture is another man's treat One man's trophy is another's mistake One man's poison is another man's cake I'm another man's cake   Listen up I can thank you for For believing I was trouble I can thank you for The bitterness you showed me I can thank you for The freedom that I didn't ask for Roses and thorns Steel in my smile   One man's drama is another man's dream One man's toture is another man's treat One man's trophy is another's mistake One man's poison is another man's cake Yeah, I'm another man's cake   See he treats me like I'm a beautiful disaster And he treats me like I'm all he's ever asked for See beauty's in the eyes The eyes of the beholder Silver linings [Ain't everything I after?]   One man's drama is another man's dream One man's toture is another man's treat One man's trophy is another's mistake One man's poison is another man's cake Yeah, I'm another man's cake I'm another man's cake   I'm hard to handle, well It's not a crime I'm hard to handle it A state of mind To each his own, you hear? He thinks I'm fine Baby, let's face it I've wasted your time   One man's drama is another man's dream (oh my) One man's toture is another man's treat (is another mistake) One man's trophy is another's mistake One man's poison is another man's cake Yeah, I'm another man's cake (I'm another man I'm another man's cake) I'm another man's cake"
