api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/531200,James Blunt,1973,https://genius.com/James-blunt-1973-lyrics,http://api.genius.com/songs/531200,All the Lost Souls,2007-07-23," Simona You're getting older Your journey's been Etched on your skin Simona Wish I had known that What seemed so strong Has been and gone   I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang ""Here we go again."" And though time goes by I will always be in a club with you in 1973 Singing ""Here we go again.""   Simona Wish I was sober So I could see clearly now The rain has gone Simona I guess it's over My memory plays our tune The same old song   I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang ""Here we go again."" And though time goes by I will always be in a club with you in 1973 Singing ""Here we go again."" I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang ""Here we go again."" And though time goes by I will always be in a club with you in 1973 Singing ""Here we go again."" I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang ""Here we go again."" And though time goes by I will always be in a club with you in 1973 Singing ""Here we go again.""   And though time goes by I will always be in a club with you in 1973"
/songs/1983550,James Blunt,1973 (Karaoke) - Karaoke,https://genius.com/James-blunt-1973-karaoke-karaoke-lyrics,http://api.genius.com/songs/1983550,None,None,"Simona You're getting older Your journey's been Etched on your skin  Simona Wish I had known that What seemed so strong Has been and gone  I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang, ""Here we go again"" And though time goes by I will always be In a club with you In 1973 Singing ""Here we go again""  Simona Wish I was sober So I could see clearly now The rain has gone  Simona I guess it's over My memory plays out to The same old song  I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang, ""Here we go again"" And though time goes by I will always be In a club with you In 1973 Singing ""Here we go again""  Simona You're getting older Your journey's been Etched on your skin  Simona Wish I had known that What seemed so strong Has been and gone  I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang, ""Here we go again"" And though time goes by I will always be In a club with you In 1973 Singing ""Here we go again""  I would call you up every Saturday night And we'd both stay out 'til the morning light And we sang, ""Here we go again"" And though time goes by I will always be In a club with you In 1973 Singing ""Here we go again""  And though time goes by I will always be In a club with you In 1973"
/songs/3030247,James Blunt,2005,https://genius.com/James-blunt-2005-lyrics,http://api.genius.com/songs/3030247,The Afterlove,2017-02-24," I woke up this morning And realised All I do is apologise For a song I wrote in 2005 Didn't come with a warning But fame is unkind Put me on top of the world Couple of girls and then Left me behind   Sure, let's take a photograph You can show it to your friends and laugh I'd tell you what I'm doing now But you don't really wanna know   I wrote you a love song Now it's something that you hate on And I'm sad the record's broken But I don't think I can write a better love song Without it I'd be no one And now that you've forgotten me Tell me how to write one better   I'm not gonna lie Say it didn't work out 'cause I live in a big house Made a few pounds Nice car on the drive And I went round the world once or twice Saw the sunset and sunrise But for big highs, there's a big price When all you do is criticise   Sure, let's take a photograph You can show it to your friends and laugh I'd tell you what I'm doing now But you don't really wanna know   I wrote you a love song Now it's something that you hate on And I'm sad the record's broken But I don't think I can write a better love song Without it I'd be no one And now that you've forgotten me Tell me how to write one better   I don't think I can write one better Love, song Love, song   I wrote you a love song Now it's something that you hate on And I'm sad the record's broken But I don't think I can write one better love song Now it's something that you hate on And I'm sad the record's broken But I don't think I can write a better love song Without it I'd be no one And now that you've forgotten me Just tell me how to write one better   I woke up this morning And realised All I do is apologise For a song I wrote in 2005"
/songs/950519,James Blunt,Alright Tonight,https://genius.com/James-blunt-alright-tonight-lyrics,http://api.genius.com/songs/950519,None,None,"If you want to you can stick around 'Cause its alright, tonight She said ""I will stay here, stay with you 'Cause you're alright, tonight."" And I, I hoped that things would turn Out my way 'cause she's alright, tonight She said ""This is fun, this is good, yes It's alright, it's alright.""  Do you want this one night stand? Let's take a risk and go play in the sand You can leave that ring on your finger I'm a sinner, you're the winner, I am too  We made out now, we made up, yeah We made love for the world cup I said I want things I've never had before She said ""Alright, tonight."" So we entered heaven to accept our fate And to sum it up baby, it was great, yeah It's not often that I see the light But it's - it's alright, it's alright  Do you want this one night stand? Let's take a risk go play in the sand You can leave that ring on your finger I'm a sinner, you're the winner, I am too  Here she comes again now Here she comes again now Here we go again now  (Do you want this one night stand) (Do you want this one night stand) (Do you want this one night stand) (all right all right)  Do you want this one night stand? Let's take a risk go play in the sand You can leave that ring on your finger I'm a sinner, you're the winner, I am too. 3x  It's alright. 15x  (You can leave that ring on your finger I'm a sinner, you're the winner, I am too.)"
/songs/552785,James Blunt,Always Hate Me,https://genius.com/James-blunt-always-hate-me-lyrics,http://api.genius.com/songs/552785,Moon Landing,2013-10-18," Oh God it hurt the moment that I saw you With someone else the one that you belonged to I never thought I'd drown in my shallow heart I'd like to say the things I never used to But come today they won't ever be useful I never learned to use my shallow heart   I I I, I never meant to hurt you It's just something I do I guess it's not a good excuse And she will always hate me No matter what I say And there is no mistaking, the love is gone Yea she will always hate me She said ""you lost me baby"" No matter what I say, the love is gone   Looking back I guess I'm holding on to The good we had but I know that it's wrong too 'Cause in the end she's never gonna hold my heart And now she knows, she doesn't wanna know me I'm not supposed to be the one who's lonely I never thought that she could have a cold cold heart  "
/songs/564236,James Blunt,Annie,https://genius.com/James-blunt-annie-lyrics,http://api.genius.com/songs/564236,All the Lost Souls,2007-09-14," Annie, you had your name in the bright lights I thought I saw your photograph having such a laugh in a magazine Did it all come tumbling? Annie, you were made for the big time They said you're a star to be in the NME But the walls came tumbling down, down Will you go down on me?   Cause Annie you're a star, that's just not going very far And all the world will know your name And you'll be famous as you are Cause I'll sing for you   Annie, would it be nice to be recognised? And did you practise your autograph but now no one's asked and it's such a shame That the dreams are crumbling? Annie, why aren't you bathed in the limelight? Cause I thought that you said you'd be a celebrity several years ago Did it all come tumbling down, down Will you go down on me?  "
/songs/3018446,James Blunt,Bartender,https://genius.com/James-blunt-bartender-lyrics,http://api.genius.com/songs/3018446,The Afterlove,2017-03-10," It's a little after midnight There's a couple in the corner And I wonder what he said because she's crying And I guess they won't remember When they wake up in the morning With the headache from the whiskey and the wine I know that I have said things I regret when I am sober 'Cause we always hurt the ones we love the most I messed up and I know it, if I hurt you girl I'm sorry But it's good to see the girl I used to know   We could dance but I can't dance Maybe we could stick to holding hands Or should we raise a glass And forget the past?   If we keep on drinking we gon' fall back in love So fill it up, fill it up We must not be thinking 'cause we can't get enough So fill it up, fill it up Bartender, can you pour some love? Bartender, can you pour some love?   We can talk about a future, we don't wanna reminisce Because we both know it was me who got it wrong But fuck it's good to see you You look awesome and I miss you Baby listen now, they're playing our song   We could dance but I can't dance Maybe we could stick to holding hands And let's raise a glass And forget the past   If we keep on drinking we gon' fall back in love So fill it up, fill it up We must not be thinking 'cause we can't get enough So fill it up, fill it up Bartender, can you pour some love? Bartender, can you pour some love?   And it's closing time, back to yours or mine? After all this time, you still blow my mind And it's closing time, back to yours or mine? After all this time, after all this time   If we keep on drinking we gon' fall back in love So fill it up, fill it up We must not be thinking 'cause we can't get enough So fill it up, fill it up Bartender, can you pour some love? Bartender, can you pour some love?"
/songs/557881,James Blunt,Best Laid Plans,https://genius.com/James-blunt-best-laid-plans-lyrics,http://api.genius.com/songs/557881,Some Kind of Trouble,2010-11-08," You don't like it in the shadows But you won't let me shine a light I would wash away your troubles But it seems The more that I hold on The more that you let go And I know, you better let somebody love you Or find yourself, on your own   Tell me why all the best laid plans Fall apart in your hands And my good intentions never end The way I meant   If we don't talk about the future Then should I just, follow you into the dark Yeah, and does your silence keep you cold While the cracks form on my heart   It seems to me some fine friends have watched you turn your back It seems you only want the things that you can't have  "
/songs/563144,James Blunt,Billy,https://genius.com/James-blunt-billy-lyrics,http://api.genius.com/songs/563144,Back to Bedlam,2004-10-11, Billy's leaving today Don't know where he's going Holds his head in disgrace He can't escape the truth He knows the price that he's paid He admits that it's too late to admit that he's afraid   Tomorrow comes Sorrow becomes his soul mate The damage is done The prodigal son is too late Old doors are closed but he's always open To relive time in his mind Oh Billy   Billy's leaving today Don't know where he's going He's got lines on his face They tell the story of his pain He accepts it's his fate He admits it took too long to admit that he was wrong   Once he was a lover sleeping with another Now he's just known as a cheat And he wish he'd had a mirror Looked a little clearer Seen into the eyes of the weak (2x)  
/songs/552805,James Blunt,Blue on Blue,https://genius.com/James-blunt-blue-on-blue-lyrics,http://api.genius.com/songs/552805,Moon Landing,2013-10-18, How come you don't wanna see me? How come you've gone and left me alone? How come you took a slow boat to China? What can I do if I can't get through to you? Baby blue on blue   I want you more than I ever wanted Than I ever needed Anyone I ever knew I love you more than ever Thought that I will never feel the way that I do   How long you gonna me leave me here standing? How long till you're gonna make up your mind? How long is your balloon ride to nowhere? What can I do if I can't be there with you? Baby blue on blue   I'm coming under fire (8x) Baby blue on blue
