api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/205871,Jason Mraz,0% Interest,https://genius.com/Jason-mraz-0-interest-lyrics,http://api.genius.com/songs/205871,Tonight Not Again / Live At The Eagles Ballroom,None," Our friends on the front porch, well they're telling jokes and they swing swiftly towards happier times Expending lines and finding more energy for the effort and getting distance from that front porch spotlight But us we found peace in shadows, long enough to see the monsters rise Candy's got some space to fill in her daydream living high on yesterday's lies Talking to me about some 0% interest and, how she got a better deal than the next guy  And the way the lightning shocked us when we were lost and we were looking Down that long Missouri highway your hair was longer then and now I can remember Say now I remember oh so well   Oh the roads unencumbered by cats they're burning like wet matches through my miracle mile mind You left your thumbprint inside me now for months it seems but mine only brushes your soft surface And somehow Somehow it leaves me listless, my tongue curls under my lips oh oh yes So I can't speak to tell you of the months before I met you   And the way, oh the truth it locked us Oh right about the time after the lightning shocked us When we were young, when we were young and missing Round that small New England byway our lives they were sheltered then and now I can remember Say now well I remember oh so well, almost too well   Well its not even being about that anymore I gotta get you down Those tiny fragments of perfection they please me in a time Unchanged when its not the same beginning or along awaited end[?] If I knew all the words I would write myself out of here If I was all the colors I would paint you pretty in gold in a picture, so I'm told little sister So now I'm sold little sister Why don't you tell me about the sunsets in Sweden and the laws of Eden And how you were the rock of Gibraltar, and how they called you foxy   Well that's another whole box of pandora's, that's another whole box of them ties Slide your foot off the gas before we crash right back into the median Right back into the median, the median lo-oh It separates, our house from the middle of the street It separates our house from the middle of the street  Talking about our house   Is on the front porch telling jokes and they swing swiftly towards happier times Expending lines and finding more energy for the effort and getting distance from that front porch Spotlight But us we found peace in shadows long enough to see a monster die We all need to find a little space in our daydreams long enough and just so long Long enough, just as long, just so long as its long enough is it long enough? Is it long enough for me? Long enough for me to chew on If it isn't... if it isn't .. if it ain't if it don't if it can't then it won' And that's just the way that it goes"
/songs/206629,Jason Mraz,"10,000 Motherfuckers",https://genius.com/Jason-mraz-10000-motherfuckers-lyrics,http://api.genius.com/songs/206629,None,None," When I wake up And the day begins Do I hold my breath? And count to ten? No, will it be three? We'll see, We'll see It depends on which day of the week   That I sing out, sing out loud I'm just one motherfucker singing proud Singing glory, glory Hallelu-jah And yeah That'll do That'll do   In the arms of a city It holds no space for the friendly faces of you and me Go make a life, not a living Singing glory, glory, glory Hallelu Yeah Hallelu-jah   There's things to know So I'm told But the days they keep rolling on so painfully playing slow And no room to grow But blow by blow   You see, I always get lost somewhere See, I already forgot To sing out I want to sing out loud You should be another motherfucker singing proud   Sing out glory Remind me of the glory Hallelu Ha- Hallelu That'll do   We should all keep pretending that our dreams are patent pending You should see some of the scenes that I've seen And I know love because I've flown above it And beyond it, but it's still too long of a wait   That's why I sing out Sing out loud We should be ten thousand motherfuckers singing out Oh, sing out glory Glory, Glory, Glory, Glory, Glory, Glory Hallelu, Hallelu Ha- Ha- ah Ha- ah ah-le-lu Ooh-ooh   I'll sing my story for you And you'll sing for me too And together, we will make it through They say when you sing, you're praying twice Don't that sound nice? So, rise up Come on and give it a try   To sing out Just sing out loud We could be six billion motherfuckers singing proud Why not sing glory? Glory, Glory Hallelu Ha-ah-ah-ah-ah-ah-le-lu Ooh-ooh-ooh Hallelujah   This is no ordinary world We need extraordinary glory Hallelu Yeah, that'll do Yeah, that'll do   Sing oh Sing Hallelu"
/songs/1486197,Jason Mraz,"10,000 Motherfuckers (That'll Do)",https://genius.com/Jason-mraz-10000-motherfuckers-thatll-do-lyrics,http://api.genius.com/songs/1486197,Sold Out (In Stereo),2002-10-15,"When I wake up And the day begins Do I hold my breath And count to ten Or will it be three We'll see We'll see It depends on which day of the week So I sing out I sing out loud I'm just one tiny motherfucker singing proud Singing glory Glory Hallelujah Yeah, that'll do Yeah, that'll do In the arms Of a city That holds no trace For this friendly face of you and me Go make your life Not a living Singing glory Glory Hallelujah Yeah, that'll do There's things to know And so we're told But the days Keep rolling on so painfully slow They say there's ways to grow But blow by blow You see, it all gets lost somewhere See, I already forgot So sing out loud Sing out loud You can be another motherfucker singing proud Singing glory Glory Remind me, glory, glory, glory, hallelu . .  We should all keep pretending That our dreams are patent pending You should see Some of the scenes that I've seen And I know love Because I've flown above And beyond But it's still too long of a wait So I sing out I sing out loud We can be 10,000 motherfuckers singing proud Sing out glory, glory, glory, glory, hallelu . .  Yeah, that'll do Yeah, that'll do I'll sing my stories for you And you will sing for me, too And together We can make it through They say When you sing you're praying twice Don't that sound nice So, rise up Come on, and give it a try So sing out Sing out loud We can be 6 billion motherfuckers singing proud Oh, sing it loud Sing glory Glory, glory, glory Hallelu . . . hallelu . . . hallelu . .  Hal . . . hal . . . hallelu . . . hallelu . . . jah . .  Hallelujah Hallelu . .  Oh, say hallelu . ."
/songs/205842,Jason Mraz,1000 Things,https://genius.com/Jason-mraz-1000-things-lyrics,http://api.genius.com/songs/205842,Tonight Not Again / Live At The Eagles Ballroom,None," I'm overjoyed and over loved and feeling lucky Like a little boy who's hiding under covers And looking to discover any way to play the part inside his darkened cave Well the meaning of life it starts at the nightlight Close your eyes and hope to see mine   Well I've seen a thousand things in one place But I stopped my counting when I saw your face Erasing memory I feel as though I've never seen a face before Until I saw your eyes smiling back at me thru my tears I've been counting all these years Now suddenly the thousand things I've seen were Nothing more than dreams of you and me   You and me quietly at a stand still Fortunately you will kiss me and I'll kiss you back Fact of the matter of is that I don't know what the latter is That I always wanted to kiss you but I always wanted to run from you Because I always wanted to miss you And that I've always wanted to come for you   So, how do you do?"
/songs/206633,Jason Mraz,3 Things,https://genius.com/Jason-mraz-3-things-lyrics,http://api.genius.com/songs/206633,Yes!,2014-07-11," There are three things I do when my life falls apart Number one: I cry my eyes out and dry up my heart Not until I do this will my new life start So that’s the first thing that I do when my life falls apart   Well the second thing I do is I close both of my eyes And sing my thank yous to each and every moment of my life I go where I know the love is and let it fill me up inside Gathering new strength from sorrow I’m glad to be alive   And things are looking up I know above the clouds the sun is shining Things are looking up Love is still the answer I'm relying on Three little things Things are looking up   Well the third thing that I do now when my world caves in Is I pause, I take a breath and bow And I let the chapter end I design my future bright Not by when my life has been And I try try try try, try again Yes I try try try try, try again   Things are looking up I know beyond the dark the sun is rising Things are looking up And I know above the clouds the sun is shining Things are looking up Uh, love is still the answer I'm relying on Three little things Three little things"
/songs/71412,Jason Mraz,5/6,https://genius.com/Jason-mraz-5-6-lyrics,http://api.genius.com/songs/71412,Love is a Four Letter Word,2012-04-13," Are you dancing with your partner, or are you pushing them around? Are you begging for attention, or do you love the one you've found? Are you giving up your Saturdays to waltz all over town? Or is everyday a jolly holiday with whomever you're with now?   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   Don't dress up your children like dolls from your past They'll run from you madly, they'll never look back And when they grow older, they'll do just the same The world's a reflection of how children play   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   When you're in the mood, baby Hear just what your heart has to say When the world is turning topside and turvy then you better hurry down To the bottom of your soul and be love   Your word is your access, your mouth is your door Let's slide down inside there, and see what's in store In the middle there's a rhythm kicking, it's a freaking hard beat At the bottom there's a lot of water keeping your soul deep   You could give it all away Give it all and be unstoppable All away, everything is really possible, all away You never really owned it anyway It'll all fall in place if you just let go   When you're in the mood, pretty baby Hear just what your heart has to say When the world is turning topside and turvy then you better hurry To the bottom of your soul Get down, get it all, and be love  Be Love Be Love Be Love Be Love Be Love Be Love"
/songs/71414,Jason Mraz,93 Million Miles,https://genius.com/Jason-mraz-93-million-miles-lyrics,http://api.genius.com/songs/71414,Love is a Four Letter Word,2012-03-27," 93 million miles from the Sun, people get ready get ready Cause here it comes it's a light, a beautiful light, over the horizon into our eyes Oh, my my how beautiful, oh my beautiful mother She told me, ""Son in life you're gonna go far, and if you do it right you'll love where you are Just know, that wherever you go, you can always come back home""   Ohh, ohh, ohh Ohh, ohh, ohh   240 thousand miles from the Moon, we've come a long way to belong here To share this view of the night, a glorious night, over the horizon is another bright sky Oh, my my how beautiful, oh my irrefutable father He told me, ""Son sometimes it may seem dark, but the absence of the light is a necessary part Just know, you're never alone, you can always come back home""   Ohh, ohh, ohh Ohh, ohh, ohh   You can always come back, back  Every road is a slippery slope There is always a hand that you can hold on to Looking deeper through the telescope You can see that your home's inside of you  Just know, that wherever you go, no you're never alone, you can always get back home   Ohh, ohh, ohh Ohh, ohh, ohh   93 million miles from the Sun, people get ready get ready Cause here it comes it's a light, a beautiful light, over the horizon into our eyes"
/songs/206638,Jason Mraz,A Beautiful Mess,https://genius.com/Jason-mraz-a-beautiful-mess-lyrics,http://api.genius.com/songs/206638,We Sing. We Dance. We Steal Things.,2008-05-12," You've got the best of both worlds You're the kind of girl who can take down a man And lift him back up again You are strong but you're needy Humble but you're greedy And based on your body language And shoddy cursive I've been reading Your style is quite selective Though your mind is rather reckless Well I guess it just suggests That this is just what happiness is   Hey, what a beautiful mess this is It's like picking up trash in dresses   Well it kind of hurts when the kind of words you write Kind of turn themselves into knives And don't mind my nerve you could call it fiction But I like being submerged in your contradictions, dear Cause here we are, here we are   Although you are biased I love your advice Your comebacks ‒ they're quick And probably have to do with your insecurities There's no shame in being crazy Depending on how you take these Words i'm paraphrasing this relationship we're staging   Hey, what a beautiful mess this is It's like picking up trash in dresses   Well it kind of hurts when the kind of words you say Kind of turn themselves into blades And ""kind and courteous"" is a life I've heard But it's nice to say that we played in the dirt Cause here, here we are, here we are Here we are Here we are Here we are Here we are Here we are Here we are Here we are  We're still here What a beautiful mess this is It's like taking a guess when the only answer is ""Yes""   Through timeless words and priceless pictures We'll fly like birds not of this earth  And tides ‒ they turn ‒ and hearts disfigure But that's no concern when we're wounded together   And we tore our dresses and stained our shirts But it's nice today. Oh, the wait was so worth it"
/songs/109518,Jason Mraz,Absolutely Zero,https://genius.com/Jason-mraz-absolutely-zero-lyrics,http://api.genius.com/songs/109518,Waiting For My Rocket To Come,2002-10-15," You, you were a friend You were a friend of mine, I let you spend the night You see how it was my fault Of course it was mine   I'm too hard at work Have you ever heard of anything so absurd Ever in your life I'm sorry for wasting your time   Who am I to say that this situation isn't great? Well it's my job to make the most of it How could I ever know that it would happen to me? Not that easy   Hey what's that you say? You're not blaming me for anything, well that's great But I don't break that easy Does it fade away?   So that's why I'm apologizing now For telling you I thought that we could make it I just don't get enough to believe that We've both changed   When all along the fault's been up for grabs Why can't you have it well it's for sale go make your offer I will sell it for no less than what I bought it for Pay no more than absolutely zero   Well neither one of us deserves the blame Because opportunities moved us away And it's not an easy thing to learn to play A game that's made for two that's you and me The rules remain a mystery See it's hardly easy   When all along the fault is up for grabs and there you have it Well it's for sale, go make your offer I will sell it for no less than what I bought it for Pay no more than absolutely zero, Lord, Lord"
/songs/205869,Jason Mraz,After An Afternoon,https://genius.com/Jason-mraz-after-an-afternoon-lyrics,http://api.genius.com/songs/205869,Tonight Not Again / Live At The Eagles Ballroom,None," I bare my windowed self untamed and untrained Dreams that hardly touch our complexions truest faults If room enough for both my drowsy spirit shall fall Bold waves tumble oh to the season of my heart And you have offended my faith and my trust Until all is lost into the beauty of the day Until all is lost, until all is lost   But there's something in the way you laugh And it makes me feel like a child Aspects of life they confuse me You and your thesis amuse me Oh, after and afternoon with you And your rich brown eyes Your lips and dark hair Elbows and exposed knees tossing toward the ceiling After an after, after an after, after an afternoon After an after, after an afternoon with you   Face to palm Tear to tear Mouth to tongue Heart to ground Heart to ground Heart to ground I am in love"
