api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/112277,John Legend,Again,https://genius.com/John-legend-again-lyrics,http://api.genius.com/songs/112277,Once Again,2007-01-09,"The first time we ever got a chance to be alone we knew That it was wrong to do I guess that's why I was drawn to you The second time leads to the third, the fifth, the seventh time I feel so alive, it won't last but it's alright Fleeting joy and fading ecstasy, here it goes again oh Sneaking fruit from the forbidden tree, Sweet taste of sin  And I'm doing it again; Yes I'm doing it again, oh I'm doing it again I said it would end but here it goes again  This time you told me you saw me at the same hotel You said you knew me well, and I had a familiar smell You asked me how am I ever going to put my trust in you Like you want me to, cause I know what you're prone to do Accusations fly like bullets do, here it goes again oh You know me because you're doing it too  The cycle never ends, never ends Oh you're doing it again Yes you're doing it again Oh you're doing it again You said it would end but here it goes again And again, and again  Damn I love you, but this is crazy I have to fight you almost daily We break up so fast And we, we make up so passionately Why can't we just trust each other You can't hate me and be my lover Passion ends, and pains begins, I come back...  And we're doing it again Yes we're doing it again Oh we're doing it again We said it would end but Here it goes again  Each time you call me home in a sweet refrain Saying things will change, you'll take away the pain Then we flashback to the first time you put your spell on me You envelope me, you feel good as hell to me One moment leads to another few Here it goes again oh Oh leaving you is oh so hard to do I just can't pretend, can't pretend I keep doing it again, oh I'm doing it again Yes I'm doing it again I said it would end, oh,oh, oh Oh I'm doing it again I said it would end, oh,oh, oh Oh I'm doing it again I said it would end but here it goes again Again"
/songs/3601235,John Legend,A Good Night,https://genius.com/John-legend-a-good-night-lyrics,http://api.genius.com/songs/3601235,JL7*,2018-04-06," Hey   I had no intention I would get fucked up tonight When I looked in your eyes and they went through me like a knife I came here with my crew, I lost them Came with my cool, I dropped it And if I'm being honest, I'm being honest   I can't think when you're looking like that Can't breathe when you're moving like that Tell me when you're gonna do me like that (yea) I'm so weak and I'm never like that Light-speed and I think I might crash One trip down and I'll never go back   But everything's gonna be alright I think I just met my wife (yeah, I said it) I know it's gonna be a good night I think I just met my wife (uh huh, alright)   Maybe it's the music or the red stain on your lips I wonder when the right time is to go in for a kiss But I'm thinking past that lover, I'm ready to meet your momma If I'm being honest, I'm being honest   I can't think when you're looking like that Can't breathe when you're moving like that Tell me when you're gonna do me like that (like that) I wish you knew what I’m thinking right now I don’t know if I can say it out loud I don’t know if I can say it out loud   But everything's gonna be alright I think I just met my wife (oh, oh) I know it's gonna be a good night I think I just met my wife (hey)   Baby, baby, baby You got me talking crazy I figure if I say it You just might be my lady Baby, it's you, yeah Baby, it's you, yeah And oooh, I feel like something good is 'bout to be going on And baby it's you, yeah And baby it's you, yeah   And everything's gonna be alright I think I just met my wife (yeah) I know it's gonna be a good night I think I just met my wife (c'mon) And everything's gonna be alright I think I just met my wife (sing it with me) I know it's gonna be a good night I think I just met my wife (alright, c'mon)   Everything's gonna be alright I think I just met my wife I know it's gonna be a good night I think I just met my wife"
/songs/215360,John Legend,Aim High,https://genius.com/John-legend-aim-high-lyrics,http://api.genius.com/songs/215360,Love in the Future,2013-08-30,"[Produced by John Legend & Pharrell Williams]   You don't have to cry yourself to sleep at night with wet pillows Girl, I know you're hurt Did you know that you can dry your pillows with your dreams and smile It really works Lay your head back in my arms, oh, I know your worth So just reach inside your heart and pack your bags And let's leave this earth   Let's aim high, oh girl All you gotta do is close your eyes, inhale the sigh and visualize Let's aim high   You work so hard for your boss, to him it's just work Never considers your dreams, selfish and mean Damn, that's gotta hurt Just lay your head back in my arms, girl I know you're worth So allow me to abduct your mind with these words Open your eyes, you're now a bird   Let's aim high, oh girl All you gotta do is close your eyes, inhale the sigh and visualize Let's aim high   You possess the power to do If you concentrate, mountains will move If you just believe that it's true Please make no mistake, I'll be there too   You possess the power to do If you concentrate, mountains will move And if you just believe that it's true Make no mistake, I'll be there too Let's aim high"
/songs/1164604,John Legend,All Falls Down (feat. Kanye West),https://genius.com/John-legend-all-falls-down-feat-kanye-west-lyrics,http://api.genius.com/songs/1164604,None,2018-11-19,"Oh when it all, it all falls down I'm telling you ohh, it all falls down   Man I promise, she's so self conscious She has no idea what she's doing in college That major that she majored in don't make no money But she won't drop out, her parents will look at her funny Now, tell me that ain't insecurrre The concept of school seems so securrre Sophmore three yearrrs ain't picked a careerrr She like f*** it, I'll just stay down herre and do hair Cause that's enough money to buy her a few pairs of new Airs Cause her baby daddy don't really care She's so precious with the peer pressure Couldn't afford a car so she named her daughter Alexus (a Lexus) She had hair so long that it looked like weave Then she cut it all off now she look like Eve And she be dealing with some issues that you can't believe Single black female addicted to retail and well  [Chorus (w/ Kanye ad-libs)]   Man I promise, I'm so self conscious That's why you always see me with at least one of my watches Rollies and Pasha's done drove me crazy I can't even pronounce nothing, pass that versace! Then I spent 400 bucks on this Just to be like n**** you ain't up on this! And I can't even go to the grocery store Without some ones that's clean and a shirt with a team It seems we living the american dream But the people highest up got the lowest self esteem The prettiest people do the ugliest things For the road to riches and diamond rings We shine because they hate us, floss cause they degrade us We trying to buy back our 40 acres And for that paper, look how low we a'stoop Even if you in a Benz, you still a nigga in a coop/coupe  [Chorus (w/ Kanye ad-libs)]   I say f*** the police, thats how I treat em We buy our way out of jail, but we can't buy freedom We'a buy a lot of clothes when we don't really need em Things we buy to cover up what's inside Cause they made us hate ourself and love they wealth That's why shortys hollering ""where the ballas' at?"" Drug dealer buy Jordans, crackhead buy crack And a white man get paid off of all a dat But I ain't even gon act holier than thou Cause f*** it, I went to Jacob with 25 thou Before I had a house and I'd do it again Cause I wanna be on 106 and Park pushing a Benz I wanna act ballerific like it's all terrific I got a couple past due bills, I won't get specific I got a problem with spending before I get it We all self conscious I'm just the first to admit it  [Chorus - to fade (w/ Kanye ad-libs)]"
/songs/3349788,John Legend,All of MEAT (Dog parody),https://genius.com/John-legend-all-of-meat-dog-parody-lyrics,http://api.genius.com/songs/3349788,None,2014-05-27,"What would I do without your moist beef? Tender, bone-in, and you in my teeth You got me slobbering, no kidding, I can taste you now What's going on, are you medium-rare? I'm down for a magical meat affair And I'm so hungry, don't know what ""no"" means, but I'll be a good boy  My mouth's making water But I'm seeing fine You're prime cut, and I'm out of my mind  Cause all of meat I would love to chew Love your chuck, and rib and brisket Even your shank and flank, I'll take it Give me all your meat I'll give my gnaw to you From your tongue down to your trimmings Even your bones that get me digging Cause I could eat all of meat If you give me all to chew, oh  Give me all to chew Meat's on the counter, we're both hickory smoked Meat and potatoes, potato is me  I could eat all of meat If you give me all to chew, oh"
/songs/1160032,John Legend,All Of Me (CDQ),https://genius.com/John-legend-all-of-me-cdq-lyrics,http://api.genius.com/songs/1160032,None,2018-11-19,"What would I do without your smart mouth Drawing me in, and you kicking me out Got my head spinning, no kidding, I can't pin you down What's going on in that beautiful mind I'm on your magical mystery ride And I'm so dizzy, don't know what hit me, but I'll be alright My head's under water But I'm breathing fine You're crazy and I'm out of my mind 'Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I'll give my all to you You're my end and my beginning Even when I lose I'm winning 'Cause I give you all, all of me And you give me all, all of you How many times do I have to tell you Even when you're crying you're beautiful too The world is beating you down, I'm around through every move You're my downfall, you're my muse My worst distraction, my rhythm and blues I can't stop singing, it's ringing, in my head for you My head's under water But I'm breathing fine You're crazy and I'm out of my mind 'Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I'll give my all to you You're my end and my beginning Even when I lose I'm winning 'Cause I give you all of me And you give me all, all of you Give me all of you Cards on the table, we're both showing hearts Risking it all, though it's hard 'Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I'll give my all to you You're my end and my beginning Even when I lose I'm winning 'Cause I give you all of me And you give me all of you I give you all, all of me And you give me all, all of you"
/songs/1145165,John Legend,All of Me (Single),https://genius.com/John-legend-all-of-me-single-lyrics,http://api.genius.com/songs/1145165,None,2018-11-19," What would I do without your smart mouth Drawing me in, and you kicking me out Got my head spinning, no kidding, I can’t pin you down What’s going on in that beautiful mind I’m on your magical mystery ride And I’m so dizzy, don’t know what hit me, but I’ll be Alright   My head’s under water But I’m breathing fine You’re crazy and I’m out of my mind   ‘Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I’ll give my all to you You’re my end and my beginning Even when I lose I’m winning ‘Cause I give you all of me And you give me all of you   How many times do I have to tell you Even when you’re crying you’re beautiful too The world is beating you down, I’m around through Every mood You’re my downfall, you’re my muse My worst distraction, my rhythm and blues I can’t stop singing, it’s ringing, in my head for you     Give me all of you Cards on the table, we’re both showing hearts Risking it all, though it’s hard   I give you all of me And you give me all of you"
/songs/81072,John Legend,Alright,https://genius.com/John-legend-alright-lyrics,http://api.genius.com/songs/81072,Get Lifted,2004-12-28," Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah! Usually I don't do this but ok...   Ok I see you checkin' me out (Checkin' me out) I think I know what you winkin' about (Winkin' about) You wit your man you don't want him to see (Want him to see) It's alright with me I know I drank I little bit much (Hey!) You think I'm talking crazy and such (Hey!) I can't walk straight but girl I can see You're alright with me   Alright I see a little something that I like You lookin' mighty fine in them skin tights You know what I mean It's alright with me Hold up I know you got a man but I'm tore up And I don't even care if he roll up With something to say You better tell him he don't want it with me It's alright  Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah! Yeah, yeah, yeah, yeah, yeah!   Good Lord you got body for days (Body for days) I think the way that you shake it's amazing (Shake it's amazing) I got my keys if you ready to leave (Ready to leave) It's alright with me Now check your man cuz he going insane (Insane) He wanna know what the hell's my name (Hey!) Well if he crazy 'nough to get in my face It's alright with me   Alright I see a little something that I like You lookin' mighty fine in them skin tights You know what I mean It's alright with me Hold up I know you got a man but I'm tore up And I don't even care if he roll up With something to say You better tell him he don't want it with me It's alright   Now come on why don't you test me (Test me) If you want me come and get me (Get me) I'll show you who the best be (Best be) It's alright with me overintellectualization I'll watch you for a long time (Long time) I swear you're looking alright (Alright) Come closer if you like what you see It's alright with me   Alright I see a little something that I like You lookin' mighty fine in them skin tights You know what I mean It's alright with me Hold up I know you got a man but I'm tore up And I don't even care if he roll up With something to say You better tell him he don't want it with me It's alright  It's alright yes it's alright It's alright yes it's alright It's alright yes it's alright It's alright yes it's alright It's alright yes it's alright It's alright yes it's alright All my niggas in the front say All my bitches in the back say  Yeah, yeah, yeah, yeah, yeah!"
/songs/1857632,John Legend,A Million,https://genius.com/John-legend-a-million-lyrics,http://api.genius.com/songs/1857632,None,2018-11-19,"Come back to bed A million things in your head I see the pain in your eyes I'll stay another night It's okay, everything else can wait Everything pushed aside Lose track of time I know it's hard Let down your guard And I'll turn down the lights So we can start  There's a million reasons A million ways A million words But I've said all I can say There's only one thing I want out of all I could do Out of a billion places I only wanna be with you Just wanna be your lover Wanna be your lover, wanna be your love tonight Just wanna be your lover Wanna be your lover, wanna be your love tonight  Let's foreplay I get you to bend my way No reason to put up a fight I know what you like I kiss your neck You probably know what comes next...SEX Oh, yes It's not so hard Let down your guards I'll turn down the nights So we can start  There's a million reasons A million ways A million words But I've said all I can say There's only one thing I want out of all I could do Out of a billion places I only wanna be with you Just wanna be your lover Wanna be your lover, wanna be your love tonight Just wanna be your lover Wanna be your lover, wanna be your love tonight  Just wanna be your lover Wanna be your lover, wanna be your love tonight Just wanna be your lover Wanna be your lover, wanna be your love tonight  Just wanna get back home The only love I know You're the only want that can make me stay Yeah I could go anywhere but still choose you again I can't miss another day  There's a million reasons A million ways A million words But I've said all I can say There's only one thing I want out of all I could do Out of a billion places I only wanna be with you Just wanna be your lover Wanna be your lover, wanna be your love tonight Just wanna be your lover Wanna be your lover, wanna be your love tonight  Just wanna be your lover Wanna be your lover, wanna be your love tonight Just wanna be your lover Wanna be your lover, wanna be your love tonight"
/songs/357163,John Legend,Angel (Interlude),https://genius.com/John-legend-angel-interlude-lyrics,http://api.genius.com/songs/357163,Love in the Future,2013-08-30,"[Produced by Darhyl Camper & Kanye West]   If I could, I'd give you the world Wrap it all around you Won't be satisfied with just a piece of this heart My angel, oh angel You're my angel, oh angel   Oh, dreams are dreams Some dreams come true I found a real dream, baby when I found you You're so strong but tender too You're my angel You're my angel You're my angel You're my angel"
