api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2377686,Justin Bieber,"1, 2, 3, 4, 5 (Spend the Night) [Unreleased Song from Instagram]",https://genius.com/Justin-bieber-1-2-3-4-5-spend-the-night-unreleased-song-from-instagram-lyrics,http://api.genius.com/songs/2377686,None,2018-11-21,"  Said one, two, three, four, five I just wanna, I just wanna spend the night With you love Oh you, love Said one, two, three, four, five I just wanna, I just wanna spend the night With you love Oh you love  Girl don't worry 'bout nothing Nothing, nothing, nothing Oh, when you used to worry about the little things Girl don't worry 'bout nothing Nothing, nothing, nothing  Babe, I'll take control I'll hold you close to me, and I won't let you go And I got your back, babe, and I won't let you go I'll hold you close to me, and I won't let you go"
/songs/77729,Justin Bieber,All Around the World,https://genius.com/Justin-bieber-all-around-the-world-lyrics,http://api.genius.com/songs/77729,Believe,2012-02-26," You're beautiful, beautiful, you should know it Beautiful, beautiful, you should know it I think it's time, think it's time that you show it You're beautiful, beautiful   Baby what you doin'? Where you at? Where you at? Why you acting so shy? Holdin' back, holdin' back We're not the only ones doin' it like that, it like that So DJ, bring that, bring that, bring that, bring that back   Cause all around the world people want to be loved, yeah Cause all around the world, they're no different than us All around the world people want to be loved All around the world, they're no different than us All around the world-world-world All around the world-world-world   You're crazy girl, crazy girl, you should know it You're crazy girl, crazy girl, don't control it Light it up, light it up so explosive Crazy girl, yeah yeah   Baby what you doin'? Where you at? Where you at? Why you acting so shy? Holdin' back, holdin' back We're not the only ones doin' it like that, it like that So DJ, bring that, bring that, bring that, bring that back   Cause all around the world people want to be loved, yeah Cause all around the world, they're no different than us All around the world people want to be loved All around the world, they're no different than us All around the world-world-world All around the world-world-world   Yeah, once again, the dynamic duo is back at it JB, Luda I love everything about you, you're imperfectly perfect Everyone's itchin' for beauty, but just scratching the surface Lost time is never found, can the DJ please reverse it? In life we pay for change, let's make every second worth it Anything can work if you work it When people say you don't deserve it then don't give in Cause hate may win some battles, but love wins in the end You shine just like the sun while the moon and the stars reflect your light Beauty revolves around you, it's only right that   Cause all around the world people want to be loved, yeah Cause all around the world, they're no different than us All around the world people want to be loved All around the world, they're no different than us All around the world-world-world All around the world-world-world"
/songs/260701,Justin Bieber,All Bad,https://genius.com/Justin-bieber-all-bad-lyrics,http://api.genius.com/songs/260701,Journals,2013-11-11," It's another, if it ain't one thing Instigators, like putting fire on propane The wrong thing, they be worrying about Ooh you know females and how they like to run they mouths   Wanna be, wanna be just like talk like, you Like you, you, like you Misery, misery loves company Don't let 'em change your mood   They try to get at me (they try to get at me) Behind your back (your back, your back, your back) They tryna tell me that I'm just like the others But I ain't all bad No, no I ain't all bad, all bad, all bad I ain't that bad, all bad all bad I might make you mad, so mad, my bad No I ain't all bad   Between us, they wanna come in Your worst enemy, so they try to be your best friend Perfect, ain't saying that I am Proven, at least I've proven that I give a damn   Wanna be, wanna be everything I oughta be To you to you, to you Envy, envy, same thing as jealousy Jealous of you That's what they do   They try to get at me, they try to get at me Behind your back, your back, your back, your back They tryna tell me that I'm just like the others But I ain't all bad No, no I ain't all bad, all bad, all bad I ain't that bad, all bad all bad I might make you mad, so mad, my bad No I ain't all bad"
/songs/2342255,Justin Bieber,All In It,https://genius.com/Justin-bieber-all-in-it-lyrics,http://api.genius.com/songs/2342255,Purpose,2015-11-13," Don't do nothin' 'less your heart's in it Heart's in it, heart's in it Don't do nothin' 'less you're all in it All in it, all in it   If you got a twenty for all of your tries Twenty for all of the times The times you got back up, woah Could be a billionaire in a year That's how you gotta think 'til you're there On the regular   If you had a diamond for all of your passion Diamond for your dedication You could be icy like caking Icy for every occasion Gotta go hard, yeah That's all I'm condoning Love is a component You’re the only opponent Gotta seize the moment   And don't do nothin' 'less your heart's in it Heart's in it, heart's in it Don't do nothin' 'less you're all in it All in it, all in it Come again each time 'Til the water runs dry Oh don't do nothin' 'less you're all in it All in it, all in it   Oh, oh Oh Oh, oh, oh, oh   If I had a guitar missing 5 strings A guitar with only one string I could only play one song, ooh A simple melody Simple enough to make the world sing Strong enough to make your mood swing You know what I mean   If you had a diamond for all of your passion Diamond for your dedication You could be icy like caking Icy for every occasion Gotta go hard, yeah That's all I'm condoning Love is a component You're the only opponent Gotta seize the moment   And don't do nothin' 'less your heart's in it Heart's in it, heart's in it Don't do nothin' 'less you're all in it All in it, all in it Come again each time 'Til the water runs dry Don't do nothin' 'less you're all in it All in it, all in it   Oh, oh Oh Oh, oh, oh, oh  All in it, all in it   See, growing up, I I always felt like I had to be the best at everything Cause I, I just didn't think I was good enough And, and maybe if I was good at something that I'd get recognition from that but I quickly found out that I wasn't gonna get the recognition that I wanted or that I needed because Because people aren't perfect and by not being perfect you sometimes can disappoint people And with God it's like he's perfect And he never disappoints So I just get my recognition from him And give him recognition"
/songs/184893,Justin Bieber,All I Want for Christmas Is You (SuperFestive!),https://genius.com/Justin-bieber-all-i-want-for-christmas-is-you-superfestive-lyrics,http://api.genius.com/songs/184893,Under the Mistletoe,2011-11-01," I just can't wait, yeah   I don't want a lot for Christmas, there is just one thing I need And I don't care about the presents underneath the Christmas tree I don't need to hang my stocking there upon the fireplace Santa Claus won't make me happy with a toy on Christmas Day   I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, you, baby   Oh, I won't ask for much this Christmas, I won't even wish for snow And I'm just gonna keep on waiting underneath the mistletoe I won't make a list and send it to the North Pole for Saint Nick I won't even stay awake to hear those magic reindeer click   Cause I just want you here tonight Holding on to me so tight What more can I do? Cause baby all I want for Christmas is you, you baby   Oh-ho, all the lights are shining so brightly everywhere And the sound of children laughter fills the air And everyone is singing, I hear those sleigh bells ringing Santa won't you bring me the one I really need? Won't you please bring my baby to me? Yeah   Oh, I don't want a lot for Christmas This is all I'm asking for I just wanna see my baby, yeah Standing right outside my door Oh I just want you for my own, for my own baby More than you could ever know Make my wish come true Baby all I want for Christmas is you baby   It's all I want for Christmas baby It's all I want for Christmas It's all I want baby, yeah yeah Woah, woah woah woah woah, ooh baby"
/songs/100629,Justin Bieber,All I Want Is You,https://genius.com/Justin-bieber-all-i-want-is-you-lyrics,http://api.genius.com/songs/100629,Under the Mistletoe,2011-11-01," Sitting here, all alone watching the snow fall Looking back at the days when we threw them snow balls I can't believe I'm putting the tree up by myself I need you and nobody else   And I'm sorry if I pushed you away Cause I need you here and I want for you to know   And I don't care, if I don't get anything All I need is you here right now And I'm sorry if I hurt you But I know that all I want is you This Christmas, this Christmas, this Christmas All I want is you this Christmas I'm sorry if I hurt you but I know that All I want is you this Christmas   And I never wanna do this alone Baby I just need you to be here, here through the holidays, yeah I just wanna know if you feel same way Because I'm lonely baby, want you to hold me baby   And I'm sorry if I pushed you away I just want you to know I miss you and I want you to stay   And I don't care, if I don't get anything Al I need is you here right now And I'm sorry if I hurt you But I know that all I want is you This Christmas, this Christmas, this Christmas All I want is you this Christmas I'm sorry if I hurt you but I know that All I want is you this Christmas   Wrapping gifts without you babe's like mid-December And there's no cold, I can't do this on my own I've changed my ways Keep running back and forth again, I'm here to stay, yeah   And I don't care, if I don't get anything All I need is you here right now And I'm sorry if I hurt you But I know that all I want is you This Christmas, this Christmas, this Christmas All I want is you this Christmas I'm sorry if I hurt you but I know that All I want is you this Christmas   All I want is you this Christmas All I want is you this Christmas"
/songs/416100,Justin Bieber,All Yours,https://genius.com/Justin-bieber-all-yours-lyrics,http://api.genius.com/songs/416100,None,2014-04-29," Uh, uh, you know it, babe Uh, uh, you know it, babe   Open up the door like a gentleman Could you open up your heart and just let me in? Tell me what you need and girl I'll never ever disappoint you And if you rock with me I could show you, babe Ain't nobody gonna know you like I know you, babe We could fly away, fly away I adore ya   Walking around with a little attitude Short black skirt, the leather jacket too How could I ever be mad at you? I don't know, yeah But I know all about your secrets Cause you know that I can keep it Baby why can't you see that I'm yours   I'm all yours, babe I'm all yours, baby I'm only yours, baby yeah  "
/songs/274045,Justin Bieber,Alone,https://genius.com/Justin-bieber-alone-lyrics,http://api.genius.com/songs/274045,Journals,2013-11-22," We were inseparable Everything I had to do, I did it next to you And the memories we made were so incredible Then our love was interrupted by my schedule   There was nothing that I could do Cause you fell into the deepest depression baby And I hate to know I'm responsible And your heart filled up with so much aggression baby, you got used to   Being alone, alone You adapted, now you're used to Being alone, all alone Ooh you got used to being on your own   I saw it happening But I didn't accept the truth, I couldn't fathom it There was so much going on you couldn't handle it Could have divided my time, I should have rationed it   There was nothing that I could do Cause you fell into the deepest depression baby And I hate to know I'm responsible And your heart filled up with so much aggression baby, you got used to   Being alone, alone You adapted, now you're used to Being alone, all alone Ooh you got used to being on your own"
/songs/4368481,Justin Bieber,Antidepressant,https://genius.com/Justin-bieber-antidepressant-lyrics,http://api.genius.com/songs/4368481,None,2018-11-21," Talk about an, talk about an, talk about an, talk about an Yeah, yeah, yeah   You're more than inspiration (that's right), for every situation (uh-huh) You make me lose my patience (yeah) No I can't stand the wait, I need you asap (asap) When you come around I ain't never going 'bout my way (my way) I hope you understand that (yeah) You bring out the best and leave the negative After I've just had the worst day Who you love is actually irrelevant And you should be prescribed for every case   My antidepressant baby (oh woah, hey hey) My antidepressant baby Oh, you make me smile when I wanna frown, oh yeah (oh yeah, oh yeah)   I'm so blessed to be in your presence (I'm so blessed) So modest you ain't worried about fame (about fame) Reminded that you’re needed, of essence So effortlessly, you're amazing Conversations so engaging (go on) Talented, so entertaining You win me over and over again, yeah   My antidepressant baby, (too slow?, oh woah, hey hey) My antidepressant baby Oh, you make me smile when I wanna frown, oh yeah (that's right)   I'm so blessed to be in your presence (yeah) So modest you ain't worried about fame (about fame) You're more than inspiration (let's go), for every situation (for every situation) You make me lose my patience (you make me lose my patience) No I can't stand the wait, I need you asap (asap) When you come around I ain’t never going 'bout my way (way, yeah) I hope you understand that   You bring out the best and leave the negative (negative) After I've just had the worst day (day) Who you love is actually irrelevant (ah) And you should be prescribed for every case My antidepressant baby (oh woah, hey hey) My antidepressant baby Oh, you make me smile when I wanna frown, oh yeah (wooh, wooh)"
/songs/77547,Justin Bieber,As Long As You Love Me,https://genius.com/Justin-bieber-as-long-as-you-love-me-lyrics,http://api.genius.com/songs/77547,Believe,2012-06-11," As long as you love me As long as you love me As long as you love me   We're under pressure Seven billion people in the world tryna fit in Keep it together Smile on your face, even though your heart is frowning But hey now, you know girl We both know it's a cruel world But I will take my chances   As long as you love me We could be starving, we could be homeless, we could be broke As long as you love me I'll be your platinum, I'll be your silver, I'll be your gold As long as you love me As long as you love me, love me   I'll be your soldier Fighting every second of the day for your dreams, girl I'll be your Hova You could be my Destiny's Child on the scene, girl So don't stress and don't cry Oh we don't need no wings to fly Just take, my hand   As long as you love me We could be starving, we could be homeless, we could be broke As long as you love me I'll be your platinum, I'll be your silver, and  I'll be your gold As long as you love me As long as you love me, love me   I don't know if this makes sense, but you're my hallelujah Give me a time and place, I'll rendezvous it I'll fly you to it, I'll beat you there Girl, you know I got you Us, trust, a couple things I can't spell without 'U' Now we on top of the world cause that's just how we do Used to tell me sky's the limit, now the sky's our point of view Man, we stepping out, like woah, oh God Cameras point and shoot Ask me ""What's my best side?"" I stand back and point at you, you, you The one that I argue with, feel like I need a new girl to be bothered with But the grass ain't always greener on the other side, it's green where you water it So I know, we got issues baby, true, true, true But I'd rather work on this with you Than to go ahead and start with someone new As long as you love me   As long as you love me We could be starving, we could be homeless, we could be broke As long as you love me I'll be your platinum, I'll be your silver, I'll be your gold   As long as you love me, it's all I mean, it's all I want baby As long as you love me, your everyday I need As long as you love me, you love me, you love me, yeah As long as you love me yeah, you love me As long as you love me"
