api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/949938,Keith Urban,A Girl Like That,https://genius.com/Keith-urban-a-girl-like-that-lyrics,http://api.genius.com/songs/949938,None,2019-05-14,"I don't know what it was about her 'cause she's still all my mind So why wouldn't I could keep her but waiting here is just fine 'Cause I know someday, she'll come my way And soon the sun will shine And if I ever lose my heart, I'd lose it to a girl like that And if I'm going to save all my love I'd save it for the day she comes back And if I ever lose my heart, I'd lose it to a girl like that And she can wrap the world in a river's mate The stars are string of pearls With the colors of the sunset, she takes me round the world Now every night, inside of  I am sending her my love out there And if I ever lose my heart, I'd lose it to a girl like that And if I'm going to save all my love I'd save it for the day she comes back And if I ever lose my heart, I'd lose it to a girl like that Though I know she's gone Maybe dreams just can't be wrong 'Cause no one else on Earth That makes me feel, the way I feel with her And if I ever lose my heart (Lose my heart) I'd lose it to a girl like that (Girl like that) And if I'm going to save all my love I'd save it for the day she comes back And if I ever lose my heart, I'd lose it to a girl like that Yeah, if I ever lose me heart I would lose it to a girl like, a girl like that"
/songs/195775,Keith Urban,A Little Luck of Our Own,https://genius.com/Keith-urban-a-little-luck-of-our-own-lyrics,http://api.genius.com/songs/195775,Keith Urban (1999),1999-10-19," The cards are stacking up against us These days our luck is running low It's hard to explain but a little bit of rain Seems to follow us wherever we go   Black cat sitting' on a ladder Broken mirror on the wall We're not a bit superstitious No need to worry at all   'Cause when we can't roll a seven And our last lucky penny is gone This world can be tough But I know when our love is this strong We can make a little luck of our own, luck of our own   The storm is only temporary But you and I are here to stay Baby can't you see true love is all we need So just throw that rabbit's foot away   'Cause when we can't roll a seven And our last lucky penny is gone This world can be tough But I know when our love is this strong We can make a little luck of our own Oh we can make it baby 'Cause when we can't roll a seven And our last lucky penny is gone This world can be tough But I know when our love is this strong We can make a little luck of our own Oh we can make it baby   We can make a little luck of our own Yeah, yeah Oh we can make it baby Make a little luck of our own"
/songs/195856,Keith Urban,All for You,https://genius.com/Keith-urban-all-for-you-lyrics,http://api.genius.com/songs/195856,Get Closer,2011-06-27," Last night I fell asleep, and I saw you dancing in my dreams Just like the way the Autumn leaves fall for you All for you You changed my life, you changed my ways I don't even recognize myself these days It must be a reflection of you Only you   I can't remember feeling love like this in so long I can't imagine living life without you by my side Day after day you find a way to make this grown man cry It's so true, I'm all for you   My arms could hold you tight, keep you warm in the coldest night My hand would pull your hair right back away from your eyes For you. Only you If I knew how to do it I'd paint the moon, the stars around you Paint the perfect sunset But I couldn't make it more beautiful than you Oh, nothing compares to you You know it's true   I can't remember feeling love like this in so long I can't imagine living life without you by my side Day after day you find a way to make this grown man cry It's so true, I'm all for you I can't remember feeling love like this in so long I can't imagine living life without you by my side Day after day you find a way to make this grown man cry It's so true, I'm all for you   Some might call it insanity Without a doubt for the rest of my life I'm going to be crazy Baby, crazy for you All for you I'm all for you"
/songs/1040572,Keith Urban,Apples and Bananas,https://genius.com/Keith-urban-apples-and-bananas-lyrics,http://api.genius.com/songs/1040572,None,2019-05-14,"Oh, I love to eat, eat, eat apples and bananas I love to eat, eat, eat apples and bananas And I love to ate, ate, ate epples and banenes I like to ate, ate, ate epples and banenes  And I like to eat, eat, eat eepples and baneenees I like to eat, eat, eat eepples and baneenees Well, I like to ite, ite, ite ipples and baninis I like to ite, ite, ite ipples and baninis  Well, I like to ote, ote, ote, opples and banonos I like to ote, ote, ote, opples and banonos And I like to ute, ute, ute upples and banunus I like to ute, ute, ute upples and banunus  Well, as you've guessed, these are all the vowels There's A, E, I, O and U And now I need you to help me out I need you to make a sound like a tuba You can do it with your mouth A tuba sounds like this, okay?  Then maybe we can add some percussion noises like this Now we're gonna add some finger snaps and a hand clap like this Excellent, now you're gotta repeat after me A, E, I, c'mon I, O and U All together  Well, I like to eat, eat, eat apples and bananas I like to eat, eat, eat apples and bananas, everybody! I like to eat, eat, eat apples and bananas Well, I like to eat, eat, eat apples and bananas"
/songs/1535252,Keith Urban,Arms of Mary,https://genius.com/Keith-urban-arms-of-mary-lyrics,http://api.genius.com/songs/1535252,Keith Urban (1991),1991-10-01, The light shines down the valley The wind blows up the alley Oh how I wish I was lyin' in the arms of Mary   She took the pains of boyhood And turned them into feel good Oh how I wish I was lyin' in the arms of Mary   Mary was the girl who taught me all I had to know She put me right on my first mistake   Summer wasn't gone When I learned all she had to show (there was written give) She really gave all a boy could take   So now when I get lonely Still lookin for my one and only That's when I wish was lyin' in The Arms of Mary   Mary was the girl who taught me all I had to know She put me right on my first mistake
/songs/195730,Keith Urban,Better Life,https://genius.com/Keith-urban-better-life-lyrics,http://api.genius.com/songs/195730,Be Here,2005-07-25," Friday night and the moon is high I'm wide-awake just watching you sleep And I promise you you're going to have More than just the things that you need We have not got much now, we’re just starting out But I know somehow paradise is coming   Someday baby, you and I are gonna be the ones Good luck's going to shine Someday baby you and I are gonna be the ones So hold on We're headed for a better life   Oh now there's a place for you and me Where we can dream as big as the sky I know it's hard to see it now But baby someday we're going to fly This road we're on, you know it might be long But my faith is strong It's all that really matters   Someday baby, you and I are gonna be the ones Good luck's gonna shine Someday baby you and I are gonna be the ones So hold on We're headed for a better life   So hold on, hold on Come on baby, hold on Yeah, we're gonna have it all And ooh   Someday baby, you and I are gonna be the ones Good luck's gonna shine Someday baby you and I are gonna be the ones So hold on We're headed for a better life Someday baby, you and I are gonna be the ones Good luck's gonna shine Someday baby you and I are gonna be the ones So hold on We're headed for a better life   Oh, a better life Hey we're going to leave this all behind us baby, wait and see We're headed for a better life, you and me We're going to break the chains that bind and, finally we'll be free We're going to be the ones that have it all, you and me Just hold on tight now baby"
/songs/195903,Keith Urban,Big Promises,https://genius.com/Keith-urban-big-promises-lyrics,http://api.genius.com/songs/195903,Get Closer,2011-06-27," Oh oh oh Uh uh uh Yeah Well I don't know why It's taken so long to find That someone who makes me feel like I'm already home There's a feeling inside Since you came into my life And now I just want to give you every little thing you want   I can't help it When I see your Face I just want to make Big promises Yeah I can feel it When I watch you sleep I just want to keep big promises  Big Promises   Now it's a beautiful place I'm finding I'm in these days The dream that I kept to myself I got someone to share (Yes, I do) Yeah you're making it feel so good Like I thought that it never could And the crazy truth is, baby you got me loving like I never dared   I can't help it When I see your Face I just want to make Big promises Yeah I can feel it When I watch you sleep I just want to keep big promises   I want to give you a place where you know you're safe In these arms I'll keep you warm Because you've given me a life So just look in my eyes and you'll know for sure That my heart is yours, evermore (Yes it is) (Check it out now)   Yeah, I can't help it honey When I see your Face (I said) I just want to make Big promises (Big promises) Yeah I can feel it When I watch you sleep I know I am going to keep big promises   Yes I know when I see your pretty little face I'm going to do the best I can To give you every little thing That you'd ever need and I'am always be your man In the middle of the night For the rest of your life I'll be forever true I'll be loving you, loving you Big promises"
/songs/656737,Keith Urban,Black Leather Jacket,https://genius.com/Keith-urban-black-leather-jacket-lyrics,http://api.genius.com/songs/656737,Fuse,2013-09-10," I wore a black leather jacket way back in high school And man, lookin back at these pictures of us, we were so cool You were so hot in your pink lipstick Painted on the end of a lit cigarette And I loved you girl, yeah, I loved you girl   And if I put it back on, I'm sixteen sittin next to you Down by the river you got the shivers, so I put it around you Were countin down the memories in the moonlight and red wine, vinyl static Three polaroids, two young hearts, and one real cool, black, leather jacket   A little tattered and torn, it still keeps me warm on a Friday night Bandana patch from kickin some ass in a frat boy fight You wore it in the stands at the football games Some ink beneath the sleeve, I still wear your name And I loved you girl, yeah, I still love you girl   And if I put it back on, I'm sixteen sittin next to you Down by the river you got the shivers, so I put it around you Were countin down the memories in the moonlight and red wine, vinyl static Three polaroids, two young hearts, and one real cool, black, leather jacket   I know you grew up, I grew up, too You got two kids, hell, I got two kids, too Thank God they look like you   And every night I put it back it on and I'm sixteen sittin next to you Down by the river if you get the shivers, I'll put it around you Were makin them memories in the moonlight and red wine, vinyl static Three words, two rings, and one real cool, black, leather jacket   Well, there's nothing in the world makes me feel more alive When its just you and me and the moon is high I slip into the sleeves and with your hand in mine I go back to the night when I fell into your eyes Two kids just fallin in love And here we are right now, good heavens above Its only gettin better, baby Its only getting better, baby I just love that black, leather jacket"
/songs/2469694,Keith Urban,Blue Ain't Your Color,https://genius.com/Keith-urban-blue-aint-your-color-lyrics,http://api.genius.com/songs/2469694,Ripcord,2016-05-06," I can... See you over there starin' at your drink Watchin' that ice sink, all alone tonight And... Chances are you're sittin' here in this bar 'Cause he ain't gonna treat you right Well, it's... Probably not my place but I'm gonna say it anyway ‘Cause you look like You... Haven’t felt the fire, had a little fun Hadn’t had a smile in a little while, baby   Blue... Looks good on the sky Looks good on that neon buzzin’ on the wall But darlin', it don’t match your eyes I’m tellin’ you... You don’t need that guy It’s so black and white, he’s stealin’ your thunder Baby, blue ain’t your color   I'm not tryna... Be another just pick you up kinda guy Tryna drink you up, tryna take you home But I just... I don't understand how another man Can take your sun and turn it ice cold Well, I've... Had enough to drink and it's makin' me think That I just might Tell you... If I were a painter I wouldn’t change ya I’d just paint you bright, baby   'Cause blue... Looks good on the sky Looks good on that neon buzzin’ on the wall But darlin', it don’t match your eyes I’m tellin’ you... You don’t need that guy It’s so black and white, he’s stealin’ your thunder Baby, blue ain’t your color   No, no, no Mmmm It ain't your color baby Mmm, baby   Blue... Looks good on the sky Looks good on that neon buzzin’ on the wall But darlin', it don’t match your eyes I’m tellin’ you... You don’t need that guy It’s so black and white, he’s stealin’ your thunder Baby, blue ain’t your color Blue ain’t your color   Mmm, no, no, no baby Come here, baby Let me light up your world"
/songs/1145555,Keith Urban,Blue Stranger,https://genius.com/Keith-urban-blue-stranger-lyrics,http://api.genius.com/songs/1145555,Keith Urban (1991),1991-10-01,"Hello blue stranger, sittin' there all alone With your glass of sorrow, you seem so far from home Maybe you will let me, buy a round or two I'm a blue stranger too  Well, hello blue stranger, I haven't seen your around But I know every reason, for leavin' town We might know each other, before the night is through I'm a blue stranger too  And strangers fall in love, all the time All lovers were strangers once Just like us, a little unsure, chattin' out hi's  Well, hello blue stranger, will you take a chance Well I might be mistaken, but I see meaning in your glance Maybe this could be the start of something new I'm a blue stranger too    And strangers fall in love, everyday All lovers were strangers once Just like us, a little unsure of our little ways  Well, hello blue stranger, sittin' there all alone With your glass of sorrow, you seem so far from home Maybe you will let me, buy you a round or two I'm a blue stranger too  Hello blue stranger, Hello blue stranger Hello blue stranger"
