api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3734622,Kelly Clarkson,2018 Billboard Music Award Medley,https://genius.com/Kelly-clarkson-2018-billboard-music-award-medley-lyrics,http://api.genius.com/songs/3734622,None,2018-05-20," Can I get a hallelujah? Can I get an amen? Feels like the Holy Ghost running through ya When I play the highway FM I find my soul revival Singing every single verse Yeah I guess that’s my church Aye, I love Maren   I'm way too good at goodbyes (I'm way too good at goodbyes) I'm way too good at goodbyes (I'm way too good at goodbyes) No way that you'll see me cry (No way that you'll see me cry) I'm way too good at goodbyes (I'm way too good at goodbyes)   Nobody pray for me It's been that day for me Waaaaay (yeah, yeah!) Be humble, sit down Be humble, sit down Be humble, sit down I said be humble, sit down Be humble, sit down Be humble, sit down   Thunder, feel the thunder Lightning then the thunder, oh yes baby Thunder, feel the thunder Lightning then the thunder, c'mon now   Young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb broke high school kids   Drop top Porsche, Rollie on my wrist Diamonds up and down my chain Can't you see, straight stuntin', can't tell me nothin' Bossed up and I changed the game It's like ayy Flexin' on the 'Gram like ayy Hit the Lil' Jon, okay (okay), okay (okay) Got me drippin' in finesse and getting paid, ow   I'm in love with the shape of you Push and pull like a magnet do Although my heart is falling too I'm in love with your body Hey, I'm in love with your body I'm in love with the shape of you   Oh, I've been shaking I love it when you go crazy You take all my inhibitions Baby, there's nothing holding me back You take me places that tear up my reputation Manipulate my decisions Baby, there's nothing holding me...   Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me— Ooh, look what you made me do Look what you made me do Look what you just made me do Look what you just made me do   Lightning, lightning, thunder then the lightning Oh, I'm in love, I'm in love I'm way too good at goodbyes I'm way too good at goodbyes Can I get an amen? Can I get an amen? Hallelujah Be humble Yeah, yeah, yeah, yeah Yeah, I guess that's my church"
/songs/355773,Kelly Clarkson,4 Carats,https://genius.com/Kelly-clarkson-4-carats-lyrics,http://api.genius.com/songs/355773,Wrapped in Red,2013-10-25," The door's unlocked And you don't even have to knock Or you can use the fireplace I'll be waiting either way You come and go And no one is supposed to know But ever since you caught my stare You know I know that you are real Well, Santa, I've been thinking And I just need one thing You to bring me Something shiny   Like I diamond ring Just a little something from Tiffany's Or a big ruby You know red has always looked good on me I won't tell anyone I've been good all year long Oh, Santa, make my Christmas Eve 4 carats please   It's getting late I know you have your rounds to make But I've been waiting up for you And now the clock has just struck 2 I'm looking out my windows Looking for a red nose My heart's sinking Don't forget me   Like I diamond ring Just a little something from Tiffany's Or a big ruby You know red has always looked good on me I won't tell anyone I've been good all year long Oh, Santa, make my Christmas Eve 4 carats please   Something sparkly Yellow canaries Oh yeah yeah I'm waiting patiently Santa don't forget me Don't forget me   Like I diamond ring Just a little something from Tiffany's Or a big ruby You know red has always looked good on me I won't tell anyone I've been good all year long Oh, Santa, make my Christmas Eve 4 carats please"
/songs/198453,Kelly Clarkson,Addicted,https://genius.com/Kelly-clarkson-addicted-lyrics,http://api.genius.com/songs/198453,Breakaway,2004-11-30," It's like you're a drug It's like you're a demon I can't face down It's like I'm stuck It's like I'm running from you all the time And I know I let you have all the power It's like the only company I seek is misery all around It's like you're a leech Sucking the life from me It's like I can't breathe Without you inside of me And I know I let you have all the power And I realize I'm never gonna quit you over time   It's like I can't breathe It's like I can't see anything Nothing but you I'm addicted to you It's like I can't think Without you interrupting me In my thoughts, in my dreams You've taken over me It's like I'm not me It's like I'm not me   It's like I'm lost It's like I'm giving up slowly It's like you're a ghost that's haunting me Leave me alone And I know these voices in my head Are mine alone And I know I'll never change my ways If I don't give you up now   It's like I can't breathe It's like I can't see anything Nothing but you I'm addicted to you It's like I can't think Without you interrupting me In my thoughts, in my dreams You've taken over me It's like I'm not me It's like I'm not me   I'm hooked on you, I need a fix, I can't take it Just one more hit, I promise I can deal with it I'll handle it, quit it, just one more time, then that's it Just a little bit more to get me through this I'm hooked on you, I need a fix, I can't take it Just one more hit, I promise I can deal with it I'll handle it, quit it, just one more time, then that's it Just a little bit more to get me through this   It's like I can't breathe It's like I can't see anything Nothing but you I'm addicted to you It's like I can't think Without you interrupting me In my thoughts, in my dreams You've taken over me It's like I'm not me It's like I'm not me"
/songs/198814,Kelly Clarkson,After the Love,https://genius.com/Kelly-clarkson-after-the-love-lyrics,http://api.genius.com/songs/198814,A Collection of Rare and Unreleased Recordings,2018-02-06," My tired eyes are begging for release For sleep I always seem to want the one who's just a little Out of reach Maybe I just can't love What I can keep My love, you are The best friend that I'll ever have   The sun will come up Cover my eyes Over my head afraid of the light What can you say to not hurt someone After the love is gone   His lips try not to tremble When he speaks My tired breath falls so heavy On his cheek But I'll never know just what I have Unless I leave Here in the end I hope that I'm not just running again   The sun will come up Cover my eyes Over my head afraid of the light What can you say to not hurt someone After the love is gone   Here in the end I hope that I'm not just running again Here in the end I hope that I'm not just running again   The sun will come up Cover my eyes Over my head afraid of the light What can you say to not hurt someone After the love is gone   The sun will come up Cover my eyes Over my head afraid of the light What can you say to not hurt someone After the love is gone What can you say to not hurt someone After the love"
/songs/198572,Kelly Clarkson,All I Ever Wanted,https://genius.com/Kelly-clarkson-all-i-ever-wanted-lyrics,http://api.genius.com/songs/198572,All I Ever Wanted,2009-03-09," Tear up the photographs But yesterday won't let go Every day, every day, every minute Here comes the emptiness Just can't leave lonely alone Every day, every day, hey hey This second chancin's really gettin' me down You've give and taken everything I dreamed about It's time you let me know, let me know, just let go   All I ever wanted All I ever wanted Was a simple way to get over you All I ever wanted All I ever wanted Was an in between to escape this desperate scene Where every lie reveals the truth Baby, 'cause all I ever wanted All I ever wanted was you   I'd rather walk alone Don't wanna chase you around Every day, every day, every minute I'd fall a thousand times Before I let you drag me down Every day, every day, hey, hey Your new beginning was a perfect ending But I keep feeling we've already been here before It's time you let me know, let me know, just let go   All I ever wanted All I ever wanted Was a simple way to get over you All I ever wanted All I ever wanted Was an in between to escape this desperate scene Where every lie reveals the truth Baby, 'cause all I ever wanted All I ever wanted was you   Tell me, with so many out there, why I always turn to you Your goodbyes tear me down every time And it's so easy to see That the blame is on me   All I ever wanted All I ever wanted Was a simple way to get over you All I ever wanted All I ever wanted Was an in between to escape this desperate scene All I ever wanted All I ever wanted Was a simple way to get over you All I ever wanted (All I ever wanted) All I ever wanted Was an in between to escape this desperate scene Where every lie reveals the truth Baby, 'cause all I ever wanted All I ever wanted was you"
/songs/198815,Kelly Clarkson,All I Know,https://genius.com/Kelly-clarkson-all-i-know-lyrics,http://api.genius.com/songs/198815,A Collection of Rare and Unreleased Recordings,2018-02-06," For all I know, you could be near And every breath I take, you could feel For all I know, you're just a thought that crossed my mind What I wouldn't give to live that thought of mine  For all I know is nothing's changed Nothing ever will if I don't leave this place For all I know, you're waiting for me to whisper your name What I wouldn't give to kiss your sweet face   'Cause all I know is I need you here And all I have, I would give away so I could say this dear All I feel, oh I tried so hard to not feel It's killing me   For all I know, you forgot me For all I know, you're different, completely And everything we had was never what I thought it was But for all I know, oh it was love   Now everyone has a name And every face always somehow looks the same I always feel so alone, especially when it rains For all I know, boy, you do the same, yeah   Yeah I didn't know that I need you here All I had, I gave away cause I was still afraid to feel All I feel, oh I tried so hard to not feel It's killing me, it's killing me   All I know All I know For all I know"
/songs/198597,Kelly Clarkson,Alone,https://genius.com/Kelly-clarkson-alone-lyrics,http://api.genius.com/songs/198597,Stronger,2011-10-21," When we're drivin' in your car It's like I'm on my own, yeah I can't ask you how you are You're always on the phone, yeah And when we kiss, I feel so empty I really wish you knew what's been on my mind You're gonna miss me, so get ready I'm about to tell you why   'Cause when I'm with you, I'm alone No matter what you say I hope you know, whoa That I'm alone You say you're gonna change But I know you won't, whoa, oh   When you look me in the eye It's like you're far away, yeah Some pretty legs go walking by Your gaze is wandering, yeah It's such a shame that you don't notice The way that everybody's looking at me Get off the train This love is hopeless Feelin' like I'm gonna sink   'Cause when I'm with you, I'm alone No matter what you say I hope you know, whoa That I'm alone You say you're gonna change But I know you won't, whoa, oh   Well, here's something you don't know about me When you pushed me out I found something better, you'll see While you weren't paying no attention to me I found somebody who could treat me right   When I'm with him, I'm not alone It gets better every day I hope you know, oh   I'm not alone And it's never gonna change I hope you know When I'm with you, I'm alone No matter what you say I hope you know, whoa That I'm alone You say you're gonna change But I know you won't, whoa, oh   I'm not alone (I'm not alone, I'm not alone, I'm not alone, I'm not alone, I'm not alone, I'm not alone) I'm not alone (I'm not alone, I'm not alone, I'm not alone, I'm not alone, I'm not alone, I'm not alone)"
/songs/63434,Kelly Clarkson,Already Gone,https://genius.com/Kelly-clarkson-already-gone-lyrics,http://api.genius.com/songs/63434,All I Ever Wanted,2009-08-11," Remember all the things we wanted Now all our memories, they're haunted We were always meant to say goodbye Even with our fists held high It never would've worked out right, yeah We were never meant for do or die   I didn't want us to burn out I didn't come here to hurt you, now I can't stop   I want you to know that it doesn't matter Where we take this road Someone's gotta go And I want you to know you couldn't have loved me better But I want you to move on, so I'm already gone   Looking at you makes it harder But I know that you'll find another That doesn't always make you wanna cry It started with a perfect kiss then We could feel the poison set in ""Perfect"" couldn't keep this love alive You know that I love you so, I love you enough to let you go   I want you to know that it doesn't matter Where we take this road Someone's gotta go And I want you to know you couldn't have loved me better But I want you to move on, so I'm already gone I'm already gone, already gone You can't make it feel right when you know that it's wrong I'm already gone, already gone There's no moving on, so I'm already gone   Ahh, already gone, already gone, already gone (Ooh, oh) Ahh, already gone, already gone, already gone, yeah   Remember all the things we wanted Now all our memories, they're haunted We were always meant to say goodbye   I want you to know that it doesn't matter Where we take this road Someone's gotta go And I want you to know you couldn't have loved me better But I want you to move on, so I'm already gone   I'm already gone, already gone You can't make it feel right when you know that it's wrong I'm already gone, already gone There's no moving on, so I'm already gone"
/songs/3634990,Kelly Clarkson,American Woman,https://genius.com/Kelly-clarkson-american-woman-lyrics,http://api.genius.com/songs/3634990,None,2019-01-01," American woman, stay away from me American woman, mama, let me be   Don't come hangin' around my door I don't wanna see your face no more I got more important things to do Than spend my time growin' old with you Now, woman, stay away American woman, listen what I say   American woman, get away from me American woman, mama, let me be Don't come knockin' 'round my door Ion't wanna see your shadow no more Colored lights can hypnotize Sparkle someone else's eyes American woman, get away American woman, listen what I say, hey   American woman, said get away American woman, listen what I say Don't come hangin 'round my door Don't wanna see your face no more I don't need your war machines I don't need your ghetto scenes Colored lights can hypnotize Sparkle someone else's eyes Now, woman, get away American woman, listen what I say American woman, stay away from me American woman, mama, let me be   I gotta go, I gotta get away I gotta go, I wanna fly away You're no good for me, and I'm no good for you I'll look you right straight in the eye And I'll tell you what I'm gonna do, yeah I'm gonna leave you, woman You know I'm gonna go I'm gonna leave you, woman I gotta go American Woman"
/songs/3255128,Kelly Clarkson,A Minute (Intro),https://genius.com/Kelly-clarkson-a-minute-intro-lyrics,http://api.genius.com/songs/3255128,Meaning of Life,2017-10-27," Sometimes I need to unwind Sometimes I need some down time, hey Sometimes I need a minute just for me I need a minute just to be I need a minute just to breathe Sometimes I need a minute that's my own I need a minute in my zone Where I can say just what I want Mhm, yeah I need a minute"
