api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/195495,Kenny Chesney,A Chance,https://genius.com/Kenny-chesney-a-chance-lyrics,http://api.genius.com/songs/195495,I Will Stand,1997-07-15," Girl, don't you know it's all I can do To keep my hands off of you Anytime you're around And when the stars come out at night I dream of holding' you tight Everytime I lay down It feels so good to me to have you this bad The only other thing I wish I had was   A chance A chance To tell you how I feel about you How it feels to live without a chance A chance To tell you I'll love you forever Knowing that I'll never have a chance   Sometimes reality hurts And you wonder if life's worth living at all Knowing no matter how much you care You'll never have a prayer Of having what you want At least I've been close enough I could taste Beauty at it's best but never a trace of   A chance A chance To tell you how I feel about you How it feels to live without a chance A chance To tell you I'll love you forever Knowing that I'll never have a chance   A chance A chance To tell you I'll love you forever Knowing that I'll never have The chance"
/songs/195682,Kenny Chesney,Ain't Back Yet,https://genius.com/Kenny-chesney-aint-back-yet-lyrics,http://api.genius.com/songs/195682,Greatest Hits II,2010-02-09," I heard a song about a rambling man Bought a guitar and I started a band I got a gig at the local Am Vet I was gone and I am not back yet  69 bored, out and jacked up A quarter mile that was all it was I burned the cool off of that Corvette And I was gone and I am not back yet   Looking back at the moments, black and white I wouldn't change a thing that changed my life For the worse, for the better Man, I was gone, gone forever   She was a cut offs pepper sauce queen Man, we were matches and gasoline First taste of love never will forget I was gone and I am not back yet I was gone, gone and I am not back yet   Looking back at the moments, black white I wouldn't change a thing that changed my life For the worse, for the better Man, I was gone, gone forever The laughs, the smiles, the trials, the tears It's hard to hate what got me here What got me here   She was a straight out of Hollywood smile We missed it all by a country mile Went out one night for some cigarettes And I was gone and I am not back yet   I was gone, gone and I am not back yet I was gone and I am not back I am not back, am not back yet"
/songs/1068260,Kenny Chesney,Ain't Ever Going Back Again,https://genius.com/Kenny-chesney-aint-ever-going-back-again-lyrics,http://api.genius.com/songs/1068260,Hemingway's Whiskey,2010-09-28," I ain't ever going back again I'm happy in the place I'm in Surrounded by my best friends That I just met today   A toast to Sara and a toast to Sam Here's to jamming to this three quarter jam Let the world go on, I don't give a damn I ain't ever going back again   I'm gonna stay down here for the whole season And when the season's done, I still ain't leaving 'Cause lately I've given up on making sense Out of life and love so I'm gonna stay And like the band I'm gonna drift away   I ain't ever going back again I'm feeling comfortable in my skin A little numb but I'm on the mend Yeah, I think I'm gonna be okay   A toast to Sheila and a toast to Jane I may never know their last names But it don't matter in the shape we're in I ain't ever going back again   I'm gonna stay down here for the whole season And when the season's done, I still ain't leaving Lately I've given up on making sense Out of life and love so I'm gonna stay And like the band I'm gonna drift away"
/songs/195468,Kenny Chesney,Ain't That Love,https://genius.com/Kenny-chesney-aint-that-love-lyrics,http://api.genius.com/songs/195468,Me And You,1996-06-04, I will always remember The first time that we met And the first time that I kissed your lips Is a thing I won't forget The special way you held me Is the way you hold me still And I knew right then that you loved me And I know you always will   Ain't that love Ain't that how it's supposed to be When two hearts come together as one Just like you and me Ain't that love Shining in your eyes Heaven sent from up above Ain't that love   My grandma and grandpa My momma and my dad Didn't have a lot of things But love is what they had Their love kept them together Through the many years Though life was hard They shared it all Through the laughter and the tears   Ain't that love Ain't that how it's supposed to be When two hearts come together as one Just like you and me Ain't that love Shining in your eyes Heaven sent from up above Ain't that love   Baby you're the sunshine That brightens up my day And I will always stand by you Darling' come what may And I will always love you To have and to hold And I'll keep my every promise to you With this band of gold   Ain't that love Ain't that how it's supposed to be When two hearts come together as one Just like you and me Ain't that love Shining in your eyes Heaven sent from up above Ain't that love   Heaven sent from up above Ain't that love
/songs/195454,Kenny Chesney,All I Need To Know,https://genius.com/Kenny-chesney-all-i-need-to-know-lyrics,http://api.genius.com/songs/195454,All I Need To Know,1995-06-13," With a little luck this ol' truck will get me home today With a little more I'll still have this job tomorrow Weather man says a wet weekend he just might be right But rain or shine you'll be mine tonight   That's all I need to know In a world where most things come and go I'll always have you to hold And that's all I need to know   Heaven knows I ain't even close to being' God's gift to women But in your arms I feel like I am I don't know it all, I sure can't solve The problems of the human race But I know how to bring a smile to your face   That's all I need to know In a world where most things come and go I'll always have you to hold And that's all I need to know   Darling', say it one more time You will forever be mine   That's all I need to know In a world where most things come and go I'll always have you to hold And that's all I need to know I'll always have you to hold That's all I need to know"
/songs/1266010,Kenny Chesney,All I Want for Christmas Is a Real Good Tan,https://genius.com/Kenny-chesney-all-i-want-for-christmas-is-a-real-good-tan-lyrics,http://api.genius.com/songs/1266010,All I Want for Christmas Is a Real Good Tan,2003-10-07," Ooooo, don't you think it's a pretty good plan All I want for Christmas is a real good tan   All I want for Christmas is a real good tan Take me to the Islands put my feet in the sand Rockin' to and fro with the rhythm of the ocean Singin Silent Night with the palm trees ablowin'   Ooooo, don't you think it's a pretty good plan All I want for Christmas is a real good tan   Well, if you're thinkin' bout getting me a present this year Let me put a bug in your cute little ear How bout two tickets to a tropical shore Where we don't have to wear these winter clothes anymore Instead of turkey we'll have mahi-mahi grill And Pina Coladas in the blender chillin'   All I want for Christmas is a real good tan Take me to the Islands put my feet in the sand Rockin' to and fro with the rhythm of the ocean Singin' Silent Night with the palm trees ablowin'   Ooooo, don't you think it's a pretty good plan (its a real good plan) All I want for Christmas is a real good tan   Well everybody's praying for a Christmas so white Come to think about it, that'd be alright As long as it's sand and not snow on the ground And everyday our skin gets a little more brown We'll string some lights in a coconut tree I'll rub some oil on you, and you can rub some on me   All I want for Christmas is a real good tan I can see us baby on the beach hand in hand Rockin' to and fro with the rhythm of the ocean.. Baby won't you say you and me we'll be going Ooooo, I can almost feel my toes in the sand (my toes in the sand) All I want for Christmas is a real good tan   Don't worry baby, we'll celebrate plenty I'll buy you some shades and a brand new bikini We won't have to worry about the holiday rush It'll be you and me fallin' deeper in love   Ooooo, don't you think it's a pretty good plan (its a real good plan) All I want for Christmas is a real good tan(a real good tan) All I want for Christmas is a real good tan"
/songs/2899368,Kenny Chesney,All the Pretty Girls,https://genius.com/Kenny-chesney-all-the-pretty-girls-lyrics,http://api.genius.com/songs/2899368,Cosmic Hallelujah,2016-10-28," All the pretty girls said pick me up at eight All the pretty girls said I'm going to L.A All the pretty girls said I hate my hair Talking to the mirror in their underwear  All the lost boys said I just got paid All the lost boys said I wanna get laid When the town goes blue and the lights blink red All the lost boys do what all the pretty girls said   I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said   All of the whiskey went to my head Shut up and kiss me, all the pretty girls said   All the sheriffs said kid, you better slow down All the preachers said it's the devil's playground I wonder if they knew they were wasting their breath All I ever heard was all the pretty girls said   I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said   All of the whiskey went to my head Shut up and kiss me, all the pretty girls said   All the seventeens said I'm getting outta dodge All the big dreams said I'm selling all I got All the high rollers busy placing their bets Me, I'm heading south cause all the pretty girls said   I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said   All of the whiskey went to my head Shut up and kiss me, all the pretty girls said   All the pretty girls said"
/songs/195534,Kenny Chesney,A Lot Of Things Different,https://genius.com/Kenny-chesney-a-lot-of-things-different-lyrics,http://api.genius.com/songs/195534,"No Shoes, No Shirt, No Problems",2002-04-23," I'd spend a lot more time in the pouring rain Without an umbrella Covering my head And I'd stood up to that bully when he pushed And called me names But I was too afraid And I'd a gone on and saw Elvis that night he came to town But mama said I couldn't And I'd a-went skinny dipping with Jenny Carson That time she dared me to But I didn't   Oh I, I'd done a lot of things different   I wished I'd a spent more time with my dad When he was alive Now I don't have the chance I wish I had told my brother how much I loved him Before he went off to war But I just shook his hand And I wish I had gone to church on Sunday morning When my grandma begged me too But I was afraid of God And I wish I would've listened when they said Boy You're going to wish you hadn't But I wouldn't   Oh I, I'd done a lot of things different  People say they wouldn't change a thing Even if they could Oh, but I would   There was this red dress she wanted one time so bad She could taste it And I should have bought it' But I didn't She wanted to paint our bedroom yellow and trim it Blues and greens But I wouldn't let her, wouldn't a-hurt nothing She loved to be held and kissed and touched but I didn't do it Not nearly enough And if I'd a known that dance was going to be our last dance I'd a asked that band to play on and on and on   Oh I, I'd done a lot of things different   People say they wouldn't change a thing, even if they could Oh but I would Oh whoa, Oh I, I'd done a lot of things different Oh I, I'd done a lot of things I think we'd all done a lot of things different"
/songs/195677,Kenny Chesney,Always Gonna Be You,https://genius.com/Kenny-chesney-always-gonna-be-you-lyrics,http://api.genius.com/songs/195677,Welcome to the Fishbowl,2012-06-19," I could jump on some ole highway Run a thousand miles or more Unlock some hidden mystery Behind a distant door I could sail the seven oceans Till I crawl upon some long forgotten shore   But it's always gonna be you Always gonna be you I'm looking' for   I could climb a hundred mountains Leave a hard ole world behind Wander right across some prairie Like a man out of his mind I could walk and stare into the sun Let it all just burn me deaf and blind But it's always gonna be you Always gonna be you I'm trying' to find   Where does a man go for redemption Where does he take a broken heart Shouldn't there be some small exemption If he does all that it takes To admit to his mistakes Till the truth batters and breaks his world apart   I could ask for my forgiveness From the heavens high above Tell myself my prayers are gonna somehow be enough And lay down in some angels bed Convinced I've found the one I'm dreaming' of But it's always gonna be you... Always gonna be you that I love   Where does a man seek his salvation? When does his mind finally go free? Is the pain he feels the only explanation For believing lies are true For the stone inside his shoe The endless ways the years keep haunting me   I could find an empty church Get down on my knees Tell myself the mercy Is a matter of degrees Then lay down in some angel's arms Convinced I've found the one I'm dreaming' of But it's always gonna be you Always gonna be you that I love   Always gonna be you, that I love That I love"
/songs/460244,Kenny Chesney,American Kids,https://genius.com/Kenny-chesney-american-kids-lyrics,http://api.genius.com/songs/460244,The Big Revival,2014-06-20," Doublewide Quick Stop midnight T-top Jack in her Cherry Coke town Momma and Daddy put their roots right here ‘Cause this is where the car broke down Yellow dawn school bus kickin’ up red dust Pickin’ us up by a barbed wire fence MTV on the RCA, no A/C in the vents   We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright   Baptist church parkin’ lot, tryin’ not to get caught Take her home and give her your jacket Makin’ it to second base, but sayin’ you went all the way Monday afternoon at practice Sister's got a boyfriend Daddy doesn’t like Now he’s sittin’ out back, .30-.30 in his lap In the blue bug zapper light   We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright  We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright"
