api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/452997,Kid Ink,///,https://genius.com/Kid-ink--lyrics,http://api.genius.com/songs/452997,None,2018-08-17," You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your lighters at? Let's burn it down Fire back You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your light is at Let's burn it down Fire back   Uh, let's take it to the ground Don't too many make it coming through our town Looking for a detour nowhere to be found When the pressure's on seems nobody's around Uh, but I won't let them see me sweat Ye it took a little time But can't really be upset Long way to the top I can barely see the steps Yeah, they sleeping on me still But I barely need to rest See me standing here head high Face up, I don't need no X-Ray Show you what I'm made of Tell 'em I paid my dues and You can check the pay stubs Never had a chance so I had to go and make one Say some You can tell them that I've been through hell and back But I'm home, can't really complain when It's the life that I chose Sacrificed it all and everything that I owned Say what doesn't kill me can only make me stronger   You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your lighters at? Let's burn it down Fire back You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your light is at Let's burn it down Fire back   Yuh, can you feel the heat The block is hot as ever In these city streets You only get one shot Keep your arm steady They tried to make me wait But I'm more than ready To go and get mine grind like an in-line Skater check your wrist watch you'll see that This time it's my time And I don't need no invite To the party, got roll over minutes and it Feels like my calling, uh I'm just doing what I can With a whole lot of drive Trying to make my own path Take a chance, can't sit and worry about No 5-year plan gotta live for the day 'Cause I could die where I stand Tell 'em You can tell them that I've been through hell and back But I'm home, can't really complain when It's the life that I chose Sacrificed it all and everything that I owned Say ""What doesn't kill me can only make me stronger""   You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your lighters at? Let's burn it down Fire back You can tell them that I've been from hell and back When the heat is on I fire back In this cold world Where your light is at Let's burn it down Fire back"
/songs/2862615,Kid Ink,100 Different Ways,https://genius.com/Kid-ink-100-different-ways-lyrics,http://api.genius.com/songs/2862615,RSS2,2016-09-20," It's 100 different ways get a young nigga high Been doin' all of 'em the same time Seen 'em go broke and I seen some die But it ain't been enough to change my mind I'm gone Lost in the crowd Blunts and bottles keep tossin' around Feel like both feet off of the groud It's 100 different ways we could take your chick How many shots can you take from the fifth It's now or never baby, take your pick Rocketshipshawty, I take off quick like woo Blowin' that smoke in the air We load it, open, we share With me, ain't nobody sober in here It's 100 different ways It's 100 different ways It's 100 different ways   I got my ways I got my ways 365, there's not enough days For me to get paid but nigga, I'm tryin' I can't sit back and recline I can't go back into time No Marty McFly, I can't go back to the slum Village of villains and niggas sellin' them dimes That shit could fuck up your mind Or it could turn men into mice You know the line, money ain't everythin' But it made all my problems disappear like a fuckin' mirage Treatin' champagne by the boat Burnin' and makin' one hell of a toast I got my ways, hop on the wave Teach you to swim baby, show you the stroke Since I lost my virginity, I been like Fuck you, pay me, everyday pay day Bet you the girl that I lost it to Tell bitches she hit it first, just like she Ray J I swear that she work at the club Now I threw her a 100 One hand in the air, not the Nae Nae Not play date if she wanna kick it like Pele   It's 100 different ways It's 100 different ways It's 100 different ways   And I'm on number 9 Prolly' on a few drugs all at the same time Couple hoes walkin' in, pussy poppin' for a nigga Couple niggas poppin' shots, no bottle for the liquor I'm gone, lost in the mansion 4 in the mornin', got some texts, still advancin' Pull up to her spot with a bag, no trash bands Mr I-don't-give-a-fuck, you ain't gotta ask me shit Shit, been with the shit Gettin' all this money, I'mma spend all this shit All these Hollywood hoes, bitch been on my dick Goin' 0-100, hope the car don't flip I'm gone, all around the globe Collectin' passport stamps like Pokemon Go More more broke nights, heating up the house up by the stove Walk in any store now, buy anythin' I want Most of these rappers be lyin' to win While me and my niggas been winnin' Beginnin' to gettin' to actin' to Closin' conditions, it's different You act like you don't but your bitch know the difference No clothes in the gap so allow me to ditch them myself And I help you for instance you bitches Are interest for bein' a hashtag And the Lord is my witness   It's 100 different ways It's 100 different ways It's 100 different ways  [Verse 3: Vee Tha Rula] And I know where to get it I haven't been lost in a minute These ghetto boys never had nothin' So we gon' hotbox in that Benley We used to fly through the houses Run out then hop over the fences That's what you get, you shouldn't had a nice house, nigga Dirty boots like fuck your couch, nigga Pass that, don't call time out At the top tryna help my niggas climb out Baby boy, you with us we at your mom's house Don't lose your mind, hope that you niggas find out Pound for pound, my bars on lock down When I see the weed, get happy, start yellin' like James Brown Drive slow like I'm from H-Town If you wanna get up, then stay down What the fuck's the difference Hustlin', pimpin', murder mittin' Bust the pistols, fuck you, stack my ducks to 100 digits 'Fore I kick the bucket, need a bucket to piss in We ain't had shit but spaghetti Everythin' could go with baby ready She said that I'm a god, Macavelli Got scars on my bars, oh Lord, I'm a legend Buffalo sauce on my lips You prolly' never heard it, just forget it I'm lookin' good on every single edit Kill the pussy, I'm the player and the paramedic Ball hard while I'm gettin' paid Think smart, get your dollar saved And do a lil bit of everythin' Shit   It's 100 different ways"
/songs/2862616,Kid Ink,16' Bonnie & Clyde,https://genius.com/Kid-ink-16-bonnie-and-clyde-lyrics,http://api.genius.com/songs/2862616,RSS2,2016-09-20," It's just me and my girlfriend Hangin' out the window of the ride We the new Bonnie & Clyde She just want the diamonds and the pearls But we could take over the world It's just me and my girlfriend Don't you be surprised She might have that rocket on the side I swear my baby, she so thorough I wouldn't trade her for the world   You could look for me See my baby girl do more than just cook for me If I ever took a hit, she pay them books for me That's why I tell her every mornin' that she look like Bey And we smoke like RiRi, wallpaper the ceilin' Get it poppin' like Remy, don't wanna see her get even It ain't too much we don't agree say I sip champagne and she drink ReeSlim I make sure that she dressed ahead of season Cause the head she give is genius She the sweetest bitch you'll ever meet but Unfriendly with that street shit, it's somewhere in her genes, aw yeah It ain't too much room with that fat ass In them heels, it look hard for you to balance Even when it's all eyes on me All I need in this life of sin, nigga   Is me and my girlfriend Hangin' out the window of the ride We the new Bonnie & Clyde She just want the diamonds and the pearls But we could take over the world It's just me and my girlfriend Don't you be surprised She might have that rocket on the side I swear my baby, she so thorough I wouldn't trade her for the world   I said it's young Ink cruisin' down the westside 2 seater, speedin' on the 45 Highway, ain't no traffic round this time Hit the club just cause we woke up in the middle of the night She love goin' downtown to watch the Clippers with me In Magic City, throw some dollars, just some strippers with me While they poppin' pussy, she be poppin' some prescriptions with me Is we really takin' shots or y'all pistol whippin'? Just let the night begin She been the same since the night we met Swear I like it when she turn freak when the lights is dim All I need in this life of sin, nigga   Is me and my girlfriend Hangin' out the window of the ride We the new Bonnie & Clyde She just want the diamonds and the pearls But we could take over the world It's just me and my girlfriend Don't you be surprised She might have that rocket on the side I swear my baby, she so thorough I wouldn't trade her for the world"
/songs/62941,Kid Ink,360,https://genius.com/Kid-ink-360-lyrics,http://api.genius.com/songs/62941,Crash Landing,2011-03-27," Yeah, I tell 'em money on, huh   I tell 'em 360, 360, 360 See the room spinning around, 360, 360, 360 Watch the money fall down, 360, 360, 360 Baby turn that ass around, 360, 360, 360   I know you see it go around, money full circle Blunt in full circle, smoking on that colour purple On the beat I go silly, real ugly motherfucker Bitches love that I'm a rapper but she know I ain't a sucker 360, look might break your neck Everybody double take now I'm late on set Got a pocket full of green, faces like Gumbee 'Bout to take another round call it 720 Headed to the club going close in an hour One on one on, East bound and down Kenny Powers I just took off face look sour, I can here 'em screaming my name like Alvin I'm just sitting back recline like Calvin High you can see it in my eyes like Simon Going way past 60 Girl I think you just missed me     Yo I say what goes around comes around, 360 When it comes to bad bitches I keep three with me One to fuck me good, one to suck me good One to ride hard, hold the work tuck it good Only thing I wish, I wish a motherfucker would I'm living life and getting money like I fucking should I'm on another level, that make you understood Oh you ain't understanding, nigga I am making good 360, we make 'em 360 Popcorn looking like a box of rice crispy If I don't make the record shit the feds gonna get me Cause I'm gonna keep shining on these haters 'til they hit me 100 thousand dollars cash, $20 bills bitch, I be on that real shit Tryna chase a mill shit Just came back from Hollywood and Ill Will, the Will Smith Right back to the hood with my goons tryna kill shit     I said bitch I'm the bomb, everything hunneds 'Bout to take another round call it 9-hunned Call me when you sitting home alone like Mc Culkin 'Bout to leave the club but I don't know where the fuck the sun is See me speeding through the city like we racing in a summit I ball, might crossover, hop step, dunk it 360, leave the hole open in a fast break Why you think yo girl ain't call since the last date? Huh, I'm gone, backspace I've been rozay red, cafe Bunch of bitches on they tippi toes like ballet Smoking all day, have an eight in the ashtray Get it good, hit it's feeling like a facelift I don't recycle motherfucker I'm wasted I got a head like Gena And my bitch got an ass like Trina  "
/songs/692503,Kid Ink,About Mine,https://genius.com/Kid-ink-about-mine-lyrics,http://api.genius.com/songs/692503,Full Speed,2015-01-30," She ain't doing nothin' wrong Egh, Trigga, Trigga It's Kid Ink (Mustard on the beat ho)   In the club and this nigga looking at me kinda strange I got the woman he love sipping my champagne But she ain't doing nothing wrong, she just fucking with a young, rich nigga Tell that boy stop acting like a bitch nigga, you should get some money, why you bullshitting?   You should get some money, why you bullshitting? My nigga you should get some money, why you bullshitting? I'm about mine, is you 'bout yours? Girl I'm about mine, is you 'bout yours?   You could bet that, check my stats, from way way back nigga we've been doing this Same old clubs and the same bitches you just met, nigga I ain't got time If the bezel ain't diamonds, presi Obama, pool in the Bahamas, black ferragamo Need me some condoms, we fucking up commas, honest Right now this rap shit is cracking for me, if it didn't work out we'd be back to the streets See life is a bitch crazier than Kelis, but I'm picturing money, my nigga say cheese Feel fresh like Axe on me, nah y'ain't gotta put up no act for me Your girlfriend already said you act so cheap, you should get some money, why you bullshitting?   You should get some money, why you bullshitting? My nigga you should get some money, why you bullshitting? I'm about mine, is you 'bout yours? Why you bullshitting Girl I'm about mine, is you 'bout yours? I'm about mine, is you 'bout yours? Why you bullshitting Girl I'm about mine, is you 'bout yours?   I'm about mine, tell me is you 'bout yours? Yeah she say I'm a dog but she down on all fours Yeah she down on the floor cause there's money all over, then back on the pole with it Now I got time, cause now I got change, shit the cup got drank and we 'bout to get high girl What did you think? I say God to your dress but no you ain't no saint, shit   You know you coming to the crib girl ain't cha? You drinking all this liquor girl ain't ch I'm feeling on your booty girl ain't I? Show you how to have a real good time So bust it for me, elbows on your knees We don't care who's looking, Mustard on the beat   Ball hard and yo bitch tryna reach No it ain't my fault that she's running through the streets Dumb blonde, got you looking like a fool nigga Said you should get some money, why you bullshitting?   You should get some money, why you bullshitting? My nigga you should get some money, why you bullshitting? I'm about mine, is you 'bout yours? Why you bullshitting Girl I'm about mine, is you 'bout yours?   I got all bad bitches at my table, what I'm gon' do with 'em, all this money that I can't hold Throw some, taunt it, only bad bitches at my table, that's all I got Which one of y'all I'ma take home, I'm about mine, is you 'bout yours? Girl I'm about mine, is you 'bout yours? You should get some money, why you bullshitting?"
/songs/78698,Kid Ink,Act Like That (3-Some),https://genius.com/Kid-ink-act-like-that-3-some-lyrics,http://api.genius.com/songs/78698,Up & Away,2012-08-12," I said don't you act like that Just let your freak out I think we should leave now Don't you act like that Tried something new The things I'm a do to you You too Things I'm a do to you You too Things I'm a do to you, you Had you running to your friends Like, damn he the man Might just let you get a chance girl   Uh, I see you looking at your girlfriend Yeah, I'm sayin' like she your girlfriend Damn, you probably think I don't know Keep it real, my mind is on the same thang See you ain't gotta change the way you feel Girl you still shine like stainless steel In my eyes but tonight let's make a deal Gon' tell the waiter to get the bill now Some say, 3's a crowd but I say, it's looking like a party now Some say 2 heads are better than one Sounds good to me, would you agree I ain't tryin' to pressure you at all But remember the night When we first had to talk and You said if you was drunk and She was bad as fuck then We could probably try something 'Till you had enough now   I said don't you act like that Just let your freak out I think we should leave now Don't you act like that Tried something new The things I'm a do to you You too Things I'm a do to you You too Things I'm a do to you, you Had you running to your friends Like, damn he the man Might just let you get a chance girl   Some say what they wanna say Just let me know if you want to wait But I can tell, it's written all on your face And it's no better to time or place Than now, tell me how does that sound California king lay you both down Huh, It's getting hot in here Think I might just sit back and watch in here Now don't you act like that You know you the one girl And it's only fun You can't make it a personal vendetta At the end of the day You know you gonna get it better So why sit and worry about tomorrow After tonight steady lookin' at my phone Seein' if she called girl That ain't what I'm on And you should already know   I said don't you act like that Just let your freak out I think we should leave now Don't you act like that Tried something new The things I'm a do to you You too Things I'm a do to you You too Things I'm a do to you, you Had you running to your friends Like, damn he the man Might just let you get a chance girl"
/songs/2109046,Kid Ink,All I Know,https://genius.com/Kid-ink-all-i-know-lyrics,http://api.genius.com/songs/2109046,Crash Landing,2011-03-27," All I know, better bring out ya shades for all those flashing light They can make you blind All I know, you probably can't see my wings But I'm gon' touch the sky, all I got is time   And I just checked in, home suite, life like Zach and Cody All I do is win, get a trophy, only need one shot like Kobe Remember when they didn't know me? Now everybody mad cause I don't speak We welcome to Hollywood, I was born here I can act Hollywood I'm going in, mock me, with a rock star crew like Motley Cross, God couldn't stop me, I can feel it getting closer than a Mach 3 Mach speed, high up I can see the game, from the skybox, shades always on like Cyclops   All I know, better bring out ya shades for all those flashing light They can make you blind All I know, you probably can't see my wings But I'm gon' touch the sky, all I got is time   Yeah, and I can't waste none, but I got a little money we can waste some See through you lames like a lace front, I came from the bottom like a bass drum Used to stand outside of the club, know if I ain't about it then I ain't in the club Soon as I walk in they eyeing in the club, bum ass niggas all they got is a mug And I thank God from above, that I ain't getting locked up or dying from a slug We just rhyming for love and I just want fans like I wear shiny gloves Cause I'm off the wall, headed to the sky like I'm off the law Treat it like Trina, I'mma beat the odds, bitch   All I know, better bring out ya shades for all those flashing light They can make you blind All I know, you probably can't see my wings But I'm gon' touch the sky, all I got is time   Yeah, I said you better get your Ray Bans, you can find me where the shade ends I keep it real no pretend, you motherfuckers faker than a spray tan Take another look a your G shot, I'm 'bout to blow up like a G Hiad No rush, have patience cause all I got is time like flavour Here we go again, I'm not the one to go against I'll crush you niggas like a soda can, man   All I know, better bring out ya shades for all those flashing light They can make you blind All I know, you probably can't see my wings But I'm gon' touch the sky, all I got is time"
/songs/179103,Kid Ink,Almost Home Freestyle,https://genius.com/Kid-ink-almost-home-freestyle-lyrics,http://api.genius.com/songs/179103,None,2018-08-17,"Okay Wooo It's Kid Ink Yeah You see it  Uh I said I'm almost home 5:28 (up) a.m. up till the morning Living the dream (dream) Money & The Power All that a young nigga want Ride for the team Bossin' Up With a Barbie and her best friend I got a right fist on the wheel and another fat blunt in my left hand So get high, and Fuck Sleep I gotta eat out, looking for a feast Acting Hollywood, don't need your feature But you in my city, hoping that we don't meet Meetings overseas, call it a paid-cation Can't stop now, niggas started from the basement Mentality, go get and take it Take ya chances, so close can taste it Kid Ink baby, repping Tha Alumni Two in the air, but I'm ducking for the one time Time Of Your Life, got me sittingg on the top of the world War if you want, I've been putting in the work Auhh 'Bout to put 'em in the dirt I put it all on the line when the deal sign Nine times out of ten niggas don't last But 'I Ain't Worried About Nothing' like Montana No shirt, tattoos running out of room House party, bitches running in and out of rooms (Woooo) Out law a nigga, I don't know not a rule Blowing kush to the wind, I don't never lose CNN nigga we the news Can't hang over here, gon' get a noose Off that loud couldn't hear a nuke Gold grill and diamond chipped tooth They love when I'm hood not complex Fuck yo list I'm Billboard Top Ten Going for gold on the yellow brick road Been away for a minute but I'm almost home Egh  Yeah It's Kid Ink You see it"
/songs/3296633,Kid Ink,Annabelle,https://genius.com/Kid-ink-annabelle-lyrics,http://api.genius.com/songs/3296633,None,2017-10-30, 1...2...Pull up on you 3...4...Lamborghini door 5...6...running no sticks 7...8...nowhere in your lane Becky!   We made it through the silent hill Turn my moves to a fairy tale with my doll just like Annabelle Led my dreams Freddy-filled Watch them scream trap their faces Stay round trees just like Jason See some stranger things am I crazy In the Hotel feeling baked click boom and made it bitch   Looking like I lead investigations Got my chick right out immigration Am feeling bad today body a bag today Say she afraid of ghosts so I pull up and drag the Wraith You know we walk the hill niggas the walking dead House on top of the hill your money talk is scared Slay slay slay I Ak that rose Tattoos like mask on face They're trying to take my place I ain't the 1...2 pull up on you You better run don't ever sleep Know where you wait onto the sun Under the moon turn to a beast I'm on a mood she on a creep Pouring Patrón for the deceased Where I'm from you can't be scared of no nightmares   We made it through the Silent Hill Turn my moves to a fairy tale with my doll just like Annabelle Led my dreams Freddy-filled Watch them scream trap their faces Stay round trees just like Jason See some stranger things am I crazy In the Hotel feeling baked click boom and made it bitch   It's bloody bloody Mary Mary in the mirror Say my name three times and watch them hoes appear Now here is Jonny in the hall chopping down your door Little nigga with the ship ? door Childs play turn this bitch to a purge night ? boys ? fuck y'all welcome you to Poltergeist Tear that bitch off leatherface and me no need no chain saw Walk in here like the lost boys and you know what the fuck we came for S-s-silence to  that Lamborghini parking bitch I'm in a sunken place you love her Better guard your bitch big fishes on some Jaws shit Make movies of some songs shit You had you a cool run I'll be right back cause this our shit   We made it through the Silent Hill Turn my moves to a fairy tale with my doll just like Annabelle Led my dreams Freddy-filled Watch them scream trap their faces Stay round trees just like Jason See some stranger things am I crazy In the Hotel feeling ? click boom and made it bitch   1...2...Pull up on you 3...4...Lamborghini door 5...6...running no sticks 7...8...nowhere in your lane Becky!
/songs/2370248,Kid Ink,Aww Man (Freestyle),https://genius.com/Kid-ink-aww-man-freestyle-lyrics,http://api.genius.com/songs/2370248,None,2018-08-17," I done ran sack up, aww man I just poured the drank up, aww man I done turnt hoes up, aww man That ho sittin', screamin' ""aww man"" We done seen a lot of shit never had it Till you get money boy, you know you got it I ain't show you how to do it, aww man Got my whole city screamin' ""aww man""   Aww man aww man, I got the world in the palm of my hand Bomb in my pants, bomb in my bitch, aww man aww man We go straight to the mall and I make sure that she never argue again Niggas successes in all of my plans, break down a swisher with all of my grams. They all my of gram, know that i France they all in my fans Still in the style Need more security cams I know who i am, I know were am going, and won't talk to siri again I came with a plan, I play like a champ and all of my numbers say winning Nigga no rest 24 Like 7/11 I'm up, pill, kicking back in my sevens is up, money talking i dont think were ? enough I'm on my seconds lil bro beast   I done ran sack up, aww man I just poured the drank up, aww man I done turnt hoes up, aww man That ho sittin', screamin' ""aww man"" We done seen a lot of shit never had it Till you get money boy, you know you got it I ain't show you how to do it, aww man Got my whole city screamin' ""aww man"""
