api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/57113,Kings of Leon,17,https://genius.com/Kings-of-leon-17-lyrics,http://api.genius.com/songs/57113,Only by the Night,2009-06-29, Oh she's only 17 Whine and wine and wound up over everything Bloody Mary breakfast busting up the scene Brothers frightened and when's a baby going to sleep Hidden ship that sails away   Said it's a culmination of a story and a goodbye session It's the tick of our time and the tick in her hair That made me feel so strange So I could call you baby I could call you dammit It's a one in a million Oh it's the rolling of her Spanish tongue That made me want to stay   Oh she's only 17 Wind and wind and wound up over everything Bloody Mary breakfast busting up the scene Brothers frightened when's a baby going to sleep  Oh she's only 17 Wind and wind and wound up over everything Bloody Mary breakfast busting up the scene Brothers frightened when's a baby going to sleep   Hidden ship that sails away Said it's a culmination of a story and a goodbye session It's the tick of our time and the tick in her hair That made me feel so strange So I could call you baby I could call you dammit It's a one in a million Oh it's the rolling of her Spanish tongue That made me want to stay   I could call you baby I could call you dammit It's a one in a million Oh it's the rolling of her Spanish tongue That made me want to stay
/songs/355376,Kings of Leon,Arizona,https://genius.com/Kings-of-leon-arizona-lyrics,http://api.genius.com/songs/355376,Because of the Times,2007-03-30, That taste All I ever needed All I ever wanted Too dumb to surrender She shakes Like the morning railway Checking me out Someone on her shoulder   The lamp Flickers in the bedroom She must feel as awkward Whorehouse Arizona Now go Stand up to a giant Say that I'm a fighter Too drunk to remember Too drunk to  Shake hands   My face Staring on the pavement Tasted something awful I hate when that happens She waves Thinkin that it's sexy She must be plum crazy I kind of think I like her I kind of think I do
/songs/2857962,Kings of Leon,Around the World,https://genius.com/Kings-of-leon-around-the-world-lyrics,http://api.genius.com/songs/2857962,WALLS,2016-09-30," My corner, you'll find me every day The boys come out That's where we like to play ""Wanna tag along?"" I said ""No way."" One drop dead high A price you're gonna pay   Been around the world, been around the world I stormed the gates inlaid in pearl (Been around the world, been around the world Been around the world, been around the world) All around the world all around the world I lost myself and found a girl (Been around the world, been around the world)   Keep dancing, like it's ya last time With softened eyes, swimming in delight When the curtain falls, I'm on your scene What sweet surprise sashay to me   Been around the world, been around the world I stormed the gates inlaid in pearl (Been around the world, been around the world Been around the world, been around the world) All around the world all around the world I lost myself and found a girl (Been around the world, been around the world Been around the world, been around the world)  Take it all the way, take it all the way All the way (Been around the world, been around the world Been around the world, been around the world) All around the world, all around the world I lost myself and found a girl (Been around the world, been around the world)"
/songs/421760,Kings of Leon,Back Down South,https://genius.com/Kings-of-leon-back-down-south-lyrics,http://api.genius.com/songs/421760,Come Around Sundown,2010-10-15,"[Verse 1 - Kings of Leon] Come on out and dance If you get the chance We're going to spit on the rivals All I want to know Is how far you want to go Fighting for survival Underneath the stars Where we parked the cars Ain't showing signs of stopping Pretty little girls Naked to their curls Ready to lay in a coffin   If you want to go I'm going to go I've got a fire burning Go on take my hand When we see the band Baby's going to be a big one, oh yeah Baby's going to be a big one  [Verse 2 - Kings of Leon] When we see the lights And we hear the fights It's going to be a stunner I've got something here If you give me one more beer I'm going to call the runner I don't want to say What I have to say Babe, I'm a kicking off now   If you want to go I'm going to go I'm going back down South now  If you want to go I'm going back down South now Come on take my hand I'm going back down South now When we see the lights And we hear the fights I'm going back down South now All I want to know Is how far you want to go I'm going back down South now, oh yeah I'm going back down South now"
/songs/421766,Kings of Leon,Beach Side,https://genius.com/Kings-of-leon-beach-side-lyrics,http://api.genius.com/songs/421766,Come Around Sundown,2010-12-09, Got an attitude Thinking that he's always right Blowing smoke rings Making me want to fight And then I look back At all things I've ever done And then I look up Seeing that he's on the run  It's a big thing Everything your heart desires And now I have to Try and outdo the fight I caught a big break When playing in the role I saw you laughing Even though you know it's so  Even when you're on the run Even though you know it's so   Seeing that he's on the run Even though you know it's so
/songs/226428,Kings of Leon,Beautiful War,https://genius.com/Kings-of-leon-beautiful-war-lyrics,http://api.genius.com/songs/226428,Mechanical Bull,2013-12-09,"Bite your tongue Don't make a scene, dear Everybody's been here least once before We've been here more  Your heart breaks Rolls down the window I've seen it all go, come back around And I've heard the sound  The tip of your tongue The top of your lungs is doing my head in I say, ""Love, don't mean nothing Unless there's something worth fighting for."" It's a beautiful war  When I hold The warmth of your body There is nobody that I'd rather hold Shattered and cold  The tip of your tongue The top of your lungs is making me crazy I say, ""Love, don't mean nothing Unless there's something worth fighting for."" It's a beautiful war  I say, ""Love, love – it don't mean nothing Unless there's something worth fighting for."" It's a beautiful war  It's a beautiful war It's a beautiful war  I say, ""Love, love..."" I say, ""Love, don't mean nothing Unless there's something worth fighting for.""  I say, ""Love, don't mean nothing Unless there's something worth fighting for.""  It's a beautiful war It's a beautiful war It's a beautiful war It's a beautiful war"
/songs/421676,Kings of Leon,Beneath the Surface,https://genius.com/Kings-of-leon-beneath-the-surface-lyrics,http://api.genius.com/songs/421676,Only by the Night,2009-06-29," Degrade me, my purpose Bury me beneath the surface   I'm scratching, I'm clawing Trying hard to make them pay Can't stand me, beside me Kid you not, your kiss sure killed me The cold of my barrel Never sees the light of day   Call me, call me, you could only hurt the story Call me, call me, I'll be there to shine a light   The smell on the speakers Sweaty ballroom dancing fever They gather in numbers Ever for a closer view The cease fire the weaker Hair so red I couldn't keep her The dogs hound the neighbor's Everything was blown away   Machine, machines, point me to the nearest party You'll see, you'll see, baby it's the only way   Call me, call me, you could only Call me, call me, I'll be there   Machines, machines, point me to the nearest party"
/songs/355388,Kings of Leon,Be Somebody,https://genius.com/Kings-of-leon-be-somebody-lyrics,http://api.genius.com/songs/355388,Only by the Night,2008-09-02,"   Taking to the floor with the reach to the sky I loosen my tie, I loosen my tie Locking down the door with the rhythm and rhyme I loosen my tie, I loosen my tie  [Verse 1: Kings Of Leon] Trying to recall what you want me to say I shake your way, I shake your way Counting on the night for a beautiful day I shake your way, I shake your way And I say you can't get enough No you can't get enough   Given a chance I'm going to be somebody If for one dance I'm going to be somebody Open the door It's going to make you love me Facing the floor I'm going to be somebody  [Verse 2: Kings Of Leon] Now is your time and you know where you stand With a gun in your hand, with a gun in your hand Now I'm no longer an ordinary man Was this your big plan, your gun in your hand And I say you can't get enough No you can't get enough   Given a chance I'm going to be somebody If for one dance I'm going to be somebody Open the door It's going to make you love me Facing the floor I'm going to be somebody   Be somebody Be somebody"
/songs/355405,Kings of Leon,Birthday,https://genius.com/Kings-of-leon-birthday-lyrics,http://api.genius.com/songs/355405,Come Around Sundown,2010-10-15, It's in the way she often calls me out It's in the cut of your pretty gown Your come on legs and your pantyhose You look so precious with your bloody nose   We're gonna come together We're gonna celebrate We're gonna gather round Like it's your birthday I don't want to know Just what I'm gonna do I don't care where you're going I'm coming along with you   Walking her home with the grassy hill Falling and laughing at the drinks we've spilled Just one of those nights that I had to share Chasing the death without a care   We're gonna come together We're gonna celebrate We're gonna gather round Like it's your birthday I don't want to know Just what I'm gonna do I don't care where you're going I'm coming along with you   You know I love the way you curve[?]   We're gonna come together We're gonna celebrate We're gonna gather round Like it's your birthday I don't want to know Just what I'm gonna do I don't care where you're going I'm coming along with you
/songs/364137,Kings of Leon,Black Thumbnail,https://genius.com/Kings-of-leon-black-thumbnail-lyrics,http://api.genius.com/songs/364137,Because of the Times,2007-04-02," My cold cold sailor heart says get on your way I ain't to proud to say but that's how I'm made I'll be that person till my dying day I try so awful hard but I can't change   From runways to the road I ramble alone This thumbnail size of heart is as black as coal Through beauty it still brings me to my knees Don't waste a tear on me it's my disease   Don't leave no smell on me Don't leave no smell on me I'll blow off in your sleep Don't leave no smell on me   Those preppy boys in blue they make fun of us So we take it to the street 'cause we are an ornery curse But we're not here to make your children bleed We're here to cover ground with a tumbleweed   Don't leave no smell on me Don't leave no smell on me I'll blow off in your sleep Don't leave no smell on me  Now guitar, go get her   Don't take these boots off me when you think that I'm dead I'll still be running from the demon in my head I'll be that person till my dying day I try so awful hard but I can't change   Don't leave no smell on me Don't leave no smell on me I'll blow off in your sleep Don't leave no smell on me Don't leave no, no smell"
