api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2247379,KT Tunstall,1000 Years,https://genius.com/Kt-tunstall-1000-years-lyrics,http://api.genius.com/songs/2247379,None,2013-01-01,"A thousand years Is a long long time Even for a star up in the sky I could count the tears And the long long nights But I'd rather just remember how you smile  In a thousand years I know that our love will still be here So close your eyes, my dear Knowing that our love is going to last one thousand years  The time flies by In a blinking eye No matter how we try to make it last But if souls are strong They'll go on and on And we will hardly know the time has passed  In a thousand years I know that our love will still be here So close your eyes, my dear Knowing that our love is going to last one thousand years  We'll disappear If we can keep each other here Inside our hearts We will never be apart so don't you fear Dry your tears  In a thousand years I know that our love will still be here In a thousand years Ohh So close your eyes, my dear Knowing that our love is going to last one thousand years"
/songs/2072095,KT Tunstall,2000 miles,https://genius.com/Kt-tunstall-2000-miles-lyrics,http://api.genius.com/songs/2072095,Have Yourself a Very KT Christmas,None,He's gone 2000 miles It's very far The snow is falling down Gets colder day by day I miss you  The children will sing He'll be back at christmas time  In these frozen and silent nights Sometimes in a dream you appear Outside under the purple sky Diamonds in the snow sparkle Our hearts were singing It felt like christmastime  2000 Miles Is very far through the snow I'll think of you Wherever you go  He's gone 2000 miles It's very far The snow is falling down Gets colder day by day I miss you  I can hear people singing It must be christmastime I hear people singing It must be christmastime
/songs/1605107,KT Tunstall,Alchemy,https://genius.com/Kt-tunstall-alchemy-lyrics,http://api.genius.com/songs/1605107,The Scarlet Tulip,None,"Hanging, hanging by one arm Been this way for hours Starting to fantasize scenarios using both hands Bending, bending my belief Snapping the hypnotists fingers Donning a work shirt and fashioning glass from the sand I am north, I am north Read the report Once again I am yours More than I can afford Alchemy works its way Beggin', beggin' for mercy What can magic pretend To bring in the end But disappointment So steal me From regular arms and Steal me Into the dark and Steal me From regular arms and Steal me I am north, I am north Read the report Once again I am yours More than I can afford Alchemy works its way"
/songs/3061970,KT Tunstall,All Or Nothing,https://genius.com/Kt-tunstall-all-or-nothing-lyrics,http://api.genius.com/songs/3061970,Golden State EP ,2016-06-16," How come I'm always wanting more? I really got myself a knack I walk through every open door Feel it slam into my back  I have all my love to give The world is emptiness to fill This is how I'm gonna live And I'm gonna live until I'm only  High hopes that you'll understand My need for freedom to survive I don't need no confirmation That my spirit is alive  I won't ever give it up Regardless of the mess I'm in Won't be leaving it to luck If I'm living in sin It can get lonely   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it my way   So don't give me any low excuse To lift my foot up off the pedal [??? at 1:41. Sounds kind of like 'fireman'] won't be coming at ya Full of passion, love, and metal  You and I we have much to do I have no time for dirt and dish Gonna take it all away Come along should you wish Don't wanna show me   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it my way   Ahh, yeah Do it my way baby Ahh, yeah Do it my way baby Ahh, oh   Giving it all or nothing I never take the time to look behind What's the point in that When this could be something To lead me to a life that's new and I can do it  Giving it all or nothing I never take the time to look behind me What's the point in that When this could be something To lead me to a life that's new and I can do it my way"
/songs/1471029,KT Tunstall,Another Place To Fall,https://genius.com/Kt-tunstall-another-place-to-fall-lyrics,http://api.genius.com/songs/1471029,Eye to the Telescope,2006-03-13,"Are you blind? Blind to me trying to be kind? Volunteering for your firing line Waiting for one precious sign  The flicker of a smile You should try it just once in a while Baby, it's not quite your style It's simply too easy to do And you might not see it through See it through  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall  Are you proud To have founded a brand new behaviour With hatred and hurt as your saviour But nobody's choosing to follow So you choke back the tears and you swallow Men who have ruined your life You consume them with minimum strife But now you have got indigestion The antacid comes as a question  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall  There isn't much more I can say I don't understand the delay You're asking for friendly advice But remaining in permanent crisis Affection is yours if you ask First you must take off your mask When your back's turned I've decided You'll throw it away just like I did  So find yourself another place to fall Find yourself up against another brick wall See yourself as a fallen angel Well I don't see no holes in the road but you Find another place to fall Well I don't see no holes in the road but you Find another place to fall Well I don't see no holes in the road but you Find another place to fall"
/songs/1526363,KT Tunstall,Ashes,https://genius.com/Kt-tunstall-ashes-lyrics,http://api.genius.com/songs/1526363,Acoustic Extravaganza,None,"I am a pain in your ass And I'm wondering how long it's gonna last Be my mirror, be my friend Be the workhouse of the energy I twist your arm to spin  Every day, like a power station You know it isn't good I know you're burning too much wood Oh, and when you burn out The twisted irony is Your ashes come home to me Come home to me  So we take a walk to make some sense And I'm wondering if you'll fancy my defense But I have pushed you way too far And you say, ""Fuck you, little princess Who the hell do you think you are""  Every day, like a power station You know it isn't good You know you're burning too much wood But I said if you burn out The twisted irony is Your ashes come home to me Come home to me Come home to me  Yeah well your ashes come home to me Come home to me Come home to me  No other sucker's gonna have you on the fucking mantelpiece The mantelpiece The mantelpiece"
/songs/3917594,KT Tunstall,Backlash & Vinegar,https://genius.com/Kt-tunstall-backlash-and-vinegar-lyrics,http://api.genius.com/songs/3917594,WAX,2018-08-24," I carved a hole in the sun Black edges Easy to get lost in there Easy to get lost out there I found myself underweight Trying to fill the gaps To stop the draft Where the hope escapes   I gotta hold myself better Fold out just like a map of a mountain Be the upsetter And let these bridges burn   So take it back That I'm lacking anything Saying it might make it easier But it's backlash and vinegar I'm just a being, being Wondering if that's even feasible And if it's unreasonable To feel   I starved my soul of the one Thing that now I see I should've had I just repeated 'Til I went mad And this body knows What this body never shows Just leave it to guessing   I should write you a letter Hold out up until the final chapter Be the successor And watch this spectre burn   So take it back That I'm lacking anything Saying it might make it easier But it's backlash and vinegar I'm just a being, being Wondering if that's even feasible And if it's unreasonable To feel"
/songs/1987291,KT Tunstall,Bad day,https://genius.com/Kt-tunstall-bad-day-lyrics,http://api.genius.com/songs/1987291,Drastic Fantastic,None,"Tell me how I can find Something to compare To this kiss so fine I've been looking everywhere  What used to be wrong is right Honey can you see How your lightening Coming down striking me How your lightening Coming down striking me  You're a good moon You're good food When it's a bad day, anyway You're a la-li-lighthouse On a dark night Too tired to fight it anyway  Familiar to your sound Like honey when you breathe In and out Oh you know you pacify me And if I go tomorrow I wanna thank you for today For being together Even on a bad day  Cos you're a good moon You're good food When it's a bad day, anyway And you're a la-la-la-lighthouse On a dark night I'm too tired to fight it anyway"
/songs/999625,KT Tunstall,Beauty Of Uncertainty,https://genius.com/Kt-tunstall-beauty-of-uncertainty-lyrics,http://api.genius.com/songs/999625,Drastic Fantastic,None,I need a mirror In the eyes of a man I need no protection from my Bulletproof plan  And I've got a ticket For all that I lack You might think that I'm gone for good But I know that I'm coming back  Sit at my table Sip from my bowl I feel like I know you now And I will do until I get old  You might not see me Trust that I'll stay But there's no sense in traveling If we've already been that way  Night is an adder Hidden in grass Bite like her life depends on it And waits to see how long you last But you know better You stand your ground It might just sting a little B'she knows you're sticking around  The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty The beauty of uncertainty
/songs/458477,KT Tunstall,Black Horse & The Cherry Tree,https://genius.com/Kt-tunstall-black-horse-and-the-cherry-tree-lyrics,http://api.genius.com/songs/458477,Eye to the Telescope,2005-02-21," Two Three Go (Woo Hoo, Woo Hoo) (Woo Hoo, Woo Hoo)   Well my heart knows me better Then I know myself so I'm going to let it do all the talking (Woo Hoo, Woo Hoo) I came across a place In the middle of nowhere With a big black horse And a cherry tree (Woo Hoo, Woo Hoo) I felt a little fear upon my back I said don't look back, just keep on walking (Woo Hoo, Woo Hoo) Well the big black horse said, ""Look this way."" He said, ""Hey lil' lady Will you marry me?""   But I said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   And my heart had a problem in the early hours So I stopped it dead for a beat or two (Woo Hoo, Woo Hoo) But I cut some cord and I shouldn't have done it And it won't forgive me after all these years (Woo Hoo, Woo Hoo) So I sent her to a place in the middle of nowhere With a big black horse and a cherry tree (Woo Hoo, Woo Hoo) Now it won't come back cause its oh so happy And now I've got a hole for the world to see, yeah (Woo Hoo, Woo Hoo)   And it said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   But I said, No no, no no no no I said, No no You're not the one for me No no, no no no no I said, No no, you're not the one for me (Ohhh Woo Hoo)   Big black horse and a cherry tree (No no, no no no no) I can't quite get there Cause my heart's forsaken me, yeah, yeah, yeah (No no) Big black horse and a cherry tree (No no, no no no no) I can't quite get there cause my heart's Forsaken me"
