api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/589968,Lady Antebellum,747,https://genius.com/Lady-antebellum-747-lyrics,http://api.genius.com/songs/589968,747 (Deluxe Edition),2014-09-30," I could hear it through the line I could tell from the crack in her voice The static, the noise It's leaving on her mind But when it comes to you I'll do whatever I gotta do   I'm looking out from my window seat Halfway back, aisle twenty three Man I wish that I could fly this thing Give a little more gas, a little more speed   This seven-forty-seven can't go fast enough, fast enough This seven-forty-seven can't go fast enough, fast enough Every minute is wasted time She gets a little bit closer to saying goodbye This seven-forty-seven can't go fast enough, fast enough   I could use a drink right now I've got my head in the clouds, thinking about Second that the wheels touch down And my feet hit the ground, I run to your house I knock on the door, kiss you right on the mouth   This seven-forty-seven can't go fast enough, fast enough This seven-forty-seven can't go fast enough, fast enough Every minute is wasted time She gets a little bit closer to saying goodbye This seven-forty-seven can't go fast enough, fast enough   I'm looking out from my window seat Halfway back, aisle twenty three Man I wish that I could fly this thing Give a little more gas, just a little more speed   This seven-forty-seven can't go fast enough, fast enough This seven-forty-seven can't go fast enough, fast enough Every minute is wasted time She gets a little bit closer to saying goodbye This seven-forty-seven, seven-forty-seven, this seven-forty-seven Can't go fast enough, fast enough"
/songs/196219,Lady Antebellum,A Holly Jolly Christmas,https://genius.com/Lady-antebellum-a-holly-jolly-christmas-lyrics,http://api.genius.com/songs/196219,On This Winter's Night,2012-10-22, Have a holly jolly Christmas It’s the best time of the year I don’t know if there’ll be snow But have a cup of cheer  Have a holly jolly Christmas And when you walk down the street Say hello to friends you know And everyone you meet   Oh ho the mistletoe Hung where you can see Somebody waits for you Kiss him once for me   Have a holly jolly Christmas And in case you didn’t hear Oh by golly have a holly jolly Christmas this year     Santa Claus is coming to town
/songs/196225,Lady Antebellum,All For Love,https://genius.com/Lady-antebellum-all-for-love-lyrics,http://api.genius.com/songs/196225,Golden,2013-05-07," Love, something you know nothing of Cause love don't turn and run And leave you standing in the dark You, tell me that your feelings changed And you don't want to stay and break my heart Well baby, it's too late   Cause what about the times that you said to me That I was everything that you'd ever need How come you just up and walk away And look me in the eye and say   You did it all for love You did it all for love You did it all for love You did it all for love   Love, what was I supposed to do? Falling out can be so cruel But I just can't ignore the truth So, don't tell me I don't understand Cause I don't want this on my hands But it's all that's left to do   Everything you want's what we used to be And I can't fight these feelings inside of me As much as this hurts, it's the only way Believe me when I say   I did it all for love I did it all for love I did it all for love I did it all for love   Love, something you know nothing of Cause if you did, there's still be an us I did it all for love"
/songs/196154,Lady Antebellum,All I Want For Christmas Is You,https://genius.com/Lady-antebellum-all-i-want-for-christmas-is-you-lyrics,http://api.genius.com/songs/196154,On This Winter's Night,2012-10-22," I don't want a lot for Christmas There's just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you Baby, you Baby   I don't need to hang my stocking There upon the fireplace Santa Claus won't make me happy With a toy on Christmas day I just want you for for my own More than you could ever know Make my wish come true All I want for Christmas is you Baby   All the lights are shining So brightly everywhere And the sound of children's Laughter fills the air And everyone is singing' I hear those sleigh bells ringing' Santa won't you bring me the one I really need Oh bring my baby to me   I don't want a lot for Christmas This is all I'm asking' for I just wanna see my baby Standing right outside my door I just want him for my own More than you could ever know Make my wish come true All I want for Christmas is you Baby You Baby You Baby You"
/songs/685001,Lady Antebellum,All Nighter,https://genius.com/Lady-antebellum-all-nighter-lyrics,http://api.genius.com/songs/685001,747 (Deluxe Edition),2014-09-30," I'ma walking out of my front door I'ma jumping in my car Take another left on Main Street Head right to where you are I'm rolling down my window I'ma turn the radio on Find a little spot to let go Get a little good time gone   'Cause this is an all nighter I get lost lost with you running through every red lighter I'm falling and feeling like a star right out of a midnight skyer Let the time fly by It's not in our hands, taking a chance, starting a fire This is an all nighter   We were gonna take that sunset Make it turn the blue sky red We can worry about tomorrow Or watch her silly lips instead Get a little back road busy Let the moon shine on us Get a little lovedrunk dizzy 'Til the sun stings back up 'Cause we just can't get enough   'Cause this is an all nighter I get lost lost with you running through every red lighter I'm falling and feeling like a star right out of a midnight skyer Let the time fly by It's not in our hands, taking a chance, starting a fire This is an all nighter, oh yeah Baby, oh oh oh   Time it can't kills, trouble can't cools Take another sip, talking 'til two   'Cause this is an all nighter I get lost lost with you running through every red lighter I'm falling and feeling like a star right out of a midnight skyer Let the time fly by It's not in our hands, taking a chance, starting a fire This is an all nighter   We're taking the night, that's alright We're gonna outshine the moonlight This is, this is, this is an all nighter We're taking the night, that's alright We're gonna outshine the moonlight This is, this is, this is I'm walking out my front door I'ma jumping in my car"
/songs/196113,Lady Antebellum,All We'd Ever Need,https://genius.com/Lady-antebellum-all-wed-ever-need-lyrics,http://api.genius.com/songs/196113,Lady Antebellum,2009-01-26," Boy, it's been all this time And I can't get you off my mind And nobody knows it but me I stare at your photograph Still sleep in the shirt you left And nobody knows it but me Everyday I wipe my tears away So many nights I've prayed for you to say   I should've been chasing you I should've been trying to prove That you were all that mattered to me I should've said all the things that I kept inside of me And maybe I could've made you believe That what we had was all we'd ever need   My friends think I'm moving on But the truth is I'm not that strong And nobody knows it but me And I've kept all the words you said In a box underneath my bed And nobody knows it but me But if you're happy I'll get through somehow But the truth is that I've been screaming out   I should've been chasing you You should've been trying to prove That you were all that mattered to me Oh you should've said all the things That I kept inside of me And maybe you could've made me believe That's what we had girl Oh that's what we had, what we had It was all we'd ever need It was all we'd ever need I should've been chasing you You should've been trying to prove That you were all that mattered to me Oh you should've said all the things That I kept inside of me And maybe you could've made me believe That's what we had girl Oh that's what we had, what we had It was all we'd ever need It was all we'd ever need"
/songs/196178,Lady Antebellum,American Honey,https://genius.com/Lady-antebellum-american-honey-lyrics,http://api.genius.com/songs/196178,Need You Now,2010-01-11," She grew up on the side of the road Where the church bells ring and strong love grows She grew up good, she grew up slow Like American honey   Steady as a preacher, free as a weed Couldn't wait to get goin', but wasn't quite ready to leave So innocent, pure and sweet American honey   There's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey   Get caught in the race of this crazy life Tryin' to be everything can make you lose your mind I just want to go back in time To American honey   There's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey   Gone for so long now I got to get back to her somehow To American honey   There's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey   And American honey"
/songs/3108694,Lady Antebellum,Army,https://genius.com/Lady-antebellum-army-lyrics,http://api.genius.com/songs/3108694,Heart Break,2017-06-02," She can hold my dreams right there in her pocket And shoot down fear with your hand She's a parachute, bulletproof, oh And she's the softest place to land On the front line she's a statue, a safe place to run to The strength I need to get through every day   So if anybody thinks I'm a hero When they watch me walk right into the flames I'm just marching to the sound of her heartbeat Yeah, I'm a solider, but if I'm a solider She's an army, an army, an army Yeah, she's an army, an army, an army   I ain't never been one to back down from the battle, yeah And she knows that better than anyone When I'm under fire, when it's down to the wire I know she's my loaded gun   So if anybody thinks I'm a hero When they watch me walk right into the flames I'm just marching to the sound of her heartbeat Yeah, I'm a solider, but if I'm a solider She's an army, an army, an army Yeah, she's an army, an army, an army, ooh yeah   On the front line she's a statue, a safe place to run to The strength I need to get through every day   So if anybody thinks I'm a hero When they watch me walk right into the flames I'm just marching to the sound of her heartbeat Yeah, I'm a solider, but if I'm a solider She's an army, an army, an army (I swear she saves my life) Yeah, she's an army, an army, an army (I swear she saves my life) Oh, she's army, an army, an army (I swear she saves my life) If I'm a soldier (I swear she saves my life) If I'm a solider, she's an army"
/songs/196171,Lady Antebellum,As You Turn Away,https://genius.com/Lady-antebellum-as-you-turn-away-lyrics,http://api.genius.com/songs/196171,Own the Night,2012-05-07," Standing face to face Wrapped in your embrace I don't wanna let you go But you're already gone   Now you kiss my cheek Soft and bittersweet I can read it in your eyes Baby, this is our goodbye   Nothing more to say Nothing left to break I keep reaching out for you Hoping you might stay   Nothing more to give Nothing left to take I keep reaching out for you Reaching out for you As you turn away   Let go of my hand So I can feel again Nothing's gonna hurt as much As that final touch   No we can't be friends Cause I don't think I could take seeing you And knowing where we've been I hope you understand   Nothing more to say Nothing left to break I keep reaching out for you Hoping you might stay   Nothing more to give Nothing left to take I keep reaching out for you Reaching out for you As you turn away   One step my heart is breaking One more my hands are shaking The door is closing And I just can't change it   Nothing more to say Nothing left to break   Nothing more to give Nothing left to take I keep reaching out for you Reaching out for you I keep reaching out for you Reaching out for you As you turn away As you turn away As you turn away"
/songs/196239,Lady Antebellum,"Baby, It's Cold Outside",https://genius.com/Lady-antebellum-baby-its-cold-outside-lyrics,http://api.genius.com/songs/196239,None,None," I really can't stay Baby, it's cold outside I've got to go away Baby, it's cold out there   This evening has been Been hoping that you'd drop in So very nice I'll hold your hands, they're just like ice   My mother will start to worry Beautiful, what's your hurry? My father will be pacing the floor Just listen to that fireplace roar   Now really I'd better scurry Sweetheart, what's your hurry? Well, maybe just a half a drink more Why don't you put some records on while I pour?   The neighbors might think Baby, it's bad out there Say, what's in this drink? No cabs to be had out there   I wish I knew how Your eyes are like starlight now To break this spell I'll take your hat, your hair looks swell   I ought to say 'no, no, no sir' Mind if I move in closer? At least I'm going to say that I tried What's the sense in hurting my pride?   I really can't stay Baby, don't hold out! Oh, but it's cold outside   I simply must go Baby, it's cold outside The answer is no But baby, it's cold outside   This welcome has been So lucky that you dropped in So nice and warm Look out that window at that storm   My sister will be suspicious Gosh, your lips look delicious And my brother will be there at the door Waves upon a tropical shore   My maiden aunt's mind is vicious Ooh, baby you're so delicious Maybe just one little kiss more Never such a blizzard before   Oh, I got to go home You'll freeze to the bone out there Hey, lend me your coat It's up to your knees out there   You've really been grand I thrill when you touch my hand But don't you see? How can you do this thing to me?   There's bound to be talk tomorrow Making my lifelong sorrow At least there will be plenty implied If you caught pneumonia and died   I really can't stay Get over that cold out Baby, it's cold outside  [Verse 17 It is kind of chilly Just stay right here baby You are not got be be nowhere All right, you win, ha ha ha"
