api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/645987,Lee Brice,Always the Only One,https://genius.com/Lee-brice-always-the-only-one-lyrics,http://api.genius.com/songs/645987,I Don't Dance,None," Wish I could say, I could say I've been looking for you my whole life But I never believed, I never dreamed, I never knew anything could feel this right I got a past I couldn't get past, but it don't haunt me any more Because all my demons they ran like hell when my angel walked through my door   You were always the only one You were always the only one Yeah   If I had a chance, a chance to take it all back, God knows I would Hide your heart away, hide you from the pain every second if I could Well baby no matter what happens now, you can know I'm always yours I ain't ever going nowhere, because I ain't never loved, no loved nobody more   If you never believe anything else I ever say Every second, every moment, every day every day If you never believe anything else I ever say Every second, every moment, in every way  "
/songs/3270869,Lee Brice,American Nights,https://genius.com/Lee-brice-american-nights-lyrics,http://api.genius.com/songs/3270869,Lee Brice,None," Faded Levis, worn out chucks Twenty in my pocket feels like a million bucks Blue-eyed beauty, lean in to me We got our own show in the back row Missed the whole damn movie   American nights, one headlight Cutting down main street in the dark Muscle Shoals, muscle cars Earning our stripes underneath these stars   Blue Ribbon bottles, big block throttles All night if you wanna, gonna make it last A little taste of freedom, a little small town dreaming No need to preach, no need to shout, we believe in   American nights, one headlight Cutting down main street in the dark Muscle Shoals, muscle cars Earning our stripes underneath these stars American nights, yeah   Pray the morning don't come And these colors don't run Stay up and stay all American nights   American nights, one headlight Cutting down main street in the dark Muscle Shoals, muscle cars Earning our stripes underneath these stars American nights, American nights Yeah, American nights   Faded Levis, worn out chucks Twenty in my pocket feels like a million bucks Yeah, it does"
/songs/1529865,Lee Brice,A Woman Like You (Single),https://genius.com/Lee-brice-a-woman-like-you-single-lyrics,http://api.genius.com/songs/1529865,None,None,"Last night, outta the blue Driftin’ off to the evening news She said ""Honey, what would you do If you’d never met me"" I just laughed, said ""I don’t know But I could take a couple guesses though"" And then tried to dig real deep Said, ""Darling honestly... I’d do a lot more offshore fishin’ I’d probably eat more drive-thru chicken Take a few strokes off my golf game If I’d have never known your name I’d still be driving that old green ‘Nova I probably never would have heard of yoga Be a better football fan But if I was a single man Alone and out there on the loose Well I’d be looking for a woman like you."" I could tell that got her attention So I said, ""Oh yeah, I forgot to mention I wouldn’t trade a single day For a hundred years the other way."" She just smiled and rolled her eyes Cause she’s heard all of my lines I said, ""C’mon on girl, seriously If I hadn’t been so lucky I’d be shootin’ pool in my bachelor pad Playing bass in my cover band Restocking up cold Bud Light Play poker every Tuesday night, yeah I’d have a dirt bike in the shed And not one throw pillow on the bed I’d keep my cash in a coffee can But if I was a single man Alone and out there on the loose Well I’d be looking for a woman like you."" She knows what a mess I’d be if I didn’t have her here But to be sure, I whispered in her ear ""You know I get sick deep-sea fishin’ And you make the best fried chicken I got a hopeless golf game I love the sound of your name I might miss that old green ‘Nova But I love watchin’ you do yoga I’d take a gold band on my hand Over being a single man Cause honestly I don’t know what I’d do If I’d never met a woman like you."""
/songs/550980,Lee Brice,Beautiful Every Time,https://genius.com/Lee-brice-beautiful-every-time-lyrics,http://api.genius.com/songs/550980,Love Like Crazy,2010-06-08,"Verse 1  I've been around the ocean since I was a kid I don't get to see it much these days This mornin' I walked down to it just to say I did And damned if it didn't take my breath away  I guess some things are just that way  Chorus  Like a baby sleeping A mama kneeling A Key-West sunset sky Yeah the chills I get When you lay your lips on mine That's beautiful, Beautiful Every Time  Verse 2 Well I could hear the music drifting over the dunes It sounded like a weddin' on the beach I Figured I'd take a closer look Had nothin' better to do Yes I forgot the sight a blushing bride could be  Well I guess amazing is always amazing  Chorus Like a baby sleeping A mama kneeling A Key-West sunset sky Yeah the chills I get When you lay your lips on mine That's beautiful, Beautiful Every Time  Musical Bridge  I guess amazing will always be amazing  Chorus Like a church choir singing A nation healing A soldier coming home alive The love for me Girl I see in your eyes That's beautiful, Beautiful Every Time"
/songs/646182,Lee Brice,Beer,https://genius.com/Lee-brice-beer-lyrics,http://api.genius.com/songs/646182,Hard 2 Love,2012-12-03," Friday, the week was long Can't wait to get my twist-off off One sip and all the bull shish is gone Um-hmm, Hey, Freddie, I'm already ready For another down here, beer Saturday, mown the grass Some people think it's a pain in the back Me, it's just another way to work up a thirst real fast It's why I like to do her with a bungee strapped cooler To my old John Deere, beer   I like it ice cold I take it with a lime Canadian, Mexican, Heineken, American They're all real good friends of mine I like it in a mug, in a bottle, in a cup I like it with a shot Mmm, it hits the spot, Beer   Sunday, football game Hot dog and a mustard stain Cussing out the ref But I guess I can't complain I've got it made in the shade Of a 60 inch Sony and my lazy boy chair…Beer   I like it ice cold I take it with a lime Canadian, Mexican, Heineken, American They're all real good friends of mine I like it in a mug, in a bottle, in a cup I like it with a shot I like it when I'm fishin' on the lake I like it when I'm wishing I was fishing on the lake   Beer, I'll take it anyway I can get, beer I may have a problem I'll admit it, beer I ain't never going to quit it, beer It tastes good, it tastes too good, beer Hey Freddie, I'm already ready for another down here Beer, I think I love you"
/songs/3092602,Lee Brice,Boy,https://genius.com/Lee-brice-boy-lyrics,http://api.genius.com/songs/3092602,Lee Brice,None," Boy, you're gonna know it all You'll think you're ten feet tall And run like you're bulletproof And total a car or two Boy, you're gonna hate this town Wish you could burn it down That fire in your eyes is 20 counties wide But boy, you're gonna love 17 And boy, you'll do some stupid things   You're gonna drive and kiss And throw a punch And grow up way too fast You're gonna drop the ball Hit the wall And break some hearts like glass I know you well, 'cause you're a part of me And a part of you will always be a boy   You're gonna be so stubborn You get that from your mother I already see it now, you weren't built for backing down And boy, there'll be a small town night And you'll fall for her sky-blue eyes And when she's in your hands You'll think you're a man and not a boy She'll make you lose your mind, boy She'll be every reason why   You're gonna drive and kiss And throw a punch And grow up way too fast You're gonna drop the ball Hit the wall And break some hearts like glass I know you will, 'cause you're a part of me And a part of you will always be...my boy   It's 3am and I'd do anything to get you back to sleep And that face will be the same one in the rearview The day I watch you leave   But boy, you're gonna come back home You're gonna settle down But you won't feel the way I'm feelin' now Til you have a boy He's gonna know it all He'll think he's ten feet tall And run like he's bulletproof And total a car or two"
/songs/642589,Lee Brice,Carolina Boys,https://genius.com/Lee-brice-carolina-boys-lyrics,http://api.genius.com/songs/642589,Love Like Crazy,2010-06-08," Did you see me with my coat and my white t-shirt And my cowboy boots, and my baby blues Staring at you from across the room? Did you see me looking at you? Yes, you did I was looking at your eyes, looking at your legs Looking at your thigh, looking at the old back side Did you see me looking at you, man? I don't understand what a women like you Would want in a boy like him, and boy like him Well, I saw your man standing there and I gave him a glare And I swear he looked pretty scared to me I saw him swallow his pride and I looked deep in his eyes And it ended with, ""You want to take this outside?""   Because Carolina boys get crowd and loud Yes, we do, don't look at me I'll turn you whole world upside down Because we get crowd and loud   I didn't mean to scare you with my rowdy redneck friends But I couldn't help to notice you walk in with him His 3 piece suit and his penny loafer shoes Girl, tell me what am I going to do with you?   Do you want to ride? Do you want to dance all night? Do you want to take a little Trip in my lifted ride? It might get crowd and loud   Now tell the truth, girl, you saw a new world The moment you layed your pretty little eyes on me Well, I give you something to think about, something to talk about Tell the whole world about a girl like me   Because we get rowdy No, we get rowdy We get rowd and loud"
/songs/1999781,Lee Brice,Closer,https://genius.com/Lee-brice-closer-lyrics,http://api.genius.com/songs/1999781,I Don't Dance,None,These last few days What can I say You've had me thinkin' in circles In crazy not like me ways My favorite thing Lately has been waking up with you Talkin ourselves to sleep again  Baby come a little closer Let me lay some nibble kisses on your shoulder You said that's your favorite place Baby maybe we could borrow Find a way to bag and Steal a few tomorrows and stay Here in these last few days  These last few days Have blown me away The thought of letting go And falling Is actually feeling okay I must confess I need some rest But with every touch I swear the better it seems to get  Baby come a little closer Let me lay some nibble kisses on your shoulder You said that your favorite place Baby maybe we could borrow Find a way to bag and Steal a few tomorrows and stay Here in these last few days  I ain't lookin for love But whatever this is I can't get enough  Baby come a little closer Let me lay some nibble kisses on your shoulder You said that your favorite place Baby maybe we could borrow Find a way to bag and Steal a few tomorrows and stay Here in the last few days
/songs/3270879,Lee Brice,Dixie Highway,https://genius.com/Lee-brice-dixie-highway-lyrics,http://api.genius.com/songs/3270879,Lee Brice,None,"Dixie Highway to Detroit city Hard hillbilly, mow town row Take off a Friday and do your hair up pretty Song so good you drive just to listen If you don't know, don't know what you're missing now Yeah, you don't know, hah!  Car's made of soul and Bethlehem steel You feel like a king behind the wheel You take what you need and leave the rest, yeah You wanna do the land of the last of the best, now  On the Dixie Highway to Detroit city Hard hillbilly, mow town row Take off a Friday and do your hair up pretty Song so good you drive just to listen If you don't know, don't know what you're missing now  Yeah, you don't know what you're missing All about the Dixie Highway Gonna play my solo right now Oh, yeah  If I can buy some county coal, cows and corn She got her mind on a big red barn She my wildwood flower, Kentucky rose, yeah I pull on over, climb up the silo Get us back up on the-  Dixie Highway to Detroit city Hard hillbilly, mow town row Take off a Friday and do your hair up pretty Song so good you drive just to listen If you don't know, don't know what you're missing now Oh, you don't know  Dixie Highway to Detroit city Dixie Highway to Detroit city Ha-hard hillbilly, mow town row Take off a Friday and do your hair up pretty With a song so good you drive just to listen If you don't know, don't know what you're missing now  Hah, you don't know You see, a song so good you drive just to listen If you don't know, don't know what you're missing now Ah, you don't know  Hehe, I guess you just gonna have to take yourself a ride"
/songs/646142,Lee Brice,Don't Believe Everything You Think,https://genius.com/Lee-brice-dont-believe-everything-you-think-lyrics,http://api.genius.com/songs/646142,Hard 2 Love,2012-12-03," I know you're thinking That you got me all figured out A music man like me ain't ever going to settle down And you're just waiting around for the day That you're convinced ain't ever gonna come And just the thought of wedding bells Would make me want to run away Well all I can say   Is don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination in Baby, come on back to me again Yeah, oh the mind's a funny thing Don't believe everything you think   Every-time another pretty girl comes walking by I see your wheels turning The way you watch my eyes, girl I don't know why You let it cross your mind that I ain't crazy over you And I don't want all the very same things you do Babe, all I'm going to say   Is don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination in Baby, come on back to me again Yeah, the mind's a funny thing Don't believe everything you think   Girl, you need to get on out of your head And into your heart instead Like I said  Don't believe everything you think Baby, I might just have a ring in my pocket right now So settle on down girl Reel that wild imagination back in Baby, come on back to me again Yeah, the mind's a funny thing Don't believe everything you think   Mmmm, yeah the mind's a funny thing, don't believe everything you think"
/songs/548778,Lee Brice,Drinking Class,https://genius.com/Lee-brice-drinking-class-lyrics,http://api.genius.com/songs/548778,I Don't Dance,None,"We're up when the rooster crows Clock in when the whistle blows Eight hours ticking slow And then tomorrow We'll do it all over again  I'm a member of a blue collar crowd They can never, no they can't keep us down If you gotta, gotta label me Label me 'proud'  I belong to the drinking class Monday through Friday, man We bust our backs If you're one of us Raise your glass I belong to the drinking class  We laugh, we cry, we love Go hard when the going's tough Push back on push and shove Knock us down, we'll get back up again and again  I'm a member of a good timing crowd We get rowdy, we get wild and loud If you gotta, gotta label me Label me proud  I belong to the drinking class Monday through Friday, man We bust our backs If you're one of us Raise your glass I belong to the drinking class  We all know why we're here A little fun, a little music A little whiskey, a little beer We going to shake off those long week blues Ladies, break out your dancing shoes It don't matter what night it is, it's Friday It's Saturday, it's Sunday I just wanna hear you say I just wanna hear you singing Y'all Sing it with me  We belong to the drinking class Monday through Friday, man We bust our backs If you're one of us Raise your glass We belong to the drinking class"
