api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/192317,Linkin Park,1Stp Klosr,https://genius.com/Linkin-park-1stp-klosr-lyrics,http://api.genius.com/songs/192317,[REAИIMATIOИ],2002-07-30," (I'm about to break) I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break  I'm about to break This room to breathe This room to breathe This room to breathe   I cannot take this, anymore Saying everything I've said before  All these words, they make no sense I found bliss in ignorance Less I hear, the less you say You'll find that out, anyway   I find the answers aren't so clear Wish I could find a way to disappear  All these thoughts, they make no sense I found bliss in ignorance Nothing seems to go away Over and over again  Over and over again Over and over again Over and over again Over and over again  Just like before, like before Like before, like before, like before   Everything you say to me And I'm about to break I need a little room to breathe And I'm about to break  Everything you say to me And I'm about to break I need a little room to breathe And I'm about to (Break)   These are the places where I can feel Torn from my body, my flesh, it peels During this ride, we can cut up what we like (I'm about to break)  Waiting alone, I cannot resist Feeling this hate I have never missed Please, someone give me a reason To rip off my face  Blood is a-pouring and pouring and pouring And pouring and pouring and pouring and pouring And pouring and pouring and pouring...   Shut up when I'm talking to you! Shut up! (Blood is pouring) Shut up! (Blood is pouring) Shut up! (Blood is pouring)  Shut up when I'm talking to you! Shut up! (Blood is pouring) Shut up! (Blood is pouring) Shut up! (Blood is pouring)  Shut up I'm about to break!   Everything you say to me, I'm about to break! I need a little room to breathe, I'm about to break! Everything you say to me, and I'm about to break! I need a little room to breathe, and I'm about to...  Everything you say to me (Takes me one step closer to the edge) And I'm about to break! I need a little room to breathe ('Cause I'm one step closer to the edge) I'm about to break!  Everything you say to me (Takes me one step closer to the edge) And I'm about to break! I need a little room to breathe ('Cause I'm one step closer to the edge) And I'm about to..."
/songs/1586481,Linkin Park,26 Lettaz in Da Alphabet,https://genius.com/Linkin-park-26-lettaz-in-da-alphabet-lyrics,http://api.genius.com/songs/1586481,Underground 8: Mmm...Cookies: Sweet Hamster Like Jewels From America!,2008-12-04,"Man, the other day I was trying to figure out how many letters was in the alphabet It took me all day, but you know I did it You wanna know how many letters there are? 26 letters in the alphabet!  26 letters in the alphabet I wear a shower cap so I don't get wet I put on my shoes so my feet don't hurt And go to the floor with Ernie and Bert  When I'm on the floor, I'm singin' Supercalifragilisticexpialidocious When I'm on the floor, I'm singin' Supercalifragilisticexpialidocious  I got lots of friends, so I don't need pets 26 letters in the alphabet Ernie got wasted and Bert went flat They got kicked out and they can't come back  So they're standing outside, singin' Supercalifragilisticexpialidocious Yeah, they're standing outside, singin' Supercalifragilisticexpialidocious  Yeah, you know they outside  Do the Ernie (Who's inside?) Do the Bert (Who's outside?) Shake your milky (Who's upside?) Chocolate shirt (Who's downside?)  Do the Ernie (Who's inside?) Do the Bert (Who's outside?) Shake your milky (Who's upside?) Chocolate shirt (Who's downside?)  Do the Ernie (Who's inside?) (26 letters in the alphabet) Do the Bert (Who's outside?) Shake your milky (Who's upside?) (26 letters in the alphabet) Chocolate shirt (Who's downside?)  Do the Ernie (Who's inside?) (26 letters in the alphabet) Do the Bert (Who's outside?) Shake your milky (Who's upside?) (26 letters in the alphabet) Chocolate shirt (Who's downside?)  26 letters in the alphabet (Check it out!) 26 letters in the alphabet (Here we go!) 26 letters in the alphabet (Yeah!) 26 letters in the alphabet (Here we go!) 26 letters in the alphabet (Woo!) 26 letters in the alphabet (Yeah!) 26 letters in the alphabet (Yeah!) 26 letters in the alphabet  Man, I didn't know I was so smart...my brain hurts My brain hurts!"
/songs/199478,Linkin Park,Across the Line,https://genius.com/Linkin-park-across-the-line-lyrics,http://api.genius.com/songs/199478,Minutes to Midnight,2009-11-23," In this desert, in darkness Lying with the gun across his chest Pretending he's heartless As the fire flashes in the sky  He was fragile and frozen When the bullet took away his friend And now he's somehow more broken   He's pulling his weapon to his side Loading it full of his goodbyes Holding an enemy across the line  He's pulling his weapon to his side Loading it full of his goodbyes Holding an enemy across the line   Sweating and shaking Lying with her hands across her chest She wakes with her cravings As the fire flashes in her eye  She was fragile and frozen When the needle took away her friend But now she's somehow more broken   She's pulling her weapon to her side Loading it full of her goodbyes Holding an enemy across the line  She's pulling her weapon to her side Loading it full of her goodbyes Holding an enemy across the line   With every battle he's chosing With every fight he's losing His enemy's not far behind  With every promise she's broken With every lie she's spoken Her enemy's not far behind   It's your time It's your time It's your time It's your time!   He's pulling his weapon to his side Loading it full of his goodbyes Holding an enemy across the line  She's pulling her weapon to her side Loading it full of her goodbyes Holding an enemy across the line   With every battle he's chosing With every fight he's losing His enemy's not far behind  With every promise she's broken With every lie she's spoken Her enemy's not far behind"
/songs/207543,Linkin Park,A Light That Never Comes,https://genius.com/Linkin-park-a-light-that-never-comes-lyrics,http://api.genius.com/songs/207543,RECHARGED,2013-10-27," Nah, you don't know me Lightning above and a fire below me You cannot catch me, cannot hold me You cannot stop, much less control me  When it rains, it pours When the floodgates open, brace your shores That pressure don't care when it breaks your doors Say it's all you can take, better take some more  [Pre-Chorus: Mike Shinoda & Chester Bennington] (Oh, oh) 'Cause I know what it's like to test fate Had my shoulders pressed with that weight Stood up strong in spite of that hate  (Oh, oh) A night gets darkest right before dawn What don't kill you makes you more strong And I've been waiting for it, so long   The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh, oh, oh Waiting for a light that never comes   When I was young, they told me, they said Make your bed, you lie in that bed A king can only reign 'til instead There comes that day it's off with his head  [Pre-Chorus: Mike Shinoda & Chester Bennington] (Oh, oh) A night gets darkest, right before dawn What don't kill you makes you more strong You'll have my mercy then, when you're gone   The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh, oh, oh Waiting for a light that never comes   And I told them, nah, you don't know me Lightning above and a fire below me You cannot catch me, cannot hold me You cannot stop, much less control me  When it rains, it pours When the floodgates open, brace your shores That pressure don't care, it breaks your doors Say it's all you can take, better take some more   Oh, oh, oh Waiting for a light that never comes   The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh, oh, oh Waiting for a light that never comes"
/songs/1126434,Linkin Park,A Light That Never Comes (Rick Rubin Reboot),https://genius.com/Linkin-park-a-light-that-never-comes-rick-rubin-reboot-lyrics,http://api.genius.com/songs/1126434,RECHARGED,2013-10-29," Nah, you don't know me Lightning above and a fire below me You cannot catch me, cannot hold me You cannot stop, much less control me  When it rains, it pours When the floodgates open, brace your shores That pressure don't care when it breaks your door Say it's all you can take, better take some more   When I was young, they told me, they said Make your bed, you lie in that bed A king can only reign 'til instead It comes that day, it's off with his head  A night gets darkest, right before dawn What don't kill you makes you more strong You'll have my mercy then, when you're gone  'Cause I know what it's like to test fate Had my shoulders pressed with that weight Stood up strong in spite of that hate  The night gets darkest, right before dawn What don't kill you makes you more strong And I've been waiting for it, so long   The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh, oh, oh Waiting for a light that never comes   And I told them, nah, you don't know me Lightning above and a fire below me You cannot catch me, cannot hold me You cannot stop, much less control me  When it rains, it pours When the floodgates open, brace your shores That pressure don't care, it breaks your door Say it's all you can take, better take some more  [Chorus: Chester Bennington and Mike Shinoda] The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh, oh, oh Waiting for a light that never comes  The nights go on Waiting for a light that never comes (Take some more) I chase the sun Waiting for a light that never comes"
/songs/447144,Linkin Park,A Line in the Sand,https://genius.com/Linkin-park-a-line-in-the-sand-lyrics,http://api.genius.com/songs/447144,The Hunting Party,2014-06-13," Today, we stood on the wall We laughed at the sun, we laughed at the guns, we laughed at it all And when they, they told us to go We paid them no mind like every other time, but little did we know  [Verse 1: Mike Shinoda & Chester Bennington] Today, I looked for a sign With flames in my hands, a line in the sand between yours and mine And it came like fire from below Your greed led the call, my flag had to fall, but little did you know   Another day, your truth will come You're gonna pay for what you've, pay for what you've done You'll get what's yours and face your crime You'll tell them: ""Give me back what's mine"" ""Give me back what's mine""   I'd never been a coward, I'd never seen blood You'd sold me an ocean, and I was lost in the flood We were counting on a leader, we were driven by need But couldn't take temptation, and we were blinded by greed You were steady as a sniper, we were waiting on a wire So we never saw it coming when you ran from the fire You can try intimidation, and you can try to ignore But when the time comes calling, yeah, you are gonna get yours   Another day, your truth will come You're gonna pay for what you've, pay for what you've done You'll get what's yours and face your crime You'll tell them: ""Give me back what's mine"" ""Give me back what's mine""     And so today, your truth has come You're gonna pay for what you've, pay for what you've done You'll get what's yours, you're out of time And you will give me back what's mine Give me back what's mine   Give me, give me back what's mine! Give me, give me back what's mine! What's mine! Give me, give me back what's mine! What's mine! What's mine! Give me back what's mine!   Today, we stood on the wall We laughed at the sun, we laughed at the guns, we laughed at it all And when they, they told us to go We paid them no mind like every other time, but little did we know"
/songs/446969,Linkin Park,All for Nothing,https://genius.com/Linkin-park-all-for-nothing-lyrics,http://api.genius.com/songs/446969,The Hunting Party,2014-06-13," So what you're waiting for, anticipating more While you debate what it could take to instigate a war? Yeah, I been hated more than time I wasn't hated for There's nothing they can fucking say they didn't say before But you could never see it, your battle's not mine Wanna skate and play it safe, but this is take a shot time While you're waiting for a purpose, I already got mine While you tell me step to it like ""one, two, three, four""  [Pre-Chorus: Page Hamilton & Chester Bennington] And if I do what you demand (You say!) You'll let me understand (You say!) You're gonna hold me to your word And if I sell myself away (You say!) I'll have no debt to pay (You say!) I'm gonna get what I deserve   Your word obeyed My debt repaid Our trust betrayed All for nothing, all for nothing   Kick back, there's no other way to say it So let me break this fucker down for you, I really don't know you You talk, but let me show you where to put your paranoia You're joking, I don't have a half a sucker bone to throw you I'm disgusted, wonder what could've made you, tuck your tail below you And no, I'm not your soldier, I'm not taking any orders I'm a five-star general infantry controller Need a lesson? Let me show you, have you checking your composure While I make you step to it like ""one, two, three, four""  [Pre-Chorus: Page Hamilton & Chester Bennington] And if I do what you demand (You say!) You'll let me understand (You say!) You're gonna hold me to your word And if I sell myself away (You say!) I'll have no debt to pay (You say!) I'm gonna get what I deserve   And if I do what you demand You'll let me understand   Your word obeyed My debt repaid Our trust betrayed All for nothing, all for nothing All for nothing, all for nothing    “We're (going?) too far”  “I don't think we're too far”  “We are”  “There's a difference. Put the heavy shit there”  “The heavy shit right here?”"
/songs/1077825,Linkin Park,And One,https://genius.com/Linkin-park-and-one-lyrics,http://api.genius.com/songs/1077825,Hybrid Theory (Demo),1999-05-01," Where should I start? Disjointed heart I've got no commitment to my own flesh and blood Left all alone, far from my home No one to hear me, to heal my ill heart   I keep it locked up, inside   I cannot express to the point I've regressed If anger's a gift, then I guess I've been blessed   I keep it locked up, inside Keep my distance from your lies   It's too late to love me, now You have never shown me It's too late to love me, now You don't even know me  [Bridge 1: Mike Shinoda & Chester Bennington] Breaking a part of my heart to find release Taking you out of my blood to bring me peace Breaking a part of my heart to find release Taking you out of my blood to bring me peace  Breaking a part of my heart to find release (Break!) Taking you out of my blood to bring me peace (Me!) Breaking a part of my heart to find release (Down!) Taking you out of my blood to bring me peace   Keep it locked up, inside Keep my distance from your lies  [Bridge 2: Mike Shinoda & Chester Bennington] Breaking a part of my heart to find release (Break!) Taking you out of my blood to bring me peace (Me!) Breaking a part of my heart to find release (Down!) Taking you out of my blood to bring me peace  Breaking a part of my heart to find release Taking you out of my blood to bring me peace Breaking a part of my heart to find release Taking you out of my blood to bring me peace  Keep my distance Keep my distance Keep my distance Keep my distance   Spit drips from the jaw of the witless witness Cryptic colloquialisms shift your mid rift Dog paddle through a bog of shadows and smog With my thought catalog, analogue rap battle log  Keep my distance and fear resistance Hurt by persistence, the twisted web of tangled lies Strangles my hope to waste and numbs the taste And I'm forced to face these hate crimes  Against the state of being Feeling the weightlessness press me to the ceiling Reeling around rooms, riding a bubble of sound Tuned to the frequency making your chest shake With every boom  Involuntary muscle contraction Ignoring your neck's breaking, musical gas fume euphoria The sound pounds to make the dead flush To hand you a head rush with read thoughts and said stuff"
/songs/1065402,Linkin Park,Announcement Service Public,https://genius.com/Linkin-park-announcement-service-public-lyrics,http://api.genius.com/songs/1065402,A Decade Underground,2006-12-05, You should brush your teeth and you should wash your hands You should brush your teeth and you should wash your hands You should brush your teeth and you should wash your hands You should brush your teeth and you should wash your hands
/songs/72384,Linkin Park,A Place for My Head,https://genius.com/Linkin-park-a-place-for-my-head-lyrics,http://api.genius.com/songs/72384,Hybrid Theory,2000-10-24," I watch how the moon sits in the sky in the dark night Shining with the light from the sun The sun doesn't give light to the moon assuming The moon's gonna owe it one It makes me think of how you act to me You do favors and then rapidly Just turn around and start asking me About things that you want back from me   I'm sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place, to feed your greed While I find a place to rest   I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head   (Maybe someday I'll be just like you and) Step on people like you do and Run away the people I thought I knew I remember back then who you were You used to be calm, used to be strong Used to be generous but you should've known That you'd wear out your welcome And now you see how quiet it is, all alone   I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest   I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head   You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away You try to take the best of me, go away   I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head   Stay away I am so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest Stay away from me"
