name,song_count
chrisbrown,589
nickelback,110
rascalflatts,162
rihanna,195
seanpaul,184
justintimberlake,97
kanyewest,240
beyonce,182
ladygaga,153
eminem,429
drake,362
queen,195
macmiller,360
sting,235
arianagrande,135
brunomars,74
dualipa,41
edsheeran,85
katyperry,125
selenagomez,71
tommisch,41
thepussycatdolls,54
maryj.blige,297
thefray,78
jamesblunt,86
theall-americanrejects,77
kellyclarkson,183
carrieunderwood,99
t.i.,342
falloutboy,146
danielpowter,43
theblackeyedpeas,133
natashabedingfield,67
gnarlsbarkley,34
yungjoc,61
chamillionaire,465
nellyfurtado,111
mariahcarey,230
shakira,155
redhotchilipeppers,263
kennychesney,218
panic!atthedisco,117
fergie,49
jamiefoxx,102
cassie,78
nelly,173
christinaaguilera,185
demfranchizeboyz,28
hinder,72
t-pain,287
ludacris,217
keyshiacole,110
kttunstall,110
snowpatrol,133
timmcgraw,208
keithurban,151
tobykeith,268
d4l,21
juelzsantana,121
madonna,298
joshturner,86
akon,189
daughtry,77
avrillavigne,123
gwenstefani,71
timbaland,97
maroon5,109
linkinpark,156
jay-z,332
ciara,148
plainwhitet's,129
p!nk,156
bradpaisley,185
taylorswift,229
robinthicke,135
lloyd,125
unk,21
shopboyz,12
seankingston,72
mychemicalromance,75
johnmayer,125
amywinehouse,75
bowwow,177
sugarland,82
50cent,361
snoopdogg,595
r.kelly,394
joshgroban,128
aliciakeys,143
leonalewis,93
mileycyrus,186
jordinsparks,71
jonasbrothers,105
coldplay,191
florida,93
colbiecaillat,103
usher,218
sarabareilles,91
onerepublic,77
kidrock,177
britneyspears,165
georgestrait,375
plies,272
the-dream,213
eagles,96
jasonmraz,182
paramore,107
kingsofleon,94
zacbrownband,88
kerihilson,69
shinedown,92
davidcook,71
jasonaldean,115
greenday,260
ladyantebellum,113
dariusrucker,98
kidcudi,191
3oh!3,69
jeremih,125
kesha,169
justinbieber,189
susanboyle,67
jasonderulo,98
taiocruz,40
train,148
treysongz,304
adamlambert,88
michaeljackson,232
lilwayne,120
andreabocelli,323
iyaz,19
owlcity,114
mikeposner,95
nickiminaj,233
jaysean,105
mirandalambert,119
thescript,60
davidguetta,128
sade,63
enriqueiglesias,152
krisallen,77
laroux,23
traviemccoy,15
guccimane,1044
monica,118
castingcrowns,117
lukebryan,131
billycurrington,68
blakeshelton,161
jackjohnson,173
orianthi,40
eastoncorbin,39
fareastmovement,93
norahjones,135
rickross,361
neontrees,48
rebamcentire,395
hayleywilliams,83
melaniefiona,39
shontelle,24
thebandperry,42
adele,43
wizkhalifa,522
u2,318
lmfao,40
bonjovi,288
takethat,151
jenniferlopez,154
fosterthepeople,45
mumford&sons,75
lupefiasco,327
rogerwaters,87
badmeetsevil,24
miguel,92
ericchurch,80
donomar,138
wakaflockaflame,379
hotchellerae,29
thompsonsquare,41
christinaperri,49
foofighters,191
scottymccreery,69
kellyrowland,91
diddy-dirtymoney,28
chrisyoung,67
thebeatles,395
florence+themachine,94
journey,175
demilovato,148
djkhaled,160
onedirection,125
fun.,34
carlyraejepsen,91
gotye,41
brucespringsteen,474
whitneyhouston,116
thewanted,56
skrillex,66
tyga,333
elliegoulding,109
calvinharris,66
theblackkeys,120
2chainz,251
bigsean,207
j.cole,250
littlebigtown,100
gymclassheroes,89
lionelrichie,129
hunterhayes,66
jessiej,99
vanhalen,141
alexclare,42
davematthewsband,200
leebrice,59
kimbra,56
kipmoore,53
dierksbentley,135
phillipphillips,58
gavindegraw,76
lanadelrey,284
macklemore&ryanlewis,41
imaginedragons,138
floridageorgialine,78
baauer,11
lorde,41
daftpunk,45
avicii,70
therollingstones,441
annakendrick,9
awolnation,50
future,397
capitalcities,32
a$aprocky,141
depechemode,232
pharrellwilliams,78
ofmonstersandmen,28
rodstewart,431
swedishhousemafia,9
zedd,25
wale,378
muse,157
theweeknd,131
paulmccartney,395
randyhouser,69
iconapop,52
iggyazalea,98
samsmith,48
johnlegend,165
5secondsofsummer,102
meghantrainor,157
bastille,94
magic!,39
charlixcx,220
nicovinz,79
passenger,139
brantleygilbert,69
idinamenzel,73
sia,170
yg,173
americanauthors,41
tovelo,51
juicyj,340
schoolboyq,131
kidink,273
austinmahone,70
aloeblacc,72
coleswindell,59
billyjoel,163
martingarrix,14
disclosure,45
romeosantos,72
agreatbigworld,30
liljon,67
djsnake,16
arcticmonkeys,133
cher,320
eltonjohn,583
mkto,29
childishgambino,222
fettywap,160
markronson,47
walkthemoon,78
hozier,37
samhunt,28
nickjonas,70
silento,4
omi,16
raesremmurd,48
shawnmendes,100
rachelplatten,48
fifthharmony,105
andygrammer,49
pentatonix,144
fleetwoodmac,336
meekmill,437
charlieputh,76
thomasrhett,53
shaniatwain,100
omarion,99
xambassadors,43
vancejoy,32
richhomiequan,228
majorlazer,63
neildiamond,466
elleking,32
thechainsmokers,37
brysontiller,85
zayn,63
desiigner,56
g-eazy,213
lukasgraham,39
kevingates,287
dnce,28
alessiacara,37
daya,23
chrisstapleton,38
halsey,47
travisscott,150
torylanez,339
jamesbay,42
troyesivan,45
davidbowie,384
kiiara,19
disturbed,115
beberexha,76
liluzivert,262
logic,269
youngthug,510
chancetherapper,101
camilacabello,48
billieeilish,60
melaniemartinez,54
lorde,40
cardib,51
dianaross,368
dantalevski,10
calvinharris,65
mabel,16
lildicky,68
bobdylan,642
