api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/194815,Little Big Town,A Little More You,https://genius.com/Little-big-town-a-little-more-you-lyrics,http://api.genius.com/songs/194815,The Road To Here,2007-02-19,"Don't you wanna dive on in? Yeah the water feels right Dancin' on the edge of the love you're a beautiful sight So why're you still standin' there in the half moonlight  Come on, baby, give me a little more you Come on, baby, give me a little more you  You're battin' those baby blues and honey I swear The way you got me needing you, girl it just ain't fair You've given me a little bit yeah, but don't stop there Come on, baby, give me a little more you Come on, baby, give me a little more you  I'm here fallin' for you, my heart's callin' for you I know I never can get enough Don't hold back one bit of your love Strong and steady for you, I'm all ready Come on, baby, give me a little more you Come on, baby, give me a little more  You're teasin' me with a touch and the whole world shakes Keep holdin' that river back and the levee may break There's only so much that this ol' boy can take Come on, baby, give me a little more you Yeah, come on, baby, give me a little more you  I'm here fallin' for you, my heart's callin' for you I know I never can get enough Don't hold back one bit of your love Strong and steady for you, I'm all ready Come on, baby, give me a little more you Come on, baby, give me a little more you Come on, baby, give me a little more  Ooh, give me a little more You give me a little more You give me a little more You give me a little more"
/songs/194874,Little Big Town,All Over Again,https://genius.com/Little-big-town-all-over-again-lyrics,http://api.genius.com/songs/194874,The Reason Why ,2010-08-24," I can see the moonlight shining off the tracks Down beside the river, and Lord, it takes me back To that starry night when I made you mine With a little midnight kiss  I can see us dreaming, wondering where we'd live Just two wishful thinkers, just a couple kids We were young and scared, but we didn't care There in our innocence   Baby, why don’t we play that old song from way back when And Baby, why don't we go to that place we met and then We can fall in love We can fall in love All over again   We can throw the top back, head on out of town Drive along the coast till the sun is going down Dancing in the sand, can’t you hear the band Let’s get lost in time   We can fall in love We can fall in love"
/songs/194870,Little Big Town,All The Way Down,https://genius.com/Little-big-town-all-the-way-down-lyrics,http://api.genius.com/songs/194870,The Reason Why ,2010-08-24," Rock me like a lullaby, Roll me like a wheel I’m going down, down, all the way down Love me like a superstar, Play me like a steel I’m going down, down, all the way down Down, down, falling all the way down  Stand, where the good love lies Be my man, I’ll be your alibi Wonderland, want to give it a try Let it ride   Rock me like a lullaby, Roll me like a wheel I’m going down, down, all the way down Love me like a superstar, Play me like a steel I’m going down, down, all the way down Down, down, falling all the way down   Here, where it all feels right Crystal clear, as a southern sky Oh my dear, you set my love on fire Every time   Show me now Show me now You got to show me now"
/songs/194862,Little Big Town,A Place To Land,https://genius.com/Little-big-town-a-place-to-land-lyrics,http://api.genius.com/songs/194862,A Place To Land,2007-11-06, I dip my toe in the water Before I know it I'm in over my head I try and warm my self by the fire But i end up getting burned instead I sold my soul for a little bit of heaven Put my heart in the wrong hands I’ve gone places where I swore i would never go again See I’ve never had any trouble falling I’m just trying to find a place to land  I drew me a line in the crossing Speed up when should slow down Well dang if i don’t stay up in it When i probably should go around Always thinking that its going to be forever Always thinking its a good thing All i know is that I’m giving everything i can See I’ve never had any trouble falling I’m still trying to find a place to land   Still trying to find a place to land   I told myself that i had it I told myself i was through Said I’m leaving love for the full hearted But that was before i found you I’m on the edge baby I’m looking over All my love here i go again If i seem a little bit afraid Baby try to understand See i never had any trouble falling I’m just trying to find a place to land   Still trying to find a place to land
/songs/194820,Little Big Town,A Thousand Years,https://genius.com/Little-big-town-a-thousand-years-lyrics,http://api.genius.com/songs/194820,Little Big Town,2002-05-21," I still can't believe you're really here wrapped up in my arms I've waited so long just to hold you near and tell you all the feelings I have for you The reason that I want you And I want you to know   Wherever you go Whatever the future holds No matter what tomorrow brings On earth or the stars I will be where you are, holding you Now that I have you here I'll love you for a thousand years   Baby even all of all the time and spaces couldn't come between us Couldn't separate us from each other, we’re meant to be together I want to spend forever I will be loving you  "
/songs/3001165,Little Big Town,Beat Up Bible,https://genius.com/Little-big-town-beat-up-bible-lyrics,http://api.genius.com/songs/3001165,The Breaker,2017-02-24," This beat up bible Dusty on the shelf Worn out and torn up It don't look like much but it will get you through hell It's been held in the hands Of all the ones that I love It might be falling off the binding but every line in it still holds up This beat up bible Yeah, yeah, yeah   That old recliner In this living room She was sitting right there teaching me a prayer All that she knew About the words on the pages About the greatest gift Where you find the truth, you find the proof, of how love still is In this beat up bible   I can hear her saying Baby, when you praying Give him all your worries, he'll give you all you need When you're crying and you're hurting And nothing else is working All you've got to do is just believe In this beat up bible In this beat up bible oh yeah   I was holding her hand When she was on her way home She said, baby don't cry, I'm going to see the one who rolled away the stone   I can hear her saying Baby, when you're praying Give him all your worries, he'll give you all you need I'm crying and I'm hurting And nothing else is working So, I open up the pages and start to read   This beat up bible Dusty on the shelf Worn out and torn up Don't look like much but it'll get you through hell"
/songs/2887929,Little Big Town,Better Man,https://genius.com/Little-big-town-better-man-lyrics,http://api.genius.com/songs/2887929,The Breaker,2016-10-20," I know I’m probably better off on my own Than lovin' a man who didn’t know What he had when he had it And I see the permanent damage you did to me Never again, I just wish I could forget when it was magic I wish it wasn’t 4am, standing in the mirror Saying to myself, you know you had to do it I know the bravest thing I ever did was run   Sometimes, in the middle of the night, I can feel you again But I just miss you, and I just wish you were a better man And I know why we had to say goodbye Like the back of my hand And I just miss you, and I just wish you were a better man A better man   I know I’m probably better off all alone Than needing a man who could change his mind At any given minute And it’s always on your terms I’m hanging on every careless word Hoping it might turn sweet again Like it was in the beginning But your jealousy, I can hear it now You’re talking down to me like I’ll always be around You push my love away like it’s some kind of loaded gun Boy, you never thought I’d run   Sometimes, in the middle of the night, I can feel you again But I just miss you, and I just wish you were a better man And I know why we had to say goodbye Like the back of my hand And I just miss you, and I just wish you were a better man A better man Better man   I hold onto this pride because these days it’s all I have And I gave you my best and we both know you can’t say that You can’t say that I wish you were a better man I wonder what we would’ve become If you were a better man We might still be in love If you were a better man You would’ve been the one If you were a better man Yeah, yeah   Sometimes, in the middle of the night, I can feel you again But I just miss you, and I just wish you were a better man And I know why we had to say goodbye Like the back of my hand And I just miss you and I just wish you were a better man   We might still be in love, if you were a better man Better man"
/songs/194808,Little Big Town,Bones,https://genius.com/Little-big-town-bones-lyrics,http://api.genius.com/songs/194808,The Road To Here,2005-10-04," What goes around comes around Feel it breathing down heavy on you You made that bed you're laying on Deeds that you have done, now you can't undo   You've got bones in your closet You've got ghosts in your town Ain’t no doubt, yeah, they're going to come out They're waiting for the sun to go down You can't hide from your demons Feel them all lurking around You're running scared 'cause you know they're out there They're waiting for the sun to go down   It's a long hard row to hoe When seeds that you sow grow by the wicked moon Be sure your sins will find you out Your past will hunt you down And return to tell on you   It all stands to reason Every dog will have his day But your day is leaving Better hold on tight Here comes the night  "
/songs/194806,Little Big Town,Boondocks,https://genius.com/Little-big-town-boondocks-lyrics,http://api.genius.com/songs/194806,The Road To Here,2005-05-02," I feel no shame I'm proud of where I came from I was born and raised in the boondocks   One thing I know No matter where I go I keep my heart and soul In the boondocks  I can feel that Muddy water running through my veins I can hear that Lullaby of the midnight train And it sings to me and sounds familiar   I feel no shame I'm proud of where I came from I was born and raised in the boondocks   I can taste that honeysuckle And it's still so sweet When it grows wild On the banks down at old Camp Creek And it calls to me like a warm wind blowing   I feel no shame I'm proud of where I came from I was born and raised in the boondocks   It's where I learned about living Its where I learned about love Its where I learned about working hard And having a little was just enough It's where I learned about Jesus And knowing where I stand You can take it or leave it This is me This is who I am Give me a tin roof, a front porch, and a gravel road And that is home to me, feels like home to me   I feel no shame I'm proud of where I came from I was born and raised in the boondocks   You get a line I'll get a pole We'll go fishing in the craw fish hole Five card poker on Saturday night Church on Sunday morning"
/songs/194811,Little Big Town,Bring It On Home,https://genius.com/Little-big-town-bring-it-on-home-lyrics,http://api.genius.com/songs/194811,The Road To Here,2006-01-30, You got someone here wants to make it alright Someone who loves you more than life right here You got willing arms that'll hold you tight A hand to lead you on through the night right here I know your heart can get all tangled up inside But don't you keep it to yourself   When your long day is over And you can barely drag your feet The weight of the world is on your shoulders I know what you need Bring it on home to me   You know I know you like the back of my hand But did you know I'm going to do all that I can right here I'm going to lie with you till you fall asleep When the morning comes I'm still going to be right here (yes I am) So take your worries and just drop them at the door Baby leave it all behind   Baby let me be your safe harbor Don't let the water come and carry you away   You got someone here wants to make it alright Someone who loves you more than life right here
