api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2137711,Lukas Graham,7 Years,https://genius.com/Lukas-graham-7-years-lyrics,http://api.genius.com/songs/2137711,Lukas Graham (Blue Album),2015-06-16," Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely Once I was seven years old   It was a big big world, but we thought we were bigger Pushing each other to the limits, we were learning quicker By eleven smoking herb and drinking burning liquor Never rich so we were out to make that steady figure   Once I was 11 years old my daddy told me Go get yourself a wife or you'll be lonely Once I was 11 years old   I always had that dream like my daddy before me So I started writing songs, I started writing stories Something about that glory just always seemed to bore me Cause only those I really love will ever really know me   Once I was 20 years old, my story got told Before the morning sun, when life was lonely Once I was 20 years old  (Lukas Graham!!!)   I only see my goals, I don't believe in failure Cause I know the smallest voices, they can make it major I got my boys with me at least those in favor And if we don't meet before I leave, I hope I'll see you later   Once I was 20 years old, my story got told I was writing 'bout everything, I saw before me Once I was 20 years old Soon we'll be 30 years old, our songs have been sold We've traveled around the world and we're still roaming Soon we'll be 30 years old   I'm still learning about life My woman brought children for me So I can sing them all my songs And I can tell them stories Most of my boys are with me Some are still out seeking glory And some I had to leave behind My brother I'm still sorry   Soon I'll be 60 years old, my daddy got 61 Remember life and then your life becomes a better one I made a man so happy when I wrote a letter once I hope my children come and visit, once or twice a month   Soon I'll be 60 years old, will I think the world is cold Or will I have a lot of children who can warm me Soon I'll be 60 years old Soon I'll be 60 years old, will I think the world is cold Or will I have a lot of children who can hold me Soon I'll be 60 years old   Once I was seven years old, my momma told me Go make yourself some friends or you'll be lonely Once I was seven years old  Once I was seven years old"
/songs/189737,Lukas Graham,Apologize,https://genius.com/Lukas-graham-apologize-lyrics,http://api.genius.com/songs/189737,Lukas Graham [International Edition],2012-03-26," Baby got me smiling, forgetting all her flaws My angel lost her halo, so I put her next to God   I called her my angel, gave her all my time And she was the kind of woman Who could give me peace of mind But now it's over, she betrayed me   How does the defendant plead?   I'm not guilty, there's nothing I did wrong What I did was all her fault And I won't apologize I won't apologize for what she made me do I won't apologize to you   Sit down, young man, or I will hold you in contempt of this court   Baby got me smiling, forgetting all her flaws My angel lost her halo, so I put her next to God   I took her for a picnic, asked her, ""Is it true?"" She said, ""Yes and I'm sorry, I never meant to hurt you"" She began to worry, I said ""I'm still in love And you can't keep on living if you don't think I'm enough"" And now it's over, she betrayed me   How does the defendant plead?   I'm not guilty, there's nothing I did wrong What I did was all her fault And I won't apologize I won't apologize for what she made me do I won't apologize to you   I'm dismissing this case on the grounds of insubstantial evidence   Policeman got me smiling, he thinks I'll go to jail But I got proper lawyers so I told him ""go to hell"" The judge is asking questions, I don't know what to say Only that she slept around and that she deserved to pay   And I won't apologize, I won't apologize There's nothing I did wrong What I did was all her fault And I won't apologize I won't apologize for what she made me do I won't apologize to you"
/songs/189735,Lukas Graham,Before The Morning Sun,https://genius.com/Lukas-graham-before-the-morning-sun-lyrics,http://api.genius.com/songs/189735,Lukas Graham [International Edition],2012-03-26," Sitting awake before the morning sun Only 'cause I couldn't fall asleep while the night was young I'm restless, can't call myself stressless These past weeks have left me breathless and senseless My brother from another mother lost a brother My father lost his father, I lost a friend Something that I couldn't comprehend We'll never see these men again Once upon a time life was so innocent   We're past the past The now is now The future will be here in a minute But I don't care what's going down, anyhow   I miss the time with the many smiles When we could always stretch it for a little while Now you're gone and it feels like I'm alone Oh, God damn it, how I miss you so Sometimes it will feel time can stop Sometimes I feel like giving up But then I hear a voice inside of me Saying, better die with your chin up than living on your knees Daydreaming is okay sometimes But to face the facts really hurts And when you finally feel the weight of your burden Get up again if you kiss the dirt I'd rather live one day as a lion Than live a hundred years as a sheep I'd rather reign in hell than serve in heaven Live my dreams out in reality and not in my sleep   The past is gone The now is now The future will be here in a minute But I don't care what's going down, what's going down   People tell me, pick yourself up off the road Can't I just stay and get squashed like a little toad? They'll say, you have a burden to carry Somewhere along the line, there's a girl to marry But don't worry, I'll get up I won't give it up even if it won't stop Hurting in my heart now that we're apart My chronic pain is about to start, will it be hard? I'd rather live one day as a lion Than live a hundred years as a sheep I'd rather reign in hell than serve in heaven Live my dreams out in reality and not in my sleep   We're past the past The now is now The future will be here in a minute But I don't care what's going down 'Cause we're past the past The now is now The future will be here in a minute But I don't care what's going down, anyhow"
/songs/189711,Lukas Graham,Better Than Yourself (Criminal Mind Pt. 2),https://genius.com/Lukas-graham-better-than-yourself-criminal-mind-pt-2-lyrics,http://api.genius.com/songs/189711,Lukas Graham [International Edition],2012-10-22," I got the letter back, saying I can come and see you I really don't have time, but promised that I'd come and see you You're sitting far away, but do you know I sometimes need you I know that you deserve the time you got, of all the people I know you never bent, even in the strongest wind I really wished to every God that you were innocent I'm happy and I'm proud that I can still call you my friend I hope you read the letters and the magazines I send   You got your head up But I don't have my hopes high I know that you're a good man And that's what brings a tear to my eye   I'm like, oh I hope you know you're not alone in that hell And there ain't no No one can change it, no one can do it better but yourself   I was sixteen and we used to roll together You told me back then that I was meant for something better You know in our life nothing's gon' change but the weather It seems it been forever since we really stuck together I'm living a crazy life, I wish that you could see it too See a thousand people sing my song from me to you Every time I sing it, you know I'm bleeding too Man, I accept you as you are, no, I don't need the truth   I got my head up But I ain't got my hopes high See, I know you're a good man And it, it brings a tear to my eye   And I'm like, oh I hope you know you're not alone in that hell And there ain't no No one can change it, no one can do it better but yourself   I reminisce to back then when it was you and I Smoking big fat blunts, drive-in movie night They tried to get you down, but you refused to die They tried to give you angel wings, but you refused to fly You'd rather stay in hell, and take your time in jail They're only punishing a soul that you will never sell We both know that we owe nothing to each other But can you blame me for loving and missing my brother?   Oh I hope you know you're not alone in that hell And there ain't, no No one can change it, no one can do it better but yourself Oh I hope you know you're not alone in that hell And there ain't, no No one can change it, no one can do it better but yourself"
/songs/189729,Lukas Graham,Criminal Mind,https://genius.com/Lukas-graham-criminal-mind-lyrics,http://api.genius.com/songs/189729,Lukas Graham [International Edition],2012-01-01," Years gone by and I miss you I can't describe what you been through But you're gone We do what we believe in Set a goal and stop dreaming I'm not saying you're wrong   But every time you're going in I'm asking myself why Hoping, oh, just hoping you won't go, ho, oh, oh I know you're proud of me, you're holding your head high It's ok, it's ok, it's ok, it's ok   'Cause I know I'll get you back Though I know your mind is criminal It don't matter, no, that you're going in again I know I'll get you back Though I know your mind is criminal I got women for you, man, when you're coming out again   You know I could have been with you Been with you, done what you been through I had a chance to choose When enough's enough will you know it? When you reach your goal will you hold it? I'm afraid you're gonna lose   But every time you're going in I'm asking myself why Hoping, oh, just hoping you won't go, ho, oh, oh I know you're proud of me, you're holding your head high It's ok, it's ok, it's ok, it's ok   'Cause I know I'll get you back Though I know your mind is criminal It don't matter, no, that you're going in again I know I'll get you back Though I know your mind is criminal I got women for you, man, when you're coming out again   I know I'll get you back, a criminal, a criminal I know I'll get you back, a criminal, a criminal I know I'll get you back, a criminal, a criminal I know I'll get you back, a criminal, a criminal"
/songs/2275738,Lukas Graham,"Daddy, Now That You're Gone (Ain't No Love)",https://genius.com/Lukas-graham-daddy-now-that-youre-gone-aint-no-love-lyrics,http://api.genius.com/songs/2275738,Lukas Graham [International Edition],2012-11-12," Ain't no love In the heart of the city Daddy, there ain't no love In the heart of town Oh daddy, there ain't no love In the show of them pity Daddy, there ain't no love 'Cause you ain't around   When you were mine I was feeling so good 'Cause you loved this neighborhood Oh daddy, now that you're gone You know the sun don't shine From the city, oh, to the county line   That's why I say that there ain't no love In the heart of the city Daddy, there ain't no love In the heart of town No daddy, ain't no love In the show (meant) of the pity Daddy, there ain't no love 'Cause you ain't around   Every place where I go And I would seem so strange Without you there, things have changed Oh daddy, now that you're gone You know the sun don't shine From the city, oh, to the county line, yeah   That's why I say there ain't no love In the heart of the city Daddy, there ain't no love In the heart of town No daddy, ain't no love In the show of them pity Daddy, there ain't no love 'Cause you ain't around   The rusty trombones   Oh daddy, now that you're gone You know the sun don't shine From the city, oh, to the county line, yeah Oh daddy, now that you're gone You know the sun don't shine From the city, oh, to the county line   That's why I say there ain't no love Ain't no love Ain't no love Ain't no love Ain't no love Ain't no love Ain't no love Ain't no love"
/songs/189730,Lukas Graham,Don't Hurt Me This Way,https://genius.com/Lukas-graham-dont-hurt-me-this-way-lyrics,http://api.genius.com/songs/189730,Lukas Graham [International Edition],2013-02-01," Sunday morning Tryna clear my head I don't remember what I did, I can't remember shit But I feel good You know you've got to leave But now you want me, you really want me Now you're on your knees begging please, oh And acting kind of strange Telling me how much you want me, but this can never change I used to want you, now it's not the same What you give is what you get I said no but you're still begging   Baby, don't hurt me, don't hurt me this way I thought we agreed that we both felt the same Baby don't hurt me, it's not okay You said   I know I told you Girl, there's no excuse We both helped to draw the line, you had the chance to choose Why you messing Messing with my head Making me feel guilty when you know I'm innocent? Baby, please, oh You were just a fling I never would have started if I knew how it would end All I'm asking is take this pain away What you give is what you get I said no but you're still begging   Baby, don't hurt me, don't hurt me this way I thought we agreed that we both felt the same Baby don't hurt me, it's not okay You said   You said it meant nothing to you That it was alright with you Don't ask me what I can't do So why you being unfair? So why you being so cruel? So why you being this mean? What have I ever done to you? But you're still begging   Baby, don't hurt me, don't hurt me this way I'm sorry, I can't take your pain away So baby, don't hurt me, it's not ok You said   So baby, don't hurt me, don't hurt me this way I thought we agreed that we both felt the same So baby don't hurt me, it's not okay You said"
/songs/2276685,Lukas Graham,Don't You Worry 'Bout Me,https://genius.com/Lukas-graham-dont-you-worry-bout-me-lyrics,http://api.genius.com/songs/2276685,Lukas Graham (Blue Album),2015-06-16," Hey my friend, how you've been? What are you going through? What is this trouble, that's troubling you? He tried to turn the thing around And asked me how I've been I said, I really don't know where to begin (Bad girl) I saw my life come crashing down I crawled, I walked, I'm flying now I found my strength on my knees   Don't you worry 'bout me Don't you worry 'bout me (Hey I'm serious man) Don't you worry 'bout me Don't you worry 'bout me   A lot of people told me When daddy passed away Go take some time off But I've got no time to waste Don't you have a dream too Some goals you've got to make You may feel small sometimes It don't mean you can't be great I saw my life come crashing down I crawled, I walked, I'm flying now I found my strength on my knees   Don't you worry 'bout me Don't you worry 'bout me Don't you worry, worry, worry Don't you worry 'bout me Don't you worry 'bout me   Sometimes your life can bring you down Sometimes you run for miles and miles Sometimes you scream without hope  Now once you feel you hit the ground Then victory comes back around And you'll be proud to let them know   Don't worry 'bout me Don't you worry 'bout me (Play that bass, Magnum!) Don't you worry 'bout me-e-e-e-e-e-e-e-e-e-e Don't you worry 'bout me No, don't you worry 'bout me Oh please Don't you worry, worry, worry, worry No, don't you, don't you, worry 'bout me-e-e-e-e-e-e-e-e-e-e Don't you worry 'bout me Don't you worry 'bout me"
/songs/189716,Lukas Graham,Drunk In the Morning,https://genius.com/Lukas-graham-drunk-in-the-morning-lyrics,http://api.genius.com/songs/189716,Lukas Graham [International Edition],2012-02-13," Girl, I got one question, are you still awake? Awake enough for me to see you (see you) Please just listen, yes, I know it's late But better late than never   I know it's five in the morning, morning Not sure who I'm calling, calling You haven't heard from me in some time Girl, I hope you want it, want it When you hear me talking, talking You know I've been out and is it ok I stop by?   When I'm drunk in the morning I'm calling you You might be lonely, lonely When I'm drunk in the morning I'm calling you You might be lonely, lonely   Emma I did, and Sophie I kissed, baby Sarah I had in my hand, but I'm calling you But not before it's past two o'clock 'Cause I'm balling with my boys, my boys, my boys   I know it's five in the morning, morning Not sure who I'm calling, calling You haven't heard from me in some time Girl, I hope you want it, want it When you hear me talking, talking You know I've been out and is it ok I stop by?   When I'm drunk in the morning I'm calling you You might be lonely, lonely When I'm drunk in the morning I'm calling you You might lonely, lonely   I know you're glad I called, now you can have it all When we're together you'll know how it should be When you're drunk Maybe we should go and spend some time alone Baby, you're so beautiful When I'm drunk, when I'm drunk, yeah   When I'm drunk in the morning I'm calling you You might be lonely, lonely When I'm drunk in the morning I'm calling you You might lonely, lonely"
/songs/3944408,Lukas Graham,Everything That Isn't Me,https://genius.com/Lukas-graham-everything-that-isnt-me-lyrics,http://api.genius.com/songs/3944408,3 (The Purple Album),2018-10-26," I could have been a better brother I could have been a better son I'm sorry for the pain I caused you And all the worries that I gave you, mom Every time there was a riot I couldn't ever stay at home I had to run and join the fire You and dad said no, but I had to go You were still the best of mothers And now I know the fear you felt for me You told me to stay off the streets 'cause You didn't like me out there selling weed   I don't regret the things I've done They made me what I am, you see I can't apologize forever For everything that isn't me   I could have been a better brother I could have been a better friend I hope you know how much I love you And if you don't, I really understand I used to be so bloody selfish I tried to make it to the top, you see The only thing I didn't get is You've always given me the help I need I should have been a better brother It's easy now to see it clear I'm sorry that I hurt you all and I'm sorry that I caused you all so many tears   I could apologize forever For everything, I couldn't be I can't apologize forever For everything that isn't me   I could have been a better lover I could have been a better man I'm sorry that I work so much and The fact that I never really have a plan I'm sorry, oh, I'm so sorry That it's so hard to say this word And even with all the things we've been through Sometimes I think that I will never learn I could have been a better lover I could have been a better man I'm gonna be a better father Hell, I'm doing everything I can   And I will live with this forever With everything, I couldn't be I can't apologize forever For everything that isn't me   I could have been a better brother I could have been a better son I could have been a better lover But in the end, I'm your only one"
