api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/318115,Madonna,Across the Sky,https://genius.com/Madonna-across-the-sky-lyrics,http://api.genius.com/songs/318115,None,2019-03-06," I’m no stranger to deception I have lied and been lied to I’m no paragon of virtue But I want to be with you I have never been a righteous soul And I don’t pretend I am But I walk the line when I’m with you Because you make me believe I can   But we’re running out of options And we’re running out of time And I don’t know if it’s you or me But it’s time to speak your mind   Because I’m traveling across the sky When you’re with me, your hand in mine Our honesty will make us fly And we’ll be traveling across sky Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh)   I’m not good at keeping quiet And I can’t keep this tied down But it’s got to count for something That we’re still hangin’ around If you need an explanation for What is false and what is true Then I’d rather stop the world than think That I could not be with you   But we’re running out of options And we’re running out of time And I don’t know if it’s you or me But it’s time to speak your mind   Because I’m traveling across the sky When you’re with me, your hand in mine Our honesty will make us fly And we’ll be traveling across sky Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh) Because I’m traveling across the sky When you’re with me, your hand in mine Our honesty will make us fly And we’ll be traveling across sky Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh) Across the sky (oohhhhh)"
/songs/317062,Madonna,Act of Contrition,https://genius.com/Madonna-act-of-contrition-lyrics,http://api.genius.com/songs/317062,Like a Prayer,1989-03-21," For thou art the Kingdom and the Power and the Glory Forever and ever, amen Hail Mary, full of grace, the Lord is with thee Blessed art thou amongst women And blessed is the fruit of thy   Oh my God I am heartily sorry for having offended Thee And I detest all my sins because of Thy just punishment But most of all, because I have offended Thee Oh my God   Who art all good and deserving of all my love I firmly resolve with the help of Thy grace To confess my sins, to do penance, to amend my life And to avoid the temptations of evil   Oh my God I am heartily sorry for having offended Thee And I detest all my sins because of Thy just punishment But most of all, because, my God, I have offended Thee   Who art all good, like I knew you would And deserving of all my love I reserve, I reserve, I reserve I reserve, I resolve I have a reservation I have a reservation What you do you mean it's not in the computer?"
/songs/697461,Madonna,Addicted,https://genius.com/Madonna-addicted-lyrics,http://api.genius.com/songs/697461,Rebel Heart,2015-03-06," I'm under your spell Pulled me in, took me down with your poisonous touch You brought me to hell Watched me burn with the fever that I love so much You're watching me crawl You get your kicks Take your fist, put it right through the wall The drug that I crave You're so clever, you're the devil, watch you slither away   See, I don't know what it is But I'm attracted to the dark And it was easy to predict You were gonna be the one who broke my heart You were gonna be the one who tore it apart Make me fall down on my knees and start to pray You were gonna be the one that got away   Your truth is a lie Bitter fruit, bitter sweet But oh, so divine Now that I've had a taste Like a moth to a flame I'm addicted to pain   See, I don't know what it is But I'm attracted to the dark And it was easy to predict You were gonna be the one who broke my heart You were gonna be the one who tore it apart Make me fall down on my knees and start to pray You were gonna be the one that got away   I'm addicted I'm, I'm addicted I'm addicted I'm, I'm addicted I'm addicted I'm, I'm addicted To the one that got away   See, I don't know what it is But I'm attracted to the dark And it was easy to predict You were gonna be the one who broke my heart You were gonna be the one who tore it apart Make me fall down on my knees and start to pray You were gonna be the one that got away See, I don't know what it is But I'm attracted to the dark And it was easy to predict You were gonna be the one who broke my heart You were gonna be the one who tore it apart Make me fall down on my knees and start to pray You were gonna be the one that got away   I'm addicted I'm, I'm addicted I'm addicted I'm, I'm addicted I'm addicted I'm, I'm addicted To the one that got away"
/songs/3162039,Madonna,Alone With You,https://genius.com/Madonna-alone-with-you-lyrics,http://api.genius.com/songs/3162039,None,2019-03-06," Don't you treat like I'm anybody Not average, I'm not everyone You criticize me like you're something special But you're not This is who I am, not ordinary If you want the prize, better pay the price Pointing out all the flaws in me like you were perfect But you're not   There you go Didn't you make a convenient exit? I'd rather be on my own I'd rather be all alone There's something you didn't know Here you come Trying to make a convenient entrance I'm turning my heart into stone I'd rather be all alone Than be alone with you   Try to shoot me down, it'll ricochet You can't escape, always hear my name I'd like to raise the glass to all your arrogance (look it up) Call it what you want, you're history I'll never understand, you're a mystery You lied with every kiss and all comes down to this   There you go Didn't you make a convenient exit? I'd rather be on my own I'd rather be all alone There's something you didn't know Here you come Trying to make a convenient entrance I'm turning my heart into stone I'd rather be all alone Than be alone with   I'd rather be all alone Now I'm free I'd rather be all alone I'd rather be all alone Now I'm free I'd rather be all alone You can't handle me"
/songs/317204,Madonna,Amazing,https://genius.com/Madonna-amazing-lyrics,http://api.genius.com/songs/317204,Music,2000-09-18," You took a pretty picture And you smashed it into bits Sank me into blackness And you sealed it with a kiss If only I could let you go Why do I need you so?   It's amazing what a boy can do I cannot stop myself Wish I didn't want you like I do Want you and no one else   You took a poison arrow And you aimed it at my heart It's heavy and it's bitter And it's tearing me apart If only I could set you free You worked your way inside of me   It's amazing what a boy can do I cannot stop myself Wish I didn't want you like I do Want you and no one else It's amazing what a boy can do I cannot stop myself Wish I didn't want you like I do Want you and no one else   It's amazing what a boy can say I cannot stop myself Seems I love you more than yesterday Love you and no one else Oh, it's amazing   It's amazing what a boy can do I cannot stop myself Wish I didn't want you like I do Want you and no one else It's amazing what a boy can say I cannot stop myself Seems I love you more than yesterday Love you and no one else   It's amazing Oh, it's amazing I cannot stop myself Wish I didn't Love you and no one else"
/songs/3710263,Madonna,Amazing (Traducción en español),https://genius.com/Madonna-amazing-traduccion-en-espanol-lyrics,http://api.genius.com/songs/3710263,None,2000-09-18,"Tomaste una linda foto Y la rompiste en pedazos Me hundiste en la oscuridad Y la sellaste con un beso Si tan solo pudiera dejarte ir Porque te necesito tanto?  Es increíble lo que un chico puede hacer No puedo contenerme Desearía no quererte como lo hago Te quiero y a nadie más  Tomaste una flecha venesosa Y la clavaste en mi corazón Es pesada y es amarga Y me esta destrozando Si tan solo pudiera liberarte Hiciste tu camino dentro de mí  Es increíble lo que un chico puede hacer No puedo contenerme Desearía no quererte como lo hago Te quiero y a nadie más  Es increíble lo que un chico puede decir No puede contenerme Parece que te amo más que ayer Te amo y a nadie más Oh, es increíble  Es increible lo que un chico puede hacer No puedo contenerme Desearía no quererte como lo hago Te quiero y a nadie más  Es increíble lo que un chico puede decir No puede contenerme Parece que te amo más que ayer Te amo y a nadie más  Es increíble Oh, es increíble No puedo contenerme (desearía no...) Te amo y a nadie más"
/songs/290166,Madonna,American Life,https://genius.com/Madonna-american-life-lyrics,http://api.genius.com/songs/290166,American Life,2003-03-24," Do I have to change my name? Will it get me far? Should I lose some weight? Am I gonna be a star?   I tried to be a boy I tried to be a girl I tried to be a mess I tried to be the best I guess I did it wrong That's why I wrote this song   This type of modern life, is it for me? This type of modern life, is it for free?   So, I went into a bar Looking for sympathy A little company I tried to find a friend It's more easily said It's always been the same   This type of modern life, is not for me This type of modern life, is not for free   American life I live the American dream You are the best thing I've seen You are not just a dream   I tried to stay ahead I tried to stay on top I tried to play the part But somehow I forgot Just what I did it for And why I wanted more   This type of modern life, is it for me? This type of modern life, is it for free?   Do I have to change my name? Will it get me far? Should I lose some weight? Am I gonna be a star?   American life I live the American dream You are the best thing I've seen You are not just a dream   I tried to be a boy I tried to be a girl I tried to be a mess I tried to be the best I tried to find a friend I tried to stay ahead I tried to stay on top Fuck it   Do I have to change my name? Will it get me far? Should I lose some weight? Am I gonna be a star?   Ah, fuck it Ah, fuck it Ah, fuck it Ah, fuck it   I'm drinking a soy latte I get a double shot-e It goes right through my body, and you know I'm satisfied I drive my mini cooper, and I'm feeling super-dooper Yo, they tell I'm a trooper, and you know I'm satisfied I do yoga and pilates, and the room is full of hotties So I'm checking out the bodies, and you know I'm satisfied I'm digging on the isotopes This metaphysics shit is dope, and if all this can give me hope You know I'm satisfied I got a lawyer and a manager, an agent and a chef Three nannies, an assistant, and a driver, and a jet A trainer, and a butler, and a bodyguard, or five A gardener and a stylist Do you think I'm satisfied? I'd like to express my extreme point of view I'm not a Christian and I'm not a Jew I'm just living out the American dream And I just realized that nothing Is what it seems   Do I have to change my name? Am I gonna be a star? Do I have to change my name? Am I gonna be a star? Do I have to change my name?"
/songs/318174,Madonna,American Pie,https://genius.com/Madonna-american-pie-lyrics,http://api.genius.com/songs/318174,The Next Best Thing: Music From The Motion Picture,2000-02-21," A long, long time ago I can still remember how that music used to Make me smile And I knew that if I had my chance I could make those people dance And maybe they'd be happy for a while   Did you write the book of love And do you have faith in God above If the Bible tells you so? Now do you believe in Rock 'n' roll And can music save your mortal soul And can you teach me how to dance real slow?   Well, I know that you're in love with him 'Cause I saw you dancing in the gym You both kicked off your shoes Man, I dig those rhythm and blues   I was a lonely teenage bronking buck With a pink carnation and a pick-up truck But I knew that I was out of luck The day the music died I started singing   Bye, bye, Miss American Pie Drove my Chevy to the levee But the levee was dry And good old boys were drinking whiskey and rye Singing this'll be the day that I die This'll be the day that I die   I met a girl who sang the blues And I asked her for some happy news But she just smiled and turned away Well, I went down to the sacred store Where I'd heard the music years before But the man there said the music wouldn't play   Well now, in the streets the children screamed The lovers cried, and the poets dreamed But not a word was spoken The church bells all were broken And the three men I admire the most The Father, Son and the Holy Ghost They caught the last train for the coast The day the music died We started singing   Bye, bye, Miss American Pie Drove my Chevy to the levee But the levee was dry And good old boys were drinking whiskey and rye Singing this'll be the day that I die This'll be the day that I die Bye, bye, Miss American Pie Drove my Chevy to the levee But the levee was dry And good old boys were drinking whiskey and rye Singing this'll be the day that I die This'll be the day that I die   We started singing We started singing We started singing We started singing"
/songs/316932,Madonna,Angel,https://genius.com/Madonna-angel-lyrics,http://api.genius.com/songs/316932,Like a Virgin ,1985-04-10," Why am I standing on a cloud Every time you're around? And my sadness disappears Every time you are near   You must be an angel I can see it in your eyes Full of wonder and surprise And just now, I realize   Ooh, you're an angel Ooh, you're an angel Ooh, you're an angel in disguise I can see it in your eyes   Walking down a crowded avenue Other faces seem like nothing next to you And I can't hear the traffic rushing by Just the pounding of my heart and that's why   You must be an angel I can see it in your eyes Full of wonder and surprise And just now, I realize   Ooh, you're an angel Ooh, you're an angel Ooh, you're an angel in disguise I can see it in your eyes Ooh, you're an angel Ooh, you're an angel Ooh, you're an angel in disguise I can see it in your eyes   You're an angel You're an angel, baby You're an angel You must be an angel   Now I believe that dreams come true Cause you came when I wished for you This just can't be coincidence The only way that this makes sense is that   Ooh, you're an angel Ooh, you're an angel Ooh, you're an angel in disguise I can see it in your eyes Ooh, you're an angel Ooh, you're an angel Ooh, you're an angel in disguise I can see it in your eyes   You're an angel You're an angel, baby You're an angel You must be an angel, baby   Clouds just disappear"
/songs/318194,Madonna,Animal,https://genius.com/Madonna-animal-lyrics,http://api.genius.com/songs/318194,None,2010-09-06," I can practice restraint if that's what you want Let me zip up my boots, we can go for a walk If I rein you in, you can follow my lead We can ride so fast, just remember to breathe If you start to gear up, then I'll tighten my grip If you try to talk back, I'll be using my whip Might be hard to hear you with my bit in your mouth If it starts to hurt then you'll have to scream loud   There's no use going back 'cause the damage is done Throw away all the rules because it's gonna be now Come on and let yourself go, 'cause there's no time to think Now I'm in control of your animal instinct   If you want, I'll treat you like an animal If you want, I'll feed you like an animal If you want, I'll hunt you like an animal If you want, I'll treat you like an animal   If you misbehave, I can make you submit If you start to act up, I can force you to quit If you want me to break you, I can bring you the heel Won't be hard to tame you when it's me that you fear   There's no use going back 'cause the damage is done Throw away all the rules because it's gonna be now Come on and let yourself go, 'cause there's no time to think Now I'm in control of your animal instinct There's no use going back 'cause the damage is done Throw away all the rules because it's gonna be now Come on and let yourself go, 'cause there's no time to think Now I'm in control of your animal instinct   If you want, I'll treat you like an animal If you want, I'll feed you like an animal If you want, I'll hunt you like an animal If you want, I'll treat you like an animal   If you want, I'll treat you like an animal If you want, I'll feed you like an animal If you want, I'll hunt you like an animal If you want, I'll treat you like an animal"
