api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/4034714,Major Lazer,10 Years and Counting...,https://genius.com/Major-lazer-10-years-and-counting-lyrics,http://api.genius.com/songs/4034714,Major Lazer Essentials,2018-10-20,"[Part 1: Original Don (Flosstradamus Remix)] Run the track Weed is the is original don of all dons (brrrr) Weed is the is original don of all dons Lazer, Lazer  [Part 2: Pon De Floor] Pon De Floor  [Part 3: Keep It Goin' Louder] Girl, I wanna party with you, girl, I wanna  [Part 4: Hold the Line] I make ya', I make ya', I make, I make ya', I make ya'     I'm a believer, I'm a believer I'm a believer, yeah yeah I'm a believer, I'm a believer I'm a believer  [Part 7: All My Love] So start tun it up All my love will make us ache All my love is worth the chase   Bubble butt, bubble, bubble, bubble butt Bubble butt, bubble, bubble, bubble butt Bubble butt, bubble, bubble, bubble butt Turn around, stick it out, show the world you got a  [Part 9: Watch Out For This (Bumaye)] Watch out for this Watch out for this Watch out for this Watch out for this Watch out for this Watch out for this Mash up di place (bumaye)  [Part 10: Light It Up] Stand up like a soldier baby Yeah, I know you're built like that Gun it like a holster baby Show dem' seh' you wicked like that We live where the war is raging Chasing our crazy dreams Hoping that the bridge won't cave in Tonight, we'll let it all go free Gimme di' thing and mek' me rock inna' di dance Gimme di' thing and mek' me rock inna' di' dance Mash it up, hot step inna' di' dance Gimme di' thing and mek' me rock Light it up   Se você não vem eu vou botar pressão Não vou te esperar, tô cheia de opção Eu não sou mulher de aturar sermão Me encara, se prepara Que eu vou jogar bem na sua cara Bem na sua cara Eu vou rebolar bem na sua cara Bem na sua cara Hoje eu vou jogar bem na sua cara   All around, the wind blows We would only hold on to let go Blow a kiss, fire a gun We need someone to lean on Blow a kiss, fire a gun All we need is somebody to lean on  [Part 13: Come On To Me] Girl come on to me Girl come on to me Girl come on to me Come over here and perform for me Girl come on to me Girl come on to me Girl come on to me   You need to know that I'm a rider You need to know that I'm a rider Tonight we gonna set the streets on fire All I need is the gas and the lighter And we'll have one hell of a time  [Part 15: Know No Better] Wrist lookin' like it been dipped Dipped in that, dipped in that, dipped in that Script lookin' like it been flipped Flippin' that, flippin' that, flippin' that (yah) Pull up in that foreign, my God (skrrt, skrrt)  [Part 16: We Make It Bounce] We make it bounce, yeah   I'ma run up on you I'ma run up on you I'ma run up on you I'ma run up on you I'ma run up on you   I like you, girl, in particula You in particula Said I like your waist in particula, ah ha, eh I like you, girl, in particula, yeah You in particula Said I like your waist in particula, ah ha, eh   Baby got ass like a trunk Took her from her man, he a punk She got a body like Baywatch I met her at the Playhouse Ten bottles, bought ten more Told her move her ass to the tempo Is you really with the shit, though? Really, is you really with the shit, though?   I won't let go I'll be your lifeline tonight I won't let go I'll be your lifeline tonight I won't let go I won't let go   Never got love from a government man Heading downstream till the levee give in What can I do to get the money? We ain’t got the money, we ain’t getting out Look at me I just can’t believe what they’ve done to me We could never get free I just wanna be (I just wanna be) Look at me I just can’t believe what they’ve done to me We could never get free I just wanna be I just wanna dream (dream, dream, dream)"
/songs/1788483,Major Lazer,2 Cups,https://genius.com/Major-lazer-2-cups-lyrics,http://api.genius.com/songs/1788483,None,2019-03-22," Naw mean? It got me tripping! Fuck around, double cup Slow your whole town down   Do-Do-Double cup I done got 2 cups, filled 'em-filled 'em up I done scooped 2-2 gallons, purple s-purple stuff I done took over your town, finna run amok Aww shit look who it is Do-Do-Double cup I done got 2-2 cups I filll-filled 'em up I done scooped 2-2 gallons of pur-purple stuff I done took over your town, 'bout run 'em up I run 'em up know who it is, this that double cup   2 gallons of codeine man, I wish you would I'm sippin' mud on a tuesday and I'm feeling good You civilians movin' fast, I can slow you down Enough syrup on my crown to slow your town down I spilled purple on the ground, I grew pur-purple mountain Purple panthers in my house, syrup water fountain (that codeine) Don't gamble with the dealer, I'ma pharmacist Purple rain on my diamonds, a-aquaberry fist My rubby wrist glist when I wood wheel twist I done got a mix formula with the quiet kiss Aww shit look who it is, The Codeine Scientist It's double cup, finna run 'em up   Yeah, you boys think you got somethin' in town Shit, wait 'til I come around, I'ma slow your whole city down Drippity drop, 1 drippity drop at a time 2 cups, double cups I poured up some purple stuff That's right Pourin' purple stuff all over your city Makin' everybody go to sleep Go to sleep nap boys You boys are screwed now Double cup Man, it's double cup"
/songs/351830,Major Lazer,Aerosol Can,https://genius.com/Major-lazer-aerosol-can-lyrics,http://api.genius.com/songs/351830,Apocalypse Soon - EP,2014-01-31,"[Produced by Diplo & Boaz van de Beatz]   We behaving bad We behaving bad Fast wine slow wine (we behaving bad) We behaving bad We behaving bad Fast wine slow wine (we behaving bad)   Yo! When I was young and my dad had a reefer house I'd catch a contact and talk like Eek-A-Mouse Go to school act like I'm pulling reefer out Kinda funny cause I used to freak my teachers out Like ""dong dong diddy dong dong"", seen? So much mi go teach ya bout Peace to the one Black Chiney and the heaters out In the club, everybody on Sinatra Look around, everybody on Sinatra I ain't talking bout this shit they call Coke and vodka I'm talking bout the shit you snort and go ""ha ha ha ha ha ha ha"" I mean just go bonkers Make the young girls wild, and then go topless Make the dope boy smile they don’t need binoculars Make a nigga wanna pull out choppas Brrap brrap brrap they got ya   Ring, bom bom bom bom Aerosol can, bom bom bom bom Monkey outside, bom bom bom bom Shooting all night, bom bom bom bom Bom to the bom to the clang clang clang Banging on that ass like orangutan Motherfucker transform to a grown man And transform again like (We behaving bad)   Skateboard can a nigga make more? Steal my style? I ain't got no reward Like hmm, make yourself bigger like mushroom Mario Kart All y'all niggas wanna get like me All y'all niggas wanna spit like P Missin' ass niggas wanna hit like me Meanwhile yo bitches wanna kiss my D Child Rebel Soldier hit that ass for the combo AK-47 and the dress on a rhino boom Commodore like Lionel zoom Hauling that ass like a new Veyron Am I wrong? Riding with my bitch mane all night long One second I'm here next second I’m gone That’s two in 60 seconds nigga what you want? Girls on me like they superglued on My dick like a table you can place food on Make Szechuan, or Hunan Nigga I’m hot like the place Mulan   Ring, bom bom bom bom Aerosol can, bom bom bom bom Monkey outside, bom bom bom bom Shooting all night, bom bom bom bom Bom to the bom to the clang clang clang Banging on that ass like orangutan Motherfucker transform to a grown man And transform again like (We behaving bad)   Nigga I'm hot like the place Tucson BBC ICECREAM skewed on No discounts, no coupons But I got the Rolls Royce for the Grey Poupon Now you jealous with your face screwed on Who on? Nigga you on? Feeble ass niggas only get booed on Shitty attitude get pissed and pooed on Fucking with P? You wrong Retreat nigga, you don’t wanna feud on Your nerves ain't there for a big dude on Stompin' that ass until you gone Hoping that you make it home wit' yo shoes on While I'm tourin' these booties, scoring these movies I know that I made it when I’m chilling with Stewie Ask Marc Jacobs what I did for Louis Sunglasses campaign and jewelery Ask Alber how he really wanna use me Comme Des Garçons I ain't usin' that loosely Look at your forehead sweating profusely   Ring, bom bom bom bom Aerosol can, bom bom bom bom Monkey outside, bom bom bom bom Shooting all night, bom bom bom bom Bom to the bom to the clang clang clang Banging on that ass like orangutan Motherfucker transform to a grown man And transform again like (We behaving bad)   Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine (we behaving bad) Fast wine slow wine we be, we behaving bad"
/songs/3952917,Major Lazer,All My Life,https://genius.com/Major-lazer-all-my-life-lyrics,http://api.genius.com/songs/3952917,Afrobeats (DJ Mix),2018-09-14," Major Lazer, Burna Boy and Major Lazer Major Lazer   How I me do Pick up the package dawg This a military ting like I come from Afghanistan Dressed in camouflage Before I turned 21 I was already savage dawg I tell ya yeah, pull up in a foreign whip, foreign girl ah me passenger Let 'em have it dawg Call up my manager They can pay for the damages   I hope you’re listening Inna me yard and the gyal dem ah visiting Eh Snapchat dem ah video I say which kind level be this o My people work, so we get to chop Many things they happen wey we never talk Me I no dey talk cause you know say I be boss I just want the weed and the girls of course   I’ve been waiting all my life for this type of vibe Wanna see a million lights, light up my life I’ve been waiting all my life for this type of vibe Wanna see a million  lights, light up my life   When girls come I no wan sit down Mo ma n gbadu awon Omo, Gidi gan gan When girls come I no wan sit down Mo ma n gbadu awon Omo, Gidi gan gan   Too much gyall inna me life Gyal dem ah say they love me style Say me sweet and me nice Nuffa dem wan be me bride We coulda never split and divide And me set dem soul on fire No one fi do dem right So me get any girl that me like   I hope you’re listening Inna me yard and the gyal dem ah visiting Eh Snapchat dem a video I say which kind level be this o My people work, so we get to chop Many things they happen wey we never talk Me I no dey talk cause you know sey I be boss I just want the weed and the girls of course   I’ve been waiting all my life for this type of vibe Wanna see a million lights, light up my life I’ve been waiting all my life for this type of vibe Wanna see a million  lights, light up my life   When girls come I no wan sit down Mo ma n gbadu awon Omo, Gidi gan gan When girls come I no wan sit down Mo ma n gbadu awon Omo, Gidi gan gan   Pick up the package dawg This a military ting like I come from Afghanistan Dressed in camouflage Before I turned 21 I was already savage dawg"
/songs/579681,Major Lazer,All My Love,https://genius.com/Major-lazer-all-my-love-lyrics,http://api.genius.com/songs/579681,Major Lazer Essentials,2014-11-17," Sometimes I think we're the brightest stars And I try to believe we'll find a way Will life change, will our hearts turn colder? (Major Lazer) All the rhythms in my heart lift me up inside We can stay out of the trouble, is it worth the blame? Is it true that the more you give, the more they take? All the rhythms in my heart lift me up and say   Only love will make us ache Only love is worth the chase All my love, I know we're waiting for this On the rocks upon the mountain tops   All my love All my love All my love Up on the mountain top   All the rhythms in my heart lift me up and say We're just a mess of broken people but we love the game I would do anything for us, it's worth the pain All the rhythms in my heart lift me up and say   Only love will make us ache Only love is worth the chase All my love, I know we're waiting for this On the rocks upon the mountain tops   All my love All my love All my love Up on the mountain top   You're always on my mind Oh, there'll come a day Day where we can fly Reach the glory haze, oh, hey High up in the sun in the brighter sky Sun in the brighter sky   Only love will make us ache Only love is worth the chase All my love, I know we're waiting for this On the rocks upon the mountain tops   All my love All my love All my love Up on the mountain top"
/songs/1840672,Major Lazer,Baby,https://genius.com/Major-lazer-baby-lyrics,http://api.genius.com/songs/1840672,Guns Don't Kill People... Lazers Do,2010-08-30," Hey, calm down now Don’t get your diapers in a bunch There'll be nipple for lunch Oh my goodness You have built-in autotune You better stop that mechanical crying soon Hey imagine, just couple months ago you was in my testical, now you are screaming and watching great spectacle This generation is going to destroy di nation Everybody getting aggressive, some time for you to get aggressive and answer somebody To calm down is more progressive Man love tell man 'bout their mudda all the time, this is Major Lazer response rhyme   Mi say Lazer, suck your mudda, we get milk from cheese Put one two in your mudda, suck she That is wrong type of argument, trust me For it could leave one of us dead and dusty Nowadays, our social skills rusty Just to say good morning to stranger is danger I enjoyed my mother's breast milk I love for all women's breast milk I stray from topic but That breast is yours, this breast is mine Don't get out of line  (It's going down with Major Lazer, baby!)"
/songs/4318724,Major Lazer,Bang Bang,https://genius.com/Major-lazer-bang-bang-lyrics,http://api.genius.com/songs/4318724,None,2019-03-22," People [?], bleed for your work Bang bang, girl, you don't know anything about love Run for your life, [?] Bang bang, girl, you don't know anything about love People [?], bleed for your work Bang bang, girl, you don't know anything about love [?]   Yeah, man Day by day by day, so tell me what she say Tell me that she love me, but I can't walk away Okay, and now I'm feeling bad She just so damn bad And I don't know why I still stay, oh Help is on the way, I'll tell you what I pay [?], the money took the aim Saw me on the poster, got caught up in the game All the shots I gave us, will never be the same Ohh   People [?], bleed for your work Bang bang, girl, you don't know anything about love (No) Run for your life, [?] Bang bang, girl, you don't know anything about love   Bang bang, ooh, I shot her heart out Know that it's my fault, she's way too comfortable This close to danger I just wanna be the one to light the fire [?] Well, if the gun goes off, shootah, shootah, bang bang Well, if the gun goes off, shootah, shootah, shootah Ahh, bang bang (Bang bang)   Crazy was her name (Crazy was her name) Hazel was her eyes (Hazel was her eyes) Money was her thing ([?]) She was in disguise I had to do what I had to do to defend myself She's too perfect I always lose when I never choose to defend myself She mighta heard me   People [?], bleed for your work Bang bang, girl, you don't know anything about love (No) Run for your life, [?] Bang bang, girl, you don't know anything about love   Bang bang, ooh, I shot her heart out Know that its my fault, she's way too comfortable This close to danger I just wanna be the one to light the fire [?] Well, if the gun goes off, shootah, shootah, bang bang Well, if the gun goes off, shootah, shootah, shootah Ahh, bang bang (Bang bang)   I just wanna be the one to light the fire [?]"
/songs/1872595,Major Lazer,Be Together,https://genius.com/Major-lazer-be-together-lyrics,http://api.genius.com/songs/1872595,Peace Is the Mission,2015-06-01," Let me escape in your arms Baby I'm yours, baby I'm yours Love don't come easy at all I miss you so much, I miss you so much   Tell me, is this freedom, baby? Chasing after danger, making my heart race, woah   Maybe if the stars align, maybe if our worlds collide Maybe on the dark side we can be together, be together Maybe in a million miles, on a highway through the skies Someday soon, we'll be together   He was a dreamer at heart Chasing the stars, chasing the stars Wings spread to the sun I miss you so much, I miss you so much   Tell me, is this freedom, baby? Chasing after danger, making my heart race, woah   Maybe if the stars align, maybe if our worlds collide Maybe on the dark side we can be together, be together Maybe in a million miles, on a highway through the skies Someday soon, we'll be together   We'll be together, we'll be together We'll be together, we'll be together We'll be together, we'll be together We'll be together, we'll be together   Maybe if the stars align, maybe if our worlds collide Maybe on the dark side we can be together, be together Maybe in a million miles, on a highway through the skies Someday soon, we'll be together Maybe if the stars align, maybe if our worlds collide Maybe on the dark side we can be together, be together Maybe in a million miles, on a highway through the skies Someday soon, we'll be together"
/songs/1872601,Major Lazer,Blaze Up the Fire,https://genius.com/Major-lazer-blaze-up-the-fire-lyrics,http://api.genius.com/songs/1872601,Peace Is the Mission,2015-06-01," And me just blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, reload, blaze up di fire  [Verse 1 - Major Lazer & Chronixx] Some a dem a evil from dem christen So one by one dem a miss’n Nah beat dem wid batten fi dem go fatten inna prison When binghi drum start whistle Babylon drop and cripple Dem judgement double and triple Cause dem heart come in like icicle   Me just blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, reload, blaze up di fire, reload  [Verse 2 - Major Lazer & Chronixx] Look how mi ease pon top a di riddim And how mi did ease from in di beginning And den mi just ease and sekkle and cease and trample di beast A Rastafai seh him bruk di seven seal Again I say fi ease and sekkle and cease Wha' me do?   Me just blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, blaze it 'til a morning Blaze up di fire, reload, blaze up di fire, reload  [Verse 3 - Major Lazer & Chronixx] Di youths dem a di future, dem a gwan like dem a di least What you reap is what you sew, mi she you sew what you reap Until di day harvest, the tiers grow with di wheat Mi know dem a vampire cause dem show mi di teeth Well mi just blend up a cup a juice weh full a all kinda sit’n Real Rastaman a lion cyah come tek man fi kitten Mi ready fi chant down Babylon dem sins cyah forgiven Mi rock and pop off, wheel out dem cyah believe what we risen   And me just blaze up di fyah, blaze it till a morning Blaze up di fyah, blaze it till a morning Blaze up di fyah, blaze it till a morning Blaze up di fyah Me just blaze up di fyah, blaze it till a morning Blaze up di fyah, blaze it till a morning Blaze up di fyah, blaze it till a morning Blaze up di fyah"
/songs/3970702,Major Lazer,Blow That Smoke,https://genius.com/Major-lazer-blow-that-smoke-lyrics,http://api.genius.com/songs/3970702,Major Lazer Essentials,2018-10-17," Darkness bring out our emotions Mix 'em up with night life potions (I lose my head for you) Countless times we catch the sunrise Fix 'em, scars we share with white lies (I lose my head for you)   I got the keys to Heaven now Baes all around and they got my mind spinning I got the keys to Heaven now Baes all around and they got my mind spinning I got the keys to Heaven now Baes all around and they got my mind spinning Suddenly doors just open wide Doors open wide   Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me, oh   So good, so good for me So good for me (Lala) So good, so good for me   Pretty pictures keep me dreaming Living big but still deceiving (I lose my head for you) I'm in deep but I don't mind I want that moment, one of a kind   I got the keys to Heaven now Baes all around and they got my mind spinning I got the keys to Heaven now Baes all around and they got my mind spinning I got the keys to Heaven now Baes all around and they got my mind spinning Suddenly doors just open wide Doors open wide   Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me, oh   You're so good for me So good, so good for me So good for me, so good for me So good, so good for me   Love that fire Memories Floating higher Good for me (So good for me) Love that fire Memories Floating higher You're so good for me   Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me Blow that smoke and let me love that fire I don't need no memories Bed is broken now I'm floating higher This madness so good for me, oh   You're so good for me So good, so good for me So good for me So good, so good for me"
