api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/725407,Martin Garrix,Don't Look Down,https://genius.com/Martin-garrix-dont-look-down-lyrics,http://api.genius.com/songs/725407,Now That's What I Call Music! 91,2015-03-17," Is your head spinning? Is your heart racing? Is that fire in your veins? Are your bones burning? Is your skin yearning? Cause you're driving me insane   I kinda feel like I, feel like I saw the light You got me way up, a thousand miles Can we stay right here in this atmosphere Like we're flying in outer space?   Don't look down Up this high, we'll never hit the ground Don't look down See that sky, we're gonna reach it now Do you feel the lightning inside of you? Will you follow through if I fall for you? Don't look down Up this high, we'll never hit the ground   Are your hands shaking? Are your fists breaking? Are you climbing over walls? Are the times changing? Is the noise fading? Cause I wanna get it out   I kinda feel like I, feel like I saw the light You got me way up, a thousand miles Can we stay right here in this atmosphere Or are you afraid to fall?   Don't look down Up this high, we'll never hit the ground Don't look down See that sky, we're gonna reach it now Do you feel the lightning inside of you? Will you follow through if I fall for you? Don't look down Up this high, we'll never hit the ground   Don't look down Up this high, we'll never hit the ground Don't look down See that sky, we're gonna reach it now Do you feel the lightning inside of you? Will you follow through if I fall for you? Don't look down Up this high, we'll never hit the ground   Do you feel the lightning inside of you? Will you follow through if I fall for you? Don't look down Up this high, we'll never hit the ground"
/songs/4055879,Martin Garrix,Dreamer,https://genius.com/Martin-garrix-dreamer-lyrics,http://api.genius.com/songs/4055879,None,2018-11-01," I'm a dreamer Don't tell me not to dream I got freedom And that's everything to me It don't matter What I've got or where I go I'll find shelter a million miles from home It ain't easy to keep going when it's hard Keep shining in the dark When you wanna fall apart But I'm a dreamer So don't tell me not to dream I'm a believer   As long as I got something to believe in As long as I got something to believe in As long as I got something to believe in As long as I got something to believe in As long as I got something to believe in   I'm a lover Don't tell me who to love I'm a runner 'Cause I've got somewhere to run I just listen to the voices in my head When they tell me I'll always have something to believe in   As long as I got something to believe in As long as I got something to believe in As long as I got something to believe in As long as I got something to believe in   You got to believe Hey hey You got to believe You know you got to believe You got to believe I got to believe You got to believe in You got to believe You got to believe You got to believe Ooh yeah You got to believe Hey hey You got to believe in Come on Oh, you got to, we got to, she got to, he got to You got to believe You got to believe You got to believe in Hey hey You got to believe In the morning, in the evening You got to believe Late at night to go You got to believe You got to believe You got to believe in Oh yeah   I don't believe I don't believe You got to believe"
/songs/487646,Martin Garrix,Gold Skies,https://genius.com/Martin-garrix-gold-skies-lyrics,http://api.genius.com/songs/487646,Gold Skies - EP,2014-07-08," See the smoke when the sun shines We will forever be faded under gold skies Captivated in your cold eyes We will forever be faded under gold skies See the smoke when the sun shines We will forever be faded under gold skies Captivated in your cold eyes We will forever be faded under gold skies   Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever  Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever   Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up!   We will forever be faded under gold skies   Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever  Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever  Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever  Coming up, you're coming down Look at all this love we found Touch the sun, feel me now We will live forever   Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up! Coming up!   We will forever be faded under gold skies"
/songs/3857397,Martin Garrix,High On Life,https://genius.com/Martin-garrix-high-on-life-lyrics,http://api.genius.com/songs/3857397,None,2018-07-30," Killed the demons of my mind Ever since you came around We're a river, running wild How could I have been so blind?   I just live a fast life Forget about the past time I numb out to escape my feels And friendships only pass by Show up, gone, like strobe lights But with you, I feel something real   And I'd walk a million miles, just to see you smile 'Til the day I die Oh, I need you by my side, we get high on life 'Til the day we die High on life 'til the day we die High on life 'til the day we die High on life 'til the day we die And I'd walk a million miles, just to see you smile 'Til the day I die   High on life 'til the day we die   Through my fingers, out of sight How could I have let you go? Cutting corners, turning stones But I can only see your ghost   I just live a fast life Forget about the past time I numb out to escape my feels And friendships only pass by Show up, gone, like strobe lights But with you, I feel something real   And I'd walk a million miles, just to see you smile 'Til the day I die Oh, I need you by my side, we get high on life 'Til the day we die   High on life 'til the day we die Oh, I need you by my side, we get high on life 'Til the day we die High on life 'til the day we die   And I'd walk a million miles, just to see you smile 'Til the day I die Oh, I need you by my side, we get high on life 'Til the day we die"
/songs/2883438,Martin Garrix,Hold On & Believe,https://genius.com/Martin-garrix-hold-on-and-believe-lyrics,http://api.genius.com/songs/2883438,Seven - EP,2016-10-19, I thought my heart was gone After I lost it all Felt I was falling down Still I chose to be proud Until I hit the ground   You got me back on my feet again You said that lovers come and they go You said that time will pass but I'll stay your friend I’ll help you up when you feel alone   I was lonely But after all you told me I'd be okay Cause friends are worth a whole lot more than money I hope that everyone who's felt like me Can hold on and believe   I was lonely But after all you told me I'd be okay Cause friends are worth a whole lot more than money I hope that everyone who's felt like me Can hold on and believe   I started looking back At all I used to have I never felt so low Where did everyone go When I need them most   You got me back on my feet again You said that lovers come and they go You said that time will pass but I'll stay your friend I'll help you up when you feel alone   I was lonely But after all you told me I’d be okay Cause friends are worth a whole lot more than money I hope that everyone who's felt like me Can hold on and believe   I was lonely But after all you told me I’d be okay Cause friends are worth a whole lot more than money I hope that everyone who's felt like me Can hold on and believe  
/songs/2459396,Martin Garrix,Lions in the Wild,https://genius.com/Martin-garrix-lions-in-the-wild-lyrics,http://api.genius.com/songs/2459396,Tomorrowland 2016: The Elixir of Life,2016-05-27," Looking out for a new horizon Reaching out, I can almost see the place Holding on with a heart that's frozen In the dark, but I am not afraid No, I am not afraid   We'll be free, but I don't know where we're going You and me, this is our life and we own it Like lions in the wild Like lions in the wild Like lions in the wild   Looking out at the open skyline Reaching out, I can almost touch the place Where the lost ones find their freedom In the dark, but I am not afraid No, I am not afraid   We'll be free, but I don't know where we're going You and me, this is our life and we own it Like lions in the wild Like lions in the wild Like lions in the wild  Like lions in the wild Like lions in the wild"
/songs/4310604,Martin Garrix,No Sleep,https://genius.com/Martin-garrix-no-sleep-lyrics,http://api.genius.com/songs/4310604,None,2019-02-21," Summer nights all align As we drown in the moonlight We collide in plain sight Yeah, I know we'll be alright   And we come alive, we run the night with strangers 'Cause in the end, we're all familiar faces We're young and wild, enjoy the ride, we made it We made it   I don't need no sleep 'Cause I'm already dreaming, already dreaming Say you'll never leave Because I love the feeling, I love the feeling Find myself awake at night See you through my lucid eyes Oh, I don't need no sleep 'Cause I'm already dreaming, already dreaming   I don't need no sleep 'Cause I'm already dreaming, already dreaming   Wide awake, no time to waste Make a mark on my timeline We're safe and sound, we come around We are dancing, the sun down   And we come alive, we run the night with strangers 'Cause in the end, we're all familiar faces We're young and wild, enjoy the ride, we made it We made it   I don't need no sleep 'Cause I'm already dreaming, already dreaming Say you'll never leave Because I love the feeling, I love the feeling Find myself awake at night See you through my lucid eyes Oh, I don't need no sleep 'Cause I'm already dreaming, already dreaming   Oh, I don't need no sleep 'Cause I'm already dreaming, already dreaming   Oh, I don't need no sleep 'Cause I'm already dreaming, already dreaming"
/songs/2437401,Martin Garrix,Now That I've Found You,https://genius.com/Martin-garrix-now-that-ive-found-you-lyrics,http://api.genius.com/songs/2437401,Tomorrowland 2016: The Elixir of Life,2016-03-11," Flashback to the time in your life When you thought it would be easy But it's hard when you're take on the world alone The one shot that you fire at the sky Hoping someone else can see it Just a sign that you're not out there on your own   We come one tonight I've been waiting for your wake up call Growing stronger now I can hear it in a thunderstorm   We sing, oh oh oh oh oh I don't want to do this without you Oh oh oh oh oh I won't let go now that I've found you Now that I've found you Oh oh oh oh oh I won't let go now that I've found you Oh oh oh oh oh I won't let go now that I've found you Now that I've found you   Some say you can never go back To the city built for dreamers But I know we can find it on our own The one shot that we fire at the sky But this time we are together Right here in this moment where we belong   We come one tonight I've been waiting for your wake up call Growing stronger now I can hear it in a thunderstorm   We sing, oh oh oh oh oh I don't want to do this without you Oh oh oh oh oh I won't let go now that I've found you Now that I've found you Now that I've found you Oh oh oh oh oh I won't let go now that I've found you Now that I've found you"
/songs/3720413,Martin Garrix,Ocean,https://genius.com/Martin-garrix-ocean-lyrics,http://api.genius.com/songs/3720413,Now That's What I Call Music! 101,2018-06-15," Tell me what you're crying for I'll wipe your tears, oh love If your soul is aching love I'll comfort you for sure  If we're caught in a wave I will carry you over It don't matter where you are I'll run to your front door   When my head goes in different directions You know my heart's never on the move And in the dark times you don't have to question If I'm 100 with you   You could put an ocean between our love, love, love It won't keep us apart You could build a wall, I would run it up, up, up Just to get to your heart If we're caught in a wave Baby, we'll make a way You could put an ocean between our love, love, love It won't keep us apart   Loves, between our love Loves, between our love   Shadows play on idle hands I lose myself I do But I've found my way to velvet sands I'll crash right into you  If we're caught in a wave I will carry you over It don't matter where we are You're still the one I choose   When my head goes in different directions You know my heart's never on the move And in the dark times you don't have to question If I'm 100 with you   You could put an ocean between our love, love, love It won't keep us apart You could build a wall, I would run it up, up, up (run it up) Just to get to your heart If we're caught in a wave (in a wave) Baby, we'll make a way You could put an ocean between our love, love, love It won't keep us apart   Loves, between our love Loves, between our love   You could put an ocean between our love, love, love It won't keep us apart You could build a wall, I would run it up, up, up (run it up) Just to get to your heart If we're caught in a wave Baby, we'll make a way You could put an ocean between our love, love, love It won't keep us apart"
/songs/4258619,Martin Garrix,Ocean (tofû flip),https://genius.com/Martin-garrix-ocean-tofu-flip-lyrics,http://api.genius.com/songs/4258619,None,2018-07-02," Tell me what you're crying for I'll wipe your tears, oh love If your soul is aching love I'll comfort you for sure  If we're caught in a wave I will carry you over It don't matter where you are I'll run to your front door   When my head goes in different directions You know my heart's never on the move And in the dark times you don't have to question If I'm 100 with you   You could put an ocean between our love, love, love It won't keep us apart You could build a wall, I would run it up, up, up Just to get to your heart If we're caught in a wave Baby, we'll make a way You could put an ocean between our love, love, love It won't keep us apart   Shadows play on idle hands I lose myself I do But I've found my way to velvet sands I'll crash right into you  If we're caught in a wave I will carry you over It don't matter where we are You're still the one I choose   When my head goes in different directions You know my heart's never on the move And in the dark times you don't have to question If I'm 100 with you   You could put an ocean between our love, love, love It won't keep us apart You could build a wall, I would run it up, up, up (run it up) Just to get to your heart If we're caught in a wave (in a wave) Baby, we'll make a way You could put an ocean between our love, love, love It won't keep us apart"
