api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/766193,Mary J. Blige,25/8,https://genius.com/Mary-j-blige-25-8-lyrics,http://api.genius.com/songs/766193,My Life II... The Journey Continues (Act 1),2011-09-01,"I can love you with my eyes closed I see your heart through a blindfold I ain't never ever met another better So my baby ain't no way that I'mma let go From the north to the South Pole On the east or the west coast Every area code, all over the globe Ain't no way on the planet you can go that I won't  From sun up to sun down I'll always be around Every minute of every hour Still it ain't enough time  Cause I got days and days of love for you boy And I don't wanna have to rush But 24/7 ain't enough Cause I got so much love for you boy I need another hour and a day So I can love you 25/8, 25/8  You ain't gotta worry about me, no Ain't no question at my loyalty You been there for me even when nobody Cared enough to check and see if I was breathing See don't nobody really know me (know me) You and me, we got history So I give you a part For loving me boy, put your hand in my hand I'll lead the way out  From sun up to sun down I'll always be around Every minute of every hour Still it ain't enough time  Cause I got days and days of love, for you boy And I don't wanna have to rush But 24/7 ain't enough Cause I got so much love for you boy I need another hour and a day So I can love you 25/8  Ain't nobody give me love, give me love Like I need See I love the way you make me smile When things ain't going right You know how to hold me tight Can make the pain go away, oh yeah  Every day baby, every night baby On the weekday, on anyday On everyday, I'm alive baby I'mma love you, help me sing it out Everyday baby, every night baby On the week day, on any day On every day, I'm alive baby I'mma love you, help me sing it out  Days and days and days of love, for you boy And I don't wanna have to rush But 24/7 ain't enough Cause I got so much love for you boy I need another hour and a day So I can love you 25/8..."
/songs/766152,Mary J. Blige,2 U,https://genius.com/Mary-j-blige-2-u-lyrics,http://api.genius.com/songs/766152,No More Drama,2001-08-28,"2 you  I hope that you've been thinking about me   I hope that you have been thinking of me too The way that I have been thinking of you I hope that you have been thinking of me too The way that I have been thinking of you  Pick up the phone to call you But I hung up cause I'm so afraid Afraid of rejection Or another woman in your face Hopin' all day that you would call me And that you're thinkin' of me too Well in my case with the game of love If I played I would probably lose   I hope that you have been thinking of me too The way that I have been thinking of you I hope that you have been thinking of me too The way that I have been thinking of you  I hope that you're thinkin' of me And I pray every night you love me I don't ever want what we have to end And I'll always be your friend Don't you feel me calling from afar If you don't know I've been there from the start As sure as my name is what it is You'll always have a place in my heart   I hope that you have been thinking of me too The way that I have been thinking of you I hope that you have been thinking of me too The way that I have been thinking of you  Ooh, ooh, ooh.... I hope that you have been thinking of me The way that I have been thinking of you When I pray every night That it's me in your dreams when your sleepin' I really hope that I'm the that you're thinking about Yeah, yeah, yeah...   I hope that you have been thinking of me too (I hope that, I hope that you've been thinkin') The way that I have been thinking of you (All the time, can't get you off my mind baby) I hope that you have been thinking of me too The way that I have been thinking of you  See I hope that it's you And I hope that you are baby Thinking of me too Ooh, yeah, yeah...  See I hope that you are Ooh, you're thinking of me I need for you to think about me Like I think about you baby Yeah, yeah, yeah...  I hope that it's you And I hope that you're thinking of, thinking of, thinking of me too"
/songs/32008,Mary J. Blige,About You,https://genius.com/Mary-j-blige-about-you-lyrics,http://api.genius.com/songs/32008,The Breakthrough,2005-12-20," Mary J Will I Am in the place with the love Yeah, it feels, it feels good Mary J, Will I Am Tell 'em how ya feel   Boy you got me goin' crazy I don't know what to say anymore Cuz still I wanna be your lady You know that I would never walk out that door I'm not giving up on us but Things can get a little hard in this life But you know, you know I love you  1 - 	You're everything I ever wanted 	Everything I've never wanted 	In a man, can't you see 	What you're doing to me  I'm sayin' yes and sayin' no 	Because I don't want you to know 	How I really feel, how I really feel  	About you (You know how I feel) 	About you (You know how I feel) 	About you (How I feel, you know how I feel)  	So very happy with my life 	(It's a new life for me, yeah) 	(Yeah, yeah, yeah, yeah, yeah, yeah, yeah)  You, you're the one for me I don't wanna be free Boy, you have rescued me But sometimes I don't want to be bothered Baby, don't think I am shady Just adjusting to ya I don't wanna confuse ya or even misuse ya But I love ya, I love ya, yeah, yeah  Repeat 1  Ooh, so very happy with my life So glad to have someone to hold me So very happy with my life I'm So glad, so glad, so glad   Baby, you a soul mama Love's what I'mma bring to you Quick don't pause like a comma Won't stall on ya when it's time to put it on ya Don't call on a nother chick I'm callin' on ya Won't trip on ya, I don't bring the drama I won't dip out when it's trauma I'm holdin' on mama, hold up, wait a minute We've been through the down's up, but stayed in it So glad that I've got you, that I got you So glad that I got you, that I got you  Repeat 1  There it is"
/songs/765589,Mary J. Blige,A Dream,https://genius.com/Mary-j-blige-a-dream-lyrics,http://api.genius.com/songs/765589,The Tour (Live),1997-08-12," A dream A simple fantasy That I Wish was reality That you Come knocking at my door And we Relive this dream once more   Last night I dreamed That you were here with me And we were in each other's arms It was oh so heavenly You held me close to you And whispered in my ear Let's spend the night together Sharing love beyond the bed   As we danced to the melody We had so much to share And the music stopped In a flash I was all alone It was just a dream Haunting me once again   A dream A simple fantasy (Simple fantasy) That I Wish was reality That you Come knocking at my door And we Relive this dream once more   The day you left You said you would return Just when you couldn't promise That you needed some time alone You said you'd love me And someday our love would be I couldn't understand it I thought we were both happy   As we danced to the melody We had so much to share Then the music stopped In a flash I was all alone It was just a dream Haunting me once again, oh   A dream A simple fantasy That I Wish was reality That you Come knocking at my door And we Relive this dream once more (Relive this dream once more) A dream A simple fantasy (A simple fantasy that I) That I Wish was reality That you Come knocking at my door And we Relive this dream once more (Oh, oh oh)  Oh, a dream A simple fantasy (A simple fantasy that I) That I Wish was reality That you Come knocking at my door And we Relive this dream once more A dream A simple fantasy That I Wish was reality That you (You, you, you) Come knocking at my door And we Relive this dream once more A dream"
/songs/765164,Mary J. Blige,Ain't Nobody,https://genius.com/Mary-j-blige-aint-nobody-lyrics,http://api.genius.com/songs/765164,My Life II... The Journey Continues (Act 1),2011-11-21," Captured effortlessly That's the way it was It happened so naturally I did not know it was love The next thing I felt was you Holdin' me close What was I gonna do? I let myself go And now we're flyin' through the stars I hope this night will last forever   I've been waitin' for you It's been so long I knew just what I would do When I heard your song It filled my heart with your bliss Gave me freedom You knew I could not resist I needed someone And now we're flyin' through the stars I hope this night will last forever   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better, than you   I wait for night time to come And bring you to me Can't believe I'm the one I was so lonely I feel like no one could feel I must be dreamin' I want this dream to be real I need this feelin' I make my wish upon a star And hope this night will last forever   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better Ain't nobody Loves me better, noo   And first you put your arms around me Then you put your charms around me I can't resist this sweet surrender Oh! My nights are warm and tender We stare into each other's eyes And what we see is no surprise Got a feelin' most with treasure And a love so deep we cannot measure   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better Ain't nobody Loves me better Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better Ain't nobody Loves me better Makes me happy"
/songs/509920,Mary J. Blige,Ain't Really Love,https://genius.com/Mary-j-blige-aint-really-love-lyrics,http://api.genius.com/songs/509920,The Breakthrough,2005-12-20," Every day I’m tryna get to know ya But more and more you’re changin’ up your act Every day I look for ways to bring us closer But more and more you appear to be drawing back And baby when we’re makin’ love it’s getting weaker My heart don’t feel it, feelin’ is everything And I’m feelin like maybe you just don’t feel it And I don’t know how to play it In the past I’d know how to say it But I   I held my tongue too long See how can a man be so cold to a woman That loves him more (I don’t get it at all) But if you wanna go there’s the door I can’t hold ya (boy you’re grown) You must got me confused, I treat myself way too good And a love that tears you down ain’t really love   Every day I’m gettin’ up and makin’ breakfast And more and more you’re walkin’ in without a word And every day I’m tryna ask “baby, what’s wrong?” And more and more you say I’m getting on your nerves And then you take me to the level of some bullshit You say you never had these problems with a white chick You got me twisted and twisted is just not how I get with it You need to sit down and hear it   I’m pouring out my heart Don’t just sit there while my heart is on the line Speak your truth What it’s worth Not a word you say will go unheard Now if it’s like that then baby just pack your bags Cause I’m sick and tired of fightin’ Cause I’m sick and tired of tryin’ I had enough of waitin’, I’m not that good with playin’ I know I love you but I love myself too   2x"
/songs/1861705,Mary J. Blige,All Fun And Games,https://genius.com/Mary-j-blige-all-fun-and-games-lyrics,http://api.genius.com/songs/1861705,Think Like a Man Too (Music from and Inspired by the Film),2014-06-17,"One of us gotta be serious, serious One of us needs to be serious, serious One of us gotta be serious, serious I need no time to think about this I've had this done before You give your all to everything you can My navigation must be off  You told me that you've changed You still show up the same Boy, you tell me that you'll neva do that thing again Turn for the worst dead end  It's all fun and games till somebody gets hurt Till somebody show up lookin' for they love It's all fun and games till it all goes bad Now you leaning on the door cause you can't take no more It's all fun and games till somebody gets hurt You'll be crossed at everything Now nothing works It's all fun and games till somebody gets close And the one you lost, you love the most  What do you want me to tell you? What do you want me to say? Baby, what else can I show you? I've shown you in every way Have you lost your mind? Lost yo mind? Huh? Who you think I am, think I am? You ain't gonna be wastin' my time, wastin' my time When we both know you'd never last long  You told me that you've changed You still show up the same Boy, you tell me that you'll neva do that thing again Turn for the worst dead end  It's all fun and games till somebody gets hurt Till somebody turns up lookin' for they love It's all fun and games till it all goes bad Now you need it on that john cause you can't take no more It's all fun and games till somebody gets hurt You'll be crossed at everything I know how that works It's all fun and games till somebody gets close And the one with the loss, you are the most"
/songs/765128,Mary J. Blige,All My Love,https://genius.com/Mary-j-blige-all-my-love-lyrics,http://api.genius.com/songs/765128,Love & Life,2003-08-26,"Can we just talk about the love and all the things we do You rub my back and boy you know I'll do the same for you You treat me good I'll treat you good And things will be alright  Come over here my sugar dumpling 'cause it's on tonight... Don't you worry 'bout a thing 'bout a thing Because you gave me this ring You gave me this ring yeah  I won't ever let you down Said I won't let you down 'Cause my love is your fate So please hurry don't wait...  I'm gonna give you All of my love I'm gonna give you All of my love I'm gonna give you All of my love I'm gonna give you All of my love..  Boy don't you know that deep inside you are so beautiful Beautiful You're made for me so never ever, ever let me go Oh no  I never knew someone could set my soul and body free No time to wait so sugar won't you give your love to me... And as far as I can see Far as I can see baby You're the only one for me You're the only one for me And you're everything I need You're everything I need 'Cause your heart is cared for me And I don't wanna be free...  It feels so good to find love, sweet love Yes it does I'll try not to neglect it I'll try not Always cherish every second Always love you baby  When ever I need you, you're always right there Always right there I call you my best friend I call you my best Hope this love will never end  I'm gonna Give you love Baby I'm gonna give you love Baby I'm gonna Give you love All my love to you..."
/songs/764948,Mary J. Blige,All That I Can Say,https://genius.com/Mary-j-blige-all-that-i-can-say-lyrics,http://api.genius.com/songs/764948,Mary,1999-07-09," Loving you is wonderful Something like a miracle Rest assured I feel the same way you do Needing you, it isn't hard With you, I can let down my guard Stay secure that's all I'm asking from you (Stay secure)   I wish I had words to tell (I wish) This feeling that I know so well But I don't, I don't   All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo)   I've always been curious Meeting someone serious Looking for someone who loves like me But the day I stopped my search It seemed that you were put on Earth To show me everything I could not see   I wish I could find a way To tell you how I felt that day But I can't (I just can't) I can't   All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo)   Knowing him, loving him Showing him that I'm all in Living and, forgiving and I would do it all again Genuine, seraphim Sweeter than cinnamon Heaven-sent gentleman Synonyms for loving him   All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo)   You're all... (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo)   He's all that I'll ever need He's got a hold on me I love you Oh, I don't wanna live without you You're all that I can say, hey Loving you is wonderful (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I can say (Do do, do do, do do, doo) All that I... (Do do, do do, do do, doo)  All I can say Loving you is wonderful (Do do, do do, do do, doo) (Do do, do do, do do, doo) (Do do, do do, do do, doo) (Do do, do do, do do, doo)"
/songs/509924,Mary J. Blige,Alone,https://genius.com/Mary-j-blige-alone-lyrics,http://api.genius.com/songs/509924,The Breakthrough,2005-12-20,"Baby can I talk to you for a minute? Oh, oh, listen   Boy you had me fooled I can’t believe you Cause you never done anything that I asked of you Always talkin’ like I just can’t do right Blamin’ me for everything and that just ain’t right  [Chorus 1: Mary J Blige] (Cause I can’t do this alone, alone) I don’t know what to do, I’m tryna stay with you (It’s not all about you) (Boy I can’t do this alone, alone) You’re makin’ this harder, boy I’m bout to leave ya, cause I can’t do this alone (Alone, alone, alone)   And I gave you everything I had, there, and I never said nothin’ Did everything for you, what did you do, nothing Then you got the nerve to wanna run your mouth Like I ain’t never held you down Baby what did I do to deserve this? Cause I put you on a shelf, girl I need help Cause I can’t do this alone, baby   (Cause I can’t do this alone, alone) I don’t know what to do, I’m tryna stay with you (It’s not all about you) I can’t do it (Girl I can’t do this alone, alone) You’re makin’ this harder, girl I’m about to leave ya, I can’t do this alone (Alone, alone, alone)    And I try to work this out But boy you’re changing now What do I do? I’m so confused baby [Dave Young And I try to work this out But girl you’re changing now What do I do? I’m so confused   I don’t know what to do cause boy I’m so tired of you Said I don’t know what to do, girl I’m so tired of you Do what you gotta do, cause I can’t do this alone  "
