api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/666856,Meghan Trainor,3am,https://genius.com/Meghan-trainor-3am-lyrics,http://api.genius.com/songs/666856,Title (Special Edition),2015-01-09," I can't believe I'm still doing this I told myself a month ago that I'd be through with this I'm looking at my phone, and wondering if you're home I'm kinda tipsy, I ain't tryna sleep alone Somebody told me that some other girl was hugging you Baby, you know I'm the one that should be loving you You know we had a thing, baby it's such a shame I still get crazy every time I hear your name   And I know it's complicated But you know I'm impatient   3 AM Yep, I'm texting you once again Even though I'm hanging with my friends I can't help it, I can't help myself, no 3 AM I might be looking for a late night friend And baby I can't get you out my head I can't help it, I can't help myself, no   Kinda stressing like I'm gonna have a heart attack It's been an hour and you haven't even hit me back Baby, keep it real, tell me what's the deal Cause I miss you, you don't know how this feels   I know it's complicated This always happens when I'm wasted   3 AM Yep, I'm texting you once again Even though I'm hanging with my friends I can't help it, I can't help myself, no 3 AM I might be looking for a late night friend And baby I can't get you out my head I can't help it, I can't help myself, no   I know, I know, I know it's so wrong Somebody take away my phone Cause I've been drinking all night long All night long, all night long I know, I know, I know it's so wrong Somebody take away my phone Cause I've been drinking all night long All night long, all night long   3 AM Yep, I'm texting you once again Even though I'm hanging with my friends I can't help it, I can't help myself, no 3 AM I might be looking for a late night friend And baby I can't get you out my head I can't help it, I can't help myself, no"
/songs/4101403,Meghan Trainor,AFTER YOU,https://genius.com/Meghan-trainor-after-you-lyrics,http://api.genius.com/songs/4101403,THE LOVE TRAIN,2019-02-08," Is this all we get, one short life? Tell me we got time I saw a world without you there Somehow, you are mine   And no, please don't go Please don't go and leave me alone   Don't wanna give my heart to someone new Won't be anybody after you And even if one day, our time is through Won't be anybody after you, after you I'll never find another lover after you   If you have to go, be my ghost Hope you haunt my dreams So I won't be alone 'cause I'd give up hope If you weren't there for me   And no, please don't go Please don't go and leave me alone   Don't wanna give my heart to someone new Won't be anybody after you And even if one day, our time is through Won't be anybody after you, after you I'll never find another lover after you   I won't be able to move on, baby I won't be able to love nobody else So if you go, won't you take me with you? Don't leave me alone   I don't wanna give my heart to someone new There won't be anybody after you And even if one day, our time is through, whoa Won't be anybody after you, after you, oh, after you I'll never find another lover after you"
/songs/471152,Meghan Trainor,All About That Bass,https://genius.com/Meghan-trainor-all-about-that-bass-lyrics,http://api.genius.com/songs/471152,Title (Special Edition),2014-06-30," Because you know I'm all about that bass 'Bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass   Yeah, it's pretty clear, I ain't no size two But I can shake it, shake it, like I'm supposed to do 'Cause I got that boom boom that all the boys chase And all the right junk in all the right places I see the magazines working that Photoshop We know that shit ain't real, come on now, make it stop If you got beauty beauty just raise 'em up 'Cause every inch of you is perfect from the bottom to the top   Yeah, my momma she told me don't worry about your size She says, boys like a little more booty to hold at night (That booty, booty, uh, that booty booty) You know I won't be no stick-figure, silicone Barbie doll So, if that's what's you're into then go ahead and move along   Because you know I'm all about that bass 'Bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass   Hey, I'm bringing booty back Go ahead and tell them skinny bitches that No, I'm just playing I know you think you're fat But I'm here to tell you Every inch of you is perfect from the bottom to the top   Yeah, my momma she told me don't worry about your size She says, boys like a little more booty to hold at night (That booty, booty, uh, that booty booty) You know I won't be no stick-figure, silicone Barbie doll So, if that's what's you're into then go ahead and move along   Because you know I'm all about that bass 'Bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass Because you know I'm all about that bass 'Bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass Because you know I'm all about that bass 'Bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass, no treble I'm all 'bout that bass, 'bout that bass  [Click here to read about when Meghan Trainor met her co-writer on this song, Kevin Kadish]"
/songs/2847514,Meghan Trainor,All About That Change,https://genius.com/Meghan-trainor-all-about-that-change-lyrics,http://api.genius.com/songs/2847514,None,2016-01-07,"[Verse 1: Meghan Trainor and James Corden] Yeah, it's that time of year It's 2016 And I'm making resolutions Like you've never seen 'Cause I got these goals that I want to achieve It's a new year, and it's a new me, hey  Yeah, it's pretty clear I ain't no size two But I just joined a gym Like I'm supposed to do 'Cause I got that boom, boom walking up the staircase All the wrong junk in all the wrong places  [Pre-Chorus: Meghan Trainor and (James Corden)] After work I come home, and I have a glass of wine And when I say a glass, I really mean four or five (She keep on drinking, yeah, she keep on drinking) But I'm gonna cut back, I swear I'll drink more water instead, maybe 'Cause I can't afford to drunk-dial another ex  [Chorus: Meghan Trainor and James Corden] Because you know I'm all about that change, 'bout that change This new year I'm all about that change, 'bout that change This new year I'm all about that change, 'bout that change This new year I'm all about that change, 'bout that change  [Verse 2: Meghan Trainor and James Corden] Hey, one week and I'm alright There hasn't been a drink in sight Nah, I'm just playin', I went out last night And I'm here to tell you That orange juice is good, it's even better with champagne  [Pre-Chorus: James Corden and (Meghan Trainor)  / Both] I haven't gone to the gym or met with the trainer I hired (C'mon, work, work, hey, work) Can I pay someone to go tell him that he is fired? (Go fire his ass now, go, just fire his ass) Resolutions are worthless We all now that's why we're here I'll be the same disappointment I've been for the past three years  [Chorus: Meghan Trainor and James Corden] Because you know we're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change 'Cause you know we're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change We're quitting We're not about to change, 'bout to change"
/songs/3790582,Meghan Trainor,ALL THE WAYS,https://genius.com/Meghan-trainor-all-the-ways-lyrics,http://api.genius.com/songs/3790582,THE LOVE TRAIN,2018-06-20," I need more details, more texts, calls, and emails Be more specific, yes, I'm here to listen I know I'm needy, but tell me you need me No don't be afraid, babe, c'mon, explain   If you love me, love me, love me like you say Darling, tell me all the ways, tell me all the ways   And he said all the ways, all the ways, all the ways Tell me all the ways And he said all the ways, all the ways (you love me), all the ways Tell me all the ways, and he said   Take me out dancin', don't forget romancin' And it's been a while since I've been your princess Tell me your heart's blue when, when I'm not with you Don't be afraid, babe, c'mon, explain   If you love me, love me, love me like you say Darling, tell me all the ways, tell me all the ways   And he said all the ways, all the ways, all the ways Tell me all the ways And he said all the ways, all the ways (you love me), all the ways Tell me all the ways   The way you, you love me The way you, you love me   And he said, ""Girl, you take care of me You are my therapy, the better half of me"" Say it again, say it again, oh ""Girl, you take care of me You are my therapy, the better half of me"" Say it again, say it again   If you love me, love me, love me like you say Darling, tell me all the ways, tell me all the ways   And he said all the ways, all the ways, all the ways Tell me all the ways And he said all the ways, all the ways (you love me), all the ways Tell me all the ways, and he said   The way you, you love me (""Girl, you take care of me (All the ways, all the ways) You are my therapy, the better half of me"" (All the ways)) Tell me all the ways, and he said The way you, you love me (""Girl, you take care of me (All the ways, all the ways) You are my therapy, the better half of me"" (All the ways))   The way you, you love me"
/songs/3055787,Meghan Trainor,Baby Doll,https://genius.com/Meghan-trainor-baby-doll-lyrics,http://api.genius.com/songs/3055787,Unreleased,2019-01-25,"Yeah, walls can't always fall, but when you call me baby doll It feels so right as you hold me in your arms tonight  Love me, that's the way it should be Lay there right beside me, even in the light of day Honey, sweeter than my sundae Make my worries go away, I just need to hear you say  You'll be just fine Oh baby doll, won't you ease your mind  Cause walls can't always fall But when you call me baby doll, it feels so right as you hold me in your arms tonight  Save me, take me to a good place Set a smile on my face Pray it never fades away In time, I'll find all the right rhymes, to sing you, for the clear signs I just need to hear you say  You'll be just fine Oh baby doll, won't you ease your mind Cause walls can't always fall, when you call me baby doll It feels so right as you hold me in your arms tonight  Hmmmmmm, ohhhhhhhh, hey ey iii yeah, mmmmmmmm, yeaahh Cause you'll be just fine, oh yes you will, won't you ease your mind  Cause walls can't always fall, when you call me baby doll, it feels so right as you hold me in your arms tonight"
/songs/2924139,Meghan Trainor,Back To My Home,https://genius.com/Meghan-trainor-back-to-my-home-lyrics,http://api.genius.com/songs/2924139,I'll Sing with You,2011-01-31,"Sunlight, moonlight It's always open If a time that passes by Forward and forward I'll keep on moving To give me that reason why  And I won't forget No, I'll keep going back Back to my home  For all of these years I've been waiting to leave Where would I call my home? And without your comfort Without your love  How could I stand all alone And I won't forget No, I'll keep going back  But for now I'll be gone again I promise you, I promise you That there There will be no chafe again  I give you my word That I'll always make it back Home Back to my home My home  But it's not, I can't leave him For long Wasting my time Just feel so wrong And I open my eyes So I've realizes That life's just not a song  But for now I'll be gone again I promise you For now I'll be gone again  I promise you I promise you That there There will be no chafe again I give him my word That I'll always make it back Back to my home"
/songs/4534738,Meghan Trainor,Badass Woman,https://genius.com/Meghan-trainor-badass-woman-lyrics,http://api.genius.com/songs/4534738,None,2019-05-10," I'm a badass woman (Ooh) What's wrong with that? Can't hold me back Yeah, I'm a badass woman Just made like that But I'm proud of that 'Cause I'm a badass woman   Never second guess me 'Cause, baby, I'm the boss Don't underestimate me 'Cause I'm the one in charge   I am smarter than you give me credit for And I'm way stronger than I ever been before I'm a force of nature that you can't ignore You can't ignore, you can't ignore no more   I'm a badass woman (Ooh) What's wrong with that? Can't hold me back Yeah, I'm a badass woman Just made like that But I'm proud of that 'Cause I'm a badass woman   Never saying sorry For saying what's on my mind (On my mind) And I don't need a body To prove I'm worth your time (Time)   Oh, I am smarter than you give me credit for And I'm way stronger than I ever been before Oh, I'm a force of nature that you can't ignore You can't ignore, you can't ignore no more   'Cause I'm a badass woman (Ooh) What's wrong with that? Can't hold me back Yeah, I'm a badass woman (I'm bad) Just made like that (Uh-huh) But I'm proud of that (Yeah) 'Cause I'm a badass woman 'Cause I'm a badass woman   I am smarter than you give me credit for And I'm way stronger than I ever been before Oh, I'm a force of nature that you can't ignore You can't ignore, you can't ignore no more   I'm a badass woman (Ooh) What's wrong with that? Can't hold me back (Oh-oh) Yeah, I'm a badass woman (Ooh) What's wrong with that? Can't hold me back Yeah, I'm a badass woman (Ooh) Just made like that But I'm proud of that 'Cause I'm a badass woman   I'm way smarter than you give me credit for And I'm way stronger than I ever been before Oh, I'm a force of nature that you can't ignore You can't ignore, you can't ignore no more 'Cause I'm a badass woman I'm a force of nature that you can't ignore You can't ignore, you can't ignore no more 'Cause I'm a badass woman"
/songs/666860,Meghan Trainor,Bang Dem Sticks,https://genius.com/Meghan-trainor-bang-dem-sticks-lyrics,http://api.genius.com/songs/666860,Title (Special Edition),2015-01-09," I love it when it's loud I love it when it's big You can feel it in the crowd Come on, bang dem sticks I said I love it when it's loud I love it when it's big Cause you can feel it in the crowd Come on bang dem sticks   The dumb drummer, sicker than the swine flu Don't really need medication, he got a tissue And when he bang bangs, don't need to boogie But he might be sweeter than my, my favorite cookie When he plays, uh, he got a hold on me In a race, yeah, he got the winning streak And ain't nobody got a drummer like mine He can bang dem sticks, he can throw dem high, ha!   I got a thing for drummers How the beat shakes up my heart I gotta thing for drummers So baby show off all dem tricks and bang dem sticks I got a thing for drummers How the beat shakes up my heart I gotta thing for drummers So baby show off all dem tricks and bang dem sticks   I love it when it's loud I love it when it's big You can feel it in the crowd Come on, bang dem sticks I said I love it when it's loud I love it when it's big Cause you can feel it in the crowd Come on, bang dem sticks   I don't think they're ready, it's okay   Triplet, triplet, all that shit He looking so good when he bang dem sticks He can do the paradiddle with a little bit of samba And all the girls scream, ""I want your drummer's number"" But wait a minute, what trick is going on? You here to see M. Train because you love my songs But there he go again with the double stroke And I ain't talking dirty, I ain't making no jokes, nuh uh, nuh uh And he can play all night Whatever get you hype girls, whatever gets you high Cause ain't nobody got a drummer like mine He can bang dem sticks, he can throw them high Come on   I got a thing for drummers How the beat shakes up my heart I gotta thing for drummers So baby show off all dem tricks and bang dem sticks I got a thing for drummers How the beat shakes up my heart I gotta thing for drummers So baby show off all dem tricks and bang dem sticks   I love it when it's loud I love it when it's big You can feel it in the crowd Come on, bang dem sticks I said I love it when it's loud I love it when it's big Cause you can feel it in the crowd Come on, bang dem sticks   Hey, hey Come on and bang dem sticks So baby, show off all dem tricks and bang dem sticks Come on and bang dem sticks Well everybody love the drummer"
/songs/2469119,Meghan Trainor,Bed Head,https://genius.com/Meghan-trainor-bed-head-lyrics,http://api.genius.com/songs/2469119,Unreleased,2019-01-25," Hey, you give me bed head You give me bed head, yeah   You put in work, yeah, you know what I like, like Ooh when you grab all my hair, pull it tight, tight I told my girl only you do me right, right (do me right) Do me right, only you do me right   As soon as I lay down I just wanna turn around Don't get me wrong, I love what you do Don't let me be tight up You make me feel light up Got this messy hair because of you   So I say, you give me bed head You give me bed head I don't really mind cause you know I kinda like when ya You give me bed head You give me bed head Baby, go on and mess my hair, won't you? You give me bed head   You give me You give me You give me bed head You give me You give me   Yeah, you can tell by my hair I want more, more I look like a lion, baby, come hear me roar, roar I need a new 'do whenever you score My look is wild even you can't ignore   As soon as I lay down I just wanna turn around Don't get me wrong, I love what you do Don't let me be tight up You make me feel light up Got this messy hair because of you   So I say, you give me bed head You give me bed head I don't really mind cause you know I kinda like when you You give me bed head You give me bed head Baby, go on and mess my hair, won't you? You give me bed head   You give me (you)  "
