api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/137437,Michael Jackson,2000 Watts,https://genius.com/Michael-jackson-2000-watts-lyrics,http://api.genius.com/songs/137437,Invincible,2001-10-30," You may now apply (you may now apply) Your 3D glasses (your 3D glasses) As we proceed, prepare for proceed   Bass note, treble, stereo control, how low you go Just enough to make your juices flow Press play, don’t stop, rotate, too hot You feel I’m real I’m everything you need, so tell me what’s the deal   2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload 2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload   3D, high speed, feedback, Dolby Release two or three, when i reach i can go ‘til i hit my peak Compact steel o, chi-co, d-lo, high post lady Shorty really want to be there for me   2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload 2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload   We now prepare to take you to the next level (Yeah) 2000 watts (2000) 8 ohms (Alright now) 200 volts (Are ready?) Voltage high   2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload 2000 watts, 8 ohms, 200 volts, real strong Too much of that, fuse blown Be careful what you say don’t overload"
/songs/31997,Michael Jackson,2 Bad,https://genius.com/Michael-jackson-2-bad-lyrics,http://api.genius.com/songs/31997,"HIStory - Past, Present And Future - Book 1",1995-06-16," Pick up my girl, get me mad right The king of rock come on and there is none higher Sucker emcees should call me sire Standin' out here Talking, broking, never joking, smoking Up on the corner Due to they wanna They outta here Hasta la vista   Told me that you're doing wrong Word out shocking all along Cryin' wolf ain't like a man Throwing rocks to hide your hands You ain't done enough for me You ain't done nuthin for me You are disgusting me Yeah yeah You aiming just for me You are disgusting me Just want your cut from me But too bad, too bad Look who just walked in the place Dead and stuffy in the face Look who's standing, if you please Try to bring me to my knees   Too bad, too bad about it Why don't you scream and shout it? Too bad, too bad about it Why don't you just scream and shout it? Too bad too bad about it Why don't you scream and shout it? Too bad too bad about it Why don't you just scream and shout it?   Hell all up in Hollywood Sayin' that you got it good Creepin' from a dusty hole Tell her what somebody told What do you want from me What do you want from me Tired of you hunting me Yeah yeah You aiming just for me You are disgusting me You got blood lust for me But too bad too bad Look who got slapped in the face It's dead and stuffy in the place I'm right back where I wanna be I'm standing though you're kicking me   Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it  Verse 3: Shaquille O'Neal Life's about a dream I'm really undefeated when MJ's on my team Theme Reality brings forth realism It's the man of steel Organism, T.W.I.S.M I'm full of trisim Take charge like Miller 9-5 Shaq represent with the thriller Grab my crotch, twist my knees, and I'm through Mike's bad, I'm bad, who are you?   Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it Too bad too bad about it Why don't you scream and shout it"
/songs/3829247,Michael Jackson,Addams Groove (Family Thing),https://genius.com/Michael-jackson-addams-groove-family-thing-lyrics,http://api.genius.com/songs/3829247,None,2018-07-10," Oooh, ooh, ahh, just family Oooh, ooh, ahh, just family     Ba, da, da Ba, da, da Ba, da, da Smash it, dance Ba, da, da Go dance, go dance Ba, da, da Ba, da, da Ba, da, da Smash it Ba, da, da Ba, da, da Go dance, go dance   Oooh, ooh, ahh, just family Oooh, ooh, ahh, just family   I don't care even if it's wrong or right It's a family thing, it's a family thing We could dance, show me deep into the night It's a family thing, it's a family thing  Break down   Ba, da, da Ba, da, da Smash it, dance Ba, da, da Go dance, go dance Ba, da, da Ba, da, da Ba, da, da Smash it   Oooh, ooh, ahh, just family Oooh, ooh, ahh, just family   I don't care even if it's wrong or right It's a family thing, it's a family thing We could dance, show me deep into the night It's a family thing, it's a family thing I don't care even if it's wrong or right It's a family thing, it's a family thing We could dance, show me deep into the night It's a family thing, it's a family thing"
/songs/187814,Michael Jackson,Ain't No Sunshine,https://genius.com/Michael-jackson-aint-no-sunshine-lyrics,http://api.genius.com/songs/187814,Got To Be There,1972-01-24," You ever want something That you know you shouldn't have The more you know you shouldn't have it The more you want it And then one day you get it It is so good too But it is just like my girl When she is around me I just feel so good, so good But right now I just feel cold, so cold Right down to my bones Because ooh Ain't no sunshine when she's gone It is not warm when she is away Ain't no sunshine when she's gone And she is always gone too long Anytime she goes away   Wonder this time where she is gone Wonder if she is going to stay Ain't no sunshine when she is gone And this house just is no home Anytime she goes away   I know, I know, I know, I know I know, know, know, know, know I know, I know Hey I ought to leave I ought to leave her alone Ain't no sunshine when she is gone   Ain't no sunshine when she's gone Only darkness every day Ain't no sunshine when she is gone And this house just is no home Anytime she goes away"
/songs/188631,Michael Jackson,Al Capone,https://genius.com/Michael-jackson-al-capone-lyrics,http://api.genius.com/songs/188631,Bad 25th Anniversary,2012-09-19,"Why did you let him get away? After the staring, what did you say? Shot me down as cold as ice Scream in my face then pushed you back She should have spied down his skin Now it's my job to get revenge Why did you let him get away? Why did you let him get her? Too bad, forget it 'Cause Al Capone said it So sad, regret it 'Cause a madman's out tonight You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way Why did you let him get away? After the staring, what did you say? Shot me down as cold as ice Scream in my face then pushed you back She should have spied down his skin Now it's my job to get revenge Why did you let him get away? Why did you let him get her? Too bad, forget it 'Cause it's Al Capone said it So sad, regret it And it told her out tonight You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way Oh! Too bad, forget it 'Cause it's Al Capone said it So sad, regret it And a man is out tonight You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way You should have told her (should have told her) Nobody ever showed her about us (oh, ba-da) No one's sleeping(no-one's lovin') Nobody should be grievin' this way (oh-oh) You should have told her Nobody ever showed her about us No one's sleeping Nobody should be grievin' this way Oh! Why did you let him get away? After the staring, what did you say? Shot me down as cold as ice Scream in my face then pushed you back She should have spied under his skin Now it's my job to get revenge Why did you let him get away? Why did you let him get away?   Lyrics: WallyWorldNiyah"
/songs/188587,Michael Jackson,All I Need,https://genius.com/Michael-jackson-all-i-need-lyrics,http://api.genius.com/songs/188587,None,2018-07-10," Because this time of ours is borrowed We must give a helping hand Whatever happen to our heroes They must get another chance (We can do it again)  We drove closer, closer and closer And even though we are almost there   You are all I need in my life You are all I dream here at night Close your eyes imagine I am taking you away Tonight   Come together all the people (we can do it now) Here is your chance to make it right (go, take a chance) And even though we are getting close We are not there just yet And even though we are almost there   You are all I need in my life You are all I dream here at night Close your eyes imagine I am taking you away Then one more time close your eyes I am always here to stay (Oh) Tonight   (I am always here) (Oh I) (I am always here) We can do it again (I am always here)"
/songs/188603,Michael Jackson,All Right,https://genius.com/Michael-jackson-all-right-lyrics,http://api.genius.com/songs/188603,None,2018-07-10," We can walk away But I turn my head to see if you would stay, baby We can love the day Then I am hoping that we throw those stones away Baby, yeah  Baby, do not you leave me standing here Why you leave me standing here Now you got me here in tears Hold me   Hold me tonight Spread your love tonight It is going to be all right Everything will be just fine In love with me tonight Tell me It is going to be just fine It is going to be all right Say It is going to just fine Everything is just fine Everything will be just fine  All right   She wrote me a letter, It is burning in my heart She is setting me free (She is in the dark) Whisper in the dark, save me from these thoughts UN-break my heart Do not you let it fall apart  Please stay this way Do not you run away I got a premonition (I used to dream) Ooh girl, it burns just like the sun   Hold me tonight Spread your love tonight It is going to be all right Everything will be just fine In love with me tonight Tell me It is going to be just fine It is going to be all right Say It is going to just fine Everything is just fine Everything will be   Wake me up when all this is new like morning Girl, your smile always makes me cry (If you think you are going to) Just hold me, kiss me, touch me (Stay with me tonight)   All right, It is all right All right, It is all right It is all right, all right with me  It is all right, all right It is all right, all right with me It is all right, all right It is all right, all  All right, It is all right All right, It is all right All right"
/songs/187989,Michael Jackson,All the Things You Are,https://genius.com/Michael-jackson-all-the-things-you-are-lyrics,http://api.genius.com/songs/187989,Music and Me,1973-04-13," You are the promised kiss of springtime That makes the lonely winter seem long You are the breathless hush of evening That trembles on the brink of a lovely song You are the angel glow that lights a star The dearest things I know are what you are Some day my happy arms will hold you And someday I will know that moment divine When all the things you are, are mine   You are the angel glow that lights a star The dearest things I know are what you are Some, some, some, some, day My happy arms will hold you And someday I will know that moment divine When all the things you are, are mine Yeah yeah, all the things you are, are mine All the things you are, got to be mine Some day you are, are mine All the things you are, got to be mine All the things you are, got to be mine"
/songs/154539,Michael Jackson,Another Part of Me,https://genius.com/Michael-jackson-another-part-of-me-lyrics,http://api.genius.com/songs/154539,Bad,1988-07-11," We're taking over We have the truth This is the mission To see it through Don't point your finger Not dangerous This is our planet You're one of us   We're sending out A major love And this is our Message to you (Message to you) The planets are linin' up We're bringing brighter days They're all in line Waiting for you, can't you see? You're just another part of me   A revelation Fulfill the truth The final message We'll bring to you There is no danger Fulfill the truth So come together We need you   We're sending out A major love And this is our Message to you (Message to you) The planets are linin' up We're bringing brighter days They're all in line Waiting for you, So know the truth You're just another part of me  We're sending out A major love And this is our Message to you (Message to you) The planets are linin' up We're bringing brighter days They're all in line Waiting for you, can't you see? You're just another part of me Another Part Of Me   We're taking over This is the truth, baby Another part of me"
/songs/287492,Michael Jackson,A Place with No Name,https://genius.com/Michael-jackson-a-place-with-no-name-lyrics,http://api.genius.com/songs/287492,XSCAPE,2014-08-12," As I drove across on the highway My jeep began to rock I didn't know what to do, so I stopped, then got out, and looked down, I noticed I've got a flat So I walked out, parked the car, like sideways So I can find, what I can fix I looked around, there were no cars on the highway I felt a strange feeling, like a mist So I walked down, toward the end of the road And in the fog, a woman appeared She said don't you worry my friend, I'll take care Take my hand, I'll take you there   Take me to a place without no name   Take me to a place without no name   As she took me right through the fog I saw a beautiful city appear Where kids are playing and people are laughing and smiling and nothing to fear She says this is the place where no people have pain, with love and happiness She turned around, looked down in my eyes, and started crying, and grabbed my hand, you've got a friend   Take me to a place without no name   Take me to a place without no name   Take me to a place without no name   Take me to a place without no name   She started liking me, kissing me, and hugging me She didn't really, really want me to leave She showed me places I've never seen, and things I've never done, it really looked like a lot of fun I've seen the grass, and the skies and the birds, and the flowers, surrounded by the trees This place is filled with love and happiness, how in the world, could I wanna leave  So then I went in my pocket, took my wallet all out With my pictures of my family and girl This is the place that you choose to be with me When you thought, you could be in another world   Take me to a place without no name   Take me to a place without no name"
