api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2108781,Miguel,​a beautiful exit,https://genius.com/Miguel-a-beautiful-exit-lyrics,http://api.genius.com/songs/2108781,Wildheart,2015-06-29," We begin with breaking news here at 5 o'clock of a police pursuit...   Don't ever sell yourself short for acceptance Accept the new, don't linger on the past Believe yourself, trust your intuition You're here for a reason, you know   Speeding through all of these red lights, fast life Dreaming a beautiful exit We're gonna die young Speeding through all of these red lights, fast life Dreaming a beautiful exit We're gonna die young   Ignore the planned conventions of society The muted world, doesn't dream in color No fear, no shame, wildhearts can't be broken You're here for a reason, you know   Speeding through all of these red lights, fast life Dreaming a beautiful exit We're gonna die young Speeding through all of these red lights, fast life Dreaming a beautiful exit We're gonna die young, we're gonna die young We're gonna die young, we're gonna die young We're gonna die young   All our problems were so extra small to astronauts You can ditch the tangled patterns run by your parents Sleep may be your only chance to hear yourself You're here for a reason, you know   Gonna continue, really has no other choice but to just keep riding"
/songs/68713,Miguel,Adorn,https://genius.com/Miguel-adorn-lyrics,http://api.genius.com/songs/68713,Kaleidoscope Dream,2012-02-28," Hello, I am your subconscious Don't be afraid I am yours and yours alone I am the projector and you are the projection And I am always supreme   She's art dealer chic Would you be my friend, my freak? She's art dealer chic (yeah) Would you be my friend, my freak?   These lips, can't wait to taste your skin, baby And these eyes, I can't wait to see your grin, (ooh ooh baby)   Just let my love, Just let my love adorn you (please baby) And you gotta know, you gotta know You know that I adore you (yeah baby)   Baby these fists, will always protect ya, lady And this mind, will never neglect you, (yeah baby) And if they try to break us down Don't let that affect us, no baby   You just gotta let my love Let my love, let my love adorn you Ahh, le-le-le-let it dress you down You gotta know, you gotta know Know that I adore you Just that, baby Oh, let my love adorn you, baby Don't you ever, don't you let nobody tell you different, baby I'll always adore you, you gotta know now You gotta know na-nah-now, yeah   Oh yeah The same way that the stars adorn the skies, yeah (Every night babe) Now look up sugar (Every night babe) Now hey hey hey The same way that my whole world's in your eyes (when I look in your eyes babe) Oooh and it's time now (It's time babe)   Just let, let my love (do you baby!) Hey, le-le-le-let it dress you down You got to know baby, oh you got to know That I adorn you, yeah Oh love ain't never looked so good on ya Oh, put it on, baby Let my love adorn... You"
/songs/95966,Miguel,Adorn(Full w/Opening and Intro),https://genius.com/Miguel-adornfull-w-opening-and-intro-lyrics,http://api.genius.com/songs/95966,None,2018-07-26,": Hello? I am your subconscious Don’t be afraid; I am yours and yours alone I am the projector and you the projection And I am always supreme  : Chic Art Dealer Chic (what?!) Won't you be my-my friend-my freak Chic(yeah) Art Dealer Chic (what?!) Won't you be my-my friend-my freak (Repeat through out the song)  : These lips, can't wait to taste your skin....Baby; ooo-nah And These Eyes, can't wait to see your grin; ooh baby  : Just let my love, just let my love adorn you Please Baby And You gotta know, You gotta know You know that I adore you....Yeah Baby  : And baby these fist--uh--will always protect ya... Lady And this mind, ooh will never neglect you; I’d die baby, Ooooh And If they try to break us down Don't let that effect us, Oooh No babe  : You just gotta let my love Let my love Let my love adorn you Ahh, le-le-le-let it just adorn You gotta know You gotta know Know that I adore you Just that, baby  : Ahhhhhhh, Ahhhhhhhh Ooooooo, uh; let my love adorn you baby Don’t you ever Don’t you let nobody tell you different baby I’ll always adorn you You gotta know now You gotta na-nah-naaaaaaaaaaaaaaaow (I thought you’d be, my friend-my freak)  : Ohhhhhh yea! The same way that the stars adorn the skies, yeah (Adorn the night) Now look up sugar! Naohha-hay, haay! The same way that my whole worlds' in your eyes (Just look in your eyes) Ooooo and it's time now : Just let Let my love (Adoooooorn you!) Hey! Let- let-let it dress you down You got to know baby Oh, you gotta know (I Always I adorn yaaaaaah) Oh love ain't never looked so good on ya Oh put it on baby Let my love adorn............... You"
/songs/74291,Miguel,...ALL,https://genius.com/Miguel-all-lyrics,http://api.genius.com/songs/74291,Art Dealer Chic Vol. 2,2012-03-27,"VERSE 1 I just wanna have fun Have fun and make money Always on some ill shit Around good people I could build with Champion the ones that I'm near most; fellow outcasts and weirdos I'll do it all without a co-sign My fucking mind is a goldmine Write a book, go to school, save a life, learn a language of a land Love a little bit harder Man watch when I get my whole dream I can't wait, put my whole fucking team on Ooh, it's just a matter of time A matter of time (2x) Cause I ain't afraid to fail Can't you tell?  CHORUS I want it all (4x) Tell me that it's selfish But is it selfish? I mean it could be kind of selfish Fuck it, everybody's selfish  VERSE 2 I just want the whole world To know it's real Don't hear my passion Don't you see I'm ill So let me put you on this art shit You know smart shit Help you bring your mind to a better place Teach each other how to elevate Yeah, elevate, elevate, elevate, elevate yeah Oooh it's just a matter of time A matter of time (2x) Cause I ain't afraid to fail Can't you tell?  CHORUS 2x  I want it all...  (Instrumental)  I want it all (4x) T-t-t-tell me that it's selfish..."
/songs/791,Miguel,All I Want Is You,https://genius.com/Miguel-all-i-want-is-you-lyrics,http://api.genius.com/songs/791,All I Want Is You,2010-05-25,"[Verse 1: J. Cole] Damn, damn, damn, Cole World I never thought I see that day that you my ol' girl Now I’m stuck here hollerin' at old girl Got one, got two, three, four girls Shotgun in the drop made a right Hut one, hut two, told them hoes take a hike Then it’s on to the next, on, on to the next one Hard to move on when you always regret one   I wonder sometimes I wonder if I was wrong Tryna do right by you got me here Now all I am is alone   'Cause her eyes, n' those hips And that ass, don’t compare, at all, no And at best all they do is distract me but now Deep down when I face it   All I want is you All I want is you, now All I want is you now Now that you’re gone, gone, gone   'Cause being your friend is killin' me softly Hear voices, wonder where I went wrong It was my fault and the wrong time I wonder so often, regret gets exhaustin'   'Cause her eyes, n' those hips And that ass, don’t compare, at all, no And at best all they do is distract me but now Deep down when I face it   All I want is you, mmh All I want is you, now All I want is you now, sugar Now that you’re gone, gone, gone All I want is you, ooh-ooh, ooh All I want is you, now All I want is you now, baby Now that you’re gone, gone, gone Gone, gone  [Post-Chorus: Miguel & J. Cole] 'Cause they don’t smile or smell like you And they don’t make me laugh or even cook like you And they don’t photograph, nah, they don't sex like you Let's face it (yeah), I can’t replace it (yeah) That's why all I want is you now  [Verse 4: J. Cole] I hit the club when you left me thinking that could heal shit Tryna celebrate my Independence Day, Will Smith Baby girl who I’m kidding? Still sick, real shit All my new hoes seem to get old real quick And could it be you everything that these plain bitches couldn’t be? Is it a sign from the Lord that I shouldn’t be Lost in the player way, sorta get old to me Got me on layaway, girl you got a hold on me I say, ""I’m wrong"", you say, ""Come again?"" Damn, said I was wrong, look don’t rub it in I got a lot on my mind, got a flock full of dimes Like a line full of hoes, how they coming in Just sayin', don’t wanna have me then somebody will I’m playin', weight on my chest like I body build I’m prayin', you ain’t content with tryna do your thang And come back baby, boomerang   That's why all I want is you now All I want is you, now All I want is you now, sugar Now that you’re gone, gone, gone Gone, gone   Ooh, ooh Ooh, ooh, oh Yeah, now that you're gone, gone, gone I want you back"
/songs/3337480,Miguel,Anointed,https://genius.com/Miguel-anointed-lyrics,http://api.genius.com/songs/3337480,War & Leisure,2017-12-01,"{Intro} Yeah... yeah...   Lay your face on the pillow Push the covers where they belong I can't take my eyes off you We both know what we came here for To weigh the truth and the lie Should you lead, I will follow Only truth is allowed Hallowed fate knows no doubt 'Cause your body's ready for war And my body's built to endure   You, make me feel like a god Make me feel like I've been anointed Come to me, I'm your rod Death and resurrection (yeah, yeah) Death and resurrection (yeah, yeah) You make me feel like I'm a god Make me proud like I've been anointed Make me proud like I've been anointed Yeah... yeah... yeah   Every time is a blessing Would you baptize me in your love? (Baptize me in your love) You have no problem confessing (You've no problem with confession) Just as long as we speak in tongue  I lay my worship on you now Just kneel and say what you want Only truth is allowed As we sing our praises out loud Your body's begging for more And my body's built to endure   You, (you!) make me feel like a god Make me feel like I've been anointed Come to me, I'm your rod (yeah, yeah) Death and resurrection (yeah, yeah) Death and resurrection (yeah, yeah) Make me feel like I'm a god Make me proud like I've been anointed Make me proud like I've been anointed (Yeah, yeah, yeah, yeah, yeah, yeah) Yeah... yeah... yeah   When I'm tired and weak (when I'm tired and weak) You bring life to me I've been dying to see all your glory woman Your sweet glory woman (Glory woman)  (When I'm tired and weak) When I'm tired and weak (Tired, tired) You bring life to me I've been dying to see all your glory woman (Oh your body woman!) Beautiful glory woman (My God)   Oh You, (Ooo yeah!) make me feel like a god (Yeah, yeah, yeah) Make me feel like I've been anointed (Yeah, yeah) Come to me, I'm your rod (Yeah, yeah) Only want the blessing (Yeah babe) Death and resurrection (My god) You make me feel like I'm a god Make me proud like I've been anointed (Yeah, yeah, yeah) Make me proud like I've been appointed (Oh, ah) Been anointed (Oh, my God) Yeah, you've been appointed (Oh, ah) Been anointed (Oh, my God)"
/songs/1651592,Miguel,Arch N Point,https://genius.com/Miguel-arch-n-point-lyrics,http://api.genius.com/songs/1651592,None,2018-07-26,"Yeah Black leather skirt and a leopard print shirt whoa-oh We can skip dinner heading straight for desert whoa-oh oh ohh But when it feels so good then it just comes natural Baby arch your back, and point your toes Ballerina smart but your sex like art whoa-oh You see, rhythm is a talent that can not be taught whoaoh oh ohhh When it feels so good then it just comes natural Baby arch your back, and point your toes Ohhhhh I see you dont suppose mhm That every good girl knows oh Or that every bad girl knows So baby arch your back, and point your toes Fishnet Bodysuit Birthday cake woah-oh Fetish is a pleasure that could not be faked whoaoh oh ohhh When it feels this good then it just comes natural Baby arch your back, and point your toes ohh Polaroid flash baby anything goes Feelin hot dont keep your eyes closed Cause when it feels this good baby just come natural Baby arch youryou know what to do... Yeah baby You know I dont suppose Oooh That any good girl knows Yeahh or that every bad girls knows Arch your back and point your toes Mmmmm Mmmmmm Baby arch your back, and point your toes"
/songs/70219,Miguel,Arch & Point,https://genius.com/Miguel-arch-and-point-lyrics,http://api.genius.com/songs/70219,Kaleidoscope Dream,2012-03-27," Black leather skirt in a leopard print shirt, woah! Skip dinner heading straight for dessert, woah oh But when it feels so good then it just come natural Baby, arch your back and point your toes   Ballerina smart but your sex like art, oh I'm saying rhythm is a talent that cannot be taught, woah hoho, babe When it feels so good then it just come natural Baby, arch your back, point your toes   See, I don't suppose That every good girl knows All that every bad girl knows So baby, arch your back And point your toes, yeah   Fishnet bodysuit, birthday cake, woah Fetish is a pleasure that cannot be faked, woah hoho But when it feels this good then it just comes natural Baby, arch your back and point your toes   Oh, polaroid flash, baby, anything goes Feeling high, don't keep your eyes closed Cause when it feels this good, baby, just come natural Baby arch your You know what to do Yeah baby   You know I don't suppose Oh, that every good girl knows, yeah All that every bad girl knows Say, arch your back and point your toes, yeah   Baby, arch your back and point your toes"
/songs/3302612,Miguel,Banana Clip,https://genius.com/Miguel-banana-clip-lyrics,http://api.genius.com/songs/3302612,War & Leisure,2017-12-01," There's a war on love Just look around you (look around you) It's hard to know who to trust I'm glad I found you (So glad I found you) You and me, we climb higher Baby, crescendo (we reach a crescendo) yeah Got a love, it won't stop It's that extendo (it's that extendo oh)   (Girl) M16 on my lap (on my lap) Korean missiles in the sky No matter where I go on the map (on the map) You got my protection (oh my love) Banana clip on my love for you (yeah) Let it ring like (graa) Yeah, I let it ring like (graa) It's like I'm trigger happy (hahahaha) Banana clip on my love for you (ooh) Let it ring like (graa) Yeah, I let it ring like (graa) I guess I'm trigger happy (hahahaha)   You know I stay down, way down for you, talking limbo (Way down for you, yeah) And my love, it won't stop, got that extendo (it's that extendo) Yeah, yeah, yeah (ahaha)   (Girl) M16 on my lap (on my lap yeah) A lot of terror on her mind (on the mind yeah) No matter where I go on the map (oh oh yeah!) You got my protection Banana clip on my love for you (oh) Let it ring like (graa) Yeah, I let it ring like (graa) It's like I'm trigger happy (hahahaha) Banana clip on my love for you Yeah, let it ring like (graa) Yeah, I let it ring like (graa) I guess I'm trigger happy (ahahaha)   (Both eyes closed when I squeeze ya) Oh! le le le let me squeeze you, baby (You are all I need Both eyes closed when I squeeze) All I really need (All I really need, is love) They can't see me, oh no, I got the camo, hey yeah hey yeah (Stuff on when they light it up) Ready? Yeah, I'm ready like I'm Rambo, hey yeah, hey yeah (Quick to pull the trigger baby) Gotta hate got the love got the ammo, hey yeah, yeah, yeah I put the ""D"" in defender You know I never surrender No, no, no oh-oh!   For you, I let it ring like (graa) Yeah, I let it ring like (graa) It's like I'm trigger happy (hahaha) Banana clip on my love for you I let it ring like (graa) You know I- Ohh, ohh...trigger happy (hahaha) Both eyes closed when I squeeze, yeah You are all I need Both eyes closed when I squeeze Like all I really need Is love, love All I really need Is love, love All I really need Is love"
/songs/103909,Miguel,Bawdy,https://genius.com/Miguel-bawdy-lyrics,http://api.genius.com/songs/103909,None,2018-07-26," Vicious vixen, what is your vice? I need an addiction, what is your price? Is this you mansion, so anxious and sexy Invite all your girlfriends for our slumber party   Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah   Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be   Into the ballroom, a black masquerade Spell out to the garden, watch as they blaze Red wine and candy, I’m flowing freely Face in the fountain, baby let’s party   Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah Baby, let’s party ah, ah, ah   Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be   And don’t just sit, enjoy the bar (?) and laughter echo down the hall From every room, you can hear them call And they say oh, oh, oh, yeah And don’t just sit, enjoy the bar! (?) and laughter echo down the hall From every room, you can hear them call And they say oh-oh, oh-oh, oh-oh, get party And get party, party!   Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be Bawdy, yeah it gets me Bawdy, yeah and be"
