api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2293484,Miley Cyrus,1 Sun,https://genius.com/Miley-cyrus-1-sun-lyrics,http://api.genius.com/songs/2293484,Miley Cyrus and Her Dead Petz,2015-08-30," We all walk around and waste life It's just gonna go on forever Like there's some eternal endless supply of what it takes to keep us alive There might be a day when everything goes away To remind us how ungrateful our culture is We need to take time to replace what's stolen from Mother Nature   We only have 1 sun, 1 moon 1 me, 1 you And we only have a little time to show how much we love The sun (the sun), the moon (the moon) How much I really love you And we only have a little bit of time (time, time, time)   I once heard Grace Jones say I have my own concept of time I always think 'bout that 'cause I've always felt like I was running a little behind What's in front of me? I don't know, 'cause I can't see what hasn't started to grow   We only have 1 sun, 1 moon 1 me, 1 you And we only have a little time to show how much we love The sun (the sun), the moon (the moon) How much I really love you And we only have a little bit of time (time, time, time)   Wake up, world Can't you see the earth is crying? Wake up, world Can't you see all the clouds are dying? And maybe one day there won't be rainbows Grass won't be green and the sky won't be blue I don't wanna see a cyclone There's no sun, no moon No me, no you   We only have 1 sun, 1 moon 1 me, 1 you And we only have a little time to show how much we love The sun (the sun), the moon (the moon) How much I really love you And we only have a little bit of time (time, time, time)"
/songs/230464,Miley Cyrus,4x4,https://genius.com/Miley-cyrus-4x4-lyrics,http://api.genius.com/songs/230464,Bangerz,2013-10-04," 'Round and 'round and away we go 'Round and 'round and away we go Four by four and away we go High not low and away we go 'Round and 'round and away we go And away we go and away we go Four by four and away we go High not low and away we go   I'm a female rebel, can't you tell? Bang on the dashboard, just chipped a nail Lean out the window, that's when I yell Driving so fast 'bout to piss on myself Driving so fast 'bout to piss on myself Police wanna get him and put him in jail I'mma do whatever to get him his bail Hooked on donuts and rooster-tails   I'm in that passenger seat, riding high in the air And we're driving fast 'til we plumb out of gas, let's go   'Round and 'round and away we go 'Round and 'round and away we go Four by four and away we go High not low and away we go 'Round and 'round and away we go And away we go and away we go Four by four and away we go High not low and away we go   I'm a female rebel, can't you see? Riding 'round your backyard, who could it be? Pulling out the steering wheel right from the seat Pumping his breaks to the sound of the beat Pumping his breaks to the sound of the beat He don't understand what he's doing to me Deep down inside, like a pitbull in heat Someone's coming, so we head for the streets   I'm in that passenger seat, riding high in the air And we're driving fast 'til we plumb out of gas, let's go   'Round and 'round and away we go 'Round and 'round and away we go Four by four and away we go High not low and away we go 'Round and 'round and away we go And away we go and away we go Four by four and away we go High not low and away we go   It's twelve o'clock and I don't wanna party My big boyfriend and my big truck hobby A little bit of dirt never hurt nobody Now I got dirt all over my body Might as well lie to L His big fog lights is bright as hell Calls it off, he starts to yell He hits the gas so I grab the rail   Sure you wanna ride with me? If you scared, don't lie to me I'm a crazy motherfucker from the Midwest With a Mississippi flow and an Arch rest Four by four with the altar steps We doing donuts underneath the arch, yes! I need a chick on time, don't mind being early A ride-or-die, dollar six thirty A straight-up chick like twelve o'clock ""I don't know where he at"", that's what she tell the cops Take a stand for a nigga, raise a hand for a nigga ""I solemnly swear he was with me all day"" To the judge, ""he the one I love"" Hell they could tell, she don't even budge 'Round and 'round we go Don't stop 'til I tell you so   I'm in that passenger seat, flying high in the air And we're driving fast 'til we plumb out of gas, let's go   'Round and 'round and away we go 'Round and 'round and away we go Four by four and away we go High not low and away we go 'Round and 'round and away we go And away we go and away we go Four by four and away we go High not low and away we go   I'm a female rebel, who can't you tell, who can't you tell Who can't you tell? I'm a female rebel, who can't you tell, who can't you tell Who can't you tell?"
/songs/186002,Miley Cyrus,7 Things,https://genius.com/Miley-cyrus-7-things-lyrics,http://api.genius.com/songs/186002,Breakout,2008-06-17," Sha Sha Sha   I probably shouldn't say this But at times, I get so scared When I think about the previous Relationship we've shared It was awesome, but we lost it It's not possible for me not to care And now we're standing in the rain But nothing's ever gonna change until you hear, my dear   The 7 things I hate about you The 7 things I hate about you, oh, you You're vain, your games, you're insecure You love me, you like her You make me laugh, you make me cry I don't know which side to buy Your friends, they're jerks When you act like them, just know, it hurts I wanna be with the one I know And the 7th thing I hate the most that you do You make me love you   It's awkward and silent as I wait for you to say But what I need to hear now, your sincere apology When you mean it, I'll believe it If you text it, I'll delete it Let's be clear (clear, clear) Oh, I'm not coming back You're taking 7 steps here   The 7 things I hate about you You're vain, your games, you're insecure You love me, you like her You make me laugh, you make me cry I don't know which side to buy Your friends, they're jerks When you act like them, just know, it hurts I wanna be with the one I know And the 7th thing I hate the most that you do You make me love you   And compared to all the great things That would take too long to write I probably should mention the 7 that I like   The 7 things I like about you Your hair, your eyes, your old Levi's When we kiss, I'm hypnotized You make me laugh, you make me cry But I guess that's both I'll have to buy Your hand in mine When we're intertwined, everything's alright I wanna be with the one I know And the 7th thing I like the most that you do You make me love you   Sha, sha You do, oh Ooh-ooh-ooh-ooh, ooh-ooh-ooh (La, la, la) Ooh-ooh-ooh-ooh, ooh-ooh-ooh"
/songs/230455,Miley Cyrus,Adore You,https://genius.com/Miley-cyrus-adore-you-lyrics,http://api.genius.com/songs/230455,Bangerz,2013-12-17," Baby, baby, are you listening? Wondering where you've been all my life I just started living Oh baby, are you listening? Oh   When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you   Baby, can you hear me When I'm crying out for you? I'm scared, oh, so scared But when you're near me I feel like I'm standing with an army Of men armed with weapons   When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you   I love lying next to you I could do this for eternity, you and me We're meant to be in holy matrimony God knew exactly what He was doing When He led me to you   When you say you love me Know I love you more (I love you more) And when you say you need me Know I need you more Boy, I adore you I adore you   When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you"
/songs/1525886,Miley Cyrus,Are You Ready,https://genius.com/Miley-cyrus-are-you-ready-lyrics,http://api.genius.com/songs/1525886,Hannah Montana Forever,2010-10-15," Put on your coolest dress and your hottest pair of shoes C'mon, lets go, oh (let's go) Get in my car, turn the radio on up high I said high (ow) At the red light, boys trying to get the digits But we say bye, uh bye-bye 'Cause we're heading to the club Nothing's gonna stop us now, let’s go (Let's go, let's go), oh   Are you ready, are you ready, are you ready? Let's go Are you ready, are you ready, are you ready? Let's go Are you ready, are you?   Yeah, I'm coming up with all my girls We’re gonna party like there’s never a worry 'Cause good times rule; said, ""No curfew!"" We're showing off our moves, the breeze, so cool Let your hair down Tonight, you get to be a superstar   So were flirting with the dude at the door until he says were okay Hey (say word, okay) Move the velvet rope, back off, get out of our way Hey (c'mon, c'mon) All the guys got their eyes on us As we're moving out to the floor, oh Trying to waste our time But were doing what we came here for, oh (We're here to dance, baby)   Are you ready, are you ready, are you ready? Let's go Are you ready, are you ready, are you ready? Let's go Are you ready, are you?   Yeah, I'm coming up with all my girls We’re gonna party like there’s never a worry 'Cause good times rule; said, ""No curfew!"" We're showing off our moves, the breeze, so cool Let your hair down Tonight, you get to be a superstar   We get red carpet love When we come stepping up The boys keep dropping their jaws, can never get enough We make 'em stop and stare We see them everywhere And now you know who we are Tonight you're living like a superstar (superstar)   Are you ready, are you ready, are you ready? Let's go Are you ready, are you ready, are you ready? Let's go Are you ready, are you?   Yeah, I'm coming up with all my girls (my girls) We’re gonna party like there’s never a worry 'Cause good times rule; said, ""No curfew!"" We're showing off our moves, the breeze, so cool Yeah, I'm coming up with all my girls (my girls) We’re gonna party like there’s never a worry 'Cause good times rule; said, ""No curfew!"" We're showing off our moves, the breeze, so cool Let your hair down Tonight, you get to be a superstar   You're living like a superstar Tonight you get, get, get to, get to, be a, be a You're living like a superstar"
/songs/187194,Miley Cyrus,As I Am,https://genius.com/Miley-cyrus-as-i-am-lyrics,http://api.genius.com/songs/187194,Hannah Montana 2: Meet Miley Cyrus,2007-06-26," Gonna stay in bed today 'Cause I can't stand the light Don't know why I get so down I won't be much fun tonight And I can't believe you still want to hang around me   It's not so pretty all the time You don't mind To you, it's alright   As I am is how you take me Never try to push or make me different When I talk, you listen to me As I am is how you want me and I know I've found the piece that's missing I'm looking at him   I'm not the girl you think you see But maybe that's a lie You almost know me better than Me, myself, and I Don't know a lot of things But I know what I got   It's not so perfect every day I don't have to try 'Cause it all falls into place (It all falls into place)   As I am is how you take me Never try to push or make me different When I talk, you listen to me As I am is how you want me and I know I've found the piece that's missing I'm looking at him   Face-to-face, eye-to-eye You're standing there Feels good on the inside I don't mind, I don't care You're standing there Seeing me for the first time Seeing me for the first time Seeing me for the first time   As I am is how you take me Never try to push or make me different When I talk, you listen to me As I am is how you want me and I know I've found the piece that's missing (Found the piece that's missing) I'm looking at him   Found the piece that's missing Take me as I am When I talk, you listen Take me as I am Found the piece that's missing Take me as I am"
/songs/2860267,Miley Cyrus,"Baby, I'm In the Mood for You",https://genius.com/Miley-cyrus-baby-im-in-the-mood-for-you-lyrics,http://api.genius.com/songs/2860267,None,2016-09-16," Sometimes I’m in the mood I wanna leave my lonesome home Sometimes I’m in the mood I wanna hear my milk cow moan And sometimes I’m in the mood I wanna hit that highway road But then again, but then again, but then again, but then again I said, oh babe, I’m in the mood for you C'mon   Sometimes I’m in the mood (the mood) I wanna back up against the wall And sometimes I’m in the mood (the mood) I wanna live in my pony’s stall I said, sometimes I'm in the mood (the mood) I wanna do nothing at all But then again (again), but then again (again) But then again (again) , but then again I said, oh babe, I’m in the mood for you   Alight everybody, how we all doing tonight? Here at Jimmy Fallon, everybody in the audience Everybody at home, I can't forget about you I gotta say thanks to you Serious nowhere that I would rather be than right here in New York City, playing this song with The Roots And being here on Jimmy Fallon Let's all give it up for our host, who is always so much fun Unless you're Donald Trump And then don't even think about messing with my hair, I'm serious   Sometimes I’m in the mood I wanna change my house around And sometimes I’m in the mood I wanna change this whole town And sometimes I’m in the mood I’m wanna change the world around But then again, but then again, but then again, but then again I said, oh babe, I’m in the mood for you   Sometimes I'm in the mood (the mood) I wanna lay down and die Sometimes I'm in the mood (the mood) I wanna climb up to the sky And sometimes I'm in the mood (the mood) I wanna laugh until I cry But then again (again), but then again (again) But then again (again) , but then again I said, oh babe, I’m in the mood for you One more time   But then again, but then again, but then again, but then again I said, oh babe, I’m in the mood for you Thank you"
/songs/4208781,Miley Cyrus,Bad Karma,https://genius.com/Miley-cyrus-bad-karma-lyrics,http://api.genius.com/songs/4208781,MC7,2019-05-30," They say it’s  bad karma, being such a heartbreaker I'm always picked a giver, cause I've always been a taker I'd rather just do it, then I'll think about it later (uh-huh) Kiss me bad karma, uh (uh-huh)"
/songs/3201581,Miley Cyrus,Bad Mood,https://genius.com/Miley-cyrus-bad-mood-lyrics,http://api.genius.com/songs/3201581,Younger Now,2017-09-29," (Ooh) I wake up in a bad mood (Ooh) I wake up in a bad mood   I always wake up in a bad mood I can never fall asleep I'm always thinkin’ bout you What life would be if we didn't meet I always wake up in a bad mood Open my eyes then I'm on my feet And I wonder what you would do, yeah If you couldn’t rely on me   (Ooh) I wake up in a bad mood (Ooh) I wake up in a bad mood And you know that I got the proof We're held together just by a string And while you're hangin' round with your crew I'm here balancin' too many things   I always wake up in a bad mood I'm sick of rushing straight to the sink You're acting like you ain’t got the news I don’t even really care what you think But what I do, you know I do with love I believe in more than you can see And you know I'm never givin’ up I ain't stoppin' till I know I'm free   (Ooh) I wake up in a bad mood (Ooh) I wake up in a bad mood The glass ceilings gotta break All together, wanna hear ya say ""I don’t know how much more it can take""   You know it's gone on way too long (don't ya?) And you know it's wrong (don't ya?) But I know I'm strong (don't ya?) I don't give up (no sir) And when it gets rough (rough) I get tough (tough) I've had enough   (Ooh) I wake up in a bad mood (Ooh) I wake up in a bad mood And when the light starts getting dim I'll open windows up and let it in Sometimes it feels like it's 'bout to end Before it's all about to begin   (Ooh) I wake up in a bad mood (Ooh) I wake up in a bad mood"
/songs/365546,Miley Cyrus,Bangerz Tour Dates,https://genius.com/Miley-cyrus-bangerz-tour-dates-lyrics,http://api.genius.com/songs/365546,Bangerz Tour,2015-03-23,"February 14       Vancouver, BC, Rogers Arena February 16       Tacoma, WA, Tacoma Dome February 20       Anaheim, CA, Honda Center February 22       Los Angeles, CA, Staples Center February 24       Oakland, CA, Oracle Arena February 25       San Jose, CA, SAP Center February 27       Phoenix, AZ, US Airways Center March 1             Las Vegas, NV, MGM Grand Garden Arena March 4             Denver, CO, Pepsi Center March 6             Omaha, NE, CenturyLink Center March 7             Chicago, IL, Allstate Arena March 9             Milwaukee, WI, BMO Harris Bradley Center March 10           St. Paul, MN, Xcel Energy Center March 12           Dallas, TX, American Airlines Center March 13           Tulsa, OK, BOK Center March 15           San Antonio, TX, AT&T Center March 16           Houston, TX, Toyota Center March 18           New Orleans, LA, Smoothie King Center March 20           Tampa, FL, Tampa Bay Times Forum March 22           Miami, FL, American Airlines Arena March 24           Orlando, FL, Amway Center March 25           Atlanta, GA, Philips Arena March 29           Montreal, QC, Bell Centre March 31           Toronto, ON, Air Canada Centre April 2                Boston, MA, TD Garden April 3                East Rutherford, NJ, IZOD Center April 5                Brooklyn, NY, Barclays Center April 7                Charlotte, NC, Time Warner Cable Arena April 8                Raleigh, NC, PNC Arena April 10              Washington, DC, Verizon Center April 12              Detroit, MI, The Palace Of Auburn Hills April 13              Columbus, OH, Schottenstein Center April 15              Kansas City, MO, Sprint Center April 16              St. Louis, MO, Scottrade Center April 18              Nashville, TN, Bridgestone Arena April 19              Louisville, KY, KFC YUM! Center April 22              Philadelphia, PA, Wells Fargo Center April 24              Uniondale NY, Nassau Coliseum"
