api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/722386,Muse,Aftermath,https://genius.com/Muse-aftermath-lyrics,http://api.genius.com/songs/722386,Drones,2015-06-05," War is all around I'm growing tired of fighting I've been drained and I can't hide it But I have strength for you, you're all that's real anymore I am coming home now, I need your comfort   From this moment From this moment You will never be alone We're bound together Now and forever The loneliness has gone   States are crumbling, and walls are rising high again It's no place for the faint-hearted But my heart is strong because now I know where I belong It's you and I against the world And we are free   From this moment From this moment You will never be alone We're bound together Now and forever The loneliness has gone   We've gone against the tide All we have is each other now I am coming home now I need your comfort   From this moment From this moment You will never be alone We're bound together Now and forever The loneliness has gone   From this moment From this moment You will never be alone We're bound together Now and forever The loneliness has gone   From this moment From this moment You will never be alone We're bound together Now and forever The loneliness has gone   We're bound together Now and forever The loneliness has gone"
/songs/200130,Muse,Agitated,https://genius.com/Muse-agitated-lyrics,http://api.genius.com/songs/200130,Random 1-8,1999-06-14," You make me agitated With all the things you've hated But you're uncomplicated So why should it affect you My loving was so untrue? Yeaaahhhh...   You do it to me sweetly To my yeah-yeah, You do it to me lovely To my yeah-yeah   You try to make me crazy You make me agitated But we're not suffocated So why should it affect you My loving was so untrue?   You do it to me sweetly To my yeah-yeah, You do it to me lovely To my yeah-yeah"
/songs/3836258,Muse,Algorithm,https://genius.com/Muse-algorithm-lyrics,http://api.genius.com/songs/3836258,Simulation Theory,2018-11-09," Burn like a slave Churn like a cog We are caged in simulations Algorithms evolve Push us aside and render us obsolete   This means war With your creator This means war With your creator   Reload, crash out   This means war With your creator This means war With your creator"
/songs/89828,Muse,Animals,https://genius.com/Muse-animals-lyrics,http://api.genius.com/songs/89828,The 2nd Law,2013-04-20, Animal You’re an animal Don’t take anything less Out of control You’re out of control Strike those in distress   Analyse Advertise Expand Bend more rules Buy yourself an island   Animals We’re animals Buy when blood is on the street Out of control We’re out of control Crush those who beg at your feet   Analyse Franchise Spread out Kill the competition And buy yourself an ocean   Amortise Downsize Lay off Kill yourself Come on and do us all a favour  
/songs/87159,Muse,Apocalypse Please,https://genius.com/Muse-apocalypse-please-lyrics,http://api.genius.com/songs/87159,Absolution,2003-09-15," Declare this an emergency Come on and spread a sense of urgency And pull us through And pull us through   And this is the end, the end This is the end Of the world   And it's time we saw a miracle Come on it's time for something biblical To pull us through And pull us through   And this is the end, the end This is the end Of the world   Proclaim eternal victory Come on and change the course of history And pull us through And pull us through   And this is the end, the end This is the end Of the world"
/songs/199798,Muse,Ashamed,https://genius.com/Muse-ashamed-lyrics,http://api.genius.com/songs/199798,Newton Abbot Demo,1999-02-21, I know there's something that you're dying to tell me I hope it's not about you in case you love me   Make sure that no-one finds out Tell me all about it Don't keep it to yourself Cause I can't bear the thought I'll never leave you quietly I know you'll find me It doesn't matter cause I'm in control   I know that you're ashamed So emotional it kills you Don't you know that you're ashamed So emotional it kills you   There's always something that makes you guilty There's still something that you're dying to tell me   Make sure that no-one finds out Tell me all about it Don't keep it to yourself Cause I can't bear the thought I'll never leave you quietly I know you'll find me It doesn't matter cause I'm in control   I know that you're ashamed So emotional it kills you Don't you know that you're ashamed So emotional it kills you
/songs/196274,Muse,Assassin,https://genius.com/Muse-assassin-lyrics,http://api.genius.com/songs/196274,Black Holes and Revelations,2006-07-03," War is overdue The time has come for you To shoot your leaders down Join forces underground   Lose control An increasing pace Warped and bewitched In time to erase Whatever they say These people are torn Wild and bereft Assassin is born, yeah   Whoaaaa, yeaahhhh (Aim! Shoot! Kill your leaders! Aim! Kill them all!)   Oppose and disagree Destroy demonocracy   Lose control An increasing pace Warped and bewitched In time to erase Whatever they say These people are torn Wild and bereft Assassin is born, yeah   Go!"
/songs/2393881,Muse,Backdoor,https://genius.com/Muse-backdoor-lyrics,http://api.genius.com/songs/2393881,This is a Muse Demo,1995-05-01, See you standing Wish you want me just a little bit Wish you love me just a little bit Cause now I want it all the time And I know that it's no crime But I don’t know why   Now I want it all the time And I know that it's no crime But I don’t know why   Now we're holding all the time Two can sing to no longer mind I hope that you will see me through Through the Backdoor Looking out for a jack-door For all the things that we hoped for Thrown it in a pool of fear Pool of fear
/songs/766887,Muse,Back in Black,https://genius.com/Muse-back-in-black-lyrics,http://api.genius.com/songs/766887,None,2016-10-28," Back in black, I hit the sack I've been too long, I'm glad to be back Yes I'm, let loose from the noose That's kept me hanging about I keep looking at the sky cause it's getting me high Forget the hearse cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild   Well, I'm back, Yes I'm back Well, I'm back, Yes I'm back Well, I'm back, back Well I'm back in black Yes I'm back in black   Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So look at me now I'm just making my play Don't try to push your luck, just get out of my way   Cause, I'm back, Yes I'm back Well, I'm back, Yes I'm Well, I'm back, back Well I'm back in black Yes I'm back in black   Well, I'm back, Yes I'm back Well, I'm back, Yes I'm back Well, I'm back, back Well I'm back in black Yes I'm back in black   Ho yeah Oh yeah Yes I am Oh yeah, yeah oh yeah Back in now Well I'm back (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back Back in black Yes I'm back in black Outta sight"
/songs/946890,Muse,Balloonatic,https://genius.com/Muse-balloonatic-lyrics,http://api.genius.com/songs/946890,Newton Abbot Demo,1999-09-07,"  You came You came, you scorched her You came, unstained you adore her    United again Like separated twins United again    You You will remember She knows, she knows you want her    United again Like separated twins United again    United again Like separated twins You can be...    Come gentle, slowly Down tonight"
