api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/1837257,Natasha Bedingfield,Ain't Nobody,https://genius.com/Natasha-bedingfield-aint-nobody-lyrics,http://api.genius.com/songs/1837257,I Bruise Easily - EP,None, Captured effortlessly That's the way it was Happened so naturally I did not know it was love The next thing I felt was You holding me close What was I gonna do? I let myself go  And now we're flyin' through the star I hope this night will last forever   I've been waitin' for you It's been so long I knew just what I would do When I heard your song Filled my heart with your bliss Gave me freedom You knew I could not resist I needed someone  And now we're flyin' through the stars I hope this night will last forever Oh oh oh oh   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better than you   I wait for night time to come And bring you to me Can't believe I'm the one I was so lonely   I feel like no one could feel I must be dreamin' I want this dream to be real I need this feelin'   I make my wish upon a star And hope this night will last forever   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better than you   And first you put your arms around me Then you put your charms around me I can't resist this sweet surrender Oh my nights are warm and tender We stare into each other's eyes And what we see is no surprise Got a feeling most with treasure And a love so deep we cannot measure   Ain't nobody Loves me better Makes me happy Makes me feel this way Ain't nobody Loves me better than you
/songs/988110,Natasha Bedingfield,A Little Too Much,https://genius.com/Natasha-bedingfield-a-little-too-much-lyrics,http://api.genius.com/songs/988110,Strip Me,2010-08-31," Sometimes it hits like a car crash And it's too late to reverse Sometimes you make me a better person Sometimes you bring out the worst Sometimes we get on like fire Sometimes we're stubborn like rain Just when I think that it's over, over You wave a white flag again Ahh, ahh We fall out and we fall back in Ahh, ahh We're always back where we begin   Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all I'd rather love just a little too much   Sometimes we're trapped in a circle 'Til we're digging holes in the ground We try, but nothing is working But still I want you around 'Cause if I'm lost in the desert I know somehow you'll find me And if I drown in the oceans You'll be the first to rescue me   Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all I'd rather love just a little too much Whoa, oh, oh, oh, oh Whoa, oh, oh, oh, oh Whoa, oh, oh, oh, oh Everybody hurts just a little too much Everybody hurts, but it's never enough Ahh, ahh We fall out then we fall back in Ahh, ahh We're always back where we begin Everybody hurts just a little too much Everybody hurts, but it's never enough It's wonderful to fall Let's love and risk it all Even if it hurts just a little too much I'd rather love just a little too much"
/songs/1837228,Natasha Bedingfield,All I Need,https://genius.com/Natasha-bedingfield-all-i-need-lyrics,http://api.genius.com/songs/1837228,Strip Me,2010-08-31," Hey, hey, hey Hey, hey, hey   I'm a dreamer, I'm a gypsy I'm a river passing by Got to run to keep up with me I'm a sailor in the sky And if I keep my heart open If I wear it on my sleeve No matter what life's throwing Nothing's ever gonna get to me Hey, hey, hey   All I need is what I've got My soul is free and I've got more than enough I believe in love and I'll never stop That's why all I need is what I've got Let it row, row, row, right off my back Let it flow, flow, flow, that's where I'm at Let it row, row, row, right off my back Let it flow, flow, flow, that's where I'm at   I'm working up to something So don't drag me down with you We're all looking for that one thing That's gonna pull us through And I'll keep my heart open Even if it starts to bleed And all the daggers that you're throwing Are gonna bounce right off of me Hey, hey, hey   Because when I arrive I, I bring the fire Make you come alive I can take you higher What this is? Forgot? I must now remind you Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock   When I release and I set free Giving fear it's amnesty And I give in, and I let out Overthrowing any doubt This is my sanctuary, yeah   All I need is what I've got My soul is free and I've got more than enough I believe in love and I'll never stop That's why all I need is what I've got Because when I arrive I, I bring the fire Make you come alive I can take you higher What this is? Forgot? I must now remind you Let it rock, let it rock, let it rock (that's why all I need is what I got)   Let it row, row, row, right off my back Let it rock, let it rock, let it rock Let it row, row, row, right off my back Let it rock, let it rock, let it rock That's where I'm at"
/songs/1319085,Natasha Bedingfield,Angel,https://genius.com/Natasha-bedingfield-angel-lyrics,http://api.genius.com/songs/1319085,Pocketful of Sunshine,2008-01-15," A-N-G-E-L A-N-G-E-L   Just like a shadow I'll be beside you I'll be your comfort I'm there to guide you, home I will provide you a place of shelter I wanna be your zone I'll act as if you do Tell me what you wanted me to do I'll make you great to be a man With a woman who can stand With every promise given Making vows to please her man   If I could be your angel (your angel, your angel) Protect you from the pain (from the pain, oh) I'll keep you safe from danger (from danger, from danger) You'll never hurt again (no more) I'll be your A-N-G-E-L Yeah, A-N-G-E-L Hey A-N-G-E-L I'm gonna be your A-N-G-E-L I'll be your angel   Just like the moon I'll step beside And let your sun shine While I follow behind 'Cause baby, what ya got It deserves all the props You're everything I'm not And I’m so glad you’re mine I'll act as if you do Tell me what you wanted me to do I'll make it great to be a man With a woman who can stand With every promise given Making vows to please her man   If I could be your angel (If I could be your angel, your angel) Protect you from the pain (I will protect you from the pain, oh) I'll keep you safe from danger (I'm gonna keep you safe from danger, from danger) You'll never hurt again (you'll never hurt again) I'll be your A-N-G-E-L Yeah, A-N-G-E-L Hey A-N-G-E-L I'm gonna be, gonna be your A-N-G-E-L   Tell me why there's so many good men Left in the world misunderstood He's a dog, he's no good I wish somebody would Disrespect my man You're gonna have to come see me I work hard for my baby He's all that I need   So if you got a good one Put your hands up Come on girl and stand up Go ahead lift your man up Get up If you got a good one, put your hands up Go ahead lift your man up Get up If you got a good one, stand up Come on girl, and stand up   If I could be your angel (your angel, your angel) Protect you from the pain (from the pain, oh) I'll keep you safe from danger (I'll keep you sagefrom danger, from danger) You'll never hurt again (no more) I'll be your A-N-G-E-L A-N-G-E-L I'm gonna be your A-N-G-E-L A-N-G-E-L I'll be your angel"
/songs/3177032,Natasha Bedingfield,Anyone Else,https://genius.com/Natasha-bedingfield-anyone-else-lyrics,http://api.genius.com/songs/3177032,Unreleased,None," Listen up, listen up   When I am next to you Is a flood with danger So I better beware Everything you do I'm so attracted to I keep on liking you More and more and more   Everybody got the same moves Like they've all been photoshopped But baby, when I look at you That's the one thing that you're not Baby, you're messed up That's OK, I am too So baby, don't change a thing 'Cause I wouldn't wanna be with anyone else but you Imperfections make me weak A man who's not afraid to weep It only shows me that you're deep enough for me to drown in Imperfections' who you are, all your bruises and your scars You got all the character enough for us to lovin'   Don't wanna be with anyone else Don't wanna get with anyone new Don't wanna be with anyone else 'Cause it won't be love if it's not with you   You made me change my mind About things that I didn't like And now they are some of my favorite things I never would expect That I'd have no regret You're different cause you're rough around the edges   Everybody got the same moves Like they've all been photoshopped But baby, when I look at you That's the one thing that you're not Baby, you're messed up That's OK, I am too So baby, don't change a thing 'Cause I wouldn't wanna be with anyone else but you Imperfections make me weak A man who's not afraid to weep It only shows me that you're deep enough for me to drown in Imperfections' who you are, all your bruises and your scars You got all the character enough for us to lovin'   Don't wanna be with anyone else Don't wanna get with anyone new Don't wanna be with anyone else 'Cause it won't be love if it's not with you Don't wanna be with anyone else Don't wanna get with anyone new Don't wanna be with anyone else 'Cause it won't be love if it's not with you With you baby, yeah, yeah, yeah   Everybody got the same moves Like they've all been photoshopped But baby, when I look at you That's the one thing that you're not Baby, you're messed up That's OK, I am too So baby, don't change a thing 'Cause I wouldn't wanna be with anyone else but you Imperfections make me weak A man who's not afraid to weep It only shows me that you're deep enough for me to drown in Imperfections' who you are, all your bruises and your scars You got all the character enough for us to lovin' Your Imperfections make me weak A man who's not afraid to weep It only shows me that you're deep enough for me to drown in Imperfections' who you are, all your bruises and your scars You got all the character enough for us to lovin'"
/songs/116678,Natasha Bedingfield,Backyard,https://genius.com/Natasha-bedingfield-backyard-lyrics,http://api.genius.com/songs/116678,N.B.,2007-03-12," It’s been too long Don’t think I’ve seen you smile at me for quite a while And we’re too busy doing things, we haven’t noticed what’s missing Where’s the fun we used to have? My childish ways and your sarcasm Silly jokes and fairy tales, where did we leave them? Lost in the backyard   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were, in the backyard? In the backyard   Simple days of hand in hand, and drawing our names in the sand Somehow life just complicates, our buried treasure it just waits Lost in the backyard   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were, in the backyard? In the backyard   Oh, oh, oh In the backyard Lost, in the backyard Lost you, in the backyard Oh, oh, oh In the backyard You can still meet me in the garden, you and I And hide behind the roses bed You and I, you and I, lost in the backyard, again   Your lasso, my tiara My wand, your plastic bazooka Why can’t we be how we were, in the backyard? Your cowboy hat, my tutu You hide and seek, I catch you Why can’t we be how we were in the backyard? In the backyard"
/songs/3305349,Natasha Bedingfield,Bigger Picture,https://genius.com/Natasha-bedingfield-bigger-picture-lyrics,http://api.genius.com/songs/3305349,Unreleased,None," Oh, oh, oh, yeah   Freshly hinged upon a shaking nail Afraid to move incase I fail Break the cycle by the tail Don't look down, don't look down (Don't look down, don't look down) I'm not looking for anything final But I'm missing something vital Look at my CD'S and all my vinyl But it's not there, won't find it there It's not there, it's not there   Bigger picture I'm trying to figure out How can I be sure? More perspective, moving quick Missing out on what I'm here for The picture's bigger all the time Not always standing in a line Thought I can see the whole thing through But I was a fool Yeah, yeah Oh, yeah, yeah   It's time I learned to stop tripping on my own feet It's not healthy, all this focusing on me So much looking down, can see the road Let it go, let it go, let it go, let it go   Bigger picture I'm trying to figure out How can I be sure? More perspective, moving quick Missing out on what I'm here for The picture's bigger all the time Not always standing in a line Thought I can see the whole thing through But I was a fool Yes, I was   I've been frame, my outlook rearranged I'm safe, but only in comparison to what is thought The only crime is getting caught So I thought, yeah, yeah (but things are different than I thought, oh)   Bigger picture I'm trying to figure out How can I be sure? More perspective, moving quick Missing out on what I'm here for (there's a bigger picture) Bigger picture Oh, I'm trying how to figure out, can I be sure? More perspective, moving quick Missing out on what I'm here for   The picture's bigger all the time Not always standing in a line Thought I can see the whole thing through But I was a fool (yes I was)"
/songs/1007789,Natasha Bedingfield,Break Thru,https://genius.com/Natasha-bedingfield-break-thru-lyrics,http://api.genius.com/songs/1007789,Strip Me,2010-08-31," For every taste For every try For every tear That never dried I need your touch For you to take Away the pain Through every fall Through every flame Through every trial Along the way I hope you'll wait Behind those clouds Just like the sun   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough What we need is a breakthrough   I lose my way I lose my trust I lose myself When I lose us I find my strength To start again When you're with me   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough What we need is a breakthrough What we need is a breakthrough, oh   That's what we need For us to breakthrough That's all that it takes All we need, all we need is breakthrough Oh   I'd climb to the edge of a mountain for you I'll go to the ends of the world to find you We'll dance in the shadows until we reach a Breakthrough Breakthrough Oh What we need is a breakthrough   We do whatever it takes We do whatever it takes We do whatever it takes"
/songs/3405893,Natasha Bedingfield,Bring Me Back,https://genius.com/Natasha-bedingfield-bring-me-back-lyrics,http://api.genius.com/songs/3405893,Unreleased,None," In and out of love again Just wanting more Gotta know for sure I was only trying to find my way And I found myself outside your door When I see your face I remember who I am You showed me again Whatever happens, don't let me let go of your hand   Searching for a feeling I never knew And something keeps bringing me back to you At times, I didn't know how I will get through But something keeps bringing me back to you I wanna be the sky that you shine in me 'Cause something keeps bringing me back to you Now I can run away from something so true 'Cause something keeps bringing me back to you   You're there for me You're always there You're the love I keep coming back for You're there for me You're always there   You're the love I keep coming back for Flitting like a butterfly (La la la la) I am spirit free I still own me I get my temporary high But it never compares to this When I see your face I remember who I am You showed me again Whatever happens, don't let me let go of your hand   Searching for a feeling I never knew And something keeps bringing me back to you At times, I didn't know how I will get through But something keeps bringing me back to you I wanna be the sky that you shine in me Cause something keeps bringing me back to you Now I can run away from something so true Cause something keeps bringing me back to you   You're there for me You're always there You're the love I keep coming back for You're there for me You're always there You're the love I keep coming back for   You're the only constant in my life Like the sun that's always keeping me warm You're the only constant thing that's right When everything in my life has gone wrong You're the only constant in my life Like the sun that's always keeping me warm You're the only constant thing that's right When everything in my life has gone wrong   You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back You bring me back, you bring me back   Searching for a feeling I never knew And something keeps bringing me back to you At times, I didn't know how I will get through But something keeps bringing me back to you I wanna be the sky that you shine in me Cause something keeps bringing me back to you Now I can run away from something so true Cause something keeps bringing me back to you   You're there for me You're always there You're the love I keep coming back for You're there for me You're always there You're the love I keep coming back for   You bring me back, you bring me back Bring me back to life You bring me back, everytime you bring me back You bring me back to life Yeah, yeah"
/songs/1592546,Natasha Bedingfield,Can't Fall Down,https://genius.com/Natasha-bedingfield-cant-fall-down-lyrics,http://api.genius.com/songs/1592546,Strip Me,2010-08-31," I'm at the point of almost breaking now I've knocked on every door in this cold town (yeah) The higher you go, the harder you fall If I wanna be safe, then I just stay small Wanna grow to the sky where it's beautiful But I can't see that from the forest floor   How can I hold it together When nothing I try makes it better? I just wanna lay here forever 'Cause if I don't get up, then I can't fall down   There is no manual for a broken heart I want to use it, but it's all in parts (oh) The more you fall in, the harder to see If this time it's different, will I want to release? And I don't know if I have it in me To love again in the face of defeat   How can I hold it together When nothing I try makes it better? I just wanna lay here forever 'Cause if I don't get up, then I can't fall down (Yeah, yeah, yeah, oh) And if I don't get up, I won't let me down   Hope is irresistible Hope is irresistible 'Cause if I don't get up, one day I will, somehow   Nothing I try makes it better I just wanna lay here forever 'Cause if I don't get up, then I can't fall down And if I don't get up, it can let me down No, no, no If I can't get up now, one day I will, somehow"
