api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/227377,Neil Diamond,Acapulco,https://genius.com/Neil-diamond-acapulco-lyrics,http://api.genius.com/songs/227377,The Jazz Singer (Original Motion Picture Soundtrack),1981-01-01,"There's love in the air Well, can you feel it now? There's love in the air, and that's nice  You're learnin' a lot About each other's ways You're learnin' a lot, ain't that right?  You work like a dog to try and get it good You work with your heart, every day You know when you're through You're gonna take your friend and get away  To Acapulco (to Acapulco) That's where they'll find us In sunny blue waters Where the sand is warm and friendly  Hey Acapulco, (hey Acapulco) I hear you softly calling We're sailing around the horn of love To Acapulco  It's good and it's bad When things are going right It's good and it's bad, when they swing But you know that you're glad You finally get it right You know that you're glad, so you sing  But at seventy two, it's hard to get around At seventy two, but not now It's me and it's you and we can get around 'Cause we know how....  In Acapulco, (in Acapulco) That's where they'll find us In sunny blue waters Where the sand is warm and friendly  Hey Acapulco, (hey Acapulco) I hear you softly calling We're sailing around the horn of love To Acapulco We're sailing around the horn of love To Acapulco"
/songs/228448,Neil Diamond,Act Like a Man,https://genius.com/Neil-diamond-act-like-a-man-lyrics,http://api.genius.com/songs/228448,Home Before Dark,None,Songmaker You heartbreaker You figure Better stop it while you can You know you're just a worthless daydreamer But hey dreamer It's time to act like a man  Song writin' It's just a little bit frightenin' Like playin' with lightening I'm not complainin' now you understand You get to sing and dance all day Like children play But it's time to act like a man  Bein' a man means responsible You hear it wherever you go Nothing is ever impossible Something inside tells me so And I know What I know  Say lover Better discover Some other way to turn your head around again And really don't you wait now It's gettin' late now It's time to act like a man  Bein' a man means responsible You hear it wherever you go Nothing is ever impossible Something inside tells me so And I know what I know  Songmaker You heartbreaker You figure You better stop it while you can You know you're just a worthless daydreamer But hey dreamer It's time to act like a man  You've got to act like a man Why don't you grow up and act like a man?
/songs/227371,Neil Diamond,Adon Olom,https://genius.com/Neil-diamond-adon-olom-lyrics,http://api.genius.com/songs/227371,None,None,Adon olom asher moloch B'terem kol y'tzirnivro L'eis nasso B'cheftzo kol Azay melech sh'mo nikro  V'acha rey kichlos hakol L'vado yimloch noro V'hu hoyoh v'hu hoveh U'hu yih yeh B'siforoh  B'yo do afkid ruchi B'eis i shan v'oi roh V'im ruchi g'viyossi Adoshemli V'lo iroh
/songs/229496,Neil Diamond,A Fool All Over Again,https://genius.com/Neil-diamond-a-fool-all-over-again-lyrics,http://api.genius.com/songs/229496,None,None,"You left me once For someone new dear Then he left you , dear And to ease your pain I took you back Now I discover you've found another And I'm a fool all over again  You came back cryin' Said you were wrong But you were lyin' all along My friends all said That you'd forsake me And that you'd make me Part of your game But I said No, she she'll stop her messin' She's learned her lesson Now I'm a fool all over again"
/songs/227850,Neil Diamond,A Fool For You,https://genius.com/Neil-diamond-a-fool-for-you-lyrics,http://api.genius.com/songs/227850,Heartlight,None,"I'm a fool for your love And it scares me somehow What I do for your love And what I need from you now It's all because of you You've gone beyond all my pride To where my dream world begins To where the little man hides I need you so bad And you're so far inside me now That I can't turn you away Well, you're so far inside me now That I hardly know What to say or what to do I'm a fool for you  I'm a fool for you  It's a wide open world And it's easy to fall In the eyes of the world When you reach for it all But it's because of you You've overcome all my fears You found your way down the road To where I hide all my tears And I need you so bad And you're so far inside me now That I can't turn you away And you're so far inside me now That I hardly know What to say or what to do Well you're so far inside me now That I hardly know What to say or what to do And you're so far inside me now That I hardly know What to say or what to do"
/songs/228185,Neil Diamond,A Good Kind of Lonely,https://genius.com/Neil-diamond-a-good-kind-of-lonely-lyrics,http://api.genius.com/songs/228185,None,None,"When, we say good night I got to feelin' blue I'm holey when you leave me Alone, yeah But in my heart I know That you'll be back in, so I may be blue but it's a -ah oh oh yeah- A good kind of lonely  I'm the happiest When you're by my side But there are times When we must be apart Then I just think of when You'll hold me close again And I'm not sad 'cause it's a -ah oh oh yeah- A good kind of lonely  A bad kind of lonely Is the kind that you have When love says goodbye Turns your heart inside out Makes you want to die oh oh But as long as I have you I know I won't be blue You make me happy Just by bein' around, yeah And when you go away I'll never be afraid uh huh I know you leave me with a -ah oh oh yeah- A good kind of lonely A good kind of lonely"
/songs/1042132,Neil Diamond,A Groovy Kind Of Love,https://genius.com/Neil-diamond-a-groovy-kind-of-love-lyrics,http://api.genius.com/songs/1042132,Up on the Roof: Songs From the Brill Building,None,When I'm feeling blue All I have to do Is take a look at you And then I'm not so blue When you're close to me I can feel your heart beat I can hear you breathing In my ear Wouldn't you agree Baby you and me Got a groovy kind of love We got a groovy kind of love  Anytime you want to You can turn me on to Anything you want to Anytime at all When I taste your lips Ooh I start to shiver Can't control the quivering inside Wouldn't you agree Baby you and me We got a groovy kind of love We got a groovy kind of love  I love you I love you I love you it's true When I'm feeling blue All I have to do Is take a look at you And then I'm not so blue When I'm in your arms Nothing seems to matter If the whole world could shatter I don't care  Wouldn't you agree Baby you and me We got a groovy kind of love We got a groovy kind of love
/songs/222139,Neil Diamond,Ain't No Sunshine,https://genius.com/Neil-diamond-aint-no-sunshine-lyrics,http://api.genius.com/songs/222139,Dreams,None,"Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long anytime she goes away  Wonder this time where she's gone Wonder if she's gone to stay Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  And I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know, I know  Hey, I ought to leave the young thing alone But ain't no sunshine when she's gone, only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  Anytime she goes away Anytime she goes away Anytime she goes away Anytime she goes away"
/songs/226070,Neil Diamond,Ain't No Way,https://genius.com/Neil-diamond-aint-no-way-lyrics,http://api.genius.com/songs/226070,"Touching You, Touching Me",None,"Ain't no way To get you out of me Baby, there ain't no way In the whole wide world I'm about to see By and by You're all I ever need Baby, when I forget how good life is You bring it home to me  And I say hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Hey Hey Ain't no way  Good time come Ain't no doubt on it Tomorrow sure looks somethin' else No matter where I sit  Good time here Big plum without no pit And baby, there ain't no way to forget That you're the why of it  And I say hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Hey Hey Ain't no way  And I say hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Ain't no way  Hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Come on, hey Ain't no way"
/songs/229497,Neil Diamond,"A Little Bit Me, A Little Bit You",https://genius.com/Neil-diamond-a-little-bit-me-a-little-bit-you-lyrics,http://api.genius.com/songs/229497,None,None,"Walk out Girl don't you walk out We've got things to say Talked out, let's have it talked out Thinks will be okay  Girl I don't want to fight I'm a little bit wrong And you're a little bit right  I said Girl You know that its' true It's a little bit me ( a little bit me) And it's a little bit you.... too Don't know .... Just what I said wrong But girl I apologize Don't go... here's where you belong So wipe the tears from your eyes  Girl I don't want to fight I'm a little bit wrong And you're a little bit right I said girl You know that it's true It's a little bit me And it's a little bit you... too  Oh girl I don't want to fight I'm a little bit wrong And you're a little bit right I said girl You know that it's true It's a little bit me And it's a little bit you.... too  It's a little bit me It's a little bit you Girl don't go No no no no no Girl don't go No no no no no Hey girl, please don't go"
