api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/996069,Nelly Furtado,Abre Tu Corazón,https://genius.com/Nelly-furtado-abre-tu-corazon-lyrics,http://api.genius.com/songs/996069,None,2016-06-07,"Pinta mi cara en la pared, ponle el color que quieres ver Píntame a tu parecer, no tengo nada que esconder Tu alma esta en el mar ninguna red la va a atrapar Si persigues tu verdad nada podrá cambiarla  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Abre tu corazón, abre tu corazón  Hoy vi mi cara en la pared Y por el paso sólo ves Soy de piel o de papel, ¿a quién le importa? No existe la razón, el arte es la televisión Nadie pone el corazón en lo que hace  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Abre tu corazón, abre tu corazón  Hoy vi mi cara en la pared Y por el paso sólo ves Soy de piel o de papel, ¿a quién le importa? No existe la razón, el arte es la televisión Nadie pone el corazón en lo que hace  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Abre tu corazón, abre tu corazón, abre tu corazón  Y ahora es el momento de decirlo fuerte y claro Sin arrepentimientos, sin dudar, sin lamentarlo Si estás afuera ven aquí, puede ser que tu prefieras La puerta sigue abierta es para ti  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Esta vida es un esplendour Un arcoiris de ilusión Y si en ti no brilla el sol Tú no hallarás la solución  Hoy vi mi cara en la pared Y por el paso sólo ves Soy de piel o de papel, ¿a quién le importa? Pinta mi cara en la pared, del color que quieres ver Es de piel o de papel  Abre tu corazón Un esplendour Abre tu corazón Ilusion Abre tu corazón Sin ti no brilla el sol Abre tu corazón La solucion"
/songs/1527616,Nelly Furtado,Afraid,https://genius.com/Nelly-furtado-afraid-lyrics,http://api.genius.com/songs/1527616,Loose,2007-07-30, What they say What they say What they say What they say What they say? What they say?   You speak out All you feel is defiance All you need is some self-reliance Cause this world is gonna always try us And all you wanted was to run for cover Well here's looking to yourself and no other We're all searching for that special something And we keep on running   We all have the choice to take the lead or follow I want to feel the light shine on me   You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say But that's okay you'll soon get strong enough You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say You're going to break So please don't do it   You wanna spread your wings but you're not sure Don't wanna leave your comforts Wanna find a cure We're afraid of who we see in the mirror We wanna let go but it feels too pure Who wants to be alone in this world You look around and all you see is hurt But the light it always finds us If we move with a little trust   We all have the choice to take the lead or follow I want to feel the light shine on me   You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say But that's okay you'll soon get strong enough You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say You're going to break So please don't do it  [Verse 3: Danja and (Nelly Furtado)] A diamond don't define what shine is I don't need a Rolex to know what the time is You got yours let me find what mines is I'm a survivor look how strong my mind is I stand on my own it's all me Regardless of whatever they call me I'm a leader not a follower And I'd rather be paid and popular Ride homie get your dollars up We're in the belly of the beast that already swallowed us (It's the end of the world and we know it all)   You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say But that's okay you'll soon get strong enough You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say You're going to break So please don't do it   So afraid of what people might say (that's okay) So afraid of what people might say (that's okay) So afraid of what people might say (that's okay) So afraid of what people might say (that's okay)  You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say But that's okay you'll soon get strong enough You're so afraid of what people might say But that's okay cause you're only human You're so afraid of what people might say You're going to break So please don't do it
/songs/386301,Nelly Furtado,All Good Things (Come to an End),https://genius.com/Nelly-furtado-all-good-things-come-to-an-end-lyrics,http://api.genius.com/songs/386301,Loose,2006-11-17," Honestly, what will become of me? Don't like reality, it's way too clear to me But really life is dandy We are what we don't see, miss everything daydreaming   Flames to dust, lovers to friends Why do all good things come to an end? Flames to dust, lovers to friends Why do all good things come to an end? Come to an end come to an Why do all good things come to an end? Come to an end come to an Why do all good things come to an end?   Traveling I only stop at exits Wondering if I'll stay Young and restless Living this way I stress less I want to pull away when the dream dies The pain sets in and I don't cry I only feel gravity and I wonder why   Flames to dust, lovers to friends Why do all good things come to an end? Flames to dust, lovers to friends Why do all good things come to an end? Come to an end come to an Why do all good things come to an end? Come to an end come to an Why do all good things come to an end?   Well the dogs were whistling a new tune Barking at the new moon Hoping it would come soon so that they could Dogs were whistling a new tune Barking at the new moon Hoping it would come soon so that they could Die die die die die   Flames to dust, lovers to friends Why do all good things come to an end? Flames to dust, lovers to friends Why do all good things come to an end? Come to an end come to an Why do all good things come to an end? Come to an end come to an Why do all good things come to an end?   Well the dogs were barking at a new moon Whistling a new tune Hoping it would come soon And the sun was wondering if it should stay away for a day 'til the feeling went away And the sky was falling on the clouds were dropping and The rain forgot how to bring salvation The dogs were barking at the new moon Whistling a new tune Hoping it would come soon so that they could die"
/songs/1688004,Nelly Furtado,Baby Girl,https://genius.com/Nelly-furtado-baby-girl-lyrics,http://api.genius.com/songs/1688004,"Whoa, Nelly!",2000-10-24," Come here Baby girl   I've seen a man cry, I've seen a man die inside I've seen him say to me that he is only mine That he gotta do what is best for him Never let me in, not even begin To tell me I'm the one under his moon and sun That I am the thing that revolves around him But while on top of him, I know what's best for him I'll show him how to win, and let me in 'cause   I don't wanna be your baby girl (I, I, I, I, I) I don't wanna be your little pearl I just wanna be what's best for me (I, I, I, I, I) To be winding down with my own star under my own sun Badapapa ching ching, badapapa ching ching, badapa dadadado dididay   We're all sorry now, I didn't mean to wow Make you cry like that, it's just a little spat Still, I want you to know, though I love you so It's mostly me dreaming, forcing, believing That you're an ideal, hell, I never steal But I stole you from, from another one So take yourself and wrap around my little finger 'Cause that's how it should swing   I don't wanna be your baby girl (I, I, I, I, I) I don't wanna be your little pearl (I don't want to) I just wanna be what's best for me (I, I, I, I, I) To be winding down with my own star under my own sun (Why? Why? Why?) Badapapa ching ching, badapapa ching ching, badapa dadadado dididay   Why can't he see, why can't he see what's inside of me? Yeah Don't you, don't you call me coochie-coo a little girl, now Don't you gaga goo no coochie-coo girl Now I'm so much more, can't you see? Can't you see?   Look who's writing now a token of their love Can't you see love that it's just because I wanted a cheap way to get inside your head And not a cheap way to get inside your bed Oh, you're running now, with that silly one It's all over now, this woman's just begun Maybe we'll see about the will and the way Butterflies return some day   I don't wanna be your baby girl (I am what's right) I don't wanna be your little pearl (Don't even lie, lie, lie, lie, lie) I just wanna be what's best for me (Best for me, myself, myself) (I, I, I, I, I) To be winding down with my own star under my own sun (I, I, I, I, I) To be winding down with my own star under my own sun (Badapapa ching ching, badapapa ching ching, badapa dadadado dididay) Badapapa ching ching, badapapa ching ching, badapa dadadado dididay"
/songs/2370590,Nelly Furtado,Bajo Otra Luz,https://genius.com/Nelly-furtado-bajo-otra-luz-lyrics,http://api.genius.com/songs/2370590,Mi Plan,2009-09-11,"Hay algo que va a suceder, no sé Que es Se desprende de una sensaciòn Que no puedo ver Serà que el Sol està brillando Distinto a lo acostumbrando En la manana, esta manana  Lo que antes me afectaba Ya no me dice tanto Alguien a quein una vez amé Se ha ido borrando Serà la vida que tejiò casualidades En mi voz Y te fui llamando, llamando...  ?Seré yo, o yo seràs tù? Todo està tan diferente y eres tù ?Seré yo, o seràs tù? Todo parece puesto bajo otra Luz  No supe como es que llegué A este momento Donde escucho el tono de tu voz Y voy corriendo Serà que estoy enamoràndome Sin querer  No sé bien.. No sé bien...  ?Seré yo, o yo seràs tù? Todo està tan diferente y eres tù ?Seré yo, o seràs tù? Todo parece puesto bajo otra Luz  El color de mi vida cambiò Desde que tù llegaste El color de mi vida cambiò Desde que tù llegaste...  Nene, puedo saltar al vacio Y liberarme de lo que se Supone que es mio Dormir eternamente en un Colchòn mullio' Sin reparar en la lucha que Existe màs Bajo otra luz me encuentro y Es dificil olvidarme Es que vine pa' quedarme Sin temor a enamorarme Ariesgàndome como semilla Que busca calor...  ?Seré yo, o yo seràs tù? Todo està tan diferente y eres tù ?Seré yo, o seràs tù? Todo parece puesto bajo otra Luz  El color de mi vida cambiò Desde que tù llegaste El color de mi vida cambiò Desde que tù llegaste..."
/songs/2820417,Nelly Furtado,Behind Your Back,https://genius.com/Nelly-furtado-behind-your-back-lyrics,http://api.genius.com/songs/2820417,The Ride,2016-07-13," I've been talking about you Behind your back I've been telling people that I've heard things If they ask If we ease up and burning up Well, it's a fact I've been talking about you Every chance I had   It's nothing bad, it's all I have It's just a chance to say your name, baby It's nothing bad, it's just a chance Wanna talk about you Behind your back   I've been talking about you Behind your back I know that talking is cheap But baby, do the math You were one in a million And my whole heart's in half Have is never conscious, it's a word I have   I've been telling all my stories to anyone that asks I've been serving them up in a half-empty glass But don't go thinking I've lost all my class When I'm talking about you   It's nothing bad, it's all I have It's just a chance to say your name, baby It's nothing bad, it's just a chance Wanna talk about you Behind your back   It's nothing bad, it's all I have It's just a chance to say your name Again, baby, just a chance It's all I have Wanna talk about you Behind your back No, it's nothing bad It's all I have I'm hoping you'd give me just a chance If you came back Another chance To stop taking about you Behind your back"
/songs/1665224,Nelly Furtado,Believers (Arab Spring),https://genius.com/Nelly-furtado-believers-arab-spring-lyrics,http://api.genius.com/songs/1665224,The Spirit Indestructible,2012-09-14," You’re on the wrong side Looking at the right side This is the last light At the end of the day You’re on a long flight Taking your last bite Of the good life before it goes away   Where’d you go, oh, where’d you go my friends, my friends? You said you would be there till the end, the end Knock you down, you get back up again, again And when they run after you You just run from them   Where are all the believers? Where are they when you need em’? Where are all of the healers? Why’d they run away? Where are all the believers? Where are all of the healers? Where are they when you need 'em to Get down and pray?   This is the right time Baby, to be mine And taste the good life Before it goes away   Knock me down I get back up again, again And if they run after me I’ll just run from them   Where are all the believers? Where are they when you need em’? Where are all of the healers? Why’d they run away? Where are all the believers? Where are all of the healers? Where are they when you need em to Get down and pray? Where are all the believers? Where are they when you need em’? Where are all of the healers? Why’d they run away?   I need somebody to save me now Somebody to save me now Somebody to save me"
/songs/1106059,Nelly Furtado,Be OK,https://genius.com/Nelly-furtado-be-ok-lyrics,http://api.genius.com/songs/1106059,The Spirit Indestructible,2012-09-14," I was on the grind I could hardly find time to be with you You were always there but I never cared Until you went away Thinking back to then what I should have done To show you my love I can't believe I let you I can't believe I let you slip away   Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming about you Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming   You were always mine then there came a time You needed to be free I didn't understand, it wasn't in the plans But I let you be They say that if they love you and you let them go They'll fly back one day I can't believe I let you I can't believe I let you slip away   Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming about you Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming   You always were so carefree in your way You never let it get to you that way And now you are so far You're so far away I hope you know what to do I'll be thinking about you Thinking about you  [Chorus: Nelly Furtado & Dylan Murray, both] Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming about you Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming about you Are you gonna be OK? I've been doing so much thinking about you Fall asleep and I start dreaming I've been doing so much thinking about you Fall asleep and I start dreaming"
/songs/72063,Nelly Furtado,Big Hoops (Bigger the Better),https://genius.com/Nelly-furtado-big-hoops-bigger-the-better-lyrics,http://api.genius.com/songs/72063,The Spirit Indestructible,2012-04-17," You're 100% right, Chris! Time release the fresh! Time release the fresh!   The bigger, the better The bigger, the better The bigger, the better The better, the bigger   Tonight is the jam, I'll be there till dawn I'm going down, I got my Big Hoops on Pantlegs so wide, I got my backpack on I'm gonna hear my favorite song Hey, hey, hey - What's The Scenario? That boy keeps passing me by I said No Diggity, No Doubt I thought I told you I was Fly Yeah, he and all of his friends They-they got that hair like Hi-Five I don't wanna Talk About Sex I wanna Express Myself tonight!   I can go fast, I can go slow I can go places nobody else goes I can move fast, I can move slow I can go places nobody else goes   Everybody say hey, hey, hey They going at it all night and day Everybody say hey, hey, hey They going at it all night and day I bet you never seen something like that, like that, like that... I bet ya never heard something like that, like that, like that... I bet you never seen something like that   That boy gonna feel my Poison I know He Can't Stand The Rain I don't wanna be down with you, baby Back and Forth, Back and Forth, Back-Back-Back and Forth They got my Rump, Rump Shakin', I'm Another Bad Creation I'm real and I never have to fake it, fake it, fake it You know I gotta' move quick and I gotta move slow Cause there Ain't No End In The Road   I can go fast, I can go slow I can go places nobody else goes I can move fast, I can move slow I can go places nobody else goes  Everybody say hey, hey, hey They going at it all night and day Everybody say hey, hey, hey They going at it all night and day I bet you never seen something like that, like that, like that... I bet ya never heard something like that, like that, like that... I bet you never seen something like that, like that, like that... I bet ya never heard something like that, like that, like that... I bet you never seen something like that   The bigger, the better The bigger, the better The bigger, the better The better, the bigger  {Beat stops}   Oh, I thought this song was over Ha, ha, ha! Nope, it ain't over yet!  {Beat changes}   I can go fast, I can go fast, I can go fast I can go fast, I can go fast I can go slow {chopped and screwed}"
/songs/2970012,Nelly Furtado,Bliss,https://genius.com/Nelly-furtado-bliss-lyrics,http://api.genius.com/songs/2970012,The Ride,2017-01-01, You went and took all my mojo Everything moving in slow-mo A Rocky Horror Picture Show With you it's always stop and go   I don't have to stand here Listening to this I've got too much life Out there to live Bliss Bliss   All of my sanity left me Say you're trying to protect me When what you do is crush my dreams You say they sound like such silly things   But I don't have to stand here Listening to this I've got too much life out there to live Bliss Bliss   And there's a big world waiting for me Waiting to meet me Waiting to see me There's a big world waiting for me I'm gonna find my I'm gonna find my There's a big world waiting for me Waiting to meet me Waiting to see me There's a big world waiting for me I gotta find my I gotta find my   Bliss Bliss Bliss Bliss
