api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/2419266,Nick Jonas,24th Hour,https://genius.com/Nick-jonas-24th-hour-lyrics,http://api.genius.com/songs/2419266,None,2019-04-24," It's kills me, watching you leave   I've never had anyone that hurt me I always guarded my heart so I'd be carefree Finding someone who loves you isn't easy It's not easy Baby that's why I never saw it coming You were just like a dream, one in a million Finding someone to trust isn't easy It's not easy   I knew that it was just a fling But I never knew that it would sting I thought I wouldn't feel anything But it kills me to watch you leave on the 24th hour On the 24th hour, yeah I thought I wouldn't feel anything But it kills me to watch you leave on the 24th hour   60 minutes on the clock Multiply by 24 is a lot But it's not enough to show you what I got To show you that the love will never stop   Knew that it was just a fling But I never knew that it would sting (like it does now) I thought I wouldn't feel anything But it kills me to watch you leave on the 24th hour 24th hour, yeah I thought I wouldn't feel anything But it kills me to watch you leave on the 24th hour   You'll be angry that you walked away And that you only gave it just one day I know it's crazy, but I want more More, more Just a fling I had it figured out It would sting, like it does now Anything But do she know that it kills me to watch you leave On the 24th hour   Knew that it was just a fling But I never knew that it would sting (like it does now) I thought I wouldn't feel anything Did you know that it kills me to watch you leave On the 24th hour? 24th hour, yeah I thought I wouldn't feel anything But it kills me to watch you leave On the 24th hour   24, 24th hour Yeah, yeah, yeah, yeah"
/songs/1266075,Nick Jonas,Appreciate,https://genius.com/Nick-jonas-appreciate-lyrics,http://api.genius.com/songs/1266075,Nicholas Jonas ,None," There's a man dying on the side of the road Won't make it home tonight He was driving fast on his cell phone That's how he lived his life While he was hangin' by a thread These were the final words he said   My girl turns sweet sixteen today She's beautiful, so beautiful It might get rough sometimes But I hope she keeps her faith (Hope she keeps her faith) I wish I'd grabbed the chance to say to her Life is too short so take that time and Appreciate   There's a woman crying on the kitchen floor She got a call tonight Now she's trembling outside her daughter's door Walks in and holds her tight Wondering how and where to start Is there a way to shield her heart?   My girl turns sweet sixteen today She's beautiful, so beautiful It might get rough sometimes But I hope she keeps her faith (Hope she keeps her faith) I wish I'd grabbed the chance to say to her Life is too short so take that time and appreciate   Any but a loving way Get hurt along the way Don't be afraid to open up And use the time you have before it fades Show your love today   My girl turns sweet sixteen today She's beautiful, so beautiful It might get rough sometimes But I hope she keeps her faith.(hope she keeps her faith) I wish I'd grabbed the chance to say to her Life is too short so take that time and Appreciate Life is too short so take that time and Appreciate"
/songs/2297747,Nick Jonas,Area Code,https://genius.com/Nick-jonas-area-code-lyrics,http://api.genius.com/songs/2297747,Nick Jonas X2,2015-11-20," I'm in your area code I hit you up, are you alone? So many places this could go Oh yeah, oh yeah, oh yeah I'm fucked up, you don't even know Baby, it's better that you don't I'm guessing now my cover's blown Oh yeah, oh yeah, oh yeah, oh yeah   Don't know why I do it, but I do Yeah, every time I have a drink or two Get it bad  for you (Bad for you) And I don't know why I do it but I do, yeah All this liquor bringing out the truth   And I, we both remember what we said But let's agree to just forget It's late night, you should go to bed Oh yeah, oh yeah, oh yeah, oh yeah You say I never been good for you You can't deny I gave it good to you We made it unforgettable, it's crazy And I'm hoping I could let you in Oh yeah, oh yeah   Don't know why I do it, but I do, yeah Every time I have a drink or two Get it bad  for you (Bad for you) And I don't know why I do it but I do, yeah All this liquor bringing out the truth And I don't know why I do it, but I do Don't know why I do it, but I, but, I Yeah"
/songs/570202,Nick Jonas,Avalanche,https://genius.com/Nick-jonas-avalanche-lyrics,http://api.genius.com/songs/570202,Nick Jonas,2014-11-10," Ohh, ohh   Words, like a loaded gun (Oh, oh, oh, oh) Shot out from a fire tongue (Oh, oh, oh, oh) Love lost from a fight that was won (Oh, oh, oh, oh) And I can see it breaking down The end to a falling out   I got pride, you can't hold your breath We'll crash down like an avalanche Look out now, don't take one more step We'll crash down like an avalanche, avalanche  [Verse 2: Nick Jonas & Demi Lovato, Both] I never wanted to turn out this way (Oh, oh, oh, oh) Now forever feels like yesterday (Oh, oh, oh, oh) Sorry's something that I just can't say (Oh, oh, oh, oh) Can you see me breaking down? The end to a falling out, yeah  [Chorus: Nick Jonas & (Demi Lovato), Both] I got pride, you can't hold your breath (Even if we survive) We'll crash down like an avalanche (Crash down, crash down) Look out now, don't take one more step (Even if we survive) We'll crash down like an avalanche, avalanche (Crash down, crash down)  [Bridge: Nick Jonas with Demi Lovato] Ohh We'll crash down, yeah Ohh Like an avalanche  [Chorus: Nick Jonas & (Demi Lovato), Both] I got pride, you can't hold your breath We'll crash down, like an avalanche Yeah I got pride, you can't hold your breath (Even if we survive) We'll crash down like an avalanche (Crash down, crash down) Look out now, don't take one more step (One more step, yeah) (Even if we survive) We'll crash down like an avalanche, avalanche (Crash down, crash down)  [Outro Nick Jonas with Demi Lovato] Ohh, ohh Crash down, crash down Ohh, ohh Just like an avalanche"
/songs/2445227,Nick Jonas,Bacon,https://genius.com/Nick-jonas-bacon-lyrics,http://api.genius.com/songs/2445227,Last Year Was Complicated,2016-06-10," Pretty mind, silk thoughts Start a fire when you turn the lights off Oh my, my God When he made you, he did a fine job   I know you been hoping I'd give in But I ain't feelin' that feelin', no Yeah, you right, maybe I'm trippin' The one thing I love more than being with you and that's   Late nights, doing what I wanna do I got sleep eyes, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you And that's no ties, no drama in my life Yeah I, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you Aye, you Aye, you   Sizzlin', white hot Give me that sugar with the sweet talk You're perfect, but I'm not So how do we end up in the worst spot?   I know you been hoping I'd give in But I ain't feelin' that feelin', no Yeah, you right, maybe I'm trippin' The one thing I love more than being with you and that's   Late nights, doing what I wanna do I got sleep eyes, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you And that's no ties, no drama in my life Yeah I, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you Aye, you Aye   Dolla $ign, Dolla $ign Girl, every time we get together, it's a movie You on top, got me feelin' on your booty Know you hate it when you know there's other girls around Won't admit it, but you're actin' so different now And it's hard to just take off like that When you been with a broad and you go way back And you love what keeps you coming back And I love when a bad bitch down my back   The one thing I love more than being with you   And that's late nights, doing what I wanna do I got sleep eyes, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you And that's no ties, no drama in my life Yeah I, I woke up like this Feelin' like, aw shit, throw some bacon on it One thing I love more than being with you Aye, you"
/songs/2023537,Nick Jonas,Believe,https://genius.com/Nick-jonas-believe-lyrics,http://api.genius.com/songs/2023537,Finding Neverland: The Album (Songs from the Broadway Musical),2015-06-09,"I've seen it all around us In every single color In every dimension Crowns of reinvention And if it's black then it's white And when it is dark, then it's light So filling all the spaces With imaginary places  It's so frustrating when no one else sees Everything you see So for now it is just an illusion, confusion Unless you're someone who believes  When you look, tell me what do you see? Is it real, is it fiction? Only make believe And they think it's just a park bench Look with your eyes, it's a big circus tent Full of dancers and clowns It's all people, just right Play the full house, it's daily, twice nightly We fix ordinary with extra, you see? Believe, believe, believe  I don't need rose-tinted spectacles Just to see the fundamentals I Only see the bright lights The sunset and the sunrise And if it is weak then it's Wrong And just when it's right then it's wrong And everything your eyes See Is nothing like it should be  And yes it's all frustrating when no one else sees Everything you see So for now it is just an illusion, confusion Unless you're someone who believes  When you look, tell me, what do you see? Is it real or a mystery, scientifically? It's more than just a bench in a park Look again, it's a rocket that's headed for Mars On a mission to search for the life When it'll be back, who knows? 'Cause it's really a long flight Turn the whole world upside down and you'll see Believe, believe, believe  Just imagination And creative speculation Our lives' calling Was never meant to be boring  Believe, believe, believe, believe Believe, believe, believe, believe Believe, believe, believe, believe Believe, believe, believe, believe"
/songs/3399096,Nick Jonas,Break the Silence,https://genius.com/Nick-jonas-break-the-silence-lyrics,http://api.genius.com/songs/3399096,None,2019-04-24," I don't know what went wrong You lost the key to our song, yeah But we had it made for so long There were nights by your side I would cry 'cause the flame was gone, yeah   No words, it hurts Way too much to speak Oh, oh   It's time for me to break the silence Cause we've been screaming so loud on the inside It's time for me to break the silence I wanna hold you so bad but it ain't right Cause I can feel our love is dying But if you lay my body down And kiss my soul while you're still around We might not miss this chance To break the silence   There's a melody in my mind As the memories of us fly away And I can see That you need to find A new way to replace all the white noise in your life yea yea   It's time for me to break the silence Cause we've been screaming so loud on the inside It's time for me to break the silence I wanna hold you so bad but it ain't right Cause I can feel our love is dying But if you lay my body down And kiss my soul while you're still around We might not miss this chance To break the silence   If you could only hear my heart We will make it through We wouldn't fall apart Oh no Oh no   It's time for me, it's time for me It's time for me to break the silence Cause we've been screaming so loud on the inside It's time for me to break the silence I wanna hold you so bad but it ain't right Cause I can feel the love is dying   But if you ain't about it girl Kiss my soul while you're still around We might not miss this chance To break the silence   It's time for me, it's time for me It's time for me to break the silence Cause we've been screaming so loud on the inside It's time for me to break the silence I wanna hold you so bad but it ain't right Cause I can feel the love is dying But if you ain't about it girl Kiss my soul while you're still around We might not miss this chance To break the silence   Oh, woah Break the silence Yeah, yeah"
/songs/1850490,Nick Jonas,Brotherhood of Man,https://genius.com/Nick-jonas-brotherhood-of-man-lyrics,http://api.genius.com/songs/1850490,"Songs from ""How to Succeed in Business Without Really Trying"" the Musical Comedy - EP",None," Now wait a minute Wally, before you make any hasty decisions Deep down under our skin there is flesh and blood We're all brothers  Now you may join the Elks, my friend And I may join the Shriners And other men may carry cards As members of the Diners Still others wear a golden key Or small Greek letter pin But I have learned there's one great club That all of us are in  There is a Brotherhood of Man A Benevolent Brotherhood of Man A noble tie that binds All human hearts and minds Into one Brotherhood of Man  Your lifelong membership is free Keep a-givin' each brother all you can Oh aren't you proud to be in that fraternity The great big Brotherhood of Man?  Now you see Wally I want you to remember that Before you consider firing Mr. Bigley You see, I know what's on your mind You'd like to clear the whole crowd from top to bottom That's the obvious move But stop and think  One man may seem incompetent Another not make sense While others look like quite a waste Of company expense  They need a brother's leadership So please don't do them in Remember mediocrity Is not a mortal sin  They're in the Brotherhood of Man Dedicated to giving all we can Oh, aren't you proud to be in that fraternity The great big Brotherhood of Man?    No kidding! Is there really a Brotherhood of Man? (Yes you're a Brother, you are a Brother) A benevolent Brotherhood of Man (Oh yes, oh yes!) A noble tie that binds All human hearts and minds Into one Brotherhood of Man (Oh yes!)  Your lifelong membership is free Keep a-givin' each brother all you can Oh aren't you proud to be in that fraternity The great big Brotherhood of Man?  Oh, that noble feeling Feels like bells are pealing Down with double-dealing Oh Brother! You, you got me Me, I got you, you!  Oh, that noble feeling Feels like bells are pealing Down with double-dealing Oh Brother! You, you got me Me, I got you, you!  Oh, that noble feeling Feels like bells are pealing Down with double-dealing Oh Brother! You, you got me Me, I got you, you!  Your lifelong membership is free Keep agivin' each brother all you can Oh aren't you proud to be in that fraternity The great big Brotherhood of Man, man, man?"
/songs/484112,Nick Jonas,Chains,https://genius.com/Nick-jonas-chains-lyrics,http://api.genius.com/songs/484112,Nick Jonas,2014-07-24,"   With her wine-stained lips, yeah, she’s nothing but trouble Cold to the touch, but she’s warm as a devil Gave her my heart, but she wanted my soul She tasted the break and I can’t get more   You got me in chains You got me in chains for your love But, I wouldn’t change No, I wouldn’t change this love You got me in chains You got me in chains for your love But, I wouldn’t change No, I wouldn’t change this love Trynna break the chains, but the chains only break me Trynna break the chains, but the chains only break me   Alone in the night ‘til she knocks on my door, oh no Wasted again, but I can’t say no, whoa   Baby, tell me why, why you do, do me wrong? Baby, tell me why, why you do, do me wrong? Gave you my heart, but you took my soul   You got me in chains (Oh baby) You got me in chains for your love But, I wouldn’t change (I wouldn’t change) No, I wouldn’t change this love You got me chains You got me in chains for your love But, I wouldn’t change (I wouldn’t change) No, I wouldn’t change this love Trynna break the chains, but the chains only break me Trynna break the chains, but the chains only break me   Baby, tell me why, why you do, do me wrong? Baby, tell me why, why you do, do me wrong? Gave you my heart, but you took my soul   You got me in chains You got me in chains for your love I wouldn’t change No, I wouldn’t change this love You got me chains (Oh baby) You got me in chains for your love But, I wouldn’t change I wouldn’t change this love Trynna break the chains, but the chains only break me"
/songs/2445224,Nick Jonas,Chainsaw,https://genius.com/Nick-jonas-chainsaw-lyrics,http://api.genius.com/songs/2445224,Last Year Was Complicated,2016-06-10," I'll take a chainsaw to the sofa Where I held your body close for so long, so long   Walk in the house, lights are off In the closet by the door, there's your coat I wasn't thinking of you before Too many rooms in this house, so I keep going out What the hell is that about? We gotta find a way to be okay   And maybe I'll just take a chainsaw to the sofa Where I held your body close for so long, so long I'm gonna break the fucking china 'Cause it's just one more reminder you're gone, you're gone   When I get home, TV on Drink in my glass, better make it strong Some nights wanna fill this space With a tight dress and a pretty face Keep finding things that you left on purpose Did you plan it? Your timing's perfect Gotta find a way to be okay   Maybe I'll just take a chainsaw to the sofa Where I held your body close for so long, so long I'm gonna break the fucking china 'Cause it's just one more reminder you're gone, you're gone   We were building brick by brick Now it's just a quick sad home, yeah So I'll take a chainsaw to the sofa Where I held your body close for so long, so long   Ohh, I could put a sign in the lawn But it'd mean that I would wanna let you go And I don't wanna let you go I could put a sign in the lawn But it'd mean that I would wanna let you go And I don't wanna let you go   I'll take a chainsaw to the sofa Where I held your body close for so long, so long I'll burn everything that binds us Take a lighter to the mattress and run, run   We were building brick by brick Now it's just a quick sad home, yeah So I'll take a chainsaw to the sofa Where I held your body close for so long, so long Yeah, so long"
