api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3050152,Nico & Vinz,1. Intro,https://genius.com/Nico-and-vinz-1-intro-lyrics,http://api.genius.com/songs/3050152,None,2012-04-27,"(oh, oh, oh, oh, oh) ([?] I tried, [?] I tried) (oh, oh, oh, oh, oh)   Uh, I dropped out of school to focus [?] I had to make a choice and it was takin' too much time You can call it a mistake, call it just a waste Alright, alright, to you, but I ain't doin' 9 to 5, see Yeah, it's time to go and I got things to see What's impossible for you may be possible for me So, no I won't sleep and let nobody steal my seat Disturb the peace, we won't stop until we peak, V   Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) ([?] I tried, [?] I tried) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh)   Yo, I was never the type to do what others do I did sports, so fuck the bus, I'll run to school Always determined to be somethin' that they could never see Now that we here, I swear, it feels good the way y'all envy me Don't tell me the only way to knowledge is college That sentence alone is symbolic, insinuates that your problems I won't stop for a soul, workin' day and night like cutty Here comes more than one song for y'all to love me, go   Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh) Don't hate, just envy, don't hate, just envy, don't hate, just envy, don't (don't) (oh, oh, oh, oh, oh)  (oh, oh, oh, oh, oh) ([?] I tried, [?] I tried) (oh, oh, oh, oh, oh)"
/songs/1154818,Nico & Vinz,A Cage It Falls Into,https://genius.com/Nico-and-vinz-a-cage-it-falls-into-lyrics,http://api.genius.com/songs/1154818,None,2018-09-07,"Recieving a head wind against the sky Falling, falling Pick those feathers up one by one Wandering, wandering  Hands of the man who waits for the end Are blue Travel forward and separate the Distance Sits on a chair, mouth sealed Vision warped and reflects the black  Future is overflowing with fear The Darkness goes on, the darkness gets Deeper Look back the mistakes in the Past Stack them up, stack them up  Throw up the meaning of overflowing Water strongly on to both of these Forgotten hands I won't abandon the smell of blood Flowing incessantly, eternally  We can still be disappointed We were again discouraged Abandon hope and became helpless Our arms are dragged by hope Pull and pulled back to the place we were  There I stop and lie down Stare at your back Loneliness of a smile Not to tell but to interrupt I laugh in a room and throw waste  Inside a tiny falling cage Down stream Depending on presents The darkness goes On. As long as it flows Winds go deeper Gouge out those false words Pile them up Wash away the footprints ahead Cajole us, make us forget and let us go In return for the presents We hand out"
/songs/1254540,Nico & Vinz,A Conviction that Speeds,https://genius.com/Nico-and-vinz-a-conviction-that-speeds-lyrics,http://api.genius.com/songs/1254540,None,2018-09-07,"A prvilege is circling in the sky in invisible speed Not knowing anything We are obliged only to follow With which authority can we refuse? If I dive off there It'll beyond me and everything goes forward I raise my arm, thinking I understood I follow this large line of people Conversation is the only way, I release and return Connected and go on The course to a conclution A beautiful time has passed Only the darkness and vivid red flash over the road The light is too small Can't see ahead We reach our hands to our destination  Who is to blame for this heart that killed Had a will to return, but he reproached me Solidly wait for a next chance Why he seems so gentle is because he is wrapped In a curtain and a shower of light And he hides the truth with the language He had barely studied. We don't wish to, but he talks The opposite. Holding the peace as an excuse Words he tells are vague. Acceptants don't bother to Replace them into their own words They just repeat what they're told Even truths are known Even everything is understood Reconciliation covers whole It changes the air. It changes the faces  Stare at only a moment ahead and hold on to tomorrow Not only the right things exist Crucial to think about it but the acceptants don't even think They pretend they are not listening They must have heard They must have seen Have a conviction but to be vanished deeply in grumble The time was surely beautiful It had been sunk into oblivion Standstill is an absolute necessity. I look around Despair and the speed overflow in my mind  (English translation)"
/songs/1536961,Nico & Vinz,A Cradle of Arguments and Anxiousness,https://genius.com/Nico-and-vinz-a-cradle-of-arguments-and-anxiousness-lyrics,http://api.genius.com/songs/1536961,None,2018-09-07,"You ask the significance of being Of being and you got lost In the way A moment of praise We find in hurting each other Tainted smile indicates Your position  Tie the pieces of memories you lost Together. You draw a loop in A heart running short Untie a tangle thread And talk about tomorrow Step on the stretching shadow And talk about tomorrow  Who did you put out for? You rise for the future Bring time into your mouth Ears not necessary Your eyes won't Reflect your heart anymore. Look down And wish for the sequel to dream Sequel to dream that you can pass out  ""When the time comes...""say the voice A shaking voice just before the last scene Shoulder the great ideology just like Carving those words on the heart  Take it back, give it, use it And render pointless What's repeated are the philosophy I've already learned I wish for another hapiness It brings despair and arguments at the Same time You said that you Can't come back are gone A blast blows me out"
/songs/139579,Nico & Vinz,Am I Wrong,https://genius.com/Nico-and-vinz-am-i-wrong-lyrics,http://api.genius.com/songs/139579,Black Star Elephant,2013-04-12," Ooh, ooh Ooh, ooh   Am I wrong for thinkin' out the box from where I stay? Am I wrong for sayin' that I choose another way? I ain't tryin' to do what everybody else doin' Just 'cause everybody doin' what they all do If one thing I know - I'll fall, but I'll grow I'm walking down this road of mine, this road that I call home   So am I wrong For thinkin' that we could be something for real? Now am I wrong For tryin' to reach the things that I can't see? But that's just how I feel (Ooh, ooh) That's just how I feel (Ooh, ooh) That's just how I feel Trying to reach the things that I can't see (Ooh, ooh, see, see)   Am I trippin' for having a vision? My prediction - I'ma be on top of the world Walk your walk, and don't look back Always do what you decide Don't let them control your life That's just how I feel, oh Fight for yours, and don't let go Don't let them compare you, no Don't worry, you're not alone That's just how we feel   Am I wrong (Am I wrong?) For thinkin' that we could be something for real? (Oh, yeah, yeah, yeah, yeah, oh) Now am I wrong (Am I wrong?) For tryin' to reach the things that I can't see? (Oh, yeah, yeah, yeah, yeah) But that's just how I feel (Ooh, ooh) That's just how I feel (Ooh, ooh) That's just how I feel Trying to reach the things that I can't see (Ooh, ooh, see, see)   If you tell me I'm wrong, wrong I don't wanna be right, right If you tell me I'm wrong, wrong I don't wanna be right If you tell me I'm wrong, wrong I don't wanna be right, right If you tell me I'm wrong, wrong I don't wanna be right   Am I wrong For thinkin' that we could be something for real? Now am I wrong For tryin' to reach the things that I can't see? But that's just how I feel (Ooh, ooh) That's just how I feel (Ooh, ooh) That's just how I feel Trying to reach the things that I can't see (Ooh, ooh, see, see)  So am I wrong (Am I wrong?) For thinkin' that we could be something for real? (Oh, yeah, yeah, yeah, yeah, oh) Now am I wrong (Am I wrong?) For trying to reach the things that I can't see? (Oh, yeah, yeah, yeah, yeah) But that's just how I feel  (Ooh, ooh) That's just how I feel  (Ooh, ooh) That's just how I feel Trying to reach the things that I can't see (Ooh, ooh, see, see)"
/songs/1798796,Nico & Vinz,Am I Wrong by Envy,https://genius.com/Nico-and-vinz-am-i-wrong-by-envy-lyrics,http://api.genius.com/songs/1798796,None,2018-09-07," Am I wrong for thinking out the box from where I stay? Am I wrong for saying that I'll choose another way? I ain't trying to do what everybody else doing Just cause everybody doing what they all do If one thing I know, how far would I grow? I'm walking down this road of mine, this road that I call home   So am I wrong for thinking that we could be something for real? Now am I wrong for trying to reach the things that I can't see? But that's just how I feel, that's just how I feel That's just how I feel trying to reach the things that I can't see   Am I tripping for having a vision? My prediction; I'mma be on the top of the world Hope you, hope you don't look back, always do what you decide Don't let them control your life, that's just how I feel Fight for yours and don't let go, don't let them compare you, no Don't worry, you're not alone, that's just how we feel   If you tell me I'm wrong, wrong I don't wanna be right, right If you tell me I'm wrong, wrong I don't wanna be right   --- ."
/songs/1599847,Nico & Vinz,Am I Wrong (Single),https://genius.com/Nico-and-vinz-am-i-wrong-single-lyrics,http://api.genius.com/songs/1599847,None,2018-09-07,"Am I wrong for thinking out the box from where I stay? Am I wrong for saying that I choose another way? I ain't trying to do what everybody else doing Just cause everybody doing what they all do If one thing I know, I'll fall but I'll grow I'm walking down this road of mine, this road that I call home So am I wrong? For thinking that we could be something for real? Now am I wrong? For trying to reach the things that I can't see? But that's just how I feel That's just how I feel That's just how I feel Trying to reach the things that I can't see Am I tripping for having a vision? My prediction: I'ma be on the top of the world Walk your walk and don't look back, always do what you decide Don't let them control your life, that's just how I feel Fight for yours and don't let go, don't let them compare you, no Don't worry, you're not alone, that's just how we feel Am I wrong? (Am I wrong?) For thinking that we could be something for real? (Oh yeah yeah yeah yeah oh) Now am I wrong? For trying to reach the things that I can't see? (Oh yeah yeah yeah yeah oh) But that's just how I feel That's just how I feel That's just how I feel Trying to reach the things that I can't see If you tell me I'm wrong, wrong I don't wanna be right, right If you tell me I'm wrong, wrong I don't wanna be right  Am I wrong? For thinking that we could be something for real? Now am I wrong? For trying to reach the things that I can't see? But that's just how I feel That's just how I feel That's just how I feel Trying to reach the things that I can't see So am I wrong? (Am I wrong?) For thinking that we could be something for real? (Oh yeah yeah yeah yeah oh) Now am I wrong? (Am I wrong?) For trying to reach the things that I can't see? (Oh yeah yeah yeah) But that's just how I feel That's just how I feel That's just how I feel Trying to reach the things that I can't see"
/songs/528864,Nico & Vinz,Another Day,https://genius.com/Nico-and-vinz-another-day-lyrics,http://api.genius.com/songs/528864,Black Star Elephant,2014-09-16," I used to pray every night when I was younger On my knees, folding hands with my mother And my mother used to say when she was younger She used to go to bed filled with hunger The same hunger got her working even harder Got her travelling to Norway from Ghana She said ""my son, we're blessed, now let's say Our Father"" Ups and downs, that's how life go What's high if you don't know low? So I try not to complain Appreciate life, man, I keep saying   Another day goes by, another day goes by And I thank God that I'm alive Another day goes by, another day goes by And I thank God that I'm alive   I think I was about ten years old Watching the news with my dad I didn't see nothing but tears and blood And a bunch of people looking so mad ""That's war"", I was told I said ""how? that ain't nothing like the games I have"" I couldn't grasp the sense of an innocent child Dying by the hands of a grown man And while some kids raised on cartoons Young girls making money in dark rooms We all deserve a decent meal Why his belly so soft? Why she holding that hard spoon? And where is my Head of State? If crime pays, talk peace, still engaging in heavy arms trade In the jungle that we call Sin City Wild life rules, survival of the fittest   Another day goes by, another day goes by And I thank God that I'm alive Another day goes by, another day goes by And I thank God that I'm alive   Oh, oh, oh, oh Oh yeah, yeah Why, why, why, why Yeah Eh, eh, eh, eh Thank God that I'm alive Oh, oh, oh, oh Oh yeah, yeah Why, why, why, why Yeah Eh, eh, eh, eh Thank God that I'm alive"
/songs/1026168,Nico & Vinz,A Red Wound Picture,https://genius.com/Nico-and-vinz-a-red-wound-picture-lyrics,http://api.genius.com/songs/1026168,None,2018-09-07,I look up at the bounded sky And imagine the linked pictures And then rub them off I carve the promises on my chest Words go on endlessly And eternity hides the end The sky keeps looking at the present I keep looking at the past Rend the clouds and cover my ears Vague words of the future. I won't listen See the eternal field with my eyes shut Imagine a destroyed picture Grasp the concocted stories They nail us up. They bind us up Scars seen after the strife Gentleness of the tears I shed Evil prickles on a tiny heart Redness of the blood I shed Redness of the blood I shed  (translated from Japanese)
/songs/700059,Nico & Vinz,Arrival (Interlude),https://genius.com/Nico-and-vinz-arrival-interlude-lyrics,http://api.genius.com/songs/700059,Black Star Elephant,2015-02-06,"Black Star Elephant. Now you're here. Don't look outside yourself. You have everything, you have everything inside there. Trust, have faith and be free. My son, use the knowledge and sing your song"
