api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/652243,Passenger,27,https://genius.com/Passenger-27-lyrics,http://api.genius.com/songs/652243,Whispers,2014-06-09," 27 years, 27 years old Only thing I know, the only thing I get told I gotta sell out if I want to get sold Don't want the devil to be taking my soul I write songs that come from the heart I don't give a fuck if they get into the chart, or not Only way I can be, is to say what I see And have no shadow hanging over me   I don't know where I'm running but I know how to run Cause, running's the thing I've always done I don't know what I'm doing but I know what I've done I'm a hungry heart, I'm a loaded gun   27 years, 27 years now Only thing I know, I know that I don't know how To please everybody all of the time Cause everybody's always fucking changing their minds A little bit faded, a little bit jaded Don't want to stop, won't be persuaded To write words I can't believe in To see my face on a video screen   I don't know where I'm running but I know how to run Cause, running's the thing I've always done I don't know what I'm doing but I know what I've done I'm a hungry heart, I'm a loaded gun   27 years, 27 years done Written 600 songs, only 12 get sung 87,000 cigarettes have passed through these lungs And every single day I wish I'd never smoked one A week brushing my teeth and a week getting my haircut 8 years sleeping, I'm still tired when I wake up A whole year eating and I still lost weight fuck 5 proper girlfriends and 5 messy breakups 27 birthdays, 27 new years 30,000 quid, just so I could have a few beers Ever dying old hopes, ever growing new fears Don't know where I'm going, but I know how I got here   I don't know where I'm running but I know how to run Cause, running's the thing I've always done I don't know what I'm doing but I know what I've done I'm a hungry heart, I'm a loaded gun Said I don't know where I'm running but I know how to run Cause, running's the thing I've always done I don't know what I'm doing but I know what I've done I'm a hungry heart, I'm a loaded gun"
/songs/3147881,Passenger,A Change Is Gonna Come (Cover),https://genius.com/Passenger-a-change-is-gonna-come-cover-lyrics,http://api.genius.com/songs/3147881,Sunday Night Sessions,2017-07-07," Well, I was born by the river In a little old tent And just like the river I've been running ever since   It's been a long, a long time coming But I know a change is gonna come   And it's been too hard living But I'm afraid to die 'Cause I don't know what's up there beyond the sky   It's been a long, a long time coming But I know a change is gonna come   Well, I go down to the movies And I go downtown But there's somebody telling me I cannot hang around   It's been a long, a long time coming But I know a change is gonna come, oh yes it is now   So I go, I go to my brother I say, ""Brother help me please"" He just winds up, winds up knockin' me down Back down on my knees Oh, there's been times when I thought I couldn't last too long Somehow I was able to try to carry on   It's been a long, a long time coming But I know a change is gonna come"
/songs/3147260,Passenger,Ain't No Sunshine (Cover),https://genius.com/Passenger-aint-no-sunshine-cover-lyrics,http://api.genius.com/songs/3147260,Sunday Night Sessions,2017-07-02,"Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone She's always gone too long anytime she goes away  Wonder this time where she's gone Wonder if she's gone to stay Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  And I know, I know, I know, I know I know, I know, I know, I know I know, I know, I know, know, I know I know, I know Yeah, I oughtta leave young thing alone But ain't no sunshine when she's gone  Ain't no sunshine when she's gone Only darkness every day Ain't no sunshine when she's gone And she's always gone too long, anytime she goes away  Well ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone She's always gone too long anytime she goes away And she's always gone too long, anytime she goes away  Anytime she goes away Anytime she goes away Anytime she goes away Anytime she goes away"
/songs/2993830,Passenger,A Kindly Reminder,https://genius.com/Passenger-a-kindly-reminder-lyrics,http://api.genius.com/songs/2993830,None,2017-02-17," Well I heard all about your travel ban Just for countries that don't fit your business plan But how can you decide who cannot and who can? You're the president now, not a business man And I heard you say climate change isn't real But that's not how the world's leading scientists feel So go bury your head in the sand if you will But the waters are rising around Capitol Hill With four years in front and only three weeks behind you You've somehow already managed to upset China   And if I could offer a kindly reminder It's not okay to grab women by the vagina   And maybe it's cause your hands are so small That's why you have to build such a big fucking wall Yeah you promised it wide and you promised it tall Now you're wanting the Mexicans to pay for it all And you say that you'll make America great But I fear that we're in for a long fucking wait Cause you're carving divides through every state And you're filling up hearts with fear and hate   And I know this song won't change your thoughts We're more likely to see your tax reports"
/songs/355923,Passenger,All The Little Lights,https://genius.com/Passenger-all-the-little-lights-lyrics,http://api.genius.com/songs/355923,All the Little Lights,2012-02-24," One went out at a bus-stop in Edinburgh One went out in an English park One went out in a night club, when I was fifteen Little lights in my heart   One went out when I lied to my mother Said the cigarettes she found were not mine One went out within me Now I smoke like a chimney It's getting dark in this heart of mine It's getting dark in this heart of mine   We're born with millions Of little lights shining in the dark And they show us the way One lights up, every time you feel love in your heart One dies when it moves away   One went out in the back streets of Manchester One went out in an airport in Spain One went out, have no doubt When I grew up and moved out Of the place where the boy used to play   One went out when uncle Ben got his tumor We used to fish and I fish no more Though we will not return I know one still burns On a fishing boat of the New Jersey Shore On a fishing boat of the New Jersey Shore   We're born with millions Of little lights shining in the dark And they show us the way One lights up, every time you feel love in your heart One dies when it moves away We're born with millions Of little lights shining in our hearts And they die along the way Till we're old and we're cold And we're lying in the dark Cause they'll all burn out one day They'll all burn out one day Oh oh, they'll all burn out one day They'll all burn out one day Yeah"
/songs/2914993,Passenger,And I Love Her,https://genius.com/Passenger-and-i-love-her-lyrics,http://api.genius.com/songs/2914993,The Boy Who Cried Wolf,2015-02-03,She's a whistle on the wind A feather on the breeze A ripple on the stream She is sunlight on the sea She's a soft summer rain Falling gently through the trees And I love her  She's cunning as a fox Clever as a crow Solid as a rock She is stubborn as a stone Shes a hardheaded woman And the best one that I know And I love her Yeah well I love her  She's as new as the springtime Strong as autumn blows Warm as the summer And soft as the snow She's a thousand miles from here But she's everywhere I go Cuz I love her  She loves me like a woman She looks like a lady She laughs like a child And cries like a baby I think that maybe she's the one that's gonna save me
/songs/3147831,Passenger,And It Stoned Me (Cover),https://genius.com/Passenger-and-it-stoned-me-cover-lyrics,http://api.genius.com/songs/3147831,Sunday Night Sessions,2017-07-07," Half a mile from the county fair And the rain came tumbling down Me and Billy standin' there With a silver half a crown Hands are full of a fishing rods And the tackle on our backs We just stood there gettin' wet With our backs against the fence   Oh, the water Oh, the water Oh, the water Hope it don't rain all day   And it stoned me to my soul Stoned me just like Jelly Roll And it stoned me Yes, it stoned me to my soul Stoned me just like going home And it stoned me   When the rain let up and the sun came out And we were gettin' dry Almost let a pick-up truck nearly pass us by But we jumped right in and the driver grinned And he dropped us up the road We looked at the swim and we jumped right in Not to mention fishing poles   Oh, the water Oh, the water Oh, the water Let it run all over me   And it stoned me to my soul Stoned me just like Jelly Roll And it stoned me Yes, it stoned me to my soul Stoned me just like going home And it stoned me   On the way back home we sang a song But our throats were getting dry Then we saw the man from across the road With the sunshine in his eyes Well he lived all alone in his own little home With a great big gallon jar There were bottles too, one for me and you And he said, ""Hey! Here you are""   Oh, the water Oh, the water Oh, the water Get it myself from the mountain stream   And it stoned me to my soul Stoned me just like Jelly Roll And it stoned me Yes, it stoned me to my soul Stoned me just like going home And it stoned me Yes, it stoned me to my soul Stoned me just like Jelly Roll And it stoned me Yes, it stoned me to my soul Stoned me just like going home And it stoned me"
/songs/3147354,Passenger,Angie (Cover),https://genius.com/Passenger-angie-cover-lyrics,http://api.genius.com/songs/3147354,Sunday Night Sessions,2017-07-02," 1, 2, 3,4   Angie, Angie When will these clouds all disappear? Angie, Angie Where will it lead us from here?   With no loving in our soul And no money in our coats You can't say we're satisfied But Angie, Angie You can't say we never tried   Angie, you're beautiful But ain't it time we said goodbye? Angie, I still love you Remember all the nights we cried? All the dreams we held so close Seemed to all go up in smoke Wipe that tear from your eye Angie, Angie You can't say we never tried   Oh, Angie, don't you weep All your kisses still taste sweet I hate that sadness in your eyes Angie, Angie You can't say we never tried"
/songs/3481126,Passenger,Anti Love Song (Parts 1 and 2),https://genius.com/Passenger-anti-love-song-parts-1-and-2-lyrics,http://api.genius.com/songs/3481126,None,2019-03-02,"  This is not just another song about when somebody leaves I'm not gonna start banging on about not being able to breathe without you 'Cause we don't inhale love And if we did then I'd be asthmatic or at least allergic to dust  I'm not gonna sing about your suitcase or your taxi outside 'Cause every mug in a coffee shop has sung it eight hundred times And I won't feed you these recycled lines But I'll miss you  I'm not gonna sit up through long lonely nights Crying into ice cream and smelling your tights 'Cause you're crap at keeping in touch yeah I know what you're like But I'll miss you  No it's not like in the movies when somebody leaves I'm not gonna make a mad dash to the airport and get down on my knees 'Cause they're much more security conscious since 9/11 And I wouldn't even make it to the gate without a valid ticket and that would just be a massive waste of money  And I'm not gonna talk about some never-ending love One that seas can't [?] and words can't describe the stuff dreams are made of 'Cause we're both still young And we've gotta do loads more stuff but I'll miss you  I won't walk down to the sea-front with my iPod on Looking all grumpy kicking pebbles along 'Cause this ain't Titanic And I fucking hate Celine Dion but I'll miss you    Sitting in an Irish bar in the middle of Barcelona The Guinness is disgusting I have another bottle of Corona I've come all this way but I still don't think that I've shown her Exactly what she's done to my heart  Dutch courage, Dutch courage, until I feel like Jack Bauer But if it works so well why isn't Holland a superpower? I see nothing brave in getting drunk just to sour The sweetness of a broken heart  I've drunk so much coffee my eyes have started to twitch And eaten so much tapas that it's made me feel sick She's got a new Spanish boyfriend Probably with a massive dictionary in English So they understand each other better  You see I spent all my money to feel anything but regret Spent two days in Catalonia that I would sooner forget And I've cried at the airport into a stale jamón baguette It's not my idea of a good time  You know everybody's told me at least I've done all I can do It makes me feel no better 'cause I don't believe it's true I could take a sniper rifle onto her Spanish boyfriend through"
/songs/2841107,Passenger,Anywhere,https://genius.com/Passenger-anywhere-lyrics,http://api.genius.com/songs/2841107,Young as the Morning Old as the Sea,2016-08-19," If you get out on the ocean If you sail out on the sea If you get up in the mountains If you go climbing on trees Oh or through every emotion When you know that they don't care Darling, that's when I'm with you Oh, I'll go with you anywhere   If you get up in a jet plane Or down in a submarine If you get onto the next train To somewhere you never been If you wanna ride in a fast car And feel the wind in your hair Darling just look beside you Oh, I'll go with you anywhere   Oh, and I will be with you When the darkest winter comes Oh, and I will be with you To feel the California sun Oh, and I will be with you In the night time and when it's through Oh, I'll go anywhere with you   If you get up in the hillside If you ride out on the planes If you go digging up dirt If you go out dancing in the rain If you go chasing them rainbows Just to find the gold ain't there Darling just look behind you Oh I'll go with you anywhere   Oh, and I will be with you When the darkest winter comes Oh, and I will be with you To feel the California sun Oh, and I will be with you In the night time and when it's through Oh, I'll go anywhere with you   Yeah I'll go anywhere with you   Oh, and I will be with you When the darkest winter comes Oh, and I will be with you To feel the California sun Oh, and I will be with you In the night time and when it's through Oh, darling I swear I'll go anywhere with you   Oh I'll go anywhere with you Oh I'll go anywhere with you Oh I'll go anywhere with you Oh I'll go anywhere with you"
