api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/387097,Paul McCartney,3 Legs,https://genius.com/Paul-mccartney-3-legs-lyrics,http://api.genius.com/songs/387097,RAM,1971-05-17," Well, when I walk, when I walk Walk my horse upon a hill (When I walk my horse upon a hill) Well, when I walk, walk, walk, walk Walk my horse upon a hill (When I walk my horse upon a hill) When I lay me down Will my lover love me still?   A dog is here (A dog is here) A dog is there (A dog is there) My dog, he got three legs But he can't run   Well, when I thought, well, I thought When I thought you was my friend (When I thought that I could call you my friend) When I thought, well, I thought When I thought you was my friend (When I though that I could call you my friend) But you let me down, ho Put my heart around the bend   A fly flies in (A fly flies in) A fly flies out (A fly flies out) Most flies they got three legs But mine got one   Well, when I fly, when I fly, when I fly When I fly above the clouds (When I fly above the maddening crowd) Oh, when I fly, when I fly, when I fly When I fly above the clouds (When I fly above the maddening crowd) You can knock me down with a feather, yes, you could But you know it's not allowed   A dog is here (A dog is here) A dog is there (A dog is there) My dog, he got three legs But he can't run   My dog he got three legs, your dog he got none My dog he got three legs, your dog he got none My dog he got three legs, your dog he got none"
/songs/388074,Paul McCartney,About You,https://genius.com/Paul-mccartney-about-you-lyrics,http://api.genius.com/songs/388074,Driving Rain,2001-11-12, You give me power to get out of bed When in the morning I'm feeling dead Living and loving there's a lot to be said it's true   Going to say it about you Going to say it about you   Out of the darkness and into the light Straight to the centre of everything right Darling don't worry the sky will be bright and blue   When I say it about you Going to  say it about you I'll say it about you   When did you teach me to fly thru the air Sooner or later we all will be there I read the headlines and now I can swear it's true   And they said it about you Gonna say it about you 
/songs/388003,Paul McCartney,Ac-Cent-Tchu-Ate The Positive,https://genius.com/Paul-mccartney-ac-cent-tchu-ate-the-positive-lyrics,http://api.genius.com/songs/388003,Kisses On The Bottom,2012-02-07," You got to ac-cent-tchu-ate the positive E-lim-i-nate the negative And latch on to the affirmative Don't mess with mister inbetween You got to spread joy up to the maximum Bring gloom down to the minimum And have faith, or pandemonium Liable to walk upon the scene   To illustrate my last remark Jonah in the whale, Noah in the ark What did they do, just when everything looked so dark? Man, they said, we better   Ac-cent-tchu-ate the positive E-lim-i-nate the negative And latch on to the affirmative Don't mess with mister inbetween   Ac-cent-tchu-ate the positive E-lim-i-nate the negative And latch on to the affirmative Don't mess with mister inbetween"
/songs/388958,Paul McCartney,A Certain Softness,https://genius.com/Paul-mccartney-a-certain-softness-lyrics,http://api.genius.com/songs/388958,Chaos And Creation In The Backyard,2005-09-13, A certain softness in her eyes facinates me More than I ever thought it would (a certain softnesss) More than I ever thought it could   A certain softness in her eyes Got me hooked Got me hooked   A kind of sadness in her smile captivates me Surer than anything that's sure (a kind of sadness) Surer than anything before   A kind of sadness in her smile Got me hooked Got me hooked Got me hooked   If I could even find the words to tell her I wouldn't want to anyway Cause that would only break the spell And you know very well I couldn't betray her   A touch of wildness in her style haunts my memory More than I ever thought it would (a touch of wildness) More than I ever thought it could   A touch of wildness her style Got me hooked Got me hooked Got me hooked   A certain softness in her eyes facinates me More than I ever thought it would (a certain softnesss) More than I ever thought it could   A certain softness in her eyes Got me hooked Got me hooked
/songs/908321,Paul McCartney,A Day in the Life,https://genius.com/Paul-mccartney-a-day-in-the-life-lyrics,http://api.genius.com/songs/908321,None,2018-12-07,"I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph  He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of Lords  I saw a film today, oh boy The English army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on  (One)  Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late (Huh, huh, huh, huh)  Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream  Ah, ah ah ah Ah ah ah, ah ah ah Ah Ah, ah ah ah, ah ah ah  I read the news today, oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert Hall I'd love to turn you on"
/songs/1091870,Paul McCartney,A Fine Day,https://genius.com/Paul-mccartney-a-fine-day-lyrics,http://api.genius.com/songs/1091870,Paul is Live,1993-11-08,"Now the weekend's here I plan to have some fun Take you out in my Oldsmobile, and head for the country, hon Say, hey! It's a fine day! Yeh, yeh, such a fine day Say, hey! It's a fine day! I hope to hear you headin' my way  Yeh, yeh! It’s a fine day! Checkbook on another fine day Hey, hey! It’s a fine day! I’m glad to see you headin’ my way  Friday night I took you dancin’! We danced all the way Sunday mornin’ we relaxin’ At your mother’s home Hey, it’s a fine day! Sha-yay-yeh-yeh-yeh-yeh-yeh it’s a fine day, fine day Oh yeh, it’s a fine day. I’m glad to see you headin’ my way  Oh yeh yeh yeh yeh yeh  Well, should leave I took her to the evening classes Where you learn to read a book Wednesday morning took me to the playground Were you lead to take a look? Hey! It’s a fine day! Yeh yeh, ha ha ha oh, such a fine day! Ha ha ha hey hey, it’s a fine day! I’m glad to see you headin’ my way  Oh hey hey! It’s a fine day! Hey, hey! Such a fine day! Hey hey it’s a fine day! And I’m glad to see you headin’ my way Hey hey! A fine day! Hey such a fine day! hey it’s such a fine day!"
/songs/1816871,Paul McCartney,Again And Again And Again,https://genius.com/Paul-mccartney-again-and-again-and-again-lyrics,http://api.genius.com/songs/1816871,None,2018-12-07,"Now you don't wanna be the little woman No you don't want to be the little woman I love. No, no, no, no. I love Now you don't wanna stay in my school You don't wanna be the one that's cool You don't wanna be the little woman I love"
/songs/4194916,Paul McCartney,A Hard Day's Night (Spotify Singles),https://genius.com/Paul-mccartney-a-hard-days-night-spotify-singles-lyrics,http://api.genius.com/songs/4194916,Spotify Singles: Paul McCartney Box Set,2018-09-14," It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright   You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything   So why on earth should I moan Because when I get you alone You know I feel okay   When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeh   It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah!   So why on Earth should I moan 'Cause when I get you alone You know I feel okay   When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeh   It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright"
/songs/387786,Paul McCartney,Ain't No Sunshine,https://genius.com/Paul-mccartney-aint-no-sunshine-lyrics,http://api.genius.com/songs/387786,Unplugged (The Official Bootleg),None," Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long Anytime she goes away   Wonder this time where she's gone Wonder if she's gonna stay Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away  And I know, I know   Ain't no sunshine when she's gone Ain't no sunshine when she's gone Only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away"
/songs/387716,Paul McCartney,Ain't That a Shame,https://genius.com/Paul-mccartney-aint-that-a-shame-lyrics,http://api.genius.com/songs/387716,Снова В СССР (Back in the U.S.S.R.),1988-10-31," You made me cry when you said goodbye Isn't that a shame? My tears fell like rain Isn't that a shame? You're the one to blame   Oh well, goodbye, although I'm crying Isn't that a shame? My tears fell like rain Isn't that a shame? You're the one to blame You know you're the one to blame Baby   Well, you broke my heart when you said we're going to part But isn't that a shame? Oh my tears fell like rain Isn't that a shame? You're the one to blame, yeah   Oh well, goodbye, although I'm crying Isn't that a shame? My tears fell like rain Isn't that a shame? You're the one to blame You know you're the one to blame Baby Oh well, goodbye, although I'm crying Isn't that a shame? My tears fell like rain Isn't that a shame? You're the one to blame You know you're the one to blame Baby"
/songs/240435,Paul McCartney,Alligator,https://genius.com/Paul-mccartney-alligator-lyrics,http://api.genius.com/songs/240435,New ,2013-10-14,"I want someone to come home to I need somewhere I can sleep I need a place where I can rest my weary bones And have a conversation not too deep  Everybody else busy doing better than me But I can see why it is, they've got someone setting them free Someone breaking the chains, someone letting them be  I want someone who can save me When I come home from the zoo I need somebody who's a sweet communicator I can give my alligator to  Everybody seem to know what they are talking about And I can see why it is, they got someone breaking them out Someone finding a key, someone setting them free  Could you be that person for me? Would you feel right setting me free? Could you dare to find my key?  I want someone who can bail me When I get up to my tricks I need somebody used to dealing with a sinner Whenever I get in a fix  Everybody else busy doing better than me But I can see why it is, they've got someone setting them free Someone breaking the chains, someone letting them be  Could you be that person for me? Would you feel right setting me free? Could you dare to find my key?"
/songs/1278652,Paul McCartney,All My Trials,https://genius.com/Paul-mccartney-all-my-trials-lyrics,http://api.genius.com/songs/1278652,None,2018-12-07,"There's only one thing that money can't buy True love, that will never die, oh no, no All my trials, Lord, soon be over  If religion was a thing that money could buy Well the rich would live and the poor would die All my trials, Lord, soon be over  Well, the river of Jordan is chilly and cold, yeah, yeah, yeah Chills the body but not the soul, yeah All my trials, Lord, soon be over All my trials, Lord, soon be over All my trials, Lord, soon be over"
/songs/387817,Paul McCartney,All Shook Up,https://genius.com/Paul-mccartney-all-shook-up-lyrics,http://api.genius.com/songs/387817,Run Devil Run,1999-10-04," A well I bless my soul What's wrong with me? I'm itching like a man on a fuzzy tree My friends say I'm acting wild as a bug I'm in love I'm all shook up Mm mm oh, oh, yeah, yeah! My hands are shaky and my knees are weak I can't seem to stand on my own two feet Who do you thank when you have such luck? I'm in love I'm all shook up Mm mm oh, oh, yeah, yeah! Please don't ask me what's on my mind I'm a little mixed up, but I'm feeling fine When I'm near that girl that I love best My heart beats so it scares me to death! She touched my hand what a chill I got Her lips are like a vulcano that's hot I'm proud to say she's my buttercup I'm in love I'm all shook up Mm mm oh, oh, yeah, yeah! My tongue get tied when I try to speak My insides shake like a leaf on a tree There's only one cure for this body of mine That's to have the girl that I love so fine!"
/songs/1266966,Paul McCartney,All Things Must Pass,https://genius.com/Paul-mccartney-all-things-must-pass-lyrics,http://api.genius.com/songs/1266966,Concert for George,2003-11-17,"Sunrise doesn't last all morning A cloudburst doesn't last all day Seems my love is up and has left you with no warning It's not always going to be this grey  All things must pass All things must pass away  Sunset doesn't last all evening A mind can blow those clouds away After all this, my love is up and must be leaving It's not always going to be this grey  All things must pass All things must pass away All things must pass None of life's strings can last So, I must be on my way And face another day  Now the darkness only stays the night-time In the morning it will fade away Daylight is good at arriving at the right time It's not always going to be this grey  All things must pass All things must pass away All things must pass All things must pass away"
/songs/388174,Paul McCartney,All You Horse Riders,https://genius.com/Paul-mccartney-all-you-horse-riders-lyrics,http://api.genius.com/songs/388174,None,2018-12-07," Alright now All you horse riders Come on now Get your horses out Alright All you horse riders Get your horses out We're gonna go for a ride Come on Up! Now... now get up in your saddle (Yeah, now) Take your reins in your hand now Alright Let's go for a ride now All you horse riders Come on now, let's ride! Ride ride...right Now Keep them up now Right, right, yes, alright Yeah, you riding fine Ale-hop! Hold it! Now you got it, you got it  Right Now, get ready now Come on now Now get ready, everybody! Now d'you see that stream ahead? Alright, we gonna jump it Now, hold back now Get yourself steady now Now jump it!  Jump it over, over, ohhh yeah yeah Yeah ohhh you got it right! You jump it over Hold it back now Yeah Keep on riding  Come on, ride it!  Yeah, you got it now Now hold your step up now Right Ride it Ohhhh you got it Yeah, you got it right You got it right All you horse riders Yeah You got it right Now keep your step steady now You getting ready to come into the Finishing straight Finishing straight Up ahead Now watch out now You got it now Ride it ride it Yeah you riding now Now Hold it, yeah Hold now Come on now Steady up now Right there All you horse riders, right there Yeah you ridin' fine You ridin' wild Ohh yes, you riding Ridin' Move in, alright   Warm down now, warm down Ready now Calming all out Slow now alright Slow now..alright, whohh, whohhhh Whoah, whohhh, whohhhh All you horse riders"
/songs/4441075,Paul McCartney,All You Horse Riders / Blue Sway,https://genius.com/Paul-mccartney-all-you-horse-riders-blue-sway-lyrics,http://api.genius.com/songs/4441075,McCartney II  ,1980-05-16,"All You Horse Riders  Alright Now All you horse riders Come on now Get your horses out Alright  All you horse riders Get your horses out We're gonna go for a ride Come on  Up!  Now... now get up in your saddle (Yeah, now)  Take your reins in your hand now Alright Let's go for a ride now All you horse riders Come on now, let's ride!  Ride ride...right Now Keep them up now Right, right, yes, alright  Yeh, you riding fine  Ale-hop! Hold it! Now you got it, you got it...  Right...  Now, get ready now Come on now Now get ready, everybody!  Now d'you see that stream ahead? Alright, we gonna jump it  Now, hold back now Get yourself steady now Now jump it! Now jump it...jump it...over, over, ohhh yeah yeah Yeah ohhh you got it right! You jump it over  Hold it back now Yeah Keep on riding Keep on riding Come on, ride it! Come on ride it! Yeah, you got it now  Now hold your step up now Right Ride it Ohhhh you got it Yeah, you got it right You got it right  All you horse riders Yeah You got it right  Now keep your step steady now You getting ready to come into the Finishing straight Finishing straight  Up ahead Now watch out now You got it now Ride it ride it Yeah you ridin' now  Come on now Steady up now  Right there All you horse riders, right there Yeah you ridin' fine You ridin' wild  Ohh yes, you ridin' Ridin' Move in, alright  Warm down now, warm down Ready now Calming all out Slow now alright Slow now..alright, whohh, whohhhh Whoah, whohhhw, whohhhhww...  All you horse riders"
