api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/908369,Pentatonix,Aha!,https://genius.com/Pentatonix-aha-lyrics,http://api.genius.com/songs/908369,"PTX, Vol. 1",2012-01-26," Eat, sleep And breathe it you're full of the stuff Go back and tie up tight Wheat-meat-dairy-free, tee total Happy clappy high on life You should try it You should know (you should know) You should know Go on while no one's looking   A-ha! Caught you now! Caught you red handed in the biscuit tin! Cost you to keep me quiet   Golden boy boots Pocket pedestal Making sharp smart moves Plastic, tin can, paper, separated Busy bee wave, wave 'Save The Planet' flag But sneaky in suburbia   A-ha! Candid camera! Hook, line and sinker For the four-wheel drive Cost you to keep me quiet! Keep me quiet! (keep me quiet!)   Nicest sweetest Utmost in everything It's so charming, very charming Well reckon play the fool no one's ill at ease And put the deepest Swiss bank trust in you No one saw it coming Cost you to keep me quiet  Hey!"
/songs/2278803,Pentatonix,Angels We Have Heard On High,https://genius.com/Pentatonix-angels-we-have-heard-on-high-lyrics,http://api.genius.com/songs/2278803,PTXmas Deluxe,2012-11-12," Angels we have on heard high Sweetly singing o'er the plains And the mountains in reply Echoing their joyous strains Angels we have heard on high Sweetly singing through the night And the mountains in reply Echoing their brave delight   Gloria in excelsis Deo! Gloria in excelsis Deo!   Oh shepherds, why this jubilee? Why your joyous strains prolong? What the gladsome tidings be Which inspire your heavenly song?   Gloria in excelsis Deo! Gloria in excelsis Deo!   Come to Bethlehem and see Him whose birth the angels sing Come adore on bended knee Christ the Lord the newborn King   Gloria in excelsis Deo! Gloria in excelsis Deo!   Gloria in excelsis Deo Angels we have heard Angels we have heard on high Angels we have heard Angels we have heard on high (x3) Oh in excelsis Deo"
/songs/2290043,Pentatonix,Any Way You Want It (World Championship Medley),https://genius.com/Pentatonix-any-way-you-want-it-world-championship-medley-lyrics,http://api.genius.com/songs/2290043,Pitch Perfect 2 (Original Motion Picture Soundtrack),2015-05-12," Any way you want it That's the way you need it Any way you want it Woah Woah-oh   She loves to laugh (oh-ah) She loves to sing (oh-ah) She loves everything (oh-ah) She loves to move (na, na, na, oh) She loves to groove (na, na, na, oh) She loves the lovin' things (na, na, na) (Oh, she loves the lovin' things)   Magdamag, buong gabi Gabi-gabi Kaya humawak ng mahigpit Humawak ka   Como tu lo quieras Tu lo necesitas Como tu lo quieras Ay ay Como tu lo quieras Tu lo necesitas Como tu lo quieras  [Verse 2: The Singboks (The Cantasticos)] I was alone, I never knew What good love could do Then we touched, then we sang About the lovin' things (Ay ay ay)  [Pre-Chorus: Penn Masala (The Cantasticos)] Saaree raat, saaree raat Ooh, har eek raat (Ay ay ay) [?] baahoon mein, [?] baahoon mein [?], baahoon mein   Any way you want it That's the way you need it Any way you want it (Oh, you want it, baby, yeah) Any way you want it That's the way you need it Any way you want it (Here we go! Bring it home!)   Como tu lo quieras Tu lo necesitas Como tu lo quieras (Ay ay)   [?]"
/songs/3867116,Pentatonix,As Long As You Love Me / Wide Awake,https://genius.com/Pentatonix-as-long-as-you-love-me-wide-awake-lyrics,http://api.genius.com/songs/3867116,None,2012-06-20,"[Intro: Scott; Kirstin & Mitch; all three] As long as you love me, I'm wide awake As long as you love me, I'm wide awake, me I'm wide a---  [Verse 1: Scott; Scott, Mitch & Kirstin ] Hey, I'm under pressure Seven billion people in this world tryin' to fit in Keep it together Smile on your face, even though your heart is frowning But hey now, you know girl We both know it's a cruel world But I will take my chances  [Chorus 1: Mitch; Mitch, Scott & Kirstin] As long as you love me We could be starving, we could be homeless, we could be broke, broke As long as you love me I'll be your platinum, I'll be your silver, I'll be your gold As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me, me, me, me  [Verse 2: Kirstin; (Mitch & Scott) ] I'm wide awake Yeah, I was in the dark I was falling hard With an open heart I'm wide awake How did I read the stars so wrong? (so wrong) I'm wide awake And now it’s clear to me That everything you see Ain’t always what it seems I'm wide awake Yeah, I was dreaming for so long  [Chorus 2: Mitch, Kirstin, Scott, all three] As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me Falling from cloud 9 As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me Crashing from the high As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me So don't stress and don't cry I'm letting go tonight As long as you Lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo lo-lo-lo-lo-lo-lo-love me We both need no wings to fly Yeah, I'm falling from cloud 9 Just take my hand As long as you  [Bridge: Kevin; Scott, Mitch & Kirstin] I don't know if this makes sense, but you're my hallelujah Give me a time, space, I'll rendezvous without Fly you to it, beat you there Hey, you know I got, got you Us, we're gonna trust, a couple things I can't spell without 'U' Now we on top of the world, that's just how we do Used to tell me sky's the limit, now the sky's our point of view Man, we stepping out, like woah I'm wide awake Cameras point and shoot Ask me ""What's my best side?"" I'ma tell 'em that I As long as you love me We could be starving, we could be homeless, we could be broke, broke As long as you love me I'll be your platinum, I'll be your silver, I'll be your gold   Falling from cloud 9 As long as you love me I'm letting go tonight"
/songs/3599461,Pentatonix,Attention,https://genius.com/Pentatonix-attention-lyrics,http://api.genius.com/songs/3599461,"PTX Presents: Top Pop, Vol. I",2018-03-23,"[Intro : Matt, Mitch and Kirstin]  [Verse 1: Scott (Mitch)] Woah-oa Runnin' 'round, runnin' 'round, runnin' 'round Throwin' that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd Call you up, (baby) You've been going 'round, going 'round, going 'round Every party in LA 'Cause you knew that I, knew that I, knew that I'd Be at one   I know that dress is karma, perfume regret You got me thinking 'bout when you were mine (thinking about when you were mine) And now I'm all up on ya, what you expect? But you're not coming home with me tonight   You just want attention, you don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention, I knew from the start You're just making sure I'm never gettin' over you, oh  Oh, oh, oh, oh, whoa   Runnin' 'round, runnin' 'round, runnin' 'round Throwin' that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd Call you up ('cause I do, I'd call ya) Baby, now that we're, now that we're, now that we're Right here standin' face to face You already know, 'ready know, 'ready know That you won   I know that dress is karma, perfume regret, yeah You got me thinking 'bout when you were mine (thinking 'bout when you were mine) And now I'm all up on ya, what you expect? Yeah But you're not coming home with me tonight   You just want attention, you don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention, I knew from the start You're just making sure I'm never gettin' over you (over you)   What are you doin' to me? What are you doin', oh no? What are you doin' to me? What are you doin', oh? What are you doin' to me? What are you doin', oh? What are you doin'? What are you doin'?   You just want attention, you don't want my heart (What are you doin' to me? What are you doin'?) Maybe you just hate the thought of me with someone new (What are you doin' to me? What are you doin', oh?) Yeah, you just want attention, I knew from the start (What are you doin' to me? What are you doin'?) You're just making sure I'm never gettin' over you, oh"
/songs/3281052,Pentatonix,Away In a Manger,https://genius.com/Pentatonix-away-in-a-manger-lyrics,http://api.genius.com/songs/3281052,A Pentatonix Christmas (Deluxe Edition),2017-10-20," La da da da da da, la da da da da da La da da da da da, la da da da   Away in a manger, no crib for His bed The little Lord Jesus lay down His sweet head The stars in the sky look down where He lay The little Lord Jesus, asleep on the hay   La da da da da da, la da da da da da La da da da da da, la da da da   The cattle are lowing, the baby awakes But little Lord Jesus, no crying He makes I love Thee, Lord Jesus, look down from the sky And stay by my side 'til morning is nigh  [Chorus: Scott, Kirstin & Mitch] La da da da da da, la da da da da da La da da da da da, la da da da   Be near me, Lord Jesus, I ask Thee to stay Close by me forever and love me, I pray Bless all the dear children in Thy tender care And take us to Heaven to live with Thee there  [Chorus: Scott, Kirstin & Mitch] La da da da da da, la da da da da da La da da da da da, la da da da   Away in a manger, no crib for His bed The little Lord Jesus lay down His sweet head The stars in the sky look down where He lay The little Lord Jesus, asleep on the hay   La da da da da da, la da da da da da La da da da da da, la da da da La da da da da da, la da da da da da La da da da da da, la da da da"
/songs/3041674,Pentatonix,Bohemian Rhapsody,https://genius.com/Pentatonix-bohemian-rhapsody-lyrics,http://api.genius.com/songs/3041674,"PTX, Vol. IV - Classics",2017-03-31," Is this the real life? Is this just fantasy? Caught in a landslide, no escape from reality Open your eyes, look up to the skies and see I'm just a poor boy, I need no sympathy Because I'm easy come, easy go, little high, little low Any way the wind blows doesn't really matter to me, to me To me  [Verse 1: Mitch, (Kirstin & Scott)] Mama, just killed a man Put a gun against his head, pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away Mama, ooh (any way the wind blows) Didn't mean to make you cry (I'm not back again) If I'm not back again this time tomorrow (Oh, carry on) Carry on, carry on as if nothing really matters  [Verse 2: Mitch & (Avi)] Too late, my time has come Sends shivers down my spine, body's aching all the time Goodbye, everybody, I've got to go Gotta leave you all behind and face the truth Mama, ooh (any way the wind blows) I don't want to die I sometimes wish I'd never been born at all    [Verse 3: All, Scott, Avi & (Kristin)] I see a little silhouetto of a man Scaramouche, Scaramouche, will you do the Fandango? Thunderbolt and lightning, very, very fright'ning me (Galileo) Galileo (Galileo) Galileo, Galileo figaro magnifico I'm just a poor boy, nobody loves me He's just a poor boy from a poor family Spare him his life from this monstrosity Easy come, easy go, will you let me go? Bismillah! No, we will not let you go Let him go! - Bismillah! We will not let you go Let him go! - Bismillah! We will not let you go Let him go! - Will not let you go Let him go! - Will not let you go Let me go, no, no, no, no, no, no, no (Oh mamma mia, mamma mia) Mamma mia, let me go Beelzebub has a devil put aside for me, for me, for me!  [Verse 4: Scott & All] So you think you can stone me and spit in my eye? So you think you can love me and leave me to die? Oh, baby, can't do this to me, baby! Just gotta get out, just gotta get right out of here!   Nothing really matters, anyone can see Nothing really matters Nothing really matters to me Any way the wind blows"
/songs/3060853,Pentatonix,Boogie Woogie Bugle Boy,https://genius.com/Pentatonix-boogie-woogie-bugle-boy-lyrics,http://api.genius.com/songs/3060853,"PTX, Vol. IV - Classics",2017-04-07,"  He was a famous trumpet man from out Chicago way He had a boogie style that no one else could play He was the top man at his craft But then his number came up and he was gone with the draft He's in the army now, a-blowin' reveille He's the boogie woogie bugle boy of Company B  They made him blow a bugle for his uncle sam It really brought him down because he couldn't jam The captain seemed to understand Because the next day the cap' went out and drafted a band And now the company jumps when he plays reveille He's the boogie woogie bugle boy of Company B  A-toot, a-toot, a-toot-yiddelydada-toot He blows it eight-to-the-bar, in boogie rhythm He can't blow a note unless the bass and guitar is playing with em' He makes the company jumps when he plays reveille He's the boogie woogie bugle boy of Company B  He was our boogie woogie bugle boy of company B And when he plays boogie woogie bugle he was buzy as a ""bzzz"" bee And when he plays he makes the company jump eight-to-the-bar He's the boogie woogie bugle boy of Company B  Toot-toot-toot, toot-yiddeldada, toot-yiddeldada Toot, toot, he blows it eight-to-the-bar He can't blow a note if the bass and guitar isn't with em' A-a-a-and the company jumps when he plays reveille He's the boogie woogie bugle boy of Company B  He puts the boys asleep with boogie every night And wakes 'em up the same way in the early bright They clap their hands and stamp their feet Because they know how he plays when someone gives him a beat He really breaks it up when he plays reveille He's the boogie woogie bugle boy of Company B  Da-doo-da da-doo-da-da da Da-doo-da da-doo-da-da da Da-doo-da da-doo-da-da da Da-doo-da da-doo-da-da A-a-a-and the company jumps when he plays reveille He's the boogie woogie bugle boy of Company B!"
/songs/1947910,Pentatonix,Born to be wild,https://genius.com/Pentatonix-born-to-be-wild-lyrics,http://api.genius.com/songs/1947910,None,2019-04-26,"Get your motor runnin' Head out on the highway Lookin' for adventure For whatever comes our way  Oh darlin' go make it happen Take the world in a love embrace Fire all of your guns at once And explode into space  Like a true nature's child (nature's child) We were born, born to be wild And we climb so high I never wanna die  Born to be wild Heey, born to be wild, hey  I like smoke and lightning Heavy Metal thunder Racin' in the wind And the feelin' that I'm under  Oh darlin' go make it happen Take the world in a love embrace Fire all of your guns at once And explode into space  Oh, like a true nature's child (nature's child) We were born, born to be wild And we climb so high I never wanna die, diie  We were born to be wild (hey) We were born Born to be wild, yeah (We were born, we were born)"
/songs/3067539,Pentatonix,Can't Help Falling In Love,https://genius.com/Pentatonix-cant-help-falling-in-love-lyrics,http://api.genius.com/songs/3067539,"PTX, Vol. IV - Classics",2017-04-07," Wise men say Only fools rush in But I can't help falling in love with you   Shall I stay? Would it be a sin If I can't help falling in love with you?   Like a river flows Surely to the sea Darling, so it goes Some things are meant to be   Take my hand Take my whole life too But I can't help falling in love with you   Like a river flows Surely to the sea Darling, so it goes Some things are meant to be   Take my hand Take my whole life, too For I can't help falling in love with you But I can't help falling in love with you"
