api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/454223,Plain White T's,"1,2,3,4",https://genius.com/Plain-white-ts-1234-lyrics,http://api.genius.com/songs/454223,Big Bad World,None,1-2-1-2-3-4   Give me more loving than I've ever had Make it all better when I'm feeling sad Tell me I'm special even when I know I'm not Make it feel good when it hurts so bad Barely get mad I'm so glad I found you I love being around you You make it easy   It's as easy as 1-2-1-2-3-4 There's only One thing (one) To do (two) Three words (three) For you... (four) (I love you) I love you There's only One way (one) To say (two) Those three words (three) And that's what I'll do... (four) (I love you) I love you   Give me more loving from the very start Piece me back together when I fall apart Tell me things you never even tell your closest friends Make it feel good when it hurts so bad The best that I've had And I'm so glad I found you I love being around you You make it easy   (I love you) I love you   1-2-3-4 I love you (I love you) I love you
/songs/1627716,Plain White T's,Airplane,https://genius.com/Plain-white-ts-airplane-lyrics,http://api.genius.com/songs/1627716,Wonders of the Younger,2010-12-07,"Airplane, airplane Put me to sleep again Take me away Off to a dream and then I'll fly So high across the sky And wake in a new place Where mistakes of my past are erased  Don't drop me Dont stop me Just hold me So cozy  Airplane airplane Don't you go down today Take me away Off to a better place  You know Just where I'd like to go Please get me there on time Don't delay me from losing my mind  Don't drop me Don't stop me Just hold me  Airplane airplane Don't you go down today Take me away Off to a better place  You know Just where I'd like to go Please get me there real soon I've important things I must do"
/songs/1641953,Plain White T's,All Dressed Up,https://genius.com/Plain-white-ts-all-dressed-up-lyrics,http://api.genius.com/songs/1641953,None,2017-04-27,"Well, I'm all dressed up, and I got no place to go My friends don't answer when I call them on the phone And I got no car, so I am stuck at home Till someone picks me up, I will be all alone  And my heart is breaking, and my back is aching And I know you wanna be there for me I know that you're the ride I need But you won't come over 'Cause you think it's over You might just be right here  But I'm all dressed up, and I wanna hit the town The lights don't shine as bright when I'm not around So, if you get my call and you're in the neighborhood Stop by and say goodbye and do us both some good  And my heart is breaking, and my back is aching And I know you wanna be there for me I know that you're the ride I need But you won't come over 'Cause you think it's over You might just be right here  But I'm all dressed up  Well, I'm all dressed up, and I have no place to go My friends don't answer when I call them on the phone And I got no car, so I guess I'm stuck at home Till someone picks me up, I will be all alone  And my heart is breaking, and my back is aching And my hands are shaking, this is my life in the making And I know you wanna be there for me I know that you're the ride I need But you won't come over 'Cause you think it's over You might just be right here  And I know you wanna be there for me You know that you're the ride I need But you won't come over Because you think it's over You might just be right here  But I'm all dressed up"
/songs/454217,Plain White T's,All That We Needed,https://genius.com/Plain-white-ts-all-that-we-needed-lyrics,http://api.genius.com/songs/454217,All That We Needed,2006-05-09,"If you could come clean about everything It would be easy for me to be sorry If you could see all the possibilities We might not still be standing where we started  Oh, no Don't let me go for this Don't let me go for this  I might be a fool, but you might be one too Maybe we're all that we needed Two wrongs don't make a right But I don't care tonight Maybe we're all that we needed  You could say we were just a big mistake I think it's worth making Worth repeating I would say good things come to those who wait I would say anything if you'd believe it  Oh, no Don't let me go for this Don't let me go for this  I might be a fool, but you might be one too Maybe we're all that we needed Two wrongs don't make a right But I don't care tonight Maybe we're all that we needed  Maybe we're perfectly not meant to be Or more alike than we're willing to see Maybe we're not meant to not disagree Maybe we're crazy, baby  If you could come clean about everything It would be easy for me to be sorry If you could see all the possibilities We might not still be standing where we started  Oh, no Don't let me go for this Don't let me go for this  I might be a fool, but you might be one too Maybe we're all that we needed Two wrongs don't make a right But I don't care tonight Maybe we're all that we needed  I don't care tonight Maybe we're all that we needed  I don't care tonight Maybe we're all that we needed"
/songs/1675099,Plain White T's,A Lonely September,https://genius.com/Plain-white-ts-a-lonely-september-lyrics,http://api.genius.com/songs/1675099,Stop,2002-08-20,"I'm sitting here all by myself Just trying to think of something to do I'm trying to think of something, anything Just to keep me from thinking of you But you know, it's not working out 'cause you're all that's on my mind One thought of you is all it takes To leave the rest of the world behind  Well I didn't mean for this to go As far as it did And I didn't mean to get so close And share what we did And I didn't mean to fall in love But I did And you didn't mean to love me back But I know you did  I'm sitting here trying to convince myself That you're not the one for me But the more I think, the less I believe it And the more I want you here with me You know the holidays are coming up I don't want to spend them alone Memories of Christmas time with you Will just kill me if I'm on my own  Well I didn't mean for this to go As far as it did And I didn't mean to get so close And share what we did And I didn't mean to fall in love But I did And you didn't mean to love me back  I know it's not the smartest thing to do We just can't seem to get it right But what I wouldn't give to have one more chance tonight One more chance tonight  I'm sitting here trying to entertain Myself with this old guitar But with all my inspiration gone It's not getting me very far I look around my room and everything I see reminds me of you Oh please, baby won't you take my hand We've got nothing left to prove  Well I didn't mean for this to go As far as it did And I didn't mean to get so close And share what we did And I didn't mean to fall in love But I did And you didn't mean to love me back But I know you did And I didn't mean to meet you then We were just kids And I didn't mean to give you chills The way that I kiss And I didn't mean to fall in love But I did And you didn't mean to love me back but I know you did Don't say you didn't love me back 'cause you know you did No, you didn't mean to love me back But you did"
/songs/740924,Plain White T's,American Nights,https://genius.com/Plain-white-ts-american-nights-lyrics,http://api.genius.com/songs/740924,American Nights,2015-03-31,On these American nights That's when we all go out That's when we feel alive That's when the tops go down I break a dollar at the bar And make the jukebox sing So tell Rosie what you want The first round's on me We're gonna light up these streets baby Shake the dust off your dreams baby We're gonna lose a little sleep baby On these American nights!  Under the stars and stripes We live and die with our friends There's nothing we can't do As soon as the sun sets I'm gonna find me a girl I'm gonna try and make her laugh And once she gives me that look I'm gonna take her hand 'Cause everything about her reminds me Of all the broken romance behind me I'm giving love another chance to find me On these American nights!  Days like these don't come up any higher We've got main street lit up like a fire Nothing compares to breathing the air When I'm back in my hometown Someday my kids will run like I did On these streets and old playgrounds!  I wanna drive all night Turn up the radio loud Love's hanging in the breeze I shut the whole world out So come and ride with me baby I'm saving you the front seat baby Feeling nothing but free baby On these American nights!  On these American nights!
/songs/1030034,Plain White T's,Anything,https://genius.com/Plain-white-ts-anything-lyrics,http://api.genius.com/songs/1030034,All That We Needed,2006-05-09,"I see your face in the frame on my desk It Meant a lot now it means a lot less It's just a place for the dust in my room to rest I see the letters that were written for me They said you cared and I totally believed They didn't mention that five months later you'd leave  You could have told me anything You could have told me anything You could have told me anything To make me understand Cause I don't understand  I see the bracelet you gave me back then Made it for me so I'd never forget It must have worked 'cause I haven't forgotten you yet I see the bed where we used to mess around We'd talk for hours before you'd go down That was before you decided not to keep me around  You could have told me anything You could have told me anything You could have told me anything To make me understand You could have told me anything You could have told me anything You could have told me anything To make me understand Cause I don't understand  You could have told me why you had to go I try to tell myself just let it go But I see your face It's everywhere I go  You could have told me anything You could have told me anything You could have told me anything To make me understand You could have told me anything You could have told me anything You could have told me anything To make me understand Cause I don't understand No, I don't understand"
/songs/869889,Plain White T's,Aud,https://genius.com/Plain-white-ts-aud-lyrics,http://api.genius.com/songs/869889,Come On Over,None,Every once in awhile i know And it probably shows But every time i look into your eyes I see a world thats changing more and more I see world I've never seen before And i know and i know When i go to sleep at night I pull the blankets up tight I dream of times when i can hold you in my arms And i will look at you and you at me And we can be together permanently And i know and i know And i know that it must be Audrey She's the only one for me And i know and i know And i know that i must be Audrey Yeah it must be Audrey Yeah it must be Audrey She's the only one for me She's the only one for me She's the only one for me She's the only one for me
/songs/1145359,Plain White T's,Behind,https://genius.com/Plain-white-ts-behind-lyrics,http://api.genius.com/songs/1145359,Come On Over,None,"Why can't you see? What you do to me? And why I can't let you go But if you feel The same as me Then, just let me know  But if you don't come You'll never see That you're part of me  And if you don't mind You can leave me behind I'll be back again, eventually  Why can't you see? What you do to me That i can't let you go  But if you feel The same as me Then, just let me know  But if you don't come You'll never see That you're part of me  And if you don't mind You can leave me behind I'll be back again, eventually  But if you don't come You'll never see That you're part of me  And if you don't mind You can leave me behind I'll be back again, eventually"
/songs/1164186,Plain White T's,Better Luck Next Time,https://genius.com/Plain-white-ts-better-luck-next-time-lyrics,http://api.genius.com/songs/1164186,None,2017-04-27,"Black is for the nighttime Preys upon the day Red is for the blood that flows like rivers in our veins Gray is for betrayal What you did to me White is for the blinding light That I know I'll never see, know I'll never see  Found you in the gutter You needed tenderness I gave you everything I had I gave you all my trust Handed out so neatly Caught me in your trap When I needed you the most You stab me in the back, stab me in the back  Better luck, better luck, better luck next time If you do it once there'll never be a second time Better luck, better luck, better luck next time Find somebody else, you're never gonna be mine How do you find the nerve To lie right to me face How do you find the nerve  Black is for the nighttime Preys upon the day Red is for the blood that flows like rivers in our veins I try and find excuses For what you did to me Can't forget that burning rage When I wake up thinking of your face For the blinding swiftness of revenge That I know I'll never see, know I'll never see  Better luck, better luck, better luck next time If you do it once there'll never be a second time Better luck, better luck, better luck next time Find somebody else, you're never gonna be mine Better luck, better luck, better luck next time (better luck, better luck) Better luck, better luck, better luck next time (better luck, better luck) How do you find the nerve To lie right to me face How did you find the nerve Better luck, better luck, better luck next time (better luck, better luck) Better luck, better luck, better luck next time (better luck, better luck) Better luck, better luck, better luck next time (better luck, better luck)"
